index,label,English,French,German,Italian,Spanish,Turkish
10,021,"I'll give you {TAG_1} {TAG_2},
if you go out with me.","Si tu sors avec moi, je te donnerai
{TAG_1}{TAG_2}.","Du kriegst jede Menge {TAG_1},
wenn du mit mir gehst!","Ti regalerò {TAG_1}{TAG_2},
se accetterai di uscire con me.","¡Si sales conmigo, te daré
{TAG_1} {TAG_2}!",Benimle çıkarsan sana {TAG_1} {TAG_2} veririm.
11,001,Sure.,"D'accord, avec plaisir.","Klar, gerne!",D'accordo.,Vale.,Tabii.
12,002,I'm sorry...,"Excuse-moi, mais je ne peux pas...","Nein, das geht nicht...","Scusami, ma non sei il mio tipo...",Lo siento...,Üzgünüm...
13,003,Hold on a minute!,Eh ! Pas si vite !,"Hey, warte!",Un momento!,¡Un momento!,Bir dakika!
14,004,Nobody loves you more than me!,"Personne ne t'aime plus que moi,
{TAG_1} !",Niemand liebt dich mehr als ich!,Nessuno sa amarti come me!,¡Nadie te ama tanto como yo!,Seni benden daha çok seven yok!
15,014,I love you more!,"La personne qui t'aime vraiment vraiment,
c'est moi !","Nein, ICH liebe dich am meisten!",Io ti amo di più!,¡Yo te amo mucho más!,Ben daha çok seviyorum!
16,007,No way! I love you the most!,"Non, c'est moi qui t'aime le plus !",Unmöglich! Am allermeisten liebe ICH dich!,"Non è vero, io so amarti di più!","¡Y un jamón! Yo te quiero más, ¡al infinito!",Olmaz! Seni en çok ben seviyorum!
17,017,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Wen von uns nimmst du, {TAG_1}?","{TAG_1}, chi scegli?","¿A quién eliges, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
18,015,"No, no!",C'est pas vrai !,Nein! Nein!,"No, no!","¡No, no!","Hayır, hayır!"
19,018,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Wen von uns nimmst du, {TAG_1}?","{TAG_1}, chi scegli?","¿A quién vas a elegir, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
20,005,"{TAG_1}, I'm so glad you feel
the same way.","Je suis si heureu{TAG_1} que tu ressentes la même
chose que moi, {TAG_2}.","Ich bin so froh, dass du so fühlst
wie ich, {TAG_1}.","Scelgo te, {TAG_1}! Sono felice
che anche tu provi gli stessi sentimenti.","¡Estoy tan content{TAG_1} de que sientas lo mismo
por mí, {TAG_2}!","{TAG_1}, benimle aynı şeyleri hissetmene
çok sevindim."
21,023,Yikes!,Nooon !,Waaaaas?!,Aaah!,¡Uaaaa!,Eyvah!
22,006,"So, what do you think about us
becoming sweethearts?",Vous êtes d'accord avec ce choix ?,Bist du mit dieser Wahl einverstanden?,"Credi che saremo una
bella coppia?",¿Crees que hacemos buena pareja?,"Peki, sevgili olmamıza ne dersin?"
23,008,"I'm sorry, neither.","Désol{TAG_1}, aucun{TAG_2} des deux.",Keinen von euch beiden... Tut mir leid.,"Mi dispiace, ma non mi interessate.","Lo siento, pero no me interesa {TAG_1}.","Üzgünüm, ikinizi de seçmiyorum."
24,016,"I'm sorry, none of you.","Désol{TAG_1}, vous ne m'intéressez pas.",Tut mir leid... keinen von euch!,"Mi dispiace, ma non siete le persone
adatte a me.","Lo siento mucho.
No estoy {TAG_1}.","Üzgünüm, hiçbirinizi seçmiyorum."
25,Song_man_00,"♪I used to take sugar in my coffee
but I found something sweeter for me","♪ Avant je ne prenais que du café noir,
mais aujourd'hui, je ne peux plus en boire","♪Zucker und Milch zu meinem Kaffee
brauche ich nicht mehr, wenn ich dich seh.","♪Sei lo zucchero nel mio caffè,
nessuno è dolce come te.","♪Para el café, no necesito
más endulzante que tú.","♪Kahveme hep şeker atardım,
meğer senden tatlısı yokmuş"
26,Song_man_01,"♪I used to drink a double espresso
but you're the perfect shorty for me","♪ J'ai besoin de lait dans mon café,
il n'y a que toi qui puisse me l'apporter","♪Du bist so süß und immer gut drauf,
hellst zu jeder Zeit mir mein Leben auf!","♪Hai il profumo di un caffè macchiato,
i tuoi occhi mi hanno proprio stregato.","♪Ni azúcar moreno, ni azúcar blanca,
solo tú, mi amor.","♪Çifte espresso içerdim eskiden,
meğer bana en iyi sen geliyormuşsun"
27,Song_woman_00,"♪You're my large size cappuccino
really strong but so good for me","♪ Tu es mon cappuccino mousseux,
si fort, et pourtant si délicieux","♪Du bist schön stark und nicht zu bitter,
ja, du bist richtig gut für mich.","♪Dolce come un cappuccino,
il tuo volto è così carino!","♪Tú eres mi café con una pizca de leche,
para darle emoción.","♪Sen benim büyük boy cappuccinomsun,
sert ama vazgeçilmezsin"
28,Song_woman_01,"♪I wanna be your dunkable biscuit
that's heart-shaped and never soggy","♪ Mon cœur est comme du sucre en poudre,
quand je te vois, il commence à se dissoudre","♪Wie ein Stück Zucker in der Kaffeetasse:
mein Herz das schmilzt, und zwar nur für dich.","♪Il mio cuore ti appartiene,
ormai mi scorri nelle vene.","♪Y mi corazón es la galleta que se
deshace en tu pasión.","♪Kalp şeklinde bir bisküvi olayım,
kahvene batır ama hiç dağılmayayım"
29,025,That's it.,"Et voilà, c'est fini.",Das war's!,L'ho composta per te...,Y ya está.,Hepsi bu.
30,026,"So, what did you think?","Alors, qu'est-ce que tu en dis ?",Was meinst du dazu?,Spero che ti sia piaciuta...,¿Saldrás conmigo?,"Peki, ne düşünüyorsun?"
31,027,{TAG_1} didn't even show up...,"Finalement, {TAG_1} n'est pas venu{TAG_2}...","Am verabredeten Tag jedoch erschien
{TAG_1} nicht am vereinbarten Ort...",Alla fine non è venut{TAG_1}...,Al final no vino nadie...,{TAG_1} gelmedi bile...
32,BtnLabel0-00,Sure.,Je vous soutiens !,Einverstanden!,Certamente!,¡Sí!,Tabii.
33,BtnLabel0-01,Not right now...,Non.,Moment!,Non credo...,No...,Şimdilik olmaz...
