entry	bit	line_id	Japanese_Kana	Japanese_Kanji	Turkish	French	Italian	German	Spanish	Korean
0	0	35	ふしぎなふんいきのまち	ふしぎなふんいきのまち	gizemli havası olan bir şehir	dans une ville mystérieuse	in una città dall’aria misteriosa	in einer geheimnisvollen Stadt	una ciudad misteriosa	이상한 분위기의 마을
0	0	36	かわぞいのまち	かわぞいのまち	nehir kenarında bir şehir	dans une ville au bord de l’eau	in una città lungo il fiume	in einer Stadt am Fluss	una ciudad a la orilla del río	강가의 마을
0	0	37	ゆきのふりつもるまち	ゆきのふりつもるまち	karla kaplı bir şehir	dans une ville enneigée	in una città innevata	in einer schneebedeckten Stadt	una ciudad cubierta de nieve	눈이 내려 쌓이는 마을
0	0	38	ポケモンリーグ	ポケモンリーグ	Pokémon Ligi	à la Ligue Pokémon	alla Lega Pokémon	in der Pokémon Liga	la Liga Pokémon	포켓몬리그
0	0	39	きゅうでん	きゅうでん	bir saray	dans un palais	in una reggia	in einem Palast	un palacio	궁전
0	0	40	どうくつ	どうくつ	bir mağara	dans une grotte	in una grotta	in einer Höhle	una cueva	동굴
0	0	41	もり	もり	bir orman	dans une forêt	in un bosco	in einem Wald	un bosque	숲
0	0	42	がいろじゅのつづくみち	がいろじゅのつづくみち	ağaçlarla kaplı bir yol	sur un chemin bordé d’arbres	in un viale alberato	auf einer Allee	una alameda	가로수가 늘어선 길
0	0	43	かわぞいのみち	かわぞいのみち	nehir kenarindaki yol	sur un chemin au bord de l’eau	su un lungofiume	auf einem Weg am Fluss	un camino ribereño	강가의 길
0	0	44	のどかなみち	のどかなみち	sakin bir yol	sur un chemin tranquille	in una strada tranquilla	auf einem ruhigen Weg	un sendero tranquilo	평온한 길
0	0	45	はなさくみち	はなさくみち	çiçek açan bir yol	sur un chemin fleuri	in una strada piena di fiori	auf einem Weg voller Blumen	un camino florido	꽃 피는 길
0	0	46	そだてや	そだてや	Pokémon Gündüz Bakımı	à la Pension Pokémon	in una Pensione Pokémon	in einer Pokémon-Pension	una Guardería Pokémon	키우미집
0	0	47	けわしいやまみち	けわしいやまみち	engebeli bir dağ gecidi	sur un chemin escarpé	in un’erta strada di montagna	auf einem steilen Bergweg	un paso de montaña	험한 산길
0	0	48	いしのたちならぶばしょ	いしのたちならぶばしょ	taslarla kaplı bir alan	dans un champ de pierres levées	in un luogo con pietre allineate	in einem steinigen Gebiet	una zona repleta de menhires	돌이 늘어선 장소
0	0	49	うみのみえるみち	うみのみえるみち	denizin ustunde bir yol	sur un chemin surplombant la mer	in una via da cui si vede il mare	auf einem Weg mit Meerblick	un sendero con vistas al mar	바다가 보이는 길
0	0	50	ぬかるんだみち	ぬかるんだみち	camurlu bir yol	sur un chemin boueux	in una strada fangosa	auf einem schlammigen Weg	un sendero cenagoso	질퍽거리는 길
0	0	51	すなのふきあれるみち	すなのふきあれるみち	kumların savrulduğu bir yol	sur un chemin balayé par le sable	in una strada piena di sabbia	auf einem Weg voller Sandwehen	un sendero con arena por doquier	거친 모래바람이 부는 길
0	0	52	おちばみち	おちばみち	yaprak doken bir yol	sur un chemin couvert de feuilles	in una via piena di foglie secche	auf einem laubbedeckten Weg	un sendero otoñal	낙엽이 쌓인 길
0	0	53	ゆきみち	ゆきみち	karla kaplı bir yol	sur un chemin enneigé	in una strada innevata	auf einem schneebedeckten Weg	un sendero nevado	눈이 쌓인 길
0	0	54	こうじょう	こうじょう	bir fabrika	dans une usine	in una fabbrica	in einer Fabrik	una fábrica	공장
0	0	55	チャンピオンロード	チャンピオンロード	Zafer Yolu	sur la Route Victoire	in Via Vittoria	auf der Siegesstraße	la Calle Victoria	챔피언로드
0	0	56	ゆきやま	ゆきやま	karlı bir dağ	sur une montagne enneigée	su una montagna innevata	auf einem schneebedeckten Berg	una montaña nevada	설산
0	0	57	はつでんしょ	はつでんしょ	bir enerji santrali	dans une centrale électrique	in una centrale elettrica	in einem Kraftwerk	una central eléctrica	발전소
0	0	58	はたけ	はたけ	bir alan	dans un champ	in un orto	auf einem Feld	un huerto	밭
0	0	59	はいきょ	はいきょ	bir harabe	dans des ruines	in mezzo a delle rovine	in einer Ruine	unas ruinas	폐허
0	0	60	すいどう	すいどう	sulu bir rota	dans un Chenal	in una via d’acqua	auf einer Wasserroute	unas alcantarillas	수로
0	0	61	サファリ	サファリ	safari	au cours d’un safari	in un safari	auf einer Safari	un safari	사파리
0	0	62	ひみつきち	ひみつきち	Gizli Üs	dans une Base Secrète	in una Base Segreta	in einer Geheimbasis	una Base Secreta	비밀기지
0	0	63	コンテストライブかいじょう	コンテストライブかいじょう	Muhteşem bir Yarışma Salonu	au Concours Pokémon	in un’Arena delle Virtù	in einer Wettbewerbshalle	un Auditorio del Gran Concurso	콘테스트 라이브 회장
0	0	64	ふかいうみのそこ	ふかいうみのそこ	okyanusun derinliklerinde bir yer	tout au fond de la mer	sul fondo del mare	in der Tiefe des Meeres	el fondo del mar	깊은 바다 밑
0	0	65	マボロシのばしょ	マボロシのばしょ	bir Serap noktası	dans un endroit irréel	in una zona miraggio	an einem wundersamen Ort	un paraje irreal	환상의 장소
0	0	66	おおきなふね	おおきなふね	büyük bir gemi	dans un grand bateau	in una grande nave	auf einem großen Schiff	un gran navío	커다란 배
0	0	67	はいがふりつもるみち	はいがふりつもるみち	kul kaplı bir yol	sur une route pleine de cendres	in una strada coperta di cenere	auf einem aschebedeckten Weg	una ruta cubierta de ceniza	재가 떨어져 쌓이는 길
0	0	68	ちいさなしま	ちいさなしま	küçük bir ada	sur un tout petit îlot	su una piccola isola	auf einer kleinen Insel	un islote	작은 섬
0	0	69	しんぴてきなばしょ	しんぴてきなばしょ	mistik bir yer	dans un lieu très impressionnant	in un luogo misterioso	an einem geheimnisvollen Ort	un lugar misterioso	신비스러운 장소
0	0	70	おおぞら	おおぞら	ah, gökyüzünde süzülürken	dans le Grand Ciel	nell’Ipersfera	beim Flug durch die Lüfte	el firmamento	창공
1	0	0	???.?kg	???.?kg	???,? kg	???,? kg	???,? kg	???,? kg	???,? kg	???.?kg
1	0	1	6.9kg	6.9kg	6,9 kg	6,9 kg	6,9 kg	6,9 kg	6,9 kg	6.9kg
1	0	2	13.0kg	13.0kg	13,0 kg	13,0 kg	13,0 kg	13,0 kg	13,0 kg	13.0kg
1	0	3	100.0kg	100.0kg	100,0 kg	100,0 kg	100,0 kg	100,0 kg	100,0 kg	100.0kg
1	0	4	8.5kg	8.5kg	8,5 kg	8,5 kg	8,5 kg	8,5 kg	8,5 kg	8.5kg
1	0	5	19.0kg	19.0kg	19,0 kg	19,0 kg	19,0 kg	19,0 kg	19,0 kg	19.0kg
1	0	6	90.5kg	90.5kg	90,5 kg	90,5 kg	90,5 kg	90,5 kg	90,5 kg	90.5kg
1	0	7	9.0kg	9.0kg	9,0 kg	9,0 kg	9,0 kg	9,0 kg	9,0 kg	9.0kg
1	0	8	22.5kg	22.5kg	22,5 kg	22,5 kg	22,5 kg	22,5 kg	22,5 kg	22.5kg
1	0	9	85.5kg	85.5kg	85,5 kg	85,5 kg	85,5 kg	85,5 kg	85,5 kg	85.5kg
1	0	10	2.9kg	2.9kg	2,9 kg	2,9 kg	2,9 kg	2,9 kg	2,9 kg	2.9kg
1	0	11	9.9kg	9.9kg	9,9 kg	9,9 kg	9,9 kg	9,9 kg	9,9 kg	9.9kg
1	0	12	32.0kg	32.0kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32.0kg
1	0	13	3.2kg	3.2kg	3,2 kg	3,2 kg	3,2 kg	3,2 kg	3,2 kg	3.2kg
1	0	14	10.0kg	10.0kg	10,0 kg	10,0 kg	10,0 kg	10,0 kg	10,0 kg	10.0kg
1	0	15	29.5kg	29.5kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29.5kg
1	0	16	1.8kg	1.8kg	1,8 kg	1,8 kg	1,8 kg	1,8 kg	1,8 kg	1.8kg
1	0	17	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	18	39.5kg	39.5kg	39,5 kg	39,5 kg	39,5 kg	39,5 kg	39,5 kg	39.5kg
1	0	19	3.5kg	3.5kg	3,5 kg	3,5 kg	3,5 kg	3,5 kg	3,5 kg	3.5kg
1	0	20	18.5kg	18.5kg	18,5 kg	18,5 kg	18,5 kg	18,5 kg	18,5 kg	18.5kg
1	0	21	2.0kg	2.0kg	2,0 kg	2,0 kg	2,0 kg	2,0 kg	2,0 kg	2.0kg
1	0	22	38.0kg	38.0kg	38,0 kg	38,0 kg	38,0 kg	38,0 kg	38,0 kg	38.0kg
1	0	23	6.9kg	6.9kg	6,9 kg	6,9 kg	6,9 kg	6,9 kg	6,9 kg	6.9kg
1	0	24	65.0kg	65.0kg	65,0 kg	65,0 kg	65,0 kg	65,0 kg	65,0 kg	65.0kg
1	0	25	6.0kg	6.0kg	6,0 kg	6,0 kg	6,0 kg	6,0 kg	6,0 kg	6.0kg
1	0	26	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	27	12.0kg	12.0kg	12,0 kg	12,0 kg	12,0 kg	12,0 kg	12,0 kg	12.0kg
1	0	28	29.5kg	29.5kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29.5kg
1	0	29	7.0kg	7.0kg	7,0 kg	7,0 kg	7,0 kg	7,0 kg	7,0 kg	7.0kg
1	0	30	20.0kg	20.0kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20.0kg
1	0	31	60.0kg	60.0kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60.0kg
1	0	32	9.0kg	9.0kg	9,0 kg	9,0 kg	9,0 kg	9,0 kg	9,0 kg	9.0kg
1	0	33	19.5kg	19.5kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19.5kg
1	0	34	62.0kg	62.0kg	62,0 kg	62,0 kg	62,0 kg	62,0 kg	62,0 kg	62.0kg
1	0	35	7.5kg	7.5kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7.5kg
1	0	36	40.0kg	40.0kg	40,0 kg	40,0 kg	40,0 kg	40,0 kg	40,0 kg	40.0kg
1	0	37	9.9kg	9.9kg	9,9 kg	9,9 kg	9,9 kg	9,9 kg	9,9 kg	9.9kg
1	0	38	19.9kg	19.9kg	19,9 kg	19,9 kg	19,9 kg	19,9 kg	19,9 kg	19.9kg
1	0	39	5.5kg	5.5kg	5,5 kg	5,5 kg	5,5 kg	5,5 kg	5,5 kg	5.5kg
1	0	40	12.0kg	12.0kg	12,0 kg	12,0 kg	12,0 kg	12,0 kg	12,0 kg	12.0kg
1	0	41	7.5kg	7.5kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7.5kg
1	0	42	55.0kg	55.0kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55.0kg
1	0	43	5.4kg	5.4kg	5,4 kg	5,4 kg	5,4 kg	5,4 kg	5,4 kg	5.4kg
1	0	44	8.6kg	8.6kg	8,6 kg	8,6 kg	8,6 kg	8,6 kg	8,6 kg	8.6kg
1	0	45	18.6kg	18.6kg	18,6 kg	18,6 kg	18,6 kg	18,6 kg	18,6 kg	18.6kg
1	0	46	5.4kg	5.4kg	5,4 kg	5,4 kg	5,4 kg	5,4 kg	5,4 kg	5.4kg
1	0	47	29.5kg	29.5kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29,5 kg	29.5kg
1	0	48	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	49	12.5kg	12.5kg	12,5 kg	12,5 kg	12,5 kg	12,5 kg	12,5 kg	12.5kg
1	0	50	0.8kg	0.8kg	0,8 kg	0,8 kg	0,8 kg	0,8 kg	0,8 kg	0.8kg
1	0	51	33.3kg	33.3kg	33,3 kg	33,3 kg	33,3 kg	33,3 kg	33,3 kg	33.3kg
1	0	52	4.2kg	4.2kg	4,2 kg	4,2 kg	4,2 kg	4,2 kg	4,2 kg	4.2kg
1	0	53	32.0kg	32.0kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32.0kg
1	0	54	19.6kg	19.6kg	19,6 kg	19,6 kg	19,6 kg	19,6 kg	19,6 kg	19.6kg
1	0	55	76.6kg	76.6kg	76,6 kg	76,6 kg	76,6 kg	76,6 kg	76,6 kg	76.6kg
1	0	56	28.0kg	28.0kg	28,0 kg	28,0 kg	28,0 kg	28,0 kg	28,0 kg	28.0kg
1	0	57	32.0kg	32.0kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32,0 kg	32.0kg
1	0	58	19.0kg	19.0kg	19,0 kg	19,0 kg	19,0 kg	19,0 kg	19,0 kg	19.0kg
1	0	59	155.0kg	155.0kg	155,0 kg	155,0 kg	155,0 kg	155,0 kg	155,0 kg	155.0kg
1	0	60	12.4kg	12.4kg	12,4 kg	12,4 kg	12,4 kg	12,4 kg	12,4 kg	12.4kg
1	0	61	20.0kg	20.0kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20.0kg
1	0	62	54.0kg	54.0kg	54,0 kg	54,0 kg	54,0 kg	54,0 kg	54,0 kg	54.0kg
1	0	63	19.5kg	19.5kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19.5kg
1	0	64	56.5kg	56.5kg	56,5 kg	56,5 kg	56,5 kg	56,5 kg	56,5 kg	56.5kg
1	0	65	48.0kg	48.0kg	48,0 kg	48,0 kg	48,0 kg	48,0 kg	48,0 kg	48.0kg
1	0	66	19.5kg	19.5kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19,5 kg	19.5kg
1	0	67	70.5kg	70.5kg	70,5 kg	70,5 kg	70,5 kg	70,5 kg	70,5 kg	70.5kg
1	0	68	130.0kg	130.0kg	130,0 kg	130,0 kg	130,0 kg	130,0 kg	130,0 kg	130.0kg
1	0	69	4.0kg	4.0kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4.0kg
1	0	70	6.4kg	6.4kg	6,4 kg	6,4 kg	6,4 kg	6,4 kg	6,4 kg	6.4kg
1	0	71	15.5kg	15.5kg	15,5 kg	15,5 kg	15,5 kg	15,5 kg	15,5 kg	15.5kg
1	0	72	45.5kg	45.5kg	45,5 kg	45,5 kg	45,5 kg	45,5 kg	45,5 kg	45.5kg
1	0	73	55.0kg	55.0kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55.0kg
1	0	74	20.0kg	20.0kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20,0 kg	20.0kg
1	0	75	105.0kg	105.0kg	105,0 kg	105,0 kg	105,0 kg	105,0 kg	105,0 kg	105.0kg
1	0	76	300.0kg	300.0kg	300,0 kg	300,0 kg	300,0 kg	300,0 kg	300,0 kg	300.0kg
1	0	77	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	78	95.0kg	95.0kg	95,0 kg	95,0 kg	95,0 kg	95,0 kg	95,0 kg	95.0kg
1	0	79	36.0kg	36.0kg	36,0 kg	36,0 kg	36,0 kg	36,0 kg	36,0 kg	36.0kg
1	0	80	78.5kg	78.5kg	78,5 kg	78,5 kg	78,5 kg	78,5 kg	78,5 kg	78.5kg
1	0	81	6.0kg	6.0kg	6,0 kg	6,0 kg	6,0 kg	6,0 kg	6,0 kg	6.0kg
1	0	82	60.0kg	60.0kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60.0kg
1	0	83	15.0kg	15.0kg	15,0 kg	15,0 kg	15,0 kg	15,0 kg	15,0 kg	15.0kg
1	0	84	39.2kg	39.2kg	39,2 kg	39,2 kg	39,2 kg	39,2 kg	39,2 kg	39.2kg
1	0	85	85.2kg	85.2kg	85,2 kg	85,2 kg	85,2 kg	85,2 kg	85,2 kg	85.2kg
1	0	86	90.0kg	90.0kg	90,0 kg	90,0 kg	90,0 kg	90,0 kg	90,0 kg	90.0kg
1	0	87	120.0kg	120.0kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120.0kg
1	0	88	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	89	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	90	4.0kg	4.0kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4.0kg
1	0	91	132.5kg	132.5kg	132,5 kg	132,5 kg	132,5 kg	132,5 kg	132,5 kg	132.5kg
1	0	92	0.1kg	0.1kg	0,1 kg	0,1 kg	0,1 kg	0,1 kg	0,1 kg	0.1kg
1	0	93	0.1kg	0.1kg	0,1 kg	0,1 kg	0,1 kg	0,1 kg	0,1 kg	0.1kg
1	0	94	40.5kg	40.5kg	40,5 kg	40,5 kg	40,5 kg	40,5 kg	40,5 kg	40.5kg
1	0	95	210.0kg	210.0kg	210,0 kg	210,0 kg	210,0 kg	210,0 kg	210,0 kg	210.0kg
1	0	96	32.4kg	32.4kg	32,4 kg	32,4 kg	32,4 kg	32,4 kg	32,4 kg	32.4kg
1	0	97	75.6kg	75.6kg	75,6 kg	75,6 kg	75,6 kg	75,6 kg	75,6 kg	75.6kg
1	0	98	6.5kg	6.5kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6.5kg
1	0	99	60.0kg	60.0kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60,0 kg	60.0kg
1	0	100	10.4kg	10.4kg	10,4 kg	10,4 kg	10,4 kg	10,4 kg	10,4 kg	10.4kg
1	0	101	66.6kg	66.6kg	66,6 kg	66,6 kg	66,6 kg	66,6 kg	66,6 kg	66.6kg
1	0	102	2.5kg	2.5kg	2,5 kg	2,5 kg	2,5 kg	2,5 kg	2,5 kg	2.5kg
1	0	103	120.0kg	120.0kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120.0kg
1	0	104	6.5kg	6.5kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6.5kg
1	0	105	45.0kg	45.0kg	45,0 kg	45,0 kg	45,0 kg	45,0 kg	45,0 kg	45.0kg
1	0	106	49.8kg	49.8kg	49,8 kg	49,8 kg	49,8 kg	49,8 kg	49,8 kg	49.8kg
1	0	107	50.2kg	50.2kg	50,2 kg	50,2 kg	50,2 kg	50,2 kg	50,2 kg	50.2kg
1	0	108	65.5kg	65.5kg	65,5 kg	65,5 kg	65,5 kg	65,5 kg	65,5 kg	65.5kg
1	0	109	1.0kg	1.0kg	1,0 kg	1,0 kg	1,0 kg	1,0 kg	1,0 kg	1.0kg
1	0	110	9.5kg	9.5kg	9,5 kg	9,5 kg	9,5 kg	9,5 kg	9,5 kg	9.5kg
1	0	111	115.0kg	115.0kg	115,0 kg	115,0 kg	115,0 kg	115,0 kg	115,0 kg	115.0kg
1	0	112	120.0kg	120.0kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120,0 kg	120.0kg
1	0	113	34.6kg	34.6kg	34,6 kg	34,6 kg	34,6 kg	34,6 kg	34,6 kg	34.6kg
1	0	114	35.0kg	35.0kg	35,0 kg	35,0 kg	35,0 kg	35,0 kg	35,0 kg	35.0kg
1	0	115	80.0kg	80.0kg	80,0 kg	80,0 kg	80,0 kg	80,0 kg	80,0 kg	80.0kg
1	0	116	8.0kg	8.0kg	8,0 kg	8,0 kg	8,0 kg	8,0 kg	8,0 kg	8.0kg
1	0	117	25.0kg	25.0kg	25,0 kg	25,0 kg	25,0 kg	25,0 kg	25,0 kg	25.0kg
1	0	118	15.0kg	15.0kg	15,0 kg	15,0 kg	15,0 kg	15,0 kg	15,0 kg	15.0kg
1	0	119	39.0kg	39.0kg	39,0 kg	39,0 kg	39,0 kg	39,0 kg	39,0 kg	39.0kg
1	0	120	34.5kg	34.5kg	34,5 kg	34,5 kg	34,5 kg	34,5 kg	34,5 kg	34.5kg
1	0	121	80.0kg	80.0kg	80,0 kg	80,0 kg	80,0 kg	80,0 kg	80,0 kg	80.0kg
1	0	122	54.5kg	54.5kg	54,5 kg	54,5 kg	54,5 kg	54,5 kg	54,5 kg	54.5kg
1	0	123	56.0kg	56.0kg	56,0 kg	56,0 kg	56,0 kg	56,0 kg	56,0 kg	56.0kg
1	0	124	40.6kg	40.6kg	40,6 kg	40,6 kg	40,6 kg	40,6 kg	40,6 kg	40.6kg
1	0	125	30.0kg	30.0kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30,0 kg	30.0kg
1	0	126	44.5kg	44.5kg	44,5 kg	44,5 kg	44,5 kg	44,5 kg	44,5 kg	44.5kg
1	0	127	55.0kg	55.0kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55,0 kg	55.0kg
1	0	128	88.4kg	88.4kg	88,4 kg	88,4 kg	88,4 kg	88,4 kg	88,4 kg	88.4kg
1	0	129	10.0kg	10.0kg	10,0 kg	10,0 kg	10,0 kg	10,0 kg	10,0 kg	10.0kg
1	0	130	235.0kg	235.0kg	235,0 kg	235,0 kg	235,0 kg	235,0 kg	235,0 kg	235.0kg
1	0	131	220.0kg	220.0kg	220,0 kg	220,0 kg	220,0 kg	220,0 kg	220,0 kg	220.0kg
1	0	132	4.0kg	4.0kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4,0 kg	4.0kg
1	0	133	6.5kg	6.5kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6,5 kg	6.5kg
1	0	134	29.0kg	29.0kg	29,0 kg	29,0 kg	29,0 kg	29,0 kg	29,0 kg	29.0kg
1	0	135	24.5kg	24.5kg	24,5 kg	24,5 kg	24,5 kg	24,5 kg	24,5 kg	24.5kg
1	0	136	25.0kg	25.0kg	25,0 kg	25,0 kg	25,0 kg	25,0 kg	25,0 kg	25.0kg
1	0	137	36.5kg	36.5kg	36,5 kg	36,5 kg	36,5 kg	36,5 kg	36,5 kg	36.5kg
1	0	138	7.5kg	7.5kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7,5 kg	7.5kg
1	0	139	35.0kg	35.0kg	35,0 kg	35,0 kg	35,0 kg	35,0 kg	35,0 kg	35.0kg
1	0	140	11.5kg	11.5kg	11,5 kg	11,5 kg	11,5 kg	11,5 kg	11,5 kg	11.5kg
1	0	141	40.5kg	40.5kg	40,5 kg	40,5 kg	40,5 kg	40,5 kg	40,5 kg	40.5kg
1	0	142	59.0kg	59.0kg	59,0 kg	59,0 kg	59,0 kg	59,0 kg	59,0 kg	59.0kg
