entry	bit	line_id	Japanese_Kana	Japanese_Kanji	Turkish	French	Italian	German	Spanish	Korean
13	0	17	[~ 17]	[~ 17]	[VAR BDFF]	[~ 17]	[~ 17]	[~ 17]	[~ 17]	[~ 17]
13	0	18	[~ 18]	[~ 18]	[VAR BDFF]	[~ 18]	[~ 18]	[~ 18]	[~ 18]	[~ 18]
13	0	19	[~ 19]	[~ 19]	[VAR BDFF]	[~ 19]	[~ 19]	[~ 19]	[~ 19]	[~ 19]
13	0	20	[~ 20]	[~ 20]	[VAR BDFF]	[~ 20]	[~ 20]	[~ 20]	[~ 20]	[~ 20]
13	0	21	[~ 21]	[~ 21]	[VAR BDFF]	[~ 21]	[~ 21]	[~ 21]	[~ 21]	[~ 21]
13	0	22	[~ 22]	[~ 22]	[VAR BDFF]	[~ 22]	[~ 22]	[~ 22]	[~ 22]	[~ 22]
13	0	23	[~ 23]	[~ 23]	[VAR BDFF]	[~ 23]	[~ 23]	[~ 23]	[~ 23]	[~ 23]
13	0	24	[~ 24]	[~ 24]	[VAR BDFF]	[~ 24]	[~ 24]	[~ 24]	[~ 24]	[~ 24]
13	0	25	[~ 25]	[~ 25]	[VAR BDFF]	[~ 25]	[~ 25]	[~ 25]	[~ 25]	[~ 25]
13	0	26	[~ 26]	[~ 26]	[VAR BDFF]	[~ 26]	[~ 26]	[~ 26]	[~ 26]	[~ 26]
13	0	27	[~ 27]	[~ 27]	[VAR BDFF]	[~ 27]	[~ 27]	[~ 27]	[~ 27]	[~ 27]
13	0	28	[~ 28]	[~ 28]	[VAR BDFF]	[~ 28]	[~ 28]	[~ 28]	[~ 28]	[~ 28]
13	0	29	[~ 29]	[~ 29]	[VAR BDFF]	[~ 29]	[~ 29]	[~ 29]	[~ 29]	[~ 29]
13	0	30	[~ 30]	[~ 30]	[VAR BDFF]	[~ 30]	[~ 30]	[~ 30]	[~ 30]	[~ 30]
13	0	31	[~ 31]	[~ 31]	[VAR BDFF]	[~ 31]	[~ 31]	[~ 31]	[~ 31]	[~ 31]
13	0	32	[~ 32]	[~ 32]	[VAR BDFF] 	[~ 32]	[~ 32]	[~ 32]	[~ 32]	[~ 32]
13	0	33	[~ 33]	[~ 33]	[VAR BDFF]!	[~ 33]	[~ 33]	[~ 33]	[~ 33]	[~ 33]
13	0	34	[~ 34]	[~ 34]	"[VAR BDFF]"""	[~ 34]	[~ 34]	[~ 34]	[~ 34]	[~ 34]
13	0	35	[~ 35]	[~ 35]	[VAR BDFF]#	[~ 35]	[~ 35]	[~ 35]	[~ 35]	[~ 35]
13	0	36	[~ 36]	[~ 36]	[VAR BDFF]$	[~ 36]	[~ 36]	[~ 36]	[~ 36]	[~ 36]
13	0	37	[~ 37]	[~ 37]	[VAR BDFF]%	[~ 37]	[~ 37]	[~ 37]	[~ 37]	[~ 37]
13	0	38	[~ 38]	[~ 38]	[VAR BDFF]&	[~ 38]	[~ 38]	[~ 38]	[~ 38]	[~ 38]
13	0	39	[~ 39]	[~ 39]	[VAR BDFF]'	[~ 39]	[~ 39]	[~ 39]	[~ 39]	[~ 39]
13	0	40	[~ 40]	[~ 40]	[VAR BDFF](	[~ 40]	[~ 40]	[~ 40]	[~ 40]	[~ 40]
13	0	41	[~ 41]	[~ 41]	[VAR BDFF])	[~ 41]	[~ 41]	[~ 41]	[~ 41]	[~ 41]
13	0	42	[~ 42]	[~ 42]	[VAR BDFF]*	[~ 42]	[~ 42]	[~ 42]	[~ 42]	[~ 42]
13	0	43	[~ 43]	[~ 43]	[VAR BDFF]+	[~ 43]	[~ 43]	[~ 43]	[~ 43]	[~ 43]
13	0	44	[~ 44]	[~ 44]	[VAR BDFF],	[~ 44]	[~ 44]	[~ 44]	[~ 44]	[~ 44]
13	0	45	[~ 45]	[~ 45]	[VAR BDFF]-	[~ 45]	[~ 45]	[~ 45]	[~ 45]	[~ 45]
13	0	46	[~ 46]	[~ 46]	[VAR BDFF].	[~ 46]	[~ 46]	[~ 46]	[~ 46]	[~ 46]
13	0	47	[~ 47]	[~ 47]	[VAR BDFF]/	[~ 47]	[~ 47]	[~ 47]	[~ 47]	[~ 47]
13	0	48	[~ 48]	[~ 48]	[VAR BDFF]0	[~ 48]	[~ 48]	[~ 48]	[~ 48]	[~ 48]
13	0	49	[~ 49]	[~ 49]	[VAR BDFF]1	[~ 49]	[~ 49]	[~ 49]	[~ 49]	[~ 49]
13	0	50	[~ 50]	[~ 50]	[VAR BDFF]2	[~ 50]	[~ 50]	[~ 50]	[~ 50]	[~ 50]
13	0	51	[~ 51]	[~ 51]	[VAR BDFF]3	[~ 51]	[~ 51]	[~ 51]	[~ 51]	[~ 51]
13	0	52	[~ 52]	[~ 52]	[VAR BDFF]4	[~ 52]	[~ 52]	[~ 52]	[~ 52]	[~ 52]
13	0	53	[~ 53]	[~ 53]	[VAR BDFF]5	[~ 53]	[~ 53]	[~ 53]	[~ 53]	[~ 53]
13	0	54	[~ 54]	[~ 54]	[VAR BDFF]6	[~ 54]	[~ 54]	[~ 54]	[~ 54]	[~ 54]
13	0	55	[~ 55]	[~ 55]	[VAR BDFF]7	[~ 55]	[~ 55]	[~ 55]	[~ 55]	[~ 55]
13	0	56	[~ 56]	[~ 56]	[VAR BDFF]8	[~ 56]	[~ 56]	[~ 56]	[~ 56]	[~ 56]
13	0	57	[~ 57]	[~ 57]	[VAR BDFF]9	[~ 57]	[~ 57]	[~ 57]	[~ 57]	[~ 57]
13	0	58	[~ 58]	[~ 58]	[VAR BDFF]:	[~ 58]	[~ 58]	[~ 58]	[~ 58]	[~ 58]
13	0	59	[~ 59]	[~ 59]	[VAR BDFF];	[~ 59]	[~ 59]	[~ 59]	[~ 59]	[~ 59]
13	0	60	[~ 60]	[~ 60]	[VAR BDFF]<	[~ 60]	[~ 60]	[~ 60]	[~ 60]	[~ 60]
13	0	61	[~ 61]	[~ 61]	[VAR BDFF]=	[~ 61]	[~ 61]	[~ 61]	[~ 61]	[~ 61]
13	0	62	[~ 62]	[~ 62]	[VAR BDFF]>	[~ 62]	[~ 62]	[~ 62]	[~ 62]	[~ 62]
