apply,archive,member,bclyt,section,pane,source_text,translation,capacity_bytes
1,0/3/6,node_0000_slot_00.bin,blyt/Shop_Lower.bclyt,28,1s,   per try !,/deneme,26
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,29,2e,Bush Warbler RC,Kamışbülbülü YK,34
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,36,2c,ラジオNIKKEI杯２歳ステークス,NIKKEI 2 Yaş Koşusu,46
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,38,2m,Apr. week4,Nis. 4.hf,26
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,40,2i,Age:4+ ♂/♀,Yaş:4+ ♂/♀,30
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,53,o,Fillers' Championship,Dişi Tay Şamp.,46
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,55,2,Wins,Gal.,10
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,63,7,WWWWWWWWW,WWWWWWWWW,34
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,71,q,WWWWWWWWW,WWWWWWWWW,34
1,0/3/7,node_0002_slot_00.bin,blyt/Trophy_Upper_Wins.bclyt,100,11,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,19,4,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,28,b,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,37,i,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,46,p,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,55,w,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,64,13,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,73,1a,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,82,1h,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,91,1o,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,100,1v,"1,200m",1.200m,14
1,0/3/7,node_0004_slot_00.bin,blyt/Trophy_Upper_Record.bclyt,109,22,"1,200m",1.200m,14
1,0/3/8,node_0000_slot_00.bin,blyt/TimeRecord_Lower.bclyt,17,16,Kingfisher RC,Yalıçapk. YK,28
1,0/3/8,node_0000_slot_00.bin,blyt/TimeRecord_Lower.bclyt,26,18,Flamingo RC,Flamingo YK,24
1,0/3/8,node_0000_slot_00.bin,blyt/TimeRecord_Lower.bclyt,35,1a,Bush warbler RC,Kamışbülbülü YK,32
1,0/3/8,node_0000_slot_00.bin,blyt/TimeRecord_Lower.bclyt,44,1c,Albatross RC,Albatros YK,26
1,0/3/8,node_0000_slot_00.bin,blyt/TimeRecord_Lower.bclyt,53,1e,Alouette RC,Alouette YK,24
1,0/3/8,node_0001_slot_00.bin,blyt/TimeRecord_Upper.bclyt,20,2t,Other's Record,Diğer Rekor,30
1,0/3/8,node_0001_slot_00.bin,blyt/TimeRecord_Upper.bclyt,22,2v,Your Record,Rekorun,24
1,0/3/8,node_0001_slot_00.bin,blyt/TimeRecord_Upper.bclyt,24,2x,Distance,Mesafe,18
1,0/3/9,node_0000_slot_00.bin,blyt/Victory_Upper.bclyt,54,i,ラジオNIKKEI杯２歳ステークス,NIKKEI 2 Yaş Koşusu,66
1,0/3/9,node_0001_slot_00.bin,blyt/Victory_Lower.bclyt,24,3,9y/o,9yaş,10
1,0/3/9,node_0001_slot_00.bin,blyt/Victory_Lower.bclyt,32,s,Time,Süre,10
1,0/4/1,node_0000_slot_00.bin,blyt/TutorialSelect_Lower.bclyt,11,a,Basics of race,Yarış Temeli,30
1,0/4/1,node_0000_slot_00.bin,blyt/TutorialSelect_Lower.bclyt,18,c,"""Special Card"" etc.","""Özel Kart"" vb.",40
1,0/4/1,node_0000_slot_00.bin,blyt/TutorialSelect_Lower.bclyt,25,e,"""Peak Time"" etc.","""Zirve"" vb.",34
1,0/4/2,node_0000_slot_00.bin,blyt/QR_Upper.bclyt,13,b,ソリティ馬のQRコードがみつかりました,QR kodu bulundu,40
1,0/4/2,node_0001_slot_00.bin,blyt/QR_Lower.bclyt,10,6,"Read QR Code here for
Pocket Card Jockey","Pocket Card Jockey
QR kodunu burada okut",82
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,14,q,Speed,Hız,12
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,21,v,Stamina,Dayan.,16
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,28,10,PeakTime,Zirve,18
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,36,15,Char.,Özl.,12
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,38,17,International Star,Dünya Yıldızı,42
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,43,1a,Skill,Bec.,12
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,45,1c,Running Rows (Strong）,Ardışık Sıralar (Güçlü),50
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,47,1e,Running Rows (Strong）,Ardışık Sıralar (Güçlü),50
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,49,1q,Skill,Bec.,12
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,70,4,WWWWWWWW,WWWWWWWW,30
1,0/4/4,node_0000_slot_00.bin,blyt/farm_qr_upper.bclyt,76,1h,Wins,Gal.,10
1,0/4/9,node_0000_slot_00.bin,blyt/TipsUpper.bclyt,25,j,"For further information, please press 　　　　　　 and access the Manual.",Daha fazla bilgi için 　　　　　　 tuşuna basıp Kılavuza git.,136
1,0/4/9,node_0001_slot_00.bin,blyt/TipsLower.bclyt,308,11,Press B to switch Auto-Tips,Oto-İpucu: B ile değiştir,56
1,0/5/2,node_0000_slot_00.bin,blyt/TipsUpper.bclyt,25,j,"For further information, please press 　　　　　　 and access the Manual.",Daha fazla bilgi için 　　　　　　 tuşuna basıp Kılavuza git.,136
1,0/5/2,node_0001_slot_00.bin,blyt/TipsLower.bclyt,308,11,Press B to switch Auto-Tips,Oto-İpucu: B ile değiştir,56
1,0/5/4,node_0000_slot_00.bin,blyt/EventQR.bclyt,35,z,AB  内容の変更,AB Değiş,20
1,0/5/4,node_0000_slot_00.bin,blyt/EventQR.bclyt,37,11,X    キャンセル,X  İptal,22
1,0/5/4,node_0000_slot_00.bin,blyt/EventQR.bclyt,39,13,START 決定,START OK,18
1,0/5/4,node_0000_slot_00.bin,blyt/EventQR.bclyt,43,v,C:\home\sol_horse\EventQR.bmpを作成しました,C:\home\sol_horse\EventQR.bmp oluşturuldu,258
