apply,archive,member,bclyt,section,pane,source_text,translation,capacity_bytes
,0/0/8,node_0000_slot_00.bin,blyt/CharaDataMake_Upper.bclyt,17,a,‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰,,106
1,0/1/0,node_0001_slot_00.bin,blyt/title.bclyt,22,c,Press  to return to HOME menu,HOME menüsüne dön: ,62
1,0/1/0,node_0001_slot_00.bin,blyt/title.bclyt,25,m,©2016 GAME FREAK inc.,©2016 GAME FREAK inc.,44
1,0/1/1,node_0000_slot_00.bin,blyt/bottom.bclyt,135,3j,製作・著作,Yapım/Telif,66
1,0/1/1,node_0000_slot_00.bin,blyt/bottom.bclyt,137,3l,株式会社ゲームフリーク,GAME FREAK inc.,66
1,0/1/1,node_0000_slot_00.bin,blyt/bottom.bclyt,139,3n,©2013　GAME FREAK inc.,©2013　GAME FREAK inc.,66
,0/1/3,node_0000_slot_00.bin,blyt/UpperInterface.bclyt,29,8r,0000,,10
,0/1/3,node_0001_slot_00.bin,blyt/UpperSubInterface.bclyt,27,n,０１２３４５６７,,42
,0/1/3,node_0001_slot_00.bin,blyt/UpperSubInterface.bclyt,35,p,０１２３４５６７,,42
,0/1/3,node_0001_slot_00.bin,blyt/UpperSubInterface.bclyt,43,r,０１２３４５６７,,42
1,0/1/3,node_0002_slot_00.bin,blyt/LowerInterface.bclyt,49,1n,Super Unity!,Süper Uyum!,26
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,18,k,重心,Dng.,6
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,23,i,Avg,Ort,8
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,28,s,VS,VS,6
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,33,o,S,S,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,38,14,M,M,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,43,w,H,H,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,48,10,VH,VH,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,53,22,1,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,58,24,2,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,63,26,3,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,68,28,4,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,73,2a,5,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,78,2c,6,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,83,2e,7,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,88,2g,8,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,93,2i,9,,4
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,98,2k,10,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,103,2m,11,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,108,2o,12,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,113,2q,13,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,118,2s,14,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,123,2u,15,,6
,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,128,2w,16,,6
,0/1/3,node_0006_slot_00.bin,blyt/RadarScope.bclyt,247,6h,１２３４５６７８９０,,22
,0/1/3,node_0006_slot_00.bin,blyt/RadarScope.bclyt,273,7i,１２３４５６７８９０１２,,26
,0/1/3,node_0006_slot_00.bin,blyt/RadarScope.bclyt,275,7k,１２３４５６７８９０１２,,26
,0/1/3,node_0006_slot_00.bin,blyt/RadarScope.bclyt,277,7m,１２３４５６７８９０１２,,26
,0/1/3,node_0028_slot_00.bin,blyt/SkillAnnounce.bclyt,16,0,１２３４５６７８９０１２,,50
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,38,8,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,40,6l,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,42,0,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,44,40,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,46,a,2y/o,2yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,48,84,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,50,86,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,57,c,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,59,6n,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,61,4,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,63,42,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,65,e,3y/o,3yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,67,8a,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,69,8c,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,76,l,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,78,6p,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,80,n,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,82,44,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,84,p,4y/o,4yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,86,8e,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,88,8g,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,95,t,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,97,6r,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,99,v,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,101,46,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,103,x,5y/o,5yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,105,8i,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,107,8k,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,114,11,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,116,6t,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,118,13,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,120,48,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,122,15,6y/o,6yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,124,8m,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,126,8o,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,133,19,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,135,6v,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,137,1b,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,139,4a,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,141,1d,7y/o,7yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,143,8q,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,145,8s,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,152,1h,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,154,6x,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,156,1j,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,158,4c,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,160,1l,8y/o,8yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,162,8u,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,164,8w,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,171,1p,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,173,6z,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,175,1r,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,177,4e,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,179,1t,9y/o,9yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,181,8y,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,183,90,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,190,1x,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,192,71,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,194,1z,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,196,4g,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,198,21,2y/o,2yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,200,92,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,202,94,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,209,25,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,211,73,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,213,27,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,215,4i,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,217,29,3y/o,3yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,219,96,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,221,98,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,228,2d,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,230,75,◎,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,232,2f,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,234,4k,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,236,2h,4y/o,4yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,238,9a,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,240,9c,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,247,2l,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,249,77,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,251,2n,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,253,4m,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,255,2p,5y/o,5yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,257,9e,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,259,9g,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,266,2t,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,268,79,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,270,2v,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,272,4o,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,274,2x,6y/o,6yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,276,9i,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,278,9k,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,285,31,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,287,7b,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,289,33,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,291,4q,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,293,35,7y/o,7yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,295,9m,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,297,9o,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,304,39,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,306,7d,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,308,3b,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,310,4s,♂,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,312,3d,8y/o,8yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,314,9q,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,316,9s,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,323,3h,16,,6
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,325,7f,◎,,4
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,327,3j,‰‰‰‰‰‰‰‰‰,,34
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,329,4u,♀,,4
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,331,3l,9y/o,9yaş,10
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,333,9u,150,,8
,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,335,9w,150,,8
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,343,7p,Number,Numara,14
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,345,7h,Popularity,Popülerlik,22
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,347,7j,Name,Ad,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,349,7l,Gender/Age,Cins./Yaş,22
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,351,88,Speed/Stamina,Hız/Dayan.,28
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,353,7n,Style,Stil,12
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,20,8,Fillies' Championship,Dişi Tay Şamp.,44
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,22,n,Fillies' Championship,Dişi Tay Şamp.,44
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,24,p,Fillies' Championship,Dişi Tay Şamp.,50
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,26,a,Bush Warbler Racecourse,Kamışbülbülü Hip.,48
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,28,c,芝９９９９ｍ,Ç9999m,14
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,36,3e,Level,Sv.,12
,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,38,3g,99,,6
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,50,1z,Exp pt.,DP,16
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,56,24,Skill pt.,BP,20
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,61,t,Speed,Hız,12
,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,63,v,999,,8
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,68,y,Stamina,Dayan.,16
,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,70,10,999,,8
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,75,22,Skill,Bec.,12
,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,77,13,‰‰‰‰‰‰‰‰‰‰‰‰,,66
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,82,3i,Skill,Bec.,12
,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,84,16,‰‰‰‰‰‰‰‰‰‰‰‰,,66
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,90,19,性別,Cins,6
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,95,1c,99y/o,99yaş,12
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,102,39,オバタデバッグブイ,Obata Debug V,34
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,150,8,"必殺技
「％％％％％％％％」
を　おぼえた！","Özel Hamle
""％％％％％％％％""
öğrenildi!",46
