label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,KR_Korean,US_English,US_French,US_Spanish,Turkish,note,status
FILE_SELECT__INFO_DEL_02,Weet je zeker dat je dit bestand wilt wissen?,Are you sure you want to erase this file?,Voulez-vous vraiment effacer ce fichier ?,Möchtest du diese Datei wirklich löschen?,Vuoi davvero eliminare questo file?,¿Seguro que quieres borrar el archivo?,ファイルを けしますか？,이 파일을 삭제할까요?,Are you sure you want to erase this file?,Voulez-vous vraiment effacer ce fichier?,⟦TAG:0:2:4b00⟧¿Seguro que quieres borrar el archivo?⟦TAG:0:2:6400⟧,Bu dosyayı silmek istediğinden emin misin?,QA: Türkçe durum eki düzeltildi,qa-reviewed
FILE_SELECT__INFO_DEL_03,"⟦TAG:0:1:0000⟧⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Gewiste bestanden kunnen niet worden hersteld.
Weet je zeker dat je dit bestand wilt wissen?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧⟦TAG:0:1:ffff⟧","⟦TAG:0:1:0000⟧⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧The erased file will be gone forever.
Are you sure you want to continue?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧⟦TAG:0:1:ffff⟧","⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Le fichier effacé ne pourra pas être récupéré.
Voulez-vous vraiment l'effacer ?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧",⟦TAG:0:3:ffff00ff⟧Die Datei kann nicht wiederhergestellt werden. Fortfahren?⟦TAG:0:3:ffffffff⟧,"⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Il file eliminato andrà perso per sempre.
Vuoi continuare comunque?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧","⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Si borras el archivo no podrás
recuperarlo. ¿Quieres continuar?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧",⟦TAG:0:3:ffff00ff⟧けすと もとに もどせませんが けしますか？⟦TAG:0:3:ffffffff⟧,⟦TAG:0:3:ffff00ff⟧삭제 후에는 복구할 수 없는데 정말 삭제하시겠어요?⟦TAG:0:3:ffffffff⟧,"⟦TAG:0:1:0000⟧⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧The erased file will be gone forever.
Are you sure you want to continue?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧⟦TAG:0:1:ffff⟧","⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Le fichier effacé ne pourra pas être récupéré. 
Voulez-vous vraiment continuer?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧","⟦TAG:0:2:4b00⟧⟦TAG:0:3:ffff00ff⟧Los datos no se recuperarán. 
¿Quieres continuar?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧","⟦TAG:0:1:0000⟧⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Silinen dosya bir daha geri getirilemez.
Devam etmek istediğinden emin misin?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧⟦TAG:0:1:ffff⟧",QA: Türkçe durum eki düzeltildi,qa-reviewed
FILE_SELECT__NEW,NIEUW,NEW GAME,NOUVEAU,NEUES SPIEL,"NUOVA
PARTITA",NUEVO,"あたらしく
はじめる","새로
시작하기",NEW GAME,"NOUVELLE
PARTIE",NUEVO,YENİ OYUN,,
FILE_SELECT__FILE_NAME,Bestand [0],File [0],Fichier [0],Datei [0],File [0],Archivo [0],ファイル [0],파일 [0],File [0],Fichier [0],Archivo [0],Dosya [0],,
FILE_SELECT__WORLD,WERELDEN,WORLDS,MONDES,WELTEN,MONDI,MUNDOS,ワールド,월드,WORLDS,MONDES,MUNDOS,DÜNYALAR,,
FILE_SELECT__DATE,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[2]-⟦TAG:0:2:6400⟧[1]-⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[2]⟦TAG:0:2:6400⟧/[1]⟦TAG:0:2:6400⟧/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧[2]/[1]/[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[2].⟦TAG:0:2:6400⟧[1].⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[2]⟦TAG:0:2:6400⟧/[1]⟦TAG:0:2:6400⟧/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧[2]-[1]-[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧[0]/[1]/[2]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧[0]/[1]/[2]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[1]⟦TAG:0:2:6400⟧/[2]⟦TAG:0:2:6400⟧/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[1]⟦TAG:0:2:6400⟧/[2]⟦TAG:0:2:6400⟧/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧[2]/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[1]⟦TAG:0:2:6400⟧/⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[2]⟦TAG:0:2:6400⟧.[1]⟦TAG:0:2:6400⟧.⟦TAG:0:2:6400⟧⟦TAG:0:2:6400⟧[0]⟦TAG:0:2:6400⟧,,
FILE_SELECT__DATA_00,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
FILE_SELECT__DATA_01,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
FILE_SELECT__DATA_02,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
FILE_SELECT__DATA_03,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
FILE_SELECT__MINIHELP00,Kopiëren,Copy,Copier,Kopieren ,Copia,Copiar,ファイルのコピー,파일 복사,Copy,Copier,Copiar,Kopyala,,
FILE_SELECT__MINIHELP01,Wissen,Erase,Effacer,Löschen,Elimina,Borrar,ファイルをけす,파일 삭제,Erase,Effacer,Borrar,Sil,,
MODE_SELECT_FIRST__TITLE_00,In welke stand wil je spelen?,"Select the game mode
you'd like to play in.",Choisissez un mode de jeu.,Wähle einen Modus.,"Seleziona la modalità
che preferisci.",Elige un modo de juego.,⟦TAG:0:2:6e00⟧ゲームモードをえらんでください⟦TAG:0:2:6400⟧,⟦TAG:0:2:6e00⟧게임 모드를 선택해 주세요.⟦TAG:0:2:6400⟧,Select a preferred game mode.,Choisissez un mode de jeu.,Elige un modo de juego.,"Oynamak istediğin oyun
modunu seç.",,
MODE_SELECT_FIRST__INFO_00,"⟦TAG:1:4:010000000000000020c1⟧
Je kunt wanneer je maar wilt
van spelstand wisselen!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
You can switch the game mode
whenever you feel like it!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Vous pouvez changer de mode de
jeu à n'importe quel moment !
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Du kannst den Modus
jederzeit ändern!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Puoi cambiare modalità
in qualsiasi momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
¡Puedes cambiar de modo de
juego en cualquier momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
ゲームモードは
いつでも⟦TAG:0:0:020002004d30⟧切り⟦TAG:0:0:020002004b30⟧替えることができます
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
게임 모드는
언제든지 변경할 수 있어요.
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
You can switch the game mode
whenever you feel like it!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Vous pouvez changer de mode de
jeu à n'importe quel moment!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
¡Puedes cambiar el modo de
juego en cualquier momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Oyun modunu istediğin
zaman değiştirebilirsin!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000320000006c000000000000002041⟧",,
MODE_SELECT_FIRST__INFO_00k,"⟦TAG:1:4:010000000000000020c1⟧
Je kunt wanneer je maar wilt
van spelstand wisselen!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
You can switch the game mode
whenever you feel like it!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Vous pouvez changer de mode de
jeu à n'importe quel moment !
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Du kannst den Modus
jederzeit ändern!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Puoi cambiare modalità
in qualsiasi momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
¡Puedes cambiar de modo de
juego en cualquier momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
ゲームモードは
いつでも⟦TAG:0:0:020002004d30⟧切り⟦TAG:0:0:020002004b30⟧替えることができます
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
게임 모드는
언제든지 변경할 수 있어요.
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
You can switch the game mode
whenever you feel like it!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Vous pouvez changer de mode de
jeu à n'importe quel moment!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
¡Puedes cambiar el modo de
juego en cualquier momento!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧","⟦TAG:1:4:010000000000000020c1⟧
Oyun modunu istediğin
zaman değiştirebilirsin!
⟦TAG:1:0:14006d006f00640065005f0079006f007300680069001a006d006f00640065005f0079006f007300680069005f003000310000006c000000000000002041⟧",,
SETTING__STYLE_TITLE,Besturing,Controls,Commandes,Steuerung,Comandi,Controles,そうさ,조작,Controls,Commandes,Controles,Kontroller,,
SETTING__STYLE_00,Type A,A Style,Type A,Typ A,Stile A,Estilo A,Aスタイル,A 스타일,A Style,Type A,Estilo A,A Stili,,
SETTING__STYLE_01,Type B,B Style,Type B,Typ B,Stile B,Estilo B,Bスタイル,B 스타일,B Style,Type B,Estilo B,B Stili,,
SETTING__THROW_TITLE,Gooistijl,Throw Style,Type de lancer,Wurftechnik,Sistema di mira,Lanzamiento,なげかた,던지는 스타일,Throw Style,Type de lancer,Lanzamiento,Atış Stili,,
SETTING__THROW_00,Rustig,Patient,Calme,Ruhig,Lento,Normal,じっくり,신중하게,Patient,Calme,Normal,Sakin,,
SETTING__THROW_01,Haastig,Hasty,Rapide,Hastig,Veloce,Rápido,いけいけ,직감적으로,Hasty,Rapide,Rápido,Hızlı,,
SETTING__THROW_02,Kantelen,Tilt,Incliner,Neigen,Inclina,Inclinar,かたむけ,기울이기,Tilt,Incliner,Movimiento,Eğerek,,
SETTING__OK,OKÉ,OK,OK,O.K.,OK,Aceptar,OK,OK,OK,OK,Aceptar,TAMAM,,
HANDLING_INFO__ACTION_00,⟦TAG:0:2:5000⟧Vizier stilzetten⟦TAG:0:2:6400⟧,Cursor Lock,⟦TAG:0:2:5000⟧Verrouiller le viseur⟦TAG:0:2:6400⟧,"⟦TAG:0:2:5000⟧Fadenkreuz
anhalten⟦TAG:0:2:6400⟧",⟦TAG:0:2:5a00⟧Blocca mirino⟦TAG:0:2:6400⟧,Fijar mira,⟦TAG:0:0:0e0002000030⟧カーソルロック,커서 고정,Cursor Lock,Immob. le curseur,Fijar mira,İmleci Sabitle,,
HANDLING_INFO__ACTION_01,⟦TAG:0:2:5000⟧Een bol wol maken⟦TAG:0:2:6400⟧,Make Yarn Ball,⟦TAG:0:2:5000⟧Faire une pelote⟦TAG:0:2:6400⟧,"⟦TAG:0:2:5000⟧Wollknäuel
erzeugen⟦TAG:0:2:6400⟧",⟦TAG:0:2:5a00⟧Crea gomitolo⟦TAG:0:2:6400⟧,Poner ovillo,⟦TAG:0:0:06000a0051304430683060307e30⟧毛糸玉をつくる,털실뭉치 만들기,Make Yarn Ball,Faire une pelote,Poner ovillo,Yün Yumağı Yap,,
HANDLING_INFO__ACTION_02,⟦TAG:0:2:5000⟧Een bol wol gooien⟦TAG:0:2:6400⟧,Ready Yarn Ball,⟦TAG:0:2:5000⟧Lancer une pelote⟦TAG:0:2:6400⟧,"⟦TAG:0:2:5000⟧Wollknäuel
bereit machen⟦TAG:0:2:6400⟧",⟦TAG:0:2:5a00⟧Impugna gomitolo⟦TAG:0:2:6400⟧,Lanzar ovillo,⟦TAG:0:0:06000a0051304430683060307e30⟧毛糸玉かまえ,털실뭉치 준비,Ready Yarn Ball,Lancer une pelote,Lanzar ovillo,Yün Yumağı Hazırla,,
HANDLING_INFO__ACTION_03,⟦TAG:0:2:5000⟧Springen⟦TAG:0:2:6400⟧,Jump,⟦TAG:0:2:5000⟧Sauter⟦TAG:0:2:6400⟧,⟦TAG:0:2:5000⟧Springen⟦TAG:0:2:6400⟧,⟦TAG:0:2:5a00⟧Salta⟦TAG:0:2:6400⟧,Saltar,⟦TAG:0:0:080002000030⟧ジャンプ,점프,Jump,Sauter,Saltar,Zıpla,,
HANDLING_INFO__ACTION_04,⟦TAG:0:2:5000⟧Opslokken/uitspugen⟦TAG:0:2:6400⟧,Eat / Spit Out,⟦TAG:0:2:5000⟧Gober / Cracher⟦TAG:0:2:6400⟧,⟦TAG:0:2:5000⟧Zunge/Spucken⟦TAG:0:2:6400⟧,⟦TAG:0:2:5a00⟧Mangia/Sputa⟦TAG:0:2:6400⟧,Tragar/escupir,⟦TAG:0:0:100002000030⟧たべる/はきだす,먹기/뱉기,Eat / Spit Out,Gober/Cracher,Tragar/escupir,Ye / Tükür,,
WORLDMAP_PAUSE__MENU06,Titelscherm,Back to Title,Écran titre,Titelbildschirm,Torna al titolo,Pantalla del título,タイトルにもどる,타이틀로 돌아가기,Back to Title,Retourner à l'écran titre,Pantalla del título,Başlığa Dön,,
WORLDMAP_PAUSE__WARNING00,"Wil je stoppen met spelen en
teruggaan naar het titelscherm?","Would you like to exit the game
and return to the title screen?","Quitter la partie en cours et
retourner à l'écran titre ?","Möchtest du das Spiel
beenden und zum
Titelbildschirm zurückkehren?","Vuoi uscire e tornare
allo schermo del titolo?","¿Quieres salir del juego y volver
a la pantalla del título?",ゲームをやめてタイトルに もどりますか？,게임을 그만두고 타이틀로 돌아갈까요?,"Would you like to exit the game
and return to the title screen?","Quitter la partie en cours et
retourner à l'écran titre?","¿Quieres dejar de jugar y
regresar a la pantalla 
del título?","Oyundan çıkıp başlık ekranına
dönmek istiyor musun?",,
WORLDMAP_PAUSE__INFO_YOSHI,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
WORLDMAP_PAUSE__INFO_BEADS_TOTAL,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
WORLDMAP_PAUSE__INFO_MIIBEADS,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
WORLDMAP_PAUSE__INFO_SPFLOWERS,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
WORLDMAP__ACCESS_BUTTON,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,⟦TAG:1:1:00cd⟧,,
WORLDMAP__ACCESS_BUTTON_OPT_00,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
WORLDMAP__MINIINFO_SPECIAL_COURSE,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,,
COURSE_INFO__NAME,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],,
COURSE_INFO__MISSION02_RECORD,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,[0]⟦TAG:0:2:4b00⟧/[1]⟦TAG:0:2:6400⟧,,
