file,id,offset,original,translation
00/00_000030.xs,text000008,370,"<T>You can say that again! I'm meant to be
tying up balloons for the carnival, but I've
gone and tied myself up instead!","<T>Aynen öyle! Karnaval için
balonları bağlamam gerekiyordu
ama gidip kendimi bağlamışım!"
00/00_000030.xs,text000009,491,"<T>If the ringmaster catches me like this, it
won't be pretty! Even with all my lovely
balloons! <W>Ohh, I've bungled my last!","<T>Eğer sirk yöneticisi beni böyle
yakalarsa hiç hoş olmaz! Şu güzel
balonlarımla bile! <W>Ahh, rezil oldum!"
00/00_000030.xs,text000010,618,"<T>Be a dear and get me out of this tangle, will
you? Being tied up in all this black string
makes me look like a zebra!","<T>Ne olur şu karmaşadan beni çıkarır
mısın? Bütün bu siyah iplere
dolanınca zebra gibi görünüyorum!"
00/00_000030.xs,text000011,739,コマーニ無,Bungle
00/00_000030.xs,text000012,750,"<T>Oh, you've no idea how grateful I am.
Honestly, I'd give you the world if I had it.
<W>Shame I don't, eh?","<T>Ne kadar minnettar olduğumu bilemezsin.
İnan, elimde olsa sana dünyaları
verirdim. <W>Ama yok işte, değil mi?"
00/00_000030.xs,text000013,859,"<T>Really, sir, there's no need for thanks.","<T>Gerçekten, efendim,
teşekkür etmenize gerek yok."
00/00_000030.xs,text000014,903,"<T><M3/1/1>Well...all right then! I'll just let you enjoy the
carnival. That's as good as any gift!","<T><M3/1/1>Pekâlâ... öyle olsun! O zaman
karnavalın tadını çıkarın. Bu da
herhangi bir hediye kadar güzel!"
00/00_000040.xs,text000000,0,ルーク,Luke
00/00_000040.xs,text000001,7,"でも、お祭りって、
なんか歩くだけでウキウキしてきますね","Ama festivalde sadece yürümek
bile insanı heyecanlandırıyor."
00/00_000040.xs,text000002,63,レイトン,Layton
00/00_000040.xs,text000003,72,"ああ、
カーニバルを楽しんでいきたいところだが、
今は夫人の屋敷に急ごう","Evet, Karnavalın tadını çıkarmak
isterdik ama şimdi madamın
malikanesine acele etmeliyiz."
00/00_000040.xs,text000004,143,はい…残念です,Evet… yazık oldu.
00/00_000040.xs,text000005,158,事件が解決してからゆっくりと楽しめばいいさ,Olay çözüldükten sonra rahatça eğleniriz.
00/00_000040.xs,text000006,201,モブ,Vatandaş
00/00_000040.xs,text000007,206,きゃあーっ！,Aaa!
00/00_000040.xs,text000008,219,！！,！！
00/00_000040.xs,text000009,224,先生！なんでしょう！？,Profesör! Ne oluyor!?
00/00_000040.xs,text000010,247,何が起こったんだ！,Ne oldu böyle!
00/00_000040.xs,text000011,266,みんながパニックになっています！！,Herkes panik içinde!!
00/00_000040.xs,text000012,301,呪いだーっ！仮面の呪いだーっ！,Lanet bu! Maske laneti!
00/00_000040.xs,text000013,332,ひぃいいーっ！,Hiiiii!
00/00_000040.xs,text000014,347,石だ！石になったぞーっ！！,Taş! Taşa dönüştü!!
00/00_000040.xs,text000015,374,石…？,Taş…?
00/00_000040.xs,text000016,381,ああっ！,Ah!
00/00_000040.xs,text000017,390,危ないルーク！,Dikkat et Luke!
00/00_000040.xs,text000018,405,これは…何なんだ！？,Bu… da ne!?
00/00_000040.xs,text000019,426,石像…？,Taş heykel…?
00/00_000050.xs,text000000,0,トリッキー,Yukkles
00/00_000050.xs,text000001,11,"<V0010><T>Hey, <L0.75>I'm trying to escape here! <L2.4>Get out
of the way, will you?</V>","<V0010><T>Hey, <L0.75>Buradan kaçmaya
çalışıyorum! <L2.4>Yoldan çekilir misin?</V>"
00/00_000050.xs,text000002,100,レイトン,Layton
00/00_000050.xs,text000003,109,"<V0020><T>Please, sir. <L0.9>Try to remain calm.</V>","<V0020><T>Lütfen, efendim. <L0.9>sakin kalmaya çalışın.</V>"
00/00_000050.xs,text000004,162,"<V0030><T><M2/1/1>Calm?! <L0.85>Are you blind? <L2.25>Those people have
been turned to stone!</V>","<V0030><T><M2/1/1>Sakin mi?! <L0.85>Kör müsünüz?
<L2.25>O insanlar Taşa dönüştü!</V>"
00/00_000050.xs,text000005,260,ルーク,Luke
00/00_000050.xs,text000006,267,<V0040><T><M3/2/5/25>Professor! <L1.2><M1/2/3/55>How is that possible?</V>,<V0040><T><M3/2/5/25>Profesör! <L1.2><M1/2/3/55>Bu nasıl mümkün olabilir?</V>
00/00_000050.xs,text000007,342,"<V0050><T><M5/2/1/45>A very good question, Luke.</V>","<V0050><T><M5/2/1/45>Çok iyi bir soru, Luke.</V>"
00/00_000050.xs,text000008,395,"<V0070><T><M7/2/5/15>Professor, look up there!</V>","<V0070><T><M7/2/5/15>Profesör, şuraya bakın!</V>"
00/00_000050.xs,text000009,446,<V0080><T><M3/2/1>What on earth...?</V>,<V0080><T><M3/2/1>Bu da ne böyle...?</V>
00/00_000060.xs,text000000,0,奇跡の紳士,Maskeli Beyefendi
00/00_000060.xs,text000001,11,"フフフ…ごきげんよう、諸君、奇跡の紳士だ。
今宵も私の奇跡、楽しんでいただけたかな？","Hihihi… iyi akşamlar, beyler.
Ben Maskeli Beyefendi. Bu gece
de mucizemi beğendiniz mi?"
00/00_000060.xs,text000002,95,"この町の住人たちに警告する。やがて、
この町は…破滅へと導かれるであろう。
この仮面の魔力によって…。ククク…。","Bu şehrin sakinlerini uyarıyorum. Yakında,
bu şehir… yıkıma sürüklenecek. Bu
maskenin büyülü gücüyle… kuhuhuhu…"
00/00_000060.xs,text000003,206,ルーク,Luke
00/00_000060.xs,text000004,213,空を…,Gökyüzüne…
00/00_000060.xs,text000005,220,レミ,Emmy
00/00_000060.xs,text000006,225,教授！ルーク！,Profesör! Luke!
00/00_000060.xs,text000007,240,追いかけましょう！,Peşinden gidelim!
00/00_000060.xs,text000008,259,馬！？,At mı?!
00/00_000060.xs,text000009,266,レイトン,Layton
00/00_000060.xs,text000010,275,よし！,Hadi!
00/00_000060.xs,text000011,282,え、ええーっ！先生！,N-neee! Profesör!
00/00_000060.xs,text000012,303,ルーク！あなたはそっちよ,Luke! Sen o tarafa!
00/00_000060.xs,text000013,328,ボク、これですかあ！,"Ben mi, bu mu?!"
00/00_000060.xs,text000014,349,急ごう！レミ,"Acele edelim, Remi!"
00/00_000060.xs,text000015,362,はい！,Evet!
00/00_000060.xs,text000016,369,待ってくださいよう！,Bekleyin!
00/00_000065.xs,text000000,0,レミ,Emmy
00/00_000065.xs,text000001,5,"<T>[乗馬/じょうば]モードのチュートリアル。
イベントで[行/おこな]うかどうかは[未定/みてい]。","<T>[Binicilik/binicilik] modu eğitimi. Etkinlikte
[uygulanıp/uygulanıp] uygulanmayacağı [belirsiz/belirsiz]."
00/00_000065.xs,text000002,97,<T>とりあえず確保しておきます。,<T>Şimdilik burada dursun diye ayırıyorum.
00/00_000070.xs,text000000,0,レイトン,Layton
00/00_000070.xs,text000001,9,しまった！,Kahretsin!
00/00_000070.xs,text000002,20,レミ,Emmy
00/00_000070.xs,text000003,25,ううっ！,Uuuh!
00/00_000070.xs,text000004,34,ルーク,Luke
00/00_000070.xs,text000005,41,先生、あそこです！,"Profesör, orada!"
00/00_000070.xs,text000006,60,おかしいです、先生！,"Bir tuhaflık var, profesör!"
00/00_000070.xs,text000007,81,マントが,Pelerini…
00/00_000070.xs,text000008,17,！,！
00/00_000080.xs,text000000,0,ルーク,Luke
00/00_000080.xs,text000001,7,<V0010><T><K>Ahh!</K> He got away!</V>,<V0010><T><K>Ahh!</K> Kaçtı!</V>
00/00_000080.xs,text000002,46,レイトン,Layton
00/00_000080.xs,text000003,55,"<V0020><T><M4/2/1/45>Yes, he had quite an advantage over us.</V>","<V0020><T><M4/2/1/45>Evet, bize karşı oldukça avantajlıydı.</V>"
00/00_000080.xs,text000004,120,レミ,Emmy
00/00_000080.xs,text000005,125,"<V0030><T><M3/1/2/15>I suppose we can assume that was the
Masked Gentleman.</V>","<V0030><T><M3/1/2/15>Sanırım onun Maskeli Beyefendi
olduğunu varsayabiliriz.</V>"
00/00_000080.xs,text000006,205,"<V0040><T><M2/2/1>Was he using some sort of magic,
Professor? <L3.0>How did he do all that?</V>","<V0040><T><M2/2/1>Bir çeşit sihir mi kullanıyordu,
Profesör? <L3.0>Bunların hepsini nasıl yaptı?</V>"
00/00_000080.xs,text000007,301,"<V0050><T>Luke, I can honestly say...<L2.5>I don't know.</V>","<V0050><T>Luke, dürüstçe söyleyebilirim
ki...<L2.5>Bilmiyorum.</V>"
00/00_000080.xs,text000008,362,"Magic seemed to be the only thing that
could explain what we had seen.","Gördüklerimizi açıklayabilecek tek
şeyin sihir olduğu anlaşılıyordu."
00/00_000080.xs,text000009,433,"It disturbed me to see the professor
at such a loss.

It made me wish he'd never received
that strange letter in the first place...","Profesörün böylesine çaresiz
kalması beni rahatsız etmişti.

Keşke en başta o tuhaf mektubu
hiç almasaydı diye düşündüm..."
00/00_002010.xs,text000000,0,ルーク,Luke
00/00_002010.xs,text000001,7,"<T>うーん、どこもかしこもキラキラで
なんだか、テーマパークに[来/き]た[気分/きぶん]です！","<T>Vay be, her yer ışıl ışıl! Sanki bir tema
parkına [gelmişim/gelmişim] gibi hissediyorum!"
00/00_002010.xs,text000002,96,レイトン,Layton
00/00_002010.xs,text000003,105,"<T><M2/1/1/45>まるで、おだやかな[日常生活/にちじょうせいかつ]から
[切/き]り[離/はな]されたかのような、[夢/ゆめ]と[希望/きぼう]の[別天地/べってんち]。
<W>それが[奇跡/きせき]の[街/まち]モンテドールなのさ。","<T><M2/1/1/45>Sanki sakin [günlük yaşamdan/günlük yaşamdan] [koparılmış/koparılmış] gibi;
[rüya/rüya] ve [umut/umut] dolu [bambaşka bir dünya/bambaşka bir dünya]. <W>İşte
[Mucizeler/Mucizeler] [Şehri/Şehri] Monte d'Or böyle bir yer."
00/00_002010.xs,text000004,309,"<T><M1/2/1/30>ところで、レイトン[先生/せんせい]。
こんなにも[賑/にぎ]やかで[楽/たの]しそうな[街/まち]なのに、
ホントに[事件/じけん]なんて[起/お]きるんでしょうか…？","<T><M1/2/1/30>Bu arada, Profesör Layton. Burası
bu kadar [hareketli/hareketli] ve [eğlenceli/eğlenceli] bir
[şehir/şehir]ken, gerçekten [olaylar/olaylar] yaşanır mı…?"
00/00_002010.xs,text000005,474,"<T><M-/2/-/30>たしかに、カーニバルの[様子/ようす]を[見/み]ていると、
そんな[事件/じけん]とは[無縁/むえん]の[場所/ばしょ]なのではないかと
[疑/うたが]いたくなってしまうのもムリはないが…。","<T><M-/2/-/30>Doğrusu karnavalın [hâline/hâline] bakınca,
buranın böyle [olaylarla/olaylarla] [ilgisi olmayan/ilgisi olmayan]
bir [yer/yer] olduğunu [düşünmek/düşünmek] de normal…"
00/00_002010.xs,text000006,661,"<T><M5/1/1/30>ともかく、[私/わたし]たちにはまだ[情報/じょうほう]が[足/た]りない。
[少/すこ]しずつ[調査/ちょうさ]を[進/すす]めながら[先/さき]へ[進/すす]むとしよう。","<T><M5/1/1/30>Her durumda elimizde hâlâ yeterli
[bilgi/bilgi] yok. [İncelemeyi/İncelemeyi] adım adım
[ilerletip/ilerletip] yolumuza [devam edelim/devam edelim]."
00/00_002010.xs,text000007,825,"<T><M-/1/-/30>そうですね！
<W><M7/1/1/20>じゃあさっそく[調査/ちょうさ]を[始/はじ]めましょう！","<T><M-/1/-/30>Haklısınız! <W><M7/1/1/20>O zaman hemen
[incelemeye/incelemeye] [başlayalım/başlayalım]!"
00/00_002010.xs,text000008,919,"<T><M9/1/1/30>ルーク、ちょっと[待/ま]ってくれ。
その[前/まえ]に『[調査/ちょうさ]』の[方法/ほうほう]を[覚/おぼ]えておこう。
[今/いま]までと[少/すこ]し[違/ちが]うからよく[聞/き]いていてくれ。","<T><M9/1/1/30>Luke, biraz [bekle/bekle]. Önce ""inceleme""
[yöntemini/yöntemini] [öğrenelim/öğrenelim]. Daha
[öncekinden/öncekinden] biraz [farklı/farklı], iyi [dinle/dinle]."
00/00_002010.xs,text000009,1109,<T><M1/2/1/30>…あっ、はい！,"<T><M1/2/1/30>…Ah, evet!"
00/00_002010.xs,text000010,1138,"<T><M6/1/1/30>[下画面/したがめん]の[隅/すみ]にある[調査/ちょうさ]アイコンを
タッチすると[調査/ちょうさ]モードに[切/き]り[替/か]わるよ。","<T><M6/1/1/30>[Alt ekranın/Alt ekranın] [köşesindeki/köşesindeki] inceleme simgesine
dokunursan İnceleme Modu'na geçersin."
00/00_002010.xs,text000011,1274,"<T>[調査/ちょうさ]モード[中/ちゅう]は[虫/むし]メガネカーソルが
[上画面/うえがめん]に[表示/ひょうじ]されるんだ。こんなふうにね。","<T>İnceleme modundayken büyüteç
imleci [üst ekranda/üst ekranda] görünür. Böyle."
00/00_002010.xs,text000012,1402,"<T><M2/1/1/30>タッチペンで[下画面/したがめん]をスライドすると
[虫/むし]メガネカーソルをぐりぐり[動/うご]かせる。
<W>[線/せん]を[引/ひ]くようにスライドするのがコツさ。","<T><M2/1/1/30>Kalemle alt ekranı kaydırarak büyüteç
imlecini [hareket ettirebilirsin/hareket ettirebilirsin]. <W>Çizgi
çizer gibi kaydırmak işin püf noktasıdır."
00/00_002010.xs,text000013,1569,"<T>そして、[虫/むし]メガネを[動/うご]かしていると、
オレンジ[色/いろ]に[光/ひか]ることがあるんだ。","<T>Büyüteci hareket ettirirken bazı yerlerin
turuncu renkte parladığını görebilirsin."
00/00_002010.xs,text000014,1668,"<T>[反応/はんのう]を[示/しめ]すポイントを[見/み]つけたら、
こんどは[下画面/したがめん]をちょこんとタッチしよう。
<W>そのポイントをチェックすることができる。","<T>Etkileşime uygun bir nokta bulunca,
alt ekrana hafifçe dokun. <W>Böylece
o noktayı kontrol edebilirsin."
00/00_002010.xs,text000015,1825,"<T><M4/1/1/30>[虫/むし]メガネを[動/うご]かすときとはちがって、
つつくように[短/みじか]くタッチするのがコツさ。
<W>ふたつの[操作/そうさ]を、うまく[使/つか]い[分/わ]けていこう。","<T><M4/1/1/30>Büyüteci hareket ettirmekten farklı olarak,
dürter gibi [kısa/kısa] dokunmak püf noktasıdır.
<W>Bu iki işlemi doğru şekilde kullan."
00/00_002010.xs,text000016,2001,"<T><M2/1/-/30>『[下画面/したがめん]をぐりぐりスライドして[動/うご]かす』
『[下画面/したがめん]を[短/みじか]くタッチしてチェックする』
<M-/1/-/->…なるほど、[覚/おぼ]えておきます。","<T><M2/1/-/30>""Alt ekranı kaydırarak etrafa bakmak""
""Alt ekrana kısa dokunarak kontrol
etmek"" <M-/1/-/->…Anladım, aklımda tutacağım."
00/00_002010.xs,text000017,2181,"<T>それじゃあ、さっそく[調査/ちょうさ]をしてみよう。
[気/き]になるところをチェックしてごらん。","<T>O zaman hemen incelemeye başlayalım.
Merak ettiğin yerleri kontrol et."
00/00_002020.xs,text000000,0,レイトン,Layton
00/00_002020.xs,text000001,9,<T>なかなかいいナゾだったね。,<T>Güzel bir bilmeceydi.
00/00_002020.xs,text000002,39,ルーク,Luke
00/00_002020.xs,text000003,46,"<T>でも、このトウモロコシ、
ひどい[虫食/むしく]いで[食/た]べられそうにないです…。","<T>Ama bu mısır, çok kötü
[kurtlu/kurtlu], yenilecek gibi değil…"
00/00_002020.xs,text000004,129,"<T><M5/2/1/30>ルーク…。<W>
[噴水/ふんすい]の[中/なか]に[沈/しず]んでいたトウモロコシを
[食/た]べるつもりだったのかい？","<T><M5/2/1/30>Luke…<W> Çeşmenin içinde
duran mısırı yemeyi
mi düşünüyordun?"
00/00_002020.xs,text000005,249,"<T><M3/1/2/15>い、<W>いやだなぁ…！<W>
そそそそんなハズないじゃないですか…！","<T><M3/1/2/15>Ş-şaka, <W>hayır...!<W> Öyle
bir şey olamaz...!"
00/00_002020.xs,text000006,327,"<T><M4/1/1/30>…さ、さあ！<W>
[気/き]をとりなおして[調査再開/ちょうささいかい]です！","<T><M4/1/1/30>…S-şey!<W> Kendimize gelelim
ve incelemeye devam edelim!"
00/00_002020.xs,text000007,412,"<T>そうだ、<W>さっきから[気/き]になってたんですが、
<M7/1/1/30>[向/む]こうに[見/み]えるあのテント、[大/おお]きいですよね！<W>
カーニバルの[飾/かざ]りつけでしょうか！？","<T>Doğru ya, <W>az önce dikkatimi çekmişti.
<M7/1/1/30>Şu karşıdaki çadır ne kadar büyük!<W>
Karnaval süslemeleri mi acaba!?"
00/00_002020.xs,text000008,580,"<T><M2/1/1/30>ああ、きっとそうだろうね。
[電飾/でんしょく]や[旗/はた]が[取/と]り[付/つ]けられていて[実/じつ]に[華/はな]やかだ。","<T><M2/1/1/30>Evet, muhtemelen öyledir.
Işıklar ve bayraklarla süslenmiş;
gerçekten çok gösterişli."
00/00_002020.xs,text000009,708,"<T><M6/1/1/30>うーん、もっと[近/ちか]くで[見/み]てみたいです…。
はやく[向/む]こうまで[行/い]ってみましょうよ！","<T><M6/1/1/30>Hmm, daha yakından görmek
istiyorum… Hadi çabuk oraya gidelim!"
00/00_002020.xs,text000010,820,"<T><M9/1/1/30>[慌/あわ]ててはいけないよ、ルーク。
その[前/まえ]に『[移動/いどう]』について[説明/せつめい]しておこう。","<T><M9/1/1/30>Acele etme, Luke. Önce
""hareket"" hakkında açıklayayım."
00/00_002020.xs,text000011,938,<T><M3/1/1/15>おっと、そうでした！,"<T><M3/1/1/15>Aaa, doğru ya!"
00/00_002020.xs,text000012,973,"<T><M6/1/1/30>[調査/ちょうさ]モードのあいだは[下画面/したがめん]に
「ちずにもどる」ボタンが[表示/ひょうじ]されている。","<T><M6/1/1/30>İnceleme modundayken alt ekranda
""haritaya dön"" düğmesi görünür."
00/00_002020.xs,text000013,1092,"<T>これをタッチすると[調査/ちょうさ]モードから
[移動/いどう]モードに[切/き]り[替/か]えることができるんだ。","<T>Buna dokunarak İnceleme Modu'ndan
Hareket Modu'na geçebilirsin."
00/00_002020.xs,text000014,1199,"<T><M4/1/1/30>オレンジ[色/いろ]に[光/ひか]っているマーカーは、
[私/わたし]たちが[移動/いどう]できる[場所/ばしょ]を[示/しめ]している。<W>
マーカーを[直接/ちょくせつ]タッチすれば[移動/いどう]できるよ。","<T><M4/1/1/30>Turuncu parlayan işaretçiler,
gidebileceğimiz yerleri gösterir.<W> İşaretçiye
doğrudan dokunursan oraya gidersin."
00/00_002020.xs,text000015,1399,<T><M2/1/1/30>どうだい、カンタンだろう？,"<T><M2/1/1/30>Nasıl, kolay değil mi?"
00/00_002020.xs,text000016,1440,"<T>ふむふむ…。<W><M-/1/-/->[要/よう]するに、[行/い]きたい[場所/ばしょ]を
タッチすればいいってことですよね！","<T>Hımm…<W><M-/1/-/->Yani kısacası, gitmek istediğim
yere dokunmam yeterli, değil mi!"
00/00_002020.xs,text000017,1549,"<T><M1/1/1/30>そういうことさ。
では、テントの[方向/ほうこう]へ[移動/いどう]してみよう。
[調査/ちょうさ]の[基本/きほん]は[足/あし]からだよ。","<T><M1/1/1/30>Aynen öyle. O halde çadıra doğru
hareket edelim. Soruşturmanın
temeli sahaya inmekten geçer."
00/00_002030.xs,text000000,0,ルーク,Luke
00/00_002030.xs,text000001,7,<T>うわぁ、この[大/おお]きなテント！,"<T>Vay canına, ne büyük bir çadır!"
00/00_002030.xs,text000002,44,"<T>ココから[見上/みあ]げると
いちだんと[迫力/はくりょく]がありますね！","<T>Buradan yukarı bakınca çok
daha etkileyici görünüyor!"
00/00_002030.xs,text000003,115,レイトン,Layton
00/00_002030.xs,text000004,124,"<T>どうやらテントの[下/した]はパフォーマンスに[使/つか]う
スペースになっているようだね。","<T>Anlaşılan çadırın altı gösteriler
için kullanılan bir alan olmuş."
00/00_002030.xs,text000005,213,"<T>そうだ、ルーク。
あそこにいるピエロの[彼/かれ]に[話/はなし]をきいてみよう。
なにかおもしろい[話/はなし]が[聞/き]けるかもしれない。","<T>Doğru ya, Luke. Şuradaki
palyaçoyla konuşalım. Belki
ilginç bir şeyler öğreniriz."
00/00_002030.xs,text000006,347,<T>わかりました！,<T>Anlaşıldı!
00/00_002040.xs,text000000,0,ルーク,Luke
00/00_002040.xs,text000001,7,"<T>[見/み]てください、[先生/せんせい]。
[噴水/ふんすい]の[中/なか]からこーんなに[大/おお]きな
トウモロコシを[見/み]つけちゃいました！","<T>Bakın profesör. Çeşmenin
içinden böylesine
büyük bir mısır buldum!"
00/00_002040.xs,text000002,141,レイトン,Layton
00/00_002040.xs,text000003,150,"<T>どうしてそんなところに…？<W>
<M2/1/1/30>いや、それにしても[立派/りっぱ]なトウモロコシだね。","<T>Orada ne işi var…?<W> <M2/1/1/30>Ama
doğrusu, ne kadar da iri bir mısır."
00/00_002040.xs,text000004,246,<T>これ、[誰/だれ]かのおとしものでしょうか？,"<T>Bu, birinin düşürdüğü bir şey olabilir mi?"
00/00_002040.xs,text000005,291,"<T><M4/2/1/30>そんなに[大/おお]きなものを
[落/お]とすというのも[考/かんが]えにくいが…。","<T><M4/2/1/30>Bu kadar büyük bir şeyi
düşürmek kolay değil ama…"
00/00_002040.xs,text000006,380,<T><M5/2/1/15>………おや？,<T><M5/2/1/15>…Hımm?
