file,source_sha256,id,offset,original,translation
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000008,658,"<T><M9/1/1>Just a moment, Luke. Let's acquaint
ourselves with some new methods. We don't
want to grow complacent.","<T><M9/1/1>Bir dakika, Luke. Yeni yontemlere
asina olalim. Rehavete
kapilmak istemeyiz."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000009,772,"<T><M1/2/1>Oh, sorry! I'm listening.","<T><M1/2/1>Ah, ozur dilerim! Dinliyorum."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000010,809,"<T><M6/1/1/45>You can touch the magnifying glass in the
corner of the Touch Screen to switch to
Investigation Mode.","<T><M6/1/1/45>Dokunmatik Ekran'in kosesindeki buyutece
dokunarak
Inceleme Modu'na gecebilirsin."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000011,925,"<T>In this mode, the magnifying glass will
appear on the top screen, like so.","<T>Bu modda buyutec
ust ekranda boyle gorunur."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000012,1003,"<T><M2/1/1>You can move it around by sliding the stylus
on the Touch Screen.","<T><M2/1/1>Kalemi Dokunmatik Ekran uzerinde kaydirarak
buyuteci hareket ettirebilirsin."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000013,1080,"<T>You'll notice that when you move the
magnifying glass over certain areas, it turns
orange.","<T>Buyuteci belirli bolgelerin uzerine getirdiginde
renginin
turuncuya dondugunu fark edeceksin."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000014,1174,"<T><M6/1/1>This means you can interact with the
environment in some way. Just touch the
Touch Screen to investigate.","<T><M6/1/1>Bu, cevreyle bir sekilde etkilesime
girebilecegin anlamina gelir. Incelemek icin
Dokunmatik Ekran'a dokunman yeterli."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000015,1291,"<T><M4/1/1/45>You needn't do anything fancy. A brief
touch on the screen should do the trick.
<W>Are you following so far?","<T><M4/1/1/45>Ozel bir sey yapmana gerek yok. Ekrana kisa
bir dokunus yeter.
<W>Buraya kadar takip edebildin mi?"
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000016,1414,"<T><M2/1/1>I think so. Just slide the stylus on the
Touch Screen to look around, <M1/1/1>and give it
a quick tap to investigate?","<T><M2/1/1>Sanirim. Etrafa bakmak icin kalemi
Dokunmatik Ekran uzerinde kaydirip, <M1/1/1>incelemek icin de
kisa bir dokunus yapacagiz, oyle mi?"
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000017,1543,"<T><M6/1/1/45>Precisely. Well then, I'll let you get on with
it. Be sure to check anything that looks out
of the ordinary.","<T><M6/1/1/45>Aynen oyle. O halde devam et.
Siradisi gorunen her seyi
mutlaka kontrol et."
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000000,0,コマーニ有,コマーニ有
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000001,11,<T>H-h-heeeeeelp!,<T>I-i-imdaaaat!
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000002,29,ルーク,ルーク
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000003,36,"<T><M7/2/5/15>Look at all the balloons that clown has!
<W>Umm, he's all wrapped up in the strings.
Is that normal?","<T><M7/2/5/15>Su palyaconun balonlarina bakin!
<W>Sey… iplerine tamamen dolanmis.
Bu normal mi?"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000004,151,レイトン,レイトン
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000005,160,"<T><M5/2/1>At a glance, I'd have to say no. Let's get
him down from there, shall we?","<T><M5/2/1>Ilk bakista hayir derim. Haydi
onu oradan indirelim, olur mu?"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000006,245,<T>Huffff! <W>Gnghhh. <W30>Gnngghhhhhhhhhh!,<T>Hifff! <W>Gnnngh… <W30>Gnnnghhhhhhhhh!
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000007,289,"<T><M3/2/2/15>Are you all right, sir? It doesn't look very
comfortable up there!","<T><M3/2/2/15>Iyi misiniz, efendim? Orasi pek
rahat gorunmuyor!"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000008,370,"<T>You can say that again! I'm meant to be
tying up balloons for the carnival, but I've
gone and tied myself up instead!","<T>Aynen oyle! Karnaval icin
balonlari baglamam gerekiyordu ama
gidip kendimi baglamisim!"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000009,491,"<T>If the ringmaster catches me like this, it
won't be pretty! Even with all my lovely
balloons! <W>Ohh, I've bungled my last!","<T>Eger sirk yoneticisi beni boyle yakalarsa
hic hos olmaz! Su guzel
balonlarimla bile! <W>Ahh, rezil oldum!"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000010,618,"<T>Be a dear and get me out of this tangle, will
you? Being tied up in all this black string
makes me look like a zebra!","<T>Ne olur su karmasadan beni cikarir misin?
Butun bu siyah iplere dolaninca
zebra gibi gorunuyorum!"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000011,739,コマーニ無,コマーニ無
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000012,750,"<T>Oh, you've no idea how grateful I am.
Honestly, I'd give you the world if I had it.
<W>Shame I don't, eh?","<T>Ne kadar minnettar oldugumu bilemezsin.
Inan, elimde olsa sana dunyalari verirdim.
<W>Ama yok iste, degil mi?"
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000013,859,"<T>Really, sir, there's no need for thanks.","<T>Gercekten, efendim, tesekkur etmenize gerek yok."
00/00_000030.xs,6d06d59f3424fac336fcbfbf5fe75bfc74b5912ef3100d003ef781d32f0d04da,text000014,903,"<T><M3/1/1>Well...all right then! I'll just let you enjoy the
carnival. That's as good as any gift!","<T><M3/1/1>Pekala... oyle olsun! O zaman
karnavalin tadini cikarin. Bu da
hediye sayilir!"
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000000,0,ルーク,ルーク
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000001,7,"でも、お祭りって、
なんか歩くだけでウキウキしてきますね","Ama festivalde
sadece yurumek bile insani heyecanlandiriyor."
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000002,63,レイトン,レイトン
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000003,72,"ああ、
カーニバルを楽しんでいきたいところだが、
今は夫人の屋敷に急ごう","Evet,
Karnavalin tadini cikarmak isterdik ama
simdi madamin malikanesine acele etmeliyiz."
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000004,143,はい…残念です,Evet… yazik oldu.
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000005,158,事件が解決してからゆっくりと楽しめばいいさ,Olay cozuldukten sonra rahatca egleniriz.
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000006,201,モブ,Vatandas
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000007,206,きゃあーっ！,Aaa!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000008,219,！！,！！
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000009,224,先生！なんでしょう！？,Profesor! Ne oluyor!?
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000010,247,何が起こったんだ！,Ne oldu boyle!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000011,266,みんながパニックになっています！！,Herkes panik icinde!!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000012,301,呪いだーっ！仮面の呪いだーっ！,Lanet bu! Maske laneti!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000013,332,ひぃいいーっ！,Hiiiii!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000014,347,石だ！石になったぞーっ！！,Tas! Tasa donustu!!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000015,374,石…？,Tas…?
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000016,381,ああっ！,Ah!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000017,390,危ないルーク！,Dikkat et Luke!
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000018,405,これは…何なんだ！？,Bu… da ne!?
00/00_000040.xs,cc1e5bcdcd5bdd12a311b1f252e79465d34b49e6c7522046d012a408ed3aec88,text000019,426,石像…？,Tas heykel…?
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000000,0,トリッキー,Tricky
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000001,11,"<V0010><T>Hey, <L0.75>I'm trying to escape here! <L2.4>Get out
of the way, will you?</V>","<V0010><T>Hey, <L0.75>Buradan kacmaya calisiyorum! <L2.4>Yoldan
cekilir misin?</V>"
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000002,100,レイトン,レイトン
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000003,109,"<V0020><T>Please, sir. <L0.9>Try to remain calm.</V>","<V0020><T>Lutfen, efendim. <L0.9>Sakin kalmaya calisin.</V>"
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000004,162,"<V0030><T><M2/1/1>Calm?! <L0.85>Are you blind? <L2.25>Those people have
been turned to stone!</V>","<V0030><T><M2/1/1>Sakin mi?! <L0.85>Kor musunuz? <L2.25>O insanlar
tasa donustu!</V>"
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000005,260,ルーク,ルーク
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000006,267,<V0040><T><M3/2/5/25>Professor! <L1.2><M1/2/3/55>How is that possible?</V>,<V0040><T><M3/2/5/25>Profesor! <L1.2><M1/2/3/55>Bu nasil mumkun olabilir?</V>
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000007,342,"<V0050><T><M5/2/1/45>A very good question, Luke.</V>","<V0050><T><M5/2/1/45>Cok iyi bir soru, Luke.</V>"
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000008,395,"<V0070><T><M7/2/5/15>Professor, look up there!</V>","<V0070><T><M7/2/5/15>Profesor, suraya bakin!</V>"
00/00_000050.xs,38624b1b3d46bbce931b235d139335bf2db64c978d9a62c47c7750bf8c3c446f,text000009,446,<V0080><T><M3/2/1>What on earth...?</V>,<V0080><T><M3/2/1>Bu da ne boyle...?</V>
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000000,0,奇跡の紳士,Maskeli Beyefendi
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000001,11,"フフフ…ごきげんよう、諸君、奇跡の紳士だ。
今宵も私の奇跡、楽しんでいただけたかな？","Hihihi… iyi aksamlar, beyler. Ben Maskeli Beyefendi.
Bu gece de mucizemi begendiniz mi?"
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000002,95,"この町の住人たちに警告する。やがて、
この町は…破滅へと導かれるであろう。
この仮面の魔力によって…。ククク…。","Bu sehrin sakinlerini uyariyorum. Yakinda,
bu sehir… yikima suruklenecek.
Bu maskenin buyulu gucuyle… kuhuhuhu…"
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000003,206,ルーク,ルーク
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000004,213,空を…,Gokyuzune…
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000005,220,レミ,レミ
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000006,225,教授！ルーク！,Profesor! Luke!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000007,240,追いかけましょう！,Pesinden gidelim!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000008,259,馬！？,At mi?!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000009,266,レイトン,レイトン
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000010,275,よし！,Hadi!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000011,282,え、ええーっ！先生！,N-neee! Profesor!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000012,303,ルーク！あなたはそっちよ,Luke! Sen o tarafa!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000013,328,ボク、これですかあ！,"Ben mi, bu mu?!"
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000014,349,急ごう！レミ,"Acele edelim, Remi!"
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000015,362,はい！,Evet!
00/00_000060.xs,3ea5fe3c200477b24d085ffdc3a6adfaf61312228bac3abc49ae4bbc84d44979,text000016,369,待ってくださいよう！,Bekleyin!
00/00_000065.xs,3191b0fd84adf8f038de1cb2ac4e0892a17d43edfafe5d5861436a2de1a6ee14,text000000,0,レミ,レミ
00/00_000065.xs,3191b0fd84adf8f038de1cb2ac4e0892a17d43edfafe5d5861436a2de1a6ee14,text000001,5,"<T>[乗馬/じょうば]モードのチュートリアル。
イベントで[行/おこな]うかどうかは[未定/みてい]。","<T>[Binicilik/binicilik] modu egitimi.
Etkinlikte [uygulanip/uygulanip] uygulanmayacagi [belirsiz/belirsiz]."
00/00_000065.xs,3191b0fd84adf8f038de1cb2ac4e0892a17d43edfafe5d5861436a2de1a6ee14,text000002,97,<T>とりあえず確保しておきます。,<T>Simdilik burada dursun diye ayiriyorum.
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000000,0,レイトン,レイトン
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000001,9,しまった！,Kahretsin!
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000002,20,レミ,レミ
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000003,25,ううっ！,Uuuh!
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000004,34,ルーク,ルーク
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000005,41,先生、あそこです！,"Profesor, orada!"
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000006,60,おかしいです、先生！,"Bir tuhaflik var, profesor!"
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000007,81,マントが,Pelerini…
00/00_000070.xs,845723f1ec15b1eb12dde91e857a038585250500ad88c1843fe989b18f7fe984,text000008,17,！,！
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000000,0,ルーク,ルーク
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000001,7,<V0010><T><K>Ahh!</K> He got away!</V>,<V0010><T><K>Ahh!</K> Kacti!</V>
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000002,46,レイトン,レイトン
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000003,55,"<V0020><T><M4/2/1/45>Yes, he had quite an advantage over us.</V>","<V0020><T><M4/2/1/45>Evet, bize karsi oldukca avantajliydi.</V>"
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000004,120,レミ,レミ
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000005,125,"<V0030><T><M3/1/2/15>I suppose we can assume that was the
Masked Gentleman.</V>","<V0030><T><M3/1/2/15>Sanirim onun Maskeli Beyefendi
oldugunu varsayabiliriz.</V>"
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000006,205,"<V0040><T><M2/2/1>Was he using some sort of magic,
Professor? <L3.0>How did he do all that?</V>","<V0040><T><M2/2/1>Bir cesit sihir mi kullaniyordu,
Profesor? <L3.0>Bunlarin hepsini nasil yapti?</V>"
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000007,301,"<V0050><T>Luke, I can honestly say...<L2.5>I don't know.</V>","<V0050><T>Luke, durustce soyleyebilirim ki...<L2.5>Bilmiyorum.</V>"
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000008,362,"Magic seemed to be the only thing that
could explain what we had seen.","Gorduklerimizi aciklayabilecek tek seyin
sihir oldugu anlasiliyordu."
00/00_000080.xs,43bc3be97e652a3643c459894b04be070e0d35b918b8f0730be6ac489611baa9,text000009,433,"It disturbed me to see the professor
at such a loss.

It made me wish he'd never received
that strange letter in the first place...","Profesorun boylesine
caresiz kalmasi beni rahatsiz etmisti.

Keske en basta
o tuhaf mektubu hic almasaydi diye dusundum..."
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000000,0,ルーク,ルーク
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000001,7,"<T>うーん、どこもかしこもキラキラで
なんだか、テーマパークに[来/き]た[気分/きぶん]です！","<T>Vay be, her yer isil isil!
Sanki bir tema parkina [gelmisim/gelmisim] gibi hissediyorum!"
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000002,96,レイトン,レイトン
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000003,105,"<T><M2/1/1/45>まるで、おだやかな[日常生活/にちじょうせいかつ]から
[切/き]り[離/はな]されたかのような、[夢/ゆめ]と[希望/きぼう]の[別天地/べってんち]。
<W>それが[奇跡/きせき]の[街/まち]モンテドールなのさ。","<T><M2/1/1/45>Sanki sakin [gunluk yasamdan/gunluk yasamdan]
[koparilmis/koparilmis] gibi, [ruya/ruya] ve [umut/umut] dolu bir [baska dunya/baska dunya].
<W>Iste [mucizelerin/mucizelerin] [sehri/sehri] Monte d'Or budur."
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000004,309,"<T><M1/2/1/30>ところで、レイトン[先生/せんせい]。
こんなにも[賑/にぎ]やかで[楽/たの]しそうな[街/まち]なのに、
ホントに[事件/じけん]なんて[起/お]きるんでしょうか…？","<T><M1/2/1/30>Bu arada, Profesor Layton.
Burasi bu kadar [hareketli/hareketli] ve [eglenceli/eglenceli] bir [sehir/sehir]ken,
gercekten [olaylar/olaylar] yasanir mi…?"
00/00_002010.xs,fbd3a869508b5c191f229d514c74e07d36488a198ac73a650b4fda707817bec5,text000005,474,"<T><M-/2/-/30>たしかに、カーニバルの[様子/ようす]を[見/み]ていると、
そんな[事件/じけん]とは[無縁/むえん]の[場所/ばしょ]なのではないかと
[疑/うたが]いたくなってしまうのもムリはないが…。","<T><M-/2/-/30>Dogrusu karnavalin [haline/haline] bakinca,
buranin boyle [olaylarla/olaylarla] [ilgisi olmayan/ilgisi olmayan] bir [yer/yer] oldugunu
[dusunmek/dusunmek] de normal…"
