file,id,metin,not
00/00_000010.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000080.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000080.xs,text000004,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002010.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002010.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002020.xs,text000000,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002020.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002030.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002030.xs,text000003,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002040.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002040.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002040.xs,text000016,[不要/ふよう],Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002050.xs,text000003,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002050.xs,text000007,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002060.xs,text000000,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_002060.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010011.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010011.xs,text000002,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010011.xs,text000005,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010090.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010090.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010090.xs,text000004,マカロン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010090.xs,text000010,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010090.xs,text000019,タニア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010110.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010110.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010110.xs,text000007,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010115.xs,text000000,コマーニ無,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010115.xs,text000002,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010115.xs,text000006,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010115.xs,text000018,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010130.xs,text000000,ヤッタイ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010130.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010130.xs,text000004,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010140.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010140.xs,text000002,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010140.xs,text000005,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010140.xs,text000009,フランキ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010140.xs,text000015,ナルキス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010180.xs,text000000,シャロア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010180.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010180.xs,text000004,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010180.xs,text000006,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010195.xs,text000000,ヌーデン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010195.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010195.xs,text000007,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010240.xs,text000000,コッペリア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010240.xs,text000003,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010240.xs,text000015,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010270.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010270.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010270.xs,text000005,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010270.xs,text000014,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010300.xs,text000000,ラプンシュカ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010300.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010300.xs,text000017,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010320.xs,text000000,ジャグラー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010320.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010320.xs,text000005,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010335.xs,text000000,ダンチョー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010335.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010335.xs,text000023,茶ウサルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010335.xs,text000026,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010335.xs,text000038,白ウサルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010350.xs,text000000,バスカル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010350.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010350.xs,text000006,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010350.xs,text000009,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010370.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010370.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
01/01_010370.xs,text000007,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070060.xs,text000000,ニルス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070060.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070060.xs,text000007,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070060.xs,text000011,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070070.xs,text000000,トリッキー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070130.xs,text000000,コッペリア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070150.xs,text000000,ギラン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070150.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070150.xs,text000011,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070152.xs,text000000,ギラン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070154.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070154.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070154.xs,text000009,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070180.xs,text000000,セレナ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070180.xs,text000005,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070180.xs,text000007,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070220.xs,text000000,ラプンシュカ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070220.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070240.xs,text000000,オージー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070330.xs,text000000,ハインリヒ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070510.xs,text000000,パンチョン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070550.xs,text000000,コマーニ有,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070550.xs,text000008,コマーニ無,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070570.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070570.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_070570.xs,text000008,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071041.xs,text000000,アルダス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071041.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071060.xs,text000000,ヌーデン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071060.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071070.xs,text000000,ヌーデン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071070.xs,text000003,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071110.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071110.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071180.xs,text000000,フランキ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071180.xs,text000002,ナルキス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071180.xs,text000007,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071190.xs,text000000,ユーミン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071190.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071190.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071240.xs,text000000,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071240.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071240.xs,text000007,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
07/07_071240.xs,text000015,ヌーデン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170000.xs,text000000,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170000.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170010.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170010.xs,text000005,ニルス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170010.xs,text000021,セレナ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170020.xs,text000000,パック,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170020.xs,text000003,コマーニ無,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170020.xs,text000007,コマーニ有,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170020.xs,text000012,ジャグラー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170030.xs,text000000,ラプンシュカ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170030.xs,text000002,パンチョン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170040.xs,text000000,ダンチョー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170040.xs,text000002,コッペリア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170040.xs,text000004,チルチル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170040.xs,text000017,トリッキー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170050.xs,text000000,ヤッタイ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170050.xs,text000003,マカロン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170050.xs,text000018,タニア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170060.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170060.xs,text000002,ポリス②,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170060.xs,text000009,ポリス③,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170060.xs,text000024,ブルーマイル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170070.xs,text000000,オルトビルセン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170070.xs,text000002,ミカ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170080.xs,text000000,ヤングレイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170080.xs,text000002,ルシール,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170080.xs,text000008,ローラン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170090.xs,text000000,ダルストン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170090.xs,text000002,ダンチョー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170090.xs,text000009,チルチル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170100.xs,text000000,グロスキー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170100.xs,text000003,ヌーデン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170110.xs,text000000,ギラン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170110.xs,text000002,バスカル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170110.xs,text000004,グスタフ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170110.xs,text000019,マーフィー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170120.xs,text000000,ヤングシャロア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170120.xs,text000002,ヤングランド,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170130.xs,text000000,モミノキー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170130.xs,text000003,グロリア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170140.xs,text000000,ハンナ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170140.xs,text000003,オージー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170150.xs,text000000,シバロフ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170150.xs,text000003,ヘンリー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170150.xs,text000009,シャロア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170150.xs,text000021,ランドの母,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170160.xs,text000000,ブルーマイル,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170160.xs,text000002,シバロフ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170160.xs,text000015,ブロネフ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170170.xs,text000000,ポリス,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170170.xs,text000002,ポリス②,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170170.xs,text000004,シバロフ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170180.xs,text000000,ランド,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170180.xs,text000002,デスコール,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170190.xs,text000000,ヤングシャロア,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170190.xs,text000002,ヤングヘンリー,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170200.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170200.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
17/17_170200.xs,text000004,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001030.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001030.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001030.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001030.xs,text000014,コイン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001030.xs,text000016,アイテム,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001040.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001040.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001040.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001040.xs,text000015,コイン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001040.xs,text000017,アイテム,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001050.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001050.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001050.xs,text000004,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001050.xs,text000012,コイン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001050.xs,text000014,アイテム,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001080.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001080.xs,text000002,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001080.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001080.xs,text000015,コイン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_001080.xs,text000017,アイテム,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_002010.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_002010.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_002010.xs,text000004,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
30/30_002010.xs,text000009,コイン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
