Index,Label,EU_English,US_English,EU_French,US_French,EU_German,EU_Italian,EU_Spanish,US_Spanish,JP_Japanese,KR_Korean,Turkish,Status,Notes
17,AreaName013_00,Buster's Flat,Buster,Chez Costo,Bo Muskle,Bizepeters Bleibe,Casa di Baldo,Casa de Bronquín,Bronquín,ガッチンのへや,든든이네 집,Buster'ın Dairesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
18,AreaName013_01,Flat #301,Apt. #301 ,App. 301,App. 301,Wohnung 301,App. 301,Apt. 301,Apt. 301,301ごうしつ,301호,Daire #301,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
19,AreaName014_00,Mara's Flat,Mara,Chez Vi Viane,Vi Viane,Maras Zimmer,Casa di Mara,Casa de Celerina,Celerina,フミフミのへや,스프린네 집,Mara'nın Dairesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
20,AreaName014_01,Flat #302,Apt. #302 ,App. 302,App. 302,Wohnung 302,App. 302,Apt. 302,Apt. 302,302ごうしつ,302호,Daire #302,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
21,StageName100,Patch Castle,Patch Castle,Château PonPon,Château PonPon,Stoffschloss,Castello di Toppa,Castillo Textilia,Palacio Hilvanado,フラッフのおしろ,플러프왕자의 성,Yama Kalesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
22,StageName101,Fountain Gardens,Fountain Gardens,Jardin des fontaines,Jardin des fontaines,Brunnengärten,Giardini sorgivi,Fuentes Ajardinadas,Jardines de la fuente,ふんすいのにわ,분수 정원,Fıskiye Bahçeleri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
23,StageName102,Flower Fields,Flower Fields,Champs de fleurs,Floralies,Knopfknospental,Campi in fiore,Pradera Florida,Campos de flores,おはなばたけ,꽃밭,Çiçek Tarlaları,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
24,StageName103,Rainbow Falls,Rainbow Falls,Cascades arc-en-ciel,Cascades arc-en-ciel,Regenbogenfälle,Cascate arcobaleno,Cataratas Arcoíris,Cascadas Arco Iris,にじのたき,무지개 폭포,Gökkuşağı Şelaleleri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
25,StageName104,Big-Bean Vine,Big-Bean Vine,Haricot grimpant,Fèves grimpantes,Kletterbohningen,Giungla di legumi,Planta de Judías,Rama de habichuelas,おおきなまめのき,커다란 콩 나무,Dev Fasulye Sarmaşığı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
26,StageName105,Mole Hole,Mole Hole,Galerie de taupe,Tanière de taupes,Maulwurfbau,Antro della talpa,Madriguera del Topo,Guarida de topo,びっくりやさい,깜짝 채소,Köstebek Yuvası,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
27,StageName106,Weird Woods,Weird Woods,Forêt étrange,Forêt étrange,Seltsamer Wald,Foresta misteriosa,Bosque Encantado,Bosque nocturno,ペラペラのもり,기괴한 숲,Tuhaf Orman,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
28,StageName107,Pyramid Sands,Pyramid Sands,Désert pyramidal,Désert pyramidal,Pyramidenwüste,Piramidi di sabbia,Pirámides Arenosas,Desierto piramidal,さんかくさばく,삼각 사막,Piramit Kumları,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
29,StageName108,Lava Landing,Lava Landing,Base du volcan,Base du volcan,Lavawüste,Fiume di lava,Gruta Volcánica,Base del volcán,あっちっちやま,아뜨뜨 산,Lav Sahili,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
30,StageName109,Cool Cave,Cool Cave,Grotte de cristal,Grotte amusante,Hopplahöhle,Oasi di cristallo,Cueva de Cristal,Cueva refrescante,ヒンヤリどうくつ,얼어붙은 동굴,Serin Mağara,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
31,StageName110,Dino Jungle,Dino Jungle,Jungle de dinosaures,Jungle de dinosaures,Dinodschungel,Dinogiungla,Jungla Jurásica,Jungla del dinosaurio,きょうりゅうジャングル,공룡 정글,Dinozor Ormanı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
32,StageName111,Temper Temple,Temper Temple,Temple ardent,Temple tempéré,Temperamentstempel,Tempio Ardore,Templo de Lava,Templo templado,ほのおのピラミッド,화염 피라미드,Ateş Tapınağı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
33,StageName112,Dusk Dunes,Dusk Dunes,Dunes du crépuscule,Dunes du crépuscule,Dämmerdünen,Corsa all'imbrunire,Dunas Sombrías,Dunas del anochecer,よるのさばく,사막의 밤,Akşam Kumulları,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
34,StageName113,Toy Tracks,Toy Tracks,Cour de récréation,Cour de récréation,Spielzeugfeld,Parco giochi,Fábrica de Juguetes,Patio de juguetes,おもちゃのカーニバル,장난감 축제,Oyuncak Rayları,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
35,StageName114,Mushroom Run,Mushroom Run,Champignonnière,Champignonnière,Pilzfeld,Salto col fungo,Senda Champiñón,Campo de hongos,キノコのこかげ,쑥쑥 버섯,Mantar Koşusu,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
36,StageName115,Sweets Park,Sweets Park,Parc des délices,Parc sucré,Zuckerpark,Via dei dolciumi,Parque Rosquilla,Parque dulzón,スイーツパーク,스위트 파크,Tatlılar Parkı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
37,StageName116,Melody Town,Melody Town,Village mélodique,Village mélodie,Dorf der Musik,Orchestropoli,Melodia,Pueblo melodía,メロディタウン,멜로디 타운,Melodi Kasabası,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
38,StageName117,Cocoa Station,Cocoa Station,Gare chocolatée,Station chocolatée,Kakaobahnhof,Stazione Cioccolato,Estación de Cacao,Estación Chocolate,カカオえき,카카오 정거장,Kakao İstasyonu,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
39,StageName118,Dark Manor,Dark Manor,Manoir hanté,Manoir sombre,Gruselvilla,Magione oscura,Mansión del Terror,Mansión tenebrosa,まっくらやしき,깜깜한 성,Karanlık Malikâne,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
40,StageName119,Splash Beach,Splash Beach,Plage plouf,Plage barbotage,Plätscherstrand,Spiaggia Splash,Playa Chapuzón,Playa Chapoteo,ザブンビーチ,풍덩 비치,Şapır Şupur Sahili,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
41,StageName120,Blub-Blub Ocean,Blub-Blub Ocean,Océan tumultueux,Océan Bloup-Bloup,Blub-Blub-Ozean,Oceano Glubglu,Mar Remolino,Océano Glu-Glu,ブクブクのうみ,뽀글뽀글 바다,Fokur Fokur Okyanusu,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
42,StageName121,Secret Island,Secret Island,Île secrète,Île secrète,Geheiminsel,Isola segreta,Isla Perdida,Isla secreta,ひみつのしま,비밀 섬,Gizli Ada,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
43,StageName122,Deep-Dive Deep,Deep-Dive Deep,Tréfonds marins,Fond inexploré,Tiefen des Ozeans,Profondità marine,Fondo Marino,Fondo inexplorado,モグールかいてい,깊고 깊은 바닷속,Derin Dalış,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
44,StageName123,Boom Boatyard,Boom Boatyard,Quais bombardés,Chantier éclaté,Wummswerft,Porto Boom,Puerto Explosivo,Astillero estampido,ドッカンせんだん,콰광 선단,Patırtılı Tersane,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
45,StageName124,Fossil Reef,Fossil Reef,Récifs fossiles,Rocher de fossiles,Fossilriff,Scogliera fossile,Arrecife Fósil,Arrecife de fósiles,でんせつのうみ,전설의 바다,Fosil Resifi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
46,StageName125,Snowy Fields,Snowy Fields,Balade hivernale,Champ enneigé,Winterwatteland,Campi innevati,Campo Helado,Campos nevados,タマゲールせつげん,새하얀 설원,Karlı Tarlalar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
47,StageName126,Cosy Cabin,Cozy Cabin,Cabane accueillante,Cabane accueillante,Gemütliche Hütte,Baite accoglienti,Refugio Manopla,Cabaña acogedora,ポカポカハウス,따끈따끈 하우스,Sıcacık Kulübe,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
48,StageName127,Mt. Slide,Mt. Slide,Mont Kigliss,Mont glissade,Rutschberg,Monte scivoloso,Monte Deslizadero,Monte Resbalón,スライダーマウンテン,슬라이드 마운틴,Kaydırak Dağı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
49,StageName128,Frosty Wheel,Frosty Wheel,Manège enneigé,Dégringolade glacée,Eisrad,Ruote glaciali,Noria Témpano,Rueda glacial,ゆきのかんらんしゃ,스노 관람차,Buzlu Dönme Dolap,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
50,StageName129,Frigid Fjords,Frigid Fjords,Promenade au fjord,Fiord gelé,Frierfjord,Fiordi artici,Fiordos Carámbano,Fiordos gélidos,ヨーヒエールのうみ,꽁꽁꽁 바다,Dondurucu Fiyortlar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
51,StageName130,Evergreen Lift,Evergreen Lift,Escalade verdoyante,Ascension de l'arbre,Tannenaufzug,Ascensore festivo,Ascensor Festivo,Ascenso forestal,グレートジャンボツリー,그레이트 점보 트리,Yemyeşil Asansör,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
52,StageName131,Future City,Future City,Cité futuriste,Ville de l'avenir,Stadt der Zukunft,Futuropoli,Futuralia,Ciudad futurista,みらいシティ,미래 도시,Gelecek Şehri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
53,StageName132,Tube Town,Tube Town,Village branché,Village branché,Stromhausen,Scheda madre,Circuitronia,Pueblo Circuito,でんしワールド,전자 타운,Tüp Kasabası,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
54,StageName133,Mysterious UFO,Mysterious UFO,Ovni mystérieux,OVNI mystérieux,Mysteriöses U.F.O.,UFO misterioso,Ovni Enigmático,Ovni misterioso,ナゾのうちゅうせん,수수께끼 우주선,Gizemli UFO,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
55,StageName134,Stellar Way,Stellar Way,Voie stellaire,Avenue céleste,Sternenallee,Percorso cosmico,Vía Constelación,Avenida estelar,スターハイウェイ,스타 하이웨이,Yıldız Yolu,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
56,StageName135,Moon Base,Moon Base,Base lunaire,Base lunaire,Mondbasis,Base lunare,Base Lunar,Base lunar,わくせいきち,행성 기지,Ay Üssü,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
57,StageName136,Outer Rings,Outer Rings,Anneaux cosmiques,Anneaux du cosmos,Äußere Ringe,Anelli esterni,Anillos Exteriores,Anillos espaciales,ワッカせいうん,고리 성운,Dış Halkalar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
58,StageName137,Whispy's Forest,Whispy's Forest,Forêt de Whispy,Forêt de Whispy,Whispys Wald,Foresta di Whispy,Bosque de Whispy,Bosque de Whispy,ウィスピーのもり,위스피 숲,Whispy'nin Ormanı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
59,StageName138,Tempest Towers,Tempest Towers,Tour tempétueuse,Tours déchaînées,Türme des Sturms,Torri tempestose,Torres Tempestivas,Torres Tempestad,ノッポッポタワー,키다리 타워,Fırtına Kuleleri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
60,StageName139,Cloud Palace,Cloud Palace,Palais des nuages,Palais des nuages,Wolkenpalast,Palazzo fluttuante,Palacio Flotante,Palacio nuboso,モクモクのきゅうでん,뭉게뭉게 궁전,Bulut Sarayı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
61,StageName140,Castle Dedede,Castle Dedede,Château DaDiDou,Château Dadidou,Schloss Dedede,Castello Dedede,Castillo Dedede,Castillo Dedede,デデデじょう,디디디 성,Dedede Kalesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
62,StageName141,Meta Melon Isle,Meta Melon Isle,Île Meta Pastèque,Île Méta Melon,Metameloneninsel,Isola Metamelone,Isla Meta Sandía,Isla de la Meta Sandía,アメージングアイランド,어메이징 아일랜드,Meta Kavun Adası,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
63,StageName142,Battleship Halberd,Battleship Halberd,Halberd,Bateau Halberd,Halberd,Nave Halberd,Nave Hal Abarda,Nave Hal Abarda,せんかんハルバード,전함 할버드,Halberd Savaş Gemisi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
64,StageName301,Fangora,Fangora,Dragrognon,Dragrognon,Fangora,Dragagliardo,Dragruñón,Dragruñón,ドドワン,드래고라,Fangora,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
65,StageName302,Hot Wings,Hot Wings,Flamenko,Flamenko,Flanellphönix,Flamenko,Alas ígneas,Flamenko,フェニクロウ,피닉,Hot Wings,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
66,StageName303,Squashini,Squashini,Écrapule,Écrapule,Kürbini,Zoucchinì,Calabazán,Calabazán,ランプキン,수리수리펌킹,Squashini,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
67,StageName304,Capamari,Capamari,Octonnet,Octotuk,Kappamari,Vanipiovra,Filopulpo,Calamidante,イカスタコス,털모문어,Capamari,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
68,StageName305,King Dedede,King Dedede,Roi DaDiDou,Roi Dadidou,König Dedede,King Dedede,Rey Dedede,Rey Dedede,デデデだいおう,디디디 대왕,Kral Dedede,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
69,StageName306,Meta Knight,Meta Knight,Meta Knight,Meta Knight,Meta-Knight,Meta Knight,Meta Knight,Meta Knight,メタナイト,메타 나이트,Meta Knight,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
70,StageName307,Yin-Yarn,Yin-Yarn,Maillalenvers,Maillalenvers,Grimmgarn,Malandrana,Zur-Zir,Zur-Zir,アミーボ・アモーレ,털실술사,Yün-Yang,FINAL_JOKE_REVIEWED,Kelime oyunu/mizah 10 dil çapraz kontrolüyle revize edildi; font ve piksel genişliği yeniden doğrulanacak.
71,EstName001,Furniture Shop,Furniture Shop,Meubles,Meubles,Möbelladen,Negozio mobili,Decoración,Mueblería,インテリアのおみせ,인테리어 전문점,Mobilya Dükkânı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
72,EstName002,Fabric Shop,Fabric Shop,Tissus,Tissus,Stoffladen,Negozio stoffe,Telas,Tienda de telas,ぬののおみせ,천 전문점,Kumaş Dükkânı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
73,EstName004,Patch Plaza,Patch Plaza,Place feutrée,Place feutrée,Lager,Piazza Toppa,Terraza Parche,Plaza Parches,コレクションひろば,패치 광장,Yama Meydanı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
74,EstName005,Cast,Cast,Personnages,Personnages,Charaktere,Personaggi,Personajes,Personajes,キャラクター,캐릭터,Karakterler,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
75,EstName006,Stuff,Stuff,Objets,Objets,Items,Oggetti,Objetos,Objetos,インテリア,인테리어,Eşyalar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
76,EstName007,Fabric,Fabric,Tissus,Tissus,Stoffe,Stoffe,Telas,Telas,ぬの,천,Kumaşlar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
77,EstName008,Tunes,Tunes,Musiques,Musique,Musik,Melodie,Música,Música,サウンド,사운드,Müzikler,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
78,EstName009,Films,Flicks,Vidéos,Films,Videos,Filmati,Vídeos,Videos,おはなし,이야기,Filmler,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
79,EstName010,Medals,Medals,Médailles,Médailles,Medaillen,Medaglie,Medallas,Medallas,メダル,메달,Madalyalar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
80,EstName011,Devilish Mode,Devilish Mode,Mode diabolique,Mode diabolique,Teufelsmodus,Modalità demoniaca,Modo diabólico,Modo diabólico,デビルモード,데빌 모드,Şeytani Mod,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
81,EstName012,Fuse Beads,Fuse Beads,Perles à repasser,Perles à repasser,Bügelperlen,Oggetti di perline,Figuras de cuentas,Cuentas,アイロンビーズ,컬러 비즈,Ütü Boncukları,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
82,MissionName000,BEADRIX'S RUN,BEADRIX'S RUN,COLLECTE DE PERLANNE,Perles de Perlanne,PERLENSUCHE MIT PERLINE,Caccia alla perlina,¡A por cuentas!,Busca gemas con Gemita,ビーズあつめ,비즈 모으기,BEADRIX'İN BONCUK AVI,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
83,MissionName001,MARA'S RACE,MARA'S RACE,COURSE DE VI VIANE,Course de Vi Viane,MARAS RENNEN,Maratona,¡A la carrera!,La carrera de Celerina,きょうそう,레이스,MARA'NIN YARIŞI,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
84,MissionName002,BUSTER'S TRAINING,BUSTER'S TRAINING,BATAILLE DE COSTO,Studio Bo Muskle,BIZEPETERS TRAINING,Allenamento,Entrenamiento,Entrena con Bronquín,しゅぎょう,트레이닝,BUSTER'IN ANTRENMANI,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
85,MissionName003,CARRIE'S TRANSPORT,CARRIE'S TRANSPORT,BALADE DE COQUETTE,Transport Coquette,HUCKEPAULA TRAGEN,Corsa con zavorra,Llévame contigo,Llevando a Yevamé,おでかけ,산책,CARRIE'NİN TAŞIMASI,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
86,MissionName004,ZEKE'S HIDE-AND-SEEK,ZEKE'S HIDE-AND-SEEK,CACHE-CACHE AVEC CACHEL,Cachette avec Cachel,SUCHMICHS VERSTECKSPIEL,Nascondino,El escondite,Escompiter y escondidas,かくれんぼ,숨바꼭질,ZEKE'İN SAKLAMBACI,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
87,MissionReform,Redecorate,Redecorate,Redécorer,Redécorer,Umdekorieren,Arreda,Decorar,Redecorar,リフォームをする,집 꾸미기,Yeniden Döşe,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
