Index,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Portuguese,EU_Russian,EU_Spanish,JP_Japanese,US_English,US_French,US_Portuguese,US_Spanish,Turkish,Source_Max_Lines,Source_Safe_Line_Units,Turkish_Lines,Turkish_Max_Line_Units,Fit_Status,Placeholder_Check,PUA_Glyph_Check,Translation_Note,Fit_Note
14,StgFace_Next, Verder, Next, Suite, Weiter, Avanti,Seguinte, Далее, Seguir,次へ, Next, Suite, Próximo, Seguir, İleri,1,9.35,1,5.95,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
15,StgFace_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
16,StgFace_02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
17,StgFace_SeqTitle_StageSelect,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
18,StgFace_SeqTitle_StageSelect_Stage1,Level 1,Stage 1,Stage 1,Stufe 1,Livello 1,Nível 1,Уровень 1,Fase 1,ステージ１,Stage 1,Niveau 1,Fase 1,Fase 1,Bölüm 1,1,7.15,1,6.25,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
19,StgFace_SeqTitle_StageSelect_Stage2,Level 2,Stage 2,Stage 2,Stufe 2,Livello 2,Nível 2,Уровень 2,Fase 2,ステージ２,Stage 2,Niveau 2,Fase 2,Fase 2,Bölüm 2,1,7.15,1,6.25,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
20,StgFace_SeqTitle_StageSelect_Stage3,Level 3,Stage 3,Stage 3,Stufe 3,Livello 3,Nível 3,Уровень 3,Fase 3,ステージ３,Stage 3,Niveau 3,Fase 3,Fase 3,Bölüm 3,1,7.15,1,6.25,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
21,StgFace_SeqTitle_StageSelect_Stage4,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
22,StgFace_SeqTitle_ModeSelect,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
23,StgFace_SeqTitle_ModeSelectA,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
24,StgFace_SeqTitle_ModeSelectB,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
25,StgFace_Calibration,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
26,StgFace_Attention,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
27,StgFace_FaceMatching_OutsideCamera, Buiten, Outer, APN ext., Außen, Esterni, C. Ext., Наружу, C. ext.,外カメラ, Switch, APN ext., Trocar, C. ext., Dış,1,9.35,1,4.85,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
28,StgFace_FaceMatching_InsideCamera, Binnen, Inner, APN int., Innen, Interno, C. Int., Внутрь, C. int.,内カメラ, Switch, APN int., Trocar, C. int., İç,1,8.9,1,3.85,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
29,StgFace_FaceMatching_Distance,Afstand vergroten,Move farther away,Un peu plus loin...,Abstand zu gering!,Allontanati un po'.,Afaste-se mais.,Подвинь дальше,Aléjate un poco.,顔を 遠ざけてください,Move farther away,Un peu plus loin...,Distancie-se mais!,Aléjate un poco.,Biraz uzaklaş,1,16.5,1,11.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
30,StgFace_FaceMatching_Close,Afstand verkleinen,Move closer,Un peu plus près...,Abstand zu groß!,Avvicinati un po'.,Aproxime-se mais.,Подвинь ближе,Acércate más.,顔を 近づけましょう,Move closer,Un peu plus près...,Aproxime-se mais!,Acércate más.,Biraz yaklaş,1,16.6,1,10.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
31,StgFace_FaceMatching_Right,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
32,StgFace_FaceMatching_Left,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
33,StgFace_FaceMatching_Up,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
34,StgFace_FaceMatching_Down,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
35,StgFace_FaceMatching_Wait,"Plaats mond en ogen
binnen de lijnen","Align mouth and eyes
with the guide","Alignez la bouche
et les yeux avec
les repères.","Mund und Augen an
Markierung ausrichten!","Allinea occhi e bocca
con gli indicatori.","Enquadre os olhos
e a boca nas linhas.","Совмести рот и глаза
с метками.","Haz coincidir la boca y
los ojos con la guía.","目と口をガイドに
あわせてください","Align the shapes with
your eyes and mouth.","Alignez les repères avec
la bouche et les yeux.","Enquadre os olhos e 
a boca na moldura.","Haz coincidir la boca y
los ojos con la guía.","Ağzını ve gözlerini
kılavuza hizala",3,21.15,2,15.75,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
36,StgFace_FaceMatching_ShowFace,"Plaats het gezicht
binnen het kader",Put a face in the frame,Cadrez un visage.,"Das Gesicht muss sich
im Rahmen befinden.",Fotografa una faccia.,"Coloque uma cara na 
moldura.",Помести лицо в рамку.,¡A ver esa cara!,顔を写してください,Put a face in the frame,Cadrez un visage.,"Coloque uma cara
na moldura",¡A ver esa cara!,Yüzü çerçeveye al,2,20.25,1,15.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
37,StgFace_FaceMatching_Shutter,"Het sluitergeluid wordt
afgespeeld",Shutter sound will play,"L'obturateur va
émettre un son.",Auslöser-Geräusch an,Sentirai il suono dello scatto.,"Será emitido um
som do obturador.",Раздастся звук затвора.,"Se oirá el sonido del obturador
cuando se haga la foto.",シャッター音が鳴ります。,Shutter sound will play.,"L'obturateur va
émettre un son.","O som do obturador
será emitido.","Se escuchará el sonido del
obturador al sacar la foto.",Deklanşör sesi duyulacak,2,26.7,1,21.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
38,StgFace_FaceMatching_Sex,  Geslacht,Gender,Sexe,Geschlecht, Sesso,  Género,Пол,  Sexo,性別,Gender,Sexe,Sexo,Sexo,Cinsiyet,1,9.55,1,7.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
39,StgFace_FaceMatching_Male,(♂),(♂),(♂),(♂),(♂),(♂),(♂),(♂),男性,♂,♂,♂,♂,(♂),1,2.6,1,2.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
40,StgFace_FaceMatching_Male?,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
41,StgFace_FaceMatching_Female,(♀),(♀),(♀),(♀),(♀),(♀),(♀),(♀),女性,♀,♀,♀,♀,(♀),1,2.6,1,2.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
42,StgFace_FaceMatching_Female?,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
43,StgFace_FaceMatching_Sex??,??,??,??,???,???,??,??,(?),？？,??,??,??,(?),??,1,3.0,1,2.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
44,StgFace_FaceMatching_Age,  Leeftijd,Age,Âge,Alter, Età,  Idade,Возраст,  Edad,年令,Age,Âge,Idade,Edad,Yaş,1,8.55,1,3.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
45,StgFace_FaceMatching_Baby,Baby,Baby,Bébé,Baby,Bebè,Bebé,Младенец,Bebé,赤ちゃん,Infant,Bébé,Bebê,Bebé,Bebek,1,5.55,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
46,StgFace_FaceMatching_Child,Kind,Child,Enfant,Kind,Bimbo,Criança,Ребенок,Niño,子供,Child,Enfant,Criança,Niño,Çocuk,1,6.55,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
47,StgFace_FaceMatching_Young,Jongere,Young adult,Jeune,Heranwachsend,Giovane,Jovem,Молодой,Joven,ヤング,Young Adult,Jeune,Jovem,Joven,Genç,1,13.2,1,4.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
48,StgFace_FaceMatching_Adult,Volwassene,Adult,Adulte,Erwachsen,Adulto,Adulto,Взрослый,Adulto,大人,Adult,Adulte,Adulto,Adulto,Yetişkin,1,9.75,1,7.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
49,StgFace_FaceMatching_Old,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
50,StgFace_FaceMatching_Age??,??,??,??,???,???,??,??,(?),？？才,Age Unknown,Âge inconnu,Idade ??,Edad indeterminada,??,1,16.8,1,2.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
51,StgFace_FaceMatching_SexAge,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls　%ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,%ls %ls,1,6.0,1,6.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
52,StgFace_FaceMatching_Unlock00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
53,StgFace_FaceMatching_Unlock01Man,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
54,StgFace_FaceMatching_Unlock01Woman,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
55,StgFace_Face_PropertyBabyBoy,Baby (jongen),Baby Boy,Bébé garçon,Baby (Junge),Neonato,Menino,Маленький мальчик,Bebé niño,男の赤ちゃん 顔,Male Infant Face,Bébé garçon,Bebê menino,Bebé niño,Erkek Bebek,1,14.3,1,10.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
56,StgFace_Face_PropertyBabyGirl,Baby (meisje),Baby Girl,Bébé fille,Baby (Mädchen),Neonata,Menina,Маленькая девочка,Bebé niña,女の赤ちゃん 顔,Female Infant Face,Bébé fille,Bebê menina,Bebé niña,Kız Bebek,1,16.3,1,8.05,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
57,StgFace_Face_PropertyBaby,Baby,Baby,Bébé,Baby,Faccia di bebè,Bebé,Лицо младенца,Bebé,赤ちゃん 顔,Infant Face,Bébé,Bebê,Bebé,Bebek,1,12.1,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
58,StgFace_Face_PropertyBoy,Jongen,Boy,Garçon,Junge,Bambino,Rapaz,Мальчик,Niño,男の子 顔,Male Child Face,Garçon,Menino,Niño,Erkek Çocuk,1,12.85,1,10.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
59,StgFace_Face_PropertyGirl,Meisje,Girl,Fille,Mädchen,Bambina,Rapariga,Девочка,Niña,女の子 顔,Female Child Face,Fille,Menina,Niña,Kız Çocuk,1,14.85,1,8.05,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
60,StgFace_Face_PropertyChild,Kind,Child,Enfant,Kind,Faccia di bimbo,Criança,Лицо ребенка,Niño,子供な顔,Child Face,Enfant,Criança,Niño,Çocuk,1,12.85,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
61,StgFace_Face_PropertyYoungMan,Jongeman,Youth,Jeune homme,Junger Herr,Ragazzo,Rapaz,Юноша,Chico,ヤングな男性 顔,Young Male Face,Jeune homme,Garoto,Chico,Genç Erkek,1,13.75,1,9.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
62,StgFace_Face_PropertyYoungWoman,Jongedame,Young Lady,Jeune femme,Junge Dame,Ragazza,Rapariga,Девушка,Chica,ヤングな女性 顔,Young Female Face,Jeune femme,Garota,Chica,Genç Kadın,1,15.75,1,9.05,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
63,StgFace_Face_PropertyYoung,Jongere,Young Adult,Jeune,Heranwachsend,Faccia giovane,Jovem,Молодое лицо,Joven,ヤングな顔,Young Face,Jeune,Jovem,Joven,Genç Yetişkin,1,13.2,1,11.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
64,StgFace_Face_PropertyMan,Man,Man,Homme,Mann,Adulto,Homem,Мужчина,Hombre,大人の男性 顔,Adult Male Face,Homme,Homem,Hombre,Erkek,1,13.3,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
65,StgFace_Face_PropertyWoman,Vrouw,Woman,Femme,Frau,Adulta,Mulher,Женщина,Mujer,大人の女性 顔,Adult Female Face,Femme,Mulher,Mujer,Kadın,1,15.3,1,4.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
66,StgFace_Face_PropertyAdult25,Volwassene,Adult,Adulte,Erwachsen,Faccia adulta,Adulto,Лицо взрослого,Adulto,大人な顔,Adult Face,Adulte,Adulto,Adulto,Yetişkin,1,11.6,1,7.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
67,StgFace_Face_PropertyGentleman,Heer,Gentleman,Homme âgé,Herr,Anziano,Senhor,Пожилой мужчина,Señor,紳士な顔,Older Male Face,Aîné,Senhor,Señor,Beyefendi,1,13.5,1,8.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
68,StgFace_Face_PropertyLady,Dame,Lady,Femme âgée,Dame,Anziana,Senhora,Пожилая женщина,Señora,淑女な顔,Older Female Face,Aînée,Senhora,Señora,Hanımefendi,1,15.5,1,10.3,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
69,StgFace_Face_PropertyAdult60,Volwassene,Adult,Adulte,Senior,Faccia anziana,Adulto,Пожилое лицо,Adulto,大人な顔,Older Face,Adulte,Adulto,Adulto,İleri Yaş,1,12.6,1,7.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
70,StgFace_Face_PropertyMale,Man,Male,Homme,Männlich,Maschio,Homem,Мужской,Hombre,年令不詳の男顔,"Male, Age ??",Homme ,Masculino / Idade ??,Hombre,Erkek,1,17.35,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
71,StgFace_Face_PropertyFemale,Vrouw,Female,Femme,Weiblich,Femmina,Mulher,Женский,Mujer,年令不詳の女顔,"Female, Age ??",Femme,Feminino / Idade ??,Mujer,Kadın,1,16.35,1,4.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
72,StgFace_Face_Property??,Onbekend,Unidentified,Non identifié,Nicht ermittelbar,Non identificato,Desconhecido,Неизвестно,Desconocido,年令性別不詳顔,"Sex ??, Age ??",Non identifié,Sexo ?? / Idade ??,Desconocido,Belirsiz,1,15.55,1,6.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
73,StgFace_06,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
74,StgFace_Game_Score,Score,Score,Score,Score,Punti,Pontuação,Очки,Puntuación,スコア,Score,Pointage,Pontos,Puntuación,Skor,1,9.55,1,4.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
75,StgFace_Game_Perfect,Perfect!,Perfect!,Parfait !,Perfekt!,Perfetto!,Perfeito!,Отлично!,¡Perfecto!,パーフェクト!,Perfect!,Parfait!,Perfect!,¡Perfecto!,Mükemmel!,1,9.55,1,8.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
76,StgFace_08,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
77,StgFace_09,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
78,StgFace_10,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
79,StgFace_SubTitle_Explain_Shoot,Druk op  om te vuren!,Press  to fire!,Appuyez sur  pour tirer !,Drücke  zum Schießen!,Premi  per sparare!,Prima  para disparar!,"Нажми , чтобы выстрелить!",¡Pulsa  para lanzar bolas!,で、タマを発射！,Press  to fire,Appuyez sur  pour tirer!,Aperte  para disparar,¡Oprime  para lanzar bolas!,Ateş etmek için !,1,25.4,1,16.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
80,StgFace_SubTitle_Explain_Move,Beweeg het systeem om te richten.,Move the system to aim,Déplacez la console pour viser.,Bewege das System zum Zielen!,Muovi la console per puntare.,Movimente a consola para apontar.,"Двигай систему, чтобы прицелиться.",Apunta moviendo la consola.,本体を動かして 顔をねらおう,Aim Nintendo 3DS and fire away!,Visez en déplaçant la console et tirez!,Mire e atire com o Nintendo 3DS! ,Apunta moviendo la consola.,Nişan almak için konsolu hareket ettir,1,33.3,1,33.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
81,StgFace_SubTitle_Boss_Stage1_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
82,StgFace_SubTitle_Boss_Stage1_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
83,StgFace_SubTitle_Boss_Stage1_02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
84,StgFace_SubTitle_Boss_Stage1_05,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
85,StgFace_SubTitle_Boss_Stage1_03,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
86,StgFace_SubTitle_Boss_Stage1_04,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
87,StgFace_SubTitle_Boss_Stage3_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
88,StgFace_SubTitle_Darekato_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
89,StgFace_SubTitle_Darekato_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
90,StgFace_SubTitle_Darekato_02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
91,StgFace_SubTitle_warning_hole_02,"Als je wordt geraakt, verlies je energie.",The meter drops as you take damage...,La jauge représente votre énergie...,Die Energie sinkt mit jedem Treffer!,"Più danni subisci, meno energia ti resta!","Ao sofrer danos, a barra desce...",Повреждения уменьшают индикатор!,La barra se irá vaciando si te alcanzan.,ダメージを受けると減ってしまう,The meter drops as you take damage...,La jauge représente votre énergie...,A barra diminui se você for atingido!,La barra se irá vaciando si te dañan.,Hasar aldıkça gösterge azalır...,1,35.5,1,27.35,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
92,StgFace_SubTitle_warning_hole_00,"Als je energie op is, heb je verloren!","If the meter runs out, it's game over!","Quand elle est vide, vous avez perdu !",Ohne Energie ist das Spiel vorbei!,"Se finisce l'energia, hai perso!",Perderá se a barra se esgotar!,Если индикатор пуст — игра окончена!,Si se vacía del todo... ¡se acabó!,なくなると ゲームオーバー!,"If the meter runs out, it's game over!","Quand la jauge est vide, c'est perdu!","Se a barra acabar, você perde!",Si se vacía del todo... ¡será el fin!,Gösterge biterse oyun biter!,1,32.65,1,25.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
93,StgFace_SubTitle_warning_hole_03,Waarschuwing: toestand kritiek!,Keep an eye on the damage meter!,Surveillez votre jauge d'énergie !,Warnung: Kritisches Niveau erreicht!,Occhio a non farti colpire!,Fique atento à barra de danos!,Следи за индикатором повреждений!,¡Procura que no te hagan daño!,ダメージ注意!,Keep an eye on the damage meter!,Surveillez votre jauge d'énergie!,Fique de olho na barra de vida!,¡Procura que no te hagan daño!,Hasar göstergesine dikkat!,1,32.0,1,23.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
94,StgFace_SubTitle_warning_hole_01,O nee! Je hebt bijna geen energie meer!,You can't take much more damage!,Danger ! La situation devient critique !,Vorsicht! Energiestand kritisch!,Non puoi farti colpire ancora!,Não pode sofrer muito mais danos!,Повреждения слишком велики!,¡Cuidado! ¡No aguantarás mucho más!,ピンチ!  ダメージ注意!,You can't take much more damage!,Vous êtes au bord de la catastrophe!,A sua vida está quase acabando!,¡Cuidado! ¡No aguantarás mucho más!,Bir darbeye daha dayanamayabilirsin!,1,34.1,1,32.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
95,StgFace_SubTitle_Hint,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
96,StgFace_SubTitle_Hint_faceBomb,Bommen gereed! Gebruik ze met !,A face bomb! Press  to use it!,Bombe prête ! Appuyez sur  !,Gesichtsbomben bereit! Wirf mit !,Una bomba faccia! Premi  per usarla!,Uma bomba facial! Prima  para usá-la!,"Бомба для лица! Бросай, нажимая !",¡Una cara-bomba! ¡Lánzala con !,顔ボム ゲット!　ピンチの時はで,You got a bomb! Push  to use it!,Vous avez une bombe! Appuyez sur !,Uma bomba! Aperte  para lançá-la!,¡Una cara-bomba! ¡Lánzala con !,Yüz Bombası! Kullanmak için !,1,33.7,1,26.05,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
97,StgFace_14,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
98,StgFace_Game_GroupBonus,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
99,StgFace_Game_Explain_Pause,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
100,StgFace_Game_Sleep,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
101,StgFace_Game_Pause,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
102,StgFace_Game_Pause_End?,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
103,StgFace_Result_Score,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
104,StgFace_Result_HighScore,Record,High Score,Meilleur score,Highscore,Record punti,Recorde,Рекорд,Récord,ハイスコア,High Score,Record,Recorde,Récord,Rekor,1,12.35,1,5.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
105,StgFace_Result_HighScore_Renew,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
106,StgFace_Result_GetFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
107,StgFace_Result_GetFace_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
108,StgFace_Result_GetFace_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
109,StgFace_Result_MissFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
110,StgFace_Result_MissFace_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
111,StgFace_Result_MissFace_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
112,StgFace_Result_ReleaseFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
113,StgFace_FaceRecord,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
114,StgFace_FaceRecord_Yes,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
115,StgFace_FaceRecord_No,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
116,StgFace_FaceRecord_Recording,Bezig met opslaan...,Saving...,Sauvegarde...,Speichervorgang...,Salvataggio in corso...,A guardar...,Идет сохранение...,Guardando...,記録中です,Saving...,Sauvegarde...,Salvando...,Guardando...,Kaydediliyor...,1,19.3,1,12.3,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
117,StgFace_FaceRecord_TheDate,%02d-%02d-%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,%02d-%02d-%d,%d年%d月%d日,%d/%d/%d,%02d/%02d/%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,1,13.0,1,12.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
118,StgFace_FaceRecord_TheDate_00,DD-MM-YYYY,DD/MM/YYYY,DD/MM/YYYY,DD.MM.YYYY,GG/MM/AAAA,DD/MM/YYYY,DD.MM.YYYY,DD-MM-YYYY,YYYY年MM月DD日,MM/DD/YYYY,DD/MM/YYYY,DD/MM/YYYY,DD/MM/YYYY,GG.AA.YYYY,1,10.4,1,9.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
119,StgFace_FaceRecord_Retake,Opnieuw,Retake,Reprendre,Ersetzen,Rifai,Outra Foto,Еще раз,Otra foto,撮りなおす,Retake,Reprendre,Outra foto,Otra foto,Tekrar Çek,1,9.7,1,9.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
120,StgFace_FaceRecord_Retake_Ok,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
121,StgFace_FaceRecord_NewFace,"Nieuw
gezicht",New Face,"Nouveau
visage","Neues
Gesicht","Nuova
faccia","Nova
Cara",Новое,"Nueva
cara",新顔,New Face,"Nouveau
visage","Nova
cara","Nueva
cara",Yeni Yüz,2,7.7,1,7.05,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
122,StgFace_FaceRecord_Full,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
