id,offset_hex,body_words,prefix_words,editable_words,text_ratio,crc32,source,translation,notes
31,0x3E4E,227,19,208,0.634,69AADDA7,|{#0000}{#093A}{#0000}{#0A8C}{#0000}{#0B0C}{#0000}{#0BFE}{#0000}{#0D9C}{#0000}{#0E8E}{#0000}{#0F6E}{#0000}{#10DA}{#0000}{#1188}{#0000}{#1248}{#0000}{#13CA}{#0000}{#14B6}{#0000}{#1576}{#0000}{#16CE}{#0000}{#17B8}{#0000}{#1848}{#0000}{#1988}{#0000}{#1A80}{#0000}{#1B00}{#0000}{#1C3C}{#0000}{#1D72}{#0000}{#1E12}{#0000}{#1F28}{#0000}{#206C}{#0000}{#20FC}{#0000}{#21E6}{#0000}{#2338}{#0000}{#23B8}{#0000}000Ash:Success 1{BR}001Ash:Success 2{BR}002Ash:Success 3{BR}003Ash:Failure 1{BR}004Ash:Failure 2{BR}005Ash:Konohana House{BR}006Ash:Bluebell House{BR}007Ash:Demo Success 1,|{#0000}{#093A}{#0000}{#0A8C}{#0000}{#0B0C}{#0000}{#0BFE}{#0000}{#0D9C}{#0000}{#0E8E}{#0000}{#0F6E}{#0000}{#10DA}{#0000}{#1188}{#0000}{#1248}{#0000}{#13CA}{#0000}{#14B6}{#0000}{#1576}{#0000}{#16CE}{#0000}{#17B8}{#0000}{#1848}{#0000}{#1988}{#0000}{#1A80}{#0000}{#1B00}{#0000}{#1C3C}{#0000}{#1D72}{#0000}{#1E12}{#0000}{#1F28}{#0000}{#206C}{#0000}{#20FC}{#0000}{#21E6}{#0000}{#2338}{#0000}{#23B8}{#0000}000Ash:Success 1{BR}001Ash:Success 2{BR}002Ash:Success 3{BR}003Ash:Failure 1{BR}004Ash:Failure 2{BR}005Ash:Konohana House{BR}006Ash:Bluebell House{BR}007Ash:Demo Success 1,
32,0x4016,115,0,115,0.939,46A769D8,008Ash:Demo Success 2{BR}009Ash:Demo Success 3{BR}010Ash:Demo Failure 1{BR}011Ash:Demo Failure 2{BR}012Ash{BR}013Ash{BR}014Ash{BR}015Ash,008Ash:Demo Success 2{BR}009Ash:Demo Success 3{BR}010Ash:Demo Failure 1{BR}011Ash:Demo Failure 2{BR}012Ash{BR}013Ash{BR}014Ash{BR}015Ash,
33,0x40FE,55,0,55,0.873,458D3E7D,016Ash{BR}017Ash{BR}018Ash{BR}019Ash{BR}020Ash{BR}021Ash{BR}022Ash{BR}023Ash,016Ash{BR}017Ash{BR}018Ash{BR}019Ash{BR}020Ash{BR}021Ash{BR}022Ash{BR}023Ash,
34,0x416E,142,0,142,0.951,4692548D,024Ash{BR}025Hiro:Success 1{BR}026Hiro:Success 2{BR}027Hiro:Success 3{BR}028Hiro:Failure 1{BR}029Hiro:Failure 2{BR}030Hiro:Konohana House{BR}031Hiro:Bluebell House,024Ash{BR}025Hiro:Success 1{BR}026Hiro:Success 2{BR}027Hiro:Success 3{BR}028Hiro:Failure 1{BR}029Hiro:Failure 2{BR}030Hiro:Konohana House{BR}031Hiro:Bluebell House,
35,0x428C,138,0,138,0.949,ACA7FB3A,032Hiro:Demo Success 1{BR}033Hiro:Demo Success 2{BR}034Hiro:Demo Success 3{BR}035Hiro:Demo Failure 1{BR}036Hiro:Demo Failure 2{BR}037Hiro{BR}038Hiro{BR}039Hiro,032Hiro:Demo Success 1{BR}033Hiro:Demo Success 2{BR}034Hiro:Demo Success 3{BR}035Hiro:Demo Failure 1{BR}036Hiro:Demo Failure 2{BR}037Hiro{BR}038Hiro{BR}039Hiro,
36,0x43A2,63,0,63,0.889,1081D911,040Hiro{BR}041Hiro{BR}042Hiro{BR}043Hiro{BR}044Hiro{BR}045Hiro{BR}046Hiro{BR}047Hiro,040Hiro{BR}041Hiro{BR}042Hiro{BR}043Hiro{BR}044Hiro{BR}045Hiro{BR}046Hiro{BR}047Hiro,
37,0x4422,122,0,122,0.943,3E47D20E,048Hiro{BR}049Hiro{BR}050Cam:Success 1{BR}051Cam:Success 2{BR}052Cam:Success 3{BR}053Cam:Failure 1{BR}054Cam:Failure 2{BR}055Cam:Konohana House,048Hiro{BR}049Hiro{BR}050Cam:Success 1{BR}051Cam:Success 2{BR}052Cam:Success 3{BR}053Cam:Failure 1{BR}054Cam:Failure 2{BR}055Cam:Konohana House,
38,0x4518,145,0,145,0.952,AC8C99E2,056Cam:Bluebell House{BR}057Cam:Demo Success 1{BR}058Cam:Demo Success 2{BR}059Cam:Demo Success 3{BR}060Cam:Demo Failure 1{BR}061Cam:Demo Failure 2{BR}062Cam{BR}063Cam,056Cam:Bluebell House{BR}057Cam:Demo Success 1{BR}058Cam:Demo Success 2{BR}059Cam:Demo Success 3{BR}060Cam:Demo Failure 1{BR}061Cam:Demo Failure 2{BR}062Cam{BR}063Cam,
39,0x463C,55,0,55,0.873,3E635746,064Cam{BR}065Cam{BR}066Cam{BR}067Cam{BR}068Cam{BR}069Cam{BR}070Cam{BR}071Cam,064Cam{BR}065Cam{BR}066Cam{BR}067Cam{BR}068Cam{BR}069Cam{BR}070Cam{BR}071Cam,
40,0x46AC,110,0,110,0.936,16A47351,072Cam{BR}073Cam{BR}074Cam{BR}075Kana:Success 1{BR}076Kana:Success 2{BR}077Kana:Success 3{BR}078Kana:Failure 1{BR}079Kana:Failure 2,072Cam{BR}073Cam{BR}074Cam{BR}075Kana:Success 1{BR}076Kana:Success 2{BR}077Kana:Success 3{BR}078Kana:Failure 1{BR}079Kana:Failure 2,
41,0x478A,168,0,168,0.958,8D1B487C,080Kana:Konohana House{BR}081Kana:Bluebell House{BR}082Kana:Demo Success 1{BR}083Kana:Demo Success 2{BR}084Kana:Demo Success 3{BR}085Kana:Demo Failure 1{BR}086Kana:Demo Failure 2{BR}087Kana,080Kana:Konohana House{BR}081Kana:Bluebell House{BR}082Kana:Demo Success 1{BR}083Kana:Demo Success 2{BR}084Kana:Demo Success 3{BR}085Kana:Demo Failure 1{BR}086Kana:Demo Failure 2{BR}087Kana,
42,0x48DC,63,0,63,0.889,EA6CD845,088Kana{BR}089Kana{BR}090Kana{BR}091Kana{BR}092Kana{BR}093Kana{BR}094Kana{BR}095Kana,088Kana{BR}089Kana{BR}090Kana{BR}091Kana{BR}092Kana{BR}093Kana{BR}094Kana{BR}095Kana,
43,0x495C,120,0,120,0.942,D93E003D,096Kana{BR}097Kana{BR}098Kana{BR}099Kana{BR}100Mikhail:Success 1{BR}101Mikhail:Success 2{BR}102Mikhail:Success 3 Kono{BR}103Mikhail:Failure 1,096Kana{BR}097Kana{BR}098Kana{BR}099Kana{BR}100Mikhail:Success 1{BR}101Mikhail:Success 2{BR}102Mikhail:Success 3 Kono{BR}103Mikhail:Failure 1,
44,0x4A4E,206,0,206,0.961,A2589FBD,104Mikhail:Failure 2{BR}105Mikhail:Konohana House{BR}106Mikhail:Bluebell House{BR}107Mikhail:Success 3 Kono{BR}108Mikhail:Demo Success 1{BR}109Mikhail:Demo Success 2{BR}110Mikhail:Demo Success 3 Ko{BR}111Mikhail:Demo Failure 1{BR},104Mikhail:Failure 2{BR}105Mikhail:Konohana House{BR}106Mikhail:Bluebell House{BR}107Mikhail:Success 3 Kono{BR}108Mikhail:Demo Success 1{BR}109Mikhail:Demo Success 2{BR}110Mikhail:Demo Success 3 Ko{BR}111Mikhail:Demo Failure 1{BR},
45,0x4BEC,120,0,120,0.942,A9AA84C9,112Mikhail:Demo Failure 2{BR}113Mikhail:Demo Success 3 Bl{BR}114Mikhail{BR}115Mikhail{BR}116Mikhail{BR}117Mikhail{BR}118Mikhail{BR}119Mikhail,112Mikhail:Demo Failure 2{BR}113Mikhail:Demo Success 3 Bl{BR}114Mikhail{BR}115Mikhail{BR}116Mikhail{BR}117Mikhail{BR}118Mikhail{BR}119Mikhail,
46,0x4CDE,111,0,111,0.937,E75CE4F4,120Mikhail{BR}121Mikhail{BR}122Mikhail{BR}123Mikhail{BR}124Mikhail{BR}125Laney:Success 1{BR}126Laney:Success 2{BR}127Laney:Success 3,120Mikhail{BR}121Mikhail{BR}122Mikhail{BR}123Mikhail{BR}124Mikhail{BR}125Laney:Success 1{BR}126Laney:Success 2{BR}127Laney:Success 3,
47,0x4DBE,181,0,181,0.961,1F1CD4C9,128Laney:Failure 1{BR}129Laney:Failure 2{BR}130Laney:Konohana House{BR}131Laney:Bluebell House{BR}132Laney:Demo Success 1{BR}133Laney:Demo Success 2{BR}134Laney:Demo Success 3{BR}135Laney:Demo Failure 1,128Laney:Failure 1{BR}129Laney:Failure 2{BR}130Laney:Konohana House{BR}131Laney:Bluebell House{BR}132Laney:Demo Success 1{BR}133Laney:Demo Success 2{BR}134Laney:Demo Success 3{BR}135Laney:Demo Failure 1,
48,0x4F2A,86,0,86,0.919,C6EB40B6,136Laney:Demo Failure 2{BR}137Laney{BR}138Laney{BR}139Laney{BR}140Laney{BR}141Laney{BR}142Laney{BR}143Laney,136Laney:Demo Failure 2{BR}137Laney{BR}138Laney{BR}139Laney{BR}140Laney{BR}141Laney{BR}142Laney{BR}143Laney,
49,0x4FD8,95,0,95,0.926,68B47B40,144Laney{BR}145Laney{BR}146Laney{BR}147Laney{BR}148Laney{BR}149Laney{BR}150Georgia:Success 1{BR}151Georgia:Success 2,144Laney{BR}145Laney{BR}146Laney{BR}147Laney{BR}148Laney{BR}149Laney{BR}150Georgia:Success 1{BR}151Georgia:Success 2,
50,0x5098,192,0,192,0.964,92DB4130,152Georgia:Success 3{BR}153Georgia:Failure 1{BR}154Georgia:Failure 2{BR}155Georgia:Konohana House{BR}156Georgia:Bluebell House{BR}157Georgia:Demo Success 1{BR}158Georgia:Demo Success 2{BR}159Georgia:Demo Success 3,152Georgia:Success 3{BR}153Georgia:Failure 1{BR}154Georgia:Failure 2{BR}155Georgia:Konohana House{BR}156Georgia:Bluebell House{BR}157Georgia:Demo Success 1{BR}158Georgia:Demo Success 2{BR}159Georgia:Demo Success 3,
51,0x521A,117,0,117,0.940,1D48833F,160Georgia:Demo Failure 1{BR}161Georgia:Demo Failure 2{BR}162Georgia{BR}163Georgia{BR}164Georgia{BR}165Georgia{BR}166Georgia{BR}167Georgia,160Georgia:Demo Failure 1{BR}161Georgia:Demo Failure 2{BR}162Georgia{BR}163Georgia{BR}164Georgia{BR}165Georgia{BR}166Georgia{BR}167Georgia,
52,0x5306,95,0,95,0.926,55A2F36B,168Georgia{BR}169Georgia{BR}170Georgia{BR}171Georgia{BR}172Georgia{BR}173Georgia{BR}174Georgia{BR}175Reina:Success 1,168Georgia{BR}169Georgia{BR}170Georgia{BR}171Georgia{BR}172Georgia{BR}173Georgia{BR}174Georgia{BR}175Reina:Success 1,
53,0x53C6,171,0,171,0.959,758120E1,176Reina:Success 2{BR}177Reina:Success 3{BR}178Reina:Failure 1{BR}179Reina:Failure 2{BR}180Reina:Konohana House{BR}181Reina:Bluebell House{BR}182Reina:Demo Success 1{BR}183Reina:Demo Success 2,176Reina:Success 2{BR}177Reina:Success 3{BR}178Reina:Failure 1{BR}179Reina:Failure 2{BR}180Reina:Konohana House{BR}181Reina:Bluebell House{BR}182Reina:Demo Success 1{BR}183Reina:Demo Success 2,
54,0x551E,116,0,116,0.940,46ADE6C6,184Reina:Demo Success 3{BR}185Reina:Demo Failure 1{BR}186Reina:Demo Failure 2{BR}187Reina{BR}188Reina{BR}189Reina{BR}190Reina{BR}191Reina,184Reina:Demo Success 3{BR}185Reina:Demo Failure 1{BR}186Reina:Demo Failure 2{BR}187Reina{BR}188Reina{BR}189Reina{BR}190Reina{BR}191Reina,
55,0x5608,71,0,71,0.901,7516FCB9,192Reina{BR}193Reina{BR}194Reina{BR}195Reina{BR}196Reina{BR}197Reina{BR}198Reina{BR}199Reina,192Reina{BR}193Reina{BR}194Reina{BR}195Reina{BR}196Reina{BR}197Reina{BR}198Reina{BR}199Reina,
56,0x5698,159,0,159,0.950,4C1C2C2B,200Nori:Success 1{BR}201Nori:Success 2{BR}202Nori:Success 3{BR}203Nori:Failure 1{BR}204Nori:Failure 2{BR}205Nori:Konohana House{BR}206Nori:Bluebell House{BR}207Nori:Demo Success 1{BR},200Nori:Success 1{BR}201Nori:Success 2{BR}202Nori:Success 3{BR}203Nori:Failure 1{BR}204Nori:Failure 2{BR}205Nori:Konohana House{BR}206Nori:Bluebell House{BR}207Nori:Demo Success 1{BR},
57,0x57D8,123,0,123,0.943,4121D2DA,208Nori:Demo Success 2{BR}209Nori:Demo Success 3{BR}210Nori:Demo Failure 1{BR}211Nori:Demo Failure 2{BR}212Nori{BR}213Nori{BR}214Nori{BR}215Nori,208Nori:Demo Success 2{BR}209Nori:Demo Success 3{BR}210Nori:Demo Failure 1{BR}211Nori:Demo Failure 2{BR}212Nori{BR}213Nori{BR}214Nori{BR}215Nori,
58,0x58D0,63,0,63,0.889,3AD568D4,216Nori{BR}217Nori{BR}218Nori{BR}219Nori{BR}220Nori{BR}221Nori{BR}222Nori{BR}223Nori,216Nori{BR}217Nori{BR}218Nori{BR}219Nori{BR}220Nori{BR}221Nori{BR}222Nori{BR}223Nori,
59,0x5950,157,0,157,0.955,6E609CAD,224Nori{BR}225Ulyssa:Success 1{BR}226Ulyssa:Success 2{BR}227Ulyssa:Success 3{BR}228Ulyssa:Failure 1{BR}229Ulyssa:Failure 2{BR}230Ulyssa:Konohana House{BR}231Ulyssa:Bluebell House,224Nori{BR}225Ulyssa:Success 1{BR}226Ulyssa:Success 2{BR}227Ulyssa:Success 3{BR}228Ulyssa:Failure 1{BR}229Ulyssa:Failure 2{BR}230Ulyssa:Konohana House{BR}231Ulyssa:Bluebell House,
60,0x5A8C,154,0,154,0.955,44AC7CA7,232Ulyssa:Demo Success 1{BR}233Ulyssa:Demo Success 2{BR}234Ulyssa:Demo Success 3{BR}235Ulyssa:Demo Failure 1{BR}236Ulyssa:Demo Failure 2{BR}237Ulyssa{BR}238Ulyssa{BR}239Ulyssa,232Ulyssa:Demo Success 1{BR}233Ulyssa:Demo Success 2{BR}234Ulyssa:Demo Success 3{BR}235Ulyssa:Demo Failure 1{BR}236Ulyssa:Demo Failure 2{BR}237Ulyssa{BR}238Ulyssa{BR}239Ulyssa,
61,0x5BC2,79,0,79,0.911,4825EBCF,240Ulyssa{BR}241Ulyssa{BR}242Ulyssa{BR}243Ulyssa{BR}244Ulyssa{BR}245Ulyssa{BR}246Ulyssa{BR}247Ulyssa,240Ulyssa{BR}241Ulyssa{BR}242Ulyssa{BR}243Ulyssa{BR}244Ulyssa{BR}245Ulyssa{BR}246Ulyssa{BR}247Ulyssa,
62,0x5C62,138,0,138,0.949,ED6A6899,248Ulyssa{BR}249Ulyssa{BR}250Alisa:Success 1{BR}251Alisa:Success 2{BR}252Alisa:Success 3{BR}253Alisa:Failure 1{BR}254Alisa:Failure 2{BR}255Alisa:Konohana House,248Ulyssa{BR}249Ulyssa{BR}250Alisa:Success 1{BR}251Alisa:Success 2{BR}252Alisa:Success 3{BR}253Alisa:Failure 1{BR}254Alisa:Failure 2{BR}255Alisa:Konohana House,
63,0x5D78,161,0,161,0.957,B1B00B6E,256Alisa:Bluebell House{BR}257Alisa:Demo Success 1{BR}258Alisa:Demo Success 2{BR}259Alisa:Demo Success 3{BR}260Alisa:Demo Failure 1{BR}261Alisa:Demo Failure 1{BR}262Alisa{BR}263Alisa,256Alisa:Bluebell House{BR}257Alisa:Demo Success 1{BR}258Alisa:Demo Success 2{BR}259Alisa:Demo Success 3{BR}260Alisa:Demo Failure 1{BR}261Alisa:Demo Failure 1{BR}262Alisa{BR}263Alisa,
64,0x5EBC,71,0,71,0.901,CBD5CBC8,264Alisa{BR}265Alisa{BR}266Alisa{BR}267Alisa{BR}268Alisa{BR}269Alisa{BR}270Alisa{BR}271Alisa,264Alisa{BR}265Alisa{BR}266Alisa{BR}267Alisa{BR}268Alisa{BR}269Alisa{BR}270Alisa{BR}271Alisa,
65,0x5F4C,116,0,116,0.940,F2F21363,272Alisa{BR}273Alisa{BR}274Alisa{BR}275Dirk:Success 1{BR}276Dirk:Success 2{BR}277Dirk:Success 3{BR}278Dirk:Failure 1{BR}279Dirk:Failure 2,272Alisa{BR}273Alisa{BR}274Alisa{BR}275Dirk:Success 1{BR}276Dirk:Success 2{BR}277Dirk:Success 3{BR}278Dirk:Failure 1{BR}279Dirk:Failure 2,
66,0x6036,168,0,168,0.958,DD07F804,280Dirk:Konohana House{BR}281Dirk:Bluebell House{BR}282Dirk:Demo Success 1{BR}283Dirk:Demo Success 2{BR}284Dirk:Demo Success 3{BR}285Dirk:Demo Failure 1{BR}286Dirk:Demo Failure 2{BR}287Dirk,280Dirk:Konohana House{BR}281Dirk:Bluebell House{BR}282Dirk:Demo Success 1{BR}283Dirk:Demo Success 2{BR}284Dirk:Demo Success 3{BR}285Dirk:Demo Failure 1{BR}286Dirk:Demo Failure 2{BR}287Dirk,
67,0x6188,63,0,63,0.889,71841F0D,288Dirk{BR}289Dirk{BR}290Dirk{BR}291Dirk{BR}292Dirk{BR}293Dirk{BR}294Dirk{BR}295Dirk,288Dirk{BR}289Dirk{BR}290Dirk{BR}291Dirk{BR}292Dirk{BR}293Dirk{BR}294Dirk{BR}295Dirk,
68,0x6208,55,0,55,0.873,AB68732D,296Dirk{BR}297Dirk{BR}298Dirk{BR}299Dirk{BR}Dummy{BR}Dummy{BR}Dummy{BR}Dummy,296Dirk{BR}297Dirk{BR}298Dirk{BR}299Dirk{BR}Dummy{BR}Dummy{BR}Dummy{BR}Dummy,
69,0x62C8,14,0,14,1.000,ECD7A11A,"Make field ""C""","Make field ""C""",
70,0x62E6,23,0,23,1.000,586FA7CD,"Paddy and Watermill ""C""","Paddy and Watermill ""C""",
71,0x6316,13,0,13,1.000,8C89CF92,"Fish Pond ""C""","Fish Pond ""C""",
72,0x6332,14,0,14,1.000,A93FEC2D,"Make Paddy ""B""","Make Paddy ""B""",
73,0x6350,14,0,14,1.000,465053BF,"Maker Shed ""C""","Maker Shed ""C""",
74,0x636E,23,0,23,1.000,B06D3B53,"Expand Pasture Area ""C""","Expand Pasture Area ""C""",
75,0x639E,23,0,23,1.000,189CF101,"More Space for Pets ""C""","More Space for Pets ""C""",
76,0x63CE,14,0,14,1.000,3D4D24B0,"Make Drink ""B""","Make Drink ""B""",
77,0x63EC,14,0,14,1.000,DCB621BA,"Make Honey ""D""","Make Honey ""D""",
78,0x640A,16,0,16,1.000,49BECDA6,"Make Pickles ""B""","Make Pickles ""B""",
79,0x6434,202,14,188,0.777,4CD33BEC,~{#0000}{#09FC}{#0000}{#0B6A}{#0000}{#0D2C}{#0000}{#0EEE}{#0000}{#10AA}{#0000}{#125A}{#0000}{#1410}{#0000}{#15DC}{#0000}{#179A}{#0000}{#1954}{#0000}{#1A90}{#0000}000 Upgrade-Break Hoe{BR}001 Upgrade-Break WaterCan{BR}002 Upgrade-Break Sickle{BR}003 Upgrade-Hoe 1{BR}004 Upgrade-Hoe 2{BR}005 Upgrade-Hoe 3{BR}006 Upgrade-Hoe 4{BR}007 Upgrade-Hoe 5{BR},~{#0000}{#09FC}{#0000}{#0B6A}{#0000}{#0D2C}{#0000}{#0EEE}{#0000}{#10AA}{#0000}{#125A}{#0000}{#1410}{#0000}{#15DC}{#0000}{#179A}{#0000}{#1954}{#0000}{#1A90}{#0000}000 Upgrade-Break Hoe{BR}001 Upgrade-Break WaterCan{BR}002 Upgrade-Break Sickle{BR}003 Upgrade-Hoe 1{BR}004 Upgrade-Hoe 2{BR}005 Upgrade-Hoe 3{BR}006 Upgrade-Hoe 4{BR}007 Upgrade-Hoe 5{BR},
80,0x65CA,201,0,201,0.960,8177478F,008 Upgrade-Hoe 6{BR}009 Upgrade-Watering Can 1{BR}010 Upgrade-Watering Can 2{BR}011 Upgrade-Watering Can 3{BR}012 Upgrade-Watering Can 4{BR}013 Upgrade-Watering Can 5{BR}014 Upgrade-Watering Can 6{BR}015 Upgrade-Sickle 1{BR},008 Upgrade-Hoe 6{BR}009 Upgrade-Watering Can 1{BR}010 Upgrade-Watering Can 2{BR}011 Upgrade-Watering Can 3{BR}012 Upgrade-Watering Can 4{BR}013 Upgrade-Watering Can 5{BR}014 Upgrade-Watering Can 6{BR}015 Upgrade-Sickle 1{BR},
81,0x675E,123,0,123,0.911,BDAE0FD3,016 Upgrade-Sickle 2{BR}017 Upgrade-Sickle 3{BR}018 Upgrade-Sickle 4{BR}019 Upgrade-Sickle 5{BR}020 Upgrade-Sickle 6{BR}021 {#002B}{BR}022 {#002B}{BR}023 {#002B}{BR},016 Upgrade-Sickle 2{BR}017 Upgrade-Sickle 3{BR}018 Upgrade-Sickle 4{BR}019 Upgrade-Sickle 5{BR}020 Upgrade-Sickle 6{BR}021 {#002B}{BR}022 {#002B}{BR}023 {#002B}{BR},
82,0x6856,91,0,91,0.846,5475536D,024 {#002B}{BR}025 {#002B}{BR}026 {#002B}{BR}027 {#002B}{BR}028 {#002B}{BR}029 {#002B}{BR}030 Expand-Konohana House{BR}031 Expand-Konohana Fields 1{BR},024 {#002B}{BR}025 {#002B}{BR}026 {#002B}{BR}027 {#002B}{BR}028 {#002B}{BR}029 {#002B}{BR}030 Expand-Konohana House{BR}031 Expand-Konohana Fields 1{BR},
83,0x690E,228,0,228,0.965,7D6861EA,032 Expand-Konohana Fields 2{BR}033 Expand-Konohana Fields 3{BR}034 Expand-Konohana Fields 4{BR}035 Expand-Konohana Fields 5{BR}036 Expand-KonoFields6 Pond{BR}037 Expand-Konohana Paddy 1{BR}038 Expand-KonoPaddy2 WMill{BR}039 Expand-Konohana Paddy 3{BR},032 Expand-Konohana Fields 2{BR}033 Expand-Konohana Fields 3{BR}034 Expand-Konohana Fields 4{BR}035 Expand-Konohana Fields 5{BR}036 Expand-KonoFields6 Pond{BR}037 Expand-Konohana Paddy 1{BR}038 Expand-KonoPaddy2 WMill{BR}039 Expand-Konohana Paddy 3{BR},
84,0x6AD8,222,0,222,0.964,51FBF6F4,040 Expand-Konohana Paddy 4{BR}041 Expand-Konohana Paddy 5{BR}042 Expand-Bluebell House{BR}043 Expand-BlueGraze Area 1{BR}044 Expand-BlueGraze Area 2{BR}045 Expand-Blue Pet Playpen{BR}046 Expand-Bluebell Maker 1{BR}047 Expand-Bluebell Maker 2{BR},040 Expand-Konohana Paddy 4{BR}041 Expand-Konohana Paddy 5{BR}042 Expand-Bluebell House{BR}043 Expand-BlueGraze Area 1{BR}044 Expand-BlueGraze Area 2{BR}045 Expand-Blue Pet Playpen{BR}046 Expand-Bluebell Maker 1{BR}047 Expand-Bluebell Maker 2{BR},
85,0x6C96,206,0,206,0.961,1C2F883B,048 Expand-Bluebell Fields{BR}049 Expand-Bluebell Bee 1{BR}050 Expand-Bluebell Bee 2{BR}051 Expand-Bluebell Bee 3{BR}052 Expand-Bluebell Bee 4{BR}053 Expand-Bluebell Bee 5{BR}054 Expand-Bluebell Bee 6{BR}055 Expand-Hot Springs{BR},048 Expand-Bluebell Fields{BR}049 Expand-Bluebell Bee 1{BR}050 Expand-Bluebell Bee 2{BR}051 Expand-Bluebell Bee 3{BR}052 Expand-Bluebell Bee 4{BR}053 Expand-Bluebell Bee 5{BR}054 Expand-Bluebell Bee 6{BR}055 Expand-Hot Springs{BR},
86,0x6E34,182,0,182,0.956,B69DC3A4,056 Expand-Tunnel Down{BR}057 Expand-Tunnel Up{BR}058 Expand-Tunnel 1{BR}059 Expand-Tunnel 2{BR}060 Expand-Tunnel 3{BR}061 Work-Gombe-SprWater S{BR}062 Work-Gombe-SprWater E{BR}063 Work-Gombe-SumWater S{BR},056 Expand-Tunnel Down{BR}057 Expand-Tunnel Up{BR}058 Expand-Tunnel 1{BR}059 Expand-Tunnel 2{BR}060 Expand-Tunnel 3{BR}061 Work-Gombe-SprWater S{BR}062 Work-Gombe-SprWater E{BR}063 Work-Gombe-SumWater S{BR},
87,0x6FA2,224,0,224,0.964,4DDE54A8,064 Work-Gombe-SumWater E{BR}065 Work-Gombe-Fall Water S{BR}066 Work-Gombe-Fall Water E{BR}067 Work-Nori-Winter Water S{BR}068 Work-Nori-Winter Water E{BR}069 Work-Gombe-SprHarvest S{BR}070 Work-Gombe-SprHarvest E{BR}071 Work-Gombe-SumHarvest S{BR},064 Work-Gombe-SumWater E{BR}065 Work-Gombe-Fall Water S{BR}066 Work-Gombe-Fall Water E{BR}067 Work-Nori-Winter Water S{BR}068 Work-Nori-Winter Water E{BR}069 Work-Gombe-SprHarvest S{BR}070 Work-Gombe-SprHarvest E{BR}071 Work-Gombe-SumHarvest S{BR},
88,0x7164,224,0,224,0.964,F29B925E,072 Work-Gombe-SumHarvest E{BR}073 Work-Gombe-FallHarvest S{BR}074 Work-Gombe-FallHarvest E{BR}075 Work-Nori-WinHarvest S{BR}076 Work-Nori-WinHarvest E{BR}077 Work-Ash-Spring Brush S{BR}078 Work-Ash-Spring Brush E{BR}079 Work-Ash-Summer Brush S{BR},072 Work-Gombe-SumHarvest E{BR}073 Work-Gombe-FallHarvest S{BR}074 Work-Gombe-FallHarvest E{BR}075 Work-Nori-WinHarvest S{BR}076 Work-Nori-WinHarvest E{BR}077 Work-Ash-Spring Brush S{BR}078 Work-Ash-Spring Brush E{BR}079 Work-Ash-Summer Brush S{BR},
