id,offset_hex,body_words,prefix_words,editable_words,text_ratio,crc32,source,translation,notes
53,0xB48,31,1,30,0.903,F44B6D11,Number of fish you've{BR}caught.{#2390},Tuttuğun toplam{BR}balık sayısı.{#2390},
54,0xB88,47,1,46,0.936,E9E8873B,Number of items you've found{BR}on the mountain.{#2390},Dağda bulduğun{BR}eşya sayısı.{#2390},
55,0xBE8,40,1,39,0.925,396D7728,How far you've traveled on{BR}your horse.{#2390},Atla katettiğin{BR}mesafe.{#2390},
56,0xC3A,38,1,37,0.921,CB138D52,Number of times you've used{BR}alchemy.{#2390},Simyayı{BR}kullanma sayın.{#2390},
57,0xC88,58,1,57,0.931,0EACB464,Number of offerings you've{BR}given to the Harvest{BR}Goddess.{#2390},Hasat Tanrıçasına{BR}sunduğun adak sayısı.{#2390},
58,0xCFE,47,1,46,0.936,58AB1B5C,Number of times you've found{BR}ore in the mine.{#2390},Madende cevher{BR}bulma sayın.{#2390},
59,0xD5E,60,1,59,0.933,4AA26B56,Number of times you've been{BR}affected by traps in the{BR}mine.{#2390},Madendeki tuzaklara{BR}yakalanma sayın.{#2390},
60,0xDD8,36,1,35,0.917,727EBE1B,Number of times you've{BR}passed out.{#2390},Bayıldığın{BR}toplam sayı.{#2390},
61,0xE32,13,0,13,1.000,354087F8,Request Level,Görev Düzeyi,
62,0xE4E,20,0,20,1.000,8B623396,Types of Fish Caught,Balık Türleri,
63,0xE78,19,0,19,1.000,40D633BF,Critter Types Found,Bulunan Böcek Türü,
64,0xEA0,15,0,15,1.000,FA38D385,Recipes Learned,Tarifler,
65,0xEC0,20,0,20,1.000,17DE2A6F,Makers and Mill Used,Üretici Kullanımı,
66,0xEEA,10,0,10,1.000,E94C3888,Honey Made,Bal Sayısı,
67,0xF00,11,0,11,1.000,EC3E328C,Fish Raised,Balık Adedi,
68,0xF18,12,0,12,1.000,0DD84E9F,Devices Used,Alet Sayısı,
69,0xF32,17,0,17,1.000,5E223777,Total Fish Caught,Toplam Balık,
70,0xF56,11,0,11,1.000,6BC18E80,Items Found,Bulunanlar,
71,0xF6E,15,0,15,1.000,54E4AA9F,Distance Ridden,Atla Mesafe,
72,0xF8E,12,0,12,1.000,E571A54F,Alchemy Used,Simya Sayısı,
73,0xFA8,19,0,19,1.000,58817EBD,Gifts to H. Goddess,Tanrıçaya Hediyeler,
74,0xFD0,9,0,9,1.000,3674F716,Ore Found,Cevher,
75,0xFE4,13,0,13,1.000,069AE3D7,Traps Set Off,Tuzak Sayısı,
76,0x1000,16,0,16,1.000,A8D36C56,Times Passed Out,Bayılma Sayısı,
77,0x1022,16,0,16,1.000,4F586F29,Number of Guests,Misafir Sayısı,
78,0x1044,14,0,14,1.000,A49B9CB1,Fees Collected,Toplanan Ücret,
79,0x1090,7,1,6,0.857,30561E81, Steps, Adım,
80,0x13C8,50,1,49,0.840,018E396E,"Got on Year {#1000}, {#1001} {#1002}.{BR}Products produced daily: {#1003}.{BR}{#2390}","{#1000}. Yıl, {#1001} {#1002} alındı.{BR}Günlük ürün: {#1003}.{BR}{#2390}",
81,0x142E,65,1,64,0.846,3030B8F3,"Got on Year {#1000}, {#1001} {#1002}.{BR}Products produced: {#1003}.{BR}{#206D}Currently pregnant.{#206C}{#2390}","{#1000}. Yıl, {#1001} {#1002} alındı.{BR}Ürün sayısı: {#1003}.{BR}{#206D}Şu an gebe.{#206C}{#2390}",
82,0x14B2,22,1,21,0.727,4D6D50DE,"Got on Year {#1000}, {#1001} {#1002}.{BR}{#2390}","{#1000}. Yıl, {#1001} {#1002} alındı.{BR}{#2390}",
83,0x1950,19,0,19,0.947,2D46AC6D,         Record {#1000}cm,         Rekor {#1000}cm,
84,0x1978,19,0,19,0.947,E61A7FC8,         Record {#1001}cm,         Rekor {#1001}cm,
85,0x19A0,19,0,19,0.947,608E0D66,         Record {#1002}cm,         Rekor {#1002}cm,
86,0x19C8,19,0,19,0.947,ABD2DEC3,         Record {#1003}cm,         Rekor {#1003}cm,
87,0x19F0,19,0,19,0.947,B6D7EE7B,         Record {#1004}cm,         Rekor {#1004}cm,
88,0x1A2C,6,1,5,0.833,17C323F0, Farm,Tarla,
89,0x1A5A,6,0,6,1.000,589D6271,Spring,Bahar,
90,0x1A68,6,0,6,1.000,600AA9B1,Summer,Yaz,
91,0x1A76,4,0,4,1.000,106656D1,Fall,Güz,
92,0x1A80,6,0,6,1.000,F4C8A718,Winter,Kış,
93,0x1AD6,5,0,5,1.000,0464C242, ??? , ??? ,
94,0x1AE2,32,1,31,0.938,92C314AA,Select an animal from{BR}the list.,Listeden bir{BR}hayvan seç.,
95,0x1B24,18,0,18,0.944,31F85FA9,King    Record {#1000}cm,Kral    Rekor {#1000}cm,
96,0x1B4A,18,0,18,0.944,FAA48C0C,King    Record {#1001}cm,Kral    Rekor {#1001}cm,
97,0x1B70,18,0,18,0.944,7C30FEA2,King    Record {#1002}cm,Kral    Rekor {#1002}cm,
98,0x1B96,18,0,18,0.944,B76C2D07,King    Record {#1003}cm,Kral    Rekor {#1003}cm,
99,0x1BBC,18,0,18,0.944,AA691DBF,King    Record {#1004}cm,Kral    Rekor {#1004}cm,
100,0x1BE2,8,0,8,1.000,25AE5243,Beginner,Acemi,
101,0x1BF4,18,0,18,1.000,DAE88E34,Farmer in Training,Çiftçi Adayı,
102,0x1C1A,13,0,13,1.000,20E694C9,Novice Farmer,Toy Çiftçi,
103,0x1C36,14,0,14,1.000,E7FD53BC,Amateur Farmer,Amatör Çiftçi,
104,0x1C54,16,0,16,1.000,CF5B69BD,Confident Farmer,Kendinden Emin,
105,0x1C76,18,0,18,1.000,17B9CE9F,Experienced Farmer,Deneyimli Çiftçi,
106,0x1C9C,14,0,14,1.000,E1999DB9,Veteran Farmer,Kıdemli Çiftçi,
107,0x1CBA,20,0,20,1.000,47F8F8BD,Major Veteran Farmer,Büyük Kıdemli Çiftçi,
108,0x1CE4,20,0,20,1.000,A401440E,Super Veteran Farmer,Süper Kıdemli Çiftçi,
109,0x1D0E,11,0,11,1.000,B1D72995,Farming Pro,Usta Çiftçi,
110,0x1D26,17,0,17,1.000,C2EFE277,Major Farming Pro,Büyük Usta Çiftçi,
111,0x1D4A,17,0,17,1.000,917B1093,Super Farming Pro,Süper Usta Çiftçi,
112,0x1D6E,13,0,13,1.000,13C30E34,Farming Chief,Çiftlik Şefi,
113,0x1D8A,19,0,19,1.000,2CDC625B,Major Farming Chief,Büyük Çiftlik Şefi,
114,0x1DB2,19,0,19,1.000,24CE5CDA,Super Farming Chief,Süper Çiftlik Şefi,
115,0x1DDA,12,0,12,1.000,0B090C8A,Farming Boss,Baş Çiftçi,
116,0x1DF4,18,0,18,1.000,6BF7F5E4,Major Farming Boss,Baş Patron Çiftçi,
117,0x1E1A,18,0,18,1.000,025603A8,Super Farming Boss,Süper Baş Çiftçi,
118,0x1E40,11,0,11,1.000,6B1720DB,Farming Ace,Çiftlik Ası,
119,0x1E58,17,0,17,1.000,182FEB39,Major Farming Ace,Büyük Çiftlik Ası,
120,0x1E7C,17,0,17,1.000,4BBB19DD,Super Farming Ace,Süper Çiftlik Ası,
121,0x1EA0,14,0,14,1.000,B97DC3CF,Farming Master,Çiftlik Üstadı,
122,0x1EBE,20,0,20,1.000,1F1CA6CB,Major Farming Master,Büyük Çiftlik Üstadı,
123,0x1EE8,20,0,20,1.000,FCE51A78,Super Farming Master,Süper Çiftlik Üstadı,
124,0x1F12,16,0,16,1.000,F1ECEB11,Farming Champion,Şampiyon Çiftçi,
125,0x1F34,22,0,22,1.000,73C129B6,Major Farming Champion,Büyük Şampiyon Çiftçi,
126,0x1F62,22,0,22,1.000,4C3F2680,Super Farming Champion,Süper Şampiyon Çiftçi,
127,0x1F90,12,0,12,1.000,6599091C,Farming Hero,Çiftçi Ası,
128,0x1FAA,18,0,18,1.000,6CC6063E,Super Farming Hero,Süper Çiftçi Ası,
129,0x1FD0,21,0,21,1.000,C233EF4F,Ultimate Farming Hero,Nihai Çiftçi Kahraman,
130,0x1FFC,13,0,13,1.000,4FE3F557,Farming Magus,Çiftçi Bilge,
131,0x2018,19,0,19,1.000,78EEA7B9,Super Farming Magus,Süper Çiftçi Bilge,
132,0x2040,22,0,22,1.000,971C1B27,Ultimate Farming Magus,Nihai Çiftlik Bilgesi,
133,0x206E,14,0,14,1.000,D187D454,Farming Wizard,Çiftçi Büyücü,
134,0x208C,20,0,20,1.000,941F0DE3,Super Farming Wizard,Süper Çiftçi Büyücü,
135,0x20B6,23,0,23,1.000,B90ABA22,Ultimate Farming Wizard,Nihai Çiftlik Büyücüsü,
136,0x20E6,14,0,14,1.000,D0D1F3E3,Farming Legend,Çiftçi Efsane,
137,0x2104,20,0,20,1.000,95492A54,Super Farming Legend,Süper Çiftçi Efsane,
138,0x212E,23,0,23,1.000,B85C9D95,Ultimate Farming Legend,Nihai Çiftlik Efsanesi,
139,0x2166,32,14,18,0.500,E5B9B63B,Choose a season!{BR}{#2708},Bir mevsim seç!{BR}{#2708},
140,0x21A8,16,1,15,0.812,FC653544,Choose a day!{BR}{#2708},Bir gün seç!{BR}{#2708},
141,0x21CA,31,2,29,0.774,B6540580, {#1001}? You're sure?{BR}{#2332} Yes.{BR} No.{BR}, {#1001}? Emin mi?{BR}{#2332} Evet{BR} Hayır{BR},
142,0x220A,19,1,18,0.842,4E11F69F,Choose a season!{BR}{#2708},Bir mevsim seç!{BR}{#2708},
143,0x2232,16,1,15,0.812,FC653544,Choose a day!{BR}{#2708},Bir gün seç!{BR}{#2708},
144,0x2666,190,1,189,0.916,FC5FFABA, House: Spice{BR}{#1001} House: Flower Girl's Mind{BR}{#1002} House: Innocence{BR}{#1003} House: Flower Justice{BR}{#1004} House: Flower Sunny Smile{BR}{#1005} House: Flower Pure White{BR}{#1006} House: Flower Clrfl Land{BR}{#1007}  Have lived in Asia{BR}, House: Spice{BR}{#1001} House: Flower Girl's Mind{BR}{#1002} House: Innocence{BR}{#1003} House: Flower Justice{BR}{#1004} House: Flower Sunny Smile{BR}{#1005} House: Flower Pure White{BR}{#1006} House: Flower Clrfl Land{BR}{#1007}  Have lived in Asia{BR},
145,0x27E4,127,1,126,0.827,83D91366, Have lived in Bluebell{BR}{#1001} {#206E}-Not in use-{#206C}{BR}{#1002} {#206E}-Not in use-{#206C}{BR}{#1003} Alisa s allowed to marry{BR}{#1004} {#206E}-Not in use-{#206C}{BR}{#1005} Calf{BR}{#1006} Veal{BR}{#1007} Chicken{BR}, Have lived in Bluebell{BR}{#1001} {#206E}-Not in use-{#206C}{BR}{#1002} {#206E}-Not in use-{#206C}{BR}{#1003} Alisa s allowed to marry{BR}{#1004} {#206E}-Not in use-{#206C}{BR}{#1005} Calf{BR}{#1006} Veal{BR}{#1007} Chicken{BR},
146,0x28E4,89,1,88,0.798,D76BD19B, Dog{BR}{#1001} Cat{BR}{#1002} Flag after ending{BR}{#1003} Oracle's name{BR}{#1004} 0x01c{BR}{#1005} 0x01d{BR}{#1006} 0x01e{BR}{#1007} {#206E}-Not in use-{#206C}{BR}, Dog{BR}{#1001} Cat{BR}{#1002} Flag after ending{BR}{#1003} Oracle's name{BR}{#1004} 0x01c{BR}{#1005} 0x01d{BR}{#1006} 0x01e{BR}{#1007} {#206E}-Not in use-{#206C}{BR},
147,0x2998,149,1,148,0.852,8CA9BDDF, {#206E}-Not in use-{#206C}{BR}{#1001} {#206E}-Not in use-{#206C}{BR}{#1002} 0x022{BR}{#1003} {#206E}-Not in use-{#206C}{BR}{#1004} Toughness in Effect{BR}{#1005} Angler Pill in Effect{BR}{#1006} Waiting for Fish{BR}{#1007} Clear Vision in Effect{BR}, {#206E}-Not in use-{#206C}{BR}{#1001} {#206E}-Not in use-{#206C}{BR}{#1002} 0x022{BR}{#1003} {#206E}-Not in use-{#206C}{BR}{#1004} Toughness in Effect{BR}{#1005} Angler Pill in Effect{BR}{#1006} Waiting for Fish{BR}{#1007} Clear Vision in Effect{BR},
148,0x2AC4,143,1,142,0.804,01DE3BB5, K. Mt. 2Ice Upper 0={#01CB}{BR}{#1001} K. Mt. 2Ice Bottom 0={#01CB}{BR}{#1002} Konohana Mt. Ice 0={#01CB}{BR}{#1003} Bluebell Mt. Ice 0={#01CB}{BR}{#1004} {#206E}-DUMMY-{#206C}{BR}{#1005} {#206E}-DUMMY-{#206C}{BR}{#1006} {#206E}-DUMMY-{#206C}{BR}{#1007} {#206E}-DUMMY-{#206C}{BR}, K. Mt. 2Ice Upper 0={#01CB}{BR}{#1001} K. Mt. 2Ice Bottom 0={#01CB}{BR}{#1002} Konohana Mt. Ice 0={#01CB}{BR}{#1003} Bluebell Mt. Ice 0={#01CB}{BR}{#1004} {#206E}-DUMMY-{#206C}{BR}{#1005} {#206E}-DUMMY-{#206C}{BR}{#1006} {#206E}-DUMMY-{#206C}{BR}{#1007} {#206E}-DUMMY-{#206C}{BR},
149,0x2BE4,92,1,91,0.674,B63766AD, {#206E}-DUMMY-{#206C}{BR}{#1001} {#206E}-DUMMY-{#206C}{BR}{#1002} {#206E}-DUMMY-{#206C}{BR}{#1003} {#206E}-DUMMY-{#206C}{BR}{#1004} {#206E}-DUMMY-{#206C}{BR}{#1005} {#206E}-DUMMY-{#206C}{BR}{#1006} {#206E}-DUMMY-{#206C}{BR}{#1007} 0x037{BR}, {#206E}-DUMMY-{#206C}{BR}{#1001} {#206E}-DUMMY-{#206C}{BR}{#1002} {#206E}-DUMMY-{#206C}{BR}{#1003} {#206E}-DUMMY-{#206C}{BR}{#1004} {#206E}-DUMMY-{#206C}{BR}{#1005} {#206E}-DUMMY-{#206C}{BR}{#1006} {#206E}-DUMMY-{#206C}{BR}{#1007} 0x037{BR},
150,0x2C9E,132,1,131,0.879,90179DE8, 0x038{BR}{#1001} 0x039{BR}{#1002} 0x03a{BR}{#1003} 0x03b{BR}{#1004} Hot Spring Description End{BR}{#1005} Towl Hall Stay End{BR}{#1006} Drawing Description End{BR}{#1007} Asset Descritpion End{BR}, 0x038{BR}{#1001} 0x039{BR}{#1002} 0x03a{BR}{#1003} 0x03b{BR}{#1004} Hot Spring Description End{BR}{#1005} Towl Hall Stay End{BR}{#1006} Drawing Description End{BR}{#1007} Asset Descritpion End{BR},
151,0x2DA8,192,1,191,0.917,74C51A5B, Calendar Description End{BR}{#1001} Bath Description End{BR}{#1002} Bathroom Description End{BR}{#1003} Cooking Description End{BR}{#1004} Vase Description End{BR}{#1005} Animal Description End{BR}{#1006} Owl Delivery End{BR}{#1007} Animal Purchase End{BR}, Calendar Description End{BR}{#1001} Bath Description End{BR}{#1002} Bathroom Description End{BR}{#1003} Cooking Description End{BR}{#1004} Vase Description End{BR}{#1005} Animal Description End{BR}{#1006} Owl Delivery End{BR}{#1007} Animal Purchase End{BR},
152,0x2F2A,124,1,123,0.871,BE9DB004, Aquafarming Descrptn End{BR}{#1001} Beekeeping Description End{BR}{#1002} Cart Park Description End{BR}{#1003} 0x04b{BR}{#1004} 0x04c{BR}{#1005} 0x04d{BR}{#1006} 0x04e{BR}{#1007} 0x04f{BR}, Aquafarming Descrptn End{BR}{#1001} Beekeeping Description End{BR}{#1002} Cart Park Description End{BR}{#1003} 0x04b{BR}{#1004} 0x04c{BR}{#1005} 0x04d{BR}{#1006} 0x04e{BR}{#1007} 0x04f{BR},
153,0x3024,112,1,111,0.839,6A30FFEE, Get Sickle{BR}{#1001} Get Axe{BR}{#1002} Get Hammer{BR}{#1003} {#206E}-Not in use-{#206C}{BR}{#1004} Get Fishing Rod{BR}{#1005} Get Stethoscope{BR}{#1006} Get Brush{BR}{#1007} Get Bell{BR}, Get Sickle{BR}{#1001} Get Axe{BR}{#1002} Get Hammer{BR}{#1003} {#206E}-Not in use-{#206C}{BR}{#1004} Get Fishing Rod{BR}{#1005} Get Stethoscope{BR}{#1006} Get Brush{BR}{#1007} Get Bell{BR},
154,0x3106,126,1,125,0.857,009EF225, Get Snowboard{BR}{#1001} Get Skateboard{BR}{#1002} Get Dog Bone{BR}{#1003} Get Cat Bell{BR}{#1004} Get Milker{BR}{#1005} Get Shearer{BR}{#1006} Get Long Fishing Rod{BR}{#1007} {#206E}-SYSTEM-{#206C}{BR}, Get Snowboard{BR}{#1001} Get Skateboard{BR}{#1002} Get Dog Bone{BR}{#1003} Get Cat Bell{BR}{#1004} Get Milker{BR}{#1005} Get Shearer{BR}{#1006} Get Long Fishing Rod{BR}{#1007} {#206E}-SYSTEM-{#206C}{BR},
155,0x3204,80,1,79,0.775,62076233, 0x060{BR}{#1001} {#206E}-SYSTEM-{#206C}{BR}{#1002} Paddy is watered{BR}{#1003} 0x063{BR}{#1004} 0x064{BR}{#1005} 0x065{BR}{#1006} 0x066{BR}{#1007} 0x067{BR}, 0x060{BR}{#1001} {#206E}-SYSTEM-{#206C}{BR}{#1002} Paddy is watered{BR}{#1003} 0x063{BR}{#1004} 0x064{BR}{#1005} 0x065{BR}{#1006} 0x066{BR}{#1007} 0x067{BR},
156,0x32A6,64,1,63,0.750,0C6DC3F2, 0x068{BR}{#1001} 0x069{BR}{#1002} 0x06a{BR}{#1003} 0x06b{BR}{#1004} 0x06c{BR}{#1005} 0x06d{BR}{#1006} 0x06e{BR}{#1007} 0x06f{BR}, 0x068{BR}{#1001} 0x069{BR}{#1002} 0x06a{BR}{#1003} 0x06b{BR}{#1004} 0x06c{BR}{#1005} 0x06d{BR}{#1006} 0x06e{BR}{#1007} 0x06f{BR},
157,0x3328,99,1,98,0.838,A684BA11, Alpaca{BR}{#1001} Owl{BR}{#1002} Buy Blue Feather{BR}{#1003} Buy Summer Sun{BR}{#1004} Buy Fall Sun{BR}{#1005} Buy Winter Sun{BR}{#1006} 0x076{BR}{#1007} 0x077{BR}, Alpaca{BR}{#1001} Owl{BR}{#1002} Buy Blue Feather{BR}{#1003} Buy Summer Sun{BR}{#1004} Buy Fall Sun{BR}{#1005} Buy Winter Sun{BR}{#1006} 0x076{BR}{#1007} 0x077{BR},
158,0x33F0,104,1,103,0.846,CE85EC1F, 0x078{BR}{#1001} 0x079{BR}{#1002} 0x07a{BR}{#1003} 0x07b{BR}{#1004} 0x07c{BR}{#1005} 0x07d{BR}{#1006} Konohana Outfit for Women{BR}{#1007} Bluebell Outfit for Women{BR}, 0x078{BR}{#1001} 0x079{BR}{#1002} 0x07a{BR}{#1003} 0x07b{BR}{#1004} 0x07c{BR}{#1005} 0x07d{BR}{#1006} Konohana Outfit for Women{BR}{#1007} Bluebell Outfit for Women{BR},
159,0x34C2,186,1,185,0.914,BFEDE123, Radio is set up.{BR}{#1001} Work Outfit for Men{BR}{#1002} Casual Outfit for Men{BR}{#1003} Urban Outfit for Men{BR}{#1004} Classy Outfit for Men{BR}{#1005} Wild Outfit for Women{BR}{#1006} Work Outfit for Women{BR}{#1007} Casual Outfit for Women{BR}, Radio is set up.{BR}{#1001} Work Outfit for Men{BR}{#1002} Casual Outfit for Men{BR}{#1003} Urban Outfit for Men{BR}{#1004} Classy Outfit for Men{BR}{#1005} Wild Outfit for Women{BR}{#1006} Work Outfit for Women{BR}{#1007} Casual Outfit for Women{BR},
160,0x3638,167,1,166,0.904,14FDFAB3, Hip Outfit for Women{BR}{#1001} Classy Outfit for Women{BR}{#1002} TraditionalOutfit W{BR}{#1003} Get UFO Cart{BR}{#1004} Get Cardboard Cart{BR}{#1005} Konohana Outfit for Men{BR}{#1006} Bluebell Outfit for Men{BR}{#1007} 0x08f{BR}, Hip Outfit for Women{BR}{#1001} Classy Outfit for Women{BR}{#1002} TraditionalOutfit W{BR}{#1003} Get UFO Cart{BR}{#1004} Get Cardboard Cart{BR}{#1005} Konohana Outfit for Men{BR}{#1006} Bluebell Outfit for Men{BR}{#1007} 0x08f{BR},
161,0x3788,144,1,143,0.889,665FC482, Child's Name 0!{BR}{#1001} Child's Name 1!{BR}{#1002} Child's Name 2!{BR}{#1003} Child's Name 3!{BR}{#1004} Child's Name 4!{BR}{#1005} Child's Name 5!{BR}{#1006} Child's Name 6!{BR}{#1007} Child's Name 7!{BR}, Child's Name 0!{BR}{#1001} Child's Name 1!{BR}{#1002} Child's Name 2!{BR}{#1003} Child's Name 3!{BR}{#1004} Child's Name 4!{BR}{#1005} Child's Name 5!{BR}{#1006} Child's Name 6!{BR}{#1007} Child's Name 7!{BR},
162,0x38AA,95,1,94,0.832,9AEAC6FE, Child's Name 8!{BR}{#1001} Child's Name 9!{BR}{#1002} Child's Name 10!{BR}{#1003} 0x09b{BR}{#1004} 0x09c{BR}{#1005} 0x09d{BR}{#1006} 0x09e{BR}{#1007} 0x09f{BR}, Child's Name 8!{BR}{#1001} Child's Name 9!{BR}{#1002} Child's Name 10!{BR}{#1003} 0x09b{BR}{#1004} 0x09c{BR}{#1005} 0x09d{BR}{#1006} 0x09e{BR}{#1007} 0x09f{BR},
163,0x396A,158,1,157,0.899,CA56F122, Get Bamboo Cart.{BR}{#1001} Get Expensive Cart.{BR}{#1002} Get Simple Cart.{BR}{#1003} Get Big Cart.{BR}{#1004} Get Dragon Cart.{BR}{#1005} Get Robot Chicken Cart.{BR}{#1006} Get Sled Cart.{BR}{#1007} Get second house!{BR}, Get Bamboo Cart.{BR}{#1001} Get Expensive Cart.{BR}{#1002} Get Simple Cart.{BR}{#1003} Get Big Cart.{BR}{#1004} Get Dragon Cart.{BR}{#1005} Get Robot Chicken Cart.{BR}{#1006} Get Sled Cart.{BR}{#1007} Get second house!{BR},
164,0x3AA8,64,1,63,0.750,061423B0, 0x0a8{BR}{#1001} 0x0a9{BR}{#1002} 0x0aa{BR}{#1003} 0x0ab{BR}{#1004} 0x0ac{BR}{#1005} 0x0ad{BR}{#1006} 0x0ae{BR}{#1007} 0x0af{BR}, 0x0a8{BR}{#1001} 0x0a9{BR}{#1002} 0x0aa{BR}{#1003} 0x0ab{BR}{#1004} 0x0ac{BR}{#1005} 0x0ad{BR}{#1006} 0x0ae{BR}{#1007} 0x0af{BR},
165,0x3B2A,64,1,63,0.750,23CC43A0, 0x0b0{BR}{#1001} 0x0b1{BR}{#1002} 0x0b2{BR}{#1003} 0x0b3{BR}{#1004} 0x0b4{BR}{#1005} 0x0b5{BR}{#1006} 0x0b6{BR}{#1007} 0x0b7{BR}, 0x0b0{BR}{#1001} 0x0b1{BR}{#1002} 0x0b2{BR}{#1003} 0x0b3{BR}{#1004} 0x0b4{BR}{#1005} 0x0b5{BR}{#1006} 0x0b6{BR}{#1007} 0x0b7{BR},
