index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
34,BossProfileText1,"Battle beside your team!
Work together to defeat
the Steel Soldier hiding
in the forest!","Le soldat d'acier se
terre dans la forêt.
Assemblez une équipe
de choc pour le vaincre !","Kämpfe an der Seite
deines Teams! Besiegt
zusammen den stählernen
Krieger im Walde!","Squadra pronta all'azione!
La collaborazione è tutto
per sconfiggere il Soldato
d'acciaio nella foresta!","Lucha junto a tus aliados
para vencer al soldado
de acero que se oculta
en el bosque.","⟦MSBT:0E00000000000A00040006006A304B307E30⟧仲間と ともに ⟦MSBT:0E00000000000E0004000A004D308730463068304630⟧共闘バトル！
⟦MSBT:0E000000000008000200040082308A30⟧森に ひそむ　⟦MSBT:0E00000000000A00020006006F304C306D30⟧鋼の⟦MSBT:0E00000000000A0004000600783044305730⟧兵士を
⟦MSBT:0E00000000000A000200060061304B308930⟧力を⟦MSBT:0E00000000000600020002004230⟧合わせて ⟦MSBT:0E00000000000600020002004630⟧打ち⟦MSBT:0E00000000000800020004005F304A30⟧倒せ！","Battle beside your team!
Work together to defeat
the Steel Soldier hiding
in the forest!","Le soldat d'acier se
cache dans la forêt.
Assemblez une équipe
de choc pour le vaincre!","Lucha junto a tus aliados
para vencer al soldado
de acero que se oculta
en el bosque.","Takımınla savaş!
Ormandaki Çelik Asker'i
birlikte yen!",
35,BossProfileText2,"Tame the wild Ice
Beast who stalks
the moonlit lake!","Rendez-vous au lac, et
tentez de dompter ce
monstre de glace une
fois pour toutes !","Zähme die eisige Bestie,
die im Mondlicht die Ufer
des Sees unsicher macht!","Il selvaggio Mostro di
ghiaccio che si aggira
lungo il lago al chiaro di
luna deve essere domato!","Derrotad a la bestia
de hielo que acecha
en el lago bajo la luz
de la luna.","⟦MSBT:0E000000000008000200040088308B30⟧夜の⟦MSBT:0E00000000000A000400060053306F309330⟧湖畔に あらわれた
おちゃめで あばれん⟦MSBT:0E00000000000800020004007C304630⟧坊な
⟦MSBT:0E00000000000A000200060053304A308A30⟧氷の⟦MSBT:0E00000000000A0002000600513082306E30⟧獣を こらしめて！","Tame the wild Ice Beast
who stalks the
moonlit lake!","Rendez-vous au lac, et
tentez de dompter ce
monstre de glace une
fois pour toutes!","Derrota a la criatura
de hielo que acecha
en el lago bajo la luz
de la luna.","Ay ışığındaki gölde gezen
vahşi Buz Canavarı'nı
dize getir!",
36,BossProfileText3,"Fell the ancient tree that
lives in the old ruins. Just
watch out for worms and
falling apples!","Cet arbre n'abandonnera
pas les ruines sans se
défendre... Attention aux
pommes et aux vers !","Fälle den Baum, der in
den Ruinen lebt. Aber
hüte dich vor Gewürm
im Holz und vor Fallobst!","È tempo di abbattere
l'Albero millenario tra le
rovine. Ma attenzione a
vermi e mele che cadono!","⟦MSBT:0E000000020002005500⟧Acabad con el árbol
ancestral que vive en las
ruinas, pero ¡cuidado con
los gusanos y las manzanas!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000000000A000400060044305B304D30⟧遺跡に⟦MSBT:0E00000000000600020002005930⟧住まう ⟦MSBT:0E00000000000C000200080044306B3057304830⟧古の⟦MSBT:0E00000000000C00040008005F30443058308530⟧大樹！
リンゴと⟦MSBT:0E00000000000A0004000600513080305730⟧毛虫が ふってきても
みんなで⟦MSBT:0E000000000008000200040044306930⟧挑めば ⟦MSBT:0E000000000008000200040053308F30⟧怖くない！","Fell the Ancient Tree
who lives in the old ruins.
But watch out for worms
and falling apples!","Cet arbre n'abandonnera
pas les ruines sans se
défendre... Attention aux
pommes et aux vers!","⟦MSBT:0E000000020002005500⟧Acaba con el árbol
ancestral que vive en las
ruinas, pero ¡ten cuidado con
los gusanos y las manzanas!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Harabelerdeki Kadim Ağacı
devir. Tırtıllara ve
düşen elmalara
dikkat!⟦MSBT:0E000000020002006400⟧",
37,BossProfileText4,"A giant burning frog?!
Quick - make it croak
before it hops back into
the volcano!","Vite ! Donnez une raclée
à ce crapaud géant avant
qu'il n'aille se réfugier au
cœur du volcan !","Ein Riesen-Feuerfrosch?
Schnell! Versohl ihm den
Popo, bevor er wieder in
die Flammen hüpft!","Una gigantesca Rana
di fuoco?! Deve essere
sconfitta prima che salti
di nuovo nel vulcano!","⟦MSBT:0E000000020002005A00⟧¿Un enorme búho
llameante? ¡Rápido, dadle su
merecido antes de que
vuelva al volcán!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000000000A00020006007B306E304A30⟧炎を まといし ⟦MSBT:0E00000000000C00040008004D30873060304430⟧巨大な⟦MSBT:0E00000000000A00020006004B308F305A30⟧蛙！
マグマにかえる その⟦MSBT:0E00000000000800020004007E304830⟧前に
その おしりを ⟦MSBT:0E00000000000800020004005F305F30⟧叩いてやる！","A giant Flaming Frog?!
Quick! Spank it silly
before it hops back
to the volcano!","Vite! Donnez une raclée
à ce crapaud géant avant
qu'il n'aille se réfugier au
cœur du volcan!","⟦MSBT:0E000000020002005A00⟧¿Un enorme búho
llameante? Rápido, dale su
merecido antes de que
vuelva al volcán.⟦MSBT:0E000000020002006400⟧","Dev alevli kurbağa?!
Volkana dönmeden önce
çabuk yen!",
38,BossProfileText5,"Dark clouds loom over
the mountaintop...
Prepare to fight the great
four-headed guardian!","Préparez-vous à
affronter la terrible
gardienne du sommet
de la montagne !","Dunkle Wolken liegen
über allen Gipfeln... Bist
du bereit, die vierköpfige
Harpyie zu bekämpfen?","Nuvole scure avvolgono
il picco della montagna...
Ecco l'Idra protettrice a
quattro teste!","⟦MSBT:0E000000020002005500⟧Negros nubarrones se ciernen
sobre la montaña. ¡Preparaos
para luchar contra el guardián
de cuatro cabezas!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000000000C00040008004230933046309330⟧暗雲⟦MSBT:0E00000000000600020002005F30⟧立ちこめる ⟦MSBT:0E00000000000E0004000A0055309330613087304630⟧山頂…
４つ⟦MSBT:0E00000000000800020004004F307330⟧首の⟦MSBT:0E00000000000800020004007E308230⟧守り⟦MSBT:0E00000000000800020004004C307F30⟧神と
クライマックス⟦MSBT:0E00000000000E0004000A004D308730463068304630⟧共闘バトル！","Dark clouds loom over
the mountaintop...
Prepare to fight the Four-
Headed Guardian Angel!","Préparez-vous à
affronter la terrible
gardienne du sommet
de la montagne!","⟦MSBT:0E000000020002005500⟧Negros nubarrones se ciernen
sobre la montaña. ¡Prepárate
para luchar contra el guardián
de cuatro cabezas!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Dağ tepesinde kara bulutlar...
Dört başlı
koruyucuyla savaşmaya
hazırlan!⟦MSBT:0E000000020002006400⟧",
39,BossProfileText6,"The four-headed guardian
has descended and
unleashed its true power!
Only you can stop it!","La gardienne à quatre
têtes déchaîne toute
sa fureur. Vous devez
l'arrêter !","Die vierköpfige Harpyie
ist herabgestiegen...
Es wird ernst! Nur du
kannst sie noch stoppen!","L'Idra protettrice ha
deciso di scatenare
tutto il suo potere!
Deve essere fermata!","El guardián cuatricéfalo
ha revelado su verdadero
poder. ¡Solo vosotros
podéis detenerlo!","なんと　⟦MSBT:0E000000000008000200040057309330⟧真の⟦MSBT:0E00000000000A000200060061304B308930⟧力を ⟦MSBT:0E00000000000C00040008004B3044307B304630⟧解放した
４つ⟦MSBT:0E00000000000800020004004F307330⟧首の⟦MSBT:0E00000000000800020004007E308230⟧守り⟦MSBT:0E00000000000800020004004C307F30⟧神が ⟦MSBT:0E00000000000C0004000800533046308A309330⟧降臨！
⟦MSBT:0E00000000000A00040006006A304B307E30⟧仲間と ともに ⟦MSBT:0E00000000000C0004000800673093305B306430⟧伝説を⟦MSBT:0E000000000008000200040064304F30⟧作れ！","The four-headed Guardian
Angel has descended and
unleashed its true power!
Only you can stop it!","La gardienne à quatre
têtes déchaîne toute
sa fureur. Vous devez
l'arrêter!","El guardián de cuatro
cabezas ha revelado su
verdadero poder. ¡Solo tú
puedes detenerlo!","Dört başlı koruyucu indi,
gerçek gücünü açığa çıkardı!
Onu durdurmak sana kaldı!",
40,JobBtnNameText1,Sword Hero,⟦MSBT:0E000000020002005A00⟧Héros à l'épée⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Heldenschwert⟦MSBT:0E000000020002006400⟧,Spada eroica,⟦MSBT:0E000000020002005100⟧Rey de la espada⟦MSBT:0E000000020002006400⟧,ヒーローソード,Sword Hero,⟦MSBT:0E000000020002005A00⟧Héros à l'épée⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005100⟧Rey de la espada⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004600⟧Kılıç Kahramanı⟦MSBT:0E000000020002006400⟧,
41,JobBtnNameText2,Beam Mage,⟦MSBT:0E000000020002005A00⟧Roi des rayons⟦MSBT:0E000000020002006400⟧,Magiebeam,⟦MSBT:0E000000020002005A00⟧Raggio magico⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Señor del rayo⟦MSBT:0E000000020002006400⟧,マジックビーム,Beam Mage,⟦MSBT:0E000000020002005A00⟧Roi des rayons⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Señor del rayo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Işın Büyücüsü⟦MSBT:0E000000020002006400⟧,
42,JobBtnNameText3,⟦MSBT:0E000000020002006100⟧Hammer Lord⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Maestro marto⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Schwerhammer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Mastro martello⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧As del martillo⟦MSBT:0E000000020002006400⟧,ヘビィハンマー,⟦MSBT:0E000000020002006100⟧Hammer Lord⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Maestro marto⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧As del martillo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Çekiç Ustası⟦MSBT:0E000000020002006400⟧,
43,JobBtnNameText4,⟦MSBT:0E000000020002006200⟧Dr Healmore⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Doc. prodige⟦MSBT:0E000000020002006400⟧,Heiler,⟦MSBT:0E000000020002005500⟧Dottore mistico⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Doctor erudito⟦MSBT:0E000000020002006400⟧,ヒールドクター,⟦MSBT:0E000000020002006200⟧Dr. Healmore⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Doc. prodige⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Doctor erudito⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Şifa Doktoru⟦MSBT:0E000000020002006400⟧,
44,JobNameText1,Sword Hero,Héros à l'épée,Heldenschwert,Spada eroica,⟦MSBT:0E000000020002005F00⟧Rey de la espada⟦MSBT:0E000000020002006400⟧,ヒーローソード,Sword Hero,Héros à l'épée,⟦MSBT:0E000000020002005F00⟧Rey de la espada⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Kılıç Kahramanı⟦MSBT:0E000000020002006400⟧,
45,JobNameText2,Beam Mage,Roi des rayons,Magiebeam,⟦MSBT:0E000000020002006400⟧Raggio magico⟦MSBT:0E000000020002006400⟧,Señor del rayo,マジックビーム,Beam Mage,Roi des rayons,Señor del rayo,Işın Büyücüsü,
46,JobNameText3,⟦MSBT:0E000000020002006100⟧Hammer Lord⟦MSBT:0E000000020002006400⟧,Maestro marto,⟦MSBT:0E000000020002006100⟧Schwerhammer⟦MSBT:0E000000020002006400⟧,Mastro martello,As del martillo,ヘビィハンマー,⟦MSBT:0E000000020002006100⟧Hammer Lord⟦MSBT:0E000000020002006400⟧,Maestro marto,As del martillo,⟦MSBT:0E000000020002006100⟧Çekiç Ustası⟦MSBT:0E000000020002006400⟧,
47,JobNameText4,⟦MSBT:0E000000020002005F00⟧Doctor Healmore⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Docteur prodige⟦MSBT:0E000000020002006400⟧,Heiler,Dottore mistico,Doctor erudito,ヒールドクター,⟦MSBT:0E000000020002005F00⟧Doctor Healmore⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Docteur prodige⟦MSBT:0E000000020002006400⟧,Doctor erudito,⟦MSBT:0E000000020002005F00⟧Şifa Doktoru⟦MSBT:0E000000020002006400⟧,
48,JobBywordText1,The blade master!,Le maître des lames !,Der Meister der Klinge!,Il maestro della lama!,⟦MSBT:0E000000020002005500⟧¡Usa el poder de la espada!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000000000C00040008005330463057308530⟧攻守に⟦MSBT:0E00000000000600020002005F30⟧長けた⟦MSBT:0E00000000000A0004000600513093305730⟧剣士！,The blade master!,Le maître des lames!,⟦MSBT:0E000000020002005500⟧¡Usa el poder de la espada!⟦MSBT:0E000000020002006400⟧,Kılıç Ustası!,
49,JobBywordText2,The timely magician!,Le magicien du temps !,Der Meister der Magie!,Il mago del tempo!,⟦MSBT:0E000000020002005500⟧¡La magia es tu aliada!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000000000A000400060058304B309330⟧時間をとめる⟦MSBT:0E00000000000E0006000A007E307B30463064304B30⟧魔法使い！,The timely magician!,Le magicien du temps!,⟦MSBT:0E000000020002005500⟧¡La magia es tu aliada!⟦MSBT:0E000000020002006400⟧,Zaman Büyücüsü!,
50,JobBywordText3,The powerful warrior!,Le puissant guerrier !,Der mächtige Krieger!,Il potente guerriero!,⟦MSBT:0E000000020002005500⟧¡Aplasta a tus adversarios!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000000000C00040008005530443053304630⟧最高パワーの⟦MSBT:0E0000000000100006000C005830853046305B3093305730⟧重戦士！,The powerful warrior!,Le puissant guerrier!,⟦MSBT:0E000000020002005500⟧¡Aplasta a tus adversarios!⟦MSBT:0E000000020002006400⟧,Güçlü Savaşçı!,
51,JobBywordText4,The scholarly healer!,Le savant guérisseur !,Der weise Heiler!,Lo studioso guaritore!,¡La alquimia es tu arma!,⟦MSBT:0E00000000000C00040008004B30443075304F30⟧回復サポートの⟦MSBT:0E00000000000A00040006004C304F305730⟧学士！,The scholarly healer!,Le savant guérisseur!,¡La alquimia es tu arma!,Bilge Şifacı!,
52,JobLevelText,Level,Niveau,Level,Livello,Nivel,レベル,Level,Niveau,Nivel,Seviye,
53,JobTotalExpText,EXP,Exp.,ERF.,⟦MSBT:0E000000020002005A00⟧Punti Esp.⟦MSBT:0E000000020002006400⟧,Exp.,けいけんち,EXP,Exp.,Exp.,EXP,
54,JobParamHpText,Stamina,⟦MSBT:0E000000020002005A00⟧Santé⟦MSBT:0E000000020002006400⟧,Kraft,Energia,Vida,たいりょく,Stamina,⟦MSBT:0E000000020002005A00⟧Santé⟦MSBT:0E000000020002006400⟧,Vida,Can,
55,JobParamAtkText,Attack,⟦MSBT:0E000000020002005A00⟧Attaque⟦MSBT:0E000000020002006400⟧,Angriff,Attacco,Ataque,こうげき,Attack,⟦MSBT:0E000000020002005A00⟧Attaque⟦MSBT:0E000000020002006400⟧,Ataque,Saldırı,
56,JobParamCureText,Recovery,⟦MSBT:0E000000020002005A00⟧Récupération⟦MSBT:0E000000020002006400⟧,Heilung,Recupero,Curación,かいふく,Recovery,⟦MSBT:0E000000020002005A00⟧Récupération⟦MSBT:0E000000020002006400⟧,Curación,İyileşme,
57,JobParamMeteorText,Team Meteor,⟦MSBT:0E000000020002005A00⟧Union météore⟦MSBT:0E000000020002006400⟧,Coop-Meteor,⟦MSBT:0E000000020002005500⟧Meteora amica⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Aerolito amigo⟦MSBT:0E000000020002006400⟧,フレンドメテオ,Team Meteor,⟦MSBT:0E000000020002005A00⟧Union météore⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Aerolito amigo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Takım Meteoru⟦MSBT:0E000000020002006400⟧,
58,JobTotalExpValueText,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,
59,JobNextExpValueText,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,
60,JobNextLevelExpText,Next,⟦MSBT:0E000000020002005500⟧Prochain niv.⟦MSBT:0E000000020002006400⟧,Noch,Prossimo,Siguiente,NEXT,Next,⟦MSBT:0E000000020002005500⟧Prochain niv.⟦MSBT:0E000000020002006400⟧,Siguiente,Sonraki,
61,JobNextLevelExpFullText,Max!,Maximum !,Max.!,Massimo!,¡Máximo!,MAX！,Max!,Maximum!,¡Máximo!,Maks!,
62,JobHitPointValueText,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧,
