index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
45,AblMelonSwordUnderBtn,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in mid-air,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in der Luft,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in aria,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ en el aire,⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010007000000⟧＋⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in midair,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ en el aire,Havada ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,
46,AblMelonSwordUpperBtn,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧＋⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,
47,AblMelonSwordMeteoendBtn,"⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ while rising
during Upward Slash","⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ pendant
Coup ascendant","⟦MSBT:0E000000020002006400⟧Aufwärtsschlag
und ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ ⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ durante
un Colpo in salto","⟦MSBT:0E000000020002005F00⟧Estocada ascendente +
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧⟦MSBT:0E000000020002006400⟧","きり⟦MSBT:0E00000000000600020002004230⟧上げスラッシュの
⟦MSBT:0E00000000000A0002000600583087304630⟧上しょう⟦MSBT:0E00000000000A0002000600613085304630⟧中に⟦MSBT:0E00010007000000⟧＋⟦MSBT:0E00010001000000⟧","⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ while rising
during Upward Slash","⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ pendant
Coup ascendant","⟦MSBT:0E000000020002005F00⟧Espadazo ascendente +
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧⟦MSBT:0E000000020002006400⟧","Yukarı Kesmede
yükselirken ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧",
48,AblMelonSwordRollBtn,"Hold ⟦MSBT:0E00010001000000⟧,
then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","⟦MSBT:0E00010001000000⟧ gedrückt halten,
dann loslassen","Tieni premuto ⟦MSBT:0E00010001000000⟧,
poi rilascia","Mantén pulsado ⟦MSBT:0E00010001000000⟧
y luego suéltalo",⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし～はなす,"Press and hold ⟦MSBT:0E00010001000000⟧,
and then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","Mantén oprimido ⟦MSBT:0E00010001000000⟧
y luego suéltalo","⟦MSBT:0E00010001000000⟧'yi basılı tut,
sonra bırak",
49,AblMelonSwordTornadeBtn,"Hold ⟦MSBT:0E00010001000000⟧, then
release + ⟦MSBT:0E00010006000000⟧","Maintenir ⟦MSBT:0E00010001000000⟧, puis
relâcher + ⟦MSBT:0E00010006000000⟧","⟦MSBT:0E00010001000000⟧ gedrückt halten,
dann loslassen + ⟦MSBT:0E00010006000000⟧","Tieni premuto ⟦MSBT:0E00010001000000⟧,
poi rilascia + ⟦MSBT:0E00010006000000⟧","Mantén pulsado ⟦MSBT:0E00010001000000⟧ y
luego suéltalo + ⟦MSBT:0E00010006000000⟧",⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし～はなす＋⟦MSBT:0E00010006000000⟧,"Press and hold ⟦MSBT:0E00010001000000⟧,
and then release + ⟦MSBT:0E00010006000000⟧","Maintenir ⟦MSBT:0E00010001000000⟧, puis
relâcher + ⟦MSBT:0E00010006000000⟧","Mantén oprimido ⟦MSBT:0E00010001000000⟧
y luego suéltalo + ⟦MSBT:0E00010006000000⟧","⟦MSBT:0E00010001000000⟧'yi basılı tut,
sonra bırak + ⟦MSBT:0E00010006000000⟧",
50,AblMelonSwordSkyChargeBtn,"Hold ⟦MSBT:0E00010006000000⟧, then
release + ⟦MSBT:0E00010001000000⟧","Maintenir ⟦MSBT:0E00010006000000⟧, puis
relâcher + ⟦MSBT:0E00010001000000⟧","⟦MSBT:0E00010006000000⟧ gedrückt halten,
dann loslassen + ⟦MSBT:0E00010001000000⟧","Tieni premuto ⟦MSBT:0E00010006000000⟧,
poi rilascia + ⟦MSBT:0E00010001000000⟧","Mantén pulsado ⟦MSBT:0E00010006000000⟧
y luego suéltalo + ⟦MSBT:0E00010001000000⟧",⟦MSBT:0E00010006000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし～⟦MSBT:0E00010001000000⟧,"Press and hold ⟦MSBT:0E00010006000000⟧,
and then ⟦MSBT:0E00010001000000⟧","Maintenir ⟦MSBT:0E00010006000000⟧, puis ⟦MSBT:0E00010001000000⟧","Mantén oprimido ⟦MSBT:0E00010006000000⟧
y luego oprime ⟦MSBT:0E00010001000000⟧","⟦MSBT:0E00010006000000⟧'yi basılı tut,
sonra bırak + ⟦MSBT:0E00010001000000⟧",
51,AblMelonSwordHeroBarrierBtn,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧,
52,AblMelonSwordSpellBtn,"⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ neben
gefallenem Mitspieler","⟦MSBT:0E00010003000000⟧ accanto a un
compagno ferito","⟦MSBT:0E00010003000000⟧ cerca de un aliado
caído","たおれたなかまの
そばで⟦MSBT:0E00010003000000⟧","⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ cerca de un aliado
caído","Düşmüş takım arkadaşının
yanında ⟦MSBT:0E00010003000000⟧",
53,AblMelonDoctorBoundCrystal,Bouncing Jewel,Joyau rebondissant,Sprungjuwel,Gemma salterina,Ataque joya,バウンドジュエル,Bouncing Jewel,Joyau rebondissant,Ataque joya,Zıplayan Mücevher,
54,AblMelonDoctorLabo,Science Lab,Laboratoire,Labor,Laboratorio,Laboratorio,かがくけんきゅうしょ,Science Lab,Laboratoire,Laboratorio,Laboratuvar,
55,AblMelonDoctorKeepLabo,Research Vault,Cobaye,Geheimlabor,Centro di ricerca,⟦MSBT:0E000000020002005F00⟧Guardar investigación⟦MSBT:0E000000020002006400⟧,けんきゅうほぞん,Research Vault,Cobaye,⟦MSBT:0E000000020002005F00⟧Guardar investigación⟦MSBT:0E000000020002006400⟧,Araştırma Kasası,
56,AblMelonDoctorSpray,Spray Medicine,Pluie médicinale,Aerosol,Siringa medicinale,Inyección,やくざいふんむ,Spray Medicine,Pluie médicinale,Inyección,İlaç Spreyi,
57,AblMelonDoctorSpin,Bandage Spin,Bandage tournoyant,Verbandswickel,Cerotto rotante,Giro vendaje,ほうたいスピン,Bandage Spin,Bandage tournoyant,Giro vendaje,Bandaj Dönüşü,
58,AblMelonDoctorCrystalPot,Jewellery Shop,Bijouterie,Juwelier,Gioielleria,Joyería,ジュエリーショップ,Jewelry Shop,Bijouterie,Joyería,Mücevherci,
59,AblMelonDoctorImpact,Book Bash,Impact au bouquin,Bücherhieb,Impatto libresco,Biblioimpacto,ブック・インパクト,Book Bash,Impact au bouquin,Biblioimpacto,Kitap Darbesi,
60,AblMelonDoctorHealing,Healing Area,Zone de soins,Heilungszone,Terapia intensiva,Área de curación,ヒーリングエリア,Healing Area,Zone de soins,Área de curación,Şifa Alanı,
61,AblMelonDoctorSpell,Revival Spell,Sort de vie,Wiederbelebung,Incantesimo vitale,Conjuro resucitador,ふっかつのじゅもん,Revival Spell,Sort de vie,Conjuro resucitador,Diriltme Büyüsü,
62,AblMelonDoctorBoundCrystalBtn,Release ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧ loslassen,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧はなす,Press and release ⟦MSBT:0E00010001000000⟧,Relâcher ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧ brevemente,⟦MSBT:0E00010001000000⟧'yi bırak,
