index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
10,LiveHealingArea,⟦MSBT:0E00020002000000⟧ cast Healing Area!,⟦MSBT:0E00020002000000⟧ a créé une Zone de soins !,⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00020002000000⟧ erschafft Heilungszone!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005400⟧⟦MSBT:0E00020002000000⟧ ha usato Terapia intensiva!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00020002000000⟧ ha usado el área de curación.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00020002000000⟧ は ヒーリングエリアを つくった！,⟦MSBT:0E00020002000000⟧ casted Healing Area!,⟦MSBT:0E00020002000000⟧ a créé une Zone de soins!,⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00020002000000⟧ ha usado el área de curación.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00020002000000⟧ Şifa Alanı kullandı!,
11,LiveWaveShot,⟦MSBT:0E00020002000000⟧ used Time Beam!,⟦MSBT:0E00020002000000⟧ a utilisé Rayon temporel !,⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00020002000000⟧ verwendet Zeit-Beam!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005400⟧⟦MSBT:0E00020002000000⟧ ha usato Raggio temporale!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00020002000000⟧ ha usado la ráfaga temporal.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00020002000000⟧ の タイムビームが ヒットした！,⟦MSBT:0E00020002000000⟧ used Time Beam!,⟦MSBT:0E00020002000000⟧ a utilisé Rayon temporel!,⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00020002000000⟧ ha usado la ráfaga temporal.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00020002000000⟧ Zaman Işını kullandı!,
12,LiveTimeStop,⟦MSBT:0E00020002000000⟧ stopped the clock!,⟦MSBT:0E00020002000000⟧ a arrêté le temps !,⟦MSBT:0E00020002000000⟧ hält die Uhr an!,⟦MSBT:0E00020002000000⟧ ha fermato il tempo!,⟦MSBT:0E00020002000000⟧ ha parado el reloj.,⟦MSBT:0E00020002000000⟧ は てきの⟦MSBT:0E00000000000A000400060058304B309330⟧時間を とめた！,⟦MSBT:0E00020002000000⟧ stopped the clock!,⟦MSBT:0E00020002000000⟧ a arrêté le temps!,⟦MSBT:0E00020002000000⟧ ha parado el reloj.,⟦MSBT:0E00020002000000⟧ zamanı durdurdu!,
13,LiveLithographAppear,Power Tablet #⟦MSBT:0E00020001000000⟧ has appeared!,Le fragment de météore ⟦MSBT:0E00020001000000⟧ est apparu !,Steintafel Nr. ⟦MSBT:0E00020001000000⟧ ist erschienen!,È apparsa la tavoletta nº ⟦MSBT:0E00020001000000⟧!,Ha aparecido la ⟦MSBT:0E00020001000000⟧.ª tabla de la amistad.,⟦MSBT:0E00020001000000⟧つ⟦MSBT:0E00000000000600020002008130⟧目の ⟦MSBT:0E00000000000800020004005B304D30⟧石ばんが しゅつげん！,Power Tablet #⟦MSBT:0E00020001000000⟧ has appeared!,Le fragment de météore ⟦MSBT:0E00020001000000⟧ est apparu!,Ha aparecido la ⟦MSBT:0E00020001000000⟧.ª tabla de la amistad.,Güç Tableti #⟦MSBT:0E00020001000000⟧ belirdi!,
14,LiveLithographLost,You lost a Power Tablet...,Vous avez perdu un fragment de météore...,Du verlierst eine Steintafel...,Hai perso una tavoletta...,Has perdido una tabla de la amistad.,⟦MSBT:0E00000000000800020004005B304D30⟧石ばんが １つ きえてしまった…,You lost a Power Tablet...,Vous avez perdu un fragment de météore...,Has perdido una tabla de la amistad.,Bir Güç Tableti kaybettin...,
15,LiveLithographEverything,You got all the Power Tablets!,Vous avez tous les fragments de météore !,Alle Steintafeln gesammelt!,Hai ottenuto tutte le tavolette!,¡Tenéis todas las tablas de la amistad!,⟦MSBT:0E00000000000800020004005B304D30⟧石ばんが すべて そろった！,You got all Power Tablets!,Vous avez tous les fragments de météore!,¡Tienes todas las tablas de la amistad!,Tüm Güç Tabletlerini aldın!,
16,LiveMeteorSmash,Team Meteor did massive damage!,L'union météore a fait de gros dégâts !,⟦MSBT:0E000000020002005A00⟧Coop-Meteor verursacht großen Schaden!⟦MSBT:0E000000020002006400⟧,La Meteora amica ha causato enormi danni!,El aerolito amigo ha causado un gran daño.,フレンドメテオで ⟦MSBT:0E000000000008000200040060304430⟧大ダメージを あたえた！,Team Meteor did massive damage!,L'union météore a fait de gros dégâts!,El aerolito amigo ha causado un gran daño.,Takım Meteoru dev hasar verdi!,
17,QTEProdText,Stop it in the centre!,Visez le centre !,Halt es in der Mitte an!,Ferma Kirby al centro!,¡Detenlo en el centro!,まん⟦MSBT:0E00000000000800020004006A304B30⟧中で とめろ！,Stop it at the center!,Visez le centre!,¡Detenlo en el centro!,Ortada durdur!,
18,QTECountDownText,Time: ,Encore,Übrig:,Tempo:,Tiempo:,のこり,Time: ,Encore,⟦MSBT:0E000000020002005500⟧Tiempo:⟦MSBT:0E000000020002006400⟧,Süre: ,
19,QTEResultText01,Perfect!!!,Parfait !,Perfekt!!,Perfetto!,¡Perfecto!,パーフェクト！！,Perfect!,Parfait!,¡Perfecto!,Mükemmel!!!,
20,QTEResultText02,Excellent!,Excellent !,Exzellent!,Eccellente!,¡Genial!,エクセレント！,Excellent!,Excellent!,¡Genial!,Harika!,
21,QTEResultText03,Good!,Bien !,Gut!,Bene!,¡Bien!,グッド！,Good!,Bien!,¡Bien!,İyi!,
22,QTEResultText04,Not great...,Bof...,Nicht so toll...,Non un granché...,Mejorable...,バッド,Not great...,Bof...,Mejorable...,Eh...,
23,QTEResultText05,Fail...,"Oh, non !",Gescheitert...,Non ci siamo...,Lástima...,しっぱい…,Fail...,"Oh, non!",Lástima...,Başarısız...,
24,TipsGameOverLevelUpHeaderText,Having trouble? Level up!,Un problème ?,Zu schwierig? Hochleveln!,⟦MSBT:0E000000020002005A00⟧Problemi? Aumenta di livello!⟦MSBT:0E000000020002006400⟧,¿Difícil? ¡Sube de nivel!,かてない ばあいは レベル⟦MSBT:0E00000000000600020002004230⟧上げ！,Having trouble? Level up!,Un problème?,¿Difícil? ¡Sube de nivel!,Zor mu? Seviye atla!,
25,TipsGameOverLevelUpBodyText,"If you can't beat a quest, complete
easier quests to ⟦MSBT:0E00000003000400FFDE00FF⟧raise your level⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005500⟧Si une quête vous parait trop difficile,
entraînez-vous avec des quêtes de niveau
inférieur pour ⟦MSBT:0E00000003000400FFDE00FF⟧gagner de l'expérience ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","Schaffst du eine Mission nicht,
⟦MSBT:0E00000003000400FFDE00FF⟧erhöhe deinen Level⟦MSBT:0E00000003000400000000FF⟧ in leichteren
Missionen!","Se hai difficoltà con una missione,
completane altre più semplici per
⟦MSBT:0E00000003000400FFDE00FF⟧aumentare di livello⟦MSBT:0E00000003000400000000FF⟧!","Si se te resiste una misión, ⟦MSBT:0E00000003000400FFDE00FF⟧sube de
nivel⟦MSBT:0E00000003000400000000FF⟧ con misiones más fáciles.","かてない ばあいは ほかのクエストに
ちょうせんして ⟦MSBT:0E00000003000400FFDE00FF⟧レベルを⟦MSBT:0E00000000000600020002004230⟧上げよう！⟦MSBT:0E00000003000400000000FF⟧","If you can't beat a quest, complete
easier quests to ⟦MSBT:0E00000003000400FFDE00FF⟧raise your level⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005500⟧Si une quête vous parait trop difficile,
entraînez-vous avec des quêtes de niveau
inférieur pour ⟦MSBT:0E00000003000400FFDE00FF⟧gagner de l'expérience ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","Si se te dificulta una misión, ⟦MSBT:0E00000003000400FFDE00FF⟧sube
de nivel⟦MSBT:0E00000003000400000000FF⟧ con misiones más fáciles.","⟦MSBT:0E000000020002005F00⟧Geçemiyorsan, daha kolay görevlerle
⟦MSBT:0E00000003000400FFDE00FF⟧seviyeni yükselt⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧",
26,TipsGameOverJobBalanceHeaderText,Balance is key!,L'équilibre avant tout !,⟦MSBT:0E000000020002005000⟧Ausgewogenheit führt zu Erfolg!⟦MSBT:0E000000020002006400⟧,Il segreto è l'equilibrio!,¡El equilibrio es clave!,チームの バランスが きめ⟦MSBT:0E00000000000600020002006630⟧手！,Balance is key!,L'équilibre avant tout!,¡El equilibrio es clave!,Denge önemli!,
27,TipsGameOverJobBalanceBodyText,"Think about the ⟦MSBT:0E00000003000400FFDE00FF⟧role balance ⟦MSBT:0E00000003000400000000FF⟧of
your team. Support power is just
as important as attack power!","Assurez-vous d'avoir une ⟦MSBT:0E00000003000400FFDE00FF⟧équipe
équilibrée⟦MSBT:0E00000003000400000000FF⟧. Vos attaquants ont
besoin de soutien, ne l'oubliez pas !","Plane ein ⟦MSBT:0E00000003000400FFDE00FF⟧ausgewogenes Team⟦MSBT:0E00000003000400000000FF⟧ mit
verteilten Rollen. Unterstützung ist
genauso wichtig wie Angriffskraft.","Ricorda di ⟦MSBT:0E00000003000400FFDE00FF⟧equilibrare i ruoli ⟦MSBT:0E00000003000400000000FF⟧della
tua squadra. Non basta attaccare,
devi avere qualcuno che ti aiuti!","⟦MSBT:0E000000020002005F00⟧Piensa en cómo se ⟦MSBT:0E00000003000400FFDE00FF⟧complementan ⟦MSBT:0E00000003000400000000FF⟧las
⟦MSBT:0E00000003000400FFDE00FF⟧habilidades ⟦MSBT:0E00000003000400000000FF⟧de tu equipo. Apoyar es
tan importante como atacar.⟦MSBT:0E000000020002006400⟧","チーム⟦MSBT:0E00000000000800020004006A304430⟧内の ⟦MSBT:0E00000003000400FFDE00FF⟧ジョブバランス⟦MSBT:0E00000003000400000000FF⟧を ⟦MSBT:0E00000000000A00020006004B3093304C30⟧考えよう！
サポートと  こうげきの バランスが たいせつ！","Think about the ⟦MSBT:0E00000003000400FFDE00FF⟧role balance ⟦MSBT:0E00000003000400000000FF⟧of
your team. Support power is just
as important as attack power!","Assurez-vous d'avoir une ⟦MSBT:0E00000003000400FFDE00FF⟧équipe
équilibrée⟦MSBT:0E00000003000400000000FF⟧. Vos attaquants ont
besoin de soutien, ne l'oubliez pas!","⟦MSBT:0E000000020002005F00⟧Piensa en cómo se ⟦MSBT:0E00000003000400FFDE00FF⟧complementan ⟦MSBT:0E00000003000400000000FF⟧las
⟦MSBT:0E00000003000400FFDE00FF⟧habilidades ⟦MSBT:0E00000003000400000000FF⟧de tu equipo. Apoyar es
tan importante como atacar.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Takımının ⟦MSBT:0E00000003000400FFDE00FF⟧rol dengesini⟦MSBT:0E00000003000400000000FF⟧ düşün.
Destek gücü, saldırı kadar önemli!⟦MSBT:0E000000020002006400⟧",
28,TipsGameOverGuardHeaderText,Try guarding!,Protégez-vous !,Versuche zu blocken!,Prova a parare!,¡Cúbrete!,ガードを つかおう！,Try guarding!,Protégez-vous!,¡Cúbrete!,Korunmayı dene!,
29,TipsGameOverGuardBodyText,"Press ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ to ⟦MSBT:0E00000003000400FFDE00FF⟧guard⟦MSBT:0E00000003000400000000FF⟧
against enemy attacks
that are hard to dodge!","Appuyez sur ⟦MSBT:0E00010004000000⟧ ou ⟦MSBT:0E00010005000000⟧ pour vous
⟦MSBT:0E00000003000400FFDE00FF⟧protéger⟦MSBT:0E00000003000400000000FF⟧ des attaques ennemies
difficiles à éviter.","Drücke ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧, um Angriffe,
denen du nicht ausweichen
kannst, zu ⟦MSBT:0E00000003000400FFDE00FF⟧blocken⟦MSBT:0E00000003000400000000FF⟧.","Premi ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ per ⟦MSBT:0E00000003000400FFDE00FF⟧parare ⟦MSBT:0E00000003000400000000FF⟧gli attacchi
di un nemico difficili da schivare!","Pulsa ⟦MSBT:0E00010004000000⟧ o ⟦MSBT:0E00010005000000⟧ para ⟦MSBT:0E00000003000400FFDE00FF⟧cubrirte ⟦MSBT:0E00000003000400000000FF⟧y
protegerte de los ataques
difíciles de esquivar.","よけるのが むずかしい こうげきは
⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧で ⟦MSBT:0E00000003000400FFDE00FF⟧ガード⟦MSBT:0E00000003000400000000FF⟧しよう！","Press ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ to ⟦MSBT:0E00000003000400FFDE00FF⟧guard⟦MSBT:0E00000003000400000000FF⟧
against enemy attacks
that are hard to dodge!","Appuyez sur ⟦MSBT:0E00010004000000⟧ ou ⟦MSBT:0E00010005000000⟧ pour vous
⟦MSBT:0E00000003000400FFDE00FF⟧protéger⟦MSBT:0E00000003000400000000FF⟧ des attaques ennemies
difficiles à éviter.","Oprime ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ para ⟦MSBT:0E00000003000400FFDE00FF⟧cubrirte ⟦MSBT:0E00000003000400000000FF⟧y
protegerte de los ataques
difíciles de esquivar.","Kaçması zor saldırılara karşı
⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ ile ⟦MSBT:0E00000003000400FFDE00FF⟧korun⟦MSBT:0E00000003000400000000FF⟧!",
30,NetQuestCancelCommand,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,⟦MSBT:0E00010004000000⟧+⟦MSBT:0E00010002000000⟧+⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧,
31,NetQuestCancelText,End Quest,Terminer la quête,Mission beenden,Annulla missione,Terminar misión,クエストをやめる,End Quest,Terminer la quête,Terminar misión,Görevi bitir,
