index,label,English,German,Spanish,French,Italian,Turkish,official_max_lines,official_max_px,turkish_lines,turkish_max_px,fit_ratio,fit_status,control_status,translation_status,translator_note
23,T_Bas1_04,Challenge 1-5,Aufgabe 1-5,Desafío 1-5,Défi 1-5,Sfida 1-5,Görev 1-5,1,185,1,133,0.719,OK,OK,REVIEWED,
24,T_Bas1_05,Challenge 1-6,Aufgabe 1-6,Desafío 1-6,Défi 1-6,Sfida 1-6,Görev 1-6,1,185,1,133,0.719,OK,OK,REVIEWED,
25,T_Bas1_06,Challenge 1-7,Aufgabe 1-7,Desafío 1-7,Défi 1-7,Sfida 1-7,Görev 1-7,1,185,1,133,0.719,OK,OK,REVIEWED,
26,T_Bas1_07,Challenge 1-8,Aufgabe 1-8,Desafío 1-8,Défi 1-8,Sfida 1-8,Görev 1-8,1,185,1,133,0.719,OK,OK,REVIEWED,
27,T_Bas1_08,Challenge 1-9,Aufgabe 1-9,Desafío 1-9,Défi 1-9,Sfida 1-9,Görev 1-9,1,185,1,133,0.719,OK,OK,REVIEWED,
28,T_Bas1_09,Challenge 1-10,Aufgabe 1-10,Desafío 1-10,Défi 1-10,Sfida 1-10,Görev 1-10,1,201,1,149,0.741,OK,OK,REVIEWED,
29,T_Bas1_10,Challenge 1-11,Aufgabe 1-11,Desafío 1-11,Défi 1-11,Sfida 1-11,Görev 1-11,1,201,1,149,0.741,OK,OK,REVIEWED,
30,T_Bas1_11,Challenge 1-12,Aufgabe 1-12,Desafío 1-12,Défi 1-12,Sfida 1-12,Görev 1-12,1,201,1,149,0.741,OK,OK,REVIEWED,
31,T_Bas1_12,Challenge 1-13,Aufgabe 1-13,Desafío 1-13,Défi 1-13,Sfida 1-13,Görev 1-13,1,201,1,149,0.741,OK,OK,REVIEWED,
32,T_Bas1_13,Challenge 1-14,Aufgabe 1-14,Desafío 1-14,Défi 1-14,Sfida 1-14,Görev 1-14,1,201,1,149,0.741,OK,OK,REVIEWED,
33,T_Bas1_14,Challenge 1-15,Aufgabe 1-15,Desafío 1-15,Défi 1-15,Sfida 1-15,Görev 1-15,1,201,1,149,0.741,OK,OK,REVIEWED,
34,T_Bas1_15,Challenge 1-16,Aufgabe 1-16,Desafío 1-16,Défi 1-16,Sfida 1-16,Görev 1-16,1,201,1,149,0.741,OK,OK,REVIEWED,
35,T_Bas1_16,Challenge 1-17,Aufgabe 1-17,Desafío 1-17,Défi 1-17,Sfida 1-17,Görev 1-17,1,201,1,149,0.741,OK,OK,REVIEWED,
36,T_Bas1_17,Challenge 1-18,Aufgabe 1-18,Desafío 1-18,Défi 1-18,Sfida 1-18,Görev 1-18,1,201,1,149,0.741,OK,OK,REVIEWED,
37,T_Pic1_00,Strawberry,Erdbeere,Fresa,Fraise,Fragola,Çilek,1,155,1,66,0.426,OK,OK,REVIEWED,
38,T_Pic1_01,Chick,Küken,Pollito,Poussin,Pulcino,Civciv,1,100,1,79,0.790,OK,OK,REVIEWED,
39,T_Pic1_02,Peach,Pfirsich,Flor,Fleur de pêcher,Fiore di pesco,Şeftali,1,211,1,93,0.441,OK,OK,REVIEWED,Son manuel Türkçe kalite taramasında doğrulandı.
40,T_Pic1_03,Shooting Star,Sternschnuppe,Estrella fugaz,Étoile filante,Stella cometa,Kayan Yıldız,1,201,1,172,0.856,OK,OK,REVIEWED,
41,T_Pic1_04,Kitten,Kätzchen,Gatito,Chaton,Gattino,Kedicik,1,129,1,101,0.783,OK,OK,REVIEWED,
42,T_Pic1_05,Crab,Krabbe,Cangrejo,Crabe,Granchio,Yengeç,1,124,1,97,0.782,OK,OK,REVIEWED,
43,T_Pic1_06,Mario (1),Mario (1),Mario (1),Mario (1),Mario (1),Mario (1),1,124,1,124,1.000,OK,OK,REVIEWED,
44,T_Pic1_07,Bananas,Bananen,Plátanos,Bananes,Banane,Muzlar,1,121,1,96,0.793,OK,OK,REVIEWED,
45,T_Pic1_08,Apple Tree,Apfelbaum,Manzano,Pommier,Melo,Elma Ağacı,1,150,1,154,1.027,OK,OK,REVIEWED,
46,T_Pic1_09,Swimming Trunks,Badehose,Bañador corto,Short de bain,Pantaloncini,Deniz Şortu,1,230,1,157,0.683,OK,OK,REVIEWED,
47,T_Pic1_10,Sandwich,Sandwich,Sándwich,Sandwich,Tramezzino,Sandviç,1,157,1,107,0.682,OK,OK,REVIEWED,
48,T_Pic1_11,Ruby Ring,Rubinring,Anillo de rubíes,Bague en rubis,Anello di rubino,Yakut Yüzük,1,217,1,171,0.788,OK,OK,REVIEWED,
49,T_Pic1_12,Puppy,Welpe,Perrito,Chiot,Cucciolo,Yavru,1,109,1,81,0.743,OK,OK,REVIEWED,Son manuel Türkçe kalite taramasında doğrulandı.
50,T_Pic1_13,Orange,Apfelsine,Naranja,Orange,Arancia,Portakal,1,131,1,122,0.931,OK,OK,REVIEWED,
51,T_Pic1_14,Snail,Schnecke,Caracol,Escargot,Chiocciola,Salyangoz,1,137,1,141,1.029,OK,OK,REVIEWED,
52,T_Pic1_15,Pencil,Stift,Lápiz,Crayon,Matita,Kalem,1,96,1,84,0.875,OK,OK,REVIEWED,
53,T_Pic1_16,Pig,Schwein,Cerdito,Cochon,Maialino,Domuz,1,121,1,88,0.727,OK,OK,REVIEWED,
54,T_Pic1_17,Saturn,Saturn,Saturno,Saturne,Saturno,Satürn,1,109,1,93,0.853,OK,OK,REVIEWED,
55,T_Bas2_00,Challenge 2-1,Aufgabe 2-1,Desafío 2-1,Défi 2-1,Sfida 2-1,Görev 2-1,1,185,1,133,0.719,OK,OK,REVIEWED,
56,T_Bas2_01,Challenge 2-2,Aufgabe 2-2,Desafío 2-2,Défi 2-2,Sfida 2-2,Görev 2-2,1,185,1,133,0.719,OK,OK,REVIEWED,
57,T_Bas2_02,Challenge 2-3,Aufgabe 2-3,Desafío 2-3,Défi 2-3,Sfida 2-3,Görev 2-3,1,185,1,133,0.719,OK,OK,REVIEWED,
58,T_Bas2_03,Challenge 2-4,Aufgabe 2-4,Desafío 2-4,Défi 2-4,Sfida 2-4,Görev 2-4,1,185,1,133,0.719,OK,OK,REVIEWED,
59,T_Bas2_04,Challenge 2-5,Aufgabe 2-5,Desafío 2-5,Défi 2-5,Sfida 2-5,Görev 2-5,1,185,1,133,0.719,OK,OK,REVIEWED,
60,T_Bas2_05,Challenge 2-6,Aufgabe 2-6,Desafío 2-6,Défi 2-6,Sfida 2-6,Görev 2-6,1,185,1,133,0.719,OK,OK,REVIEWED,
61,T_Bas2_06,Challenge 2-7,Aufgabe 2-7,Desafío 2-7,Défi 2-7,Sfida 2-7,Görev 2-7,1,185,1,133,0.719,OK,OK,REVIEWED,
62,T_Bas2_07,Challenge 2-8,Aufgabe 2-8,Desafío 2-8,Défi 2-8,Sfida 2-8,Görev 2-8,1,185,1,133,0.719,OK,OK,REVIEWED,
63,T_Bas2_08,Challenge 2-9,Aufgabe 2-9,Desafío 2-9,Défi 2-9,Sfida 2-9,Görev 2-9,1,185,1,133,0.719,OK,OK,REVIEWED,
64,T_Bas2_09,Challenge 2-10,Aufgabe 2-10,Desafío 2-10,Défi 2-10,Sfida 2-10,Görev 2-10,1,201,1,149,0.741,OK,OK,REVIEWED,
65,T_Bas2_10,Challenge 2-11,Aufgabe 2-11,Desafío 2-11,Défi 2-11,Sfida 2-11,Görev 2-11,1,201,1,149,0.741,OK,OK,REVIEWED,
66,T_Bas2_11,Challenge 2-12,Aufgabe 2-12,Desafío 2-12,Défi 2-12,Sfida 2-12,Görev 2-12,1,201,1,149,0.741,OK,OK,REVIEWED,
67,T_Bas2_12,Challenge 2-13,Aufgabe 2-13,Desafío 2-13,Défi 2-13,Sfida 2-13,Görev 2-13,1,201,1,149,0.741,OK,OK,REVIEWED,
68,T_Bas2_13,Challenge 2-14,Aufgabe 2-14,Desafío 2-14,Défi 2-14,Sfida 2-14,Görev 2-14,1,201,1,149,0.741,OK,OK,REVIEWED,
69,T_Bas2_14,Challenge 2-15,Aufgabe 2-15,Desafío 2-15,Défi 2-15,Sfida 2-15,Görev 2-15,1,201,1,149,0.741,OK,OK,REVIEWED,
70,T_Bas2_15,Challenge 2-16,Aufgabe 2-16,Desafío 2-16,Défi 2-16,Sfida 2-16,Görev 2-16,1,201,1,149,0.741,OK,OK,REVIEWED,
71,T_Bas2_16,Challenge 2-17,Aufgabe 2-17,Desafío 2-17,Défi 2-17,Sfida 2-17,Görev 2-17,1,201,1,149,0.741,OK,OK,REVIEWED,
72,T_Bas2_17,Challenge 2-18,Aufgabe 2-18,Desafío 2-18,Défi 2-18,Sfida 2-18,Görev 2-18,1,201,1,149,0.741,OK,OK,REVIEWED,
73,T_Gim1_00,Lesson 19,Lektion 19,Lección 19,Leçon 19,Lezione 19,Ders 19,1,145,1,99,0.683,OK,OK,REVIEWED,
74,T_Gim1_01,Lesson 20,Lektion 20,Lección 20,Leçon 20,Lezione 20,Ders 20,1,145,1,99,0.683,OK,OK,REVIEWED,
75,T_Gim1_02,Lesson 21,Lektion 21,Lección 21,Leçon 21,Lezione 21,Ders 21,1,145,1,99,0.683,OK,OK,REVIEWED,
76,T_Gim1_03,Lesson 22,Lektion 22,Lección 22,Leçon 22,Lezione 22,Ders 22,1,145,1,99,0.683,OK,OK,REVIEWED,
77,T_Gim1_04,Lesson 23,Lektion 23,Lección 23,Leçon 23,Lezione 23,Ders 23,1,145,1,99,0.683,OK,OK,REVIEWED,
78,T_Gim1_05,Lesson 24,Lektion 24,Lección 24,Leçon 24,Lezione 24,Ders 24,1,145,1,99,0.683,OK,OK,REVIEWED,
79,T_Gim1_06,Lesson 25,Lektion 25,Lección 25,Leçon 25,Lezione 25,Ders 25,1,145,1,99,0.683,OK,OK,REVIEWED,
80,T_Gim1_07,Lesson 26,Lektion 26,Lección 26,Leçon 26,Lezione 26,Ders 26,1,145,1,99,0.683,OK,OK,REVIEWED,
81,T_Gim1_08,Lesson 27,Lektion 27,Lección 27,Leçon 27,Lezione 27,Ders 27,1,145,1,99,0.683,OK,OK,REVIEWED,
82,T_Gim1_09,Lesson 28,Lektion 28,Lección 28,Leçon 28,Lezione 28,Ders 28,1,145,1,99,0.683,OK,OK,REVIEWED,
83,T_Gim1_10,Lesson 29,Lektion 29,Lección 29,Leçon 29,Lezione 29,Ders 29,1,145,1,99,0.683,OK,OK,REVIEWED,
84,T_Gim1_11,Lesson 30,Lektion 30,Lección 30,Leçon 30,Lezione 30,Ders 30,1,145,1,99,0.683,OK,OK,REVIEWED,
85,T_Gim1_12,Lesson 31,Lektion 31,Lección 31,Leçon 31,Lezione 31,Ders 31,1,145,1,99,0.683,OK,OK,REVIEWED,
86,T_Gim1_13,Lesson 32,Lektion 32,Lección 32,Leçon 32,Lezione 32,Ders 32,1,145,1,99,0.683,OK,OK,REVIEWED,
87,T_Gim1_14,Lesson 33,Lektion 33,Lección 33,Leçon 33,Lezione 33,Ders 33,1,145,1,99,0.683,OK,OK,REVIEWED,
88,T_Gim1_15,Lesson 34,Lektion 34,Lección 34,Leçon 34,Lezione 34,Ders 34,1,145,1,99,0.683,OK,OK,REVIEWED,
89,T_Gim1_16,Lesson 35,Lektion 35,Lección 35,Leçon 35,Lezione 35,Ders 35,1,145,1,99,0.683,OK,OK,REVIEWED,
90,T_Gim1_17,Lesson 36,Lektion 36,Lección 36,Leçon 36,Lezione 36,Ders 36,1,145,1,99,0.683,OK,OK,REVIEWED,
91,T_Bas3_00,Challenge 3-1,Aufgabe 3-1,Desafío 3-1,Défi 3-1,Sfida 3-1,Görev 3-1,1,185,1,133,0.719,OK,OK,REVIEWED,
92,T_Bas3_01,Challenge 3-2,Aufgabe 3-2,Desafío 3-2,Défi 3-2,Sfida 3-2,Görev 3-2,1,185,1,133,0.719,OK,OK,REVIEWED,
93,T_Bas3_02,Challenge 3-3,Aufgabe 3-3,Desafío 3-3,Défi 3-3,Sfida 3-3,Görev 3-3,1,185,1,133,0.719,OK,OK,REVIEWED,
94,T_Bas3_03,Challenge 3-4,Aufgabe 3-4,Desafío 3-4,Défi 3-4,Sfida 3-4,Görev 3-4,1,185,1,133,0.719,OK,OK,REVIEWED,
95,T_Bas3_04,Challenge 3-5,Aufgabe 3-5,Desafío 3-5,Défi 3-5,Sfida 3-5,Görev 3-5,1,185,1,133,0.719,OK,OK,REVIEWED,
96,T_Bas3_05,Challenge 3-6,Aufgabe 3-6,Desafío 3-6,Défi 3-6,Sfida 3-6,Görev 3-6,1,185,1,133,0.719,OK,OK,REVIEWED,
97,T_Bas3_06,Challenge 3-7,Aufgabe 3-7,Desafío 3-7,Défi 3-7,Sfida 3-7,Görev 3-7,1,185,1,133,0.719,OK,OK,REVIEWED,
98,T_Bas3_07,Challenge 3-8,Aufgabe 3-8,Desafío 3-8,Défi 3-8,Sfida 3-8,Görev 3-8,1,185,1,133,0.719,OK,OK,REVIEWED,
99,T_Bas3_08,Challenge 3-9,Aufgabe 3-9,Desafío 3-9,Défi 3-9,Sfida 3-9,Görev 3-9,1,185,1,133,0.719,OK,OK,REVIEWED,
100,T_Bas3_09,Challenge 3-10,Aufgabe 3-10,Desafío 3-10,Défi 3-10,Sfida 3-10,Görev 3-10,1,201,1,149,0.741,OK,OK,REVIEWED,
101,T_Bas3_10,Challenge 3-11,Aufgabe 3-11,Desafío 3-11,Défi 3-11,Sfida 3-11,Görev 3-11,1,201,1,149,0.741,OK,OK,REVIEWED,
102,T_Bas3_11,Challenge 3-12,Aufgabe 3-12,Desafío 3-12,Défi 3-12,Sfida 3-12,Görev 3-12,1,201,1,149,0.741,OK,OK,REVIEWED,
103,T_Bas3_12,Challenge 3-13,Aufgabe 3-13,Desafío 3-13,Défi 3-13,Sfida 3-13,Görev 3-13,1,201,1,149,0.741,OK,OK,REVIEWED,
104,T_Bas3_13,Challenge 3-14,Aufgabe 3-14,Desafío 3-14,Défi 3-14,Sfida 3-14,Görev 3-14,1,201,1,149,0.741,OK,OK,REVIEWED,
105,T_Bas3_14,Challenge 3-15,Aufgabe 3-15,Desafío 3-15,Défi 3-15,Sfida 3-15,Görev 3-15,1,201,1,149,0.741,OK,OK,REVIEWED,
106,T_Bas3_15,Challenge 3-16,Aufgabe 3-16,Desafío 3-16,Défi 3-16,Sfida 3-16,Görev 3-16,1,201,1,149,0.741,OK,OK,REVIEWED,
107,T_Bas3_16,Challenge 3-17,Aufgabe 3-17,Desafío 3-17,Défi 3-17,Sfida 3-17,Görev 3-17,1,201,1,149,0.741,OK,OK,REVIEWED,
108,T_Bas3_17,Challenge 3-18,Aufgabe 3-18,Desafío 3-18,Défi 3-18,Sfida 3-18,Görev 3-18,1,201,1,149,0.741,OK,OK,REVIEWED,
109,T_Pic2_00,Trainer,Turnschuh,Zapatilla,Basket,Scarpa da tennis,Spor Ayakkabı,1,229,1,203,0.886,OK,OK,REVIEWED,
110,T_Pic2_01,Nintendo 3DS,Nintendo 3DS,Nintendo 3DS,Nintendo 3DS,Nintendo 3DS,Nintendo 3DS,1,184,1,184,1.000,OK,OK,REVIEWED,
111,T_Pic2_02,Tyrannosaurus,Tyrannosaurus,Tiranosaurio,Tyrannosaure,Tirannosauro,Tyrannosaurus,1,200,1,200,1.000,OK,OK,REVIEWED,
112,T_Pic2_03,Triceratops,Triceratops,Tricerátopo,Tricératops,Triceratopo,Triceratops,1,161,1,157,0.975,OK,OK,REVIEWED,
113,T_Pic2_04,Stegosaurus,Stegosaurus,Estegosaurio,Stégosaure,Stegosauro,Stegosaurus,1,175,1,164,0.937,OK,OK,REVIEWED,
114,T_Pic2_05,Ice Cream Cone,Eiswaffel,Cucurucho,Cornet de glace,Cono gelato,Dondurma,1,210,1,138,0.657,OK,OK,REVIEWED,
115,T_Pic2_06,Whale,Wal,Ballena,Baleine,Balena,Balina,1,104,1,88,0.846,OK,OK,REVIEWED,
116,T_Pic2_07,Hamburger,Hamburger,Hamburguesa,Hamburger,Hamburger,Hamburger,1,186,1,153,0.823,OK,OK,REVIEWED,
117,T_Pic2_08,House,Haus,Casa,Maison,Casa,Ev,1,97,1,34,0.351,OK,OK,REVIEWED,
118,T_Pic2_09,Sea Turtle,Schildkröte,Tortuga marina,Tortue de mer,Tartaruga marina,Kaplumbağa,1,245,1,169,0.690,OK,OK,REVIEWED,
119,T_Pic2_10,Elephant,Elefant,Elefante,Éléphant,Elefante,Fil,1,125,1,35,0.280,OK,OK,REVIEWED,
120,T_Pic2_11,Giraffe,Giraffe,Jirafa,Girafe,Giraffa,Zürafa,1,102,1,94,0.922,OK,OK,REVIEWED,
121,T_Pic2_12,Matryoshka Doll,Matroschka,Muñeca rusa,Poupée russe,Matrioska,Matruşka,1,225,1,132,0.587,OK,OK,REVIEWED,
122,T_Pic2_13,Falcon,Falke,Halcón,Faucon,Falco,Şahin,1,98,1,77,0.786,OK,OK,REVIEWED,
123,T_Pic2_14,Car,Auto,Coche,Voiture,Automobile,Araba,1,156,1,88,0.564,OK,OK,REVIEWED,
124,T_Pic2_15,Snowman,Schneemann,Muñeco de nieve,Bonhomme de neige,Pupazzo di neve,Kardan Adam,1,264,1,189,0.716,OK,OK,REVIEWED,
125,T_Pic2_16,NES Controller,NES Controller,Mando de NES,Manette NES,Controller NES,NES Kolu,1,199,1,122,0.613,OK,OK,REVIEWED,
126,T_Pic2_17,Christmas Tree,Weihnachtsbaum,Árbol de Navidad,Sapin de Noël,Albero di Natale,Yılbaşı Ağacı,1,240,1,178,0.742,OK,OK,REVIEWED,
127,T_Bas4_00,Challenge 4-1,Aufgabe 4-1,Desafío 4-1,Défi 4-1,Sfida 4-1,Görev 4-1,1,185,1,133,0.719,OK,OK,REVIEWED,
128,T_Bas4_01,Challenge 4-2,Aufgabe 4-2,Desafío 4-2,Défi 4-2,Sfida 4-2,Görev 4-2,1,185,1,133,0.719,OK,OK,REVIEWED,
129,T_Bas4_02,Challenge 4-3,Aufgabe 4-3,Desafío 4-3,Défi 4-3,Sfida 4-3,Görev 4-3,1,185,1,133,0.719,OK,OK,REVIEWED,
130,T_Bas4_03,Challenge 4-4,Aufgabe 4-4,Desafío 4-4,Défi 4-4,Sfida 4-4,Görev 4-4,1,185,1,133,0.719,OK,OK,REVIEWED,
131,T_Bas4_04,Challenge 4-5,Aufgabe 4-5,Desafío 4-5,Défi 4-5,Sfida 4-5,Görev 4-5,1,185,1,133,0.719,OK,OK,REVIEWED,
132,T_Bas4_05,Challenge 4-6,Aufgabe 4-6,Desafío 4-6,Défi 4-6,Sfida 4-6,Görev 4-6,1,185,1,133,0.719,OK,OK,REVIEWED,
133,T_Bas4_06,Challenge 4-7,Aufgabe 4-7,Desafío 4-7,Défi 4-7,Sfida 4-7,Görev 4-7,1,185,1,133,0.719,OK,OK,REVIEWED,
134,T_Bas4_07,Challenge 4-8,Aufgabe 4-8,Desafío 4-8,Défi 4-8,Sfida 4-8,Görev 4-8,1,185,1,133,0.719,OK,OK,REVIEWED,
135,T_Bas4_08,Challenge 4-9,Aufgabe 4-9,Desafío 4-9,Défi 4-9,Sfida 4-9,Görev 4-9,1,185,1,133,0.719,OK,OK,REVIEWED,
136,T_Bas4_09,Challenge 4-10,Aufgabe 4-10,Desafío 4-10,Défi 4-10,Sfida 4-10,Görev 4-10,1,201,1,149,0.741,OK,OK,REVIEWED,
137,T_Bas4_10,Challenge 4-11,Aufgabe 4-11,Desafío 4-11,Défi 4-11,Sfida 4-11,Görev 4-11,1,201,1,149,0.741,OK,OK,REVIEWED,
138,T_Bas4_11,Challenge 4-12,Aufgabe 4-12,Desafío 4-12,Défi 4-12,Sfida 4-12,Görev 4-12,1,201,1,149,0.741,OK,OK,REVIEWED,
139,T_Bas4_12,Challenge 4-13,Aufgabe 4-13,Desafío 4-13,Défi 4-13,Sfida 4-13,Görev 4-13,1,201,1,149,0.741,OK,OK,REVIEWED,
140,T_Bas4_13,Challenge 4-14,Aufgabe 4-14,Desafío 4-14,Défi 4-14,Sfida 4-14,Görev 4-14,1,201,1,149,0.741,OK,OK,REVIEWED,
141,T_Bas4_14,Challenge 4-15,Aufgabe 4-15,Desafío 4-15,Défi 4-15,Sfida 4-15,Görev 4-15,1,201,1,149,0.741,OK,OK,REVIEWED,
142,T_Bas4_15,Challenge 4-16,Aufgabe 4-16,Desafío 4-16,Défi 4-16,Sfida 4-16,Görev 4-16,1,201,1,149,0.741,OK,OK,REVIEWED,
143,T_Bas4_16,Challenge 4-17,Aufgabe 4-17,Desafío 4-17,Défi 4-17,Sfida 4-17,Görev 4-17,1,201,1,149,0.741,OK,OK,REVIEWED,
144,T_Bas4_17,Challenge 4-18,Aufgabe 4-18,Desafío 4-18,Défi 4-18,Sfida 4-18,Görev 4-18,1,201,1,149,0.741,OK,OK,REVIEWED,
145,T_Fmc1_00,Goomba,Gumba,Goomba,Goomba,Goomba,Goomba,1,108,1,108,1.000,OK,OK,REVIEWED,
146,T_Fmc1_01,Spiny,Stachi,Pinchón,Hériss,Koopistrice,Spiny,1,154,1,75,0.487,OK,OK,REVIEWED,
147,T_Fmc1_02,Lakitu,Lakitu,Lakitu,Lakitu,Lakitu,Lakitu,1,90,1,90,1.000,OK,OK,REVIEWED,
148,T_Fmc1_03,Donkey Kong Jr.,Donkey Kong Jr.,Donkey Kong Jr.,Donkey Kong Jr.,Donkey Kong Jr.,Donkey Kong Jr.,1,218,1,218,1.000,OK,OK,REVIEWED,
149,T_Fmc1_04,Koopa Troopa,Koopa,Koopa,Koopa,Koopa,Koopa Troopa,1,189,1,189,1.000,OK,OK,REVIEWED,
150,T_Fmc1_05,Link (1),Link (1),Link (1),Link (1),Link (1),Link (1),1,103,1,103,1.000,OK,OK,REVIEWED,
151,T_Fmc1_06,Cheep Cheep,Cheep-Cheep,Cheep Cheep,Cheep Cheep,Pesce Smack,Cheep Cheep,1,175,1,169,0.966,OK,OK,REVIEWED,
152,T_Fmc1_07,Bullet Bill,Kugelwilli,Bill Bala,Bill Balle,Pallottolo Bill,Bullet Bill,1,188,1,131,0.697,OK,OK,REVIEWED,
153,T_Fmc1_08,Popo,Pepe,Popo,Popo,Popo,Popo,1,67,1,67,1.000,OK,OK,REVIEWED,
154,T_Fmc1_09,Balloon Fighter,Balloon Fighter,Balloon Fighter,Balloon Fight,Balloon Fighter,Balloon Fighter,1,210,1,210,1.000,OK,OK,REVIEWED,
155,T_Fmc1_10,Buzzy Beetle,Käfer,Buzzy Beetle,Bruyinsecte,Nella,Buzzy Beetle,1,173,1,173,1.000,OK,OK,REVIEWED,
156,T_Fmc1_11,Red Excitebiker,Roter Excitebiker,Motorista rojo,Excitebike rouge,Excitebike rossa,Kırmızı Motorcu,1,240,1,216,0.900,OK,OK,REVIEWED,Son manuel Türkçe kalite taramasında doğrulandı.
157,T_Fmc1_12,Mario (2),Mario (2),Mario (2),Mario (2),Mario (2),Mario (2),1,124,1,124,1.000,OK,OK,REVIEWED,
158,T_Fmc1_13,Piranha Plant,Piranha-Pflanze,Planta Piraña,Plante Piranha,Pianta Piranha,Piranha Plant,1,228,1,192,0.842,OK,OK,REVIEWED,
159,T_Fmc1_14,Link (2),Link (2),Link (2),Link (2),Link (2),Link (2),1,103,1,103,1.000,OK,OK,REVIEWED,
160,T_Fmc1_15,Fairy,Fee,Hada,Fée,Fata,Peri,1,76,1,56,0.737,OK,OK,REVIEWED,
161,T_Fmc1_16,Aquamentus,Aquamentus,Aquamentus,Aquamentus,Aquamentus,Aquamentus,1,169,1,169,1.000,OK,OK,REVIEWED,
162,T_Fmc1_17,Mario (3),Mario (3),Mario (3),Mario (3),Mario (3),Mario (3),1,124,1,124,1.000,OK,OK,REVIEWED,
163,T_Pic3_00,Castle,Schloss,Castillo,Château,Castello,Kale,1,113,1,62,0.549,OK,OK,REVIEWED,
164,T_Pic3_01,Acoustic Guitar,Akustikgitarre,Guitarra,Guitare,Chitarra,Akustik Gitar,1,213,1,187,0.878,OK,OK,REVIEWED,
165,T_Pic3_02,Shiba,Shiba Inu,Shiba,Chien shiba,Shiba,Shiba,1,153,1,76,0.497,OK,OK,REVIEWED,
