index,key,text,prefix_hex
33,confirm_corruptcontinuecore:0:*,\90279b99 Kaydetmeden Devam Et,01
34,confirm_corruptdelete:0:*,\b0013bc9 Dosyayı Sil,01
35,confirm_corruptdeletecore:0:*,\e0d1799a Dosyayı Sil,01
36,confirm_erase:0:*,Kayıt $1 silinsin mi?,01
37,confirm_erase_again:0:*,Silinen kayıt geri getirilemez.|Bu kaydı silmek istediğinden emin misin?,01
38,confirm_mirrormodelaunch:0:*,Ayna Modu'nda Diddy Kong'u|veya envanter eşyalarını|yanında götüremezsin.|Haritaya döndüğünde|hepsi sana geri verilecek.,01
39,confirm_no:0:*,\90279b99Hayır,01
40,confirm_nocore:0:*,\90279b99Hayır,01
41,confirm_ok:0:*,\b0013bc9Tamam,01
42,confirm_okcore:0:*,\e0d1799aTamam,01
43,confirm_returntodatamanagem:0:*,\00ab19ca Wii Menüsü Veri|Yönetimi ekranına dön,01
44,confirm_returntodatamanagemD1:0:*,\90279b99 Wii Menüsü Veri|Yönetimi ekranına dön,01
45,confirm_yes:0:*,\b0013bc9Evet,01
46,confirm_yescore:0:*,\e0d1799aEvet,01
47,controllerscreen:0:Player1,Oyuncu 1,01
48,controllerscreen:1:Player2,Oyuncu 2,01
49,controllerscreen:2:NoController,Wii Kumandası ile iletişim kesildi.,01
50,controllerscreen:3:InvalidController,Desteklenmeyen ek kumandayı çıkar.,01
51,controllerscreen:4:CoreController,+ Kontrol Tuşu seçildi.,01
52,controllerscreen:5:NunchukController,Analog Çubuk seçildi.,01
53,controllerscreen:6:CoreConfirm,\e0d1799a Onayla,01
54,controllerscreen:7:LowBattery,Pil seviyesi düşük.,01
55,controllerscreen:8:NunchukConfirm,\b0013bc9 Onayla,01
56,controls_blow:0:*,Üfle,01
57,controls_blowinputcore:0:*,\3630bddf\030718c6\lr_noanim_btn,01
58,controls_blowinputnunchuk:0:*,\7f8540b5\030718c6\xy_noanim_btn,01
59,controls_crouch:0:*,Eğil,01
60,controls_crouchinputnunchuk:0:*,\7f8540b5,01
61,controls_dismount:0:*,Rambi'den İn,01
62,controls_dismountinputcore:0:*,\3630bddf\030718c6\xy_noanim_btn,01
63,controls_dismountinputnunch:0:*,\lr_noanim_btn,01
64,controls_dismount_core:0:*,Rambi'den İn,01
65,controls_grab:0:*,Tut,01
66,controls_grabinput:0:*,\0b8eef3d,01
67,controls_groundpound:0:*,Yere Vur,01
68,controls_groundpoundinputco:0:*,\lr_noanim_btn,01
69,controls_groundpoundinputnu:0:*,\xy_noanim_btn,01
70,controls_groundpound_core:0:*,Yere Vur,01
71,controls_jump:0:*,Zıpla,01
72,controls_mount:0:*,Birleş,01
73,controls_mountinputcore:0:*,\3630bddf,01
74,controls_mountinputnunchuk:0:*,\27b05a76,01
75,controls_mount_core:0:*,Eğil,01
76,controls_movement:0:*,Hareket,01
77,controls_moveright:0:*,Sağa Git,01
78,controls_pause:0:*,Duraklat,01
79,controls_roll:0:*,Yuvarlan,01
80,controls_rollinputcore:0:*,\057633b9\030718c6\lr_noanim_btn,01
81,controls_rollinputnunchuk:0:*,\1388fc84\030718c6\xy_noanim_btn,01
82,controls_rungrab:0:*,Koş/|Tut,01
83,core:0:GroundPound,\d1ed1c35,01
84,core:1:GroundPound_Small,\43e2c294,01
85,core:2:Grab,\xy_btn,01
86,core:3:Up,\3ab2d6e4,01
87,core:4:Blow,\3630bddf\43e2c294,01
88,cranky_balloons_continue:0:*,\b0013bc9 Devam Et,01
89,cranky_balloons_continuecor:0:*,\e0d1799a Devam Et,01
90,creditslist_eur:0:*,DO NOT USE,01
91,creditslist_jpn:0:*,DO NOT USE,01
92,creditslist_us:0:*,DO NOT USE,01
93,dialog_mirrornotification:0:*,"Artık istediğin bölümü|Ayna Modu'nda oynayabilirsin!||Bu modda Donkey Kong,|dostu Diddy Kong'dan yardım alamaz|ve envanter eşyalarını kullanamaz.|Üstelik işi daha da zorlaştırmak için|bir kalbi eksik olur!||Bol şans!",01
94,eol_beatuphits:0:*,Vuruş,01
95,eol_beatuphits:1:*,Vuruş,01
96,eol_besttime:0:*,En İyi Süre,01
97,eol_continue:0:*,\0cce5b52      Devam Et,01
98,eol_continue_core:0:*,\0cce5b52      Devam Et,01
99,eol_levelclear:0:*,Bölüm Tamamlandı!,01
100,eol_retry:0:*,\x_button_32         Tekrar Dene,01
101,eol_retry_confirm:0:*,Bölümü yeniden denemek|istediğinden emin misin?,01
102,eol_retry_core:0:*,\x_button_32         Tekrar Dene,01
103,eol_unlock_diorama:0:*,DİYORAMA GALERİSİ GÜNCELLENDİ!,01
104,eol_unlock_image:0:*,GÖRSEL GALERİSİ GÜNCELLENDİ!,01
105,eol_unlock_music:0:*,MÜZİK GALERİSİ GÜNCELLENDİ!,01
106,eol_unlock_nosavegame:0:*,Aferin!,01
107,eol_viewreplay:0:*,\y_button_32	    Tekrarı İzle,01
108,eol_viewreplay_core:0:*,\y_button_32	    Tekrarı İzle,01
109,eol_worldclear:0:*,Dünya Tamamlandı!,01
110,exitboard:0:*,<squish=0.8>ÇIKIŞ,01
111,extras_diorama:0:*,Diyorama Galerisi,01
112,extras_diorama_categories:0:*,Cangıl,01
113,extras_diorama_categories:1:*,Sahil,01
114,extras_diorama_categories:2:*,Harabeler,01
115,extras_diorama_categories:3:*,Mağara,01
116,extras_diorama_categories:4:*,Orman,01
117,extras_diorama_categories:5:*,Uçurum,01
118,extras_diorama_categories:6:*,Fabrika,01
119,extras_diorama_categories:7:*,Volkan,01
120,extras_diorama_instruction:0:*,\tstick_all_directions      Döndür,01
121,extras_diorama_instruction_:0:*,\dpad_all_directions      Döndür,01
122,extras_diorama_instruction_D1:0:*,\9097e9e2\y_button_32<squish=0.8> Yakınlaştır,01
123,extras_diorama_instruction_D2:0:*,\9097e9e2\y_button_32<squish=0.8> Yakınlaştır,01
124,extras_diorama_titles:0:*,Cangıl Diyoraması,01
125,extras_diorama_titles:1:*,Sahil Diyoraması,01
126,extras_diorama_titles:2:*,Harabeler Diyoraması,01
127,extras_diorama_titles:3:*,Mağara Diyoraması,01
128,extras_diorama_titles:4:*,Orman Diyoraması,01
129,extras_diorama_titles:5:*,Uçurum Diyoraması,01
130,extras_diorama_titles:6:*,Fabrika Diyoraması,01
131,extras_diorama_titles:7:*,Volkan Diyoraması,01
132,extras_imagenames:0:*,Kurbazorba,01
133,extras_imagenames:1:*,Gak,01
134,extras_imagenames:2:*,Kıskaçlı ve Dostu,01
135,extras_imagenames:3:*,Dişlek,01
136,extras_imagenames:4:*,Ahtapotus,01
137,extras_imagenames:5:*,Sırıkbacak,01
138,extras_imagenames:6:*,Vızkuş,01
139,extras_imagenames:7:*,Ciyakgiller,01
140,extras_imagenames:8:*,Pıtırdak,01
141,extras_imagenames:9:*,Hayvan Dostları,01
142,extras_imagenames:10:*,Kalamar Topu,01
143,extras_imagenames:11:*,Kafesyemiş ve Dostları,01
144,extras_imagenames:12:*,Bomba Tiki,01
145,extras_imagenames:13:*,Köstebek Bekçileri,01
146,extras_imagenames:14:*,Vızırdiş,01
147,extras_imagenames:15:*,Hamgiller,01
148,extras_imagenames:16:*,Kemikreks,01
149,extras_imagenames:17:*,Kemikkafa Kaan,01
150,extras_imagenames:18:*,Koalabomba,01
151,extras_imagenames:19:*,Savaş Botları,01
152,extras_imagenames:20:*,Çığlık Atan Sütun,01
153,extras_imagenames:21:*,Vızır Tiki,01
154,extras_imagenames:22:*,Zırhlı Tiki,01
155,extras_imagenames:23:*,Zıpzıp Tiki,01
156,extras_imagenames:24:*,Meşale Tiki,01
157,extras_imagenames:25:*,Pilot Tiki,01
158,extras_imagenames:26:*,Tiki Dizilişi,01
159,extras_imagenames:27:*,İlk Lav Tiki Tasarımı,01
160,extras_imagenames:28:*,Uçuk Tikiler,01
161,extras_imagenames:29:*,Tiki Tong Hikâye Panosu,01
162,extras_imagenames:30:*,Çirko,01
163,extras_imagenames:31:*,Kıskaçlı Korsanlar,01
164,extras_imagenames:32:*,Yahni,01
165,extras_imagenames:33:*,Madenci Max,01
166,extras_imagenames:34:*,Madenci Köstebekler,01
167,extras_imagenames:35:*,Işıltırtıl,01
168,extras_imagenames:36:*,Zorbo,01
169,extras_imagenames:37:*,Albay Tüylü,01
170,extras_imagenames:38:*,Tiki Tong Kulesi,01
171,extras_imagenames:39:*,Tiki Tong,01
172,extras_imagenames:40:*,Cangıl Şelaleleri,01
173,extras_imagenames:41:*,Cangıl Heykelleri,01
174,extras_imagenames:42:*,Gemi Saldırısı!,01
175,extras_imagenames:43:*,Deniz Altı Maceraları,01
176,extras_imagenames:44:*,Harabeler,01
177,extras_imagenames:45:*,Bambu Ormanı,01
178,extras_imagenames:46:*,Eğreltidozer,01
179,extras_imagenames:47:*,Uçurum Kuleleri,01
180,extras_imagenames:48:*,Fabrika Girişi,01
181,extras_imagenames:49:*,Volkan Patlamaları,01
182,extras_imagenames:50:*,Kulübenin Dışı,01
183,extras_imagenames:51:*,Ada Manzarası,01
184,extras_imagenames:52:*,Eğitmen Domuzcuk,01
185,extras_imagenames:53:*,Evim Güzel Evim,01
186,extras_imagenames:54:*,Cranky'nin Dükkânı,01
187,extras_imagenames:55:*,Aile Portresi,01
188,extras_imagenames:56:*,Kaya Oyması,01
189,extras_imagenames:57:*,Köstebek Vagonları,01
190,extras_imagenames:58:*,Buharlı Macera,01
191,extras_imagenames:59:*,Volkana Tırmanış,01
192,extras_imagenames:60:*,Altın Muzlar,01
193,extras_imagenames:61:*,Muz Hız Treni,01
194,extras_imagenames:62:*,Kâğıt Figürler,01
195,extras_imagenames:63:*,Çılgın Bloklar,01
196,extras_imagenames:64:*,Puding Diyarı,01
197,extras_imagenames:65:*,Virtual Boy Rayları,01
198,extras_imagenames:66:*,Altın Tapınak,01
199,extras_imagenames:67:*,Kraker ve Puding,01
200,extras_imagenames:68:*,Tapınak Girişi,01
201,extras_imagenames:69:*,Tapınağın Dışı,01
202,extras_imagenames:70:*,Rambi,01
203,extras_imagenames:71:*,Sahil Köprüsü,01
204,extras_imagenames:72:*,Müren Dövüşü,01
205,extras_imagenames:73:*,Kehribar Rayları,01
206,extras_imagenames:74:*,Zıppopotam,01
207,extras_imagenames:75:*,Ağaç Tepesi Köyü,01
208,extras_imagenames:76:*,Karanlık Uçurumlar,01
209,extras_imagenames:77:*,Eski Usul,01
210,extras_imagenames:78:*,Öfkeli Muz,01
211,extras_imagenames:79:*,Tapınak Anıtı,01
212,extras_images:0:*,Görsel Galerisi,01
213,extras_image_categories:0:*,Yaratıklar 1 Galerisi,01
214,extras_image_categories:1:*,Yaratıklar 2 Galerisi,01
215,extras_image_categories:2:*,Tiki Galerisi,01
216,extras_image_categories:3:*,Baş Düşmanlar,01
217,extras_image_categories:4:*,Dünyalar Galerisi,01
218,extras_image_categories:5:*,Kong Galerisi,01
219,extras_image_categories:6:*,Altın Tapınak Galerisi,01
220,extras_image_categories:7:*,Bonus Galerisi,01
221,extras_image_category_instr:0:*,\b0013bc9İncele,01
222,extras_image_category_instr:1:*,\3197aa25İncele,01
223,extras_image_category_instrD1:0:*,\e0d1799aİncele,01
224,extras_image_category_instrD1:1:*,\6267e7f6İncele,01
225,extras_image_category_title:0:*,Yaratıklar 1 Galerisi,01
226,extras_image_category_title:1:*,Yaratıklar 2 Galerisi,01
227,extras_image_category_title:2:*,Tiki Galerisi,01
228,extras_image_category_title:3:*,Baş Düşmanlar,01
229,extras_image_category_title:4:*,Dünyalar Galerisi,01
230,extras_image_category_title:5:*,Kong Galerisi,01
231,extras_image_category_title:6:*,<scale=0.8>Altın Tapınak Galerisi,01
232,extras_image_category_title:7:*,Bonus Galerisi,01
233,extras_locked:0:*,<scale=0.8>?????,01
234,extras_music:0:*,Müzik Galerisi,01
235,extras_musicnames:0:*,Cangıl Curcunası,01
236,extras_musicnames:1:*,Tırmanış Kralı,01
237,extras_musicnames:2:*,Palmiye Ritmi,01
238,extras_musicnames:3:*,KULLANILMIYOR,01
239,extras_musicnames:4:*,Zıplayan Kalaslar,01
240,extras_musicnames:5:*,Su Altı Ezgisi|(Returns),01
241,extras_musicnames:6:*,Azgın Dalgalar,01
242,extras_musicnames:7:*,Kaygan Kumlar,01
243,extras_musicnames:8:*,Tapınağın Sesleri|(Returns),01
244,extras_musicnames:9:*,Harabe Rapsodisi,01
245,extras_musicnames:10:*,Yelkenler ve Toplar,01
246,extras_musicnames:11:*,Leziz Yahni,01
247,extras_musicnames:12:*,Maden Vagonu Gezisi,01
248,extras_musicnames:13:*,Maden Tehdidi,01
249,extras_musicnames:14:*,Gıcırdayan Raylar,01
250,extras_musicnames:15:*,KULLANILMIYOR,01
251,extras_musicnames:16:*,Orman Çılgınlığı|(Returns),01
252,extras_musicnames:17:*,Ağaç Tepesi Rock|(Returns),01
253,extras_musicnames:18:*,Işıltırtıl Hücumu,01
254,extras_musicnames:19:*,KULLANILMIYOR,01
255,extras_musicnames:20:*,Yuvarlanan Kayalar,01
256,extras_musicnames:21:*,Tarih Öncesi Patika,01
257,extras_musicnames:22:*,Uçurum Konseri,01
258,extras_musicnames:23:*,Yapışkan Durum,01
259,extras_musicnames:24:*,Fabrikada Sürtüşme,01
260,extras_musicnames:25:*,Madenlerde Hayat|(Returns),01
261,extras_musicnames:26:*,Otomatik Aksiyon,01
262,extras_musicnames:27:*,KULLANILMIYOR,01
263,extras_musicnames:28:*,Alevli Zıplayış,01
264,extras_musicnames:29:*,Kızıl Rock,01
265,extras_musicnames:30:*,Lav Hücumu,01
266,extras_musicnames:31:*,Tiki Tong Şarkısı,01
267,extras_music_categories:0:*,Cangıl Müziği,01
268,extras_music_categories:1:*,Sahil Müziği,01
269,extras_music_categories:2:*,Harabeler Müziği,01
270,extras_music_categories:3:*,Mağara Müziği,01
271,extras_music_categories:4:*,Orman Müziği,01
272,extras_music_categories:5:*,Uçurum Müziği,01
273,extras_music_categories:6:*,Fabrika Müziği,01
274,extras_music_categories:7:*,Volkan Müziği,01
275,extras_music_category_title:0:*,Cangıl Müziği,01
276,extras_music_category_title:1:*,Sahil Müziği,01
277,extras_music_category_title:2:*,Harabeler Müziği,01
278,extras_music_category_title:3:*,Mağara Müziği,01
279,extras_music_category_title:4:*,Orman Müziği,01
280,extras_music_category_title:5:*,Uçurum Müziği,01
281,extras_music_category_title:6:*,Fabrika Müziği,01
282,extras_music_category_title:7:*,Volkan Müziği,01
283,extras_music_instruction:0:*,\b0013bc9Dinle,01
284,extras_music_instruction_co:0:*,\e0d1799aDinle,01
285,extras_select_generic:0:*,\b0013bc9Seç,01
286,extras_select_generic:1:*,\3197aa25Seç,01
287,extras_select_generic_core:0:*,\e0d1799aSeç,01
288,extras_select_generic_core:1:*,\6267e7f6Seç,01
289,extras_title:0:*,Ekstralar,01
290,extras_unlock_instructions_:0:*,Tüm bölüm sonu düşmanlarını yenerek|bu galeriyi aç!,01
291,extras_unlock_instructions_D1:0:*,Bu galeriyi açmak için|yapboz parçaları topla!,01
292,extras_unlock_instructions_D2:0:*,Bölüm sonu düşmanlarını yenerek|bu galeriyi aç!,01
293,extras_unlock_instructions_D3:0:*,Yapboz parçaları topla ve bölüm sonu|düşmanlarını yenerek bu öğeyi aç!,01
294,extras_unlock_instructions_D4:0:*,Bölüm sonu düşmanlarını yenerek|bu öğeyi aç!,01
295,extras_unlock_instructions_D5:0:*,Bu öğeyi açmak için|yapboz parçaları topla!,01
296,extras_unlock_instructions_D6:0:*,Bu öğeyi yalnızca|en azimli maymun açabilir!,01
297,factory_switch_sign:0:*,Bul!,01
298,fileselect_areanamecharacte:0:Beach,2,01
299,fileselect_areanamecharacte:1:Cave,4,01
300,fileselect_areanamecharacte:2:Cliff,6,01
301,fileselect_areanamecharacte:3:Factory,7,01
302,fileselect_areanamecharacte:4:Forest,5,01
303,fileselect_areanamecharacte:5:Jungle,1,01
304,fileselect_areanamecharacte:6:Ruins,3,01
305,fileselect_areanamecharacte:7:Volcano,8,01
306,fileselect_areanamecharacte:8:Secret,9,01
307,fileselect_levelnamecharact:0:Trophy,K,01
308,fileselect_levelnamecharact:1:Boss,B,01
309,fileselect_levelnamecharact:2:Level1,1,01
310,fileselect_levelnamecharact:3:Level3,3,01
311,fileselect_levelnamecharact:4:Level4,4,01
312,fileselect_levelnamecharact:5:Level5,5,01
313,fileselect_levelnamecharact:6:Level6,6,01
314,fileselect_levelnamecharact:7:Level7,7,01
315,fileselect_levelnamecharact:8:Level8,8,01
316,fileselect_levelnamecharact:9:Level2,2,01
317,fileselect_levelnamecharact:10:Rocket,R,01
318,gameover_continue:0:*,\0cce5b52      Devam Et,01
319,gameover_continue_core:0:*,\0cce5b52      Devam Et,01
320,gameover_quit:0:*,\90279b99         Çık,01
321,gameover_quit_confirm:0:*,Çıkmak istediğinden emin misin?,01
322,gameover_quit_core:0:*,\90279b99         Çık,01
323,gameover_title:0:*,Oyun Bitti,01
324,grab:0:Standard,\lr_btn,01
325,grab:1:Core,\xy_btn,01
326,groundpound:0:Core,\lr_btn,01
327,groundpound:1:Standard,\xy_btn,01
328,groundpound_star:0:Core,\d1ed1c35,01
329,groundpound_star:1:Standard,\ea0fce93,01
330,head_icons:0:DK,\dk_head,01
331,head_icons:1:Diddy,\diddy_head,01
332,hud_bonus:0:*,Bonus,01
333,hud_empty:0:*,\8a502bab,01
334,hud_invisible:0:*,\f8487ed9,01
335,hud_kong:0:*,\88ddc16b,01
336,hud_kong:1:*,\73e4b9a8,01
337,hud_mirror:0:*,\bd305e30,01
338,hud_puzzle:0:*,\8a502bab,01
339,hud_puzzle:1:5,\4bd1f623,01
340,hud_puzzle:2:7,\4bd1f623,01
341,hud_puzzle:3:9,\4bd1f623,01
342,map_freelook:0:*,Serbest Bakış,01
343,map_inventory_cancel:0:*,\9097e9e2Kaldır,01
344,map_inventory_prompt:0:*,Donkey Kong'un Eşyasını Seç,01
345,map_inventory_prompt:1:*,Diddy Kong'un Eşyasını Seç,01
346,map_inventory_prompt:2:*,Donkey Kong'un seçili eşyasını kaldır,01
347,map_inventory_prompt:3:*,Diddy Kong'un seçili eşyasını kaldır,01
348,map_inventory_return:0:*,\90279b99Geri,01
349,map_inventory_return:1:*,\90279b99Geri,01
350,map_inventory_select:0:*,\b0013bc9Seç,01
351,map_inventory_select:1:*,\e0d1799aSeç,01
352,map_load_inventory:0:*,Envanter,01
353,map_load_mirrormode:0:*,Ayna Modu,01
354,map_load_play:0:*,Oyna,01
355,map_load_timeattack:0:*,Zamana Karşı,01
356,map_menu:0:*,\819dcecf        Menü,01
357,map_menu_core:0:*,\819dcecf        Menü,01
358,map_pause_adddrop:0:*,Ekle/Çıkar,01
359,map_pause_options:0:*,Seçenekler,01
360,map_pause_quit:0:*,Oyundan Çık,01
361,map_pause_quit_confirm:0:*,Oyundan çıkmak istediğinden emin misin?,01
362,map_pause_summary:0:*,Bölüm Özeti,01
363,map_pause_summary_hidden:0:*,????,01
364,map_prompt_back:0:*,\90279b99Geri,01
365,map_prompt_back_core:0:*,\90279b99Geri,01
366,map_prompt_chooseworld:0:*,\tstick_left_right    Dünya Seç,01
367,map_prompt_chooseworld:1:*, \9918a725     Dünya Seç,01
368,map_prompt_chooseworld_core:0:*,\dpad_left_right    Dünya Seç,01
369,map_prompt_chooseworld_core:1:*, \cb114cf6     Dünya Seç,01
370,map_prompt_continue:0:*,\b0013bc9Tamam,01
371,map_prompt_continue_core:0:*,\b0013bc9Tamam,01
372,map_prompt_freelook:0:*,\9097e9e2        <space=0.5><squish=0.85>Serbest Bakış,01
373,map_prompt_freelookreturn:0:*,\9097e9e2          <space=0.4>Geri Dön,01
374,map_prompt_freelookreturn_c:0:*,\9097e9e2          <space=0.4>Geri Dön,01
375,map_prompt_freelook_core:0:*,\9097e9e2        <space=0.5><squish=0.85>Serbest Bakış,01
376,map_prompt_rotate:0:*,\tstick_all_directions         <space=0.5>Döndür,01
377,map_prompt_rotate_core:0:*,\dpad_all_directions         <space=0.5>Döndür,01
378,map_select:0:*,\b0013bc9           <space=0.5>Seç,01
379,map_select_core:0:*,\b0013bc9           <space=0.5>Seç,01
380,medaltimesuffix:0:*,\8a502bab,01
381,medaltimesuffix:1:*,\f424dc18,01
382,medaltimesuffix:2:*,\82a735cb,01
383,medaltimesuffix:3:*,\08db579e,01
384,medaltimesuffix:4:*,\9cb5ee8e,01
385,medaltimesuffix_bronze:0:*,\742b4fd9,01
386,medaltimesuffix_gold:0:*,\b7bdc79f,01
387,medaltimesuffix_sgold:0:*,\ca217ead,01
388,medaltimesuffix_silver:0:*,\02ada98c,01
389,menu_back:0:*,\90279b99Geri,01
390,menu_backshop:0:*,\90279b99Çık,01
391,menu_backshop_core:0:*,\90279b99Çık,01
392,menu_back_areamap:0:*, \90279b99        Ada Haritası,01
393,menu_back_areamap_core:0:*, \90279b99        Ada Haritası,01
394,menu_back_core:0:*,\90279b99Geri,01
395,menu_cancel:0:*,İPTAL,01
396,menu_confirm:0:*,TAMAM,01
397,menu_copy:0:*,\y_button_32Kopyala,01
398,menu_copy:1:*,\gray_y_button_32Kopyala,01
399,menu_copyselectdest:0:*,Hedef|kaydı seç,01
400,menu_copyselectsource:0:*,Kopyalanacak|kaydı seç,01
401,menu_erase:0:*,\9097e9e2Sil,01
402,menu_erase:1:*,\gray_x_button_32Sil,01
403,menu_eraseselectslot:0:*,Silinecek|kaydı seç,01
404,options_audio:0:*,Ses,01
405,options_audio_music:0:*,Müzik,01
406,options_audio_soundfx:0:*,Efektler,01
407,options_audio_title:0:*,Ses,01
408,options_controllers:0:*,Kontroller,01
409,options_controllers_howto_h:0:*,\b0013bc9Seç,01
410,options_controllers_howto_n:0:*,\b0013bc9Seç,01
411,options_controller_horizont:0:*,+ Kontrol Tuşu,01
412,options_controller_horizontD1:0:*,Seçili,01
413,options_controller_nunchuk_:0:*,Analog Çubuk,01
414,options_controller_nunchuk_D1:0:*,Seçili,01
415,options_controller_title:0:*,Kontroller,01
416,options_left_arrow:0:*,\a275f16a,01
417,options_left_arrow_pressed:0:*,\dddf850a,01
418,options_right_arrow:0:*,\ce2f8e13,01
419,options_right_arrow_pressed:0:*,\d7b11681,01
420,options_title:0:*,Seçenekler,01
421,options_video:0:*,Görüntü,01
422,pause_options:0:*,Seçenekler,01
423,pause_puzzle:0:*,Yapboz,01
424,pause_quittomap:0:*,Bölümden Çık,01
425,pause_quit_confirm:0:*,Bölümden çıkmak istediğinden emin misin?,01
426,pause_restarttimeattack:0:*,Tekrar Dene,01
427,pause_restarttimeattack_con:0:*,Bölümü baştan başlatmak|istediğinden emin misin?,01
428,pause_resume:0:*,Devam Et,01
429,rocketbarrelboost:0:Core,\ab_btn,01
430,rocketbarrelboost:1:Standard,\ab_btn,01
431,rollleft:0:Standard,\8bec70d9\xy_btn,01
432,rollleft:1:Core,\b00ec231\lr_btn,01
433,rollright:0:Standard,\1388fc84\xy_btn,01
434,rollright:1:Core,\057633b9\lr_btn,01
435,savefileerror_corruptfile:0:*,Veriler bozuk olduğu için|bu dosya kullanılamıyor.|Dosyayı silmek ister misin?,01
436,savefileerror_createfailed:0:*,Kayıt dosyası oluşturulamadı.|Kaydetmeden devam etmek ister misin?,01
437,savefileerror_deletefailed:0:*,Bozuk dosya silinemedi.|Kaydetmeden devam etmek ister misin?,01
438,savefileerror_insufficientn:0:*,Wii Sistem Belleği'nde|yeterli boş alan yok.|Wii konsolunun Veri Yönetimi|ekranından verileri bir SD karta taşı|veya gereksiz verileri sil.,01
439,savefileerror_insufficients:0:*,Wii Sistem Belleği'nde|yeterli boş alan yok.|2 blok boş alan açmak için|Wii konsolunun Veri Yönetimi|ekranından verileri bir SD karta taşı|veya gereksiz verileri sil.,01
440,secretworld_reveal:0:*,Altın Tapınak|Ortaya Çıktı!,01
441,selectfile_balloonnotificat:0:*,"Balonların epey azalmış, evlat.|Yoluna devam edebilmen için|sana bir hediye bırakıyorum.||Sevgiler, Cranky",01
442,selectfile_empty:0:*,Yeni Oyun,01
443,selectfile_file:0:*,Kayıt,01
444,selectfile_prompt:0:*,Kayıt Seç,01
445,shop_1up_comment:0:CON,<squish=0.82>Bunca balon benim işime yaramaz.|Çünkü ben MUHTEŞEMİM.,01
446,shop_1up_comment:1:INT,<squish=0.82>Fazladan bir balona ne dersin?|İşine yaramaz deme sakın.,01
447,shop_1up_comment:2:OPT,"<squish=0.82>Bir balon fazlası, başarısızlıktan|bir kez daha kurtulmak demektir.",01
448,shop_1up_comment:3:DIS,<squish=0.82>Benden aldığın bütün balonlar|er geç patlayacak. Bekle de gör!,01
449,shop_1up_comment:4:INT,<squish=0.82>Bir maymun bütün bu balonlara|helyumu nereden bulur? Asla söylemem!,01
450,shop_1up_comment:5:OPT,<squish=0.82>Şu balonlardan biri bile|koca bir maymunu taşıyabilir!,01
451,shop_1up_purchase:0:CON,<squish=0.82>Boşa harcama!,01
452,shop_1up_purchase:1:CON,<squish=0.82>Bu balona patlamadan önce|30 saniye veriyorum.,01
453,shop_1up_purchase:2:INT,<squish=0.82>Bu macerayı bitirmek istiyorsan|bulabildiğin her balona ihtiyacın olacak.,01
