index,id,English,French,Japanese,German,Spanish,Italian,Turkish
55,267,"These living campfires roast anyone foolish enough to jump on them. Wait for its fire to die down, then attack!",Ces feux de camp grillent tous ceux qui sautent par-dessus. Attaque lorsque le feu est éteint !,"[!TR] These living campfires roast anyone foolish enough to jump on them. Wait for its fire to die down, then attack!","Diese Feuer grillen jeden, der auf sie springt. Warte, bis das Feuer erlischt, und greif dann an!",Estas hogueras tostarán a cualquiera que salte en ellas. Espera a que su fuego se vaya apagando ¡y ataca!,Questi falò viventi arrostiranno chi ci salterà sopra. Attacca quando il fuoco si è affievolito!,Bu canlı kamp ateşleri üstlerine atlayanları kızartır. Alevleri sönünce saldır!
56,268,Hocks up disgusting pellets and spits them at you. Make a well-placed Charge Punch to fire the pellets back at them!,Il avale des boulettes dégoûtantes et les recrache. Une bonne Attaque coup-de-poing leur renverra !,[!TR] Hocks up disgusting pellets and spits them at you. Make a well-placed Charge Punch to fire the pellets back at them!,Bespuckt dich mit ekligen Kügelchen. Ein gut platzierter Superschlag kann die Kugeln zurückfeuern!,Regurgita bolitas y te las escupe. ¡Da puñetazos y dispara las bolitas de vuelta hacia él!,Sputa addosso granuli disgustosi. Sferra un pugno caricato con il giusto tempismo per respingerli!,İğrenç topaklar çıkarıp sana tükürür. Tam zamanında Yüklü Yumruk atıp topakları geri gönder!
57,269,Upgrade,Améliorer,[!TR] Upgrade,Upgrades,Mejoras,Potenziamenti,Geliştirme
58,270,Bedazzling Fleece,Polaire aveuglant,[!TR] Bedazzling Fleece,Blend-Fleece,Lana Deslumbrante,Maglia accecante,Göz Kamaştıran Kazak
59,271,Battle Cuffs,Gantelets de combat,[!TR] Battle Cuffs,Kampfmanschetten,Puños de Batalla,Bracciali da guerra,Savaş Bileklikleri
60,272,Health Increase,Augmentation des PV,[!TR] Health Increase,Gesundheitssteigerung,Aumento de Salud,Aumento salute,Can Artışı
61,273,"Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: LOW","Idéal pour les attaques longue portée.
Charge et relâche pour
désactiver l'aura de l'ennemi.
Puissance : FAIBLE","[!TR] Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: LOW","Ideal für Angriffe auf große Distanz. 
Aufladen und loslassen, 
um gegnerische Auren wirkungslos zu machen. 
Kraftstufe: NIEDRIG","Ideal para ataques de largo alcance. 
Cargar y soltar para 
deshabilitar las auras del enemigo. 
Nivel de energía: BAJO","Ideale per attacchi a lunga distanza. 
Carica e rilascia per 
neutralizzare le aure nemiche. 
Livello potenza: BASSO.","Uzak menzilde idealdir. 
Doldurup bırakınca 
düşman auralarını bozar. 
Güç: DÜŞÜK"
62,274,"Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: MEDIUM","Idéals pour les attaques à bout portant.
Charge et relâche pour
repousser les projectiles ennemis.
Puissance : MOYEN","[!TR] Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: MEDIUM","Ideal für Angriffe auf kurze Distanz. 
Aufladen und loslassen, 
um gegnerische Geschosse zurückzuwerfen. 
Kraftstufe: MITTEL","Ideal para ataques de corto alcance. 
Cargar y soltar para 
bloquear proyectiles enemigos. 
Nivel de energía: MEDIO","Ideale per attacchi a distanza ravvicinata. 
Carica e rilascia per 
respingere i colpi scagliati dai nemici. 
Livello potenza: MEDIO.","Yakın menzilde idealdir. 
Doldurup bırakınca 
düşman atışlarını geri iter. 
Güç: ORTA"
63,275,Bedazzling Fleece 1,Polaire aveuglant 1,[!TR] Bedazzling Fleece 1,Blend-Fleece 1,Lana Deslumbrante 1,Maglia accecante 1,Göz Kamaştıran Kazak 1
64,276,Bedazzling Fleece 3,Polaire aveuglant 3,[!TR] Bedazzling Fleece 3,Blend-Fleece 3,Lana Deslumbrante 3,Maglia accecante 3,Göz Kamaştıran Kazak 3
65,277,Bedazzling Fleece 2,Polaire aveuglant 2,[!TR] Bedazzling Fleece 2,Blend-Fleece 2,Lana Deslumbrante 2,Maglia accecante 2,Göz Kamaştıran Kazak 2
66,278,"Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: MEDIUM","Idéal pour les attaques longue portée. 
Charge et relâche pour
désactiver l'aura de l'ennemi. 
Puissance : MOYEN","[!TR] Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: MEDIUM","Ideal für Angriffe auf große Distanz. 
Aufladen und loslassen, 
um gegnerische Auren wirkungslos zu machen. 
Kraftstufe: MITTEL","Ideal para ataques de largo alcance. 
Cargar y soltar para 
deshabilitar las auras del enemigo. 
Nivel de energía: MEDIO","Ideale per attacchi a lunga distanza. 
Carica e rilascia per 
neutralizzare le aure nemiche. 
Livello potenza: MEDIO.","Uzak menzilde idealdir. 
Doldurup bırakınca 
düşman auralarını bozar. 
Güç: ORTA"
67,279,"Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: STRONG","Idéale pour les attaques longue portée.
Charge et relâche pour
désactiver l'aura de l'ennemi.
Puissance : ÉLEVÉE","[!TR] Ideal for long range attacks. 
Charge up and release to 
disable enemy auras. 
Power Level: STRONG","Ideal für Angriffe auf große Distanz. 
Aufladen und loslassen, 
um gegnerische Auren wirkungslos zu machen. 
Kraftstufe: STARK","Ideal para ataques de largo alcance. 
Cargar y soltar para 
deshabilitar las auras del enemigo. 
Nivel de energía: ALTO","Ideale per attacchi a lunga distanza. 
Carica e rilascia per 
neutralizzare le aure nemiche. 
Livello potenza: ALTO.","Uzak menzilde idealdir. 
Doldurup bırakınca 
düşman auralarını bozar. 
Güç: YÜKSEK"
68,280,Battle Cuffs 2,Gantelets de combat 2,[!TR] Battle Cuffs 2,Kampfmanschetten 2,Puños de Batalla 2,Bracciali da guerra 2,Savaş Bileklikleri 2
69,281,Battle Cuffs 1,Gantelets de combat 1,[!TR] Battle Cuffs 1,Kampfmanschetten 1,Puños de Batalla 1,Bracciali da guerra 1,Savaş Bileklikleri 1
70,282,Battle Cuffs 3,Gantelets de combat 3,[!TR] Battle Cuffs 3,Kampfmanschetten 3,Puños de Batalla 3,Bracciali da guerra 3,Savaş Bileklikleri 3
71,283,"Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: STRONG","Idéals pour les attaques à bout portant.
Charge et relâche pour
repousser les projectiles ennemis.
Puissance : ÉLEVÉE","[!TR] Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: STRONG","Ideal für Angriffe auf kurze Distanz. 
Aufladen und loslassen, 
um gegnerische Geschosse zurückzuwerfen. 
Kraftstufe: STARK","Ideal para ataques de corto alcance. 
Cargar y soltar para 
bloquear proyectiles enemigos. 
Nivel de energía: ALTO","Ideale per attacchi a distanza ravvicinata. 
Carica e rilascia per 
respingere i colpi scagliati nemici. 
Livello potenza: ALTO.","Yakın menzilde idealdir. 
Doldurup bırakınca 
düşman atışlarını geri iter. 
Güç: YÜKSEK"
72,284,"Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: VERY STRONG","Idéals pour les attaques à bout portant.
Charge et relâche pour
repousser les projectiles ennemis.
Puissance : TRÈS ÉLEVÉE","[!TR] Ideal for close range attacks. 
Charge up and release to 
knock back enemy projectiles. 
Power Level: VERY STRONG","Ideal für Angriffe auf kurze Distanz.
Kann gegnerische Geschosse zurückwerfen.
Kraftstufe: SEHR STARK","Ideal para ataques de corto alcance. 
Cargar y soltar para 
bloquear proyectiles enemigos. 
Nivel de energía: MUY ALTO","Ideale per attacchi a distanza ravvicinata. 
Carica e rilascia per 
respingere i colpi scagliati nemici. 
Livello potenza: ALTISSIMO.","Yakın menzilde idealdir. 
Doldurup bırakınca 
düşman atışlarını geri iter. 
Güç: ÇOK YÜKSEK"
73,285,Max,Max,[!TR] Max,Max.,Máx.,Max,Maks.
74,345,Fire Guardian,Gardien du Feu,[!TR] Fire Guardian,Feuerwächter,Guardián de Fuego,Guardiano del Fuoco,Ateş Muhafızı
75,466,Find and collect Stan's lost blueprints.,Trouve les plans que Stan a perdus et récupère-les.,[!TR] Find and collect Stan's lost blueprints.,Finde und sammle Stans verlorene Baupläne.,Encuentra y recoge los planos perdidos de Stan.,Trova e raccogli i progetti perduti di Stan.,Stan'in kayıp planlarını bul ve topla.
76,467,"Stan's blueprints are for a new “I EAT KIDS” hot air balloon, as a side-business to terrify kids into doing their chores.","Plans d'un ballon géant appelé ""JE MANGE LES ENFANTS"", créé par Stan pour terrifier et faire obéir les enfants.","[!TR] Stan's blueprints are for a new “I EAT KIDS” hot air balloon, as a side-business to terrify kids into doing their chores.","Stans Baupläne zeigen den Entwurf eines ""ICH ESSE KINDER""
-Heißluftballons, um Kinder zu motivieren ihre Hausarbeit machen.","Los planos de Stan son para un globo llamado: ""YO COMO NIÑOS"". Es para obligarlos a hacer sus tareas.","I progetti di Stan per una mongolfiera ""MANGIO I BAMBINI"", rende i bambini più ubbidienti.","Stan'in planları, çocukları ev işlerine zorlamak için korkutacağı yeni “ÇOCUK YERİM” sıcak hava balonuna ait."
77,468,Talk with Gravity Falls citizens to discover the owner of these blueprints.,Parle à cet habitant de Gravity Falls et découvre à qui appartiennent ces plans.,[!TR] Talk with Gravity Falls citizens to discover the owner of these blueprints.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Baupläne gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estos planos.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di questi progetti.,Bu planların sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
78,470,Find and collect Soos' lost floppy disks.,Trouve les disquettes que Mousse a perdues et récupère-les.,[!TR] Find and collect Soos' lost floppy disks.,Finde und sammle Soos' verlorene Floppy Disks.,Encuentra y recoge los disquetes perdidos de Soos.,Trova e raccogli i dischetti perduti di Soos.,Soos'un kayıp disketlerini bul ve topla.
79,471,Talk with Gravity Falls citizens to discover the owner of these floppy disks.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces disquettes.,[!TR] Talk with Gravity Falls citizens to discover the owner of these floppy disks.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Floppy Disks gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estos disquetes.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di questi dischetti.,Bu disketlerin sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
80,472,Soos' floppies contain a love poem for Melody. His favorite line is “Roses are red. Ham is pink. I’ve really grown to like you I think.”,"Sur les disquettes de Mousse il y a un poème d’amour pour Melody : ""… Les roses sont roses. Le jambon est rose. Je pense à la tuberculose.""",[!TR] Soos' floppies contain a love poem for Melody. His favorite line is “Roses are red. Ham is pink. I’ve really grown to like you I think.”,"Soos' Floppy Disks enthalten ein Liebesgedicht. ""Rosen sind rot. Schinken ist von der Sau. Ich mag dich wirklich, genau.""","Los disquetes de Soos tienen un poema para Melody: ""Rosas rojas. Jamón salado. Creo que me gustas un puñado"".","Nei dischetti di Soos c'è un poema per Melody. ""La rosa è rossa, il prosciutto rosa è, io amo te"". ","Soos'un disketlerinde Melody için bir aşk şiiri var. En sevdiği dize: “Güller kırmızı, jambon pembe. Galiba sana fena tutulmuşum be.”"
81,474,Find and collect Wendy's lost cassette tapes.,Trouve les cassettes que Wendy a perdues et récupère-les.,[!TR] Find and collect Wendy's lost cassette tapes.,Finde und sammle Wendys verlorene Kassetten.,Encuentra y recoge los casetes perdidos de Wendy.,Trova e raccogli le cassette perdute di Wendy.,Wendy'nin kayıp kasetlerini bul ve topla.
82,475,Talk with Gravity Falls citizens to discover the owner of these cassettes.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces cassettes.,[!TR] Talk with Gravity Falls citizens to discover the owner of these cassettes.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Kassetten gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estos casetes.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di queste cassette.,Bu kasetlerin sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
83,476,"Wendy's cassettes include the songs “Splinter in My Soul,” “My Heart is Like a Scarf,” “Cray Cray,” and many more.","Sur les cassettes de Wendy il y a ""Mon âme en éclats"", ""Mon cœur est comme une écharpe"", ""Complètement zinzin"" etc.","[!TR] Wendy's cassettes include the songs “Splinter in My Soul,” “My Heart is Like a Scarf,” “Cray Cray,” and many more.","Auf Wendys Kassetten sind Lieder wie ""Splitter in meiner Seele"", ""Cray Cray"" und viele mehr.","Los casetes de Wendy incluyen: Astilla en mi alma, Mi corazón es una bufanda, Amore loco y muchas más.","Le cassette di Wendy contengono: ""Splinter in My Soul"", ""My Heart is Like a Scarf"", ""Cray, Cray"". ","Wendy'nin kasetlerinde “Ruhumda Kıymık”, “Kalbim Atkı Gibi”, “Deli-Deli” ve daha nice şarkı var."
84,481,Find and collect Waddles' lost pig snacks.,Trouve les en-cas que Waddles a perdus et récupère-les.,[!TR] Find and collect Waddles' lost pig snacks.,Finde und sammle Schwabbels verlorene Schweinesnacks.,Encuentra y recoge los aperitivos para cerdo de Bamboleos.,Trova e raccogli gli stuzzichini per maiali che Dondolo ha perduto.,Paytak'ın kayıp domuz atıştırmalıklarını bul ve topla.
85,482,Talk with Gravity Falls citizens to discover the owner of these pig snacks.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces en-cas.,[!TR] Talk with Gravity Falls citizens to discover the owner of these pig snacks.,"Sprich mit Einwohnern aus Gravity Falls, um herauszufinden, wem diese Schweinesnacks gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estos aperitivos de cerdo.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di questi stuzzichini per maiali.,Bu domuz atıştırmalıklarının sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
86,483,The secret ingredient in Waddles' pig snacks are leprecorn horn shavings.,L'ingrédient secret contenu dans les en-cas de Waddles : des copeaux de corne de Farfablé,[!TR] The secret ingredient in Waddles' pig snacks are leprecorn horn shavings.,"Die Geheimzutat in Schwabbels Schweinesnacks sind Leprecorn-
Hornstückchen.",El ingrediente secreto de los aperitivos de cerdo de Bamboleos son las virutas de cuerno de leprecornio.,L'ingrediente segreto degli stuzzichini di Dondolo è la polvere di corno di leprecorno.,Paytak'ın domuz atıştırmalıklarının gizli malzemesi leprekorna boynuzu talaşı.
87,484,Find and collect Robbie's lost lyrics.,Trouve les paroles que Robbie a perdues et récupère-les.,[!TR] Find and collect Robbie's lost lyrics.,Finde und sammle Robbies verlorene Songtexte.,Encuentra y recoge las letras de canciones de Robbie.,Trova e raccogli le strofe perdute di Robbie.,Robbie'nin kayıp şarkı sözlerini bul ve topla.
88,485,Talk with Gravity Falls citizens to discover the owner of these lyrics.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces paroles.,[!TR] Talk with Gravity Falls citizens to discover the owner of these lyrics.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Songtexte gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estas letras de canciones.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di queste strofe.,Bu şarkı sözlerinin sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
89,486,Robbie's secret song lyrics reveal: “I’m tortured from my secret shame. No one must learn my middle name: STACEY.”,"Le secret de la chanson de Robbie : ""Mon secret me titille. Car personne ne doit découvrir mon deuxième prénom, CAMILLE.""",[!TR] Robbie's secret song lyrics reveal: “I’m tortured from my secret shame. No one must learn my middle name: STACEY.”,"Robbies geheime Songtexte enthüllen Folgendes: ""Gequält von einer heimlichen Scham. Mein Zweitname: STACEY""","La canción secreta de Robbie revela: ""Mi secreto me avergüenza. Nadie sabe ""STACEY"", mi segundo nombre"".","Canzone segreta di Robbie: ""Nessuno lo saprà, il mio secondo nome un segreto rimarrà, STACEY.""",Robbie'nin gizli şarkı sözleri gerçeği açıklıyor: “Gizli utancım içimi kemirir. İkinci adımı kimse bilmemeli: STACEY.”
90,491,Find and collect Candy's lost Monster-Mon fanfic novels.,Trouve les romans de fanfiction de Monster-Mon que Candy a perdus et récupère-les.,[!TR] Find and collect Candy's lost Monster-Mon fanfic novels.,"Finde und sammle Candys verlorene Monstermon-Fanfic-
Romane.",Encuentra y recoge los fanfics de Monstermon perdidos de Candy.,Trova e raccogli le fanfiction sui Monster-Mon che Candy ha perduto.,Candy'nin kayıp Monster-Mon hayran romanlarını bul ve topla.
91,492,Talk with Gravity Falls citizens to discover the owner of these Monster-Mon fanfics.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces fanfictions de Monster-Mon.,[!TR] Talk with Gravity Falls citizens to discover the owner of these Monster-Mon fanfics.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Monstermon-Fanfic gehört.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estos fanfics de Monstermon.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di queste fanfiction sui Monster-Mon.,Bu Monster-Mon hayran hikâyelerinin sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
92,493,"Candy is the author of many Monster-Mon fanfic adventures, which feature Rocklet, Squirt-Boar, Electro-Lard and more!","Candy a écrit des fanfictions sur Monster-Mon, mettant en scène Rockodile, Sanglier minus, Électro-cochon et autres.","[!TR] Candy is the author of many Monster-Mon fanfic adventures, which feature Rocklet, Squirt-Boar, Electro-Lard and more!","Candy ist die Autorin vieler MonsterMon-
Fanfiction-
Abenteuer mit Rocklet, Strahl-Schwein und Elektro-Wurst!","Candy es la autora de historias sobre monstruos: ¡Minichoco!, ¡Al agua cerdos!, ¡Electromanteca! y más.","Candy scrive fanfiction sui Monster-Mon. I protagonisti sono: Rocklet, Squirt-Pork, Electro-Lard!","Candy, Taşçık, Su-Domuzu, Elektro-Yağ ve daha nicelerinin yer aldığı birçok Monster-Mon macerası yazıyor!"
93,494,Find and collect Grenda's lost dumbbells.,Trouve les haltères que Grenada a perdus et récupère-les.,[!TR] Find and collect Grenda's lost dumbbells.,Finde und sammle Grendas verlorene Hanteln.,Encuentra y recoge las mancuernas de Grenda.,Trova e raccogli i manubri perduti di Grenda.,Grenda'nın kayıp dambıllarını bul ve topla.
94,495,Talk with Gravity Falls citizens to discover the owner of these dumbbells.,Parle aux habitants de Gravity Falls pour découvrir à qui appartiennent ces haltères.,[!TR] Talk with Gravity Falls citizens to discover the owner of these dumbbells.,"Sprich mit Einwohnern von Gravity Falls, um herauszufinden, wem diese Hanteln gehören.",Habla con los habitantes de Gravity Falls para encontrar al dueño de estas mancuernas.,Parla con gli abitanti di Gravity Falls per scoprire il proprietario di questi manubri.,Bu dambılların sahibini bulmak için Esrarengiz Kasaba sakinleriyle konuş.
