index,id,en,fr,de,it,es,tr
20,0x0927A998,Enslaved Webslayer,Fendeur d'arantèles asservi,Versklavter Netzschlächter,Sfasciatele in schiavitù,Matatelas esclavizado,Köleleştirilmiş Ağkatili
21,0x094DEA8A,Winglord Thailog,"Thailog, le seigneur ailé",Schwingenlord Thailog,"Thailog, il signore alato",Señor alado Thailog,Kanat Lordu Thailog
22,0x094DEA8B,Winglord Xanor,"Xanor, le seigneur ailé",Schwingenlord Xanor,"Xanor, il signore alato",Señor alado Xanor,Kanat Lordu Xanor
23,0x094DEA8C,Winglord Nykorb,"Nykorb, le seigneur ailé",Schwingenlord Nykorb,"Nykorb, il signore alato",Señor alado Nykorb,Kanat Lordu Nykorb
24,0x094DEA8D,Winglord Nongixel,"Nongixel, le seigneur ailé",Schwingenlord Nongixel,"Nongixel, il signore alato",Señor alado Nongixel,Kanat Lordu Nongixel
25,0x094DEA8E,Winglord Yawdarb,"Yawdarb, le seigneur ailé",Schwingenlord Yawdarb,"Yawdarb, il signore alato",Señor alado Yawdarb,Kanat Lordu Yawdarb
26,0x094DEA8F,Winglord Nosduh,"Nosduh, le seigneur ailé",Schwingenlord Nosduh,"Nosduh, il signore alato",Señor alado Nosduh,Kanat Lordu Nosduh
27,0x094DEA90,Winglord Anomed,"Anomed, le seigneur ailé",Schwingenlord Anomed,"Anomed, il signore alato",Señor alado Anomed,Kanat Lordu Anomed
28,0x094DEA91,Winglord Sotanax,"Sotanax, le seigneur ailé",Schwingenlord Sotanax,"Sotanax, il signore alato",Señor alado Sotanax,Kanat Lordu Sotanax
29,0x094DEA92,Winglord Kup,"Kup, le seigneur ailé",Schwingenlord Kup,"Kup, il signore alato",Señor alado Kup,Kanat Lordu Kup
30,0x094DEA93,Winglord Alegna,"Alégna, le seigneur ailé",Schwingenlord Alegna,"Alegna, il signore alato",Señor alado Alegna,Kanat Lordu Alegna
31,0x094DEAA9,Winglord Yesdin,"Yesdin, le seigneur ailé",Schwingenlord Yesdin,"Yesdin, il signore alato",Señor alado Yesdin,Kanat Lordu Yesdin
32,0x094DEAAA,Winglord Sora,"Sora, le seigneur ailé",Schwingenlord Sora,"Sora, il signore alato",Señor alado Sora,Kanat Lordu Sora
33,0x094DEAAB,Winglord Egyol,"Egyol, le seigneur ailé",Schwingenlord Egyol,"Egyol, il signore alato",Señor alado Egyol,Kanat Lordu Egyol
34,0x09FBEA01,Fossil Golem,Golem fossilisé,Fossilgolem,Golem fossile,Gólem fósil,Fosil Golemi
35,0x0AC86365,DEV Quest Pickup NPC,Name_QuestCheat not localized.,Name_QuestCheat not localized.,Name_QuestCheat not localized.,Name_QuestCheat not localized.,DEV Görev NPC'si
36,0x0ACCE2DA,Deathchill Wraith,Spectre fulgurant,Todeshauch-Geist,Presenza del gelo mortale,Espectro frío mortífero,Ölüm Ayazı Tayfı
37,0x0B32DB71,Ickthid Scrapper,Bagarreur poissard,Ickthid-Schläger,Ickthide attaccabrighe,Ickthid luchador,Ickthid Kavgacısı
38,0x0C886657,Work Bench,Établi,Werkbank,Banco da lavoro,Mesa de trabajo,Çalışma Tezgâhı
39,0x0C97BB28,Bedside Chest,Coffre,Truhe,Scrigno accanto al letto,Cofre junto a la cama,Başucu Sandığı
40,0x0CB807AF,"Tyran Bloodstripe, Tibur Corsair","Tyran Squale-de-sang, le corsaire tiburien","Tyran Blutstreif, Tibur-Korsar","Tyran Sanguestriato, Tibur corsaro","Tyran Rayasangre, tibur corsario","Tyran Kanşerit, Tibur Korsanı"
41,0x0CB807B0,"Urik Bloodstripe, Tibur Corsair","Urik Squale-de-sang, le corsaire tiburien","Urik Blutstreif, Tibur-Korsar","Urik Sanguestriato, Tibur corsaro","Urik Rayasangre, tibur corsario","Urik Kanşerit, Tibur Korsanı"
42,0x0CB807B1,"Gulg Bloodstripe, Tibur Corsair","Gulg Squale-de-sang, le corsaire tiburien","Gulg Blutstreif, Tibur-Korsar","Gulg Sanguestriato, Tibur corsaro","Gulg Rayasangre, tibur corsario","Gulg Kanşerit, Tibur Korsanı"
43,0x0CB807B2,"Draj Bloodstripe, Tibur Corsair","Draj Squale-de-sang, le corsaire tiburien","Draj Blutstreif, Tibur-Korsar","Draj Sanguestriato, Tibur corsaro","Draj Rayasangre, tibur corsario","Draj Kanşerit, Tibur Korsanı"
44,0x0CB807B3,"Nibnay Bloodstripe, Tibur Corsair","Nibnay Squale-de-sang, le corsaire tiburien","Nibnay Blutstreif, Tibur-Korsar","Nibnay Sanguestriato, Tibur corsaro","Nibnay Rayasangre, tibur corsario","Nibnay Kanşerit, Tibur Korsanı"
45,0x0CB807B4,"Raam Bloodstripe, Tibur Corsair","Raam Squale-de-sang, le corsaire tiburien","Raam Blutstreif, Tibur-Korsar","Raam Sanguestriato, Tibur corsaro","Raam Rayasangre, tibur corsario","Raam Kanşerit, Tibur Korsanı"
46,0x0CB807B5,"Balic Bloodstripe, Tibur Corsair","Balic Squale-de-sang, le corsaire tiburien","Balic Blutstreif, Tibur-Korsar","Balic Sanguestriato, Tibur corsaro","Balic Rayasangre, tibur corsario","Balic Kanşerit, Tibur Korsanı"
47,0x0CB807B6,"Urdrax Bloodstripe, Tibur Corsair","Urdrax Squale-de-sang, le corsaire tiburien","Urdrax Blutstreif, Tibur-Korsar","Urdrax Sanguestriato, Tibur corsaro","Urdrax Rayasangre, tibur corsario","Urdrax Kanşerit, Tibur Korsanı"
48,0x0CB807B7,"Kurn Bloodstripe, Tibur Corsair","Kurn Squale-de-sang, le corsaire tiburien","Kurn Blutstreif, Tibur-Korsar","Kurn Sanguestriato, Tibur corsaro","Kurn Rayasangre, tibur corsario","Kurn Kanşerit, Tibur Korsanı"
49,0x0CB807B8,"Eldraach Bloodstripe, Tibur Corsair","Eldraach Squale-de-sang, le corsaire tiburien","Eldraach Blutstreif, Tibur-Korsar","Eldraach Sanguestriato, Tibur corsaro","Eldraach Rayasangre, tibur corsario","Eldraach Kanşerit, Tibur Korsanı"
50,0x0CB807CE,"Dasknor Bloodstripe, Tibur Corsair","Dasknor Squale-de-sang, le corsaire tiburien","Dasknor Blutstreif, Tibur-Korsar","Dasknor Sanguestriato, Tibur corsaro","Dasknor Rayasangre, tibur corsario","Dasknor Kanşerit, Tibur Korsanı"
51,0x0CB807CF,"Kaliday Bloodstripe, Tibur Corsair","Kaliday Squale-de-sang, le corsaire tiburien","Kaliday Blutstreif, Tibur-Korsar","Kaliday Sanguestriato, Tibur corsaro","Kaliday Rayasangre, tibur corsario","Kaliday Kanşerit, Tibur Korsanı"
52,0x0CB807D0,"Bodach Bloodstripe, Tibur Corsair","Bodach Squale-de-sang, le corsaire tiburien","Bodach Blutstreif, Tibur-Korsar","Bodach Sanguestriato, Tibur corsaro","Bodach Rayasangre, tibur corsario","Bodach Kanşerit, Tibur Korsanı"
53,0x0D793251,Potion Shelf,Étagère à potions,Trankregal,Scaffale delle pozioni,Estante de pociones,İksir Rafı
54,0x0E10B231,Skeleton Infantryman,Fantassin squelette,Skelettierter Infanterist,Scheletro di fanteria,Esqueleto de infantería,İskelet Piyade
55,0x0E4692AB,Amber Golem,Golem d'ambre,Bernsteingolem,Golem d'ambra,Gólem de ámbar,Kehribar Golemi
56,0x0E4AC4B2,Primal Hulk,Mastodonte archéen,Urhulk,Primeva colosso,Primario enorme,Kadim Dev
57,0x0E7CA5FF,Trapjaw,Braco,Klappmaul,Mascella di ferro,Mandíbulas,Kapançene
58,0x0F659AAF,Rune of Command,Rune de domination,Rune des Kommandos,Runa del comando,Runa de mando,Buyruk Rünü
59,0x106424CA,Bewitching Imp,Diablotin envoûtant,Betörender Kobold,Folletto incantatore,Diablillo cautivador,Büyüleyici Şeytancık
60,0x10D24F1E,Firebane Wraith,Spectre fléau-de-feu,Feuerfluch-Geist,Presenza fiammeggiante,Espectro fuegomaldito,Ateşbelası Tayfı
61,0x10DA477B,Prince Adrian,Prince Adrian,Prinz Adrian,Principe Adrian,Príncipe Adrian,Prens Adrian
62,0x10FAD623,Support Pillar,Pilier de soutien,Stützsäule,Pilastro di supporto,Pilar de apoyo,Destek Sütunu
63,0x10FC4610,Renald the Bandit,Rénald le brigand,"Renald, der Bandit",Renald il bandito,Renald el bandido,Haydut Renald
64,0x121D77F3,Savage,Sauvage,Barbar,Selvaggio,Salvaje,Vahşi
65,0x125E7563,Badger,Baroudeur,Dachs,Tasso,Tejón,Porsuk
66,0x126A2C3E,Webslayer,Fendeur d'arantèles,Netzschlächter,Sfasciatele,Matatelas,Ağkatili
67,0x126D7CA0,Webslicer,Tailleur d'arantèles,Netzschlitzer,Fenditele,Cortatelas,Ağbiçen
68,0x1275D8CB,Fey Wisp,Feu follet mignard,Feen-Irrlicht,Fuoco fatuo stravagante,Fatuo feérico,Peri Işığı
69,0x12A4E4A4,Skewer Devil,Diable embrocheur,Spießteufel,Diavolo impalatore,Diablo empalador,Şişleyen İblis
70,0x12B678D9,Warding Crystal - Destroy all to remove the Barrier,Cristal de protection : détruisez-les tous pour désactiver le champ de force.,"Schutzkristall - Zerstöre alle, um die Barriere zu entfernen",Cristallo difensivo - Distruggili tutti per rimuovere la barriera,Cristal protector: destrúyelos todos para quitar la barrera,Koruma Kristali - Bariyeri kaldırmak için hepsini yok et
71,0x13242104,Pedantic Laborer,Ouvrier pointilleux,Pedantischer Arbeiter,Lavoratore pedante,Trabajador pedante,Kılı Kırk Yaran İşçi
72,0x13E84467,Heart of the Void,L'Œil du Néant,Herz des Nichts,Cuore del Vuoto,Corazón del Vacío,Boşluğun Kalbi
73,0x1511755D,Chilly Ghoul,Goule de givre,Unterkühlter Ghul,Ghoul freddo,Necrófago frío,Ayaz Gulyabani
74,0x151496C4,Glacier Golem,Golem des glaciers,Gletschergolem,Golem dei ghiacciai,Gólem glacial,Buzul Golemi
75,0x15A78F12,Shimmering Wisp,Feu follet étincelant,Flirrendes Irrlicht,Fuoco fatuo lucente,Fatuo brillante,Parıldayan Işık Ruhu
76,0x15A7A4B5,Wolf Mongrel,Loup bâtard,Wolfsmischling,Lupo meticcio,Mestizo de lobo,Kırma Kurt
77,0x15ED9838,Gargoyle Bruiser,Cogneur gargouille,Gargylen-Rabauke,Gargoyle potente,Gárgola pegadora,Gargoyle Kavgacısı
78,0x166ED334,Katrina,Katrina,Katrina,Katrina,Katrina,Katrina
79,0x17CFF628,Fiendish Door,Porte diabolique,Teuflisches Tor,Porta demoniaca,Puerta diabólica,Şeytani Kapı
80,0x182AC54F,Daydreaming Common Woman,Citoyenne songeuse,Tagträumende Frau,Donna comune sognatrice,Mujer soñadora,Hayalperest Halktan Kadın
81,0x18AF1603,Celdria the Ensnared,Celdria l'envoûtée,"Celdria, die Gefangene",Celdria l'irretita,Celdria la enredada,Tuzağa Düşmüş Celdria
82,0x190535E0,Primal Ravager,Ravageur archéen,Urverwüster,Primeva devastatore,Primario devastador,Kadim Yıkıcı
83,0x19B64665,Goblin Trapper,Pisteur gobelin,Goblin-Fallensteller,Goblin cacciatore,Goblin trampero,Goblin Tuzakçısı
84,0x1A0108B1,Festus Mantid,Mante purulente,Festus-Mantid,Mantide fetida,Mántido festus,Festus Mantid
85,0x1A0108B2,Phystis Mantid,Mante commune,Phystis-Mantid,Mantide lurida,Mántido fistis,Phystis Mantid
86,0x1A0108B3,Swarm Mantid,Mante d'essaim,Schwarm-Mantid,Mantide dello sciame,Mántido enjambre,Sürü Mantid
87,0x1A0108B4,Plague Mantid,Mante de la peste,Plagen-Mantid,Mantide del contagio,Mántido plaga,Veba Mantid
88,0x1A0108B5,Ravage Mantid,Mante du ravage,Verwüster-Mantid,Mantide della devastazione,Mántido destructor,Yıkım Mantid
89,0x1A0108B6,Bane Mantid,Mante du fléau,Unheils-Mantid,Mantide del flagello,Mántido maldito,Felaket Mantid
90,0x1A0108B7,Blight Mantid,Mante de la déchéance,Pest-Mantid,Mantide della piaga,Mántido malogrado,Çürüme Mantid
91,0x1A0108B8,Scourge Mantid,Mante de la malédiction,Geißel-Mantid,Mantide della rovina,Mántido azote,Kırbaç Mantid
92,0x1A0108B9,Anathema Mantid,Mante de l'anathème,Gräuel-Mantid,Mantide dell'anatema,Mántido anatema,Anatema Mantid
93,0x1A0108BA,Agony Mantid,Mante de l'agonie,Agonie-Mantid,Mantide dell'agonia,Mántido agonía,Istırap Mantid
94,0x1A0108D0,Pain Mantid,Mante de la douleur,Schmerz-Mantid,Mantide del dolore,Mántido dolor,Acı Mantid
95,0x1A0108D1,Curserot Mantid,Mante de la putréfaction,Fluchfäule-Mantid,Mantide della maledizione,Mántido maldición podrida,Çürük Lanet Mantid
96,0x1A0108D2,Razorgouge Mantid,Mante matriarcale,Messermeißel-Mantid,Mantide del rasoio storto,Mántido arrancador,Jiletoyar Mantid
97,0x1A23E2B8,"Kirack, the Shambling Blight","Kirack, la Putréfaction ambulante","Kirack, der torkelnde Pesthauch","Kirack, la piaga urticante","Kirack, la maldición que camina","Kirack, Yürüyen Çürüme"
98,0x1A23E2B9,"Sinistralas, Soul of Woe","Sinistralas, l'Âme du malheur","Sinistralas, Seele des Kummers","Sinistralas, anima del dolore","Sinistralas, alma del dolor","Sinistralas, Kederin Ruhu"
99,0x1A23E2BA,"Cintishyn, the Jagged Heart","Cintishyn, le Cœur déchiré","Cintishyn, das gebrochene Herz","Cintishyn, il cuore infranto","Cintishyn, corazón ajado","Cintishyn, Paramparça Kalp"
100,0x1A23E2BB,"Brinmorta, Shield of Exiles","Brinmorta, le Bouclier des exilés","Brinmorta, Schild der Vertriebenen","Brinmorta, scudo degli esiliati","Brinmorta, escudo de los exiliados","Brinmorta, Sürgünlerin Kalkanı"
101,0x1A23E2BC,"Gentrian, the Dreambreaker","Gentrian, le Briseur de rêves","Gentrian, der Traumbrecher","Gentrian, la fine dei sogni","Gentrian, el rompesueños","Gentrian, Düşkıran"
102,0x1A23E2BD,"Vermartas, the Hollow","Vermartas, le Caverneux","Vermartas, der Hohle","Vermartas, l'ingannevole","Vermartas, el hueco","Vermartas, İçi Boş"
103,0x1A23E2BE,"Hyron, Baron of Sorrow","Hyron, le Baron de la peine","Hyron, Baron der Trauer","Hyron, barone del tormento","Hyron, barón de la pena","Hyron, Keder Baronu"
104,0x1A23E2BF,"Galadrift, the Ever-Mourning","Galadrift, le Geignard incessant","Galadrift, der Klagende","Galadrift, sempre in lutto","Galadrift, el luto eterno","Galadrift, Ebedî Yaslı"
105,0x1A23E2C0,"Palanias, Armor of Strife","Palanias, l'Armure des querelles","Palanias, Recke des Zanks","Palanias, corazza del litigio","Palanias, armadura de la disputa","Palanias, Çatışma Zırhı"
106,0x1A23E2C1,"Jainati, the Whispering Death","Jainati, la Mort insidieuse","Jainati, der flüsternde Tod","Jainati, la morte sussurrante","Jainati, la muerte susurrante","Jainati, Fısıldayan Ölüm"
107,0x1A23E2D7,"Vyronela, the Terror Blade","Vyronela, la Lame de l'horreur","Vyronela, die Schreckensklinge","Vyronela, la lama del terrore","Vyronela, la cuchilla del terror","Vyronela, Dehşet Kılıcı"
108,0x1A23E2D8,"Malacharis, Duke of Rot","Malacharis, le Duc de la corruption","Malacharis, Herzog der Verwesung","Malacharis, duca della putrefazione","Malacharis, duque de la podredumbre","Malacharis, Çürüme Dükü"
109,0x1A23E2D9,"Ilichrois, Waker of Corpses","Ilichrois, le Veilleur des morts","Ilichrois, Erwecker der Leichen","Ilichrois, rianimatore di cadaveri","Ilichrois, alzador de cadáveres","Ilichrois, Ceset Uyandıran"
110,0x1A390158,Angered Wraith,Spectre courroucé,Wütender Geist,Presenza infuriata,Espectro furioso,Öfkeli Tayf
111,0x1A43A378,White Eye,Pâlœil,Weißauge,Occhiobianco,Ojo Blanco,Ak Göz
112,0x1AC618EF,Feral Wisp,Feu follet sauvage,Wildes Irrlicht,Fuoco fatuo selvaggio,Fatuo feral,Yabani Işık Ruhu
113,0x1B05C08D,Necroblaze Ghoul,Goule nécroardente,Nekrobrand-Ghul,Ghoul necroardente,Necrófago necrofuego,Ölüalev Gulyabani
114,0x1B28C759,Geyser,Geyser,Geysir,Geyser,Géiser,Gayzer
115,0x1B78F581,Fironel,Fironelle,Fironel,Fironel,Fironel,Fironel
116,0x1B83C61A,Fishguts,Éventreur,Fischinnereien,Frattaglie,Entrañas,Balıkbağırsak
117,0x1B8D6844,Ashura of Scorn,Asura du mépris,Ashura des Hohns,Ashura del disprezzo,Ashura del desprecio,Küçümsemenin Ashurası
118,0x1BAB240B,Goblin,Gobelin,Goblin,Goblin,Goblin,Goblin
119,0x1BC36EEC,Pheromone Gland,Glande odoriférante,Pheromondrüse,Ghiandola di feromone,Glándulas de feromonas,Feromon Bezi
120,0x1BFFEADA,The Jailor,Le Geôlier,Der Kerkermeister,Il carceriere,El carcelero,Gardiyan
121,0x1C89AA63,Goblin Snatcher,Détrousseur gobelin,Goblin-Dieb,Goblin scippatore,Goblin secuestrador,Goblin Kapkaççısı
122,0x1CD8B4B0,Infernal Imp,Diablotin des enfers,Infernalkobold,Folletto infernale,Diablillo infernal,Cehennem Şeytancığı
123,0x1D120D78,Goblin Drillbore,Foreur gobelin,Goblin-Bohrer,Goblin trivellatore,Goblin taladrador,Goblin Delgici
124,0x1D7D7E9C,Simple Guardsman,Garde royal aimable,Einfacher Wachmann,Guardia semplice,Guardia simple,Sıradan Muhafız
125,0x1D8E93F8,Thieving Imp,Diablotin chapardeur,Diebischer Kobold,Folletto ladro,Diablillo ladrón,Hırsız Şeytancık
126,0x1D99A647,Spellbook,Grimoire,Zauberbuch,Libro magico,Grimorio,Büyü Kitabı
127,0x1DBA1BB4,Hunter,Chasseur,Jäger,Cacciatore,Cazador,Avcı
128,0x1DF9D675,Abyssal Fiend,Démon abyssal,Abyssischer Unhold,Spirito maligno degli abissi,Demonio abisal,Uçurum İblisi
129,0x1E015CF5,Goblin Clobbergut,Bastonneur gobelin,Goblin-Hauer,Goblin picchiatore,Goblin aporreador,Goblin Tokmakçısı
130,0x1E3DDB72,Soul Imp,Diablotin des âmes,Seelenkobold,Folletto dell'anima,Diablillo de alma,Ruh Şeytancığı
131,0x1E9E5071,Workshop - Press {{0xE004}} to Begin Search,Laboratoire : appuyez sur {{0xE004}} pour commencer la recherche.,"Werkstatt - {{0xE004}} drücken, um mit Suche zu beginnen",Laboratorio - Premi {{0xE004}} per iniziare a cercare,Taller. Pulsa {{0xE004}} para empezar a buscar.,Atölye - Aramaya başlamak için {{0xE004}} tuşuna bas
132,0x1F058C28,Silly Flower Girl,Fleuriste insouciante,Dummes Blumenmädchen,Fioraia frivola,Florista tontuela,Saf Çiçekçi Kız
133,0x1F6BE307,Goblin Medic,Médecin gobelin,Goblin-Medicus,Goblin medico,Goblin médico,Goblin Sıhhiyecisi
134,0x2015C1D5,Strange Illusions,Illusions étranges,Seltsame Illusion,Strane illusioni,Extrañas ilusiones,Garip Yanılsamalar
135,0x2033FDD2,Webspinner,Tissarantèle,Netzspinner,Tessitele,Tejedor,Ağören
136,0x213595D6,Dredge Ghoul,Goule languissante,Schreckensghul,Ghoul di palude,Necrófago de la ciénaga,Bataklık Gulyabani
137,0x215110E6,Soulmourn Wraith,Spectre désespéré,Seelenleid-Geist,Presenza mortifera,Espectro alma doliente,Yaslı Ruh Tayfı
138,0x21CD9D54,Ghostly Guide,Guide spectral,Geisterhafter Führer,Guida spettrale,Guía fantasmal,Hayalet Rehber
139,0x22277126,Captured Sailor,Marin captif,Gefangener Seemann,Marinaio catturato,Marinero capturado,Tutsak Denizci
140,0x227A7AB3,Frenzyfang Tibur,Tiburien mordicant,Rauschzahn-Tibur,Tibur zanna gelida,Tibur colmillo frenético,Çılgındiş Tibur
141,0x22C78DBE,Primal Fangbeast,Archéen crochu,Ur-Fangbestie,Primeva del dente,Primario dientes,Kadim Dişyaratık
142,0x22C78DBF,Primal Mossbeast,Archéen moussu,Ur-Moosbestie,Primeva del muschio,Primario musgo,Kadim Yosunyaratık
143,0x22C78DC0,Primal Warrenbeast,Archéen des landes,Ur-Gewirrbestie,Primeva del labirinto,Primario madriguera,Kadim İn Yaratığı
144,0x22C78DC1,Primal Nestbeast,Archéen nicheur,Ur-Nestbestie,Primeva del nido,Primario nido,Kadim Yuva Yaratığı
145,0x22C78DC2,Primal Clawbeast,Archéen griffu,Ur-Klauenbestie,Primeva dell'artiglio,Primario zarpa,Kadim Pençeyaratık
146,0x22C78DC3,Primal Spinebeast,Archéen à crête,Ur-Dornbestie,Primeva dell'aculeo,Primario púa,Kadim Dikenyaratık
147,0x22C78DC4,Primal Underbeast,Archéen inférieur,Ur-Tiefenbestie,Primeva del sottosuolo,Primario subterráneo,Kadim Derinlik Yaratığı
148,0x22C78DC5,Primal Tuskbeast,Archéen à défenses,Ur-Hauerbestie,Primeva della zanna,Primario colmillos,Kadim Fildişi Yaratığı
149,0x22C78DC6,Primal Shiverbeast,Archéen frissonnant,Ur-Schauderbestie,Primeva del brivido,Primario escalofrío,Kadim Ürperti Yaratığı
150,0x22C78DC7,Primal Charbeast,Archéen brasillant,Ur-Kohlenbestie,Primeva del carbone,Primario carbonilla,Kadim Közyaratık
151,0x22C78DDD,Primal Bilebeast,Archéen bilieux,Ur-Gallenbestie,Primeva della rabbia,Primario bilis,Kadim Safrayaratık
152,0x22C78DDE,Primal Talonbeast,Archéen à serres,Ur-Krallenbestie,Primeva del graffio,Primario garra,Kadim Tırnakyaratık
153,0x22C78DDF,Primal Tremorbeast,Archéen tonitruant,Ur-Zitterbestie,Primeva del tremore,Primario terremoto,Kadim Sarsıntı Yaratığı
154,0x22E0E54F,Colossal Frost Golem,Golem de givre colossal,Kolossaler Frostgolem,Golem ghiacciato colossale,Gólem de escarcha colosal,Devasa Buz Golemi
155,0x23EFFE35,Gargoyle Bladewing,Trancheur gargouille,Gargylen-Klingenflügel,Gargoyle ventolama,Gárgola alacuchilla,Gargoyle Kılıçkanat
156,0x2449F6CE,Arcane Magic,Magie des arcanes,Arkane Magie,Magia arcana,Magia arcana,Gizemli Büyü
157,0x24989F42,Solon,Solon,Solon,Solon,Solon,Solon
158,0x24C19127,Eccentric Merchant,Marchand excentrique,Exzentrischer Händler,Mercante eccentrico,Mercader excéntrico,Tuhaf Tüccar
159,0x253C59A2,Devilclaw Crab,Crabe démoniaque,Teufelsklauen-Krabbe,Granchio demoniaco,Cangrejo tenaza diabólica,Şeytanpençe Yengeci
160,0x25855EFD,Bone Brother,Frère d'os,Knochenbruder,Fratello d'osso,Hermano de hueso,Kemik Kardeş
161,0x25A10E60,Frosty Imp,Diablotin des neiges,Frostkobold,Folletto congelato,Diablillo helado,Ayaz Şeytancık
162,0x25AF25E1,Rime Imp,Diablotin de givre,Reifkobold,Folletto poeta,Diablillo de escarcha,Kırağı Şeytancığı
163,0x25AFBD1D,Unholy Ward,Bouclier sacrilège,Unheiliger Schutz,Barriera empia,Sello impío,Kutsal Olmayan Mühür
164,0x25BD3D62,Polar Imp,Diablotin polaire,Polarkobold,Folletto polare,Diablillo polar,Kutup Şeytancığı
165,0x25C90943,Ickthid Bulwark,Gaillard poissard,Ickthid-Bollwerk,Ickthide baluardo,Baluarte de ickthids,Ickthid Siperi
166,0x25D96C64,Frosty-Eared Imp,Diablotin aux oreilles glacées,Frostohr-Kobold,Folletto dalle orecchie gelide,Diablillo orejas heladas,Buzkulak Şeytancık
167,0x25E783E5,Rime Imp,Diablotin de givre,Reifkobold,Folletto poeta,Diablillo de escarcha,Kırağı Şeytancığı
168,0x26C0D90B,Goblin Arcanomancer,Arcanomancien gobelin,Goblin-Arkanomant,Goblin arcanomante,Goblin arcanomante,Goblin Arkanomansı
169,0x26F13241,Ironclaw Crab,Crabe-tenaille,Eisenklauen-Krabbe,Granchio chele di ferro,Cangrejo tenaza de hierro,Demirpençe Yengeci
170,0x27CA64C6,Tentacle,Tentacule,Tentakel,Tentacolo,Tentáculo,Dokunaç
171,0x28445FB0,Royal Imp,Diablotin royal,Königskobold,Folletto reale,Diablillo real,Kraliyet Şeytancığı
172,0x2898166E,"Sharptooth, Dire Rexaur","Pikro, le sinistre Rexaure","Scharfzahn, Düster-Rexaur","Sharptooth, Rexauro spaventoso","Colmillofiloso, rexaurio terrible","Keskin Diş, Korkunç Rexaur"
173,0x2898166F,"Bloodfang, Dire Rexaur","Croc-de-sang, le sinistre Rexaure","Blutfang, Düster-Rexaur","Bloodfang, Rexauro spaventoso","Colmillosangre, rexaurio terrible","Kan Dişi, Korkunç Rexaur"
174,0x28981670,"Vilejaw, Dire Rexaur","Vilcro, le sinistre Rexaure","Ekelrachen, Düster-Rexaur","Vilejaw, Rexauro spaventoso","Mandibulavil, rexaurio terrible","İğrenç Çene, Korkunç Rexaur"
175,0x28981671,"Razorfang, Dire Rexaur","Dent-de-sabre, le sinistre Rexaure","Messerfang, Düster-Rexaur","Razorfang, Rexauro spaventoso","Colmillonavaja, rexaurio terrible","Jilet Diş, Korkunç Rexaur"
