index,id,en,fr,de,it,es,tr
11,0x020B2BAA,"Don't you see? The crystal holds great power, but that power is still raw. It must be #0x98B7D4FF#refined#PREVIOUS# into a useable form. #0x98B7D4FF#The Heart of the Void#PREVIOUS#, deep within the ruined Soul Void chambers, has a font we could use.","Le pouvoir du cristal est à l'état brut. Nous devons le #0x98B7D4FF#façonner#PREVIOUS#. L'#0x98B7D4FF#Œil du Néant#PREVIOUS#, qui se trouve au plus profond des galeries dévastées du Néant des âmes, renferme une vasque sacrée que nous pourrions utiliser.","Seht Ihr es nicht? Der Kristall birgt große Macht, aber diese Macht ist noch roh. Sie muss zu einer nutzbaren Form #0x98B7D4FF#veredelt#PREVIOUS# werden. Im #0x98B7D4FF#Herz des Nichts#PREVIOUS#, tief in den zerstörten Kammern des Nichts, gibt es ein Becken, das wir dazu benutzen könnten.","Non capisci? Il cristallo racchiude un grande potere, ma è un potere ancora grezzo. Dev'essere #0x98B7D4FF#raffinato#PREVIOUS# perché si possa usare. #0x98B7D4FF#Il Cuore del Vuoto#PREVIOUS#, nelle profondità delle camere in rovina del Vuoto dell'anima, nasconde una fonte che possiamo usare.","¿No lo ves? El cristal tiene un gran poder, pero es un poder en bruto. Hay que #0x98B7D4FF#refinarlo#PREVIOUS# en una forma que se pueda usar. En el #0x98B7D4FF#Corazón del vacío#PREVIOUS#, en lo más profundo de las cámaras en ruinas de Vacío de las Almas, hay una fuente que podemos usar.",Anlamıyor musun? Kristal muazzam bir güç taşıyor ama bu güç hâlâ ham. Kullanılabilir hâle gelmesi için #0x98B7D4FF#arıtılması#PREVIOUS# gerekiyor. Yıkık Ruh Boşluğu odalarının derinlerindeki #0x98B7D4FF#Boşluğun Kalbi#PREVIOUS#'nde kullanabileceğimiz bir kaynak var.
12,0x02239586,I'm furious about the missing ships. I've lost three deliveries to the pirates already!,Toutes ces disparitions de bateaux sont insupportables. Cela fait déjà trois fois que les pirates me volent mes marchandises !,Ich mache mir Sorgen wegen der verschwundenen Schiffe. Ich habe schon drei an die Piraten verloren.,Le navi scomparse sono una cosa intollerabile. I pirati mi sono già costati tre spedizioni!,Los barcos desaparecidos me ponen furioso. ¡Los piratas ya me han hecho perder tres cargamentos!,Kayıp gemiler yüzünden öfkeden deliye dönüyorum. Korsanlar yüzünden şimdiden üç sevkiyatımı kaybettim!
13,0x02239587,"They say the leviathan is destroyed, but can you really be sure?",Ils prétendent que le Léviathan a été terrassé... mais en est-on vraiment sûr ?,"Es heißt, der Leviathan ist zerstört, aber kann das sein?","Dicono che il leviatano è stato distrutto, ma come fanno a esserne certi?","Dicen que han destruido al leviatán, ¿pero cómo podemos estar seguros?",Leviathan'ın yok edildiğini söylüyorlar ama gerçekten emin olabilir misin?
14,0x02239588,"You must already know this, but the Tibur are still attacking ships. Why doesn't someone end it once and for all?","Vous devez déjà être au courant, mais les Tiburiens continuent de s'en prendre à nos navires. Pourquoi ne fait-on rien pour les arrêter une fois pour toutes ?","Ihr wisst es wohl schon, aber die Tibur entern noch immer unsere Schiffe. Wann legt ihnen endlich jemand das Handwerk?","Probabilmente lo sai di già, ma i Tibur continuano ad assaltare le navi. Perché qualcuno non risolve il problema una volta per tutte?","Seguramente ya lo sabes, pero los tiburs todavía atacan a los barcos. ¿Por qué no hace alguien algo para detenerlos?",Bunu zaten biliyorsundur ama Tiburlar hâlâ gemilere saldırıyor. Neden biri bu işi kökünden bitirmiyor?
15,0x02239589,I'll sleep better at night knowing our Ruinlord is well! Thank you!,"Je vais enfin pouvoir dormir sur mes deux oreilles, maintenant que notre cher seigneur de Ruin est guéri ! Merci !","Ich schlafe gleich viel besser, wenn der Ruinlord wohlauf ist! Danke!","Ora che so che il nostro Signore della rovina è salvo, dormirò più tranquillo. Grazie!","¡Ahora que sé que nuestro Señor de la Ruina está bien, dormiré mejor esta noche! ¡Gracias!",Yıkım Lordumuzun iyi olduğunu bilince geceleri daha rahat uyuyacağım! Teşekkürler!
16,0x023C6794,And this affects me how?,Et en quoi cela me concerne-t-il exactement ?,Und was hat das mit mir zu tun?,E io che c'entro?,¿Y cómo me afecta eso?,Peki bunun beni ilgilendiren kısmı ne?
17,0x026BABBC,Why do the bandits want you to create monsters?,Pourquoi ces brigands vous forçaient-il à créer des monstres pour eux ?,"Weshalb wollen die Banditen, dass Ihr Monster erschafft?",Perché i banditi vogliono che crei dei mostri?,¿Por qué querían los bandidos que creases monstruos?,Haydutlar neden senden canavar yaratmanı istiyor?
18,0x026BABBD,No. I'm sure there's more to it than that.,"Mmh... À mon avis, cela cache quelque chose de plus complexe.","Nein. Ich bin sicher, da steckt mehr dahinter.","No. Dev'esserci dell'altro dietro, me lo sento.",No. Seguro que hay algo más.,Hayır. Bundan fazlası olduğuna eminim.
19,0x028E13CF,It's true. But it was worth it. Here's Ataraxis's map.,"En effet, mais cela en valait la peine. Voici la carte d'Ataraxis.",Das ist wahr. Aber es hat sich gelohnt. Hier ist Ataraxis' Karte.,"È vero, ma ne è valsa la pena. Ecco la mappa di Ataraxis.",Es cierto. Pero ha valido la pena. Aquí está el mapa de Ataraxis.,Doğru. Ama buna değdi. İşte Ataraxis'in haritası.
20,0x03019B17,All right.,Très bien.,Also gut.,D'accordo.,De acuerdo.,Pekâlâ.
21,0x03571FDB,"You find a key in the debris. Wrapped around the key is a scrap of paper which reads, #0x98B7D4FF#""In a room where eight giants stand guard all around, find the last key at hour three, close to the ground.""#PREVIOUS#","Vous trouvez une clef dissimulée parmi les débris. Elle est entourée d'un morceau de papier sur lequel est écrit : #0x98B7D4FF#""Dans une chambre où huit géants, en cercle, font le guet, la dernière clef à trois heures, au sol, vous trouverez.""#PREVIOUS#","Du findest einen Schlüssel in den Trümmern. Dieser ist in ein Blatt Papier eingewickelt, auf dem steht: #0x98B7D4FF#""An einem Ort, wo acht Riesen Wache stehen, ist der letzte Schlüssel zur dritten Stunde am Boden zu sehen.""#PREVIOUS#","Trovi una chiave tra i detriti, avvolta in un pezzo di carta che riporta questa scritta: #0x98B7D4FF#""L'ultima chiave si trova a ore tre vicino al terreno, in una stanza sorvegliata da otto giganti""#PREVIOUS#.","Encuentras una llave en los restos. Hay un trozo de papel alrededor de la llave que dice: #0x98B7D4FF#""Busca una sala con ocho guardianes gigantes. Cerca del suelo y a las tres en punto la última llave encontrarás"".#PREVIOUS#","Enkazın arasında bir anahtar buluyorsun. Anahtarın etrafına sarılmış kâğıt parçasında şu yazıyor: #0x98B7D4FF#“Sekiz devin dört bir yanı beklediği odada, son anahtarı saat üç yönünde, yere yakın yerde bul.”#PREVIOUS#"
22,0x03577835,So where is your daughter being held?,Où gardent-ils votre fille ?,Und wo hält man Eure Tochter fest?,Dov'è tenuta prigioniera tua figlia?,¿Dónde tienen a tu hija?,Peki kızını nerede tutuyorlar?
23,0x037ACD37,"Excellent! There are elven golems still active in #0x98B7D4FF#the Forsaken Grove#PREVIOUS#. If you could retrieve #0x98B7D4FF#five amber cores#PREVIOUS#, it would make all the difference to my studies!","Magnifique ! Il reste des Golems elfiques dans le #0x98B7D4FF#Bosquet oublié#PREVIOUS#. Si vous pouviez me rapporter #0x98B7D4FF#cinq cœurs d'ambre#PREVIOUS#, vous donneriez un sacré coup de pouce à mes recherches !","Ausgezeichnet! Im #0x98B7D4FF#verlassenen Hain#PREVIOUS# gibt es immer noch aktive Elfengolems. Wenn Ihr mir #0x98B7D4FF#fünf Bernsteinkerne#PREVIOUS# besorgt, würde das meine Studien deutlich erleichtern.",Eccellente! Ci sono golem elfici ancora attivi nel #0x98B7D4FF#Boschetto dimenticato#PREVIOUS#. Vai là e recupera #0x98B7D4FF#cinque nuclei d'ambra#PREVIOUS#... potrebbero essere fondamentali per i miei studi!,"¡Excelente! Todavía hay gólems de los elfos activos en #0x98B7D4FF#la Arboleda Maldita#PREVIOUS#. ¡Si puedes conseguir #0x98B7D4FF#cinco núcleos de ámbar#PREVIOUS#, sería estupendo para mis estudios!",Harika! #0x98B7D4FF#Terk Edilmiş Koruluk#PREVIOUS#'ta hâlâ çalışan elf golemleri var. #0x98B7D4FF#Beş kehribar çekirdeği#PREVIOUS# getirirsen araştırmalarım için çok büyük fark yaratır!
24,0x0383EEC1,"The Heart of the Void lies before you, but its incredible power appears to be guarded. The sorcerers of Nexus will have added their own security. You will need to find some means of #0x98B7D4FF#disabling the wards#PREVIOUS# in order to use the font to energize the crystal.",Devant vous se trouve l'Œil du Néant. Son incroyable pouvoir est cependant farouchement gardé. Les sorciers de Nexus ont mis en place leurs propres sorts de protection. Vous allez devoir trouver un moyen de #0x98B7D4FF#désactiver ces champs de force#PREVIOUS# pour accéder à la vasque sacrée et activer le cristal.,"Das Herz des Nichts liegt vor dir, aber seine unglaubliche Macht scheint bewacht zu werden. Die Zauberer von Nexus wollten wohl auf Nummer sicher gehen. Du musst #0x98B7D4FF#die Schutzvorrichtungen deaktivieren#PREVIOUS#, um das Becken zu benutzen und den Kristall aufzuladen.","Dinanzi a te si trova il Cuore del Vuoto, ma pare che il suo incredibile potere sia stato posto sotto sorveglianza. I maghi di Nexus avranno aggiunto delle protezioni. Dovrai trovare un modo per #0x98B7D4FF#disattivare le difese#PREVIOUS# prima di poter usare la fonte per energizzare il cristallo.","El Corazón del vacío yace ante ti, pero su increíble poder parece estar protegido. Los hechiceros de Nexus habrán puesto medidas de seguridad. Tendrás que encontrar algún modo de #0x98B7D4FF#desactivar los hechizos#PREVIOUS# para poder usar la fuente y energizar el cristal.",Boşluğun Kalbi önünde uzanıyor ama inanılmaz gücü koruma altında görünüyor. Nexus büyücüleri kendi güvenlik önlemlerini eklemiş olmalı. Kristale enerji vermek için kaynağı kullanmadan önce #0x98B7D4FF#mühürleri devre dışı bırakmanın#PREVIOUS# bir yolunu bulmalısın.
25,0x03B5FB72,"If you do well as an adventurer, you might meet King Marcus one day. He's a truly great man.","Si vous faites vos preuves en tant que mercenaire, il est possible que vous finissiez par rencontrer le roi Marcus. C'est vraiment un homme formidable.","Wenn Ihr Euch als Abenteurer bewährt, lernt Ihr vielleicht irgendwann König Marcus kennen. Ein guter Mann, wirklich.","Se saprai essere un avventuriero valoroso, un giorno forse conoscerai re Marcus. È un grand'uomo.","Si tienes éxito en tus aventuras, puede que algún día te presenten al rey Marcus. Es un gran hombre.",Maceracılıkta iyi bir nam salarsan bir gün Kral Marcus'la bile tanışabilirsin. Gerçekten büyük bir adamdır.
26,0x03B5FB73,"Marcus is only the second king that Nexus has ever had, but he's a fine one at that.",Marcus n'est que le deuxième roi que Nexus ait connu et il est vraiment exemplaire.,"Marcus ist zwar erst der zweite König, den Nexus je hatte, aber er ist ein guter Mann.","Marcus è il secondo re nella storia di Nexus, ed è molto in gamba.","Marcus es solo el segundo rey que Nexus ha tenido, pero lo hace muy bien.","Marcus, Nexus'un şimdiye kadarki yalnızca ikinci kralı ama doğrusu çok iyi bir kral."
27,0x03B5FB74,Have you heard? Marcus has been hurt! I hope he'll be all right.,Vous avez entendu la nouvelle ? Marcus a été blessé ! J'espère qu'il s'en sortira indemne...,Habt Ihr gehört? Marcus wurde verwundet! Hoffentlich wird er wieder.,Hai sentito? Marcus è stato ferito! Spero non sia nulla di grave.,¿Te has enterado? ¡Marcus está herido! Espero que esté bien.,Duydun mu? Marcus yaralanmış! Umarım iyi olur.
28,0x03B5FB75,"Truth be told, I'm happier to see that King Marcus is alright… Hopefully he's got many more years in him.","Si vous voulez tout savoir, je suis vraiment rassuré que le roi Marcus aille mieux... Je lui souhaite de vivre encore de très nombreuses années !","Ich bin wirklich heilfroh, dass König Marcus wohlauf ist ... möge er noch lange leben.","A dire il vero, sono felice di sapere che re Marcus sta bene... Speriamo rimanga con noi per molti anni ancora.","A decir verdad, me alegro de que el rey Marcus esté bien. Espero que viva muchos años más.",Doğrusu Kral Marcus'un iyi olduğunu görmek beni daha da mutlu etti… Umarım önünde daha nice yıllar vardır.
29,0x03EE4DCA,Hmm. It sounds risky if you can't remember this spell.,Mmh... Ce n'est pas très rassurant si vous ne maîtrisez pas vraiment ce sort.,"Hmm. Klingt ziemlich riskant, wenn Ihr Euch nicht an den Zauber erinnert.",Mmm. Potrebbe essere rischioso se non ricordi l'incantesimo.,Mmm. Suena arriesgado si no puedes recordar el hechizo.,Hımm. Büyüyü hatırlamıyorsan bu iş biraz riskli görünüyor.
30,0x03EE4DCB,"Well, yes...but I really want to help. And what's the worst that could happen?","Peut-être... Mais, j'ai vraiment envie de me rendre utile. Et puis, au pire, qu'est-ce qu'on risque ?","Tja, stimmt ... aber ich muss doch helfen. Und was soll schon Schlimmes passieren?","Beh, sì... ma io voglio rendermi utile in qualche modo. Dopo tutto, cosa potrebbe succedere di male?","Bueno, sí... pero me gustaría ayudar. ¿Qué es lo peor que podría pasar?","Evet, ama… gerçekten yardım etmek istiyorum. Hem en kötü ne olabilir ki?"
31,0x03FEA5A4,Reset the wards.,Réinitialiser les champs de force.,Setze die Schutzvorrichtungen zurück.,Azzera le difese.,Reinicia los hechizos.,Mühürleri sıfırla.
32,0x0411C4AB,No one passes!,Halte-là !,Niemand darf passieren!,Nessuno può passare!,¡No puedes pasar!,Kimse geçemez!
33,0x04134CB7,Access the controls.,Accéder aux commandes.,Benutze die Regler.,Accedi ai comandi.,Accede a los controles.,Kontrollere eriş.
34,0x0415C049,"Hello, hero! I'm studying the #0x98B7D4FF#fighting spirit#PREVIOUS# of a hero, that unquenchable, burning energy! I've discovered that the #0x98B7D4FF#gargoyles#PREVIOUS# that lurk in our mountains possess a similar sort of energy—powered by a #0x98B7D4FF#rage core#PREVIOUS#. I was hoping you could retrieve a few for me.","Je recherche l'#0x98B7D4FF#esprit combatif#PREVIOUS# des héros. Les #0x98B7D4FF#Gargouilles#PREVIOUS# qui rôdent dans nos montagnes possèdent une énergie assez semblable, alimentée par une #0x98B7D4FF#gemme de rage#PREVIOUS#. J'aurais aimé que vous m'en rapportiez quelques-unes.","Hallöchen! Ich studiere den #0x98B7D4FF#Kampfgeist#PREVIOUS# von Helden. Dabei habe ich entdeckt, dass die #0x98B7D4FF#Gargylen#PREVIOUS# über eine ähnliche Energie verfügen, die von einem #0x98B7D4FF#Zornkern#PREVIOUS# genährt wird. Könnt Ihr mir ein paar besorgen?","Salute! Sto studiando lo #0x98B7D4FF#spirito combattivo#PREVIOUS# di un eroe, l'energia inesauribile che lo spinge a battersi! Ho scoperto che i #0x98B7D4FF#gargoyle#PREVIOUS# che vivono nelle nostre montagne possiedono un'energia simile, alimentata da un #0x98B7D4FF#nucleo d'ira#PREVIOUS#. Speravo che potessi procurarmene qualcuno.","¡Hola! Estoy estudiando el #0x98B7D4FF#espíritu de combate#PREVIOUS# de un héroe. He descubierto que las #0x98B7D4FF#gárgolas#PREVIOUS# que acechan en las montañas poseen un tipo de energía similar, alimentada por un #0x98B7D4FF#núcleo de furia#PREVIOUS#. Esperaba que pudieses conseguirme algunos de esos.","Merhaba, kahraman! Bir kahramanın #0x98B7D4FF#savaşçı ruhunu#PREVIOUS#, yani hiç sönmeyen o yakıcı enerjiyi inceliyorum! Dağlarımızda pusuya yatan #0x98B7D4FF#gargoylelerin#PREVIOUS# de benzer bir enerji taşıdığını keşfettim; güçlerini bir #0x98B7D4FF#öfke çekirdeğinden#PREVIOUS# alıyorlar. Bana birkaç tane getirmeni umuyordum."
35,0x04857721,"I was a knight of Salvera, but I was cursed in battle, doomed to guard this bridge for all eternity...unless #0x98B7D4FF#my heir#PREVIOUS# defeats me.","J'étais chevalier de Salvéra, mais je fus condamné à garder ce pont pour l'éternité... À moins que #0x98B7D4FF#mon héritier#PREVIOUS# ne me vainque…","Ich war ein Ritter von Salvera, bis ich verflucht wurde. Nun bin ich verdammt, diese Brücke bis in alle Ewigkeit zu bewachen, ... es sei denn #0x98B7D4FF#mein Erbe#PREVIOUS# besiegt mich.","Ero un cavaliere di Salvera, ma sono stato maledetto in battaglia e condannato a sorvegliare questo ponte per l'eternità... o finché non sarò sconfitto dal #0x98B7D4FF#mio erede#PREVIOUS#.","Yo era un caballero de Salvera, pero una maldición me obliga a vigilar este puente por toda la eternidad... A no ser que #0x98B7D4FF#mi heredero#PREVIOUS# me derrote.",Salvera şövalyesiydim ama savaşta lanetlendim. Sonsuza dek bu köprüyü korumaya mahkûmum… tabii #0x98B7D4FF#varisim#PREVIOUS# beni yenmezse.
36,0x04CF491E,How is the King?,Comment va le roi ?,Wie geht's dem König?,Come sta il re?,¿Cómo está el rey?,Kral nasıl?
37,0x04CF491F,Would Rigel be of any assistance?,Rigel accepterait-il de nous aider ?,Könnte Rigel irgendwie behilflich sein?,Rigel potrebbe aiutarmi?,¿Rigel podría ayudar?,Rigel'in bir faydası olur mu?
38,0x0592013C,A large field of energy hinders your progress. Rigel has been cautious. You reach out to test its strength...,Un immense champ d'énergie vous empêche d'avancer. Rigel a vraisemblablement pris ses précautions. Vous tendez la main pour en évaluer la puissance...,"Ein großes Energiefeld hält dich auf. Rigel hat vorgesorgt. Du streckst die Hand aus, um seine Stärke zu testen ...",Un grande campo d'energia blocca la via. Rigel è stato cauto. Allunghi una mano per saggiarne la consistenza...,Un gran campo de energía te impide avanzar. Rigel ha sido cauto. Alargas la mano para probar su fuerza.,Devasa bir enerji alanı ilerlemeni engelliyor. Rigel tedbirli davranmış. Gücünü sınamak için elini uzatıyorsun…
39,0x05B7E987,Leave it alone.,Ne pas y toucher.,Wende dich ab.,Lasci stare.,No lo toques.,Dokunma.
40,0x05F21F38,"Well, goblins are smart, but we don't have heroes like you. We're simply not inclined to heroism—we're inclined to science! But then I thought—why not use science to #0x98B7D4FF#BUILD a hero#PREVIOUS#? A hero of our own, like you, to protect us from danger!","Nous sommes intelligents, mais n'avons pas de héros de votre trempe. Disons que l'héroïsme n'est pas dans nos gènes... Notre point fort, c'est la science ! C'est là que je me suis dit... Pourquoi ne pas #0x98B7D4FF#CONSTRUIRE un héros#PREVIOUS# ?","Tja, Goblins sind klug, aber wir sind keine Helden wie Ihr. Heldentum liegt uns nicht. Wir halten uns lieber an die Wissenschaft. Aber dann dachte ich mir, warum nutzen wir die Wissenschaft nicht einfach, um #0x98B7D4FF#einen Helden zu BAUEN#PREVIOUS#? Einen eigenen Helden, jemanden wie Euch, der uns beschützt!","Beh... noi Goblin siamo intelligenti, ma non particolarmente coraggiosi... siamo più portati per la scienza! Poi però ho pensato: perché non usare la scienza per #0x98B7D4FF#COSTRUIRE un eroe#PREVIOUS# tutto nostro, come te, per proteggerci dai pericoli?","Bueno, los goblins somos listos, pero no tenemos a gente heroica como tú. El heroísmo no es lo nuestro. ¡Pero la ciencia sí! Hemos pensado en usar la ciencia para #0x98B7D4FF#CONSTRUIR un héroe#PREVIOUS#. ¡Nuestro propio héroe, alguien como tú, para que nos proteja del peligro!","Goblinler zekidir ama sizin gibi kahramanlarımız yok. Kahramanlığa yatkın değiliz; biz bilime yatkınız! Sonra düşündüm ki neden bilimin yardımıyla #0x98B7D4FF#bir kahraman İNŞA ETMEYELİM#PREVIOUS#? Tehlikelerden bizi koruyacak, sizin gibi kendi kahramanımızı!"
41,0x05F21F39,"That's where you come in! We've already got a test subject lined up, but each member of my crew is researching some other #0x98B7D4FF#component of heroism#PREVIOUS#. You'll be providing each member of the crew with a template to work from, so that we know how to build our hero properly!","C'est là que vous entrez en jeu ! Nous avons déjà un prototype de prêt, mais chacun des membres de mon équipe fait actuellement des recherches sur l'une des #0x98B7D4FF#composantes de l'héroïsme#PREVIOUS#. Vous devrez donc fournir à chacun d'entre eux un modèle à partir duquel travailler, afin qu'ils sachent exactement comment créer le héros parfait !","An dieser Stelle kommt Ihr ins Spiel! Wir haben schon ein Testsubjekt vorbereitet, aber alle Mitglieder meiner Gruppe erforschen einen anderen #0x98B7D4FF#Aspekt des Heldentums#PREVIOUS#. Ihr müsst jedem Mitglied meiner Gruppe eine Vorlage beschaffen, damit wir wissen, wie unser Held auszusehen hat.","E qui entri in gioco tu! Abbiamo già realizzato un prototipo, ma i miei uomini stanno ricercando altre #0x98B7D4FF#componenti di eroismo#PREVIOUS#. Tu dovrai fornire a ciascun membro della squadra un modello sul quale lavorare, in modo da sapere esattamente come costruire il nostro eroe!","¡Ahí es donde intervienes tú! Ya tenemos un sujeto de pruebas preparado, pero cada miembro del equipo investiga un #0x98B7D4FF#componente del heroísmo#PREVIOUS# diferente. Debes proporcionar a cada miembro del equipo una plantilla con la que trabajar, ¡así sabremos cómo crear nuestro héroe!",İşte sen burada devreye giriyorsun! Denek hazır ama ekibimdeki herkes #0x98B7D4FF#kahramanlığın başka bir unsurunu#PREVIOUS# araştırıyor. Kahramanımızı doğru biçimde inşa edebilmemiz için her birine üzerinde çalışacakları bir örnek sağlayacaksın!
42,0x05F21F3A,Maybe. Let's try it anyway!,"Peut-être bien, mais essayons quand même !",Vielleicht. Versuchen wir es trotzdem.,"Forse, ma tentar non nuoce!",Puede. ¡Pero vamos a intentarlo!,Belki. Yine de deneyelim!
43,0x060C943D,"The fate of Nexus hangs by a thread, and you want to go hunting wolves?",Le sort de Nexus ne tient qu'à un fil et vous voulez capturer un Loup ?,Das Schicksal von Nexus hängt am seidenen Faden und Ihr wollt Wölfe jagen?,Il destino di Nexus è appeso a un filo e tu vuoi andare a caccia di lupi?,"El destino de Nexus pende de un hilo, ¿y tú te vas a cazar lobos?","Nexus'un kaderi pamuk ipliğine bağlı, sen kurt avına mı çıkmak istiyorsun?"
44,0x0660E50E,What's expected of a Knight of Nexus?,Quelles sont les charges d'un Chevalier de Nexus ?,Was wird von einem Ritter von Nexus erwartet?,Cosa ci si aspetta da un cavaliere di Nexus?,¿Qué se espera de los caballeros de Nexus?,Bir Nexus Şövalyesinden ne beklenir?
45,0x0660E50F,The reward for reviving Ataraxis was said to be 'endless riches.' What about that?,"La récompense offerte pour la guérison d'Ataraxis était censée être des ""richesses infinies"". Qu'en est-il exactement ?","Es hieß, Ataraxis' Wiederbelebung würde mit 'gewaltigen Reichtümern' belohnt. Was ist jetzt damit?",La ricompensa per aver risvegliato Ataraxis parlava di 'ricchezze senza limite'. Come la mettiamo?,La recompensa por revivir a Ataraxis mencionaba incontables riquezas. ¿Qué hay de eso?,Ataraxis'i diriltmenin ödülünün “sonsuz zenginlik” olduğu söyleniyordu. Ona ne oldu?
46,0x0662D766,Excuse me! Can you lend a hand?,"Excusez-moi, vous voulez bien m'aider ?",Entschuldigung! Könnt Ihr mir helfen?,"Ehi, ti dispiacerebbe aiutarmi?",¡Disculpa! ¿Puedes echarme una mano?,Affedersin! Yardım edebilir misin?
