file,label,index,English,French,German,Spanish,Italian,Dutch,Turkish,Notes,ObservedMaxLines,ObservedMaxLineChars,ObservedMinTotalChars,ObservedMaxTotalChars
hundred_NFC_msg.msbt,nfc_sys_55,11,"The amiibo cannot be used because
wireless communication/NFC is
disabled. Go to the HOME Menu
Settings and enable wireless
communication/NFC, then try again.","L'amiibo ne peut pas être utilisé car
la communication sans fil/NFC est
désactivée. Activez la communication
sans fil/NFC dans les paramètres du
menu HOME, puis réessayez.","Das amiibo kann nicht verwendet
werden, da die Einstellung „Drahtlose
Verbindung/ NFC“ deaktiviert ist.
Aktiviere die Einstellung „Drahtlose
Verbindung/NFC“ in den HOME-Menü-
Einstellungen und versuche es erneut.","No se puede utilizar el amiibo porque
la comunicación inalámbrica o la
función NFC de la consola están
desactivadas. Actívalas en los ajustes
del menú HOME y vuelve a intentarlo.","L'amiibo non può essere utilizzato
perché la comunicazione
wireless/NFC è disattivata.
Accedi alle Impostazioni del menu
HOME, attiva la comunicazione
wireless/NFC e riprova.","De amiibo kan niet worden gebruikt,
omdat de draadloze communicatie is
uitgeschakeld.
Ga naar de HOME-menu-instellingen,
schakel de draadloze communicatie in
en probeer het opnieuw.","Kablosuz iletişim/NFC kapalı olduğu için
amiibo kullanılamıyor. HOME Menüsü
Ayarları’ndan kablosuz iletişim/NFC’yi
etkinleştirip yeniden dene.",,6,38,157,212
hundred_NFC_msg.msbt,qst_nfc_gbo,12,"You received coins
from Goomba!",Goomba vous a offert des pièces !,"Du hast Münzen von
Gumba erhalten!",¡Goomba te ha dado monedas!,Hai ottenuto delle monete da Goomba!,"Je hebt munten gekregen van
Goomba!","Goomba’dan
jeton aldın!",,2,36,27,36
hundred_NFC_msg.msbt,nfc_sys_00,13,"Nintendo 3DS
NFC Reader/Writer","Lecteur/enregistreur
NFC Nintendo 3DS","Nintendo 3DS-NFC-
Lese-/Schreibgerät","Lector/grabador de NFC
para Nintendo 3DS","Lettore/scrittore NFC
per Nintendo 3DS","NFC-lezer/-schrijver
voor Nintendo 3DS","Nintendo 3DS
NFC Okuyucu/Yazıcı",,2,22,30,40
hundred_NFC_msg.msbt,nfc_sys_02,14,Tap an amiibo on the NFC area.,Touchez la zone NFC avec un amiibo.,Halte ein amiibo auf das NFC-Feld.,Mantén un amiibo sobre el área NFC.,Tocca l'area NFC con un amiibo.,Plaats een amiibo op de NFC-sensor.,Bir amiibo’yu NFC alanına dokundur.,,1,35,30,35
hundred_NFC_msg.msbt,nfc_sys_03,15,"Tap an amiibo on the NFC area on
the NFC reader/writer.","Touchez la zone NFC du lecteur/enregistreur
NFC avec un amiibo.","Halte ein amiibo auf das NFC-Feld des
NFC-Lese-/Schreibgeräts.","Mantén un amiibo sobre el área NFC
del lector/grabador de NFC.","Tocca l'area NFC del lettore/scrittore
NFC con un amiibo.","Plaats een amiibo op de NFC-sensor van
de NFC-lezer/-schrijver voor Nintendo 3DS.","Bir amiibo’yu NFC okuyucu/yazıcının
NFC alanına dokundur.",,2,43,55,81
hundred_NFC_msg.msbt,nfc_sys_04,16,"Because wireless communication
is disabled, amiibo cannot be used.
Please enable wireless
communication.","Vous ne pouvez pas utiliser
d'amiibo car la communication
sans fil est désactivée. Activez
la communication sans fil.","Da die drahtlose Verbindung
deaktiviert ist, können keine amiibo
verwendet werden.
Bitte aktiviere die drahtlose
Verbindung.","No se pueden utilizar amiibo porque
la comunicación inalámbrica está
desactivada. Activa la comunicación
inalámbrica.","L'amiibo non può essere utilizzato
perché la comunicazione wireless
è disattivata.
Attiva la comunicazione wireless.","Je kunt geen amiibo gebruiken
omdat de draadloze communicatie
is uitgeschakeld.
Schakel de draadloze communicatie
in en probeer het opnieuw.","Kablosuz iletişim kapalı olduğu için
amiibo kullanılamıyor.
Lütfen kablosuz iletişimi etkinleştir.",,5,36,104,140
hundred_NFC_msg.msbt,nfc_sys_05,17,"Turn the NFC reader/writer on and
face it to the infrared transceiver on
the system.","Allumez le lecteur/enregistreur
NFC Nintendo 3DS et positionnez
son port infrarouge en face de
celui de la console.","Aktiviere das NFC-Lese-/Schreib-
gerät und platziere es so, dass es auf
den Infrarot-Sende-Empfänger deines
Systems zeigt.","Enciende el lector/grabador de NFC
para Nintendo 3DS y colócalo
frente al transceptor de infrarrojos
de la consola.","Accendi il lettore/scrittore NFC
e posizionalo di fronte al modulo
a infrarossi della console.","Zet de NFC-lezer/-schrijver aan en
zorg dat de infraroodontvanger op
die van je systeem is gericht.","NFC okuyucu/yazıcıyı aç ve cihazın
kızılötesi alıcı-vericisine doğru çevir.",,4,38,84,122
hundred_NFC_msg.msbt,nfc_sys_06,18,"The NFC reader/writer needs to be
updated. Go to amiibo Settings in
the HOME Menu Settings and update.","Le lecteur/enregistreur NFC doit être
mis à jour. Effectuez cette mise à jour
depuis les Paramètres amiibo, dans
les paramètres du menu HOME.","Das NFC-Lese-/Schreibgerät muss
aktualisiert werden. Rufe dazu die
amiibo-Einstellungen in den
HOME-Menü-Einstellungen auf.","Es necesario actualizar
el lector/grabador de NFC.
Accede a ""Ajustes de amiibo""
en los ajustes del menú HOME
y actualízalo.","È necessario aggiornare il
lettore/scrittore NFC.
Accedi alle Impostazioni amiibo
dalle Impostazioni del menu HOME
ed esegui l'aggiornamento.","Er is een update nodig voor de
NFC-lezer/-schrijver. Ga naar de
amiibo-instellingen in de HOME-menu-
instellingen en voer de update uit.","NFC okuyucu/yazıcının güncellenmesi
gerekiyor. HOME Menüsü Ayarları’ndaki
amiibo Ayarları’na gidip güncelle.",,5,39,102,141
hundred_NFC_msg.msbt,nfc_sys_07,19,"Failed to communicate with the NFC
reader/writer. Turn the NFC reader/
writer off, and then try again.
If the problem persists, please visit
support.nintendo.com.","La communication avec le lecteur/
enregistreur NFC a échoué.
Éteignez-le, puis rallumez-le
et réessayez.
Si le problème persiste, visitez
le site : support.nintendo.com","Verbindung zum NFC-Lese-/Schreib-
gerät fehlgeschlagen. Schalte es aus
und wieder ein und versuche es dann
erneut.
Wenn das Problem bestehen bleibt,
besuche bitte support.nintendo.com.","Error de comunicación con el lector/
grabador de NFC. Apágalo y vuelve
a intentarlo.
Si el problema no se soluciona,
visita support.nintendo.com.","Si è verificato un errore di
comunicazione con il lettore/scrittore
NFC. Spegni il lettore/scrittore NFC
e riprova. Se il problema persiste,
visita il sito support.nintendo.com","Er is een communicatiefout met de
NFC-lezer/-schrijver opgetreden.
Zet de NFC-lezer/-schrijver uit en
weer aan en probeer het opnieuw.
Kijk op support.nintendo.com als
dit probleem zich blijft voordoen.","NFC okuyucu/yazıcıyla iletişim kurulamadı.
Cihazı kapatıp yeniden dene.
Sorun sürerse support.nintendo.com
adresini ziyaret et.",,6,38,145,202
hundred_NFC_msg.msbt,nfc_sys_08,20,"Finished reading amiibo.
Remove the amiibo from
the NFC area.","La lecture des données est terminée.
Retirez l'amiibo de la zone NFC.","Das amiibo wurde eingelesen.
Bitte entferne es vom NFC-Feld.","Se han leído los datos del amiibo.
Retíralo del área NFC.","Lettura dell'amiibo completata.
Rimuovi l'amiibo dall'area NFC.","Het lezen van de amiibo is voltooid.
Verwijder de amiibo van de
NFC-sensor.","amiibo okuma tamamlandı.
amiibo’yu NFC alanından kaldır.",,3,36,57,75
hundred_NFC_msg.msbt,nfc_sys_09,21,"An error has occurred while reading
the amiibo. Please try again.","Une erreur est survenue lors de
la lecture des données de l'amiibo.
Veuillez réessayer.","Beim Lesen des amiibo ist ein Fehler
aufgetreten. Bitte versuche es erneut.","Se ha producido un error al leer los datos
del amiibo. Vuelve a intentarlo.","Si è verificato un errore durante la lettura
dell'amiibo. Riprova.","Er is een fout opgetreden bij het lezen
van de amiibo. Probeer het opnieuw.","amiibo okunurken bir hata oluştu.
Lütfen yeniden dene.",,3,44,65,87
hundred_cbm000msg.msbt,cbm_itemuse_000,0,[bb] Back,[bb] Retour,[bb] Zurück,[bb] Atrás,[bb] Indietro,[bb] Terug,[bb] Geri,,1,13,9,13
hundred_cbm000msg.msbt,cbm_bonusstr_mes_08,1,"A bonus star given to a player who
didn't advance many spaces.","Une étoile décernée au joueur qui
ne s'est pas beaucoup déplacé sur
le plateau.","Ein Bonus-Stern für den Spieler, der
eher weniger Felder zurückgelegt
hat.","Bonificación para quien no haya
avanzado muchas casillas.","Una stella bonus per il giocatore che
non è avanzato di molte caselle.","Deze bonusster is voor een speler
die niet zo veel vakjes heeft gelopen.","Çok az ilerleyen bir oyuncuya
verilen bonus yıldız.",,3,38,57,79
hundred_cbm000msg.msbt,cbm_end_010,2,The final results have been tallied!,"Nous pouvons maintenant
annoncer les résultats finaux !",Das Endergebnis ist da!,¡Tenemos los resultados finales!,I risultati finali sono finalmente pronti!,De einduitslag is binnen!,Son sonuçlar hesaplandı!,,2,42,23,55
hundred_cbm000msg.msbt,cbm_itemuse_001,3,Choose who to use the item on.,Choisissez une cible.,Wähle ein Ziel für das Item.,Elige con quién usas el objeto.,Scegli un rivale.,Kies op wie je het wilt gebruiken.,Eşyayı kimin üzerinde kullanacağını seç.,,1,34,17,34
hundred_cbm000msg.msbt,cbm_bonuscom_024,4,Unbelievable! A four-way win!,"Incroyable ! Cette étoile revient
à tous les participants !","Unglaublich, Gleichstand!
Damit haben alle gewonnen!",¡Increíble! ¡Una victoria cuádruple!,Pazzesco! Vincono tutti e quattro!,Deze is voor iedereen! Ongelofelijk!,İnanılmaz! Dört kişi de kazandı!,,2,36,29,59
hundred_cbm000msg.msbt,cbm_end_011,5,[ba] Next,[ba] Suite,[ba] Weiter,[ba] Seguir,[ba] Avanti,[ba] Verder,[ba] İleri,,1,11,9,11
hundred_cbm000msg.msbt,cbm_itemname,6,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_cbm000msg.msbt,cbm_evnt_03a,7,Drain!,volées !,Nehmen!,¡Monedas para ti!,Ruba!,Afgepakt!,Yarısını Al!,,1,17,5,17
hundred_cbm000msg.msbt,cbm_bmatch_starblln,8,Got a Star Balloon!,Ballon étoile !,Sternballon erhalten!,¡Un globo estrella!,Un palloncino stella!,Hebbes!,Yıldız Balonu aldın!,,1,21,7,21
hundred_cbm000msg.msbt,cbm_bonuscom_025,9,Whoops! Nobody wins.,"Cette fois, personne n'a rien gagné.
Ce sont des choses qui arrivent !","Oha, dafür hat sich niemand qualifiziert...",Qué cosas... ¡No ha ganado nadie!,Ooops! Non vince nessuno...,"Deze is voor niemand. Jammer, zeg!",Eyvah! Kimse kazanamadı.,,2,43,20,70
hundred_cbm000msg.msbt,cbm_end_012,10,The super star is...,La superstar est...,Und zwar...,La superestrella es...,La Superstar è...,De superster is...,Süper yıldız...,,1,22,11,22
hundred_cbm000msg.msbt,cbm_graph_star008,11,Bonus Stars,Étoiles bonus,Bonus-Sterne,Estrella bonificación,Stelle bonus,Bonussterren,Bonus Yıldızlar,,1,21,11,21
hundred_cbm000msg.msbt,cbm_itemuse_003,12,[bb] Back,[bb] Retour,[bb] Zurück,[bb] Atrás,[bb] Indietro,[bb] Terug,[bb] Geri,,1,13,9,13
hundred_cbm000msg.msbt,cbm_MgS_title,13,[mg0],[mg0],[mg0],[mg0],[mg0],[mg0],[mg0],,1,5,5,5
hundred_cbm000msg.msbt,cbm_end_013,14,"Let's see how the bonus stars shake
up the rankings!","Voyons voir si les étoiles bonus
ont changé le classement final !","Sehen wir einmal nach, ob die Bonus-Sterne
das Ergebnis verändert haben!","¡Veamos si las estrellas de bonificación
han influido en la clasificación!","Pare che le stelle bonus abbiano dato
uno scossone alla classifica!","Eens kijken of de bonussterren
invloed hebben op de uitslag!","Bakalım bonus yıldızlar
sıralamayı nasıl değiştirecek!",,2,42,52,74
hundred_cbm000msg.msbt,cbm_bmatch_100,15,All turns finished!,Partie terminée !,Alle Runden beendet!,¡Han finalizado todos los turnos!,I turni sono finiti!,Alle beurten zijn voorbij.,Tüm turlar bitti!,,1,33,17,33
hundred_cbm000msg.msbt,cbm_end_014,16,"But now, it's time to crown a super star!","Il est maintenant temps de révéler qui
a décroché le titre de superstar !","Also dann, krönen wir den Superstar!","¡Ha llegado el momento de
coronar a una superestrella!","Ma ora è tempo di incoronare la nostra
Superstar!",Het is tijd om de superster te kronen!,Şimdi süper yıldızı taçlandırma vakti!,,2,41,36,73
hundred_cbm000msg.msbt,cbm_end_007a,17,"{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200}, and","{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200}, et...","{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1] {C:0:3:0200}und...","¡{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200} y...","... {C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200} e...","...{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200}...","{C:0:3:0500}[n0]{C:0:3:0200},
{C:0:3:0500}[n1]{C:0:3:0200} ve",,2,35,63,67
hundred_cbm000msg.msbt,cbm_outlinest_002s,18,{C:1:0:}[n0]...,{C:1:0:}[n0]...,{C:1:0:}[n0]...,{C:1:0:}[n0]...,{C:1:0:}[n0]...,{C:1:0:}[n0]...,{C:1:0:}[n0]...,,1,15,15,15
hundred_cbm000msg.msbt,cbm_evnt_03d,19,Drain half of a rival's coins!,Moitié des pièces volée !,Mach halbe-halbe!,Le quita la mitad a un rival.,Ruba metà monete al rivale!,De helft afgepakt!,Rakibin jetonlarının yarısını al!,,1,30,17,30
hundred_cbm000msg.msbt,cbm_end_007b,20,{C:0:3:0500}[n2]{C:0:3:0200}!,{C:0:3:0500}[n2]{C:0:3:0200} !,{C:0:3:0500}[n2]{C:0:3:0200}!,{C:0:3:0500}[n2]{C:0:3:0200}!,{C:0:3:0500}[n2]{C:0:3:0200}!,...en {C:0:3:0500}[n2]{C:0:3:0200}!,{C:0:3:0500}[n2]{C:0:3:0200}!,,1,35,29,35
hundred_cbm000msg.msbt,cbm_cell_info_0,21,Here's a chance to get an item!,Vous octroie un objet.,Hier gibt's die Chance auf ein Item!,¡Oportunidad de conseguir un objeto!,"Ecco un'occasione per ottenere
un oggetto!",Hier kun je een voorwerp krijgen!,Burada bir eşya kapma şansın var!,,2,36,22,42
hundred_cbm000msg.msbt,cbm_outlinelast_003,22,Keep it up to the end!,"Faites de votre mieux
jusqu'au bout !",Schön bis zum Ende durchhalten!,¡Que nadie se de por vencido!,Tieni duro fino alla fine!,Geef niet op!,Sonuna kadar böyle devam!,,2,31,13,37
hundred_cbm000msg.msbt,cbm_baloon_tlp_000,23,Minigame Balloon,Ballon mini-jeu,Minispiel-Ballon,Globo de minijuego,Palloncino minigioco,Minigame-ballon,Mini Oyun Balonu,,1,20,15,20
hundred_cbm000msg.msbt,cbm_cell_info_1,24,You can exchange coins for items.,"Dépensez des pièces
pour acheter un objet.","Du kannst Münzen gegen Items
eintauschen.",Puedes cambiar monedas por objetos.,"Puoi ottenere oggetti in cambio
di monete.","Je kunt munten inwisselen
voor voorwerpen.",Jetonlarını eşyalarla takas edebilirsin.,,2,35,33,42
hundred_cbm000msg.msbt,cbm_baloon_tlp_001,25,Star Balloon,Ballon étoile,Sternballon,Globo estrella,Palloncino stella,Sterrenballon,Yıldız Balonu,,1,17,11,17
hundred_cbm000msg.msbt,cbm_cell_info_2,26,"Need a stamp? You can get one here!
Collect 3 stamps for a coin reward!","Passez ici pour recevoir un tampon.
3 tampons obtenus = pièces offertes !","Stempel gefällig? Die gibt's hier!
Und für 3 Stempel gibt's Münzen!","¿Buscas un sello? ¡Consíguelo aquí!
¡Si juntas tres, obtendrás una moneda!","Serve un timbro? Prova qui!
Con 3 timbri otterrai delle monete!","Heb je een stempel nodig? Haal 'm hier!
Bij 3 stempels krijg je een beloning!","Damga mı lazım? Buradan alabilirsin!
3 damga topla, jeton ödülünü kap!",,2,39,63,77
hundred_cbm000msg.msbt,cbm_cell_info_3,27,"The slot reels decide what happens
to you here.","Laissez le hasard décider
d'un événement.","Hier entscheidet der Zufall, was
passiert.","¡Aquí el azar decide
los acontecimientos!","Il tuo destino qui è deciso
dalla pura e semplice fortuna.","Het rad bepaalt
wat er hier gebeurt.","Burada başına ne geleceğini
slot makaraları belirler.",,2,34,36,58
hundred_cbm000msg.msbt,cbm_Route_000,28, Start Over, Annuler, Neustart, Inicio, Annulla, Opnieuw, Baştan Başla,,1,12,8,12
hundred_cbm000msg.msbt,cbm_add_item,29,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_cbm000msg.msbt,cbm_Route_001,30,[0] left,Encore [0],Noch [0],[0] {C:2:1:200063006100730069006c006c0061002c0063006100730069006c006c0061007300} más,Ancora [0],Nog [0] over,[0] kaldı,,1,84,8,84
hundred_cbm000msg.msbt,cbm_bmatch_same_cell,31,Tight Squeeze Bonus,Bonus même case,Gedrängel-Bonus,Bonificación por los pelos,Bonus spazi stretti,Past-net-bonus,Sıkış Tıkış Bonusu,,1,26,14,26
hundred_cbm000msg.msbt,cbm_Route_003,32,[ba] Confirm,[ba] OK,[ba] OK,[ba] Aceptar,[ba] OK,[ba] Oké,[ba] Onayla,,1,12,7,12
hundred_cbm000msg.msbt,cbm_Route_004,33,[bsl] Move,[bsl] Déplacement,[bsl] Bewegen,[bsl] Moverse,[bsl] Muoviti,[bsl] Lopen,[bsl] Hareket,,1,17,10,17
hundred_cbm000msg.msbt,cbm_itemcom_051,34,You have no items.,Aucun objet.,Du hast keine Items.,No tienes objetos.,Non hai nessun oggetto.,Je hebt geen voorwerpen.,Hiç eşyan yok.,,1,24,12,24
hundred_cbm000msg.msbt,cbm_bmatch_010,35,"Every time you reach it, you can
get a star for 10 coins!","Si vous y parvenez, vous pouvez
échanger 10 pièces contre
une étoile !","Wenn du ihn erreichst, kannst du
10 Münzen gegen einen Stern
eintauschen!","Cada vez que llegues,
¡podrás conseguir una estrella
a cambio de 10 monedas!","Ogni volta che lo raggiungi, puoi
ottenere una stella in cambio di
10 monete!","Bij een sterrenballon kun je
10 munten ruilen voor een ster.","Her ulaştığında 10 jeton verip
bir yıldız alabilirsin!",,3,33,57,77
hundred_cbm000msg.msbt,cbm_map_003,36,[bsl]View Camera / [bb] Back,[bsl] Déplacer la caméra / [bb] Retour,[bsl] Umsehen [bb] Zurück,[bsl] Cámara / [bb] Atrás,[bsl] Telecamera / [bb] Indietro,[bsl] Camera verplaatsen  [bb] Terug,[bsl]Kamerayı Çevir / [bb] Geri,,1,38,25,38
hundred_cbm000msg.msbt,cbm_cell_info_name_0,37,Question Block,Bloc ?,?-Block,Bloque ?,Blocco ?,?-blok,Soru Bloğu,,1,14,6,14
hundred_cbm000msg.msbt,cbm_bmatch_012,38,"You did it, {C:0:3:0500}[n0]{C:0:3:0200}!
You got a star!","Bien joué, {C:0:3:0500}[n0]{C:0:3:0200} !
Vous avez obtenu une étoile !","Gut gemacht, {C:0:3:0500}[n0]{C:0:3:0200}!
Du hast einen Stern erhalten!","¡Muy bien, {C:0:3:0500}[n0]{C:0:3:0200}!
¡Una estrella para ti!","Ce l'hai fatta, {C:0:3:0500}[n0]{C:0:3:0200}!
Hai ottenuto una stella!","Goed zo, {C:0:3:0500}[n0]{C:0:3:0200}!
Je hebt een ster!","Başardın, {C:0:3:0500}[n0]{C:0:3:0200}!
Bir yıldız aldın!",,2,45,56,72
hundred_cbm000msg.msbt,cbm_cell_info_name_1,39,Item Shop,Boutique d'objets,Item-Laden,Tienda de objetos,Negozio,Winkel,Eşya Dükkânı,,1,17,6,17
hundred_cbm000msg.msbt,cbm_mgmbns_f,40,Lose,Défaite,Niederlage,Derrota,Sconfitta,Helaas,Kaybet,,1,10,4,10
hundred_cbm000msg.msbt,cbm_cell_info_name_2,41,Stamp,Tampon,Stempel,Sello,Timbro,Stempel,Damga,,1,7,5,7
hundred_cbm000msg.msbt,cbm_bmatch_013,42,"You're in the home stretch!
Don't fret if you're in last place—
we have an item just for you!","C'est la dernière ligne droite !
Les joueurs en difficulté
reçoivent un objet !","Ihr seid auf der Zielgeraden!
Keine Sorge – wenn ihr der Letzte
seid, bekommt ihr ein Item!","¡Estáis en el tramo final! Y que
nadie se desanime, ¡porque hay
un objeto para el último puesto!","Siete in dirittura d'arrivo!
Chi è in ultima posizione non
si affretti. Riceverà un oggetto!","Nog maar een paar beurten,
maar geen paniek als je laatste
staat! Hier heb je een voorwerp!","Son düzlüğe girdin!
Sondaysan üzülme—
sana özel bir eşyamız var!",,3,35,79,96
hundred_cbm000msg.msbt,cbm_cell_info_name_3,43,Event!,Événement !,Ereignis!,¡Evento!,Imprevisto!,Verrassing!,Etkinlik!,,1,11,6,11
hundred_cbm000msg.msbt,cbm_bmatch_014,44,There was nothing to steal.,Il n'y avait aucun objet à voler.,Es gab nichts zu stibitzen.,No queda nada para robar.,Non c'era niente da rubare.,Er is niets om te stelen.,Çalacak hiçbir şey yoktu.,,1,33,25,33
hundred_cbm000msg.msbt,cbm_btn_start_00,45, Confirm, OK, OK, Aceptar, OK, Kiezen, Onayla,,1,9,4,9
hundred_cbm000msg.msbt,cbm_bmatch_015,46,There was nothing to trade for.,"Il n'y avait aucun objet
à échanger.",Es gab nichts zu tauschen.,No queda nada para intercambiar.,Non c'era niente da scambiare.,Er is niets om te ruilen.,Takas edecek hiçbir şey yoktu.,,2,32,25,36
