index,key,English,French,German,Italian,Spanish,Turkish,prefix_hex
25,boss_clingpound:0:Standard,\standard_boss_clingpound_btn,\standard_boss_clingpound_btn,\standard_boss_clingpound_btn,\standard_boss_clingpound_btn,\standard_boss_clingpound_btn,\standard_boss_clingpound_btn,01
26,boss_clingpound:1:Core,\core_boss_clingpound_btn,\core_boss_clingpound_btn,\core_boss_clingpound_btn,\core_boss_clingpound_btn,\core_boss_clingpound_btn,\core_boss_clingpound_btn,01
27,boss_tryharder:0:*,Try|Harder,TENEZ|BON !,<scale=0.7>Streng|dich noch|mehr an!,<scale=0.7>Non|mollare!,¡Insiste!,Daha|çok uğraş!,01
28,cancelsuperguide_text:0:*,Stop Super Guide and start playing?,DÉSACTIVER|LE SUPER GUIDE|ET CONTRÔLER|SUPER KONG ?,Super-Assistenten beenden und spielen?,VUOI RIPRENDERE A|GIOCARE SENZA|SUPER GUIDA?,¿Detener la Superguía y controlar a Super Kong?,Süper Rehber'i durdurup|oynamaya başlamak istiyor musun?,01
29,confirm_continuewithoutsavi:0:*,\b0013bc9 Continue Without Saving,\b0013bc9 Continuer sans sauvegarder,\b0013bc9Ohne Speichern fortfahren,\b0013bc9 Prosegui senza salvare,\b0013bc9 Continuar sin guardar,\b0013bc9 Kaydetmeden Devam Et,01
30,confirm_continuewithoutsaviD1:0:*,\e0d1799a Continue Without Saving,\e0d1799a Continuer sans sauvegarder,\e0d1799aOhne Speichern fortfahren,\e0d1799a Prosegui senza salvare,\e0d1799a Continuar sin guardar,\e0d1799a Kaydetmeden Devam Et,01
31,confirm_copy:0:*,Copy Game $1|to Game $2?,COPIER LA PARTIE $1|DANS L'EMPLACEMENT $2 ?,Spielstand $1 nach|Speicherplatz $2 kopieren?,VUOI COPIARE IL FILE $1|NELLO SLOT $2?,¿Copiar el archivo $1 sobre el archivo $2?,"Kayıt $1,|Kayıt $2'ye kopyalansın mı?",01
32,confirm_corruptcontinue:0:*,\00ab19ca Continue Without Saving,\00ab19ca Continuer sans sauvegarder,\00ab19caOhne Speichern fortfahren,\00ab19ca Prosegui senza salvare,\00ab19ca Continuar sin guardar,\00ab19ca Kaydetmeden Devam Et,01
33,confirm_corruptcontinuecore:0:*,\90279b99 Continue Without Saving,\90279b99 Continuer sans sauvegarder,\90279b99Ohne Speichern fortfahren,\90279b99 Prosegui senza salvare,\90279b99 Continuar sin guardar,\90279b99 Kaydetmeden Devam Et,01
34,confirm_corruptdelete:0:*,\b0013bc9 Delete File,\b0013bc9 Effacer le fichier,\b0013bc9Datei löschen,\b0013bc9 Cancella il file,\b0013bc9 Borrar datos,\b0013bc9 Dosyayı Sil,01
35,confirm_corruptdeletecore:0:*,\e0d1799a Delete File,\e0d1799a Effacer le fichier,\e0d1799aDatei löschen,\e0d1799a Cancella il file,\e0d1799a Borrar datos,\e0d1799a Dosyayı Sil,01
36,confirm_erase:0:*,Erase Game $1?,EFFACER LA PARTIE $1 ?,Spielstand $1 löschen?,VUOI ELIMINARE|IL FILE $1?,¿Borrar el archivo $1?,Kayıt $1 silinsin mi?,01
37,confirm_erase_again:0:*,This game cannot be recovered once erased. Are you sure you want to erase this game?,LES DONNÉES EFFACÉES|NE PEUVENT PAS|ÊTRE RÉCUPÉRÉES.|CONFIRMER|L'EFFACEMENT ?,Gelöschte Spielstände|können nicht wieder-|hergestellt werden.|Spielstand löschen?,IL FILE CANCELLATO NON|POTRÀ PIÙ ESSERE|RECUPERATO.|VUOI DAVVERO|ELIMINARLO?,Si borras los datos no podrás recuperarlos. ¿Seguro que quieres borrarlos?,Silinen kayıt geri getirilemez.|Bu kaydı silmek istediğinden emin misin?,01
38,confirm_mirrormodelaunch:0:*,You cannot take Diddy Kong or inventory items with you in Mirror Mode. They will be left behind and given back to you when you return to the map.,"EN MODE MIROIR, VOUS|NE POUVEZ AVOIR AVEC|VOUS NI DIDDY KONG,|NI AUCUN ÉLÉMENT|DE VOTRE INVENTAIRE.|VOUS LES RETROUVEREZ EN|REVENANT À LA CARTE.","Im Spiegelmodus kannst du|weder Diddy mitnehmen|noch Items aus dem Inventar|verwenden. Du musst sie|zurücklassen, bekommst sie|aber wieder, wenn du zur|Karte zurückgehst.",IN MODALITÀ SPECULARE|NON PUOI NÉ SERVIRTI|DELL'INVENTARIO NÉ|PORTARE CON TE DIDDY|KONG. TORNERANNO A|TUA DISPOSIZONE|NELLA MAPPA.,En el modo espejo no puedes llevar contigo a Diddy Kong ni usar objetos. Los recuperarás al volver al mapa.,Ayna Modu'nda Diddy Kong'u|veya envanter eşyalarını|yanında götüremezsin.|Haritaya döndüğünde|hepsi sana geri verilecek.,01
39,confirm_no:0:*,\90279b99No,\90279b99NON,\90279b99Nein,\90279b99No,\90279b99No,\90279b99Hayır,01
40,confirm_nocore:0:*,\90279b99No,\90279b99NON,\90279b99Nein,\90279b99No,\90279b99No,\90279b99Hayır,01
41,confirm_ok:0:*,\b0013bc9OK,\b0013bc9OK,\b0013bc9O.K.,\b0013bc9Ok,\b0013bc9Aceptar,\b0013bc9Tamam,01
42,confirm_okcore:0:*,\e0d1799aOK,\e0d1799aOK,\e0d1799aO.K.,\e0d1799aOk,\e0d1799aAceptar,\e0d1799aTamam,01
43,confirm_returntodatamanagem:0:*,\00ab19ca Return to the Wii Menu Data|Management screen,\00ab19ca Retourner à l'écran de gestion|des données du menu Wii,\00ab19caWii Menü-Datenverwaltungsbildschirm,\00ab19ca Vai allo schermo Gestione dati|del menu Wii,\00ab19ca Ir a la pantalla de gestión|  de datos del menú de Wii,\00ab19ca Wii Menüsü Veri|Yönetimi ekranına dön,01
44,confirm_returntodatamanagemD1:0:*,\90279b99 Return to the Wii Menu Data|Management screen,\90279b99 Retourner à l'écran de gestion|des données du menu Wii,\90279b99Wii Menü-Datenverwaltungsbildschirm,\90279b99 Vai allo schermo Gestione dati|del menu Wii,\90279b99 Ir a la pantalla de gestión|  de datos del menú de Wii,\90279b99 Wii Menüsü Veri|Yönetimi ekranına dön,01
45,confirm_yes:0:*,\b0013bc9Yes,\b0013bc9OUI,\b0013bc9Ja,\b0013bc9Sì,\b0013bc9Sí,\b0013bc9Evet,01
46,confirm_yescore:0:*,\e0d1799aYes,\e0d1799aOUI,\e0d1799aJa,\e0d1799aSì,\e0d1799aSí,\e0d1799aEvet,01
47,controllerscreen:0:Player1,Player 1,Joueur 1,Spieler 1,Giocatore 1,Jugador 1,Oyuncu 1,01
48,controllerscreen:1:Player2,Player 2,Joueur 2,Spieler 2,Giocatore 2,Jugador 2,Oyuncu 2,01
49,controllerscreen:2:NoController,Communications with the Wii Remote have been interrupted.,La connexion avec la télécommande Wii a été interrompue.,Die Verbindung zur Wii-Fernbedienung wurde unterbrochen.,Il collegamento con il telecomando Wii si è interrotto.,Se ha interrumpido|la conexión con|el mando de Wii.,Wii Kumandası ile iletişim kesildi.,01
50,controllerscreen:3:InvalidController,Please remove the unsupported external extension controller.,Débranchez la manette d'extension incompatible.,Bitte entferne nicht unterstützte Zusatz-Controller.,Scollega il controller non compatibile dal telecomando Wii.,Desconecta el mando complementario no compatible.,Desteklenmeyen ek kumandayı çıkar.,01
51,controllerscreen:4:CoreController,Controls set to +Control Pad.,MANETTE + SÉLECTIONNÉE.,Steuerkreuz ausgewählt,Configurazione pulsantiera +,Se usará la cruz de control.,+ Kontrol Tuşu seçildi.,01
52,controllerscreen:5:NunchukController,Controls set to Circle Pad.,PAD CIRCULAIRE SÉLECTIONNÉ.,Schiebepad ausgewählt,Configurazione pad scorrevole,Se usará el botón deslizante.,Analog Çubuk seçildi.,01
53,controllerscreen:6:CoreConfirm,\e0d1799a Confirm,\e0d1799a OK,\e0d1799aBestätigen,\e0d1799a CONFERMA,\e0d1799aConfirmar,\e0d1799a Onayla,01
54,controllerscreen:7:LowBattery,The battery charge is running low.,Les piles sont|presque vides.,Die Batterieleistung lässt nach.,Le batterie sono quasi scariche.,Las pilas están a punto de agotarse.,Pil seviyesi düşük.,01
55,controllerscreen:8:NunchukConfirm,\b0013bc9 Confirm,\b0013bc9 OK,\b0013bc9Bestätigen,\b0013bc9 CONFERMA,\b0013bc9Confirmar,\b0013bc9 Onayla,01
56,controls_blow:0:*,Blow,SOUFFLER,Pusten,SOFFIA,Soplar,Üfle,01
57,controls_blowinputcore:0:*,\3630bddf\030718c6\lr_noanim_btn,\3630bddf\030718c6\lr_noanim_btn,\3630bddf\030718c6\lr_noanim_btn,\3630bddf\030718c6\lr_noanim_btn,\3630bddf\030718c6\lr_noanim_btn,\3630bddf\030718c6\lr_noanim_btn,01
58,controls_blowinputnunchuk:0:*,\7f8540b5\030718c6\xy_noanim_btn,\7f8540b5\030718c6\xy_noanim_btn,\7f8540b5\030718c6\xy_noanim_btn,\7f8540b5\030718c6\xy_noanim_btn,\7f8540b5\030718c6\xy_noanim_btn,\7f8540b5\030718c6\xy_noanim_btn,01
59,controls_crouch:0:*,Crouch,SE BAISSER,Ducken,ACCUCCIATI,Agacharse,Eğil,01
60,controls_crouchinputnunchuk:0:*,\7f8540b5,\7f8540b5,\7f8540b5,\7f8540b5,\7f8540b5,\7f8540b5,01
61,controls_dismount:0:*,Dismount Rambi,DESCENDRE|DE RAMBI,Von Rambi|absteigen,Scendi da Rambi,Bajarse de Rambi,Rambi'den İn,01
62,controls_dismountinputcore:0:*,\3630bddf\030718c6\xy_noanim_btn,\3630bddf\030718c6\xy_noanim_btn,\3630bddf\030718c6\xy_noanim_btn,\3630bddf\030718c6\xy_noanim_btn,\3630bddf\030718c6\xy_noanim_btn,\3630bddf\030718c6\xy_noanim_btn,01
63,controls_dismountinputnunch:0:*,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,01
64,controls_dismount_core:0:*,Dismount Rambi,DESCENDRE|DE RAMBI,Von Rambi|absteigen,Scendi da Rambi,Bajarse de Rambi,Rambi'den İn,01
65,controls_grab:0:*,Grab,SAISIR,Greifen,AFFERRA,Agarrar,Tut,01
66,controls_grabinput:0:*,\0b8eef3d,\0b8eef3d,\0b8eef3d,\0b8eef3d,\0b8eef3d,\0b8eef3d,01
67,controls_groundpound:0:*,Ground Pound,FRAPPER LE SOL,Trommelattacke,SCUOTI LA TERRA,Aporrear el suelo,Yere Vur,01
68,controls_groundpoundinputco:0:*,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,\lr_noanim_btn,01
69,controls_groundpoundinputnu:0:*,\xy_noanim_btn,\xy_noanim_btn,\xy_noanim_btn,\xy_noanim_btn,\xy_noanim_btn,\xy_noanim_btn,01
70,controls_groundpound_core:0:*,Ground Pound,FRAPPER LE SOL,Trommelattacke,SCUOTI LA TERRA,Aporrear el suelo,Yere Vur,01
71,controls_jump:0:*,Jump,SAUTER,Springen,SALTA,Saltar,Zıpla,01
72,controls_mount:0:*,Combine,ASSOCIER LES KONG,Aufsteigen,IN SPALLA,Montarse,Birleş,01
73,controls_mountinputcore:0:*,\3630bddf,\3630bddf,\3630bddf,\3630bddf,\3630bddf,\3630bddf,01
74,controls_mountinputnunchuk:0:*,\27b05a76,\27b05a76,\27b05a76,\27b05a76,\27b05a76,\27b05a76,01
75,controls_mount_core:0:*,Crouch,SE BAISSER,Ducken,Accucciati,Agacharse,Eğil,01
76,controls_movement:0:*,Movement,SE|DÉPLACER,Bewegen,MUOVITI,Moverse,Hareket,01
77,controls_moveright:0:*,Move Right,DROITE,nach rechts,DESTRA,Mover a la derecha,Sağa Git,01
78,controls_pause:0:*,Pause,PAUSE,Pause,PAUSA,Pausa,Duraklat,01
79,controls_roll:0:*,Roll,ROULER,Rollen,ROTOLA,Rodar,Yuvarlan,01
80,controls_rollinputcore:0:*,\057633b9\030718c6\lr_noanim_btn,\057633b9\030718c6\lr_noanim_btn,\057633b9\030718c6\lr_noanim_btn,\057633b9\030718c6\lr_noanim_btn,\057633b9\030718c6\lr_noanim_btn,\057633b9\030718c6\lr_noanim_btn,01
81,controls_rollinputnunchuk:0:*,\1388fc84\030718c6\xy_noanim_btn,\1388fc84\030718c6\xy_noanim_btn,\1388fc84\030718c6\xy_noanim_btn,\1388fc84\030718c6\xy_noanim_btn,\1388fc84\030718c6\xy_noanim_btn,\1388fc84\030718c6\xy_noanim_btn,01
82,controls_rungrab:0:*,Run/|Grab,SAISIR / COURIR,Rennen/|Greifen,Corri/|Afferra,Correr/|Agarrar,Koş/|Tut,01
83,core:0:GroundPound,\d1ed1c35,\d1ed1c35,\d1ed1c35,\d1ed1c35,\d1ed1c35,\d1ed1c35,01
84,core:1:GroundPound_Small,\43e2c294,\43e2c294,\43e2c294,\43e2c294,\43e2c294,\43e2c294,01
85,core:2:Grab,\xy_btn,\xy_btn,\xy_btn,\xy_btn,\xy_btn,\xy_btn,01
86,core:3:Up,\3ab2d6e4,\3ab2d6e4,\3ab2d6e4,\3ab2d6e4,\3ab2d6e4,\3ab2d6e4,01
87,core:4:Blow,\3630bddf\43e2c294,\3630bddf\43e2c294,\3630bddf\43e2c294,\3630bddf\43e2c294,\3630bddf\43e2c294,\3630bddf\43e2c294,01
88,cranky_balloons_continue:0:*,\b0013bc9 Continue,\b0013bc9 CONTINUER,\b0013bc9Weiter,\b0013bc9 CONTINUA,\b0013bc9 Continuar,\b0013bc9 Devam Et,01
89,cranky_balloons_continuecor:0:*,\e0d1799a Continue,\e0d1799a CONTINUER,\e0d1799aWeiter,\e0d1799a CONTINUA,\e0d1799a Continuar,\e0d1799a Devam Et,01
90,creditslist_eur:0:*,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,01
91,creditslist_jpn:0:*,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,01
92,creditslist_us:0:*,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,01
93,dialog_mirrornotification:0:*,"You can now play any level|in Mirror Mode!||In this mode, Donkey Kong does not|receive any help from his pal Diddy Kong|and cannot use inventory items.|And to make it even more challenging,|he has one less heart!||Good luck!","VOUS POUVEZ MAINTENANT JOUER À|TOUS LES NIVEAUX EN MODE MIROIR !||DANS CE MODE, DONKEY KONG NE PEUT|NI ÊTRE AIDÉ PAR SON AMI DIDDY KONG,|NI SE SERVIR DES ÉLÉMENTS DE SON|INVENTAIRE. ET POUR CORSER LE TOUT,|IL A UN CŒUR EN MOINS !||BONNE CHANCE !","Du kannst nun jeden beliebigen Level|im Spiegelmodus spielen! |Dabei wird Donkey Kong nicht von|seinem Kumpel Diddy Kong unterstützt|und kann auch keine Items aus dem|Inventar verwenden.|Um das Ganze noch schwieriger|zu machen, hat er ein Herz weniger!||Viel Glück!","<scale=0.8>ORA PUOI GIOCARE ANCHE IN|MODALITÀ SPECULARE!||IN QUESTA MODALITÀ DONKEY KONG|NON RICEVE NESSUN AIUTO DAL SUO|AMICO DIDDY KONG, NON PUÒ|SERVIRSI DEGLI ELEMENTI|DELL'INVENTARIO E DISPONE|DI UN CUORE IN MENO!||BUONA FORTUNA!","¡Ahora puedes jugar cualquier|nivel en el modo espejo!||En este modo, Donkey Kong|no recibirá ningún tipo de ayuda|de su amigo Diddy Kong ni podrá|usar objetos. Y para que el reto sea|mayor, ¡tendrá un corazón menos!||¡Buena suerte!","Artık istediğin bölümü|Ayna Modu'nda oynayabilirsin!||Bu modda Donkey Kong,|dostu Diddy Kong'dan yardım alamaz|ve envanter eşyalarını kullanamaz.|Üstelik işi daha da zorlaştırmak için|bir kalbi eksik olur!||Bol şans!",01
94,eol_beatuphits:0:*,Hit,COUP,Treffer,COLPO,Golpe,Vuruş,01
95,eol_beatuphits:1:*,Hits,COUPS,Treffer,COLPI,Golpes,Vuruş,01
96,eol_besttime:0:*,Best Time,RECORD :,Bestzeit,MIGLIOR TEMPO,Mejor tiempo,En İyi Süre,01
97,eol_continue:0:*,\0cce5b52      Continue,\0cce5b52     CONTINUER,\0cce5b52  Fortfahren,\0cce5b52     Continua,\0cce5b52      Continuar,\0cce5b52      Devam Et,01
98,eol_continue_core:0:*,\0cce5b52      Continue,\0cce5b52     CONTINUER,\0cce5b52  Fortfahren,\0cce5b52     Continua,\0cce5b52      Continuar,\0cce5b52      Devam Et,01
99,eol_levelclear:0:*,Level Clear!,NIVEAU TERMINÉ !,Level geschafft!,LIVELLO COMPLETATO!,¡Nivel superado!,Bölüm Tamamlandı!,01
100,eol_retry:0:*,\x_button_32         Retry,\x_button_32     <space=0.5>RÉESSAYER,\x_button_32   Von vorne,\x_button_32    <space=0.5>Ricomincia,\x_button_32       Otra vez,\x_button_32         Tekrar Dene,01
101,eol_retry_confirm:0:*,Are you sure you want to retry the level?,RÉESSAYER CE NIVEAU ?,Level wirklich von vorne beginnen?,Vuoi davvero ricominciare il livello?,¿Seguro que quieres repetir este nivel?,Bölümü yeniden denemek|istediğinden emin misin?,01
102,eol_retry_core:0:*,\x_button_32         Retry,\x_button_32     <space=0.5>RÉESSAYER,\x_button_32   Von vorne,\x_button_32    <space=0.5>Ricomincia,\x_button_32       Otra vez,\x_button_32         Tekrar Dene,01
103,eol_unlock_diorama:0:*,DIORAMA GALLERY UPDATED!,DU NOUVEAU DANS LES DIORAMAS !,DIORAMEN-GALERIE AKTUALISIERT!,NUOVI DIORAMI DISPONIBILI!,¡Galería de dioramas actualizada!,DİYORAMA GALERİSİ GÜNCELLENDİ!,01
104,eol_unlock_image:0:*,IMAGE GALLERY UPDATED!,DU NOUVEAU DANS LES IMAGES !,BILDER-GALERIE AKTUALISIERT!,NUOVE IMMAGINI DISPONIBILI!,¡Galería de imágenes actualizada!,GÖRSEL GALERİSİ GÜNCELLENDİ!,01
105,eol_unlock_music:0:*,MUSIC GALLERY UPDATED!,DU NOUVEAU DANS LES MUSIQUES !,MUSIK-GALERIE AKTUALISIERT!,NUOVE MUSICHE DISPONIBILI!,¡Galería musical actualizada!,MÜZİK GALERİSİ GÜNCELLENDİ!,01
106,eol_unlock_nosavegame:0:*,Good Job!,BRAVO !,Bravo!,Ben fatto!,¡Bien hecho!,Aferin!,01
107,eol_viewreplay:0:*,\y_button_32	    View Replay,\y_button_32	        REVOIR,\y_button_32 Wiederholung,\y_button_32	 <squish=0.90>Guarda il replay,\y_button_32   Ver repetición,\y_button_32	    Tekrarı İzle,01
108,eol_viewreplay_core:0:*,\y_button_32	    View Replay,\y_button_32	        REVOIR,\y_button_32 Wiederholung,\y_button_32	 <squish=0.90>Guarda il replay,\y_button_32   Ver repetición,\y_button_32	    Tekrarı İzle,01
109,eol_worldclear:0:*,World Clear!,MONDE TERMINÉ !,Welt geschafft!,MONDO COMPLETATO!,¡Mundo superado!,Dünya Tamamlandı!,01
110,exitboard:0:*,Exit,<squish=0.60>SORTIE,<squish=0.5>Zurück,<squish=0.60>USCITA,<squish=0.6>Salida,<squish=0.8>ÇIKIŞ,01
111,extras_diorama:0:*,Diorama Gallery,DIORAMAS,Dioramen-Galerie,GALLERIA DIORAMI,<scale=0.9>Galería de dioramas,Diyorama Galerisi,01
112,extras_diorama_categories:0:*,Jungle,DIORAMA DE LA JUNGLE,Dschungel,GIUNGLA,Jungla,Cangıl,01
113,extras_diorama_categories:1:*,Beach,DIORAMA DE LA PLAGE,Strand,SPIAGGIA,Playa,Sahil,01
114,extras_diorama_categories:2:*,Ruins,DIORAMA DES RUINES,Ruinen,ROVINE,Ruinas,Harabeler,01
115,extras_diorama_categories:3:*,Cave,DIORAMA DE LA CAVERNE,Höhle,CAVERNE,Caverna,Mağara,01
116,extras_diorama_categories:4:*,Forest,DIORAMA DE LA FORÊT,Wald,FORESTA,Bosque,Orman,01
117,extras_diorama_categories:5:*,Cliff,DIORAMA DE LA FALAISE,Klippen,SCOGLIERA,Acantilado,Uçurum,01
118,extras_diorama_categories:6:*,Factory,DIORAMA DE L'USINE,Fabrik,FABBRICA,Fábrica,Fabrika,01
119,extras_diorama_categories:7:*,Volcano,DIORAMA DU VOLCAN,Vulkan,VULCANO,Volcán,Volkan,01
120,extras_diorama_instruction:0:*,\tstick_all_directions      Rotate,\tstick_all_directions  <squish=0.9>FAIRE PIVOTER,\tstick_all_directions<squish=0.8>Diorama drehen,\tstick_all_directions     Ruota,\tstick_all_directions       Girar,\tstick_all_directions      Döndür,01
