file,index,label,TR_Turkish
CheckSaveData.msbt,6,MiiDBFormatted,"⟦MSBT:0E00000003000400FF4600FF⟧Mii Oluşturucu⟦MSBT:0E00000003000400000000FF⟧'nun
⟦MSBT:0E00000003000400FF4600FF⟧kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozulmuştu.
Yeni kayıt verisi oluşturuldu."
CheckSaveData.msbt,7,CreateExtSaveData,
CheckSaveData.msbt,8,RecreateExtSaveData,
CheckSaveData.msbt,9,NotFoundSDCard,
CheckSaveData.msbt,10,NotEnoughSpaceSDCard,
CommonUI.msbt,0,DialogYes,⟦MSBT:0E000000020002005300⟧Evet⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,1,DialogNo,⟦MSBT:0E000000020002005000⟧Hayır⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,2,DialogOK,⟦MSBT:0E000000020002003C00⟧Tamam⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,3,SaveInfoMessage,Kaydediliyor...
CommonUI.msbt,4,TitleRights,"©2014 HAL Laboratory, Inc. / Nintendo"
DeGo.msbt,0,CommonLabelLevel,Sv
DeGo.msbt,1,TitleNewGameBtn,⟦MSBT:0E000000020002004F00⟧Yeni Macera⟦MSBT:0E000000020002006400⟧
DeGo.msbt,2,TitleContinueBtn,Devam Et
DeGo.msbt,3,TitleBestTimeBtn,En İyi Süre
DeGo.msbt,4,TitleEndBtn,Çık
DeGo.msbt,5,ContinueStartBtn,Başla
DeGo.msbt,6,ContinueEndBtn,Geri
DeGo.msbt,7,StepShowRecordBtn,"⟦MSBT:0E000000020002006400⟧Süreyi
Gör⟦MSBT:0E000000020002006400⟧"
DeGo.msbt,8,LevelClearTitle,⟦MSBT:0E000000020002004E00⟧Bitirme Süresi⟦MSBT:0E000000020002006400⟧
DeGo.msbt,9,LevelClearBestTime,En İyi Süre
DeGo.msbt,10,LevelClearTotalTime,Toplam
DeGo.msbt,11,LevelClearBtn,Sonraki
DeGo.msbt,12,RecordEndBtnStep,Geri
DeGo.msbt,13,GameClearLevelResultBtn,⟦MSBT:0E000000020002004E00⟧Bitirme Süresi⟦MSBT:0E000000020002006400⟧
DeGo.msbt,14,GameClearExitLevelResultBtn,Geri
DeGo.msbt,15,GameClearEndBtn,Çık
DeGo.msbt,16,GameClearBestTime,EN İYİ
DeGo.msbt,17,GameClearNewRecord,YENİ!
DeGo.msbt,18,TimeSepHourMin,:
DeGo.msbt,19,TimeSepMinSec,:
DeGo.msbt,20,TimeSepSecMsec,","
DeGo.msbt,21,TimeNotAvailableHour,-
DeGo.msbt,22,TimeNotAvailableMin,-
DeGo.msbt,23,TimeNotAvailableSec,-
DeGo.msbt,24,TimeNotAvailableMsec,-
DeGo.msbt,25,BestTimeMyRecordTitle,En İyi Süre
DeGo.msbt,26,BestTimeMyLevel,Sv
DeGo.msbt,27,BestTimeRivalRecordTitle,⟦MSBT:0E000000020002005600⟧StreetPass Süresi⟦MSBT:0E000000020002006400⟧
DeGo.msbt,28,BestTimeRivalLevel,Sv
DeGo.msbt,29,BestTimeStageClearTime,Bitirme Süresi
DeGo.msbt,30,BestTimeExplain,"⟦MSBT:0E000000020002006300⟧⟦MSBT:0E00000003000400FFDE00FF⟧En iyi Dedede Turu⟦MSBT:0E00000003000400000000FF⟧
sürelerini ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'le
paylaş; arkadaşlarının
rekorunu geç!⟦MSBT:0E000000020002006400⟧"
DeGo.msbt,31,BestTimeEndBtn,⟦MSBT:0E000000020002006400⟧Geri⟦MSBT:0E000000020002006400⟧
DeGo.msbt,32,SaveDialogText,"Bir dahaki oynayışında,
⟦MSBT:0E00000003000400FF4B32FF⟧Devam Et⟦MSBT:0E00000003000400000000FF⟧'i seçerek
kaldığın yerden oynayabilirsin."
DeGo.msbt,33,GameOverContinueBtn,Devam Et
DeGo.msbt,34,GameOverExitBtn,Oyundan Çık
DeGo.msbt,35,TutorialHeader1,"⟦MSBT:0E000000020002005A00⟧Dedede, Dedede Turu'na çıkıyor!⟦MSBT:0E000000020002006400⟧"
DeGo.msbt,36,TutorialHeader2,Işın Geçitleriyle zaman kazan!
DeGo.msbt,37,TutorialHeader3,Acımasız bir DX patron!
DeGo.msbt,38,TutorialContent1,"⟦MSBT:0E000000020002005800⟧Kraliyet usulü bir
⟦MSBT:0E00000003000400FFDE00FF⟧zamana karşı yarış⟦MSBT:0E00000003000400000000FF⟧!
⟦MSBT:0E00000003000400FFDE00FF⟧Hikâye moduna⟦MSBT:0E00000003000400000000FF⟧ göre daha az
iyileştirme eşyası bulacaksın.⟦MSBT:0E000000020002006400⟧"
DeGo.msbt,39,TutorialContent2,"⟦MSBT:0E000000020002005800⟧⟦MSBT:0E00000003000400FFDE00FF⟧Işın Geçitlerini⟦MSBT:0E00000003000400000000FF⟧ bulup
daha ilerideki bölümlere
atla. Harika ⟦MSBT:0E00000003000400FFDE00FF⟧kestirmelerdir⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
DeGo.msbt,40,TutorialContent3,"⟦MSBT:0E000000020002005800⟧Yolda ⟦MSBT:0E00000003000400FFDE00FF⟧DX patronlarla⟦MSBT:0E00000003000400000000FF⟧
savaşacak, sonunda da onun
⟦MSBT:0E00000003000400FFDE00FF⟧intikamıyla⟦MSBT:0E00000003000400000000FF⟧ yüzleşeceksin.⟦MSBT:0E000000020002006400⟧"
Den.msbt,0,GameOverExitButtonTitle,Bölüm Seçimi
Den.msbt,1,GameOverRestartButtonTitle,Tekrar Dene
Den.msbt,2,PauseRestartButtonTitle,Baştan
Den.msbt,3,PauseContinueButtonTitle,⟦MSBT:0E000000020002005A00⟧Devam⟦MSBT:0E000000020002006400⟧
Den.msbt,4,PauseEndButtonTitle,Çık
Den.msbt,5,PauseDialogYesButtonTitle,⟦MSBT:0E000000020002004E00⟧Evet⟦MSBT:0E000000020002006400⟧
Den.msbt,6,PauseDialogNoButtonTitle,⟦MSBT:0E000000020002004B00⟧Hayır⟦MSBT:0E000000020002006400⟧
Den.msbt,7,PauseDialogRetryText,"⟦MSBT:0E00000003000400FFDE00FF⟧Baştan⟦MSBT:0E00000003000400000000FF⟧ denemek
ister misin?"
Den.msbt,8,PauseDialogExitText,"Oyundan çıkıp ⟦MSBT:0E00000003000400FFDE00FF⟧bölüm
seçimine⟦MSBT:0E00000003000400000000FF⟧ dönülsün mü?"
Den.msbt,9,PauseBgUpText00,⟦MSBT:0E000000020002004600⟧Yüksek Zıplama⟦MSBT:0E000000020002006400⟧
Den.msbt,10,PauseBgUpText01,Ters Vuruş
Den.msbt,11,PauseBgLoText00,⟦MSBT:0E000000020002004600⟧Yüksek Zıplama⟦MSBT:0E000000020002006400⟧
Den.msbt,12,PauseBgLoText01,Ters Vuruş
Den.msbt,13,PauseBgLoText02,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Davula indiğinde⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00010000000000⟧'ya bas.⟦MSBT:0E000000020002006400⟧
Den.msbt,14,PauseBgLoText03,"⟦MSBT:0E000000020002004B00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Art arda yüksek zıpla⟦MSBT:0E00000003000400000000FF⟧, daha yükseğe çık!⟦MSBT:0E000000020002006400⟧"
Den.msbt,15,PauseBgLoText04,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Zıplamanın zirvesinde⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00010000000000⟧'ya bas!⟦MSBT:0E000000020002006400⟧
Den.msbt,16,TitleStartBtn,Başla
Den.msbt,17,TitleButtonLv1,Seviye 1
Den.msbt,18,TitleButtonLv2,Seviye 2
Den.msbt,19,TitleButtonLv3,Seviye 3
Den.msbt,20,TitleButtonExtra,Ekstra
Den.msbt,21,TitleHeaderLv1,Seviye 1
Den.msbt,22,TitleHeaderLv2,Seviye 2
Den.msbt,23,TitleHeaderLv3,Seviye 3
Den.msbt,24,TitleHeaderExtra,Ekstra
Den.msbt,25,TitleButtonExit,Çık
Den.msbt,26,TitleButtonToTitle,Geri
Den.msbt,27,TitleButtonBack,Geri
Den.msbt,28,TitleButtonRanking,Sıralama
Den.msbt,29,TitleButtonTutorial,Öğretici
Den.msbt,30,TitleButtonTutorialStart,Başla
Den.msbt,31,TitleBarHiscoreText,En İyi
Den.msbt,32,TitleInfoLv1,Yeşil Çayırlar
Den.msbt,33,TitleInfoLv1RankingHeader,Yeşil Çayırlar
Den.msbt,34,TitleInfoLv1ExpUL,"⟦MSBT:0E000000020002005A00⟧Yeni başlayanlar için ideal.
Ritme uy ve
⟦MSBT:0E00010000000000⟧ basarak ⟦MSBT:0E00000003000400FFDE00FF⟧zıpla⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
Den.msbt,35,TitleInfoLv2,Gurme Koşusu
Den.msbt,36,TitleInfoLv2RankingHeader,Gurme Koşusu
Den.msbt,37,TitleInfoLv2ExpL,"Açmak için ⟦MSBT:0E00000003000400FFDE00FF⟧Seviye 1⟦MSBT:0E00000003000400000000FF⟧'i
tamamla!"
Den.msbt,38,TitleInfoLv2ExpUL,"⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Gurme⟦MSBT:0E00000003000400000000FF⟧ pistte ⟦MSBT:0E00000003000400FFDE00FF⟧tempo⟦MSBT:0E00000003000400000000FF⟧ hızlanır!
⟦MSBT:0E00000003000400FFDE00FF⟧Hareketli davullara⟦MSBT:0E00000003000400000000FF⟧
dikkat et!⟦MSBT:0E000000020002006400⟧"
Den.msbt,39,TitleInfoLv3,Dedede Teması
Den.msbt,40,TitleInfoLv3RankingHeader,Dedede Teması
Den.msbt,41,TitleInfoLv3ExpL,"Açmak için ⟦MSBT:0E00000003000400FFDE00FF⟧Seviye 1⟦MSBT:0E00000003000400000000FF⟧'i
tamamla!"
Den.msbt,42,TitleInfoLv3ExpUL,"⟦MSBT:0E000000020002005A00⟧Kralın kendi tema şarkısı.
⟦MSBT:0E00000003000400FFDE00FF⟧Hızlı tempo⟦MSBT:0E00000003000400000000FF⟧ yüzünden
davullar ⟦MSBT:0E00000003000400FFDE00FF⟧kırılabilir⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
Den.msbt,43,TitleInfoExtra,Uzak Gezgin
Den.msbt,44,TitleInfoExtraRankingHeader,Uzak Gezgin
Den.msbt,45,TitleInfoExtraExpL,"⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Diğer tüm seviyelerde⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FFDE00FF⟧altın madalya⟦MSBT:0E00000003000400000000FF⟧ kazandığında
oynanabilir!⟦MSBT:0E000000020002006400⟧"
Den.msbt,46,TitleInfoExtraExpUL,"⟦MSBT:0E000000020002005A00⟧Diğer seviyelerde ustaysan
zorlu ⟦MSBT:0E00000003000400FFDE00FF⟧bonus bölüme⟦MSBT:0E00000003000400000000FF⟧
meydan oku. Bol şans!⟦MSBT:0E000000020002006400⟧"
Den.msbt,47,ResultBtnExit,Bölüm Seçimi
Den.msbt,48,ResultBtnRetry,Tekrar Dene
Den.msbt,49,ResultBonusTime,"Zaman
Bonusu"
Den.msbt,50,ResultBonusTime2,Zaman Bonusu
Den.msbt,51,ResultBonusBackBeat,"Mükemmel
Ters Vuruş"
Den.msbt,52,ResultBonusBackBeat2,⟦MSBT:0E000000020002003C00⟧Mükemmel Ters Vuruş⟦MSBT:0E000000020002006400⟧
Den.msbt,53,ResultBonusNoDamage,Hasarsız
Den.msbt,54,ResultBonusNoDamage2,Hasarsız
Den.msbt,55,ResultBonusCoin,"Tüm
Jetonlar"
Den.msbt,56,ResultBonusCoin2,Tüm Jetonlar
Den.msbt,57,ResultClearTimeText,⟦MSBT:0E000000020002004600⟧Bitirme Süresi⟦MSBT:0E000000020002006400⟧
Den.msbt,58,TutorialTextPage1,"⟦MSBT:0E000000020002005000⟧Davullarda ⟦MSBT:0E00000003000400FFDE00FF⟧Kral Dedede⟦MSBT:0E00000003000400000000FF⟧'yi
zıplat! ⟦MSBT:0E00010009000000⟧ ile ilerle,
⟦MSBT:0E00000003000400FFDE00FF⟧hedefe⟦MSBT:0E00000003000400000000FF⟧ ulaş!⟦MSBT:0E000000020002006400⟧"
Den.msbt,59,TutorialTextPage2,"⟦MSBT:0E000000020002005300⟧Davula inerken ⟦MSBT:0E00010000000000⟧'ya basıp
⟦MSBT:0E00000003000400FFDE00FF⟧yüksek zıpla⟦MSBT:0E00000003000400000000FF⟧! Art arda
yüksek zıplarsan daha
yükseğe çıkarsın!⟦MSBT:0E000000020002006400⟧"
Den.msbt,60,TutorialTextPage3,"⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Müzik Jetonları⟦MSBT:0E00000003000400000000FF⟧ topla,
puan kazan ve
⟦MSBT:0E00000003000400FFDE00FF⟧rekor kır⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
Den.msbt,61,TutorialTextPage4,"⟦MSBT:0E000000020002005500⟧Zıplamanın ⟦MSBT:0E00000003000400FFDE00FF⟧zirvesinde⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00010000000000⟧'ya bas; ⟦MSBT:0E00000003000400FFDE00FF⟧ters vuruşta⟦MSBT:0E00000003000400000000FF⟧
alkışlayıp puanını
artır!⟦MSBT:0E000000020002006400⟧"
Den.msbt,62,TutorialContent01Text01,⟦MSBT:0E000000020002005B00⟧Kral Dedede⟦MSBT:0E000000020002006400⟧
Den.msbt,63,TutorialContent01Text02,Süre Sınırı
Den.msbt,64,TutorialContent02Text01,⟦MSBT:0E000000020002004E00⟧Yüksek Zıplama⟦MSBT:0E000000020002006400⟧
Den.msbt,65,TutorialContent03Text01,Müzik Jetonları
Den.msbt,66,TutorialContent03Text02,⟦MSBT:0E000000020002005F00⟧500 puan⟦MSBT:0E000000020002006400⟧
Den.msbt,67,TutorialContent03Text03,⟦MSBT:0E000000020002005F00⟧200 puan⟦MSBT:0E000000020002006400⟧
Den.msbt,68,TutorialContent03Text04,50⟦MSBT:0E000000020002005F00⟧ puan⟦MSBT:0E000000020002006400⟧
Den.msbt,69,TutorialContent04Text01,Ters Vuruş
FightSingle.msbt,0,AbilitySelectHeaderText,Kopya Yeteneği Seç
FightSingle.msbt,1,AbilitySelectButtonBack,Geri
FightSingle.msbt,2,AbilitySelectButtonStart,Başla
FightSingle.msbt,3,SingleModeText,Tek Oyuncu
FightSingle.msbt,4,BestTimeText,En İyi Süre
FightSingle.msbt,5,LevelTextAbilitySelectLo,Zorluk
FightSingle.msbt,6,LevelEasyAbilitySelectLo,Kolay
FightSingle.msbt,7,LevelNormalAbilitySelectLo,Normal
FightSingle.msbt,8,LevelHardAbilitySelectLo,Zor
FightSingle.msbt,9,LevelVeryHardAbilitySelectLo,⟦MSBT:0E000000020002006400⟧Çok Zor⟦MSBT:0E000000020002006400⟧
FightSingle.msbt,10,LevelTextAbilitySelectUp,Zorluk
FightSingle.msbt,11,LevelEasyAbilitySelectUp,Kolay
FightSingle.msbt,12,LevelNormalAbilitySelectUp,Normal
FightSingle.msbt,13,LevelHardAbilitySelectUp,Zor
FightSingle.msbt,14,LevelVeryHardAbilitySelectUp,Çok Zor
FightSingle.msbt,15,LevelTextResultLo,Zorluk
FightSingle.msbt,16,LevelEasyResultLo,Kolay
FightSingle.msbt,17,LevelNormalResultLo,Normal
FightSingle.msbt,18,LevelHardResultLo,Zor
FightSingle.msbt,19,LevelVeryHardResultLo,Çok Zor
FightSingle.msbt,20,LevelTextBattleLo,Zorluk
FightSingle.msbt,21,LevelEasyBattleLo,Kolay
FightSingle.msbt,22,LevelNormalBattleLo,Normal
FightSingle.msbt,23,LevelHardBattleLo,Zor
FightSingle.msbt,24,LevelVeryHardBattleLo,⟦MSBT:0E000000020002006200⟧Çok Zor⟦MSBT:0E000000020002006400⟧
FightSingle.msbt,25,BattleClearTime,Bitirme Süresi
FightSingle.msbt,26,ResultClearTime,Toplam Süre
FightSingle.msbt,27,ResultClearTimeShort,Toplam
FightSingle.msbt,28,ShadowKirbyName,Gölge Kirby
FightSingle.msbt,29,RemindBattleText,⟦MSBT:0E000000020002005000⟧Kalan:⟦MSBT:0E000000020002006400⟧
FightSingle.msbt,30,GameOverContinueText,Devam
FightSingle.msbt,31,GameOverExitText,Çık
FightSingle.msbt,32,GameOverDialog,Çıkmak istiyor musun?
FightSingle.msbt,33,AbilityWhip,Kırbaç
FightSingle.msbt,34,AbilityCutter,Kesici
FightSingle.msbt,35,AbilitySword,Kılıç
FightSingle.msbt,36,AbilityNinja,Ninja
FightSingle.msbt,37,AbilityParasol,Şemsiye
FightSingle.msbt,38,AbilityHammer,Çekiç
FightSingle.msbt,39,AbilityBeam,Işın
FightSingle.msbt,40,AbilityFighter,Dövüşçü
FightSingle.msbt,41,AbilityBomb,Bomba
FightSingle.msbt,42,AbilitySniper,Okçu
FightTitle.msbt,0,SingleBtn,⟦MSBT:0E000000020002004800⟧Tek Oyuncu⟦MSBT:0E000000020002006400⟧
FightTitle.msbt,1,MultiBtn,⟦MSBT:0E000000020002004B00⟧Çok Oyuncu⟦MSBT:0E000000020002006400⟧
FightTitle.msbt,2,TrainingBtn,Antrenman
FightTitle.msbt,3,EndBtn,⟦MSBT:0E000000020002005500⟧Çık⟦MSBT:0E000000020002006400⟧
FightVs.msbt,0,HeaderMulti,Çok Oyunculu
FightVs.msbt,1,HeaderTraining,Antrenman
FightVs.msbt,2,ExplainWait,Lütfen bekleyin...
FightVs.msbt,3,ExplainWaitWithCancel,"Lütfen bekleyin...
⟦MSBT:0E000000020002005A00⟧(İptal için ⟦MSBT:0E00010001000000⟧ tuşuna basın.)⟦MSBT:0E000000020002006400⟧"
FightVs.msbt,4,ExplainSendDLP,"İndirme Oyunu verileri
aktarılıyor..."
FightVs.msbt,5,ExplainMapRandom,Rastgele harita seçildi.
FightVs.msbt,6,ExplainMapBattlefield,Çiçek Diyarı seçildi.
FightVs.msbt,7,ExplainMapCastleLololo,Lololo Kalesi seçildi.
FightVs.msbt,8,ExplainMapDededeRing,⟦MSBT:0E000000020002006300⟧Dedede Arenası seçildi.⟦MSBT:0E000000020002006400⟧
FightVs.msbt,9,ExplainMapBubblyClouds,⟦MSBT:0E000000020002006100⟧Pofuduk Bulutlar seçildi.⟦MSBT:0E000000020002006400⟧
FightVs.msbt,10,ExplainMapFactory,Fabrika Turu seçildi.
FightVs.msbt,11,ExplainMapForestCoo,Coo'nun Ormanı seçildi.
FightVs.msbt,12,ExplainMapLastStage,⟦MSBT:0E000000020002005B00⟧Başka Bir Boyut seçildi.⟦MSBT:0E000000020002006400⟧
FightVs.msbt,13,OperationHeroSelect,⟦MSBT:0E00010004000000⟧ ⟦MSBT:0E00010005000000⟧ Renk değiştir       ⟦MSBT:0E00010003000000⟧ Ayarlar
FightVs.msbt,14,OperationHeroSelectNoColorChange,⟦MSBT:0E00010003000000⟧ Ayarlar
FightVs.msbt,15,OperationAbilitySelect,⟦MSBT:0E00010004000000⟧ ⟦MSBT:0E00010005000000⟧ Renk değiştir     ⟦MSBT:0E00010010000000⟧⟦MSBT:0E00010011000000⟧⟦MSBT:0E00010012000000⟧ Kontroller
FightVs.msbt,16,VSExplainGhostTitle,⟦MSBT:0E000000020002006400⟧Hayalet Kirby Hakkında⟦MSBT:0E000000020002006400⟧
FightVs.msbt,17,VSExplainGhostContent,"⟦MSBT:0E000000020002005A00⟧Nakavt olsan bile,
⟦MSBT:0E00000003000400FFFF00FF⟧Hayalet Kirby⟦MSBT:0E00000003000400000000FF⟧ olarak devam et!
Rakiplerine ⟦MSBT:0E00000003000400FFFF00FF⟧saldır⟦MSBT:0E00000003000400000000FF⟧ ve
⟦MSBT:0E00000003000400FFFF00FF⟧yeniden diril⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
FightVs.msbt,18,VSExplainGhostComment,"⟦MSBT:0E000000020002005300⟧Hayalet Kirby, ⟦MSBT:0E00000003000400D2230DFF⟧çok oyunculu⟦MSBT:0E00000003000400000000FF⟧ ve ⟦MSBT:0E00000003000400D2230DFF⟧antrenman⟦MSBT:0E00000003000400000000FF⟧ modlarında görünür.⟦MSBT:0E000000020002006400⟧"
FightVs.msbt,19,VSExplainHandicapTitle,
FightVs.msbt,20,VSExplainHandicapContent,
FightVs.msbt,21,VSExplainHandicapComment,
FightVs.msbt,22,ComplementReady,"⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00000003000400FFFF00FF⟧Yapay zekâ ayarlarını⟦MSBT:0E00000003000400000000FF⟧
buradan değiştirebilirsin.
Bitirince ⟦MSBT:0E00000003000400FFFF00FF⟧Tamam⟦MSBT:0E00000003000400000000FF⟧'ı seç.⟦MSBT:0E000000020002006400⟧"
FightVs.msbt,23,ComplementReadyNoCom,"Hazırlığın bitince
⟦MSBT:0E00000003000400FFFF00FF⟧Tamam⟦MSBT:0E00000003000400000000FF⟧'ı seç."
FightVs.msbt,24,ComplementWaitOtherPlayer,Diğer oyuncular hâlâ seçiyor.
FightVs.msbt,25,ComplementEntryCom,"⟦MSBT:0E00000003000400FFFF00FF⟧Dövüşecek kimse yok⟦MSBT:0E00000003000400000000FF⟧!
Lütfen bir CPU rakibi ekle."
FightVs.msbt,26,GroupSearchTitle,Lütfen bir gruba katılın.
FightVs.msbt,27,GroupSearchTitleNoRuby,Lütfen bir gruba katılın.
FightVs.msbt,28,GroupSearchExplain,"Yeni grup oluşturmak için
⟦MSBT:0E00000003000400FFFF00FF⟧Grup Oluştur⟦MSBT:0E00000003000400000000FF⟧'u seç."
FightVs.msbt,29,GroupJoinedTitle,Rakipler bekleniyor...
FightVs.msbt,30,GroupJoinedTitleNoRuby,Rakipler bekleniyor...
FightVs.msbt,31,GroupJoinedExplain,"Oyuna sahip olmayanlar
HOME Menüsündeki
⟦MSBT:0E00000003000400FFFF00FF⟧İndirme Oyunu⟦MSBT:0E00000003000400000000FF⟧ ile
katılabilir!"
FightVs.msbt,32,GroupJoinedExplainDLApp,"Sistemini ⟦MSBT:0E00000003000400FFFF00FF⟧güncellemeden⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FFFF00FF⟧İndirme Oyunu⟦MSBT:0E00000003000400000000FF⟧
özelliğini kullanamazsın."
FightVs.msbt,33,DialogExitUseNet,"⟦MSBT:0E00000003000400FF4B32FF⟧Oyundan çıkıp⟦MSBT:0E00000003000400000000FF⟧
başlık ekranına dönülsün mü?
(Grup oturumu bitecek.)"
FightVs.msbt,34,DialogErrorDefault,"⟦MSBT:0E000000020002005A00⟧Bir ⟦MSBT:0E00000003000400FF4B32FF⟧iletişim hatası⟦MSBT:0E00000003000400000000FF⟧ oluştu.
Başlık ekranına dönülüyor.⟦MSBT:0E000000020002006400⟧"
