file,index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
Arena.msbt,10,RankingText,Rankings,⟦MSBT:0E000000020002005F00⟧Classement⟦MSBT:0E000000020002006400⟧,Rangliste,Podio,⟦MSBT:0E000000020002005600⟧Clasificación⟦MSBT:0E000000020002006400⟧,랭킹,Sıralamalar
Arena.msbt,11,RankingEndBtn,Back,⟦MSBT:0E000000020002005500⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004600⟧Indietro⟦MSBT:0E000000020002006400⟧,Atrás,뒤로,Geri
Arena.msbt,12,RankingRivalTime,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,엇갈림 타임,StreetPass
Arena.msbt,13,RankingRivalName,Rival,Adversaire,⟦MSBT:0E000000020002006400⟧Gegner⟦MSBT:0E000000020002006400⟧,Avversario,Rival,라이벌,Rakip
Arena.msbt,14,RankingLoMainText,"⟦MSBT:0E000000020002005A00⟧Trade your ⟦MSBT:0E00000003000400FF693CFF⟧best times ⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧using ⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧! Beat⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧your rivals' times to⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧become the ⟦MSBT:0E00000003000400FF693CFF⟧Champion⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Partagez vos ⟦MSBT:0E00000003000400FF693CFF⟧records⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧grâce à ⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧Surpassez vos rivaux et⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧devenez le ⟦MSBT:0E00000003000400FF693CFF⟧champion⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Tauscht eure ⟦MSBT:0E00000003000400FF693CFF⟧Zeiten ⟦MSBT:0E00000003000400000000FF⟧über⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧! Schlage die⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧Zeiten deiner Gegner,⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧um zu ⟦MSBT:0E00000003000400FF693CFF⟧gewinnen⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Scambia i tuoi ⟦MSBT:0E00000003000400FF693CFF⟧record⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧tramite ⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧Supera tutti i tuoi⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧avversari⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧Comparte tus ⟦MSBT:0E00000003000400FF693CFF⟧mejores⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005400⟧⟦MSBT:0E00000003000400FF693CFF⟧tiempos ⟦MSBT:0E00000003000400000000FF⟧mediante ⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005400⟧¡Supera a tus rivales para⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005400⟧lograr la ⟦MSBT:0E00000003000400FF693CFF⟧victoria⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF693CFF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧으로
베스트 타임을 ⟦MSBT:0E00000003000400FF693CFF⟧교환!
⟦MSBT:0E00000003000400000000FF⟧라이벌을 뛰어넘는 기록으로
⟦MSBT:0E00000003000400FF693CFF⟧격투왕이 되자!⟦MSBT:0E00000003000400000000FF⟧","⟦MSBT:0E000000020002005A00⟧En iyi ⟦MSBT:0E00000003000400FF693CFF⟧sürelerini⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile paylaş!⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧Rakiplerinin sürelerini geç,⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧Şampiyon⟦MSBT:0E00000003000400000000FF⟧ ol!⟦MSBT:0E000000020002006400⟧"
Arena.msbt,15,RankingLoMainText2,"⟦MSBT:0E000000020002005700⟧Trade your ⟦MSBT:0E00000003000400E73C24FF⟧best times⟦MSBT:0E00000003000400000000FF⟧
using⟦MSBT:0E00000003000400E73C24FF⟧ StreetPass⟦MSBT:0E00000003000400000000FF⟧! Beat
your rivals' times to
become the ⟦MSBT:0E00000003000400E73C24FF⟧True Champion⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Partagez vos ⟦MSBT:0E00000003000400E73C24FF⟧records⟦MSBT:0E00000003000400000000FF⟧
grâce à ⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ !
Surpassez vos rivaux et
devenez l'⟦MSBT:0E00000003000400E73C24FF⟧ultime champion⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧Tauscht eure ⟦MSBT:0E00000003000400E73C24FF⟧Zeiten⟦MSBT:0E00000003000400000000FF⟧ über
⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧! Schlage die
Zeiten deiner Gegner,
um ⟦MSBT:0E00000003000400E73C24FF⟧der Beste ⟦MSBT:0E00000003000400000000FF⟧zu sein!⟦MSBT:0E000000020002006400⟧","Scambia i tuoi ⟦MSBT:0E00000003000400E73C24FF⟧record⟦MSBT:0E00000003000400000000FF⟧
tramite ⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧!
Supera tutti i tuoi
⟦MSBT:0E00000003000400E73C24FF⟧avversari⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005000⟧Comparte tus ⟦MSBT:0E00000003000400E73C24FF⟧mejores
tiempos ⟦MSBT:0E00000003000400000000FF⟧mediante ⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.
¡Supera a tus rivales para
lograr la ⟦MSBT:0E00000003000400E73C24FF⟧victoria absoluta⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400E73C24FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧으로
베스트 타임을 ⟦MSBT:0E00000003000400E73C24FF⟧교환!
⟦MSBT:0E00000003000400000000FF⟧라이벌을 뛰어넘는 기록으로
⟦MSBT:0E00000003000400E73C24FF⟧격투왕 마스터가 되자!⟦MSBT:0E00000003000400000000FF⟧","⟦MSBT:0E000000020002005700⟧⟦MSBT:0E00000003000400E73C24FF⟧En iyi sürelerini⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile paylaş!
Rakiplerinin sürelerini geç ve
⟦MSBT:0E00000003000400E73C24FF⟧Gerçek Şampiyon⟦MSBT:0E00000003000400000000FF⟧ ol!⟦MSBT:0E000000020002006400⟧"
Arena.msbt,16,CommonRoundText,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ to go⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Reste : ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Noch ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002005A00⟧Ancora ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004C00⟧Faltaban: ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,앞으로 ⟦MSBT:0E00020001000000⟧라운드,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ kaldı⟦MSBT:0E000000020002006400⟧
Arena.msbt,17,CommonClearIcon,⟦MSBT:0E000000020002006000⟧Clear⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧OK⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Gut!⟦MSBT:0E000000020002006400⟧,OK!,⟦MSBT:0E000000020002005800⟧¡Bien!⟦MSBT:0E000000020002006400⟧,클리어,⟦MSBT:0E000000020002004400⟧Tamam⟦MSBT:0E000000020002006400⟧
Arena.msbt,18,MainNextText,Next,Suite,Weiter,⟦MSBT:0E000000020002004600⟧Prossimo⟦MSBT:0E000000020002006400⟧,Ahora,NEXT,⟦MSBT:0E000000020002005500⟧Sonraki⟦MSBT:0E000000020002006400⟧
Arena.msbt,19,MainRestText,To go,⟦MSBT:0E000000020002005800⟧Reste ⟦MSBT:0E000000020002006400⟧,Noch,⟦MSBT:0E000000020002005500⟧Ancora⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Faltan⟦MSBT:0E000000020002006400⟧,앞으로,Kalan
Arena.msbt,20,RankingRoundText,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ to go⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Reste : ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Noch ⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Ancora ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Faltaban: ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,앞으로 ⟦MSBT:0E00020001000000⟧라운드,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ kaldı⟦MSBT:0E000000020002006400⟧
Arena.msbt,21,TimeSepMinSec,:,:,:,:,:,:,:
Arena.msbt,22,TimeSepSecMsec,.,",",.,.,",",.,","
Arena.msbt,23,TimeBeforeStartMin,--,--,--,--,--,--,--
Arena.msbt,24,TimeBeforeStartSec,--,--,--,--,--,--,--
Arena.msbt,25,TimeBeforeStartMsec,--,--,--,--,--,--,--
Arena.msbt,26,TimeHiddenMin,??,??,⟦MSBT:0E000000020002006400⟧??⟦MSBT:0E000000020002006400⟧,??,??,??,??
Arena.msbt,27,TimeHiddenSec,??,??,??,??,??,??,??
Arena.msbt,28,TimeHiddenMsec,??,??,??,??,??,??,??
CheckSaveData.msbt,0,CreateFile,"Creating ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧. 
Please wait.","Création des ⟦MSBT:0E00000003000400FF4600FF⟧données
de sauvegarde⟦MSBT:0E00000003000400000000FF⟧...","Erstelle ⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧.
Bitte warten.","Creazione ⟦MSBT:0E00000003000400FF4600FF⟧dati di
salvataggio ⟦MSBT:0E00000003000400000000FF⟧in corso...
Attendi.","Creando ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 작성합니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧
oluşturuluyor.
Lütfen bekleyin."
CheckSaveData.msbt,1,CreateFileSuccess,⟦MSBT:0E00000003000400FF4600FF⟧Save data⟦MSBT:0E00000003000400000000FF⟧ created.,"Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauve-
garde ⟦MSBT:0E00000003000400000000FF⟧ont été créées.",⟦MSBT:0E000000020002005100⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ wurden erstellt.⟦MSBT:0E000000020002006400⟧,"I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧
sono stati creati.","Se han creado los ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧.",⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 작성했습니다.,⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ oluşturuldu.
CheckSaveData.msbt,2,RecreateFile,"Recreating ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧. 
Please wait.","⟦MSBT:0E000000020002006000⟧Création de nouvelles
⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧...⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005E00⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ werden erneut
erstellt. Bitte warten.⟦MSBT:0E000000020002006400⟧","Creazione nuovi ⟦MSBT:0E00000003000400FF4600FF⟧dati di
salvataggio ⟦MSBT:0E00000003000400000000FF⟧in corso...
Attendi.","Creando nuevos ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 다시 작성합니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturuluyor.
Lütfen bekleyin."
CheckSaveData.msbt,3,RepairData,"⟦MSBT:0E00000003000400FF4600FF⟧Save data⟦MSBT:0E00000003000400000000FF⟧ is corrupted.
Please wait while new
data is created...","⟦MSBT:0E000000020002004B00⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧
sont corrompues. Récupération
des données de sauvegarde...⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧Die ⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ sind fehler-
haft. Bitte warte, während
neue Daten erstellt werden.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧ sono
danneggiati. Creazione nuovi
dati in corso... Attendi.⟦MSBT:0E000000020002006400⟧","Los ⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧
están dañados.
Restaurando datos...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧가 손상되었습니다.
삭제 후 다시 작성하겠습니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozuldu.
Yeni veri oluşturuluyor.
Lütfen bekleyin..."
CheckSaveData.msbt,4,ErrorOccured,An ⟦MSBT:0E00000003000400FF4600FF⟧error ⟦MSBT:0E00000003000400000000FF⟧has occurred.,⟦MSBT:0E000000020002006000⟧Une ⟦MSBT:0E00000003000400FF4600FF⟧erreur ⟦MSBT:0E00000003000400000000FF⟧est survenue.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005E00⟧Ein ⟦MSBT:0E00000003000400FF4600FF⟧Fehler⟦MSBT:0E00000003000400000000FF⟧ ist aufgetreten.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006300⟧Si è verificato un ⟦MSBT:0E00000003000400FF4600FF⟧errore⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Se ha producido un ⟦MSBT:0E00000003000400FF4600FF⟧error⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FF4600FF⟧에러⟦MSBT:0E00000003000400000000FF⟧가 발생했습니다.,Bir ⟦MSBT:0E00000003000400FF4600FF⟧hata ⟦MSBT:0E00000003000400000000FF⟧oluştu.
CheckSaveData.msbt,5,IsExecFormat,Recreate ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧?,"⟦MSBT:0E000000020002005A00⟧Créer de nouvelles ⟦MSBT:0E00000003000400FF4600FF⟧données
de sauvegarde ⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002005D00⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ erneut erstellen?⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Creare nuovi ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧,"¿Quieres crear nuevos
⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧?","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를
다시 작성하시겠습니까?","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturulsun mu?"
CheckSaveData.msbt,6,MiiDBFormatted,"⟦MSBT:0E00000003000400FF4600FF⟧Save data ⟦MSBT:0E00000003000400000000FF⟧for ⟦MSBT:0E00000003000400FF4600FF⟧Mii Maker
⟦MSBT:0E00000003000400000000FF⟧was corrupted. New data
has been created.","⟦MSBT:0E000000020002005700⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧ de
l'⟦MSBT:0E00000003000400FF4600FF⟧éditeur Mii⟦MSBT:0E00000003000400000000FF⟧ étaient corrompues
et ont été réinitialisées.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Die ⟦MSBT:0E00000003000400FF4600FF⟧Daten⟦MSBT:0E00000003000400000000FF⟧ des ⟦MSBT:0E00000003000400FF4600FF⟧Mii-Makers⟦MSBT:0E00000003000400000000FF⟧
waren fehlerhaft und
und wurden repariert.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧ del ⟦MSBT:0E00000003000400FF4600FF⟧Centro di
Creazione Mii ⟦MSBT:0E00000003000400000000FF⟧erano danneggiati.
Sono stati creati nuovi dati.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Los ⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧
del ⟦MSBT:0E00000003000400FF4600FF⟧editor de Mii⟦MSBT:0E00000003000400000000FF⟧ estaban
dañados y se han restaurado.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4600FF⟧Mii 스튜디오⟦MSBT:0E00000003000400000000FF⟧의 ⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧가
손상되어 있어 삭제 후
다시 작성했습니다.","⟦MSBT:0E00000003000400FF4600FF⟧Mii Oluşturucu⟦MSBT:0E00000003000400000000FF⟧'nun
⟦MSBT:0E00000003000400FF4600FF⟧kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozulmuştu.
Yeni kayıt verisi oluşturuldu."
CheckSaveData.msbt,7,CreateExtSaveData,,,,,,,
CheckSaveData.msbt,8,RecreateExtSaveData,,,,,,,
CheckSaveData.msbt,9,NotFoundSDCard,,,,,,,
CheckSaveData.msbt,10,NotEnoughSpaceSDCard,,,,,,,
CommonUI.msbt,0,DialogYes,Yes,Oui,Ja,Sì,Sí,예,⟦MSBT:0E000000020002005300⟧Evet⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,1,DialogNo,No,Non,Nein,No,No,아니요,⟦MSBT:0E000000020002005000⟧Hayır⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,2,DialogOK,OK,OK,OK,OK,Vale,OK,⟦MSBT:0E000000020002003C00⟧Tamam⟦MSBT:0E000000020002006400⟧
CommonUI.msbt,3,SaveInfoMessage,Saving...,Sauvegarde...,Speichern...,Salvataggio...,Guardando...,저장 중,Kaydediliyor...
CommonUI.msbt,4,TitleRights,"©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo","©2014 HAL Laboratory, Inc. / Nintendo"
DeGo.msbt,0,CommonLabelLevel,Lv,⟦MSBT:0E000000020002005000⟧Niv. ⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Lv⟦MSBT:0E000000020002006400⟧,Liv.,Niv.,Lv,Sv
DeGo.msbt,1,TitleNewGameBtn,⟦MSBT:0E000000020002004F00⟧New Adventure⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Nouvelle aventure⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004700⟧Neues Abenteuer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005D00⟧Nuovo gioco⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Nueva aventura⟦MSBT:0E000000020002006400⟧,처음부터,⟦MSBT:0E000000020002004F00⟧Yeni Macera⟦MSBT:0E000000020002006400⟧
DeGo.msbt,2,TitleContinueBtn,Continue,Continuer,Fortsetzen,⟦MSBT:0E000000020002006400⟧Continua⟦MSBT:0E000000020002006400⟧,Continuar,이어서,Devam Et
DeGo.msbt,3,TitleBestTimeBtn,Best Time,Record,Bestzeit,⟦MSBT:0E000000020002005800⟧Tempi record⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧Mejor tiempo⟦MSBT:0E000000020002006400⟧,베스트 타임,En İyi Süre
