target_language,target_rbin_indices,target_rbin_hashes,target_message_indices,ctd_name,ctd_file_id,message_id,layout_index,wait_frames,source_fr,source_en,source_de,match_status,target_variant_count,translation
en,9,0x09B72EEA,13,ctmg000.ctd,0x36000000,0x3600000D,0,0,Gagne $d pt récomp. avt fin chrono !,Grab one prize point before time runs out!,Sammle innerh. d. Zeit 1 Bonuspunkt!,matched_fr_en_de,1,Süre dolmadan bir ödül puanı topla!
en,9,0x09B72EEA,14,ctmg000.ctd,0x36000000,0x3600000E,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,15,ctmg000.ctd,0x36000000,0x3600000F,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,16,ctmg000.ctd,0x36000000,0x36000010,0,0,Anneau final activé !,Goal ring activated!,Zielring! aktiviert!,matched_fr_en_de,1,Hedef halkası etkinleştirildi!
en,9,0x09B72EEA,17,ctmg000.ctd,0x36000000,0x36000011,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,18,ctmg000.ctd,0x36000000,0x36000012,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,19,ctmg000.ctd,0x36000000,0x36000013,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,20,ctmg000.ctd,0x36000000,0x36000014,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,21,ctmg000.ctd,0x36000000,0x36000015,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,22,ctmg000.ctd,0x36000000,0x36000016,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,23,ctmg000.ctd,0x36000000,0x36000017,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,24,ctmg000.ctd,0x36000000,0x36000018,0,0,Touche TÉLEPORTATION pr att. arrivée !,Touch WARP on the Touch Screen to jump to the finish line!,"Berühre WARP, um zum Ziel zu springen!",matched_fr_en_de,1,Bitiş çizgisine sıçramak için Dokunmatik Ekran'daki IŞINLAN seçeneğine dokun!
en,9,0x09B72EEA,25,ctmg000.ctd,0x36000000,0x36000019,0,0,"Approche, puis  : Frappe en piqué !","Get closer, then press  to perform a Diving Strike!",Für Sturzschlag geh ran und drücke !,matched_fr_en_de,1,"Yaklaş, ardından  düğmesine basarak Dalış Darbesi yap!"
en,9,0x09B72EEA,26,ctmg000.ctd,0x36000000,0x3600001A,0,0,"Quand le laser s'approche, ralentis !",Reduce your speed as the laser closes in to dodge it!,"Bremse ab, um dem Laser auszuweichen!",matched_fr_en_de,1,Lazer yaklaşınca ondan kaçınmak için hızını azalt!
en,9,0x09B72EEA,27,ctmg000.ctd,0x36000000,0x3600001B,0,0,Cache-toi pour éviter le super-laser !,"To avoid the super-laser, take cover behind the rocks!",Steine schützen vor dem Super-Laser!,matched_fr_en_de,1,Süper lazerden kaçınmak için kayaların arkasına saklan!
en,9,0x09B72EEA,28,ctmg000.ctd,0x36000000,0x36000100,1,0,Pugilamar,Brawlamari,Dreschtakel,matched_fr_en_de,1,Brawlamari
en,9,0x09B72EEA,29,ctmg000.ctd,0x36000000,0x36000101,1,0,Reine Piquebutine,Queen Buzzerfly,Königin Schwirrwarr,matched_fr_en_de,1,Kraliçe Buzzerfly
en,9,0x09B72EEA,30,ctmg000.ctd,0x36000000,0x36000102,1,0,Chernobog,Chernabog,Chernabog,matched_fr_en_de,1,Chernabog
en,9,0x09B72EEA,31,ctmg000.ctd,0x36000000,0x36000200,2,0,Récompenses,Total Prizes,Preise insgesamt,matched_fr_en_de,1,Toplam Ödül
en,9,0x09B72EEA,32,ctmg000.ctd,0x36000000,0x36000201,2,0,Temps total,Overall Time,Zeit insgesamt,matched_fr_en_de,1,Toplam Süre
en,9,0x09B72EEA,33,ctmg000.ctd,0x36000000,0x36000202,2,0,Frappe en piqué,Diving Strike,Sturzschlag,matched_fr_en_de,1,Dalış Darbesi
en,9,0x09B72EEA,34,ctmg000.ctd,0x36000000,0x36000203,2,0,Freinage aérien,Aerial Brake,Luftbremse,matched_fr_en_de,1,Hava Freni
en,9,0x09B72EEA,35,ctmg000.ctd,0x36000000,0x36000204,2,0,Roulade déviée,Dodging Deflect,Reflektor-Rolle,matched_fr_en_de,1,Savuşturan Kaçış
en,9,0x09B72EEA,36,ctmg000.ctd,0x36000000,0x36000205,2,0,Magie,Magic,Magie,matched_fr_en_de,1,Büyü
en,11,0x0B811EB8,0,ctyt200.ctd,0x04640000,0x04640000,0,0,,,,matched_fr_en_de,1,
en,11,0x0B811EB8,1,ctyt200.ctd,0x04640000,0x04650000,1,0,"Sept fragments de lumière,
treize de ténèbres...","Seven lights, thirteen darknesses...","Sieben Lichter, dreizehn Dunkel ...",matched_fr_en_de,1,"Yedi ışık, on üç karanlık..."
en,11,0x0B811EB8,2,ctyt200.ctd,0x04640000,0x04650100,2,0,Maître Xehanort n'a pas chômé !,Master Xehanort has been busy.,Meister Xehanort war fleißig.,matched_fr_en_de,1,Usta Xehanort boş durmamış.
en,11,0x0B811EB8,3,ctyt200.ctd,0x04640000,0x04650200,3,0,"Oh, Sora. Ne me dis pas
que ton cœur dort lui aussi.","Aw, Sora. Don't tell me
your heart's sleeping, too.","Ach, Sora.",matched_fr_en_de,1,"Ah, Sora. Yoksa senin de mi
kalbin uyuyor?"
en,11,0x0B811EB8,4,ctyt200.ctd,0x04640000,0x04650300,4,0,"Non, Mickey. Ce mal est différent.","No, Mickey. This affliction
is not the same.","Nein, Micky.",matched_fr_en_de,1,"Hayır, Mickey. Bu rahatsızlık
aynı değil."
en,11,0x0B811EB8,5,ctyt200.ctd,0x04640000,0x04650400,5,0,"On peut faire quelque chose
pour l'aider ?",Can we do anything for him?,Können wir etwas für ihn tun?,matched_fr_en_de,1,Onun için yapabileceğimiz bir şey var mı?
en,11,0x0B811EB8,6,ctyt200.ctd,0x04640000,0x04650500,6,0,"Lors de ton examen
du Symbole de maîtrise,","In your Mark of Mastery exam,","Bei deiner Meisterprüfung
musstest du sieben",matched_fr_en_de,1,"Ustalık Sınavı'nda,"
en,11,0x0B811EB8,7,ctyt200.ctd,0x04640000,0x04652900,7,0,"tu devais ouvrir
les sept Serrures endormies,","you were to unlock seven
Sleeping Keyholes.","Man muss nur
dieser Verbindung folgen!",matched_fr_en_de,1,"yedi Uyuyan Anahtar Deliği'ni
açman gerekiyordu."
en,11,0x0B811EB8,8,ctyt200.ctd,0x04640000,0x04650600,8,0,"afin de sortir
les mondes de leur torpeur","By doing so,","Auf diese Weise hast du diese Welten
aus ihrem Schlummer erweckt",matched_fr_en_de,1,"Bunu yaptığında,"
en,11,0x0B811EB8,9,ctyt200.ctd,0x04640000,0x04652A00,9,0,"dorment pendant
leur examen ?","you would awaken those worlds
from their prison of slumber,","Dabei handelt es sich
um ein anderes Leiden.",matched_fr_en_de,1,"o dünyaları hapsoldukları
uykudan uyandıracak,"
en,11,0x0B811EB8,10,ctyt200.ctd,0x04640000,0x04650700,10,0,"et d'acquérir la puissance nécessaire
pour réveiller un cœur endormi.","and also acquire the power to
free a heart from its sleep.","und die Kraft erlangt, ein Herz
aus seinem Schlafe zu befreien.",matched_fr_en_de,1,"aynı zamanda bir kalbi uykusundan
kurtarma gücünü kazanacaktın."
en,11,0x0B811EB8,11,ctyt200.ctd,0x04640000,0x04650800,11,0,"Riku, tu as ouvert ces Serrures
dans les rêves de Sora.","Riku, you unlocked those Keyholes
within Sora's dreams.","Riku, du hast diese Schlüssellöcher
in Soras Träumen geöffnet.",matched_fr_en_de,1,"Riku, o Anahtar Delikleri'ni
Sora'nın rüyalarında açtın."
en,11,0x0B811EB8,12,ctyt200.ctd,0x04640000,0x04650900,12,0,Il est donc vraisemblable,"Therefore, it stands to reason","Das heißt, dass du nun",matched_fr_en_de,1,"Dolayısıyla,"
en,11,0x0B811EB8,13,ctyt200.ctd,0x04640000,0x04652700,13,0,"que tu possèdes désormais le pouvoir
de réveiller le cœur de Sora.","that you now have the power
to awaken Sora's heart.","auch die Macht hast,
Soras Herz zu wecken.",matched_fr_en_de,1,"artık Sora'nın kalbini uyandıracak
güce sahip olduğun sonucuna varabiliriz."
en,11,0x0B811EB8,14,ctyt200.ctd,0x04640000,0x04650A00,14,0,"Riku doit replonger dans
le sommeil de Sora ?","You want him to dive
back into Sora's sleep?","Er soll wieder in Soras
Schlaf eintauchen?",matched_fr_en_de,1,"Yeniden Sora'nın uykusuna
dalmasını mı istiyorsunuz?"
en,11,0x0B811EB8,15,ctyt200.ctd,0x04640000,0x04650B00,15,0,"Mais le cœur de Sora se trouve
au plus profond des ténèbres.","But Master, Sora's heart is
down in the darkest abyss.","Aber Meister, Soras Herz befindet
sich in den finstersten Abgründen.",matched_fr_en_de,1,"Ama Usta, Sora'nın kalbi
en karanlık uçurumun dibinde."
en,11,0x0B811EB8,16,ctyt200.ctd,0x04640000,0x04650C00,16,0,"À la moindre imprudence, Riku risque
de s'y retrouver prisonnier, lui aussi.","If Riku's not careful, he might just
get trapped down there with him.","Riku könnte dort mit ihm eingesperrt
bleiben, wenn er nicht aufpasst.",matched_fr_en_de,1,"Riku dikkatli olmazsa orada
onunla birlikte kapana kısılabilir."
en,11,0x0B811EB8,17,ctyt200.ctd,0x04640000,0x04650D00,17,0,Pas question ! J'y vais à sa place.,No... I'll go instead.,"Nein, ich gehe an seiner Stelle.",matched_fr_en_de,1,Hayır... Onun yerine ben giderim.
en,11,0x0B811EB8,18,ctyt200.ctd,0x04640000,0x04650E00,18,0,"Je ne doute pas
de tes capacités, Mickey.","And perhaps you may
even succeed, Mickey.","Und vielleicht hättest
du sogar Erfolg, Micky.",matched_fr_en_de,1,"Belki sen de başarabilirsin, Mickey."
en,11,0x0B811EB8,19,ctyt200.ctd,0x04640000,0x04650F00,19,0,"Mais Riku est resté longtemps
dans le cœur de Sora","But there is no denying Riku
stands the better chance,","Aber Rikus Chancen
stehen besser,",matched_fr_en_de,1,"Fakat Riku'nun şansının
daha yüksek olduğu inkâr edilemez;"
en,11,0x0B811EB8,20,ctyt200.ctd,0x04640000,0x04652500,20,0,et a plus de chance de réussir.,"having dived into Sora's heart
as long as he has.","denn er ist schon oft in
Soras Herz eingetaucht.",matched_fr_en_de,1,"ne de olsa epeydir
Sora'nın kalbine dalıyor."
en,11,0x0B811EB8,21,ctyt200.ctd,0x04640000,0x04651000,21,0,"Mickey,
c'est très généreux de ta part.",Mickey...I really appreciate it.,"Micky, ich bin dir
wirklich sehr dankbar.",matched_fr_en_de,1,Mickey... Bunu gerçekten takdir ediyorum.
en,11,0x0B811EB8,22,ctyt200.ctd,0x04640000,0x04651100,22,0,"Mais... c'est moi qui
vais aller réveiller Sora.",But...I'll go wake Sora up.,"Aber ...
ich werde Sora aufwecken.",matched_fr_en_de,1,Ama... Sora'yı uyandırmaya ben gideceğim.
en,11,0x0B811EB8,23,ctyt200.ctd,0x04640000,0x04651200,23,0,Riku...,Riku.,Riku ...,matched_fr_en_de,1,Riku.
en,11,0x0B811EB8,24,ctyt200.ctd,0x04640000,0x04651300,24,0,"Regarde-le ! Il dort comme si
tout allait pour le mieux","Look at his face.
Sleeping like nothing's wrong―","Seht euch sein Gesicht an.
Er schläft, als sei alles in Ordnung,",matched_fr_en_de,1,"Yüzüne bakın. Hiçbir sorun yokmuş
gibi uyuyor―"
en,11,0x0B811EB8,25,ctyt200.ctd,0x04640000,0x04651400,25,0,dans le meilleur des mondes.,"like there's nothing to
even worry about.",als gäbe es keinen Grund zur Sorge.,matched_fr_en_de,1,"sanki endişelenecek
hiçbir şey yokmuş gibi."
en,11,0x0B811EB8,26,ctyt200.ctd,0x04640000,0x04651500,26,0,C'est du Sora tout craché.,He's always been like that.,Er ist schon immer so gewesen.,matched_fr_en_de,1,O hep böyleydi.
en,11,0x0B811EB8,27,ctyt200.ctd,0x04640000,0x04651600,27,0,"Le jour où on a décidé
de réparer le radeau,","The three of us would agree
to work on the raft,","Da beschließen wir drei,
ein Floß zu bauen,",matched_fr_en_de,1,"Üçümüz sal üzerinde çalışmaya
karar verirdik,"
en,11,0x0B811EB8,28,ctyt200.ctd,0x04640000,0x04652600,28,0,"il a préféré
faire une sieste sur la plage.","and then this guy would go
take a nap on the beach.","und er macht hier ein
Nickerchen am Strand.",matched_fr_en_de,1,"bu arkadaş da gidip
kumsalda uyuklardı."
en,11,0x0B811EB8,29,ctyt200.ctd,0x04640000,0x04651700,29,0,"Tu vois...
c'est à moi d'être derrière lui !","You see, it's my job to
keep him on his toes.",Seht ihr?,matched_fr_en_de,1,"Anlayacağınız, onu tetikte tutmak
benim görevim."
en,11,0x0B811EB8,30,ctyt200.ctd,0x04640000,0x04651800,30,0,"Depuis quand
les Maîtres de la Keyblade","Besides, what kind of Keyblade
Master sleeps through his test?","Und welcher Schlüsselschwertmeister
verschläft schon seine Prüfung?",matched_fr_en_de,1,"Hem hangi Anahtar Kılıcı Ustası
sınavını uyuyarak geçirir ki?"
en,11,0x0B811EB8,31,ctyt200.ctd,0x04640000,0x04651900,31,0,"Et je le fais pour moi, aussi.","I'm doing it for me, too.",Ich tue das auch für mich.,matched_fr_en_de,1,Bunu kendim için de yapıyorum.
en,11,0x0B811EB8,32,ctyt200.ctd,0x04640000,0x04651A00,32,0,"Sora m'a sauvé la vie.
Et... il m'a appelé.","Sora saved me once.
And...I heard him call my name.",Sora hat mich einmal gerettet.,matched_fr_en_de,1,"Sora bir keresinde beni kurtardı.
Ve... adımı söylediğini duydum."
en,11,0x0B811EB8,33,ctyt200.ctd,0x04640000,0x04651B00,33,0,Il a besoin de moi.,He needs me.,Er braucht mich.,matched_fr_en_de,1,Bana ihtiyacı var.
en,11,0x0B811EB8,34,ctyt200.ctd,0x04640000,0x04651C00,34,0,Un lien très fort nous unit.,"There's something real strong
that binds us to each other.","Es existiert ein starkes Band
zwischen uns.",matched_fr_en_de,1,"Bizi birbirimize bağlayan
gerçekten güçlü bir bağ var."
en,11,0x0B811EB8,35,ctyt200.ctd,0x04640000,0x04651D00,35,0,"Même dans les ténèbres,
tu peux le retrouver.","Even in the darkness,
you can reach him.","Selbst in der 
Dunkelheit kann man ihn erreichen.",matched_fr_en_de,1,"Karanlığın içindeyken bile
ona ulaşabilirsin."
en,11,0x0B811EB8,36,ctyt200.ctd,0x04640000,0x04652B00,36,0,"Tout ce que tu dois faire,
c'est suivre ce lien !","All you gotta do is follow
that connection!","Erzähl mir nicht,
dass dein Herz auch schläft.",matched_fr_en_de,1,"Tek yapman gereken
o bağı takip etmek!"
en,11,0x0B811EB8,37,ctyt200.ctd,0x04640000,0x04651E00,37,0,"En fait, on est tous liés à Sora.","Gee, we're all connected to Sora.","Meine Güte,
wir sind alle mit Sora verbunden.",matched_fr_en_de,1,"Vay canına, hepimiz Sora'ya bağlıyız."
en,11,0x0B811EB8,38,ctyt200.ctd,0x04640000,0x04652800,38,0,,,,missing_de,1,
en,11,0x0B811EB8,39,ctyt200.ctd,0x04640000,0x04651F00,39,0,C'est vrai !,You said it!,Ganz genau!,matched_fr_en_de,1,Kesinlikle!
en,11,0x0B811EB8,40,ctyt200.ctd,0x04640000,0x04652000,40,0,"Et si les ténèbres
s'emparent de toi,","And if the darkness gets ya,
I promise I'll bail you out.","Und wenn die Dunkelheit
euch überwältigt,",matched_fr_en_de,1,"Karanlık seni ele geçirirse
seni oradan çıkaracağıma söz veriyorum."
en,11,0x0B811EB8,41,ctyt200.ctd,0x04640000,0x04652100,41,0,"Si vous le saviez pas, mon surnom,
c'est le Sauveur des ténèbres !",“Dark Rescue” is my middle name.,"Hey, Dunkle Rettung
ist mein zweiter Vorname.",matched_fr_en_de,1,Göbek adım “Karanlıktan Kurtaran”dır.
en,11,0x0B811EB8,42,ctyt200.ctd,0x04640000,0x04652200,42,0,Merci à vous tous !,"Guys, thank you.","Leute, danke.",matched_fr_en_de,1,"Arkadaşlar, teşekkür ederim."
en,11,0x0B811EB8,43,ctyt200.ctd,0x04640000,0x04652300,43,0,"Sora et moi,
on sera bientôt de retour.",Sora and I will be back soon.,Sora und ich sind bald wieder zurück.,matched_fr_en_de,1,Sora'yla yakında döneceğiz.
en,11,0x0B811EB8,44,ctyt200.ctd,0x04640000,0x04652400,44,0,,,,matched_fr_en_de,1,
en,11,0x0B811EB8,45,ctyt200.ctd,0x04640000,0x04658000,45,0,"Ces abysses...
Je suis dans le rêve de Sora ?","This abyss...
Am I in Sora's dream?","Diese Finsternis.
Bin ich in Soras Traum?",matched_fr_en_de,1,"Bu uçurum...
Sora'nın rüyasında mıyım?"
en,11,0x0B811EB8,46,ctyt200.ctd,0x04640000,0x04658100,46,0,Hein ?!,What?,Was?!,matched_fr_en_de,1,Ne?
en,11,0x0B811EB8,47,ctyt200.ctd,0x04640000,0x04658200,47,0,,,,matched_fr_en_de,1,
en,11,0x0B811EB8,48,ctyt200.ctd,0x04640000,0x04660000,48,0,Sora !,Sora!,Sora!,matched_fr_en_de,1,Sora!
en,11,0x0B811EB8,49,ctyt200.ctd,0x04640000,0x04660100,49,0,"Je te retrouverai, Sora.","I'll find you, Sora.","Ich werde dich finden, Sora.",matched_fr_en_de,1,"Seni bulacağım, Sora."
en,11,0x0B811EB8,50,ctyt200.ctd,0x04640000,0x04660200,50,0,,,,matched_fr_en_de,1,
en,11,0x0B811EB8,51,ctyt200.ctd,0x04640000,0x04668000,51,0,Roxas...,Roxas?,Roxas ...,matched_fr_en_de,1,Roxas?
en,11,0x0B811EB8,52,ctyt200.ctd,0x04640000,0x04668100,52,0,De quoi as-tu si peur ?,What is it that you're so afraid of?,Wovor hast du solche Angst?,matched_fr_en_de,1,Bu kadar korktuğun şey ne?
en,11,0x0B811EB8,53,ctyt200.ctd,0x04640000,0x04668200,53,0,Quoi ?,,Was?,matched_fr_en_de,1,
en,11,0x0B811EB8,54,ctyt200.ctd,0x04640000,0x04668300,54,0,Roxas ?,Roxas?,Roxas?,matched_fr_en_de,1,Roxas?
en,11,0x0B811EB8,55,ctyt200.ctd,0x04640000,0x04668400,55,0,"Quelle est la chose à laquelle
tu tiens le plus au monde ?","What is the one thing you care
about more than anything else?","Was ist das eine, das dir wichtiger
ist als alles andere?",matched_fr_en_de,1,"Her şeyden daha çok
önemsediğin tek şey ne?"
en,11,0x0B811EB8,56,ctyt200.ctd,0x04640000,0x04668500,56,0,Quoi ?,,Was?,matched_fr_en_de,1,
en,11,0x0B811EB8,57,ctyt200.ctd,0x04640000,0x04668600,57,0,Qu'est-ce qui se passe ?,What is going on?,Was geht hier vor sich?,matched_fr_en_de,1,Neler oluyor?
en,11,0x0B811EB8,58,ctyt200.ctd,0x04640000,0x04668700,58,0,Sora !,Sora!,Sora!,matched_fr_en_de,1,Sora!
en,11,0x0B811EB8,59,ctyt200.ctd,0x04640000,0x04668800,59,0,Et tu es... ?,Who are you?,Wer bist du?,matched_fr_en_de,1,Sen kimsin?
en,11,0x0B811EB8,60,ctyt200.ctd,0x04640000,0x04668900,60,0,Riku. Que veux-tu ?,Riku. What do you wish?,Riku. Was wünschst du dir?,matched_fr_en_de,1,Riku. Ne diliyorsun?
en,11,0x0B811EB8,61,ctyt200.ctd,0x04640000,0x04668A00,61,0,Encore des questions ?,More questions...,Noch mehr Fragen.,matched_fr_en_de,1,Yine mi soru...
en,11,0x0B811EB8,62,ctyt200.ctd,0x04640000,0x04668B00,62,0,Bon d'accord...,All right...,Na gut ...,matched_fr_en_de,1,Peki...
en,11,0x0B811EB8,63,ctyt200.ctd,0x04640000,0x04668C00,63,0,Je veux...,I wish...,Ich wünsche mir ...,matched_fr_en_de,1,Dileğim...
en,11,0x0B811EB8,64,ctyt200.ctd,0x04640000,0x04668D00,64,0,Qu'est-ce que c'est ?,What's this?,Was ist das?,matched_fr_en_de,1,Bu da ne?
en,11,0x0B811EB8,65,ctyt200.ctd,0x04640000,0x04668E00,65,0,Ce n'est pas toi que j'attendais...,You were not the visitor I expected.,"Du bist nicht der Besuch,
den ich erwartet hatte.",matched_fr_en_de,1,Beklediğim ziyaretçi sen değildin.
en,11,0x0B811EB8,66,ctyt200.ctd,0x04640000,0x04668F00,66,0,DiZ !,DiZ!,DiZ!,matched_fr_en_de,1,DiZ!
en,11,0x0B811EB8,67,ctyt200.ctd,0x04640000,0x04669000,67,0,Qu'est-ce que tu fais ici ?,What are you doing here?,Was machst du hier?,matched_fr_en_de,1,Burada ne yapıyorsun?
en,11,0x0B811EB8,68,ctyt200.ctd,0x04640000,0x04669100,68,0,"Peut-être que je voulais
racheter mes erreurs...","Perhaps I wanted to atone for
events of the past,","Vielleicht wollte ich für
Vergangenes Buße leisten ...",matched_fr_en_de,1,"Belki de geçmişte yaşananların
kefaretini ödemek istedim,"
en,11,0x0B811EB8,69,ctyt200.ctd,0x04640000,0x04669200,69,0,"même si rien ne pourra jamais
redresser les torts que j'ai causés.","even if no apology can undo
the harm I have wrought.","auch wenn nichts
das Leid ungeschehen",matched_fr_en_de,1,"gerçi hiçbir özür verdiğim
zararı geri alamaz."
en,11,0x0B811EB8,70,ctyt200.ctd,0x04640000,0x04669300,70,0,"Je... Je me devais de laisser
quelque chose au monde.","I felt...that I ought to
leave at least something behind.","Ich hatte das Gefühl ... ich sollte
zumindest etwas hinterlassen.",matched_fr_en_de,1,"Arkamda en azından bir şey
bırakmam gerektiğini... düşündüm."
en,11,0x0B811EB8,71,ctyt200.ctd,0x04640000,0x04669400,71,0,"Alors je me suis numérisé
avec mes recherches,","So I digitized myself
and my research,","Also habe ich mich
und meine Forschung",matched_fr_en_de,1,"Bu yüzden kendimi ve
araştırmalarımı dijitalleştirip"
en,11,0x0B811EB8,72,ctyt200.ctd,0x04640000,0x0466DA00,72,0,"de rendre leur cœur et leur existence
à ceux qui sont liés à lui,",and hid them within Sora.,"zurückzuholen,
die mit ihm verbunden sind,",matched_fr_en_de,1,Sora'nın içine sakladım.
en,11,0x0B811EB8,73,ctyt200.ctd,0x04640000,0x04669500,73,0,"Alors, ce sont... les données ?",So this is...data?,Das sind also ... Daten?,matched_fr_en_de,1,Demek bunlar... veri?
en,11,0x0B811EB8,74,ctyt200.ctd,0x04640000,0x04669600,74,0,Oui.,Yes.,Ja.,matched_fr_en_de,1,Evet.
en,11,0x0B811EB8,75,ctyt200.ctd,0x04640000,0x04669700,75,0,"J'espère qu'elles t'aideront
à retrouver tes amis,","A clue, I hope,","Ein Hinweis, hoffe ich,
um euch selbst oder",matched_fr_en_de,1,Umarım ihtiyaç anında
en,11,0x0B811EB8,76,ctyt200.ctd,0x04640000,0x0466DB00,76,0,"et j'ai tout dissimulé
en Sora.","to finding yourselves or your lost
friends in your hour of need.","verlorene Freunde
in der Not zu finden.",matched_fr_en_de,1,"kendinizi ya da kayıp dostlarınızı
bulmanıza yardımcı olacak bir ipucudur."
en,11,0x0B811EB8,77,ctyt200.ctd,0x04640000,0x04669800,77,0,Le cœur évolue rapidement.,"The heart has always
been quick to grow.","Das Herz gedeiht
seit jeher schnell.",matched_fr_en_de,1,"Kalp her zaman
hızla gelişmiştir."
en,11,0x0B811EB8,78,ctyt200.ctd,0x04640000,0x04669900,78,0,"Chaque contact avec la lumière,
la nature, les êtres vivants,","Each exposure to light, to the
natural world, to other people,","Jedes Mal,
wenn es dem Licht, der natürlichen",matched_fr_en_de,1,"Işıkla, doğayla ve başka
insanlarla her temas,"
