index,id,en,fr,de,it,es,tr
31,0x111665BA,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Goblin-Sewn Dusters,Pèlerine de gobelin #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Goblin-genähte Klappen,Abiti dei Goblin #0xEAA319FF#{{0x25CF}}#PREVIOUS#,Guantes goblin #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Goblin Dikişli Eldivenler
32,0x12240850,"#0x0EDDF5FF#{{0x2605}}Frostclad#PREVIOUS#
Chance on hit to slow enemy with ice","#0x0EDDF5FF#{{0x2605}}Protection glaciale#PREVIOUS#
Possibilité de ralentir un ennemi en le couvrant de glace lorsque vous le touchez.","#0x0EDDF5FF#{{0x2605}}Frostgewandet#PREVIOUS#
Chance, den Gegner im Falle eines Treffers mit Eis zu verlangsamen.","#0x0EDDF5FF#{{0x2605}}Geloveste#PREVIOUS#
Possibilità di rallentare con il gelo il nemico colpito.","#0x0EDDF5FF#{{0x2605}}Armadura helada#PREVIOUS#
Probabilidad al golpear de ralentizar al enemigo con hielo.","#0x0EDDF5FF#{{0x2605}}Buz Zırhı#PREVIOUS#
Vuruşta düşmanı buzla yavaşlatma ihtimali."
33,0x1228844A,#0x0EDDF5FF#{{0x2605}}Frostclad#PREVIOUS#,#0x0EDDF5FF#{{0x2605}}Protection glaciale#PREVIOUS#,#0x0EDDF5FF#{{0x2605}}Frostgewandet#PREVIOUS#,#0x0EDDF5FF#{{0x2605}}Geloveste#PREVIOUS#,#0x0EDDF5FF#{{0x2605}}Armadura helada#PREVIOUS#,#0x0EDDF5FF#{{0x2605}}#PREVIOUS# Buz Zırhı
34,0x13615736,Magister's,de magistère,Magister-,del maestro,del maestre,Üstat
35,0x1368E0AE,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Spiderhide Armguards,Brassards arachnéens #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Spinnenhaut-Armschienen,Parabraccia del ragno #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,Guardabrazos de piel de araña #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Örümcek Derisi Kolçaklar
36,0x141BB0EE,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Druidlord's Boots,Bottes du grand druide #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Stiefel des Druidenfürsten,Stivali del signore dei druidi #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,Botas de señor druida #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Druid Lordu Çizmeleri
37,0x14D3E45C,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Rage-Hide Harness,Harnais de peau enragée #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Wutfell-Harnisch,Pettorina della collera #0x121FCBFF#{{0x25CF}}#PREVIOUS#,Arnés de pellejo furioso #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Öfke Derili Göğüslük
38,0x1642E07E,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Tibur-Lord Harness,Harnais de seigneur tiburien #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Tiburfürst-Harnisch,Pettorina del signore dei Tibur #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,Arnés de señor tibur #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Tibur Lordu Göğüslüğü
39,0x16EDF314,Belt of Ancient Magics,Ceinture de magie ancienne,Gürtel der alten Magie,Cintura dell'antica magia,Cinturón de la magia antigua,Kadim Büyü Kemeri
40,0x1721029F,Rugged,usagée,Robuste,resistente,basta,Sağlam
41,0x176E6644,Predator's Greaves,Grèves du prédateur,Beinschienen des Räubers,Gambali del predatore,Grebas de depredador,Avcı Baldır Zırhı
42,0x178E6324,Reinforced,renforcées,Verstärkte,del rinforzo,reforzadas,Takviyeli
43,0x1846DF73,#0x1EA922FF#{{0x2605}}#PREVIOUS# Warden's Blade,Lame du gardien #0x1EA922FF#{{0x2605}}#PREVIOUS#,#0x1EA922FF#{{0x2605}}#PREVIOUS# Klinge des Hüters,Lama del custode #0x1EA922FF#{{0x2605}}#PREVIOUS#,Espada del custodio #0x1EA922FF#{{0x2605}}#PREVIOUS#,#0x1EA922FF#{{0x2605}}#PREVIOUS# Muhafız Kılıcı
44,0x186C1876,Predator's Harness,Harnais du prédateur,Harnisch des Räubers,Finimenti del predatore,Arnés de depredador,Avcı Göğüslüğü
45,0x18F5FB2E,Sharpshooter's Spaulders,Pèlerine du tireur d'élite,Schiftungen des Scharfschützen,Spallacci del tiratore scelto,Hombreras de tirador,Keskin Nişancı Omuzlukları
46,0x193FB7F4,Zealot's Pauldrons,Espauliers du fanatique,Schulterplatten des Zeloten,Paraspalle dello zelota,Cubrehombros de fanático,Fanatik Omuz Plakası
47,0x19631BC7,Trooper's,de cavalier,Trooper-,del milite,de la tropa,Asker
48,0x1A09CBC1,#0x121FCBFF#{{0x2605}}#PREVIOUS# Razors of Triumph,Rasettes de triomphe #0x121FCBFF#{{0x2605}}#PREVIOUS#,#0x121FCBFF#{{0x2605}}#PREVIOUS# Klingen des Triumphs,Rasoi del trionfo #0x121FCBFF#{{0x2605}}#PREVIOUS#,Navajas de triunfo #0x121FCBFF#{{0x2605}}#PREVIOUS#,#0x121FCBFF#{{0x2605}}#PREVIOUS# Zafer Usturaları
49,0x1A16C0B3,Apprentice's,d'apprenti,Lehrling-,dell'apprendista,del aprendiz,Çırak
50,0x1B29A588,Emblem of Salvera,Emblème de Salvéra,Emblem von Salvera,Emblema di Salvera,Emblema de Salvera,Salvera Amblemi
51,0x1B53C70F,Ancient,ancienne,Alte,dell'antichità,antigua,Kadim
52,0x1BCB9952,Defender's,de protecteur,Verteidiger-,del difensore,del defensor,Savunucu
53,0x1C459410,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Primal Mantle,Cape archéenne #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Urtümlicher Mantel,Manto delle primeve #0x121FCBFF#{{0x25CF}}#PREVIOUS#,Manto primario #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# İlksel Pelerin
54,0x1C90664B,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Wildlord's Greaves,Grèves du seigneur du désert #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Beinschienen des Fürsten der Wildnis,Gambali del signore selvaggio #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,Grebas de señor salvaje #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Yaban Lordu Baldır Zırhı
55,0x1D8071F1,Guardian's,de gardien,Wächter-,del guardiano,del guardián,Koruyucu
56,0x1D877F90,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Starwalk Sandals,Sandales fantastiques #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Sternschritt-Sandalen,Sandali delle stelle #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,Sandalias estelares #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Yıldızgezer Sandaletleri
57,0x1E77E666,Champion's,de protecteur,Champion-,del campione,del campeón,Şampiyon
58,0x1EF67BB2,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Sharkhide Treads,Bottes en peau de requin #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Haihaut-Stiefel,Calzature di pelle di squalo #0xEAA319FF#{{0x25CF}}#PREVIOUS#,Zapatos de piel de tiburón #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Köpekbalığı Derisi Çizmeler
59,0x1F354A90,Ancient,ancien,Alter,dell'antichità,antiguo,Kadim
60,0x1FA8FFDF,Reliable,fidèle,Verlässliche,affidabile,fiable,Güvenilir
61,0x20942023,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Wanderer's Footpads,Bottes du vagabond #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Einlegesohlen des Wanderers,Calzature del vagabondo #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,Calzado de vagabundo #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Gezgin Ayakkabıları
62,0x20E65C29,Ornate,ornés,Verzierte,con ornamenti,ornamentados,Süslü
63,0x20EA232F,Lancer's,de lancier,Lanzenträger-,del lanciere,del lancero,Mızrakçı
64,0x20F395F9,Stalwart,vigoureuses,Robustes,della robustezza,fieles,Sarsılmaz
65,0x20FB1F71,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Oakiron Armguards,Brassards en chêne de fer #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Oakiron-Armschienen,Parabraccia di ferroquercia #0xEAA319FF#{{0x25CF}}#PREVIOUS#,Guardabrazos de roble #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Meşe Demiri Kolçaklar
66,0x21801D2D,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Fae Grips,Poignets féériques #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Feien-Grifflinge,Guanti dei fae #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,Mitones de fata #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Peri Eldivenleri
67,0x22112F11,Defender's,de protecteur,Verteidiger-,del difensore,del defensor,Savunucu
68,0x2261471A,Lawman's,de carabinier,Sheriff-,dell'uomo di legge,del agente,Kanun Adamı
69,0x229EB875,#0xAA35B5FF#{{0x2605}}#PREVIOUS# Archdemon's Fang,Lame de l'Archidémon #0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS# Reißzahn des Erzdämons,Zanna dell'arcidemone #0xAA35B5FF#{{0x2605}}#PREVIOUS#,Colmillo del archidemonio #0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS# Başiblis Dişi
70,0x229EFBCE,Magister's,de magistère,Magister-,del maestro,del maestre,Üstat
71,0x22B20A1E,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Scavenger's Shoulderpads,Épaulières de charognard #0xF5F325FF#{{0x25CF}}#PREVIOUS#,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Plünderer-Schulterpolster,Spallacci del predatore #0xF5F325FF#{{0x25CF}}#PREVIOUS#,Hombreras de carroñero #0xF5F325FF#{{0x25CF}}#PREVIOUS#,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Leşçi Omuzlukları
72,0x22B9A76A,Stalwart,vigoureuse,Robuste,della robustezza,fiel,Sarsılmaz
73,0x231A8104,Acolyte's Mantle,Cape de l'acolyte,Mantel des Akoluthen,Mantello dell'accolito,Manto de acólito,Mürit Pelerini
74,0x237DFECD,Fangblade,Tranchoir,Fangklinge,Lamazanna,Cuchillacolmillo,Dişkılıç
75,0x237DFECE,Brand,Branc,Brand,Brando,Marcadora,Dağlama
76,0x237DFECF,Slicer,Écarteleur,Schlitzer,Affettatore,Sajadora,Dilimleyici
77,0x237DFED0,Zweihander,Espadon,Zweihänder,Spadone,Zweihander,Çift El Kılıcı
78,0x237DFED1,Punisher,Fossoyeuse,Bestrafer,Punitore,Castigadora,Cezalandırıcı
79,0x237DFED2,Razorsaw,Lame crantée,Sägemesser,Rasoio,Sierrafilada,Ustura Testere
80,0x237DFED3,Arcblade,Alfange,Bogenklinge,Lama arcuata,Arcocuchilla,Yaykılıç
81,0x237DFED4,Crossedge,Scramasaxe,Kreuzklinge,Filo incrociato,Filocruzada,Çapraz Ağız
82,0x237DFED5,Scimitar,Cimeterre,Krummsäbel,Scimitarra,Cimatarra,Pala
83,0x237DFEEB,Falchion,Fauchon,Falchion,Falcione,Bracamante,Falchion
84,0x237DFEEC,Tormentor,Badelaire,Folterer,Tormentatore,Atormentadora,Eziyetçi
85,0x237DFEED,Executioner,Équarrisseur,Henker,Boia,Ejecutora,Cellat
86,0x237DFEEE,Claymore,Claymore,Claymore,Claymore,Montante,Claymore
87,0x237DFEEF,Flamberge,Flamberge,Flamberge,Flamberga,Flamberge,Flamberge
88,0x237DFEF0,Gladius,Glaive,Gladius,Gladio,Gladio,Gladius
89,0x237DFEF1,Shrikeclaw,Badelaire,Kreischklaue,Artigliante,Garraganchuda,Çığlıkpençe
90,0x237DFEF2,Wingblade,Lame ailée,Flügelklinge,Lama alata,Cuchilla alada,Kanatkılıç
91,0x237DFEF3,Defender,Rapière,Verteidiger,Difensore,Defensora,Savunucu
92,0x237DFEF4,Cleaver,Couperet,Spalter,Mannaia,Hendidora,Satır
93,0x237DFF0A,Broadsword,Estramaçon,Breitschwert,Spada larga,Espada ancha,Geniş Kılıç
94,0x24312447,Nomad's Jungleblades,Fauvettes du nomade,Dschungelklingen des Nomaden,Lame della giungla del nomade,Selvacuchillas de nómada,Göçebe Orman Kılıçları
95,0x2453D46D,Durable,résistant,Haltbarer,della resistenza,resistente,Dayanıklı
96,0x24B5B4FD,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Tideworn Leather,Haut de cuir usé #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Gezeitengegerbtes Leder,Pettorina di pelle della marea #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,Cuero de las mareas #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Gelgitle Aşınmış Deri
97,0x24C44E1A,#0xF50E0EFF#{{0x2605}}#PREVIOUS# The Staff of Ataraxis,Bâton d'Ataraxis #0xF50E0EFF#{{0x2605}}#PREVIOUS#,#0xF50E0EFF#{{0x2605}}#PREVIOUS# Der Stab von Ataraxis,Verga di Ataraxis #0xF50E0EFF#{{0x2605}}#PREVIOUS#,El bastón de Ataraxis #0xF50E0EFF#{{0x2605}}#PREVIOUS#,#0xF50E0EFF#{{0x2605}}#PREVIOUS# Ataraxis Asası
98,0x24E07679,Fake Starting Shoulderpads,Savage_T1_Shoulders not localized.,Savage_T1_Shoulders not localized.,Savage_T1_Shoulders not localized.,Savage_T1_Shoulders not localized.,Sahte Başlangıç Omuzlukları
99,0x24EEA3B5,Pilgrim's Broadsword,Épée large du pèlerin,Breitschwert des Pilgers,Spada larga del pellegrino,Espada de peregrino,Hacı Geniş Kılıcı
100,0x24FF2877,#0xF50E0EFF#{{0x2605}}#PREVIOUS# Catalyst Blasters,Tromblons catalyseurs #0xF50E0EFF#{{0x2605}}#PREVIOUS#,#0xF50E0EFF#{{0x2605}}#PREVIOUS# Katalysator-Blaster,Distruttori del catalizzatore #0xF50E0EFF#{{0x2605}}#PREVIOUS#,Blásters catalizadores #0xF50E0EFF#{{0x2605}}#PREVIOUS#,#0xF50E0EFF#{{0x2605}}#PREVIOUS# Katalizör Tabancaları
101,0x2520A1E7,Juju,de magie noire,Juju-beseelte,Juju,Juju,Juju
102,0x2608AD0C,Travelworn,bosselé,Abgenutzter,del consumo,gastado,Yıpranmış
103,0x26E03469,Warren-Hide Wrap,Châle de garenne,Kaninchenfell-Stola,Stola del labirinto,Ropa de piel,İn Derisi Sargı
104,0x26E8EBAE,Wizard's,de magicien,Zauberer-,del mago,del mago,Büyücü
105,0x26F55A8A,Calvary,crucifiantes,Reittaugliche,del calvario,de caballería,Süvari
106,0x27009631,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Privateer's Jackboots,Bottes de flibustier #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Freibeuter-Stiefel,Stivali da corsaro #0xEAA319FF#{{0x25CF}}#PREVIOUS#,Botas de bucanero #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Korsan Çizmeleri
107,0x27378717,#0xFFFFFFFF#{{0x25CF}}#PREVIOUS# Mantle of the Archmage,Cape de l'archimage #0xFFFFFFFF#{{0x25CF}}#PREVIOUS#,#0xFFFFFFFF#{{0x25CF}}#PREVIOUS# Mantel des Erzmagiers,Mantello dell'arcimago #0xFFFFFFFF#{{0x25CF}}#PREVIOUS#,Manto del archimago #0xFFFFFFFF#{{0x25CF}}#PREVIOUS#,#0xFFFFFFFF#{{0x25CF}}#PREVIOUS# Başbüyücü Pelerini
108,0x27BD85AB,Stalwart,vigoureux,Robuster,della robustezza,fiel,Sarsılmaz
109,0x29B82AE1,Hunter's,de chasseur,Jäger-,del cacciatore,del cazador,Avcı
110,0x29C72775,Plated,cuirassée,Plattierte,con piastre,acorazada,Zırhlı
111,0x2A227760,Reliable,fidèle,Verlässlicher,affidabile,fiable,Güvenilir
112,0x2AA8B5E6,#0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS#,#0xAA35B5FF#{{0x2605}}#PREVIOUS#
113,0x2AB7E148,Wanderer's Sabatons,Jambières du vagabond,Sabatons des Wanderers,Calzari del vagabondo,Escarpes de vagabundo,Gezgin Zırh Çizmeleri
114,0x2AE9445A,Footman's,de valet,Dienstbare,del fante,del lacayo,Piyade
115,0x2B2D5036,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Labrat's Pauldrons,Espauliers du théoricien #0xF5F325FF#{{0x25CF}}#PREVIOUS#,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Labrats Schulterplatten,Paraspalle di Labrat #0xF5F325FF#{{0x25CF}}#PREVIOUS#,Cubrehombros de Labrat #0xF5F325FF#{{0x25CF}}#PREVIOUS#,#0xF5F325FF#{{0x25CF}}#PREVIOUS# Denek Omuz Plakası
116,0x2BB5937A,Wanderer's Brigadine,Brigandine du vagabond,Brigantine des Wanderers,Brigantina del vagabondo,Brigandina  de vagabundo,Gezgin Brigantini
117,0x2C5AC6EE,Grim,sinistre,Grimmiges,lugubre,lúgubre,Kasvetli
118,0x2C5AC6EF,Dread,menaçant,Schreckliches,pauroso,terrorífico,Dehşet
119,0x2C5AC6F0,Soldier's,de soldat,Soldatisches,del soldato,del soldado,Asker
120,0x2C5AC6F1,Footman's,de valet,Dienstbares,del fante,del lacayo,Piyade
121,0x2C5AC6F2,Ornate,orné,Verziertes,con ornamenti,ornamentado,Süslü
122,0x2C5AC6F3,Regal,royal,Königliches,regale,real,Asil
123,0x2C5AC6F4,Crested,à armoiries,Verschnörkeltes,con stemma,con cresta,Armalı
124,0x2C5AC6F5,Spiked,à pointes,Stacheliges,a punta,espinoso,Dikenli
125,0x2C5AC6F6,Fencer's,d'escrime,Fechtendes,dello schermitore,del espadachín,Eskrimci
126,0x2C5AC70C,Reliable,fidèle,Verlässliches,affidabile,fiable,Güvenilir
127,0x2DC5E402,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Druidlord's Shoulderguards,Spallières du grand druide #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Schulterschoner des Druidenfürsten,Paraspalle del signore dei druidi #0x121FCBFF#{{0x25CF}}#PREVIOUS#,Hombreras de señor druida #0x121FCBFF#{{0x25CF}}#PREVIOUS#,#0x121FCBFF#{{0x25CF}}#PREVIOUS# Druid Lordu Omuzlukları
128,0x2F5E1D01,"#0xF5F325FF#{{0x2605}}Stormfury#PREVIOUS#
Chance on hit to zap an enemy with lightning","#0xF5F325FF#{{0x2605}}Fureur tempétueuse#PREVIOUS#
Possibilité de foudroyer un ennemi lorsque vous le touchez.","#0xF5F325FF#{{0x2605}}Sturmzorn#PREVIOUS#
Chance, den Gegner im Falle eines Treffers mit einem Blitz zu treffen.","#0xF5F325FF#{{0x2605}}Furiatempesta#PREVIOUS#
Possibilità di centrare con un fulmine un nemico colpito.","#0xF5F325FF#{{0x2605}}Tormenta furiosa#PREVIOUS#
Probabilidad al golpear de lanzar un rayo al enemigo.","#0xF5F325FF#{{0x2605}}Fırtına Öfkesi#PREVIOUS#
Vuruşta düşmana yıldırım çarpma ihtimali."
129,0x2F6298FB,#0xF5F325FF#{{0x2605}}Stormfury#PREVIOUS#,#0xF5F325FF#{{0x2605}}Fureur tempétueuse#PREVIOUS#,#0xF5F325FF#{{0x2605}}Sturmzorn#PREVIOUS#,#0xF5F325FF#{{0x2605}}Furiatempesta#PREVIOUS#,#0xF5F325FF#{{0x2605}}Tormenta furiosa#PREVIOUS#,#0xF5F325FF#{{0x2605}}#PREVIOUS# Fırtına Öfkesi
130,0x304C9101,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Druidlord's Battlegrips,Poignets de force du grand druide #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Kampfgrifflinge des Druidenfürsten,Guanti da guerra del signore dei druidi #0xEAA319FF#{{0x25CF}}#PREVIOUS#,Guantes de batalla de señor druida #0xEAA319FF#{{0x25CF}}#PREVIOUS#,#0xEAA319FF#{{0x25CF}}#PREVIOUS# Druid Lordu Savaş Eldivenleri
131,0x30CCA3E7,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Runic Footpads,Bottes runiques #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Runische Einlegesohlen,Calzature runiche #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,Calzado rúnico #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Rünlü Ayakkabılar
132,0x311E0B3C,Juju,de magie noire,Juju-beseelte,Juju,Juju,Juju
