"Index","Label","StyleIndex","RegionWidth","StyleLineLimit","FontIndex","English","Dutch","French","German","Italian","Portuguese","Russian","Spanish","Turkish","SoftMaxChars","SoftMaxLineChars","MaxExistingLines","TurkishChars","TurkishMaxLineChars","LengthStatus","TranslatorNote"
"47","ready_explain3","170","300","2","0","A distance of [[C:0000:0003:0000]]around 35cm [[C:0000:0003:FFFF]]is ideal.","De ideale afstand is [[C:0000:0003:0000]]zo'n 35[[C:0000:0003:FFFF]] [[C:0000:0003:0000]]cm[[C:0000:0003:FFFF]].","La distance idéale est
[[C:0000:0003:0000]]d'environ 35 cm[[C:0000:0003:FFFF]].","Ein Abstand von [[C:0000:0003:0000]]35 cm[[C:0000:0003:FFFF]] ist ideal.","La distanza ideale è di [[C:0000:0003:0000]]35 cm[[C:0000:0003:FFFF]].","A distância ideal é [[C:0000:0003:0000]]cerca de 35 cm[[C:0000:0003:FFFF]].","Оптимальное расстояние равно
[[C:0000:0003:0000]]приблизительно 35 см[[C:0000:0003:FFFF]].","Se recomienda mantener una
[[C:0000:0003:0000]]distancia aproximada de 35 cm[[C:0000:0003:FFFF]].","İdeal mesafe [[C:0000:0003:0000]]yaklaşık 35 cm[[C:0000:0003:FFFF]].","56","35","2","28","28","OK",""
"48","ready_dist_D","168","99","1","0","35cm","35 cm","35 cm","35 cm","35 cm","35 cm","35 см","35 cm","35 cm","5","5","1","5","5","OK",""
"49","ready_degree_D","169","85","1","0","30°","30 graden","30°","30°","30°","30°","30°","30°","30°","9","9","1","3","3","OK",""
"50","ready_explain4","49","300","2","0","Move while holding the system.
[[C:0000:0003:0000]](Mind your surroundings!)[[C:0000:0003:FFFF]]","Beweeg om de kaart heen. [[C:0000:0003:0000]](Zorg
dat je genoeg ruimte hebt!)[[C:0000:0003:FFFF]]","Déplacez-vous console en main.
[[C:0000:0003:0000]](Attention à ce qui vous entoure !)[[C:0000:0003:FFFF]]","Achte auf deine Umgebung,
du benötigst etwas Platz!","Tenendo la console, muoviti intorno
alla carta [[C:0000:0003:0000]](fai attenzione!)[[C:0000:0003:FFFF]].","Pegue na consola e mova-se em
redor do cartão [[C:0000:0003:0000]]com cuidado[[C:0000:0003:FFFF]].","Держи систему и поворачивай
ее вокруг карты. [[C:0000:0003:0000]](Осторожно!)[[C:0000:0003:FFFF]]","Sujeta la consola y muévete
[[C:0000:0003:0000]]alrededor con cuidado[[C:0000:0003:FFFF]].","Sistemi elinde tutarak hareket et.
[[C:0000:0003:0000]](Çevrene dikkat et!)[[C:0000:0003:FFFF]]","65","35","2","54","34","OK",""
"51","ready_explain5","45","300","2","0","Play in a [[C:0000:0003:0000]]well-lit area[[C:0000:0003:FFFF]], as otherwise
AR Cards can't be read easily.","Zorg dat er [[C:0000:0003:0000]]genoeg licht[[C:0000:0003:FFFF]] is, zodat
de AR-kaarten goed te zien zijn.","Sans [[C:0000:0003:0000]]éclairage adéquat[[C:0000:0003:FFFF]], les cartes
RA peuvent ne pas être reconnues.","Spiele bei [[C:0000:0003:0000]]gutem Licht[[C:0000:0003:FFFF]], ansonsten
werden AR-Karten nicht erkannt.","Gioca in una [[C:0000:0003:0000]]zona ben illuminata [[C:0000:0003:FFFF]]o
le carte RA non saranno ben visibili.","Jogue numa [[C:0000:0003:0000]]zona[[C:0000:0003:FFFF]] [[C:0000:0003:0000]]bem iluminada[[C:0000:0003:FFFF]],
para detetar bem os Cartões RA.","Зона игры должна быть [[C:0000:0003:0000]]хорошо
освещена[[C:0000:0003:FFFF]], особенно карты AR.","Juega en una [[C:0000:0003:0000]]zona bien iluminada[[C:0000:0003:FFFF]]
para detectar bien las tarjetas RA.","[[C:0000:0003:0000]]İyi aydınlatılmış bir yerde[[C:0000:0003:FFFF]] oyna;
yoksa AR Kartları zor okunur.","71","37","2","62","33","OK",""
"52","ready_look_start","96","393","1","0","Point the cameras at the ? Card only.","Richt de camera alleen op de ?-kaart.","Cadrez isolément la carte ?.","Richte das System nur auf die ?-Karte.","Inquadra solo la carta RA ?.","Aponte as câmaras apenas ao Cartão ?.","Нацеливай камеры только на карту «?».","Apunta solo hacia la tarjeta ? con la consola.","Kamerayı yalnızca ? Kartına doğrult.","46","46","1","36","36","OK",""
"53","ready_look_card","97","305","1","0","Searching for AR Card","De AR-kaart wordt gezocht","Recherche de la carte RA","Die AR-Karte wird gesucht","Ricerca della carta RA in corso","À procura do Cartão RA","Поиск карты AR","Buscando la tarjeta RA","AR Kartı aranıyor","31","31","1","17","17","OK",""
"54","ready_period","","","","",".",".",".",".",".",".",".",".",".","1","1","1","1","1","OK",""
"55","ready_only_card","102","390","1","0","Use only one ? Card at a time.","Gebruik maar één ?-kaart tegelijk.","N'utilisez qu'une carte ? à la fois.","Verwende immer nur eine ?-Karte auf einmal.","Usa una sola carta RA ? alla volta.","Utilize apenas um Cartão ? de cada vez.","Используй только одну карту «?».","Utiliza solo una tarjeta ? a la vez.","Aynı anda yalnızca bir ? Kartı kullan.","43","43","1","38","38","OK",""
"56","ready_lost_card","102","390","1","0","Can't find a ? Card!","Geen ?-kaart gevonden!","Aucune carte ? détectée.","Kann die ?-Karte nicht finden!","La carta RA ? non è stata trovata.","Cartão ? não encontrado!","Карта «?» не обнаружена!","No se encuentra la tarjeta ?.","? Kartı bulunamıyor!","34","34","1","20","20","OK",""
"57","ready_look_card_ok","97","305","1","0","Found an AR Card!","AR-kaart gevonden!","Carte RA détectée !","Die ?-Karte wurde gefunden!","È stata trovata una carta RA!","Cartão RA encontrado!","Карта AR обнаружена!","¡Tarjeta RA encontrada!","AR Kartı bulundu!","29","29","1","17","17","OK",""
"58","ready_look_card_D","73","246","2","0","Look [[C:0000:0003:0000]]only at the ? Card[[C:0000:0003:FFFF]],
viewing it from the [[C:0000:0003:0000]]front[[C:0000:0003:FFFF]].","Richt de camera op de
[[C:0000:0003:0000]]voorkant [[C:0000:0003:FFFF]]van de [[C:0000:0003:0000]]?-kaart[[C:0000:0003:FFFF]].","Ne cadrez [[C:0000:0003:0000]]que [[C:0000:0003:FFFF]][[C:0000:0003:0000]]la carte ?[[C:0000:0003:FFFF]].
Le [[C:0000:0003:0000]]bas [[C:0000:0003:FFFF]]doit être face à vous.","Richte das System [[C:0000:0003:0000]]von
vorne [[C:0000:0003:FFFF]]auf die [[C:0000:0003:0000]]?-Karte[[C:0000:0003:FFFF]].","Inquadra [[C:0000:0003:0000]]solo la carta RA ?[[C:0000:0003:FFFF]],
tenendola di [[C:0000:0003:0000]]fronte[[C:0000:0003:FFFF]].","Olhe apenas para a [[C:0000:0003:0000]]parte
frontal do Cartão ?[[C:0000:0003:FFFF]].","Нацеливай камеры [[C:0000:0003:0000]]только на
карту «?» спереди[[C:0000:0003:FFFF]].","Enfoca la[[C:0000:0003:0000]] tarjeta ? [[C:0000:0003:FFFF]]desde
la [[C:0000:0003:0000]]parte inferior[[C:0000:0003:FFFF]].","[[C:0000:0003:0000]]Yalnızca ? Kartına[[C:0000:0003:FFFF]],
[[C:0000:0003:0000]]önden[[C:0000:0003:FFFF]] bak.","54","29","2","29","19","OK",""
"59","ready_dist_start","97","305","1","0","Hold the system about 35cm away.","Houd ca. 35 cm afstand tot de AR-kaart.","Tenez-vous à environ 35 cm de la carte RA.","Halte einen Abstand von ca. 35 cm ein.","Stai a circa 35 cm di distanza dalla carta RA.","Mantenha-se a 35 cm do Cartão RA.","Держи систему на расстоянии 35 см.","Mantente a unos 35 cm de la tarjeta RA.","Sistemi yaklaşık 35 cm uzakta tut.","46","46","1","34","34","OK",""
"60","ready_dist","97","305","1","0","Detecting distance","De afstand wordt berekend","Mesure de la distance","Abstand wird ermittelt","Calcolo della distanza in corso","A detetar distância","Определение расстояния","Determinando distancia","Mesafe ölçülüyor","31","31","1","16","16","OK",""
"61","ready_dist_rt","94","91","1","0","[[C:0001:0000:]].[[C:0001:0000:]]cm","[[C:0001:0000:]],[[C:0001:0000:]] cm","[[C:0001:0000:]],[[C:0001:0000:]] cm","[[C:0001:0000:]].[[C:0001:0000:]] cm","[[C:0001:0000:]].[[C:0001:0000:]] cm","[[C:0001:0000:]].[[C:0001:0000:]] cm","[[C:0001:0000:]],[[C:0001:0000:]] см","[[C:0001:0000:]],[[C:0001:0000:]] cm","[[C:0001:0000:]].[[C:0001:0000:]] cm","4","4","1","4","4","OK",""
"62","ready_dist_ok","97","305","1","0","Ready to begin!","Klaar!","Tout est en place !","Los geht's!","Ora puoi cominciare!","Pronto para começar!","Можно начинать!","¡Ya está todo preparado!","Başlamaya hazır!","24","24","1","16","16","OK",""
"63","ready_dist_D_2","166","277","1","0","Move to [[C:0000:0003:0000]]about 35cm [[C:0000:0003:FFFF]]away.","Houd [[C:0000:0003:0000]]zo'n 35 cm[[C:0000:0003:FFFF]] afstand.","Placez-vous à [[C:0000:0003:0000]]environ 35 cm[[C:0000:0003:FFFF]].","Bitte [[C:0000:0003:0000]]ca. 35 cm[[C:0000:0003:FFFF]] Abstand halten!","Mantieni [[C:0000:0003:0000]]35 cm[[C:0000:0003:FFFF]] di distanza.","Afaste a consola [[C:0000:0003:0000]]cerca de 35 cm[[C:0000:0003:FFFF]].","Отойди [[C:0000:0003:0000]]примерно на 35 см[[C:0000:0003:FFFF]] назад.","Mantente a unos [[C:0000:0003:0000]]35 cm[[C:0000:0003:FFFF]].","[[C:0000:0003:0000]]Yaklaşık 35 cm[[C:0000:0003:FFFF]] uzağa geç.","32","32","1","25","25","OK",""
"64","ready_ok","103","89","1","0","OK","Oké","OK","Okay","OK","OK","OK","Vale","Tamam","4","4","1","5","5","OK",""
"65","ready_start","114","188","1","0","Press  to shoot!","Schiet met !","Tirez avec  !"," Schießen","Colpisci con !","Prima  para disparar!"," — выстрел!","¡Dispara con !","Ateş etmek için !","22","22","1","18","18","OK",""
"66","ready_start_front","114","188","1","0","Shoot the front!","Schiet van voren!","Tirez de face !","Schieß von vorn!","Colpisci di fronte!","Dispare de frente!","Стреляй спереди!","¡Dispara de frente!","Önden ateş et!","19","19","1","14","14","OK",""
"67","ready_start_bar","28","350","1","0","Keep your aim fixed while you move!","Houd de ?-kaart goed in beeld!","Gardez votre cible en ligne de mire !","Behalte die ?-Karte immer im Blick!","Punta sempre il bersaglio muovendoti!","Mantenha o alvo fixo ao mover-se!","Целься в одну точку, когда двигаешься!","¡Mantén fijo el objetivo al moverte!","Hareket ederken hedefi sabit tut!","38","38","1","33","33","OK",""
"68","gameselect_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"69","gamesel_select","28","350","1","0","Aim at a game and press  to confirm.","Richt op een spel en druk op .","Visez un jeu et appuyez sur .","Schieße auf das gewünschte Spiel.","Spara al gioco a cui vuoi giocare.","Aponte e dispare para escolher o jogo.","Выбери нужную игру с помощью .","Apunta y dispara para elegir un juego.","Oyuna nişan al ve  ile seç.","38","38","1","28","28","OK",""
"70","gamesel_close","136","248","1","0","???","???","???","???","???","(?)","???","(?)","???","3","3","1","3","3","OK",""
"71","gamesel_close_no","114","188","1","0","Can't open yet!","Op slot!","Boîte verrouillée !","Noch nicht verfügbar!","Ancora chiusa!","Ainda não abre!","Еще не открыта!","¡Aún no se abre!","Henüz açılamaz!","21","21","1","15","15","OK",""
"72","gamesel_open2","16","252","3","0","[[C:0001:0001:]] and
[[C:0001:0001:]]
are now open!","[[C:0001:0001:]] en
[[C:0001:0001:]]
zijn nu geopend!","[[C:0001:0001:]] et
[[C:0001:0001:]] sont
disponibles !","[[C:0001:0001:]] und
[[C:0001:0001:]]
sind nun verfügbar!","Hai sbloccato
[[C:0001:0001:]] e
[[C:0001:0001:]]!","[[C:0001:0001:]] e
[[C:0001:0001:]]
estão abertas!","[[C:0001:0001:]] и
[[C:0001:0001:]]
открыты!","¡[[C:0001:0001:]] y
[[C:0001:0001:]]
disponibles!","[[C:0001:0001:]] ve
[[C:0001:0001:]]
artık açık!","23","19","3","14","11","OK",""
"73","gamesel_open3","16","252","3","0","A new box
has appeared!","Er is een nieuwe
doos verschenen!","Une nouvelle
boîte est
apparue !","Eine neue
Schachtel ist
aufgetaucht!","È apparsa una
nuova scatola!","Surgiu uma 
nova caixa!","Появилась
новая коробка!","¡Ha aparecido
una nueva caja!","Yeni bir kutu
ortaya çıktı!","34","16","3","26","13","OK",""
"74","gamesel_shoot","137","205","1","0","Shooting","Schietschijf","Tir à l'arc","Zielschießen","Arciere","Arqueiro","Тир","Arquero","Atış","12","12","1","4","4","OK",""
"75","gamesel_shoot2","139","246","1","0","Shooting 2","Schietschijf 2","Tir à l'arc 2","Zielschießen 2","Arciere 2","Arqueiro 2","Тир 2","Arquero II","Atış 2","14","14","1","6","6","OK",""
"76","gamesel_chara_photo","137","205","1","0","Star Pics","Sterrenfoto's","Objectif Stars","Star-Bilder","Foto di stelle","Fotos-Estrela","Фото звезд","¡Paparazzi!","Yıldız Pozları","14","14","1","14","14","OK","“Star Pics” doğrudan çevrilmedi; fotoğraf/poz bağlamına uygun, kısa “Yıldız Pozları” seçildi."
"77","gamesel_mii_photo","137","205","1","0","Mii Pics","Mii-foto's","Objectif Mii","Mii-Bilder","Foto di Mii","Fotos Mii","Фото Mii","Fotografía Mii","Mii Pozları","14","14","1","11","11","OK","“Mii Pics” için arayüze daha iyi sığan “Mii Pozları” seçildi."
"78","gamesel_golf","137","205","1","0","AR Shot","Minibiljart","Bille-cross","Mini-Billard","Rotolandia","Mini-Bilhar","Бильярд","Minibillar","AR Vuruşu","12","12","1","9","9","OK","“AR Shot” kelime oyununu ve vuruş mekaniğini korumak için “AR Vuruşu” seçildi."
"79","gamesel_golf2","139","246","1","0","AR Shot 2","Minibiljart 2","Bille-cross 2","Mini-Billard 2","Rotolandia 2","Mini-Bilhar 2","Бильярд 2","Minibillar II","AR Vuruşu 2","14","14","1","11","11","OK",""
"80","gamesel_fish","137","205","1","0","Fishing","Vissen","Pêche","Angeln","Pesca","Pesca","Рыбалка","Pesca","Balıkçılık","7","7","1","10","10","OK",""
"81","gamesel_fish2","139","246","1","0","Free Fishing","Vrij vissen","Pêche libre","Freies Angeln","Pesca libera","Pesca Livre","Рыбалка 2","Pesca libre","Serbest Av","13","13","1","10","10","OK","“Free Fishing” için arayüze daha iyi sığan kısa ve doğal “Serbest Av” seçildi."
"82","gamesel_fishbook","139","246","1","0","Fish Gallery","Visverzameling","Livre de pêche","Fischgalerie","Album marino","Aquário","Трофеи","Libro de peces","Balık Galerisi","14","14","1","14","14","OK",""
"83","gamesel_draw","137","205","1","0","Graffiti","Graffiti","Graffiti","Graffiti","Graffiti","Graffiti","Граффити","Grafiti","Grafiti","8","8","1","7","7","OK",""
"84","gamesel_back","116","188","1","0","Back","Terug","Retour","Zurück","Indietro","Anterior","Назад","Atrás","Geri","8","8","1","4","4","OK",""
"85","gamesel_earth","139","246","1","0","Globe","Wereldbol","Globe","Globus","Terra","Globo","Глобус","Globo terrestre","Dünya","15","15","1","5","5","OK",""
"86","gamesel_moko","139","246","1","0","3D Tools","3D-functies","Outils 3D","3D-Utensilien","Strumenti 3D","Ferramentas 3D","Средства 3D","Relieves 3D","3B Araçlar","14","14","1","10","10","OK","Türkçede “3D” karşılığı olarak “3B” kullanıldı."
"87","gamesel_clock","139","246","1","0","Clock","Klok","Horloge","Uhr","Orologio","Relógio","Часы","Reloj","Saat","8","8","1","4","4","OK",""
"88","gamesel_secret","114","188","1","0","Shoot here!","Schiet hierop!","Tirez ici !","Schieß hierauf!","Colpisci qui!","Dispare para aqui!","Стреляй сюда!","¡Dispara aquí!","Buraya ateş et!","18","18","1","15","15","OK",""
"89","gamesel_omote","114","188","1","0","Go back?","Naar het menu?","Retour au menu ?","Zurück zum Menü?","Torni indietro?","Voltar ao início?","Вернуться назад?","¿Quieres volver?","Geri dönülsün mü?","17","17","1","17","17","OK",""
"90","gamesel_shop","114","188","1","0","Shop","Winkel","Boutique","-Laden","Shop","Loja","Магазин","Tienda","Mağaza","8","8","1","6","6","OK",""
"91","gamesel_coin_expl_1","13","243","5","0","Use  Play Coins here
to open up new modes!","Wissel hier je
speelmunten in voor
nieuwe spelstanden!","Dépensez vos  pièces
de jeu ici pour accéder
à de nouveaux modes !","Tausche hier deine Spiel-
münzen ein, um weitere
Spielmodi freizuschalten!","Usa qui le tue monete
di gioco per sbloccare
nuove modalità.","Utilize aqui as suas 
para aceder a novos
modos!","Используй игровые
монетки , чтобы
открыть новые режимы!","¡Usa aquí tus monedas de
juego para desbloquear
nuevos minijuegos!","Yeni modları açmak için
burada  Oyun Parası
kullan!","72","25","3","50","23","OK",""
