index,label,English,French,German,Italian,Spanish,Turkish
31,CommonF1-1,"Oh, really?",Ah bon ? Vraiment ?,Tatsächlich?,"Oh, davvero?",¿Ah sí?,"Aa, öyle mi?"
32,OtherAttractionM0-0,Do you like rollercoasters?,Tu aimes les montagnes russes ?,Magst du Achterbahnen?,Ti piacciono le montagne russe?,¿Te gusta la montaña rusa?,Hız trenlerini sever misin?
33,OtherAttractionM0-1,Sure!,Bien sûr !,Sicher!,Certo!,¡Claro!,Tabii!
34,OtherAttractionM1-0,Do you like merry-go-rounds?,Tu aimes les carrousels ?,Magst du Karussells?,Ti piacciono le giostre?,¿Te gusta el tiovivo?,Atlıkarıncaları sever misin?
35,OtherAttractionM1-1,Sure.,Bien sûr.,Klar.,Le adoro.,Claro.,Tabii.
36,OtherAttractionM2-0,Do you like pirate ships?,Tu aimes les bateaux pirates ?,Magst du Schiffsschaukeln?,Ti piacciono le navi dei pirati?,¿Te gusta el barco pirata?,Korsan gemilerini sever misin?
37,OtherAttractionM2-1,Sure.,J'adore ça.,Sicher.,Naturalmente.,Claro.,Tabii.
38,OtherAttractionM_Failure0,Do you think it's time to go?,On devrait peut-être y aller.,Glaubst du wir sollten gehen?,Non credi che sia ora di andare via?,Creo que deberíamos irnos.,Sence gitme vakti geldi mi?
39,OtherAttractionM_Failure1,Oh... Already?,Oh... Déjà ?,{TAG_1}Oh... {TAG_2}Jetzt schon?,Oh... Di già?,¿Ya? Bueno...,Aa... Şimdiden mi?
40,OtherAttractionF0-0,Do you like rollercoasters?,Tu aimes les montagnes russes ?,Magst du Achterbahnen?,Ti piacciono le montagne russe?,¿Te gusta la montaña rusa?,Hız trenlerini sever misin?
41,OtherAttractionF0-1,Yeah!,Oui !,Ja!,"Sì, mi piacciono!",¡Claro!,Evet!
42,OtherAttractionF1-0,Do you like merry-go-rounds?,Tu aimes les carrousels ?,Magst du Karussells?,Ti piacciono le giostre?,¿Te gusta el tiovivo?,Atlıkarıncaları sever misin?
43,OtherAttractionF1-1,Why not!,J'aime bien !,"Klar, warum nicht?!",Certo che sì!,Claro.,Neden olmasın!
44,OtherAttractionF2-0,Do you like pirate ships?,Tu aimes les bateaux pirates ?,Magst du Schiffsschaukeln?,Ti piacciono le navi dei pirati?,¿Te gusta el barco pirata?,Korsan gemilerini sever misin?
45,OtherAttractionF2-1,Sure!,Bien sûr !,Sicher doch!,Sì!,Claro.,Tabii!
46,OtherAttractionF_Failure0,It's time to go.,On devrait peut-être rentrer.,Wir sollten gehen.,Tra poco scendiamo.,Tenemos que irnosya.,Gitme vakti geldi.
47,OtherAttractionF_Failure1,Oh... I guess so.,Oh... Sans doute.,{TAG_1}Oh... {TAG_2}Du hast wohl recht.,Oh... Hai ragione.,¡Ah! Vale...,Aa... Sanırım öyle.
48,TravelSickM0-0,"It's pretty wobbly up here, isn't it?","Ça secoue, ici, non ?","Ziemlich wacklig hier oben, oder?","Questaffare è parecchio traballante,
non credi?","Ésto se balancea mucho, ¿no?","Burası epey sallanıyor, değil mi?"
49,TravelSickM0-1,"Yeah, seriously.","Oui, je trouve aussi.","Ja, total.","Sì, direi che hai ragione.",La verdad es que sí.,"Evet, hem de nasıl."
50,TravelSickM1-0,It takes a long time to go round...,"Il faut du temps pour faire un tour
complet, hein ?",Eine Runde dauert richtig lang. Wass?,"Ci impiega un bell pò per fare un giro
completo, non trovi?","Se tarda bastante en dar una vuelta
completa. ¿No?",Bir tur atması epey uzun sürüyor...
51,TravelSickM1-1,Yeah.,Oui.,Ja.,Già.,Sí.,Evet.
52,TravelSickM2-0,What did you eat today?,"Tas mangé quoi, aujourd'hui ?",Was gab's bei dir heute zu essen?,Cosa hai mangiato di buono oggi?,¿Qué has comido hoy?,Bugün ne yedin?
53,TravelSickM2-1,...What did I eat?,"Quess que j'ai mangé, déjà...",...Was ich gegessen habe?,Nonme lo ricordo più...,No me acuerdo bien...,...Ne yedim ben?
54,TravelSickM_Failure0,We should get off.,On devrait peut-être descendre...,Wir sollten aussteigen.,"Che dici, scendiamo?",Tenemos que bajarnosya.,İnsek iyi olacak.
55,TravelSickM_Failure1,Oh... I see.,Oui...,{TAG_1}Oh... {TAG_2}Verstehe.,Oh... D'accordo.,Bueno...,Aa... Anladım.
56,TravelSickF0-0,"It's pretty wobbly, isn't it?","Ça tremble, hein ?","Ziemlich wacklig, was?","È piuttosto traballante questo affare,
non credi?","Ésto se balancea mucho, ¿no?","Epey sallanıyor, değil mi?"
57,TravelSickF0-1,Yeah.,Oui.,Ja.,Sì.,La verdad es que sí.,Evet.
58,TravelSickF1-0,It takes a long time to go round{TAG_1} eh?,"C'est long pour faire un tour complet, hein ?",So eine Runde ist echt lang. Wass?,"Sbaglio o per fare un giro completo
ci mette un'eternità?","Se tarda bastante en dar una vuelta
completa. ¿No?","Bir tur atması epey uzun sürüyor{TAG_1}, ha?"
59,TravelSickF1-1,Yeah.,Oui.,Ja.,Hai ragione.,Sí.,Evet.
60,TravelSickF2-0,What did you eat today?,"Tas mangé quoi, aujourd'hui ?",Was gab's bei dir heute zu essen?,Cosa hai mangiato oggi?,¿Qué has comido hoy?,Bugün ne yedin?
61,TravelSickF2-1,...What did I eat?,"Quess que j'ai mangé, déjà...",...Was ich gegessen habe?,Cosa ho mangiato? Em...,No me acuerdo bien...,...Ne yedim ben?
62,TravelSickF_Failure0,We should get off.,On devrait peut-être descendre...,Wir sollten aussteigen.,Dovremmo scendere.,Tenemos que bajarnosya.,İnsek iyi olacak.
63,TravelSickF_Failure1,Oh... I see.,Oui...,{TAG_1}Oh... {TAG_2}Verstehe.,"Oh... Sì, dovremmo.",Bueno...,Aa... Anladım.
64,LavatoryM0-0,{TAG_1} {TAG_2} tasty?,"C'est bon, {TAG_1}{TAG_2}, non ?",{TAG_1} {TAG_2} lecker. Wass?,Anche tu adori {TAG_1}{TAG_2}?,"¿No crees que {TAG_1} {TAG_2}
{TAG_3}?",{TAG_1} {TAG_2} lezzetli mi?
65,LavatoryM0-1,Yeah. {TAG_1} pretty nice.,"Oui, j'adore ça.",Ja. finde ich auch.,"Sì, ne vado matto.","Sí, tienes razón.",Evet. {TAG_1} oldukça güzel.
66,LavatoryM1-0,I drank too much before getting on this.,J'ai bu beaucoup d'eau avant de monter.,Ich habe heute viel Wasser getrunken.,"Prima di salire ho bevuto un bel
po' d'acqua.","He bebIdo un montón de agua
antes de subirme.",Binmeden önce biraz fazla içtim galiba.
67,LavatoryM1-1,Oh... Did you?,"Oh, vraiment ?",{TAG_1}Oh... {TAG_2}Wirklich?,Oh... Davvero?,¿En serio?,Aa... Öyle mi?
68,LavatoryM2-0,Don't you need to go to spend a penny?,Tu n'as pas besoin d'aller aux toilettes ?,Musst du denn nicht auf Toi lette?,Non devi andare in bagno?,¿No tienes ganas de ir al servicio?,Tuvalete gitmen gerekmiyor mu?
69,LavatoryM2-1,"No, I'm fine.","Non, ça va.","Nein, alles bestens.","No, sto bene.","No, estoy bien.","Hayır, iyiyim."
70,LavatoryM_Failure0,Perhaps we should head down.,Peut-être qu'on devrait descendre...,Vielleicht sollten wir mal aussteigen.,Forse dovremmo scendere.,Tenemos que bajarnos.,Galiba aşağı insek iyi olacak.
71,LavatoryM_Failure1,Oh{TAG_1} right...,"Oh, d'accord...","{TAG_1}Oh, {TAG_2}verstehe...","Oh, giusto...",Sí...,"Aa{TAG_1}, doğru..."
72,LavatoryF0-0,{TAG_1} {TAG_2} tasty?,"Tu aimes ça, {TAG_1}{TAG_2} ?",{TAG_1} {TAG_2} lecker. Oder?,Anche tu adori {TAG_1}{TAG_2}?,"¿No crees que {TAG_1} {TAG_2}
{TAG_3}?",{TAG_1} {TAG_2} lezzetli mi?
73,LavatoryF0-1,Yeah. {TAG_1} pretty nice.,"Oui, j'adore ça.",Ja. finde ich auch.,"Sì, ne vado matta!","Sí, tienes razón.",Evet. {TAG_1} oldukça güzel.
74,LavatoryF1-0,I think I drank too much soda.,J'ai bu des litres d'eau avant de monter...,Ich habe eben viel Wasser getrunken.,"Ho bevuto tanta acqua prima
di salire.","He bebIdo un montón de agua
antes de subirme.",Galiba biraz fazla gazoz içtim.
75,LavatoryF1-1,Oh{TAG_1} really?,"Oh, vraiment ?","{TAG_1}Oh, {TAG_2}echt?","Oh, davvero?",¿En serio?,"Aa{TAG_1}, öyle mi?"
76,LavatoryF2-0,Don't you need to powder your nose?,Tu n'as pas besoin d'aller aux toilettes ?,Musst du dann nicht auf Toi lette?,Non hai bisogno di andare in bagno?,¿No tienes ganas de ir al servicio?,Tuvalete gitmen gerekmiyor mu?
77,LavatoryF2-1,"No, I'm fine.","Non, ça va.","Nein, alles bestens.","No, sono a posto.","No, estoy bien.","Hayır, iyiyim."
78,LavatoryF_Failure0,Perhaps we should head down.,On devrait peut-être descendre.,Wir sollten langsam aussteigen.,Forse dovremmo scendere.,Tenemos que bajarnos.,Galiba aşağı insek iyi olacak.
79,LavatoryF_Failure1,Oh{TAG_1} I see...,Ou i...,"{TAG_1}Oh, {TAG_2}verstehe...","Oh, mi sa di sì...",Sí...,"Aa{TAG_1}, anladım..."
