file,index,label,English,German,Spanish,French,Italian,Turkish,official_max_lines,official_max_px,turkish_lines,turkish_max_px,fit_ratio,fit_status,control_status,translation_status,translator_note
autumn.msbt,16,B_EditCol_01,Cancel,Zurück,Cancelar,Annuler,Annulla,İptal,1,120,1,65,0.542,OK,OK,REUSED_PULLBLOX,
autumn.msbt,17,B_QRE_00,No,Nein danke!,No,Non,No,Hayır,1,165,1,79,0.479,OK,OK,REUSED_PULLBLOX,
autumn.msbt,18,B_QRE_01,Yes,Ja gerne!,¡Sí!,Oui,Sì,Evet,1,127,1,64,0.504,OK,OK,REUSED_PULLBLOX,
autumn.msbt,19,B_QRE_02,Save to SD Card,Auf SD Card speichern,Guardar en la tarjeta SD,⟦TAG:0002:0000:3C00⟧Sauvegarder sur la carte SD⟦END:0002:0000⟧,Salva nella scheda SD,SD Karta Kaydet,1,381,1,231,0.606,OK,OK,REUSED_PULLBLOX,
autumn.msbt,20,B_QRD_00,"Read with
Camera","Mit der Kamera
einlesen","Leer con
cámara","Lire avec
l'appareil photo","Leggi con
la fotocamera","Kamerayla
Oku",2,220,2,149,0.677,OK,OK,MANUAL,
autumn.msbt,21,B_QRD_01,"Read from
SD Card","Von SD Card
lesen","Leer desde
tarjeta SD","Charger à partir
de la carte SD","Leggi dalla
scheda SD","SD Karttan
Oku",2,224,2,155,0.692,OK,OK,MANUAL,
autumn.msbt,22,DialogButton_,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
autumn.msbt,23,DB_00,Yes,Ja,Vale,Oui,Sì,Evet,1,62,1,64,1.032,REVIEW,OK,REUSED_PULLBLOX,
autumn.msbt,24,DB_01,No,Nein,No,Non,No,Hayır,1,63,1,79,1.254,RISK,OK,REUSED_PULLBLOX,
autumn.msbt,25,DB_02,Close,Schließen,Cerrar,Fermer,Chiudi,Kapat,1,130,1,86,0.662,OK,OK,REUSED_PULLBLOX,
autumn.msbt,26,DB_03,OK,OK,Vale,OK,OK,OK,1,62,1,41,0.661,OK,OK,REUSED_PULLBLOX,
autumn.msbt,27,DB_UserDel_00,Fallblox,Fallblox,Fallblox,Fallblox,Fallblox,Fallblox,1,110,1,110,1.000,OK,OK,MANUAL,
autumn.msbt,28,DB_UserDel_01,Rice Balls,Reisbälle,⟦TAG:0002:0000:3700⟧Rosquillas⟦END:0002:0000⟧,Kouglofs,Polpette,Onigiri,1,135,1,95,0.704,OK,OK,REUSED_PULLBLOX,
autumn.msbt,29,DB_UserDel_02,Cancel,⟦TAG:0002:0000:3700⟧Abbrechen⟦END:0002:0000⟧,Cancelar,Annuler,Annulla,İptal,1,148,1,65,0.439,OK,OK,REUSED_PULLBLOX,
autumn.msbt,30,DB_Pau_00,Continue,Weiter,Continuar,Continuer,Continua,Devam,1,135,1,91,0.674,OK,OK,REUSED_PULLBLOX,
autumn.msbt,31,DB_Pau_01,Skip to Next,Überspringen,Pasar al siguiente,Passer au suivant,Salta al prossimo,Sonrakine Geç,1,245,1,196,0.800,OK,OK,REUSED_PULLBLOX,
autumn.msbt,32,DB_Pau_02,To Fallblox Park,Zum Fallbloxpark,A Villa Fallblox ,Retour au parc,Torna al parco,Fallblox Park’a,1,237,1,209,0.882,OK,OK,MANUAL,
autumn.msbt,33,DB_Pau_03,To Fallblox Studio,Zum Fallbloxstudio,Al estudio,Retour à l'atelier,Torna allo studio,Fallblox Studio’ya,1,256,1,247,0.965,OK,OK,MANUAL,
autumn.msbt,34,DB_Pau_04,To Training,Zu den Übungen,A la zona de prácticas,Retour aux exercices,Torna agli esercizi,Alıştırmaya,1,306,1,163,0.533,OK,OK,MANUAL,
autumn.msbt,35,DB_Pau_05,To Prototypes,Zu den Prototypen,A los prototipos,Retour aux prototypes,Torna ai prototipi,Prototiplere,1,308,1,171,0.555,OK,OK,MANUAL,
autumn.msbt,36,DB_Pau_10,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
autumn.msbt,37,DB_Res_00,Next Fallblox,Nächstes Fallblox,Siguiente Fallblox,Fallblox suivant,Prossimo Fallblox,Sonraki Fallblox,1,246,1,223,0.907,OK,OK,MANUAL,
autumn.msbt,38,DB_Res_01,Replay Fallblox,Fallblox wiederholen,Repetir el Fallblox,Rejouer à ce Fallblox,Rigioca il Fallblox,Fallblox’u Tekrarla,1,285,1,261,0.916,OK,OK,MANUAL,
autumn.msbt,39,DB_EditStar1_00,★,★,★,★,★,★,1,24,1,24,1.000,OK,OK,REUSED_PULLBLOX,
autumn.msbt,40,DB_EditStar1_01,Easy,Leicht,Principiante,Facile,Facile,Başlangıç,1,171,1,130,0.760,OK,OK,REUSED_PULLBLOX,
autumn.msbt,41,DB_EditStar2_00,★★,★★,★★,★★,★★,★★,1,48,1,48,1.000,OK,OK,REUSED_PULLBLOX,
autumn.msbt,42,DB_EditStar2_01,Pretty Simple,Ziemlich leicht,Fácil,Assez facile,Abbastanza facile,Kolay,1,253,1,78,0.308,OK,OK,REUSED_PULLBLOX,
autumn.msbt,43,DB_EditStar3_00,★★★,★★★,★★★,★★★,★★★,★★★,1,72,1,72,1.000,OK,OK,REUSED_PULLBLOX,
autumn.msbt,44,DB_EditStar3_01,Average,Normal,Normal,Moyen,Normale,Orta,1,118,1,67,0.568,OK,OK,REUSED_PULLBLOX,
autumn.msbt,45,DB_EditStar4_00,★★★★,★★★★,★★★★,★★★★,★★★★,★★★★,1,96,1,96,1.000,OK,OK,REUSED_PULLBLOX,
autumn.msbt,46,DB_EditStar4_01,Tricky,Knifflig,Difícil,Difficile,Difficile,Zor,1,111,1,46,0.414,OK,OK,REUSED_PULLBLOX,
autumn.msbt,47,DB_EditStar5_00,★★★★★,★★★★★,★★★★★,★★★★★,★★★★★,★★★★★,1,120,1,120,1.000,OK,OK,REUSED_PULLBLOX,
autumn.msbt,48,DB_EditStar5_01,Hard,Schwer,Muy difícil,Expert,Per professionisti,Çok Zor,1,239,1,101,0.423,OK,OK,REUSED_PULLBLOX,
autumn.msbt,49,DB_EditCall_Park,...from Fallblox Park,⟦TAG:0002:0000:3700⟧...aus dem Fallbloxpark⟦END:0002:0000⟧,De Villa Fallblox,Fallblox du parc,Fallblox del parco,...Fallblox Park’tan,1,314,1,264,0.841,OK,OK,MANUAL,
autumn.msbt,50,DB_EditCall_Edit,⟦TAG:0002:0000:4000⟧...from Fallblox Studio⟦END:0002:0000⟧,⟦TAG:0002:0000:3700⟧...aus dem Fallbloxstudio⟦END:0002:0000⟧,⟦TAG:0002:0000:4000⟧Del estudio⟦END:0002:0000⟧,Fallblox de l'atelier,⟦TAG:0002:0000:4000⟧Fallblox dello studio⟦END:0002:0000⟧,⟦TAG:0002:0000:4000⟧...Fallblox Studio’dan⟦END:0002:0000⟧,1,333,1,289,0.868,OK,OK,MANUAL,
autumn.msbt,51,DB_EditCall_Old,...from Papa Blox,...von Meister Blox,De Papa Blox,Fallblox de Papy Blox,⟦TAG:0002:0000:4000⟧Fallblox di Mastro Blox⟦END:0002:0000⟧,...Usta Blox'tan,1,313,1,208,0.665,OK,OK,REUSED_PULLBLOX,
autumn.msbt,52,DB_EditCall_Cancel,Cancel,Abbrechen,Cancelar,Annuler,Annulla,İptal,1,148,1,65,0.439,OK,OK,REUSED_PULLBLOX,
autumn.msbt,53,DB_How_Try,Try It Out,Versuch's mal!,Probar,Mettre en pratique,Prova,Dene,1,264,1,68,0.258,OK,OK,REUSED_PULLBLOX,
autumn.msbt,54,DB_How_Replay,Replay Tutorial,Tutorial wiederholen,Ver de nuevo,Revoir ce tutoriel,Guarda dall'inizio,Eğitimi Tekrarla,1,285,1,224,0.786,OK,OK,REUSED_PULLBLOX,
autumn.msbt,55,DB_How_Back,Back to Tutorials,Zu den Tutorials ,Volver a la academia,Menu des tutoriels,Torna ai tutorial,Öğreticilere Dön,1,287,1,226,0.787,OK,OK,MANUAL,
autumn.msbt,56,DB_How_Cont,Continue,Weiter,Continuar,Continuer,Continua,Devam,1,135,1,91,0.674,OK,OK,REUSED_PULLBLOX,
autumn.msbt,57,DB_How_Demo,Replay Tutorial,Tutorial wiederholen,Ver de nuevo,Revoir ce tutoriel,Guarda dall'inizio,Eğitimi Tekrarla,1,285,1,224,0.786,OK,OK,REUSED_PULLBLOX,
autumn.msbt,58,Dialog_,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
autumn.msbt,59,D_Format_00,"Creating save data...

Do not remove the SD Card
or turn the power off.","Speicherdaten werden erstellt...

Bitte entferne nicht die
SD Card und schalte
das System nicht aus.","Creando datos de guardado…

No extraigas la tarjeta SD
ni apagues la consola.","Création des
données de sauvegarde...

N'éteignez pas la console et
ne retirez pas la carte SD.","Creazione dei dati
di salvataggio in corso...

Non estrarre la scheda SD
e non spegnere la console.","Kayıt verisi oluşturuluyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",5,441,4,371,0.841,OK,OK,REUSED_PULLBLOX,
autumn.msbt,60,D_Format_01,Save data has been created.,Speicherdaten erstellt.,"Se han creado
datos de guardado.","Les données de sauvegarde
ont été créées.","Creazione dei dati di
salvataggio completata.",Kayıt verisi oluşturuldu.,2,389,1,327,0.841,OK,OK,MANUAL,
autumn.msbt,61,D_Repair_00,"Save data may be corrupted.

Corrupted data will be deleted.","Möglicherweise sind die
Speicherdaten fehlerhaft.

Die fehlerhaften Daten
werden gelöscht.","Puede que los datos guardados
estén dañados.

Los datos dañados se borrarán.","Les données de sauvegarde
sont corrompues et vont
être réinitialisées.","I dati di salvataggio sono
danneggiati e verranno
cancellati.","Kayıt verisi bozulmuş olabilir.

Bozuk veriler silinecek.",5,425,3,401,0.944,OK,OK,MANUAL,
autumn.msbt,62,D_Repair_01,"The Fallblox data you created
is partially corrupted. Corrupted
Fallblox data will be deleted.","Deine Fallbloxdaten sind teil-
weise fehlerhaft. Fehlerhafte
Fallbloxdaten werden gelöscht.","Los datos de Fallblox que has
creado están parcialmente
dañados. Los datos dañados
se borrarán.","Les données des Fallblox
que vous avez créés sont en
partie corrompues. Les données
corrompues vont être effacées.","Una parte dei dati dei Fallblox
che hai creato è danneggiata.
I dati danneggiati verranno
cancellati.","Oluşturduğun Fallblox verisinin
bir kısmı bozuk. Bozuk
Fallblox verisi silinecek.",4,446,3,426,0.955,OK,OK,MANUAL,
autumn.msbt,63,D_Repair_02,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
autumn.msbt,64,D_Repair_10,"Deleting corrupted data...

Do not remove the SD Card
or turn the power off.","Fehlerhafte Daten werden
gelöscht...

Bitte entferne nicht die
SD Card und schalte
das System nicht aus.","Borrando datos dañados…

No extraigas la tarjeta SD
ni apagues la consola.","Effacement des
données corrompues...

N'éteignez pas la console et
ne retirez pas la carte SD.","Eliminazione dei dati
danneggiati in corso...

Non estrarre la scheda SD
e non spegnere la console.","Bozuk veriler siliniyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",6,379,4,321,0.847,OK,OK,MANUAL,
autumn.msbt,65,D_Repair_11,"Corrupted data has
been deleted.","Die fehlerhaften Daten
wurden gelöscht.","Se han borrado
los datos dañados.","Les données corrompues
ont été effacées.","I dati danneggiati sono stati
cancellati.","Bozuk veriler
silindi.",2,391,2,180,0.460,OK,OK,MANUAL,
autumn.msbt,66,D_ExtSave_00,"Extra data will now be
created on the SD Card.","Zusatzdaten werden jetzt auf
der SD Card angelegt.","Se crearán datos adicionales
en la tarjeta SD.","Des données additionnelles
vont être créées sur
la carte SD.","Verranno creati dei dati
aggiuntivi nella scheda SD.","Şimdi SD Kartta
ek veri oluşturulacak.",3,412,2,297,0.721,OK,OK,MANUAL,
autumn.msbt,67,D_ExtSave_10,"Creating extra data...

Do not remove the SD Card
or turn the power off.","Zusatzdaten werden
erstellt...

Bitte entferne nicht die SD Card
und schalte das System nicht
aus.","Creando datos adicionales…

No extraigas la tarjeta SD
ni apagues la consola.","Création des données
additionnelles...

N'éteignez pas la console et
ne retirez pas la carte SD.","Creazione dei dati aggiuntivi
in corso...

Non estrarre la scheda SD
e non spegnere la console.","Ek veri oluşturuluyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",6,438,4,314,0.717,OK,OK,MANUAL,
autumn.msbt,68,D_ExtSave_20,Extra data has been created.,Zusatzdaten wurden angelegt.,"Se han creado
datos adicionales.","Les données additionnelles
ont été créées.",Sono stati creati dati aggiuntivi.,Ek veri oluşturuldu.,2,450,1,265,0.589,OK,OK,MANUAL,
autumn.msbt,69,D_ExtSave_30,"Extra data could not be created
because there was not enough
free space on the SD Card.
Since extra data could not be
created, the SpotPass feature
cannot be used.","Zusatzdaten konnten nicht
angelegt werden, da sich auf
der SD Card nicht genügend
Speicherplatz befindet. Ohne
diese Zusatzdaten kann
SpotPass nicht genutzt werden.","No se pudieron crear datos
adicionales por falta de espacio
en la tarjeta SD. La función de
SpotPass no está disponible
porque no se pudieron crear
datos adicionales.","La création des données
additionnelles a échoué car
l'espace libre sur la carte SD
est insuffisant.
Vous ne pourrez pas recevoir
de notifications via SpotPass.","Impossibile creare dati
aggiuntivi. Non c'è abbastanza
spazio libero nella scheda SD.
Poiché non è possibile creare
dati aggiuntivi, SpotPass non
può essere utilizzata.","SD Kartta yeterli boş alan
olmadığı için ek veri
oluşturulamadı.
Ek veri oluşturulamadığından
SpotPass özelliği kullanılamaz.",6,440,5,421,0.957,OK,OK,MANUAL,
autumn.msbt,70,D_ExtSave_31,"Extra data could not be created
because an SD Card process
failed. Since extra data could
not be created, the SpotPass
feature cannot be used.","Zusatzdaten konnten nicht
angelegt werden, da im
Zusammenhang mit der SD Card
ein Fehler aufgetreten ist. Ohne
diese Zusatzdaten kann
SpotPass nicht genutzt werden.","No se pudieron crear datos
adicionales por un error en la
tarjeta SD. La función de
SpotPass no está disponible
porque no se pudieron crear
datos adicionales.","La création des données
additionnelles a échoué car
une erreur est survenue lors
de l'accès à la carte SD.
Vous ne pourrez pas recevoir
de notifications via SpotPass.","Si è verificato un errore con la
scheda SD. Impossibile creare
dati aggiuntivi.
Poiché non è possibile creare
dati aggiuntivi, SpotPass non
può essere utilizzata.","Bir SD Kart işlemi
başarısız olduğu için ek
veri oluşturulamadı. Ek
veri oluşturulamadığından
SpotPass özelliği
kullanılamaz.",6,442,6,360,0.814,OK,OK,MANUAL_QC,Uzun metin resmî satır/piksel bütçesine göre yeniden kırıldı.
autumn.msbt,71,D_UserNew_00,"Creating save file...

Do not remove the SD Card
or turn the power off.","Eine Speicherdatei wird
erstellt...

Bitte entferne nicht die SD Card
und schalte das System nicht
aus.","Creando archivo de guardado…

No extraigas la tarjeta SD
ni apagues la consola.","Création d'un fichier
de sauvegarde...

N'éteignez pas la console et
ne retirez pas la carte SD.","Creazione del file di
salvataggio in corso...

Non estrarre la scheda SD
e non spegnere la console.","Kayıt dosyası oluşturuluyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",6,438,4,396,0.904,OK,OK,MANUAL,
autumn.msbt,72,D_UserNew_01,Save file has been created.,Speicherdatei erstellt.,"Se ha creado un archivo
de guardado.","Le fichier de sauvegarde
a été créé.","I dati di salvataggio
sono stati creati.",Kayıt dosyası oluşturuldu.,2,369,1,352,0.954,OK,OK,MANUAL,
autumn.msbt,73,D_UserDel_00,"Delete save file
⟦TAG:0001:0001:0000⟧?","Speicherdatei
⟦TAG:0001:0001:0000⟧ löschen?","¿Quieres borrar el
archivo ⟦TAG:0001:0001:0000⟧?","Effacer le fichier de sauvegarde
⟦TAG:0001:0001:0000⟧ ?","Vuoi cancellare i dati
di salvataggio
⟦TAG:0001:0001:0000⟧?","Kayıt dosyası silinsin mi
⟦TAG:0001:0001:0000⟧?",3,440,2,322,0.732,OK,OK,MANUAL,
autumn.msbt,74,D_UserDel_01,"Once save data is deleted,
it cannot be recovered.

Are you sure you want
to delete?","Gelöschte Speicherdaten
können nicht wiederherge-
stellt werden.

Bist du dir wirklich sicher?","Los datos borrados
no se podrán recuperar.

¿Seguro que quieres borrar
los datos guardados?","Attention, les données effacées
ne peuvent pas être récupérées.

Voulez-vous vraiment effacer
vos données de sauvegarde ?","I dati cancellati non potranno
essere recuperati.

Vuoi proseguire?","Kayıt verisi silindikten sonra
geri getirilemez.

Gerçekten silmek
istiyor musun?",5,436,5,394,0.904,OK,OK,REUSED_PULLBLOX,
autumn.msbt,75,D_UserDel_02,"If you really want to delete
this save file, answer this
question:

What has Papa Blox made
to fill Fallblox Park?","Beantworte diese Frage,
wenn du deine Speicherdatei
löschen willst:

Wie nennt Meister Blox
seine Spielzeuge?","Si realmente quieres borrar
este archivo de guardado,
responde a esta pregunta:

¿Qué ha hecho Papa Blox
para llenar Villa Fallblox?","Si vous voulez vraiment effacer
vos données de sauvegarde,
répondez à la question suivante.

Quel nom portent les attractions
créées par Papy Blox ?","Se vuoi davvero cancellare
i tuoi dati di salvataggio,
rispondi a questa domanda:

Cos'ha costruito Mastro Blox
nel parco dei Fallblox?","Kayıt dosyasını gerçekten
silmek istiyorsan şu soruyu
yanıtla:

Usta Blox, Fallblox Park’ı
neyle doldurdu?",6,449,6,359,0.800,OK,OK,MANUAL,
autumn.msbt,76,D_UserDel_03,"Wrong answer.

Save file will not be deleted.","Falsche Antwort.

Die Speicherdatei wird nicht
gelöscht.","Respuesta incorrecta.

No se borrará el archivo
de guardado.","Votre réponse est incorrecte.

Les données de sauvegarde
ne seront pas effacées.","Risposta sbagliata...

I dati di salvataggio non
verranno cancellati.","Yanlış cevap.

Kayıt dosyası silinmeyecek.",4,398,3,371,0.932,OK,OK,MANUAL,
autumn.msbt,77,D_UserDel_04,"Correct!

Save file will be deleted.","Völlig richtig.

Die Speicherdatei wird
gelöscht.","¡Correcto!

El archivo de guardado
será borrado.","C'est exact !

Les données de sauvegarde
vont être effacées.","Risposta corretta!

I dati di salvataggio
verranno cancellati.","Doğru!

Kayıt dosyası silinecek.",4,368,3,317,0.861,OK,OK,MANUAL,
autumn.msbt,78,D_UserDel_05,"Deleting save file...

Do not remove the SD Card
or turn the power off.","Lösche die Speicherdatei...

Bitte entferne nicht die
SD Card und schalte
das System nicht aus.","Borrando el archivo de
guardado…

No extraigas la tarjeta SD
ni apagues la consola.","Effacement des données
de sauvegarde...

N'éteignez pas la console et
ne retirez pas la carte SD.","Eliminazione dei dati
di salvataggio in corso...

Non estrarre la scheda SD
e non spegnere la console.","Kayıt dosyası siliniyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",5,379,4,324,0.855,OK,OK,MANUAL,
autumn.msbt,79,D_UserDel_06,Save file has been deleted.,"Die Speicherdatei
wurde gelöscht.","Se ha borrado el archivo
de guardado.","Les données de sauvegarde
ont été effacées.","I dati di salvataggio sono
stati cancellati.",Kayıt dosyası silindi.,2,368,1,280,0.761,OK,OK,MANUAL,
autumn.msbt,80,D_BossOn_00,"⟦TAG:0002:0000:3700⟧Do you want to receive notifications
(which may include advertisements
and/or promotions) related to
Fallblox from Nintendo via SpotPass?
Please note that this decision will
apply to all of your Fallblox save files.⟦END:0002:0000⟧","⟦TAG:0002:0000:3E00⟧Möchtest du von Nintendo via
SpotPass Mitteilungen zu Fallblox
erhalten? (Mitteilungen können
Werbung und Promotionsmaterial
enthalten.) Diese Einstellung
gilt für alle Speicherdateien.⟦END:0002:0000⟧","⟦TAG:0002:0000:3E00⟧¿Quieres recibir notificaciones de
Nintendo sobre Fallblox mediante
SpotPass? Podrían incluir anun-
cios y mensajes promocionales.
(Afecta a todos los archivos de
guardado de Fallblox.)⟦END:0002:0000⟧","⟦TAG:0002:0000:3800⟧Recevoir des notifications (pouvant
inclure de la publicité et du contenu
promotionnel) au sujet de Fallblox, via
SpotPass, de la part de Nintendo ?
Ce choix s'appliquera à tous vos
fichiers de sauvegarde.⟦END:0002:0000⟧","Vuoi ricevere notifiche (incluse
pubblicità e/o promozioni) da
Nintendo relative a Fallblox
tramite SpotPass? Questa
decisione influenzerà tutti i dati
di salvataggio di Fallblox.","⟦TAG:0002:0000:3700⟧Nintendo’dan SpotPass yoluyla
Fallblox’la ilgili bildirimler
(reklam veya tanıtım
içerebilir) almak ister misin?
Bu seçim tüm Fallblox kayıt
dosyaların için geçerli olacak.⟦END:0002:0000⟧",6,524,6,424,0.809,OK,OK,MANUAL_QC,Uzun metin resmî satır/piksel bütçesine göre yeniden kırıldı.
autumn.msbt,81,D_BossOn_01,"Do you want to receive
notifications (which may
include advertisements
and/or promotions)
related to Fallblox from
Nintendo via SpotPass?","Möchtest du von Nintendo via
SpotPass Mitteilungen zu
Fallblox erhalten (Mitteilungen
können Werbung und 
Promotionsmaterial enthalten)?","¿Quieres recibir notificaciones
de Nintendo sobre Fallblox
mediante SpotPass?
(Las notificaciones podrían
incluir anuncios y mensajes
promocionales.)","Recevoir des notifications
(pouvant inclure de la publicité
et du contenu promotionnel) au
sujet de Fallblox, via SpotPass,
de la part de Nintendo ? ","Vuoi ricevere notifiche
(incluse pubblicità e/o
promozioni) da Nintendo
relative a Fallblox
tramite SpotPass?","Nintendo’dan SpotPass yoluyla
Fallblox’la ilgili bildirimler
(reklam veya tanıtım içerebilir)
almak ister misin?",6,441,4,429,0.973,OK,OK,MANUAL,
autumn.msbt,82,D_BossOn_10,"Activating SpotPass...

Do not remove the SD Card
or turn the power off.","SpotPass wird aktiviert...

Bitte entferne nicht die
SD Card und schalte
das System nicht aus.","Activando SpotPass…

No extraigas la tarjeta SD
ni apagues la consola.","Activation de SpotPass...

N'éteignez pas la console et
ne retirez pas la carte SD.","Attivazione di SpotPass
in corso...

Non estrarre la scheda SD
e non spegnere la console.","SpotPass etkinleştiriliyor...

SD Kartı çıkarmayın ve
gücü kapatmayın.",5,379,4,372,0.982,OK,OK,MANUAL,
autumn.msbt,83,D_BossOn_20,"SpotPass has
been activated.",SpotPass wurde aktiviert.,Se ha activado SpotPass.,SpotPass est à présent activé.,SpotPass è stata attivata.,"SpotPass
etkinleştirildi.",2,411,2,198,0.482,OK,OK,MANUAL,
autumn.msbt,84,D_BossOn_21,"SpotPass has been activated.

To change this setting, visit
Papa Blox on the main menu
and then select Options.","SpotPass wurde aktiviert.

Um diese Einstellung zu
ändern, besuche im Hauptmenü
Meister Blox und berühre dann
„Optionen“.","Se ha activado SpotPass.

Para cambiar esta opción,
visita a Papa Blox en el
menú principal y luego
selecciona Opciones.","SpotPass est à présent activé.

Pour modifier ce paramètre,
rendez visite à Papy Blox
dans le menu principal et
touchez Options.","SpotPass è stata attivata.

Per cambiare le impostazioni,
visita Mastro Blox nel menu
principale e tocca Opzioni.","SpotPass etkinleştirildi.

Bu ayarı değiştirmek için ana
menüden Usta Blox’a git ve
Seçenekler’i seç.",6,424,5,398,0.939,OK,OK,MANUAL,
autumn.msbt,85,D_BossOn_30,"Unable to use SpotPass
because extra data could
not be found. 

To create extra data,
please reboot the game.","SpotPass kann nicht verwendet
werden, da keine Zusatzdaten
gefunden wurden.

Bitte starte das Spiel neu, um
Zusatzdaten anzulegen.","SpotPass no está disponible
porque no se encontraron
datos adicionales. 

Para crear datos adicionales,
reinicia el juego.","Vous ne pouvez pas utiliser
SpotPass car les données
additionnelles sont introuvables.
Pour créer des données
additionnelles, redémarrez
le logiciel.","Impossibile trovare i dati
aggiuntivi.
SpotPass non verrà attivata.

Per creare i dati aggiuntivi,
riavvia il gioco.","Ek veri bulunamadığı için
SpotPass kullanılamıyor.

Ek veri oluşturmak için
oyunu yeniden başlat.",6,449,5,342,0.762,OK,OK,MANUAL,
