archive,asset,animation,english,turkish,style,enabled,notes
KUI,ko_ui_fukubikiblock_EU_en,19,Total Damage,TOPLAM HASAR,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,20,Melee Damage,YAKIN HASAR,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,21,Flying Damage,UÇAN HASAR,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,22,Ranged Damage,MENZİLLİ HASAR,clear_white,1,
KUI,ko_ui_jump_EU_en,0,Jump,Zıpla,clear_white,1,
KUI,ko_ui_luckyouch_EU_en,0,LUCKY!,ŞANSLI!,stylized_yellow,1,
KUI,ko_ui_luckyouch_EU_en,1,OUCH!,AH!,stylized_white,1,
KUI,ko_ui_luckyouch_EU_en,2,CRITICAL,KRİTİK,stylized_white,1,
KUI,ko_ui_luckyouch_EU_en,3,CRITICAL,KRİTİK,stylized_blue,1,
KUI,ko_ui_lvup_EU_en,10,Level Up!,SEVİYE\nARTTI!,stylized_orange,1,
KUI,ko_ui_number_EU_en,10,LV,SV,tiny,1,SV = Seviye
KUI,ko_ui_okexcellent_EU_en,0,OK,TAMAM,stylized_yellow,1,
KUI,ko_ui_okexcellent_EU_en,1,EXCELLENT!,MÜKEMMEL!,stylized_rainbow,1,
KUI,ko_ui_start_EU_en,10,BATTLE,SAVAŞ,stylized_orange,1,
KUI,ko_ui_start_EU_en,11,FINAL BATTLE,FİNAL\nSAVAŞ,stylized_orange,1,
KUI,ko_ui_start_EU_en,12,START!,BAŞLA!,stylized_orange,1,
KUI,ko_ui_statname_EU_en,0,POW,GÜÇ,clear_white,1,
KUI,ko_ui_statname_EU_en,1,POW,GÜÇ,clear_white,1,
KUI,ko_ui_statname_EU_en,2,DEF,SAV,clear_white,1,
KUI,ko_ui_statname_EU_en,3,DEF,SAV,clear_white,1,
KUI,ko_ui_statname_EU_en,4,SPEED,HIZ,clear_white,1,
KUI,ko_ui_statname_EU_en,5,SPEED,HIZ,clear_white,1,
KUI,ko_ui_statname_EU_en,6,SPIRIT,RUH,clear_white,1,
KUI,ko_ui_statname_EU_en,7,SPIRIT,RUH,clear_white,1,
KUI,ko_ui_statname_EU_en,8,ACCURACY,İSABET,clear_white,1,
KUI,ko_ui_statname_EU_en,9,ACCURACY,İSABET,clear_white,1,
KUI,ko_ui_statname_EU_en,10,EVASION,KAÇINMA,clear_white,1,
KUI,ko_ui_statname_EU_en,11,EVASION,KAÇINMA,clear_white,1,
KUI,ko_ui_statname_EU_en,12,LUCK,ŞANS,clear_white,1,
KUI,ko_ui_statname_EU_en,13,LUCK,ŞANS,clear_white,1,
KUI,ko_ui_wakeup_EU_en,0,Wake Up,Uyan,clear_white,1,
KUI,ko_ui_winlose_EU_en,0,VICTORY!,ZAFER!,stylized_green,1,
KUI,ko_ui_winlose_EU_en,1,DEFEATED...,YENİLDİN...,stylized_red,1,
KUI,ko_ui_winlose_EU_en,2,PERFECT!,KUSURSUZ!,stylized_rainbow,1,
MGUI,mg_ui_font_EU_en,0,NEXT STAGE,SONRAKİ\nAŞAMA,stylized_orange,1,
MGUI,mg_ui_font_EU_en,1,MISS...,ISKA...,stylized_white,1,
MGUI,mg_ui_font_EU_en,2,GOAL,HEDEF,stylized_green,1,
MGUI,mg_ui_font_EU_en,3,START!,BAŞLA!,stylized_orange,1,
MGUI,mg_ui_fontclear_EU_en,0,CLEARED!,TAMAMLANDI!,stylized_green,1,
