apply,archive,member,section,entry,source_text,translation,flags,notes
1,0/0/0,node_0000_slot_00.bin,all,33,"Well, I didn't think you'd win \nthe \u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002.\u0010\u0002\uFF00\0\nThat was pretty impressive.\u0010\u0001\uBE01\nSo I thought I'd come visit.",Doğrusu \u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002\u0010\u0002\uFF00\0yi kazanacağını\nhiç düşünmemiştim.\nGerçekten etkileyiciydi.\u0010\u0001\uBE01\nO yüzden uğrayayım dedim.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,34,Heheh. Thanks.,Hehe. Sağ ol.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,35,\u0010\u0002\uBE0A\u0001You've finally made it this far!\nI've got nothing left to say!\nNothing else to teach you!,\u0010\u0002\uBE0A\u0001Sonunda bu seviyeye geldin!\nArtık söyleyecek sözüm kalmadı!\nSana öğretecek başka bir şey de yok!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,36,Uh...\nI don't remember you teaching me...?,Şey... Bana bir şey öğrettiğini\nhatırlamıyorum ama...?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,37,"Oh, listen to yourself!\nYou don't have to pretend!",Şu dediğine bak!\nNumara yapmana gerek yok!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,39,"\u0010\u0002\uBE0A\0Anyhow, I'm telling everybody\nI'm the one that made you, \u0010\u0002\uFF00\u0003\u0010\u0002\uBD07d\u0010\u0002\u0100\0\u0010\u0001\uBD08\u0010\u0002\uFF00\0.\nAll right!?","\u0010\u0002\uBE0A\0Neyse, herkese seni\nbenim yetiştirdiğimi\nsöylüyorum, \u0010\u0002\uFF00\u0003\u0010\u0002\uBD07d\u0010\u0002\u0100\0\u0010\u0001\uBD08\u0010\u0002\uFF00\0. Anlaştık mı!?",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,40,O-Okay!,T-Tamam!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,41,"On a different topic,\nyou've really improved your riding.\nWell done.","Konu değişmişken söyleyeyim,\nbiniciliğin gerçekten çok gelişti.\nAferin.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,42,Thanks!,Teşekkürler!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,43,"If you're able to work hard\nin one field this way, you'll be fine\neven if you reincarnate.",Bir alanda böyle azimle çalışabiliyorsan\nyeniden doğsan bile sırtın yere gelmez.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,44,\u0010\u0002\uBE0A\u0004...What!?\u0010\u0001\uBE01\nAre you telling me you're going to\ntake my life after all!?\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0006WAH! WAH! NO!\nI DUNWANNA DIE!,\u0010\u0002\uBE0A\u0004...Ne!?\u0010\u0001\uBE01\nYoksa yine de canımı alacak mısın!?\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0006VAA! VAA! HAYIR!\nÖLMEK İSTEMİYORUM!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,45,...Uh.\nI never said that.,...Şey.\nBen öyle bir şey demedim.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,46,\u0010\u0002\uBE0A\u0004...Really?,\u0010\u0002\uBE0A\u0004...Gerçekten mi?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,47,Yeah. You assume things too quickly.,Evet. Hemen sonuca atlıyorsun.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,48,I can live?,Yani yaşayabilir miyim?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,49,Sure.\nGo ahead.,Tabii.\nYaşa gitsin.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,50,"\u0010\u0002\uBE0A\0Um, if I have to be reincarnated,\nI'd like to be a Hollywood star in my next life,\nif you know what I mean.","\u0010\u0002\uBE0A\0Şey, yeniden doğmam şartsa\nöbür hayatımda Hollywood yıldızı\nolmak isterim, hani mümkünse.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,51,Just shut up and live already.,Çeneni kapat da yaşamana bak artık.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,52,"Okay.\nI will.\u0010\u0001\uBE01\n...Oh yeah!\nYou were at the races, right?\nDid you place your bet on me?","Tamam.\nÖyle yaparım.\u0010\u0001\uBE01\n...Aa, doğru ya!\nYarışlardaydın, değil mi?\nBahsini bana mı oynadın?",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,53,"Umm, well, you see.\u0010\u0001\uBE01\nI didn't think you'd win.","Şey, nasıl desem...\u0010\u0001\uBE01\nKazanacağını düşünmemiştim.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,54,So you didn't.,Demek oynamadın.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,0,55,"Yeah, sorry.\nI guess I should apologize.\u0010\u0001\uBE01\nBut really,\nyou did good, son.","Evet, üzgünüm.\nSanırım özür dilemeliyim.\u0010\u0001\uBE01\nAma hakkını vermek gerek,\naferin sana, oğlum.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,1,55,"Yeah, sorry.\nI guess I should apologize.\u0010\u0001\uBE01\nBut really,\nyou did good, kid.","Evet, üzgünüm.\nSanırım özür dilemeliyim.\u0010\u0001\uBE01\nAma hakkını vermek gerek,\naferin sana, kızım.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,56,Heheh!,Hehe!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,57,"Well, I'd better get going.",Ben artık kaçayım.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,58,"Okay!\nTake care, Angel!","Peki!\nKendine iyi bak, Melek!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,59,You too.,Sen de.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,60,Toodle lah!,Haydi eyvallah!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,61,\u0010\u0002\uFF00\u0003\u0010\u0002\uBD07d\u0010\u0002\u0100\0\u0010\u0001\uBD08\u0010\u0002\uFF00\0!\nHey!,\u0010\u0002\uFF00\u0003\u0010\u0002\uBD07d\u0010\u0002\u0100\0\u0010\u0001\uBD08\u0010\u0002\uFF00\0!\nHey!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,62,Jimmy?\nHey!,Jimmy?\nSelam!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,0,63,\u0010\u0002\uBE0A\u0001You won the\n\u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002\u0010\u0002\uFF00\0!\nCongratulations!,\u0010\u0002\uBE0A\u0001Zafer senin: \u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002\u0010\u0002\uFF00\0!\nTebrikler!,0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,1,63,\u0010\u0002\uBE0A\u0001You won the\n\u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002\u0010\u0002\uFF00\0\uFF01\nCongratulations!,\u0010\u0002\uBE0A\u0001Zafer senin: \u0010\u0002\uFF00\u0003\u0010\u0002\u0102\u0002\u0010\u0002\uFF00\0\uFF01\nTebrikler!,0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,64,Thanks!,Sağ ol!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,65,\u0010\u0002\uBE0A\0What's got into you lately?\nYou've suddenly become a super jockey!,\u0010\u0002\uBE0A\0Son zamanlarda sana ne oldu böyle?\nBir anda süper jokeye dönüştün!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,66,Heheheh!,Hehehe!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,67,"You got any tips for me?\u0010\u0001\uBE01\nI don't care if you're my junior,\nI'd ask if it would improve my riding.",Bana verebileceğin bir tüyo var mı?\u0010\u0001\uBE01\nBenden daha çömez olsan da fark etmez;\nişime yarayacaksa senden bile sorarım.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,68,"Hmm.\nI really want to tell you,\nbut...\u0010\u0001\uBE01\nIt's really hard to explain.\nI don't know how to describe it...",Hmm.\nAnlatmayı gerçekten isterdim ama...\u0010\u0001\uBE01\nSöze dökmek çok zor.\nNasıl tarif edeceğimi bilemiyorum...,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,69,"\u0010\u0002\uBE0A\u0004Yeah, I suppose it would be.\u0010\u0001\uBE01\nThen, can you tell me what you\nthink about during the races?","\u0010\u0002\uBE0A\u0004Evet, öyle olmalı tabii.\u0010\u0001\uBE01\nPeki yarış sırasında neler\ndüşündüğünü anlatabilir misin?",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,70,Hmm.\nI guess how efficient I can be to\nfinish everything.,Hmm.\nSanırım her işi en verimli biçimde\nnasıl bitireceğimi düşünüyorum.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,71,\u0010\u0002\uBE0A\0Efficient...?\nAre you talking about \u0010\u0002\uBE0C\u0015\u0010\u0002\uFF00\u0001Positioning\u0010\u0002\uFF00\0?,\u0010\u0002\uBE0A\0Verimli...?\nYani \u0010\u0002\uBE0C\u0015\u0010\u0002\uFF00\u0001pozisyon alma\u0010\u0002\uFF00\0dan mı bahsediyorsun?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,72,I do try to make decisions\nas quickly as possible.\u0010\u0001\uBE01\nBut it's important to stay calm and\nthink a little bit into the future \nto which steps to take. ,Kararlarımı olabildiğince hızlı\nvermeye çalışıyorum.\u0010\u0001\uBE01\nAma sakin kalıp bir sonraki adımı\nönceden düşünmek de önemli.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,0,73,"Yeah, you're right.\nThe decisions you make are important\nduring a race!","Evet, haklısın.\nYarış sırasında verdiğin kararlar\ngerçekten çok önemli!",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,1,73,"Yeah, you're right.\nQuick decisions are important\nduring a race!","Evet, haklısın.\nYarış sırasında hızlı karar vermek\ngerçekten çok önemli!",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,74,"By the way, Jimmy.\nHave you heard of \u0010\u0002\uFF00\u0003Chirp\u0010\u0002\uFF00\0?\nShe opens shop here sometimes.","Bu arada Jimmy,\n\u0010\u0002\uFF00\u0003Chirp\u0010\u0002\uFF00\0'i duydun mu?\nAra sıra burada dükkân açıyor.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,75,"Oh, yeah I have.\nIt's that girl that carries a\nweird robot around, right?\u0010\u0001\uBE01\nI've taken a look before,\nbut her prices are so high.\nSo I've never bought anything from her.","Evet, duydum.\nTuhaf bir robot taşıyan kız, değil mi?\u0010\u0001\uBE01\nDaha önce tezgâhına baktım ama\nfiyatları çok yüksek.\nBu yüzden hiç alışveriş yapmadım.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,76,"Her merchandise can be really helpful\nfor the races, though.",Oysa sattıkları yarışlarda\nçok işine yarayabilir.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,77,"Really?\nMaybe I should try buy something\nfrom her next time.\u0010\u0001\uBE01\nWell, thanks for your tip!","Öyle mi?\nBelki bir dahaki sefere ondan\nbir şey almalıyım.\u0010\u0001\uBE01\nNeyse, tavsiye için sağ ol!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,78,You're welcome!,Ne demek!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,79,Hello! Doing business?,Selam! İşler nasıl?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,80,"\u0010\u0002\uBE0A\u0001Welcome!\nHappy Horses, at your service!",\u0010\u0002\uBE0A\u0001Hoş geldiniz!\nMutlu Atlar hizmetinizde!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,81,Do you have any recommendations?,Önerebileceğin bir şey var mı?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,82,\u0010\u0002\uBE0A\0Hmm...\nCan you tell me what you're looking for?,\u0010\u0002\uBE0A\0Hmm...\nTam olarak ne aradığını söyler misin?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,83,"I guess something that could help with\nStamina, because it looks like I have\nproblems with that in the homestretch.",Sanırım Dayanıklılığımı artıracak\nbir şey lazım; çünkü son düzlükte\nnefesim kesiliyor.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,84,I see.\nYour horse gets tired too quickly.,Anladım.\nAtın çok çabuk yoruluyor.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,85,"No, the horse is fine. I do.","Yok, atın durumu iyi. Yorulan benim.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,86,"Um...\n...I, I see.\u0010\u0001\uBE01\nWell, for Stamina, sometimes I do sell\nwhat I call the \u0010\u0002\uFF00\u0001Stamina Carrot\u0010\u0002\uFF00\0\nor the \u0010\u0002\uFF00\u0001Stamina Carrot Z\u0010\u0002\uFF00\0.\nThey're both pretty effective.",Şey...\n...A-Anladım.\u0010\u0001\uBE01\nDayanıklılık için ara sıra\n\u0010\u0002\uFF00\u0001Dayanıklılık Havucu\u0010\u0002\uFF00\0 veya\n\u0010\u0002\uFF00\u0001Dayanıklılık Havucu Z\u0010\u0002\uFF00\0 satıyorum.\nİkisi de oldukça etkilidir.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,87,I'll have one please.,"Bir tane alayım, lütfen.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,88,\u0010\u0002\uBE0A\u0001One Stamina Carrot coming up!\nThank you for your patronage!,"\u0010\u0002\uBE0A\u0001Bir Dayanıklılık Havucu, hemen!\nBizi tercih ettiğiniz için teşekkürler!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,89,How is this supposed to be eaten?\nDo I have to cook it?,Bunu nasıl yemem gerekiyor?\nPişirmem falan lazım mı?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,90,"\u0010\u0002\uBE0A\0Huh? Uh.\nMost of my customers use it raw,\njust the way it is...","\u0010\u0002\uBE0A\0Ha? Şey...\nMüşterilerimin çoğu çiğ olarak,\nolduğu gibi kullanıyor...",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,91,Really!?\nMaybe it's more effective that way...,Gerçekten mi!?\nBelki öyle daha etkilidir...,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,92,"It's for the horse, so...","Ama o, atlar için...",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,93,Hmm?,Hı?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,94,Nothing!,Hiç!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,95,"Ah well, gotta try before I judge!\nHere it goes!","Neyse, denemeden bilemem!\nHadi bakalım!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,96,Wait! Y--,Dur! Sa--,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,97,"Crunch...crunch...\nMunch...munch...\nGulp! ... ...\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Hey, it's yummy!\u0010\u0001\uBE0B","Kırt... kırt...\nHam... ham...\nGulp! ... ...\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Hey, çok lezzetli!\u0010\u0001\uBE0B",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,98,...Uh.,...Şey.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,99,"Yumyumyumyumyumyummy!\nY-Y-Yumyumm, yumyumyum!\nYu--*GUFF* OOF, UGG, PFFF!!\u0010\u0001\uBE0B","Nefisnefisnefisnefis!\nN-N-Nefis, nefisnefis!\nNe--*HÖNK* ÖH, IĞH, PÖF!!\u0010\u0001\uBE0B",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,100,"Uh,\nare you all right!?","Şey,\niyi misin!?",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,101,\u0010\u0002\uBE0A\0Woo! That was surprising.\nIt went down funny halfway.,\u0010\u0002\uBE0A\0Vay! Ödüm koptu.\nYarısında boğazıma kaçtı.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,102,But I think it's working!\nI feel energized.\nI want to race right now!,Ama galiba işe yarıyor!\nİçim enerji doldu.\nHemen şimdi yarışmak istiyorum!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,103,"R-Really?\nThat's good, I guess.",G-Gerçekten mi?\nİyi bari... sanırım.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,104,I HAVE to do something!\nBut I don't have a race till next month!\nWhat to do! What to do!\u0010\u0001\uBE01\nI know!\nI'll go for a run!\nBye! Thanks!,Bir şey YAPMALIYIM!\nAma gelecek aya kadar yarışım yok!\nNe yapsam! Ne yapsam!\u0010\u0001\uBE01\nBuldum!\nKoşuya çıkacağım!\nHoşça kal! Sağ ol!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,105,Come again!,Yine bekleriz!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,106,Hi!,Selam!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,107,"\u0010\u0002\uBE0A\u0001Welcome!\nHappy Horses, at your service!\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\0Oh! Hi, Jimmy.\nHow are you?\nYou just ran off the last time.","\u0010\u0002\uBE0A\u0001Hoş geldiniz!\nMutlu Atlar hizmetinizde!\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\0Aa! Selam, Jimmy.\nNasılsın?\nGeçen sefer apar topar kaçtın.",0/0,TR batch 01
