"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"InterviewVoice_Lv2_2","Selam, <MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>!<MSBT:0001:0009:0003000000CD0000>\nArkadaş olmak ister misin?","Hey, <MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>!<MSBT:0001:0009:0003000000CD0000>\nWanna be friends?","Hey, <MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>!<MSBT:0001:0009:0003000000CD0000>\nWanna be friends?","Dis, <MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>...<MSBT:0001:0009:0003000000CD0000>\non pourrait devenir amis ?","Dis, <MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>...<MSBT:0001:0009:0003000000CD0000>\non pourrait devenir amis?","Hallo, <MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>!<MSBT:0001:0009:0003000000CD0000>\nWollen wir Freunde sein?","Ciao, <MSBT:0001:0009:0100000000CD12004700690061006E00700061006F006C006F00>!<MSBT:0001:0009:0003000000CD0000>\nFacciamo amicizia?","Eh, <MSBT:0001:0009:0100000000CD10004D0061006E006F006C00690074006F00>...<MSBT:0001:0009:0003000000CD0000>\n¿quieres ser mi colega?","¡Hola, <MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>!<MSBT:0001:0009:0003000000CD0000>\nQué gusto conocerte.","<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>、　おれと。<MSBT:0001:0009:0003000000CD0000>\n友達に　なってくれないか？"
"Interview_Lv3_0","Sen yeni bir rakip misin?\nBu çok eğlenceli olacak!","You a new challenger?\nThis is going to be fun!","You a new challenger?\nThis is going to be fun!","T'es là pour m'affronter ?\nChic, une nouvelle tête !","T'es là pour m'affronter?\nChic, une nouvelle tête!","Ein neuer Herausforderer?\nJunges Blut tut gut!","Sei qui per sfidarmi? Amo\nbattere le nuove leve!","¿Vienes a desafiarme?\n¡A ver si estás a la altura!","¿Quieres desafiarme?\n¡Bien! Me gustan los retos.","どうじょう　やぶり　かい？\nわかものの　あいては　たのしいねぇ"
"InterviewVoice_Lv3_0","Sen yeni bir rakip misin?<MSBT:0001:0009:0005000000CD0000>\nBu çok eğlenceli olacak!","You a new challenger?<MSBT:0001:0009:0005000000CD0000>\nThis is going to be fun!","You a new challenger?<MSBT:0001:0009:0005000000CD0000>\nThis is going to be fun!","T'es là pour m'affronter ?<MSBT:0001:0009:0005000000CD0000>\nChic, une nouvelle tête !","T'es là pour m'affronter?<MSBT:0001:0009:0005000000CD0000>\nChic, une nouvelle tête!","Ein neuer Herausforderer?<MSBT:0001:0009:0005000000CD0000>\nJunges Blut tut gut!","Sei qui per sfidarmi?<MSBT:0001:0009:0005000000CD0000> Amo\nbattere le nuove leve!","¿Vienes a desafiarme?<MSBT:0001:0009:0005000000CD0000>\n¡A ver si estás a la altura!","¿Quieres desafiarme?<MSBT:0001:0009:0005000000CD0000>\n¡Bien! Me gustan los retos.","道場やぶりかい？<MSBT:0001:0009:0005000000CD0000>\nわかものの　あいては　たのしいねぇ"
"Interview_Lv3_1","Hareketlerimi dikkatle izle;\nödülünü kap!","Follow my moves closely\nfor a great reward! ","Follow my moves closely\nfor a great reward! ","Imite bien mes gestes et\ntu auras une récompense !","Imite bien mes gestes et\ntu auras une récompense!","Folge meinen Bewegungen.\nEs winkt eine Belohnung! ","Segui attentamente le mie\nmosse. Ti conviene. ","¡A mí no me gana nadie\nen rapidez, joven!","Tendrás que poner mucha\natención si quieres ganar.","わしの　うごきに　ついてこれたら\nおとしだまを　あげよう"
"InterviewVoice_Lv3_1","Hareketlerimi dikkatle izle<MSBT:0001:0009:0003000000CD0000>\nödülünü kap! ","Follow my moves closely<MSBT:0001:0009:0003000000CD0000>\nfor a great reward! ","Follow my moves closely<MSBT:0001:0009:0003000000CD0000>\nfor a great reward! ","Imite bien mes gestes.<MSBT:0001:0009:0003000000CD0000> Et\ntu auras une récompense !","Imite bien mes gestes.<MSBT:0001:0009:0003000000CD0000> Et\ntu auras une récompense!","Folge meinen Bewegungen.<MSBT:0001:0009:0003000000CD0000>\nEs winkt eine Belohnung! ","Segui attentamente le\nmie mosse.<MSBT:0001:0009:0003000000CD0000> Ti conviene. ","¡A mí no me gana nadie<MSBT:0001:0009:0003000000CD0000>\nen rapidez, joven!","Tendrás que poner mucha<MSBT:0001:0009:0003000000CD0000>\natención si quieres ganar.","わしの　うごきに　ついてこれたら。<MSBT:0001:0009:0003000000CD0000>\nおとしだまを　あげよう"
"Interview_Lv3_2","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, sen\nbüyük işler başarabilirsin!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, you\nare capable of greatness!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, you\nare capable of greatness!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, tu es\ndigne de me succéder !","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, tu es\ndigne de me succéder!","Du könntest den Schulhof\nregieren, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, voglio\nche diriga tu la mia scuola!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, ¿eres\ncapaz de seguir mi ritmo?","¿Puedes seguirme el ritmo,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>, puedes?","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>、　わしの　\nこうけいしゃに　ならないか？"
"InterviewVoice_Lv3_2","<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>,<MSBT:0001:0009:0003000000CD0000> sen\nbüyük işler başarabilirsin!","<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>,<MSBT:0001:0009:0003000000CD0000> you\nare capable of greatness!","<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>,<MSBT:0001:0009:0003000000CD0000> you\nare capable of greatness!","<MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>...<MSBT:0001:0009:0003000000CD0000> Tu es\ndigne de me succéder !","<MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>...<MSBT:0001:0009:0003000000CD0000> Tu es\ndigne de me succéder!","Du könntest den Schulhof\nregieren, <MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>!","<MSBT:0001:0009:0100000000CD12004700690061006E00700061006F006C006F00>,<MSBT:0001:0009:0003000000CD0000> voglio\nche diriga tu la mia scuola!","<MSBT:0001:0009:0100000000CD10004D0061006E006F006C00690074006F00>,<MSBT:0001:0009:0003000000CD0000> ¿eres\ncapaz de seguir mi ritmo?","¿Puedes seguirme el ritmo,\n<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>,<MSBT:0001:0009:0003000000CD0000> puedes?","<MSBT:0001:0009:0100000000CD0C00443061308D30463055309330>、　わしの。<MSBT:0001:0009:0003000000CD0000>\nこうけいしゃに　ならないか？"
"Boss_Boxing_Alias_0","Göz Delen","The Eye Stinger","The Eye Stinger","Tour qui pique","Tour qui pique","Die Festung","Occhi brucianti","El Irritaojos","El irritaojos","パンチタワー"
"Boss_Boxing_Alias_1","Kızakçı","The Musher","The Musher","Roi des revers","Roi des revers","Der Rempler","Le champignon","El Machacador","El abollador","ぎゃくてんおう"
"Boss_Boxing_Alias_2","Kızıl Tayfun","Red Typhoon","Red Typhoon","Tornade rouge","Tornade rouge","Der rote Taifun","Il tifone rosso","El Remolino Rojo","El torbellino rojo","レッドタイフーン"
"Boss_Boxing_Hint_0_0","Bu seçkin dövüşçü üniversitede sınıf ikincisiydi.","This elite fighter was number two in his class at university.","This elite fighter was number two in his class at university.","Boxeur d'élite, il n'accepte que les grosses commissions.","Boxeur d'élite, il n'accepte que les grosses commissions.","Ein Elitekämpfer und Zweitbester seiner Klasse.","Pugile esperto, laureato all'Accademia Peristaltica.","Boxeador de aspecto serio, aunque es fan de las pedorretas.","Un boxeador al que no le importa ser el número dos.","ブリブリッジだいがくを そつぎょうした エリートファイター。"
"Boss_Boxing_Hint_0_1","Boyu: 2,01 m (0,51 m soğan). Kilo: 52 kg.","Height: 6'7"" (1'8"" onion). Weight: 114 lbs.","Height: 6'7"" (1'8"" onion). Weight: 114 lbs.","Taille : 2 m, dont 50 cm de tige. Poids : 52 kg.","Taille : 2 m, dont 50 cm de tige. Poids : 52 kg.","Größe: 200 cm (Zwiebel: 51 cm). Gewicht: 52 kg.","Altezza: 2 m (foglie comprese) Peso: 52 kg","Altura: 2 m (el bulbo mide 50 cm). Peso: 52 kg.","Altura: 2 m (diámetro de la cebolla 30 cm). Peso: 51 kg.","しんちょう２メートル（ネギのぶぶんが５０センチ）、たいじゅう５２キロ。"
"Boss_Boxing_Hint_0_2","İyi bir kitapla şömine başına kıvrılmaya bayılır. Kat kat biridir!","Loves to curl up by a fire with a good book. He's got layers!","Loves to curl up by a fire with a good book. He's got layers!","Soupe-au-lait, il n'aime pas trop qu'on le fasse poireauter.","Soupe au lait, il n'aime pas trop qu'on le fasse poireauter.","Liebt nichts mehr als ein gutes Buch. Sehr vielschichtig!","Ama vestirsi a strati. Non ha mai preso il raffreddore.","Tiene una personalidad con muchas capas y le chifla leer.","Tiene una personalidad en capas. Lee en sus ratos libres.","かぜを ひいたことがないのが じまん。"
"Boss_Boxing_Hint_0_3","Yumruk attıktan sonra vurulmasının bu kadar kolay olmasından hoşlanmıyor.","Doesn't like how easy it is to hit him after he throws a punch.","Doesn't like how easy it is to hit him after he throws a punch.","Point faible : il est vulnérable après avoir envoyé un coup.","Point faible : Il est vulnérable après avoir envoyé un coup.","Muss an seiner Defensive nach einem Schlag arbeiten.","Punto debole: dopo aver sferrato un pugno, resta scoperto.","Se siente muy desprotegido cuando lanza un derechazo.","Le molesta quedar desprotegido cuando lanza un puñetazo.","パンチをしたあと、おおきなスキが できることを きにしている。"
"Boss_Boxing_Hint_1_0","Şimdiki hobisi mi? Etiket ve yara izi yapıştırmak.","His current hobby? Applying stickers and scars.","His current hobby? Applying stickers and scars.","Son hobby du moment ? Coller des coups et des pansements.","Son hobby du moment? Coller des coups et des pansements.","Sein aktuelles Hobby? Pflaster auf Narben kleben.","Passione: applicare adesivi e cicatrici.","Su pasatiempo preferido es darse de tortas con la gente.","Su pasatiempo favorito son los porrazos.","マイブームは きずあとシールを はること。"
"Boss_Boxing_Hint_1_1","Yaşlılar arasında çok popüler.","Very popular with senior citizens.","Very popular with senior citizens.","Les personnes âgées l'apprécient beaucoup.","Les personnes âgées l'apprécient beaucoup.","Sehr beliebt bei Senioren.","È molto amato dalle persone anziane.","Es muy popular entre la gente mayor.","Es muy popular entre los adultos mayores.","おとしよりからの にんきが たかい。"
"Boss_Boxing_Hint_1_2","Söylentiye göre banyo suyu çorba suyu olarak kullanılabiliyormuş.","Rumor has it, his bathwater can be used as a stock for soup.","Rumor has it, his bathwater can be used as a stock for soup.","On dit que l'eau de son bain fait une excellente soupe.","On dit que l'eau de son bain fait une excellente soupe.","Sein Badewasser soll eine schmackhafte Suppe ergeben.","L'acqua in cui fa il bagno diventa un ottimo brodo.","Se dice que el agua de su bañera es un caldo delicioso.","Dicen que, cuando toma una ducha, el baño huele a sopa.","おふろに はいると おいしいダシが でるというウワサ。"
"Boss_Boxing_Hint_1_3","Başını belaya sokunca işi tersine çevirmek için aparkatına güvenir.","When in trouble, he relies on his uppercut to turn the tables.","When in trouble, he relies on his uppercut to turn the tables.","Quand il est vulnérable, il règle la situation d'un uppercut.","Quand il est vulnérable, il règle la situation d'un uppercut.","Verlässt sich auf seinen Aufwärtshaken, wenn es eng wird.","Tecnica: se alle corde, cerca di sferrare un montante.","Si la cosa va mal, cambia las tornas con un buen gancho.","Si algo sale mal, lo resuelve con un gancho.","ピンチになると、アッパーで いっぱつ ぎゃくてんを ねらう。"
"Boss_Boxing_Hint_2_0","Nedense sadece likopen diyetiyle yaşar.","Inexplicably swears by a lycopene-only diet.","Inexplicably swears by a lycopene-only diet.","Il suit un régime étrangement riche en lycopène.","Il suit un régime étrangement riche en lycopène.","Schwört auf seine Fruchtzucker-Diät, wenn auch erfolglos.","Passione: segue la dieta di licopene, ma con scarsi risultati.","Se pone rojo como un tomate cuando alguien le halaga.","La gente suele creer que es bastante tímido. ¿Por qué será?","リコピンダイエットに ハマっているが、こうかは びみょう。"
"Boss_Boxing_Hint_2_1","Kemeri en büyük hayranı olan annesi tarafından elde yapıldı.","His belt was handmade by his biggest fan: his mom.","His belt was handmade by his biggest fan: his mom.","Sa ceinture est faite main par sa mère, sa plus grande fan.","Sa ceinture est faite main par sa mère, sa plus grande fan.","Sein Gürtel stammt von seinem größten Fan – seiner Mama.","La sua cintura è fatta a mano da sua madre, sua grande fan.","El cinturón que lleva lo hizo su madre, que es su mayor fan.","El cinturón que lleva se lo hizo su fan número uno, su mamá.","ベルトは だいすきな ママの おてせい。"
"Boss_Boxing_Hint_2_2","Nazca domates ailesi servetinin tek mirasçısı odur.","He is the only heir to the Nazca tomato family fortune.","He is the only heir to the Nazca tomato family fortune.","Il est l'unique héritier de la fortune des tomates de Nazca.","Il est l'unique héritier de la fortune des tomates de Nazca.","Einziger Erbe des Vermögens der Nazca-Tomatendynastie.","Originario del Sudamerica, la sua famiglia viene da Nazca.","Es el único heredero de la familia Tomatazo.","Es descendiente directo de los Tomatazo.","みなみアメリカ しゅっしん。ナスカにすむ トマトぞくの まつえい。"
"Boss_Boxing_Hint_2_3","Ağırlığıyla birleşince aparkatının gücü durdurulamaz!","With his weight, the power of his uppercut is unstoppable!","With his weight, the power of his uppercut is unstoppable!","Grâce à son poids, son uppercut est impossible à arrêter.","Grâce à son poids, son uppercut est impossible à arrêter.","Bei seinem Gewicht ist sein Aufwärtshaken unaufhaltsam!","Tecniche: il suo montante è devastante!","¡Propina un gancho tremebundo gracias a su peso!","¡La potencia de su gancho es devastadora gracias a su peso!","たいじゅうがのった アッパーは、いりょくばつぐん！"
"Boss_Nail_Good_0","Mükemmel!","Excellent!","Excellent!","Excellent !","Excellent!","Exzellent!","Eccellente!","¡Artista!","¡Perfecto!","いいねえ"
"Boss_Nail_Good_1","İşte bu!","That's it!","That's it!","C'est ça !","C'est ça!","Genau so!","Così!","¡Muy bien!","¡Muy bien!","そのちょうし"
"Boss_Nail_Good_2","Evet!","Yeah!","Yeah!","Ouais !","Ouais!","Ja!","Sì!","¡Sí!","¡Sí!","そうそう"
"Boss_Nail_Good_3","Güzel!","Nice!","Nice!","Joli !","Joli!","Gut!","Bene!","¡Eso es!","¡Bien!","いいかんじ"
"Boss_Nail_Good_4","Haydi!","Giddy up!","Giddy up!","Bravo !","Bravo!","Auf, auf!","Vai!","¡Ole!","¡Sigue así!","やるなあ"
"Boss_Nail_Good_5","Müthiş!","Awesome!","Awesome!","Superbe !","Superbe!","Großartig!","Incredibile!","¡Perfecto!","¡Muy bien!","うまい！"
"Boss_Nail_Good_6","İyi!","Good!","Good!","Super !","Super!","Super!","Non male!","¡Bravo!","¡Eso!","ナイス！"
"Boss_Nail_Good_7","Yaşasın!","Woo-hoo!","Woo-hoo!","Génial !","Génial!","Applaus!","Vai così!","¡Sigue así!","¡Yuju!","さすが！"
"Boss_Nail_Slope_0","Hop!","Whoa!","Whoa!","Waouh !","Waouh!","Holla!","No!","¡Vaya!","¡Uy!","あっ！"
"Boss_Nail_Slope_1","Dikkat et!","Watch it!","Watch it!","Attention !","Attention!","Vorsicht!","Occhio!","¡Cuidado!","¡Cuidado!","ずれた！"
"Boss_Nail_Slope_2","Eyvah!","Uh-oh!","Uh-oh!","Oh oh !","Oh oh!","Oh-oh!","Uffa!","¡Oh, oh!","¡Ay no!","まがった！"
"Boss_Nail_Slope_3","Sakın!","Look out!","Look out!","Oh non !","Oh non!","Autsch!","Accidenti!","¡Ojo!","¡Fíjate!","おっと！"
"Boss_Nail_SlopeEx_0","Dikkat!","Careful!","Careful!","Fais gaffe !","Attention!","Aufpassen!","Attenzione!","¡Atención!","¡Cuidado!","あぶない！"
"Boss_Nail_Fail_Slope_0","Aaa!","Aaaah!","Aaaah!","Aaaah !","Aaaah!","Ah!","Aaaah!","¡Ah!","¡Aaahhh!","ダメだー！"
"Boss_Nail_Fail_Slope_1","Tamamdır!","All done!","All done!","C'est fini !","C'est fini!","Oh nein!","Nooo!","¡Se acabó!","¡Se acabó!","しっぱい！"
"Boss_Nail_Fail_Slope_2","Görüşürüz!","See ya!","See ya!","Bye-bye !","Bye bye!","Tschüss!","Ciao ciao!","¡Adiós!","¡Adiós!","あーあ"
"Boss_Nail_Fail_Slope_3","Yine dene!","Try again!","Try again!","Perdu !","Perdu!","Das war's!","Oh no!","¡Mal!","¡Perdiste!","がっかり…"
"Boss_Nail_Return_0","Düzelttim!","Fixed it!","Fixed it!","Redressé !","Redressé!","Repariert!","Sistemato!","¡Arreglado!","¡Arreglado!","もどった！"
"Boss_Nail_Last_0","Bir tane daha!","One more!","One more!","Encore 1 !","Encore 1!","Fast fertig!","Un altro!","¡Uno más!","¡Uno más!","あとすこし！"
"Boss_Nail_Last_1","Sonuncu!","Last one!","Last one!","Le dernier !","Le dernier!","Noch mal!","L'ultimo!","El último.","¡Último!","ラスト！"
"Boss_Nail_Last_2","Az kaldı!","So close!","So close!","Plus qu'1 !","Plus qu'1!","Endspurt!","L'ultimo.","¡El último!","¡El último!","もうちょっと！"
"Boss_Nail_Success_0","Hepsi bitti!","All done!","All done!","C'est fini !","C'est fini!","Geschafft!","Finito!","¡Ya está!","¡Se acabó!","できた！"
"Boss_Nail_Success_1","Oh be!","Oh yeah!","Oh yeah!","Ah, joli !","Ah, joli!","Klasse!","Benissimo!","¡Qué bien!","¡Qué bien!","やった！"
"Boss_Nail_Success_2","Başarılı!","Success!","Success!","Réussi !","Réussi!","Grandios!","Vittoria!","¡Genial!","¡Ganaste!","せいこう！"
"Boss_Nail_Success_3","Bitti!","Finished!","Finished!","Très bien !","Terminé!","Sehr gut!","Tutto fatto!","Alucinante.","¡Perfecto!","グッド！"
