index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
10	map_gr_opening_10	Oh, I get it.	Oh... Je vois...	Ah... Verstehe...	Ah, ora capisco.	Vale, ya entiendo.	Ha, anladım.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
11	map_gr_opening_11	You don't even believe\nthere IS a Heaven World.	[[TAG:0002:0004:07CD]]Vous ne me croyez\npas, c'est ça ?	[[TAG:0002:0004:07CD]]Du glaubst nicht einmal, dass\nes diese Himmelswelt GIBT.	[[TAG:0002:0004:07CD]]Credi che questo posto\nnon esista nemmeno, vero?	[[TAG:0002:0004:07CD]]Ni siquiera te crees que\nese lugar exista, ¿eh?	[[TAG:0002:0004:07CD]]Cennet Diyarı diye bir yerin\nvar olduğuna bile inanmıyorsun.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
12	map_gr_opening_12	Well, I feel sad for you.	[[TAG:0002:0004:06CD]]C'est vraiment dommage.	[[TAG:0002:0004:06CD]]Tja, da tust du mir leid.	[[TAG:0002:0004:06CD]]Beh, mi dispiace\nmolto per te.	[[TAG:0002:0004:06CD]]Pues lo siento mucho por ti.	[[TAG:0002:0004:06CD]]Doğrusu, senin adına üzüldüm.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
13	map_gr_opening_13	It's such a wonderful\nplace!	[[TAG:0002:0004:05CD]]C'est un endroit tellement\nmerveilleux !	[[TAG:0002:0004:05CD]]Sie ist wirklich ein\nabsolut fantastischer Ort!	[[TAG:0002:0004:05CD]]È il luogo più incredibile\ne meraviglioso che ci sia!	[[TAG:0002:0004:05CD]]¡Es el sitio más increíble\ny maravilloso del mundo!	[[TAG:0002:0004:05CD]]Ne kadar harika\nbir yer!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
14	map_gr_opening_14	We've got so much\nyummy food!	Nous y mangeons divinement bien !	Und das Essen bei uns\nist wirklich erste Sahne!	Abbiamo tantissime cose\nbuone da mangiare!	¡Tenemos un montón\nde comida deliciosa!	O kadar çok\nnefis yiyecek var ki!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
15	map_gr_opening_15	...And just a tiny\nbit of yucky food.	[[TAG:0002:0004:06CD]]Enfin... Parfois c'est pas terrible.	[[TAG:0002:0004:06CD]]...Na gut, ein paar Sachen\nhaben wir, die mag ich nicht.	[[TAG:0002:0004:06CD]]E solo due o tre che\nnon ci piacciono proprio.	[[TAG:0002:0004:06CD]]Y muy muy poca\nde la repugnante.	[[TAG:0002:0004:06CD]]... Birazcık da\niğrenç yemek.	MANUAL_FIX_V13	MANUAL_FIX_V13	Quantity meaning restored; not “one tiny dish”.
16	map_gr_opening_16	And I live in the\nBIGGEST house!	[[TAG:0002:0004:02CD]]Et je vis dans le plus beau,\nle plus grand des palais !	[[TAG:0002:0004:02CD]]Ich wohne jedenfalls im\nGRÖSSTEN Haus von allen.	[[TAG:0002:0004:02CD]]Inoltre, io vivo in una\ncasa ENORME!	[[TAG:0002:0004:02CD]]Además, vivo en\nuna casa enooorme.	[[TAG:0002:0004:02CD]]Ben de\nEN BÜYÜK evde yaşıyorum!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
17	map_gr_opening_17	I've got so many\nfriends there, too...	J'ai plein d'amis là-bas.	Und ich habe echt\nunglaublich viele Freunde!	Senza contare tutti\ngli amici che ho...	Y tengo muchísimos amigos.	Orada bir sürü\narkadaşım da var...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
18	map_gr_opening_18	*sniff*\nI wanna go home.	[[TAG:0002:0004:09CD]]Snif...\n[[TAG:0003:0002:0F00]]Je veux rentrer à la maison !	[[TAG:0002:0004:09CD]]*schnüff*\n[[TAG:0003:0002:0F00]]Ich will nach Hause...	[[TAG:0002:0004:09CD]]Sigh, sob...\n[[TAG:0003:0002:0F00]]Voglio tornare a casa.	[[TAG:0002:0004:09CD]]Snif, snif. [[TAG:0003:0002:0F00]]Quiero volver a casa.	[[TAG:0002:0004:09CD]]*hıçk*\n[[TAG:0003:0002:0F00]]Eve gitmek istiyorum.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
19	map_gr_opening_19	Waaaahhhh!	[[TAG:0002:0004:08CD]]Booouuuwaaah !	[[TAG:0002:0004:08CD]]Buhäääää!!	[[TAG:0002:0004:08CD]]Uaaahhh!	[[TAG:0002:0004:08CD]]¡Buaaaaaa!	[[TAG:0002:0004:08CD]]Vaaaaaah!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
20	map_gr_opening_20	Wait...	[[TAG:0002:0004:09CD]]Attendez...	[[TAG:0002:0004:09CD]]Moment mal...	[[TAG:0002:0004:09CD]]Un attimo... Mi è\nvenuta un'idea!	[[TAG:0002:0004:09CD]]Oye, ¡tengo una idea!	[[TAG:0002:0004:09CD]]Dur...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
21	map_gr_opening_21	You!	[[TAG:0002:0004:00CD]]Vous, là...	[[TAG:0002:0004:00CD]]Du!	[[TAG:0002:0004:00CD]]Tu potresti aiutarmi!	[[TAG:0002:0004:00CD]]¡Tú puedes ayudarme!	[[TAG:0002:0004:00CD]]Sen!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
22	map_gr_opening_22	You'll help me get\nhome, won't you?	[[TAG:0002:0004:05CD]]Vous pourriez m'aider...	[[TAG:0002:0004:05CD]]Du hilfst mir doch sicher,\nnach Hause zu kommen!	[[TAG:0002:0004:05CD]]Ti prego, dammi una mano\na tornare a casa!	[[TAG:0002:0004:05CD]]¡Porfa, ayúdame\na volver a casa!	[[TAG:0002:0004:05CD]]Eve dönmeme\nyardım edeceksin, değil mi?	MANUAL_FIX_V13	MANUAL_FIX_V13	Grammatical/context error fixed.
23	map_gr_opening_23	Whew! It's gonna\nbe OK after all!	Ouf ! Je suis sûr que\nvous allez me sortir de là !	Puh! Dann wird ja\ndoch noch alles gut!	Fiuuu... Ho proprio avuto\nfortuna a incontrarti!	¿Lo harás? ¡Gracias! Qué suerte\ntengo de haberte conocido.	Oh, çok şükür!\nDemek her şey düzelecek!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
24	map_gr_opening_24	What's that thing my mom\nalways says...?	Comme le dit toujours\nma maman :	Wie sagt meine Mama\nimmer so schön...	Come dice sempre\nmia madre...	¿Cómo era lo que dice\nsiempre mi madre?	Annemin hep söylediği\nşey neydi...?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
25	map_gr_opening_25	"""If you ever fall down,\nlook for something tall..."	« Si tu tombes neuf fois,\natteins le sommet dix fois. »	„Wenn du runterfällst,\nsuch nach hohen Orten...“	"""Se cadi giù, cerca\nqualcosa di alto..."	"¡Ah, sí! ""Si te caes,\nbusca algo grande..."	“Düşersen yere,\ngözünü dik yükseğe...		OK_AUTO,V12_STYLE_FIXED	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit. | V12: Annenin sözünü düz talimat yerine atasözümsü, ritmik bir öğüt gibi kurar.
26	map_gr_opening_26	"and get climbing!"""	« L'important, c'est\nde progresser ! »	„Und dann kletter\neinfach wieder hoch!“	"... e comincia\nad arrampicarti!"""	"¡y empieza a trepar!""."	sonra tırman göklere!”		OK_AUTO,V12_STYLE_FIXED	"No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit. | V12: Önceki ""yere/yükseğe"" ses akışını tamamlayan çocukça, akılda kalıcı öğüt."
27	map_gr_opening_27	So what's around here? \nLet's see... There!	Encore faut-il trouver un sommet...[[TAG:0003:0002:0F00]]\nVoyons voir...[[TAG:0003:0002:0F00]]	Also, was gibt es hier? [[TAG:0003:0002:0F00]]\nMal sehen... [[TAG:0003:0002:0F00]]Da drüben!	Vediamo... Cosa c'è qui\nintorno? [[TAG:0003:0002:0F00]]Ah, ecco!	Veamos, ¿qué tenemos\npor aquí? ¡Mira, mira!	Peki burada ne var? [[TAG:0003:0002:0F00]]\nBakalım... [[TAG:0003:0002:0F00]]Şurada!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
28	map_gr_opening_28	 Do you see that green\ntower over there?	[[TAG:0002:0003:1500]] Je crois que j'ai trouvé !\nVous voyez la [[TAG:0000:0003:00B200FF]]tour verte [[TAG:0000:0003:000000FF]]là-bas ?	[[TAG:0002:0003:1500]] Siehst du diesen [[TAG:0000:0003:00B200FF]]grünen\nTurm[[TAG:0000:0003:000000FF]] da drüben?	[[TAG:0002:0003:1500]] La vedi quella [[TAG:0000:0003:00B200FF]]torre\nverde[[TAG:0000:0003:000000FF]] laggiù?	[[TAG:0002:0003:1500]]¿Ves esa [[TAG:0000:0003:00B200FF]]torre verde [[TAG:0000:0003:000000FF]]de allí?	[[TAG:0002:0003:1500]] Şurada şu [[TAG:0000:0003:00B200FF]]yeşil\nkule[[TAG:0000:0003:000000FF]]yi görüyor musun?	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
29	map_gr_opening_29	That looks like the highest\nplace around here.	Il me semble qu'on ne trouvera\npas plus haut dans le coin...	Sieht aus, als wäre das der\nhöchste Ort in der Umgebung.	Ha proprio l'aria di essere\nil luogo più alto di tutti!	¡Es gigantesca!	Şurası buraların en\nyüksek yeri gibi duruyor.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
30	map_gr_opening_30	Ԏ All right! Let's\nget climbing!	[[TAG:0002:0003:0E05]] Alors, vous voulez atteindre\nce sommet-là avec moi ?	[[TAG:0002:0003:0E05]] Also los! Lass\nuns klettern gehen!	[[TAG:0002:0003:0E05]] Bene! Mettiamoci\nin cammino!	[[TAG:0002:0003:0E05]]Solo tenemos que ir\nandando hasta allí...	[[TAG:0002:0003:0E05]] Pekâlâ! Hadi\ntırmanalım!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
31	map_gr_opening_31	I know we can get there,\nand from there...	Ce n'est pas si loin,\net si j'y parviens...	Wir schaffen das! Und wenn\nwir erst mal oben sind,	Sono sicuro che una\nvolta arrivati fin lì...	¡y luego trepar\nhasta Paradisia!	Oraya varabileceğimizi\nbiliyorum; oradan da...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
32	map_gr_opening_32	To Heaven World!	... je devrais pouvoir retourner\ndans le monde paradis !	dann kann die Himmelswelt\nnicht mehr weit sein!	... potrò fare ritorno\nal mondo celeste!	Ay, ya se me va\npasando el disgusto.	Cennet Diyarı'na!		LENGTH_OUTLIER	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
33	map_gr_opening_33	I don't think I've ever\nwalked that far before...	[[TAG:0002:0004:06CD]]Je ne me souviens pas avoir\ndéjà dû autant marcher...	[[TAG:0002:0004:06CD]]Ich weiß nicht, ob ich schon\njemals so weit gelaufen bin...	[[TAG:0002:0004:06CD]]Ci aspetta una bella\nscarpinata...	[[TAG:0002:0004:06CD]]Parece que está muy lejos...	[[TAG:0002:0004:06CD]]Daha önce hiç\no kadar yürüdüğümü sanmıyorum...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
34	map_gr_opening_34	but I won't be bored\nbecause you'll be with me!	[[TAG:0002:0004:05CD]]Mais avec vous à mes côtés,\nje me sens pousser des ailes.	[[TAG:0002:0004:05CD]]Aber wenn du dabei bist,\nwird's sicher nicht langweilig!	[[TAG:0002:0004:05CD]]Ma con te al mio fianco,\nsarà un gioco da ragazzi!	[[TAG:0002:0004:05CD]]pero seguro que contigo\nel tiempo se me pasa volando.	[[TAG:0002:0004:05CD]]ama sen yanımda olacağın için\nsıkılmam!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
35	map_gr_opening_35	Come on! What are we\nwaiting for?	[[TAG:0002:0004:02CD]]Qu'est-ce qu'on attend ?	[[TAG:0002:0004:02CD]]Komm schon! Worauf\nwartest du noch?	[[TAG:0002:0004:02CD]]Forza, cosa stiamo\naspettando?! In marcia!	[[TAG:0002:0004:02CD]]Vamos, ¿a qué esperamos?	[[TAG:0002:0004:02CD]]Hadi! Ne\nduruyoruz?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
36	map_gr_opening_36	Let's we go, amigo!	[[TAG:0000:0003:0E49B3FF]]Allez, les potos... On y go ![[TAG:0000:0003:000000FF]]	[[TAG:0000:0003:0E49B3FF]]Immer weiter,\nFeuerleiter![[TAG:0000:0003:000000FF]]	[[TAG:0000:0003:0E49B3FF]]Diamoci una mossa,\nal ritmo di una scossa![[TAG:0000:0003:000000FF]]	[[TAG:0000:0003:0E49B3FF]]¡Mueve las zancas,\nque nos dan las tantas![[TAG:0000:0003:000000FF]]	[[TAG:0000:0003:0E49B3FF]]Haydi yola, hoppa mola![[TAG:0000:0003:000000FF]]	LONG_TR_LINE	V4_MANUAL_FIXED,V12_STYLE_FIXED	CATCHPHRASE/HUMOR: Keeps Tibby’s intentionally ungrammatical recurring catchphrase instead of correcting it. | V12: FR/DE/IT/ES’in yaptığı gibi Tibby’nin bilerek tuhaf sloganını yerel, kafiyeli ve akılda kalıcı bir deyişe dönüştürür.
37	map_gr_opening_37	What? What's wrong?	[[TAG:0002:0004:07CD]]Ben quoi ? Qu'est-ce\nqu'il y a, encore ?	[[TAG:0002:0004:07CD]]Was? Was ist denn los?	[[TAG:0002:0004:07CD]]Beh? Che ti prende?	[[TAG:0002:0004:07CD]]¿Eh? ¿Qué ocurre?	[[TAG:0002:0004:07CD]]Ne? Ne oldu?	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
38	map_gr_opening_38	"You never heard anyone\nsay ""Let's we go, amigo""?"	On ne dit pas « [[TAG:0000:0003:0E49B3FF]]Allez, les potos...\nOn y go ! [[TAG:0000:0003:000000FF]]», dans votre coin ?	Sag bloß, du hast „[[TAG:0000:0003:0E49B3FF]]Immer weiter,\nFeuerleiter[[TAG:0000:0003:000000FF]]“ noch nie gehört?	Non hai mai sentito\nquesta espressione?	¿Nunca habías oído\nesa expresión?	"""[[TAG:0000:0003:0E49B3FF]]Haydi yola, hoppa mola[[TAG:0000:0003:000000FF]]""\ndiyeni hiç duymadın mı?"	LONG_TR_LINE	V4_MANUAL_FIXED,V12_STYLE_FIXED	CATCHPHRASE/HUMOR/LAYOUT: Keeps the quoted malformed catchphrase and shortens the lines to avoid dialogue overflow. | V12: FR/DE/IT/ES’in yaptığı gibi Tibby’nin bilerek tuhaf sloganını yerel, kafiyeli ve akılda kalıcı bir deyişe dönüştürür.
39	map_gr_opening_39	E-everyone says it in\nHeaven World. All the time.	Chez moi, tout le monde\ndit ça. [[TAG:0003:0002:1E00]]Tout le monde !	In der Himmelswelt sagen wir\ndas alle. [[TAG:0003:0002:1E00]]Mehrmals am Tag!	Nel mondo celeste la\nusano tutti. [[TAG:0003:0002:1E00]]A ogni ora.	En Paradisia la usa todo\nel mundo. [[TAG:0003:0002:1E00]]A todas horas.	E-e... Cennet Diyarı'nda\nherkes böyle der.[[TAG:0003:0002:1E00]] Sürekli.	LONG_TR_LINE	V4_MANUAL_FIXED	VOICE/HUMOR/LAYOUT: Preserves Tibby’s defensive stammer and pause with compact lines.
40	map_gr_opening_40	Never mind! Let's get\ngoing to the tower!	[[TAG:0002:0004:02CD]]Bah... Peu importe. Allons-y !	[[TAG:0002:0004:02CD]]Ach, egal! Jetzt geht's\nerst mal auf zum Turm!	[[TAG:0002:0004:02CD]]Non importa! La torre\nci aspetta!	[[TAG:0002:0004:02CD]]Da igual. ¡La torre nos espera!	[[TAG:0002:0004:02CD]]Boş ver! Hadi\nkuleye gidelim!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
41	map_stage_gr00_intro_00	̃Ԁ Phew! We've been walking\nfor, like, a skillion hours.	[[TAG:0003:0001:03030005]][[TAG:0002:0003:0E00]] Pfiouh... Ça doit bien faire un\ntrouzillion d'heures qu'on marche !	[[TAG:0003:0001:03030005]][[TAG:0002:0003:0E00]] Puh... Ich wette, wir sind\nschon seit einer Trillion\nStunden unterwegs!	[[TAG:0003:0001:03030005]][[TAG:0002:0003:0E00]] Uff! È da un gigalione\ndi ore che camminiamo.	[[TAG:0003:0001:03030005]][[TAG:0002:0003:0E00]]¡Buf! Llevamos andando\nun cuatrillón de horas.	[[TAG:0003:0001:03030005]][[TAG:0002:0003:0E00]] Of! Zilyon saattir\nyürüyoruz resmen.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
42	map_stage_gr00_intro_01	This place is all weird.\nDo you really live here?	[[TAG:0002:0004:01CD]]Il est bizarre, cet endroit...\nÇa doit être effrayant de vivre ici.	[[TAG:0002:0004:01CD]]Hier sieht's echt komisch\naus! Und du lebst hier?	[[TAG:0002:0004:01CD]]Questo luogo è così\nstrano. Davvero vivi qui?	[[TAG:0002:0004:01CD]]Este sitio es muy raro.\n¿De verdad vives aquí?	[[TAG:0002:0004:01CD]]Burası çok acayip.\nGerçekten burada mı yaşıyorsun?	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
43	map_stage_gr00_intro_02	Wait! I see someone!	[[TAG:0002:0004:03CD]]Tiens ? Quelqu'un vient !	[[TAG:0002:0004:03CD]]Oje! Da ist jemand!	[[TAG:0002:0004:03CD]]Guarda! C'è qualcuno!	[[TAG:0002:0004:03CD]]¡Mira! ¡Ahí hay alguien!	[[TAG:0002:0004:03CD]]Dur! Birini görüyorum!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
44	map_stage_gr00_intro_03	 Bzzzark! Bzzzark!	[[TAG:0003:0004:00CD]][[TAG:0002:0003:0000]] Bzzzark ! Bzzzark !	[[TAG:0003:0004:00CD]][[TAG:0002:0003:0000]] Summ... Brumm... Didumm...	[[TAG:0003:0004:00CD]][[TAG:0002:0003:0000]] Bzzzau! Bzzzau!	[[TAG:0003:0004:00CD]][[TAG:0002:0003:0000]]¡Bsssark! ¡Bsssark!	[[TAG:0003:0004:00CD]][[TAG:0002:0003:0000]] Bzzzark! Bzzzark!	UNTRANSLATED,LONG_TR_LINE	POSSIBLE_UNTRANSLATED	Turkish equals English while at least 3 other languages localize it; often a proper name/song/sound, so manual check only.
45	map_stage_gr00_intro_04	Sorry, you probably don't\nspeak Beehound, huh?	[[TAG:0002:0004:03CD]]Ah... Pardon...\nVous ne parlez pas l'abzzzeille ?	[[TAG:0002:0004:03CD]]Oh... Ihr sprecht sicher\nkein Bienisch, oder?	[[TAG:0002:0004:03CD]]Oh, scusa... Di certo tu\nnon capisci il canapese...	[[TAG:0002:0004:03CD]]Perdonad, igual no habláis\nabejonio...	[[TAG:0002:0004:03CD]]Pardon, Vızca konuşmuyorsun\ngaliba, ha?	MANUAL_FIX_V13	MANUAL_FIX_V13	Language/speaking phrasing made natural.
46	map_stage_gr00_intro_05	I'm sorry to bzzzother you,\nbut can I ask a favor?	Je vais peut-être vous embzzzêter,[[TAG:0003:0002:0F00]]\nmais j'ai bzzzesoin de vous...	Entschuldi-summ,[[TAG:0003:0002:0F00]] aber kann\nich euch um etwas bitten?	Mi spiace bzzzisturbarti, [[TAG:0003:0002:0F00]]ma\npotresti farmi un favore?	Bsssiento molestaros, [[TAG:0003:0002:0F00]]\npero ¿me haríais un favor?	Vızıldatıp rahatsız ediyorum ama,[[TAG:0003:0002:0F00]]\nbir ricam olabilir mi?	LONG_TR_LINE	V4_MANUAL_FIXED	HUMOR/VOICE: Restores bzzzother wordplay without changing pause tag.
