"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Orbulon_op_voice10_Clerk","Acılı sütlü içecek geliyor.","Chili shake, comin' right up.","Chili shake, comin' right up.","Et un frappé au piment, un !","Et un frappé au piment, un!","Hier kommt Ihr Feuershake!","Frappè Piccapì in arrivo!","¡Un batido quemalenguas!","¡Sale una malteada cáustica!","ゲキカラシェイク ひとつー！"
"Orbulon_op_voice11_Orbulon","Guluk guluk guluk.","Gluggy glug glug.","Gluggy glug glug.","Glou glou glou...","Glou glou glou...","Schlürfischlürfischlürf!","Slurp!","Glub, glub, glub...","¡Rico, rico, rico!","ゴクゴクゴク…"
"Orbulon_op_voice12_Orbulon","Çok hızlı! Aman! Beynim dondu!","Too fast! Oh my! Brain freeze!","Too fast! Oh my! Brain freeze!","La brûlure est si\nrafraîchissante.","La brûlure est si\nrafraichissante.","So, jetzt ist mir auch\nwieder warm.","Galattico! Non mi\nsento la bocca!","¡Galácticamente delicioso!","¡Deja un ardor tan\nrefrescante!","のみものモ、おいしーデス！"
"Orbulon_op_voice13_Orbulon","Hâlâ açım.","Still hungry.","Still hungry.","J'ai encore faim.","J'ai encore faim.","Immer noch Hunger...","Ma ho ancora fame.","Venga, otra vez.","Una vuelta más.","モウいっちょ イクカ。"
"Orbulon_op_voice14_Clerk","Dev Burger'a hoş geldiniz!\nSize ne verebilirim?","Welcome to Gigantaburger!\nWhat can I get ya?","Welcome to Gigantaburger!\nWhat can I get ya?","Bienvenue chez\nMonstroburger.\nVous désirez ?","Bienvenue chez\nMonstroburger.\nVous désirez?","Willkommen bei Diamant-\nburger! Ihre Bestellung, bitte!","Benvenuto! Che cosa\ndesidera?","¡Hamburguesas Diamante!\n¿Qué desea?","¡Hamburguesas Diamante!\n¿Qué va a llevar?","ようこそ スターダイヤへ！\nごちゅうもんは？"
"Orbulon_op_voice15_Orbulon","9 MegaBurger yemek istiyorum,\nlütfen. Yok, 10 olsun lütfen!","I would like to eat 9 Megaburgers,\nplease. No, 10 please!","I would like to eat 9 Megaburgers,\nplease. No, 10 please!","Je voudrais 9 mégaburgers\ns'il vous plaît. Ou... Plutôt 10.","Je voudrais 9 mégaburgers\ns'il vous plaît. Ou... Plutôt 10.","Ich nehm mal neun\nMegabuuurgeeer. Nein.\nDoch zehn.","Gradirei nove megaburger,\ngrazie. Anzi, meglio dieci.","Me llevaré nueve\nhamburguesas épicas.\nNo, mejor 10.","Quiero nueve hamburguesas\népicas, por favor. No, diez.","だいやもんど だぶるばーがーヲ、\n１０コ！"
"Orbulon_op_voice16_Clerk","Üzgünüm efendim. Sonuncuyu da az önce sattık.","Sorry, sir. We just sold our last one.","Sorry, sir. We just sold our last one.","Désolé mais nous sommes\nen rupture de stock.","Désolé mais nous sommes\nen rupture de stock.","Tut mir sehr leid. Die sind heute\naus.","Sono desolato, ma li abbiamo\nfiniti.","Lo siento, pero no nos quedan.","Lo siento, solo nos quedan\ndos.","すみません。\nそちらは しなぎれです。"
"Orbulon_op_voice17_Orbulon","İii!","Eee!","Eee!","Haaaa !","Haaaa!"," ","Uuuh!","¿EH?","¿QUÉ?","エエー！？"
"Orbulon_op_voice18_Clerk","Evet, hamburgerimiz tamamen bitti.","Yeah, we're all out of hamburgers.","Yeah, we're all out of hamburgers.","Nous n'avons plus de porc,\ndésolé !","Nous n'avons plus de porc,\ndésolé!","Es kam heute keine\nFiletlieferung rein.","Abbiamo terminato i porcini,\nmi spiace.","Nos hemos quedado\nsin carne de cerdo.","¡Dije que necesitan ser dos!","ざいりょうの ブタにくが\nなくなって しまって…。"
"Orbulon_op_voice19_Orbulon","Anlaşıldı. Siparişimi tamamlamak\niçin gereken jambonları temin edeceğim.","Understood. I will procure the hams\nyou require to complete my order.","Understood. I will procure the hams\nyou require to complete my order.","Pas de problème, je peux\nvous apporter des porcs si\nvous me préparez des\nmégaburgers en échange.","Pas de problème, je peux\nvous apporter des porcs si\nvous me préparez des\nmégaburgers en échange.","Kein Problem. Ich bring euch\ndie Filets und ihr macht mir\ndafür die Megaburger.","E che problema c'è? Io vi\nporto i porcini e voi mi\npreparate i panini.","Ya veo; todo se reduce a\nuna falta de materia prima.\n¡Un momento, por favor!","No te preocupes, terrícola.\nSi necesitan cerdos, yo\nme encargo.","…ぶたサンが イレバ、\nモット ばーがーが\nたべラレル デスカ？"
"Orbulon_op_voice20_Clerk","Ne?","What?","What?","Hein ?","Hein?","Was?","Cioè?","¿¡Eh!?","¿¡Eh!?","え！？"
"Orbulon_op_voice21_Clerk","Ee... Hâlâ orada mısınız?","Uh... You still there?","Uh... You still there?","Allô ?\nY a quelqu'un ?","Allô?\nY a quelqu'un?","Äh... hallo? Hallo?!","Ma... S-Signore...?!","¿S-señor?","¿S-s-señor?","あ、あれっ、おきゃくさん！？"
"Orbulon_op_voice22_Orbulon","Biraz sürebilir.\nJambon bulmak riskli bir iş.","I may be a while.\nLocating hams is risky biz.","I may be a while.\nLocating hams is risky biz.","Un peu de patience.\nJe suis occupé à\nrassembler les porcs.","Un peu de patience.\nJe suis occupé à\nrassembler les porcs.","'tschuldigung, ich hab zu tun.\nIch bin auf der Suche nach\nlecker Filet.","Mi dia solo un attimo, vado\na prendere i porcini e torno.","Paciencia; estoy buscando\nlos cerdos...","Paciencia, por favor; estoy\nbuscando la materia prima.","まってイテ くだサイ。\nぶたサンを さがしてキマス…。"
"Orbulon_op_voice23_Clerk","Ee, tabii.","Uh, sure.","Uh, sure.","Je rêve ou quoi ?","Je rêve ou quoi?","Was zum...","Ma che...?","¿Telepatía?","¿De qué habla?","テレパシー！？"
"Orbulon_ed_voice01_Orbulon","Hım hım hım!","Hm hm hm!","Hm hm hm!","Hmm hm hm...","Hmm hm hm...","Laaalalaaalalaaa...","La la la♪","Hum, hum, hum...","Hum, hum, hum...","フンフンフン…♪"
"Orbulon_ed_voice02_Orbulon","Lütfen! Şu jambonları benim için burgere çevirin.","Please! Burger these hams for me.","Please! Burger these hams for me.","Ça y est, je suis de retour\navec les porcs !","Ça y est, je suis de retour\navec les porcs!","Da bin ich wieder! Hab\nfrische Filets dabei!","Ecco qui, bastano questi\nporcini, eh?","¡Traigo los deliciosos gorrinos!","Ya los tengo. ¡Se ven\ndeliciosos!","ぶたサン、ツレテきまシタヨ！"
"Orbulon_ed_voice03_Clerk","O ses homurdanma mı?!","Is that oinking?!","Is that oinking?!","Quoiii ?!","Quoiii?!","Wie meinen Sie das, Filet?!?!","Cooosa?!","¿¡CÓMOOO!?","¡¿QUÉÉÉ?!","ええーーーーっ！？"
"Orbulon_ed_voice04_Orbulon","Evet, rica ederim!\n10 MegaBurger, lütfen.","Yes, you are welcome!\n10 Megaburgers, please.","Yes, you are welcome!\n10 Megaburgers, please.","Je vous en prie. Alors 10\nmégaburgers s'il vous plaît.","Je vous en prie. Alors 10\nmégaburgers s'il vous plaît.","Hab ich gern gemacht!\nZehn Megaburger, bitte.","Adesso gradirei dieci\nmegaburger, grazie.","Ahora prepare las\nhamburguesas, ¿sí?","Que aquí están los cerdos\nque pediste.","これデ、\nばーがー たべられるデスネ！"
"Orbulon_ed_voice05_Clerk","İmkânı yok, beyefendi!","Not a chance, mister!","Not a chance, mister!","Vous... Vous plaisantez,\nc'est ça ?!","Vous... Vous plaisantez,\nc'est ça?!","Hören Sie, so geht das nicht!","Non se ne parla!","¡N-ni hablar!","¡Yo no pedí esos cerdos!","ダ、ダメですー！"
"Orbulon_ed_voice06_Orbulon","Ooo!","Oo!","Oo!","Hein ?","Hein?","Neee?!?!","Oh?!","¿Eh?","¿Eh?","エ？"
"Orbulon_ed_voice07_Clerk","Ne düşündüğünüzü sanıyorsunuz siz?\nBurada o şeyleri pişiremeyiz!","What on earth are you thinking? \nWe can't cook those things here!","What on earth are you thinking? \nWe can't cook those things here!","Qu'est-ce que vous croyez ?\nJe ne peux pas les cuisiner\ncomme ça !","Qu'est-ce que vous croyez?\nJe ne peux pas les cuisiner\ncomme ça!","Sie können hier nicht...\nall diese VIECHER\nANSCHLEPPEN!","Quando ho detto porcini\nintendevo i funghi non\ndei maialetti!","¡No puede traer animales vivos\naquí para que los cocinemos!","¡Entienda: aquí no\npreparamos animales!","いきてるのはー、\nダーメーでーすーっ！"
"Orbulon_ed_voice08_Orbulon","Sen aşçı değil misin?!","Are you not a chef?!","Are you not a chef?!","Vous n'êtes pas cuisinier ?","Vous n'êtes pas cuisinier?","Echt? Das ist ja doof.","Ah, che strano.","¡No me diga!","¿Entonces no los quieres?","そうなんデスカ！？"
"Orbulon_ed_voice09_Clerk","Hayır! Ben liseye gidiyorum!\nBeni ızgaranın başına bile geçirmiyorlar!\nHadi çekip gidin, tamam mı?","No! I'm in high school! They don't\neven let me work the grill!\nJust get outta here, OK?","No! I'm in high school! They don't\neven let me work the grill!\nJust get outta here, OK?","Ramenez ces porcs là où\nvous les avez trouvés. Il ne\nfaut pas que le patron les\nvoie. Compriiiiis ?!","Ramenez ces porcs là où\nvous les avez trouvés. Il ne\nfaut pas que le patron les\nvoie. Compriiiiis?!","Bringen Sie die Viecher von\nhier weg. UND ZWAR EIN\nBISSCHEN PLÖTZLIIICH!!!","Riporti subito quei maiali dove\nli ha preeesiii!","¡Devuélvalos ahora mismo\nal lugar de donde los haya\nsacado, haga el favor!","¡Saque a esos puercos de\naquí que me van a despediiir!","もといた ところにーー！！\nかーえーしーてーきーてー\nくーだーさーーーーい！！"
"Orbulon_ed_voice10_Orbulon","Benim hatam. Gelin, küçük hamsterlerim.","My mistake. Come, little hammies.","My mistake. Come, little hammies.","Désolé ! Allez les porcs,\non rentre !","Désolé! Allez les porcs,\non rentre!","Upsi. Das war ja richtig peinlich.","Oh! Mi scusi tanto, allora!","¡P-perdone usted!","¡Uy, perdón! ¡Vámonos,\nchanchitos!","す、すみまセン デシターッ！"
"Orbulon_endcard","Dokunma Ligi'ni\ntamamladın!\nÖdül olarak lütfen\nhamsterlerimden birini\nkabul et.","The Touch League has\nbeen completed by you!\nPlease accept one\nof my hammies\nas your reward.","The Touch League has\nbeen completed by you!\nPlease accept one\nof my hammies\nas your reward.","Voilà, tu as terminé la\nligue Touche-touche !\nAttention, la collecte de\ncochons n'est pas à la\nportée de n'importe qui.","Voilà, tu as terminé la\nligue Touche-touche!\nAttention, la collecte de\ncochons n'est pas à la\nportée de n'importe qui.","Glückwunsch, du\nhast die Touch-Liga\nabgeschlossen! Wie\nwäre es mit einem\nsüßen Schweinchen\nals Belohnung?","Hai completato la Lega\nToccatutto! Ricorda, c'è\nuna bella differenza tra\nporcini e porcellini!","¡Felicidades, has\ncompletado la liga\ntáctil! Pero no vayas\npor ahí recogiendo\ncerdos en tu ovni,\n¿vale?","¡Felicidades por\ncompletar la liga\ntáctil! Por favor\nacepta tu premio:\nun chanchito.","オメデトーございマス！\nたっちリーグ、くりあデス！\nUFOデ ぶたサンヲ\nあつめるノ、みんなハ\nやっタラ だめデスヨ。"
