"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Crygor_op_voice09_Mike","[iğrenip öğürür]","[gags in disgust]","[gags in disgust]","Euh...","Euh...","Örks.","Bleah...","Puaaaj.","Asco.","オエッ！"
"Crygor_op_voice10_Mike","Bilinmeyen sinyal algılandı.","Unknown signal detected.","Unknown signal detected.","Un danger rôde. Partons.","Un danger rôde. Partons.","Bedrohungslage. Zeit zu geh'n.","Percepisco pericolo.\nDobbiamo andare.","Si no nos damos prisa,\nmoriremos.","Detecto una señal.","ハヤク デナイト シニマスヨ。"
"Crygor_op_voice11_Crygor","B-bilinmeyen mi?","U-unknown?","U-unknown?","... Un danger ?","... Un danger?","Bedrohungslage?","Uh, pericolo?","¿¡Cómo!?","¿Señal?","…しぬだと？"
"Crygor_op_voice12_Mike","Olabilir de...","It may be...","It may be...","Cette forêt...","Cette forêt...","Korrekt. Und zwar...","Questa foresta...","Aquí vive...","Parece una...","コノ モリニハ…"
"Crygor_op_voice13_Mike","DOĞAÜSTÜ BİR FREKANS!","A PARANORMAL FREQUENCY!","A PARANORMAL FREQUENCY!","... abrite un terrible fantôme !","... abrite un terrible fantôme!","treibt ein Geist hier sein\nUnwesen!","... è infestata da un fantasma.","¡un horrible fantasma!","¡FRECUENCIA PARANORMAL!","ゴーストガ デルンデス。"
"Crygor_op_voice14_Crygor","İii!","Eee!","Eee!","Gloups.","Gloups."," ","[geme]","Uuuh...","Uuuh...","ひっ！"
"Crygor_op_voice15_Mike","Bu orman, dünya dışı\nenerjiyle kaynıyor.","This forest teems with\notherworldly energy.","This forest teems with\notherworldly energy.","Si on le voit... il va nous\npoursuivre jusqu'à notre\nmort !","Si on le voit... il va nous\npoursuivre jusqu'à notre\nmort!","Es heißt sogar... er kann\ndir mit einem Blick den\nGaraus machen.","Dicono che, se ti vede,\nti insegue e poi ti picchia.","Dicen que, si lo ves,\nte persigue hasta que mueres.","Dicen que las señales de\naquí son de ultratumba.","イチド ミタラ、\nシヌマデ オイカケラレルッテ\nウワサデス。"
"Crygor_op_voice16_Crygor","[panikler]","[panicking]","[panicking]","Hmm...","Hmm..."," ","[trema dalla paura]","Uy...","(Tiritando)","ふ、ふーん…。"
"Crygor_op_voice17_Mike","Burada bir hayalet olabilir!","There may be a ghost!","There may be a ghost!","Avez-vous peur ?","Avez-vous peur?","Keine Angst, Crygor.","Hai paura?","¿Te da miedo?","Hay fantasmas.","コワインデスカ。"
"Crygor_op_voice18_Crygor","Bu da senin başka bir şakan mı,\nMike, çünkü...","Is this just another prank,\nMike, because...","Is this just another prank,\nMike, because...","Voyons ! Je ne crois\npas aux fantômes...","Voyons! Je ne crois\npas aux fantômes...","Iwo! Ich hab noch nie so\netwas Hanebüchenes\ngehört...","Ma cosa dici?! Io non credo\nnei fant-","¡En absoluto!\nLos fantasmas no existen...","Seguro que esta es otra de\ntus bromas... Los fantasmas\nno existen.","まさか！\nゴーストなど\nわたしは しんじない…"
"Crygor_op_voice19_Robot","Hih hih hih.","Hee hee hee.","Hee hee hee.","Hé hé hééé...","Hé hé hééé..."," ","Uuh uuh uuh!","Je, je, je...","(Risa tenebrosa)","ウフフー…"
"Crygor_op_voice20_Crygor","AAA!","AAAH!","AAAH!","OUAAAH !","OUAAAH!"," ","UAAAAAAH!","¡Aaah!","¡Aaah!","ワーーーーーーーーーッ！！！！！"
"Crygor_op_voice20_2_Mike","AAA!","AAAH!","AAAH!","OUAAAH !","OUAAAH!"," ","UAAAAAAH!","¡Aaah!","¡Aaah!","ワーーーーーーーーーッ！！！！！"
"Crygor_op_voice21_Mike","Sen de kimsin?","Who are you?","Who are you?","Hein ? Mais...","Hein? Mais...","Huch. Hallo.","Che cos'è!?","Anda...","¿Quién eres?","……ッテ、アレ？"
"Crygor_op_voice22_Robot","Selamlama dizisi başlatılıyor.","Initiate. Greeting sequence.","Initiate. Greeting sequence.","Bonjour. Enchantée.","Bonjour. Enchantée.","Habt ihr... euch auch verirrt?","Ciao! Come va?","¡Hola! ¿Qué tal?","Cargando saludo.","ドウモ、コンニチハ。"
"Crygor_op_voice23_Crygor","Bir robot mu? Bu çok tuhaf.","A robot? This is quite odd.","A robot? This is quite odd.","Un robot ? En pleine forêt ?","Un robot? En pleine forêt?","Keineswegs! Wir gehen nur\nspazieren!","Una robocolf!\nChe cosa ci fai qui?","¿Un robot? ¡Qué cosas!","¿Pero qué... qué hace\nun robot aquí?","ロボット？\nどうしてここに…。"
"Crygor_op_voice24_Robot","Ben Doris 1'im. Yaratıcım\nbeni—BZZ— yüzünden terk etti,\nterk etti—BZZ!","I am Doris 1. Abandoned\nby my creator due to—BZZ—\ndue to—BZZ!","I am Doris 1. Abandoned\nby my creator due to—BZZ—\ndue to—BZZ!","Celui qui m'a créée... m'a\nabandonnée dans cette forêt,\nil y a bien longtemps...","Celui qui m'a créée... m'a\nabandonnée dans cette forêt,\nil y a bien longtemps...","Wie schön für euch.\nVor vielen, vielen Jahren\nwurde ich hier ausgesetzt.","Sono stata abbandonata.\nIl mio creatore diceva che\nero programmata male...","Hace mucho tiempo...\nmi creador me dejó\naquí tirada.","Me llamo Doris. Mi creador\nme trajo a este bosque\npara abandonarme.","ステラレタノ…。\nムカシ、アルヒトノ\nハツメイヒン ダッタンダケド…"
"Crygor_op_voice25_Robot","Yüz tanıma etkinleştiriliyor.","Activating face recognition.","Activating face recognition.","Il n'aimait pas ma couleur...","Il n'aimait pas ma couleur...","Mein Erbauer nannte mich\neinen Fehler.","Non gli piaceva come pulivo...","No le gustaba mi color.","Iniciando identificación.","イロガ キニイラナイ、ッテ…。"
"Crygor_op_voice26_Crygor","Bu zavallı, zavallı robot!","This poor, poor robot!","This poor, poor robot!","Oh, c'est terrible, ça.","Oh, c'est terrible, ça.","Wie herzlos von ihm.","Ma è terribile!","¡Qué canalla!","¿Quién haría algo así?","それは ひどい。"
"Crygor_op_voice27_Robot","Yüz tanıma tamamlandı.","Face recognition complete.","Face recognition complete.","Vous avez oublié...","Vous avez oublié...","Sie erinnern sich nicht?","Quindi tu non ricordi...","¿No te acuerdas?","Identificando...","オボエテ ナインダ…。"
"Crygor_op_voice28_Crygor","Ha?","Hm?","Hm?","Hmm ?","Hmm?","Hm?","Mh?","¿Mm?","¿Mmm?","んん？"
"Crygor_op_voice29_Robot","Yaratıcım...","My creator...","My creator...","Mon créateur...","Mon créateur...","Mein Erbauer...","Io sono...","Resulta que tú...","Mi creador...","ワタシハ…"
"Crygor_op_voice30_Robot","SENDİN!\nBENİ ÖLÜME TERK ETTİN!","WAS YOU!\nYOU LEFT ME TO DIE!","WAS YOU!\nYOU LEFT ME TO DIE!","... c'était vous, Dr Crygooor !","... c'était vous, Dr Crygooor!","...das waren doch SIIIIE!!","il tuo vecchio robot delle\npulizieee!","¡eres mi creador!","¡Tú me abandonaste!","オマエニ ステラレタ\nロボット ダヨォーーーー！！！！"
"Crygor_op_voice31_Crygor","AAA!","AAAH!","AAAH!","AAAH !","AAAH!"," ","AAAAAAH!","¡Uaaaah!","¡Uaaaah!","ギャーーーーーーッ！！！！"
"Crygor_op_voice32_Robot","Yapacağım, yapacağım, yapacağım... SENİ ŞİMDİ YOK EDECEĞİM!","I will, I will, I will END YOU NOW!","I will, I will, I will END YOU NOW!","Vous ne ressortirez pas\nde cette forêt vivaaant !","Vous ne ressortirez pas\nde cette forêt vivaaant!","Die Zeit der Rache ist\ngekommen!","Adesso ti inseguo e\nti picchiooo!","¡Es la hora de la venganza!","¡Ha llegado la hora de\nmi venganza!","イキテハ カエサナイヨォーーーー！"
"Crygor_op_voice33_Crygor","Aah! Aah! Aah!\nAaaah!","Ah! Ah! Ah!\nAaah!","Ah! Ah! Ah!\nAaah!"," "," "," "," "," ","No, yo no... Juro que no...\n¡Ahhhh!","オアアアアアアア！！！！"
"Crygor_op_voice34_Mike","Burada bekleyeceğim.","I'll wait here.","I'll wait here.","Bonne chance.","Bonne chance.","Oha.","Resto qui.","El horror.","Ja, ja.","…ヤベエ。"
"Crygor_ed_telop01","Doktor Crygor'un Laboratuvarı","Dr. Crygor's Lab","Dr. Crygor's Lab","Laboratoire du Dr Crygor","Laboratoire du Dr Crygor","Dr. Crygors Labor","Laboratorio del Dr. Crygor","Laboratorio de Dr. Crygor","Laboratorio del Dr. Crygor","<MSBT:0000:0000:06000800C930AF30BF30FC30>Dr.クライゴアの けんきゅうじょ"
"Crygor_ed_voice01_Robot","Hım hım hım.","Hm hm hm.","Hm hm hm.","Hé hé hééé...","Hé hé hééé..."," ","Ih ih ih!","Je, je, je.","(Tarareando)","エヘヘー。"
"Crygor_ed_voice02_Mike","Bir daha söyle. O burada neden?","Tell me again. Why is she here?","Tell me again. Why is she here?","Vous êtes sûr de\nvouloir la garder ?","Vous êtes sûr de\nvouloir la garder?","Ich weiß nicht recht.\nSie ist seltsam.","Avremo fatto bene a portarla\nqui?","¿Por qué la has traído\nde vuelta?","¿Por qué la trajiste de vuelta?","イインデスカ？\nヒロッテキテ。"
"Crygor_ed_voice03_Crygor","Onu perili bir ormanda\nyalnız bırakamazdık!","We couldn't abandon her\nin a haunted forest!","We couldn't abandon her\nin a haunted forest!","Dans la forêt, elle risquerait\nd'attaquer quelqu'un d'autre.","Dans la forêt, elle risquerait\nd'attaquer quelqu'un d'autre.","Da draußen haben wir sie aber\nnicht unter Kontrolle.","Beh, ho aggiornato il suo\nsoftware ora dovrebbe\nfunzionare!","Es que, si la dejo allí,\nquizá ataque a alguien.","Porque no la iba a abandonar\ndos veces, Mike.","ほうっておいたら、\nまたヒトを おそうだろうからな。"
"Crygor_ed_voice04_Mike","O frekansları ben ürettim.\nHayalet diye bir şey yoktur.","I fabricated those frequencies. \nGhosts do not exist.","I fabricated those frequencies. \nGhosts do not exist.","Alors c'était elle, ce\nterrible fantôme...","Alors c'était elle, ce\nterrible fantôme...","Sie HABEN also Angst vor\nGeistern. Robo-Geistern.","Quindi da oggi, il laboratorio\nsarà più pulito.","¿El temido fantasma\nera ella, entonces?","¿Y por qué la habías\nabandonado antes?","ゴーストノ ウワサハ、\nコイツ ダッタンデスネ。"
"Crygor_ed_voice05_Robot","Evet, öyle.","Yes they do.","Yes they do.","Pas du tout.","Pas du tout.","Ich war das nicht.","Grazie a voi!","Qué va.","Buscando...","…チガウヨ。"
"Crygor_ed_voice06_Crygor","Neee?!","Whaa?!","Whaa?!","Hein ?","Hein?","Hä?","Mh?","¿Eh?","¿Eh?","ヘ？"
"Crygor_ed_voice06_2_Mike","Ee...","Uh...","Uh...","Hein ?","Hein?","Hä?","Mh?","¿Eh?","¿Eh?","ヘ？"
"Crygor_ed_voice07_Robot","Yükleniyor. Paranormal karşılaşma.\nİçimden geçip gittiğini hissettim.","Loading. Paranormal encounter. \nI felt it walk right through me.","Loading. Paranormal encounter. \nI felt it walk right through me.","Moi, c'est la première fois\nque je poursuivais quelqu'un.\nJe n'avais jamais attaqué\npersonne avant.","Moi, c'est la première fois\nque je poursuivais quelqu'un.\nJe n'avais jamais attaqué\npersonne avant.","Das muss ein Systemfehler\ngewesen sein. Ich bin nicht\nauf Wutanfälle programmiert.","Adesso sono programmata\nper FAR FARE le pulizie.","Yo no he atacado a una\npersona en toda mi vida.\nSoy un cielo de robot.","Accediendo a la causa de\nabandono...\nLa causa ha sido encontrada.","ワタシ…\nサッキ ハジメテ ハシッタカラ、\nヒトナンカ オソッタコト\nナイモン。"
"Crygor_ed_voice08_Crygor","Mantarlarım! Düşürdüm onları!\nYine o ormandalar.\nAh, Mike—","My fungi! I dropped them!\nThey're back in that forest. \nOh, Mike—","My fungi! I dropped them!\nThey're back in that forest. \nOh, Mike—","Oh, mince. On dirait bien que\nj'ai oublié les champignons.\nMike...","Oh, mince. On dirait bien que\nj'ai oublié les champignons.\nMike...","Oh nein! Ich habe wohl den\nAgaricus im Wald fallen lassen.\nÄh, Mike...","Oh, no! Sai, nel trambusto\nho perso tutti i funghi. Mike...","¡Por mis neutrones!\nVaya, he olvidado las setas.\nMike...","Saben qué... olvidé los\nhongos que había\nrecolectado. Mike...","おや、キノコを\nおとしてきて しまったようだ。\nマイク…"
"Crygor_ed_voice09_Mike","Hayatta olmaz, dostum.","Not on your life, buddy.","Not on your life, buddy.","Ne comptez pas sur moi,\ndocteur.","Ne comptez pas sur moi,\ndocteur.","Ich such den Agari-dings\nbestimmt nicht.","Non ci pensare nemmeno.","No pienso volver por allí.","Paliza inminente.","ゼッタイ ツイテ イキマセンヨ。"
"Crygor_ed_voice10_Crygor","[panikler]  ","[panicking]  ","[panicking]  ","Hmpf...","Hmpf..."," ","[frigna]","Uuuh...","Uuuh...","うう…。"
"Crygor_endcard","Sanırım mantarlarımı\norada bırakıp başka\nyürekli bir ruhun\ntadını çıkarmasını\nbekleyeceğim. Sırada\n18-Volt var. İyi eğlenceler,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","I suppose I'll leave\nmy fungi out there for\nanother brave soul to\nenjoy. 18-Volt is up\nnext. Have fun, \n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","I suppose I'll leave\nmy fungi out there for\nanother brave soul to\nenjoy. 18-Volt is up\nnext. Have fun, \n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","Fais bien attention aux\nmonstres, toi aussi,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>.\nTon prochain adversaire\nsera 18-Volt.","Fais bien attention aux\nmonstres, toi aussi,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>.\nTon prochain adversaire\nsera 18-Volt.","Den Pilz überlasse ich\nlieber einer anderen\ntapferen Seele... Du,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>,\nmache dich bereit!\n18-Volt wartet schon!","Gli esperimenti falliti\nsono un'ottima\noccasione per imparare,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>. Adesso,\ntocca a 18-Volt.","Existan o no, ¡ten\nmucho cuidado con\nlos fantasmas,\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nY ahora, ¡le toca\na 18-Volt!","Nota importante:\nNo confundir los\nchips de risa con\nlos de ira...\n¡Ahora te toca ir\ncon 18-Volt!","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>クンも、\nオバケには きをつけたまえ。\nつぎの おあいては\nエイティーンボルトクン\nだよ。"
