gfa,member,differs,width,height,format,swizzle
frame/layout/room_text.gfa,timg/text_clear.bflim,True,256,64,11,8
frame/layout/telop.gfa,timg/Telop_tex_1.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_2.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_3.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_A.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_C.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_D.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_E.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_G.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_H.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_I.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_J.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_K.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_L.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_M.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_N.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_O.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_P.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_R.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_S.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_T.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_U.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_V.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_W.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_Y.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_Z.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_ex_01.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_ex_02.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_ex_03.bflim,False,,,,
frame/layout/telop.gfa,timg/Telop_tex_ex_04.bflim,False,,,,
frame/layout/world_patch_textures/world_0.gfa,timg/world_patch00_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_0.gfa,timg/world_patch00_n_00.bflim,False,,,,
frame/layout/world_patch_textures/world_0.gfa,timg/world_patch00_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_0.gfa,timg/world_patch_base_00.bflim,False,,,,
frame/layout/world_patch_textures/world_0.gfa,timg/world_patch_base_00_s.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_1.gfa,timg/world_patch_base_01.bflim,True,256,128,11,8
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_2.gfa,timg/world_patch_base_02.bflim,True,256,128,11,8
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_3.gfa,timg/world_patch_base_03.bflim,True,256,128,11,8
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_4.gfa,timg/world_patch_base_04.bflim,True,256,128,11,8
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_5.gfa,timg/world_patch_base_05.bflim,True,256,128,11,8
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_m_01.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_01.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_02.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_03.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_04.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_05.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_06.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_07.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_08.bflim,False,,,,
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_09.bflim,True,64,64,11,8
frame/layout/world_patch_textures/world_6.gfa,timg/world_patch_base_06.bflim,True,256,128,11,8
