ARC,LMD,Mesaj ID,English,Türkçe,Français,Deutsch,Italiano,Español,Parça sayısı,English IDler,EntryIndex,EntryName
eng/data/core_arena.arc,Lobby,CB08C1C1,/,/,/,/,/,/,1,45,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,2CB0ECC6,pts,puan,pts,Pkt,pti,pts,1,46,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,5BB7DC50,Confirm,Onayla,OK,Bestät.,OK,Aceptar,1,47,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,09463737,Not Selected,Seçilmedi,Non sélectionné,Nicht gewählt,Non selezionata,No seleccionado,1,48,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7E4107A1,****,,****,****,****,****,1,49,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E748561B,Depart on Expedition,Ke¿fe Ç˘k,Partir en expédition,Zu Erkundung aufbrechen,In esplorazione,Ir de expedición,1,50,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,904F668D,Depart on Quest,Göreve Ç˘k,Partir en quête,Zur Quest aufbrechen,Vai in missione,Iniciar misión,1,51,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,0E2BF32E,or less,veya daha az,ou moins,oder weniger,o meno,o menor,1,52,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,792CC3B8,Value,Deōer,Valeur,Wert,Valore,Valor,1,53,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E0259202,Fast-Travel,H˘zl˘ Seyahat,Voyage rapide,Schnellreise,Viaggio rapido,Viaje rápido,1,54,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,97EC62EC,Target,Hedef,Changer,Wechseln,Scegli,Selección,1,55,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E0EB527A,To Town,Kasabaya Git,Ville,Zur Stadt,Alla città,Pueblo,1,56,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,79E203C0,To Gathering Hall,Toplanma Salonuna Git,Grand-Salle,Z. Versammlungshalle,Alla sala,Sala,1,57,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,0EE53356,To House,Eve Git,Maison,Zum Haus,A casa,Casa,1,58,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,9081A6F5,To Sunsnug Isle,Gün˘¿˘ō˘ Adas˘na Git,Île Soldoux,Zur Sonnwohl-Insel,All'Isola Sunsnug,Isla Sunsnug,1,59,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3BBE95CD,To Val Habar,Val Habar'a Git,Val Habar,Nach Val Habar,A Val Habar,Val Habar,1,60,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E7869663,To Cheeko Sands,Cheeko Kumlar˘'na Git,Sables Cheeko,N. Cheeko-Sande,A Cheeko,Ar. Cheeko,1,61,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7E8FC7D9,To Shrine,Tap˘naōa Git,Temple,Zum Schrein,Al tempio,Santuario,1,62,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,0988F74F,To Cathar,Cathar'a Git,Cathar,Nach Cathar,A Cathar,A Cathar,1,63,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,9937EADE,Open Item Box,E¿ya Kutusunu Aç,Coffre,Objektbox öffnen,Apri cassa oggetti,Abrir caja objetos,1,64,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,EE30DA48,Palico Board,Palico Panosu,Tableau Camarade,Kameradentafel,Bacheca compagni,Tablón de camaradas,1,65,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,8EF753AD,Sleep in Bed,Yatakta Uyu,Dormir,Im Bett schlafen,Dormi,Dormir en la cama,1,66,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,F9F0633B,Depart on Quest,Göreve Ç˘k,Partir en quête,Zur Quest aufbrechen,Vai in missione,Iniciar misión,1,67,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,17FE0217,???,,???,???,???,???,1,68,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,899A97B4,Sit at Bench,Banka Otur,S'asseoir,Auf Bank setzen,Siediti,Sentarse en el banco,1,69,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,FE9DA722,Arm Wrestle,Bilek Güre¿i,Bras-de-fer,Armdrücken,Braccio di ferro,Pulsos,1,70,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,6794F698,View Quest Board,Görev Panosuna Bak,Voir panneau quêtes,Quest-Brett ansehen,Bacheca missioni,Tablón de misiones,1,71,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,1093C60E,Exit Standby,Haz˘r Beklemeyi Bitir,Quitter attente,"""Auf Abruf"" beenden",Esci stato d'attesa,Dejar espera,1,72,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,802CDB9F,Ready to Depart,Yola Haz˘r,Prêt au départ,Bereit zur Abreise,Attesa partenza,En espera para salir,1,73,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,F72BEB09,Eat a Meal,Yemek Ye,Manger,Mahlzeit essen,Mangia pasto,Pedir,1,74,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A5DA006E,Cancel,ˇptal,Annuler,Abbrechen,Annulla,Cancelar,1,75,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D2DD30F8,Gestures,Hareketler,Émotes,Gesten,Gesti,Gestos,1,76,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4BD46142,Stop Cooking,Pi¿irmeyi Durdur,Arrêter,Kochen beenden,Smetti di cucinare,Dejar de cocinar,1,77,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3CD351D4,Sit at Bench,Banka Otur,S'asseoir,Auf Bank setzen,Siediti,Sentarse en el banco,1,78,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A2B7C477,Ingredient Levels,Malzeme Seviyeleri,Afficher,Zutatenstufen,Livelli ingredienti,Nivel de ingredientes,1,79,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D5B0F4E1,Hide Levels,Seviyeleri Gizle,Masquer,Stufen verbergen,Nascondi livelli,Ocultar niveles,1,80,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4CB9A55B,Toggle Display,Görünümü Deōi¿tir,Affichage,Anzeige ändern,Cambia schermata,Ver pantalla,1,81,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,AB01885C,View Status,Durumu Gör,Voir statut,Status ansehen,Visualizza stato,Ver estado,1,82,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,DC06B8CA,To Commons,Ortak Alana Git,Centre-ville,Zur Stadtmitte,Al centro città,Ciudadela,1,83,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,BCC1312F,To Assembly,Toplanma Alan˘na Git,Amphithéâtre,Zur Musikhalle,Al teatro,Al teatro,1,84,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,CBC601B9,To Elder Hall,Kadim Salona Git,Hall des Anciens,Zur Ältestenhalle,Alla sala antica,A la sala ancestral,1,85,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,52CF5003,Fish,Bal˘k Tut,Poisson,Angeln,Pesca,Pescar,1,86,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,535036F9,Guild Card,Lonca Kart˘,Carte Guilde,Gildenkarte,Tessera Gilda,Tarjeta del gremio,1,87,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,2457066F,Check,Kontrol Et,Consulter,Prüfen,Guarda,Examinar,1,88,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,BD5E57D5,Edit,Düzenle,Modifier,Bearbeiten,Modifica,Modificar,1,89,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,CA596743,Send,Gönder,Envoyer,Senden,Invia,Enviar,1,90,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,543DF2E0,Card List,Kart Listesi,Liste cartes,Kartenliste,Lista tessere,Lista de tarjetas,1,91,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,233AC276,Gestures,Hareketler,Émotes,Gesten,Gesti,Gestos,1,92,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,BA3393CC,Greet,Selamla,Salut !,Winken,Cenno,Saludar,1,93,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,CD34A35A,Bow,Eōil,Enchanté !,Verbeugen,Inchino,Reverencia,1,94,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,5D8BBECB,Nod,Ba¿˘n˘ Salla,"Oui, oui",Nicken,Annuisci,Asentir,1,95,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,2A8C8E5D,Shrug,Omuz Silk,Peut-être,Schulterzucken,Spallucce,Indiferente,1,96,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4A4B07B8,Wave,El Salla,Par ici !,Winken,Saluta,Llamar,1,97,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3D4C372E,Clap,Alk˘¿la,Bravo !,Klatschen,Applaudi,Aplauso,1,98,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A4456694,Fist Pump,Yumruōunu Kald˘r,Victoire !,Siegerfaust,Vittoria,Puño en alto,1,99,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D3425602,Point,ˇ¿aret Et,En avant !,Vorwärts!,Indica,Señalar,1,100,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4D26C3A1,Lament,Yak˘n,Défaite,Klagen,Disperati,Llorar,1,101,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3A21F337,Rant,Söylen,Grrr !,Schimpfen,Frustrazione,Maldecir,1,102,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A328A28D,Kick Back,Rahatla,Repos,Relaxen,Relax,Descansar,1,103,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D42F921B,Shadowbox,Gölge Boksu,Boxeur,Schattenboxen,Boxe,Boxear,1,104,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,44908F8A,Taunt,Alay Et,Allez !,Provozieren,Provoca,Provocar,1,105,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3397BF1C,Flaunt,Gösteri¿ Yap,Regardez !,Protzen,Sfoggia,Alardear,1,106,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,6166547B,Prance,Sekerek Yürü,Nananère,Stolzieren,Pavoneggiati,Brincar,1,107,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,166164ED,Dance,Dans Et,Hula,Tanzen,Balla,Bailar,1,108,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,8F683557,Friends,Arkada¿lar,Amis,Freunde,Amici,Amigos,1,109,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,F86F05C1,Friend List,Arkada¿ Listesi,Liste d'amis,Freundesliste,Lista di amici,Lista de amigos,1,110,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,660B9062,Add Friend,Arkada¿ Ekle,Ajout d'amis,Freund hinzufügen,Aggiungi amico,Añadir amigo,1,111,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,110CA0F4,Ignore List,Yoksayma Listesi,Utilisateurs ignorés,Ignorieren-Liste,Utenti ignorati,Lista de ignorados,1,112,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,8805F14E,Add to Ignore List,Yoksayma Listesine Ekle,Ajout utilis. ignoré,Zur Ignorieren-Liste,Agg. u. ignorati,Ignorar usuario,1,113,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,FF02C1D8,Chat,Sohbet,Chat,Chat,Chat,Chat,1,114,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,6FBDDC49,Hunters for Hire,Kiral˘k Avc˘lar,Chasseurs à recruter,Jäger zum Anheuern,Cacciatori di ventura,Cazadores a sueldo,1,115,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,18BAECDF,World Map,Dünya Haritas˘,Carte du monde,Weltkarte,Mappa globale,Mapa del mundo,1,116,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,787D653A,Offline,Çevrimd˘¿˘,Hors ligne,Offline,Offline,Sin conexión,1,117,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,0F7A55AC,Local Wireless,Yerel Kablosuz,Sans fil local,Lokaler Modus,Wireless locale,Comunicación local,1,118,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,96730416,Internet,ˇnternet,Internet,Internet,Internet,Internet,1,119,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E1743480,Players,Oyuncular,Joueurs,Spieler,Giocatori,Jugadores,1,120,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,EFC39D91,Player Info,Oyuncu Bilgisi,Infos joueur,Spieler-Info,Info giocatori,Info de jugador,1,121,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7F10A123,Minimap,Mini Harita,Minicarte,Minikarte,Minimappa,Minimapa,1,122,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,081791B5,No Map,Harita Yok,Pas de carte,Keine Karte,Nessuna mappa,Mapa no,1,123,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,911EC00F,Help,Yard˘m,Aide,Hilfe,Aiuto,Ayuda,1,124,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E619F099,Shoutouts,Haz˘r Mesajlar,Phrases,Ausrufe,Frasi,Frases,1,125,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,76A6ED08,Text Chat,Yaz˘l˘ Sohbet,Chat texte,Text-Chat,Chat testuale,Chat de texto,1,126,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,01A1DD9E,Skip,Atla,Passer,Überspr.,Salta,Omitir,1,127,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,373CF3FD,Retry,Tekrar Dene,Réess.,Erneut,Riprova,Reintentar,1,128,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,403BC36B,X,X,X,X,X,X,1,129,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,AE35A247,HR,AR,RC,JR,GC,RC,1,130,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,305137E4,"Hunters
for Hire","Kiral˘k
Avc˘lar","Chasseurs
à recruter","Jäger zum
Anheuern","Cacciatori
di ventura","Cazadores
a sueldo",1,131,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,47560772,"World
Map","Dünya
Haritas˘","Carte
monde","Welt-
karte","Mappa
globale","Mapa del
mundo",1,132,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,DE5F56C8,"Town
Map","Kasaba
Haritas˘","Carte
ville","Stadt-
plan","Mappa
città","Mapa del
pueblo",1,133,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A958665E,Val Habar Gate,Val Habar Kap˘s˘,Porte de Val Habar,Tor von Val Habar,Porta di Val Habar,Puerta de Val Habar,1,134,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,70D0A6D1,Move to Val Habar.,Val Habar'a git.,Aller à Val Habar.,Nach Val Habar gehen.,Vai a Val Habar.,Ir a Val Habar.,1,135,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E9D9F76B,Move to the Gathering Hall.,Toplanma Salonuna git.,Aller à la Grand-Salle.,Zur Versammlungshalle gehen.,Vai alla sala di raccolta.,Ir a la sala de reunión.,1,136,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,9EDEC7FD,View Expedition info.,Ke¿if bilgilerini gör.,Voir les infos des expéditions.,Erkundungsinfo ansehen.,Vedi info esplorazione.,Ver información de expedición.,1,137,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,00BA525E,Move to Cathar.,Cathar'a git.,Aller à Cathar.,Nach Cathar gehen.,Vai a Cathar.,Ir a Cathar.,1,138,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,77BD62C8,Move to Cheeko Sands.,Cheeko Kumlar˘'na git.,Aller aux Sables Cheeko.,Zu den Cheeko-Sanden gehen.,Vai alla Riviera di Cheeko.,Ir a Arenas Cheeko.,1,139,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,EEB43372,Move to Harth.,Harth'a git.,Aller à Harth.,Nach Harth gehen.,Vai a Harth.,Ir a Harth.,1,140,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,99B303E4,View High-rank Expedition info.,Yüksek Rütbe Ke¿if bilgilerini gör.,Voir les infos des expéditions expert.,Hochrangige Erkundungsinfo ansehen.,Vedi info esplorazione alto grado. ,Ver info de expedición de rango alto.,1,141,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,090C1E75,Move to Dundorma.,Dundorma'ya git.,Aller à Dundorma.,Nach Dundorma gehen.,Vai a Dundorma.,Ir a Dundorma,1,142,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7E0B2EE3,View G-rank Expedition info.,G Rütbesi Ke¿if bilgilerini gör.,Voir les infos des expéditions G.,"""G""-Erkundungsinfo ansehen.",Vedi info esplorazione grado G.,Ver info de expedición de rango G.,1,143,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,1ECCA706,Move to the Elder Hall.,Kadim Salona git.,Aller au Hall des Anciens.,Zur Ältestenhalle gehen.,Vai alla sala antica.,Ir a la sala ancestral,1,144,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D55A98C5,Choose a destination.,Bir hedef seç.,Sélectionnez une destination.,Wähle ein Ziel.,Scegli una destinazione.,Selecciona el destino.,1,145,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,BF9EC40F,"Choose a destination.
⟪parça⟫(You cannot move here.)","Bir hedef seç.
⟪parça⟫(Buraya gidemezsin.)","Sélectionnez une destination.
 ⟪parça⟫ (Vous êtes déjà ici.)","Wähle ein Ziel.
 ⟪parça⟫ (Ziel derzeit nicht verfügbar.)","Scegli una destinazione.
 ⟪parça⟫ Destinazione non valida.","Elige un destino.
 ⟪parça⟫ (El destino actual no es válido).",2,"146,147",5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,C538998F,"Choose a destination.
⟪parça⟫(You will be disconnected.)","Bir hedef seç.
⟪parça⟫(Baōlant˘n kesilecek.)","Sélectionnez une destination.
 ⟪parça⟫ (Vous serez déconnecté.)","Wähle ein Ziel.  ⟪parça⟫ (Wenn du gehst,
wird die Verbindung getrennt.)","Scegli una destinazione.
 ⟪parça⟫ Partendo sarai disconnesso.","Elige un destino.
 ⟪parça⟫ (Al hacerlo perderás la conexión).",2,"148,149",5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,230C3D27,Choose a destination.,Bir hedef seç.,Sélectionnez une destination.,Wähle ein Ziel.,Scegli una destinazione.,Selecciona el destino.,1,150,5,eng\msg\lobby\Lobby_eng
