file,index,original,translation_tr
Option.ttb,20,Enables dashing by double-tapping left or right,Sağa veya sola iki kez basarak koşmayı etkinleştirir
Option.ttb,24,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
Option.ttb,27,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
Option.ttb,31,Enables use of sub-weapons by pressing ↑＋ATTACK,↑＋SALDIRI ile alt silah kullanımını etkinleştirir
PauseMenu.ttb,0,Frigid Hell,Donmuş Cehennem
PauseMenu.ttb,1,STAGE 04,BÖLÜM 04
PauseMenu.ttb,3,STAGE 03,BÖLÜM 03
PauseMenu.ttb,4,STAGE 02,BÖLÜM 02
PauseMenu.ttb,5,STAGE 02,BÖLÜM 02
PauseMenu.ttb,6,STAGE 03,BÖLÜM 03
PauseMenu.ttb,8,Fallen Moon's Requiem,Düşen Ay'ın Ağıdı
PauseMenu.ttb,9,"Do you wish to return to the title screen?

*Any progress you have made on the current
stage will be lost, but power-up items
you have collected will be saved.","Başlık ekranına dönmek istiyor musunuz?

*Bu bölümdeki ilerlemeniz kaybolur,
ancak topladığınız güçlendirme öğeleri
kaydedilir."
PauseMenu.ttb,10,FINAL STAGE,SON BÖLÜM
PauseMenu.ttb,12,<emoji/Decide> Next,<emoji/Decide> Sonraki
PauseMenu.ttb,13,FINAL STAGE,SON BÖLÜM
PauseMenu.ttb,15,<emoji/Decide> Confirm <emoji/Cancel> / <emoji/Start> Return to game   Activate CURSE OF THE MOON,<emoji/Decide> Onayla <emoji/Cancel> / <emoji/Start> Oyuna dön   AYIN LANETİ'ni etkinleştir
PauseMenu.ttb,16,STAGE 06,BÖLÜM 06
PauseMenu.ttb,17,"If you find yourself regretting a grievous
error you have committed in the past,
the moon's curse can undo the flow of time
and give you the chance to begin anew.","Geçmişte yaptığınız ağır bir hatadan
pişmansanız, ayın laneti zamanı geri alıp
size yeniden başlama şansı verebilir."
PauseMenu.ttb,18,STAGE 05,BÖLÜM 05
PauseMenu.ttb,19,STAGE 04,BÖLÜM 04
PauseMenu.ttb,20,STAGE 05,BÖLÜM 05
PauseMenu.ttb,21,STAGE 06,BÖLÜM 06
PauseMenu.ttb,25,Moonlight Temptation,Ay Işığının Cazibesi
PauseMenu.ttb,26,"Using this ability will return you
to previous stages you have cleared.","Bu yeteneği kullanmak sizi daha önce
tamamladığınız bölümlere geri götürür."
PauseMenu.ttb,27,STAGE 07,BÖLÜM 07
PauseMenu.ttb,28,STAGE 07,BÖLÜM 07
PauseMenu.ttb,29,Sunder the Night,Geceyi Yaran
PauseMenu.ttb,31,The Brilliant Void,Parlak Boşluk
PauseMenu.ttb,32,<emoji/Decide> Confirm <emoji/Cancel> Cancel    Choose a point to return to.,<emoji/Decide> Onayla <emoji/Cancel> İptal    Dönülecek noktayı seçin.
PauseMenu.ttb,35,"After reversing time, you cannot return.

Items obtained since the chosen point will
be lost, and stages will be uncleared.

Will you reverse time?","Zamanı geri aldıktan sonra geri dönüş yoktur.

Seçilen noktadan sonra alınan eşyalar kaybolur
ve bölümler yeniden tamamlanmamış olur.

Zamanı geri almak istiyor musunuz?"
PauseMenu.ttb,39,<emoji/Decide> Confirm <emoji/Cancel> / <emoji/Start> Return to game,<emoji/Decide> Onayla <emoji/Cancel> / <emoji/Start> Oyuna dön
PauseMenu.ttb,40,"After reversing time, you cannot return.

Items obtained since the chosen point will
be lost, and defeated demons will revive.

Is there a point you wish to return to?","Zamanı geri aldıktan sonra geri dönüş yoktur.

Bu noktadan sonra alınan eşyalar kaybolur
ve yenilen iblisler yeniden canlanır.

Dönmek istediğiniz bir nokta var mı?"
PauseMenu.ttb,42,Blasphemy unto Heaven,Göğe Karşı Küfür
PauseMenu.ttb,43,STAGE 01,BÖLÜM 01
PauseMenu.ttb,44,Tragedy of Slaughter,Katliam Trajedisi
PauseMenu.ttb,45,Cleave the Moon,Ay'ı Yaran
PauseMenu.ttb,48,STAGE 01,BÖLÜM 01
PauseMenu.ttb,52,Curse the Moon,Ay'a Lanet
PauseMenu.ttb,53,Defiler of Taboos,Tabuları Kirleten
PauseMenu.ttb,55,<emoji/Decide> Confirm <emoji/Cancel> / <emoji/Start> Return to game    Return to title,<emoji/Decide> Onayla <emoji/Cancel> / <emoji/Start> Oyuna dön    Başlık ekranına dön
Result.ttb,2,SPRINT,HIZLI
Result.ttb,4,MAX CP,MAKS. CP
Result.ttb,6,MAX CP,MAKS. CP
Result.ttb,12,STAGE SCORE,BÖLÜM PUANI
Result.ttb,22,SCORE LEVEL,PUAN SEVİYESİ
Result.ttb,34,SPRINT,HIZLI
Result.ttb,42,<emoji/Decide> NEXT  <emoji/BtnY> DETAILS,<emoji/Decide> SONRAKİ  <emoji/BtnY> DETAYLAR
Result.ttb,51,<emoji/Decide> NEXT,<emoji/Decide> SONRAKİ
Result.ttb,61,EXTRA BONUS,EK BONUS
Result.ttb,63,EXTRA BONUS,EK BONUS
Result.ttb,69,RETRY COUNT,TEKRAR SAYISI
Result.ttb,75,MAX BURST COMBO,MAKS. BURST KOMBO
Result.ttb,84,MAX BURST COMBO,MAKS. BURST KOMBO
Result.ttb,93,DIFFICULTY,ZORLUK
Result.ttb,108,REMAINING FOOD ITEMS,KALAN YİYECEKLER
Result.ttb,115,NO DAMAGE,HASARSIZ
Result.ttb,124,CLEAR TIME,BİTİRME SÜRESİ
Result.ttb,141,PREVIOUS HIGH SCORE,ÖNCEKİ REKOR
Result.ttb,146,NORMAL,NORMAL
Result.ttb,154,NORMAL,NORMAL
Result.ttb,155,NORMAL,NORMAL
Result.ttb,158,NORMAL,NORMAL
Result.ttb,160,HARD,ZOR
Result.ttb,162,NORMAL,NORMAL
Result.ttb,168,HARD,ZOR
Result.ttb,183,<emoji/Decide> NEXT,<emoji/Decide> SONRAKİ
Result.ttb,196,PENALTY,CEZA
Result.ttb,202,CLEAR BONUS,BİTİRME BONUSU
Result.ttb,205,PENALTY,CEZA
Result.ttb,219,TOTAL SCORE,TOPLAM PUAN
Save.ttb,0,Select a file to copy to.,Kopyalanacak hedef dosyayı seçin.
Save.ttb,2,PLAYER 1,OYUNCU 1
Save.ttb,3,Select a file to delete.,Silinecek dosyayı seçin.
Save.ttb,5,A style for those looking for a retro style challenge.,Retro tarzı bir meydan okuma arayanlar için bir stil.
Save.ttb,6,PLAYER 1,OYUNCU 1
Save.ttb,8,PLAYER 2,OYUNCU 2
Save.ttb,10,Select a file to copy from.,Kopyalanacak kaynak dosyayı seçin.
Save.ttb,11,Clear the game under certain conditions to unlock this mode.,Bu modu açmak için oyunu belirli koşullarda bitirin.
Save.ttb,12,PLAYER 2,OYUNCU 2
Save.ttb,14,PLAYER 4,OYUNCU 4
Save.ttb,15,PLAYER 3,OYUNCU 3
Save.ttb,16,PLAYER 3,OYUNCU 3
Save.ttb,17,Let darkness consume you and sacrifice every soul to unlock this mode.,Bu modu açmak için karanlığa teslim olun ve tüm ruhları kurban edin.
Save.ttb,18,PLAYER 4,OYUNCU 4
Save.ttb,19,Defeat the darkness with a full band of allies to unlock this mode.,Bu modu açmak için tüm müttefiklerinizle karanlığı yenin.
Save.ttb,20,PLAYER 5,OYUNCU 5
Save.ttb,21,PLAYER 5,OYUNCU 5
Save.ttb,23,PLAYER 8,OYUNCU 8
Save.ttb,24,PLAYER 7,OYUNCU 7
Save.ttb,25,PLAYER 6,OYUNCU 6
Save.ttb,26,PLAYER 6,OYUNCU 6
Save.ttb,29,"There remains no one who can stand against Zangetsu, the true ruler of the night.",Gecenin gerçek hükümdarı Zangetsu'ya karşı durabilecek hiç kimse kalmadı.
Save.ttb,31,"In order to save Zangetsu, who has fallen into darkness, his allies set out once more.",Karanlığa düşen Zangetsu'yu kurtarmak için müttefikleri bir kez daha yola çıkar.
Save.ttb,32,PLAYER 7,OYUNCU 7
Save.ttb,33,PLAYER 8,OYUNCU 8
Save.ttb,35,<emoji/Decide> Confirm <emoji/Cancel> Return to title screen,<emoji/Decide> Onayla <emoji/Cancel> Başlık ekranına dön
Save.ttb,37,Clear the game under certain conditions to unlock this mode.,Bu modu açmak için oyunu belirli koşullarda bitirin.
Save.ttb,38,"An easy-going style. Lives are unlimited, and taking damage will not knock back the player. There is no penalty for selecting this style.",Rahat bir stil. Canlar sınırsızdır ve hasar almak oyuncuyu geri savurmaz. Bu stili seçmenin hiçbir cezası yoktur.
Save.ttb,40,"Do you wish to overwrite this save file?

Overwritten data cannot be restored.","Bu kayıt dosyasının üzerine yazmak istiyor musunuz?

Üzerine yazılan veri geri getirilemez."
Save.ttb,42,"Do you wish to delete this file?

Deleted data cannot be restored.","Bu dosyayı silmek istiyor musunuz?

Silinen veri geri getirilemez."
StaffRoll.ttb,4,<color/cyan>Scenario Supervisor<color>,<color/cyan>Senaryo Sorumlusu<color>
StaffRoll.ttb,5,<color/cyan>English Localization Director<color>,<color/cyan>İngilizce Yerelleştirme Direktörü<color>
StaffRoll.ttb,12,<color/cyan>English Localization Director<color>,<color/cyan>İngilizce Yerelleştirme Direktörü<color>
StaffRoll.ttb,13,<color/cyan>Scenario Supervisor<color>,<color/cyan>Senaryo Sorumlusu<color>
StaffRoll.ttb,15,<color/cyan>Sound Engineer<color>,<color/cyan>Ses Mühendisi<color>
StaffRoll.ttb,18,<color/cyan>Sound Engineer<color>,<color/cyan>Ses Mühendisi<color>
StaffRoll.ttb,19,<color/cyan>Director<color>,<color/cyan>Yönetmen<color>
StaffRoll.ttb,20,<color/cyan>Director<color>,<color/cyan>Yönetmen<color>
StaffRoll.ttb,26,<color/cyan>Music<color>,<color/cyan>Müzik<color>
StaffRoll.ttb,27,<color/cyan>Music<color>,<color/cyan>Müzik<color>
StaffRoll.ttb,38,<color/cyan>Programmer<color>,<color/cyan>Programcı<color>
StaffRoll.ttb,39,<color/cyan>Programmer<color>,<color/cyan>Programcı<color>
StaffRoll.ttb,54,<color/cyan>Background Graphics<color>,<color/cyan>Arka Plan Grafikleri<color>
StaffRoll.ttb,57,<color/cyan>Background Graphics<color>,<color/cyan>Arka Plan Grafikleri<color>
StaffRoll.ttb,58,<color/cyan>Sound Director<color>,<color/cyan>Ses Direktörü<color>
StaffRoll.ttb,59,<color/cyan>Sound Director<color>,<color/cyan>Ses Direktörü<color>
StaffRoll.ttb,74,<color/cyan>UI Designer<color>,<color/cyan>Arayüz Tasarımcısı<color>
StaffRoll.ttb,75,<color/cyan>UI Designer<color>,<color/cyan>Arayüz Tasarımcısı<color>
StaffRoll.ttb,123,<color/cyan>QC<color>,<color/cyan>Kalite Kontrol<color>
StaffRoll.ttb,124,<color/cyan>QC<color>,<color/cyan>Kalite Kontrol<color>
StaffRoll.ttb,126,<color/cyan>Lead Character Graphics<color>,<color/cyan>Baş Karakter Grafikçisi<color>
StaffRoll.ttb,127,<color/cyan>Lead Character Graphics<color>,<color/cyan>Baş Karakter Grafikçisi<color>
StaffRoll.ttb,135,<color/cyan>Planner<color>,<color/cyan>Planlama<color>
StaffRoll.ttb,136,<color/cyan>Planner<color>,<color/cyan>Planlama<color>
StaffRoll.ttb,162,<color/cyan>Special Thanks<color>,<color/cyan>Özel Teşekkürler<color>
StaffRoll.ttb,163,<color/cyan>Special Thanks<color>,<color/cyan>Özel Teşekkürler<color>
StaffRoll.ttb,166,ALL RIGHTS RESERVED.,TÜM HAKLARI SAKLIDIR.
StaffRoll.ttb,169,ALL RIGHTS RESERVED.,TÜM HAKLARI SAKLIDIR.
StaffRoll.ttb,190,<color/cyan>Sound Effects<color>,<color/cyan>Ses Efektleri<color>
StaffRoll.ttb,191,<color/cyan>Sound Effects<color>,<color/cyan>Ses Efektleri<color>
StaffRoll.ttb,200,<color/cyan>Sound Producer<color>,<color/cyan>Ses Yapımcısı<color>
StaffRoll.ttb,203,<color/cyan>Sound Producer<color>,<color/cyan>Ses Yapımcısı<color>
StaffRoll.ttb,204,All INTI staff,Tüm INTI çalışanları
StaffRoll.ttb,205,All INTI staff,Tüm INTI çalışanları
StaffRoll.ttb,218,<color/cyan>Producer<color>,<color/cyan>Yapımcı<color>
StaffRoll.ttb,225,<color/cyan>Producer<color>,<color/cyan>Yapımcı<color>
StaffRoll.ttb,228,<color/cyan>Lead Programmer<color>,<color/cyan>Baş Programcı<color>
StaffRoll.ttb,231,<color/cyan>Lead Programmer<color>,<color/cyan>Baş Programcı<color>
StaffRoll.ttb,237,<color/cyan>Lead Background Graphics<color>,<color/cyan>Baş Arka Plan Grafikçisi<color>
StaffRoll.ttb,250,<color/cyan>Lead Background Graphics<color>,<color/cyan>Baş Arka Plan Grafikçisi<color>
StaffRoll.ttb,253,<color/cyan>Character Graphics<color>,<color/cyan>Karakter Grafikleri<color>
StaffRoll.ttb,254,<color/cyan>Character Graphics<color>,<color/cyan>Karakter Grafikleri<color>
StaffRoll.ttb,267,<color/cyan>Lead UI Graphics,<color/cyan>Baş Arayüz Grafikçisi
StaffRoll.ttb,268,<color/cyan>Lead UI Graphics,<color/cyan>Baş Arayüz Grafikçisi
StaffRoll.ttb,305,<color/cyan>PR<color>,<color/cyan>Halkla İlişkiler<color>
StaffRoll.ttb,308,<color/cyan>PR<color>,<color/cyan>Halkla İlişkiler<color>
Title.ttb,0,Unlocks after meeting certain conditions.,Belirli koşullar sağlanınca açılır.
Title.ttb,1,<emoji/Decide> Confirm    Change game settings.,<emoji/Decide> Onayla    Oyun ayarlarını değiştir.
Title.ttb,3,<emoji/Decide> Confirm    Fight against the game's bosses.,<emoji/Decide> Onayla    Oyundaki bosslarla savaş.
Title.ttb,5,<emoji/Decide> Confirm    Start the main game.,<emoji/Decide> Onayla    Ana oyunu başlat.
