file,index,hash,language_hint,original,translation_tr
CommonText.ttb,1,11165D5A,ja/mixed,はい,
CommonText.ttb,2,1114E036,latin,Yes,
CommonText.ttb,3,BEABA9BA,ja/mixed,いいえ,
GameOver.ttb,0,30B97571,ja/mixed,<emoji/Decide> カジュアルスタイルに変更してゲームを再開します。,
GameOver.ttb,1,18D2317B,latin,<emoji/Decide> Confirm,
GameOver.ttb,2,0D033E07,ja/mixed,<emoji/Decide> セーブしてタイトル画面に戻ります。,
GameOver.ttb,3,0D01C0E3,latin,<emoji/Decide> Save and return to the title screen.,
GameOver.ttb,4,30B7F84D,latin,<emoji/Decide> Change to CASUAL and return to the game.,
GameOver.ttb,5,18D3AE9F,ja/mixed,<emoji/Decide> 決定,
GameOver.ttb,6,D5A36098,latin,<emoji/Decide> Restart from the beginning of the stage.,
GameOver.ttb,7,7C64C1AF,ja/mixed,"カジュアルスタイルに変更します。
よろしいですか？

※スタイルはセーブファイルのロード時にも変更できます。",
GameOver.ttb,8,7C63448B,latin,"Do you wish to change 
to CASUAL style?

*Style can be changed 
when loading a game file",
GameOver.ttb,9,D5A4DDBC,ja/mixed,<emoji/Decide> ステージの最初からゲームを再開します。,
Item.ttb,0,77586C1B,empty,,
Item.ttb,1,41EA8F86,empty,,
Item.ttb,2,1EBAEE03,latin,TB-RF CAPELLA,
Item.ttb,3,0DB02C02,empty,,
Item.ttb,4,07724F8F,latin,P-AA RIGEL AE,
Item.ttb,5,045881DE,latin,TB-C ALTAIR,
Item.ttb,6,01F13292,latin,PIXELSTICKERNR. 154,
Item.ttb,7,00C53F51,latin,SELO DE PIXEL No.195,
Item.ttb,8,00C31FB2,latin,STICKER PIXEL N. 195,
Item.ttb,9,00C2359D,latin,AUTOCOLLANT PIXEL N°195,
Item.ttb,10,00C1E5C0,latin,PIXEL STICKER No.195,
Item.ttb,11,00C19322,latin,PIXELSTICKER Nr. 195,
Item.ttb,12,00C1E881,latin,PIXEL STICKER N°195,
Item.ttb,13,00C2EB31,latin,TB-B SPICA,
Item.ttb,14,00C29893,latin,TB-B SPICA,
Item.ttb,15,00C2EDF2,latin,TB-B SPICA,
Item.ttb,16,00C42523,latin,TB-B SPICA,
Item.ttb,17,00C362E4,ja/mixed,ピクセルシール No.195,
Item.ttb,18,00C33B0E,latin,TB-B SPICA,
Item.ttb,19,00C3B843,empty,,
Item.ttb,20,00C49F97,latin,PIXELSTICKERNR. 195,
Item.ttb,21,00C46855,ja/mixed,TB-B スピカ,
Item.ttb,22,00C4BDB4,empty,,
Item.ttb,23,019E8E03,empty,,
Item.ttb,24,00C6E0A1,latin,TB-B SPICA,
Item.ttb,25,00C5DB30,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.195,
Item.ttb,26,00C5A508,latin,TB-B SPICA,
Item.ttb,27,00C644C2,latin,TB-B SPICA,
Item.ttb,28,013F41F5,empty,,
Item.ttb,29,013A14C7,empty,,
Item.ttb,30,019960D5,empty,,
Item.ttb,31,01EEC898,latin,AUTOCOLLANT PIXEL N°154,
Item.ttb,32,01EE78BB,latin,PIXEL STICKER No.154,
Item.ttb,33,01EE261D,latin,PIXELSTICKER Nr. 154,
Item.ttb,34,01EE7B7C,latin,PIXEL STICKER N°154,
Item.ttb,35,01EFF5DF,ja/mixed,ピクセルシール No.154,
Item.ttb,36,01EFB2AD,latin,STICKER PIXEL N. 154,
Item.ttb,37,01F04B3E,empty,,
Item.ttb,38,0320BB05,latin,P-SVD VEGA,
Item.ttb,39,031B5B93,latin,AUTOCOLLANT PIXEL N°113,
Item.ttb,40,0319C337,empty,,
Item.ttb,41,01F26E2B,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.154,
Item.ttb,42,01F1D24C,latin,SELO DE PIXEL No.154,
Item.ttb,43,03149609,empty,,
Item.ttb,44,031B0BB6,latin,PIXEL STICKER No.113,
Item.ttb,45,031AB918,latin,PIXELSTICKER Nr. 113,
Item.ttb,46,031B0E77,latin,PIXEL STICKER N°113,
Item.ttb,47,031DC58D,latin,PIXELSTICKERNR. 113,
Item.ttb,48,031C88DA,ja/mixed,ピクセルシール No.113,
Item.ttb,49,031C45A8,latin,STICKER PIXEL N. 113,
Item.ttb,50,031CDE39,empty,,
Item.ttb,51,031F0126,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.113,
Item.ttb,52,031E6547,latin,SELO DE PIXEL No.113,
Item.ttb,53,03206867,latin,P-SVD VEGA,
Item.ttb,54,0324B075,latin,P-SVD VEGA,
Item.ttb,55,03223829,ja/mixed,P-SVD ベガ,
Item.ttb,56,03210AE2,latin,P-SVD VEGA,
Item.ttb,57,0320BDC6,latin,P-SVD VEGA,
Item.ttb,58,0321F4F7,latin,P-SVD VEGA,
Item.ttb,59,032374DC,latin,P-SVD VEGA,
Item.ttb,60,03228D88,empty,,
Item.ttb,61,03241496,latin,P-SVD VEGA,
Item.ttb,62,045617E4,latin,TB-C ALTAIR,
Item.ttb,63,0455C807,latin,TB-C ALTAIR,
Item.ttb,64,04557569,latin,TB-C ALTAIR,
Item.ttb,65,0455CAC8,latin,TB-C ALTAIR,
Item.ttb,66,0457452B,ja/mixed,TB-C アルタイル,
Item.ttb,67,045701F9,latin,TB-C ALTAIR,
Item.ttb,68,04579A8A,empty,,
Item.ttb,69,04BF838F,latin,SELO DE PIXEL No.063,
Item.ttb,70,04B182DB,latin,AUTOCOLLANT PIXEL N°238,
Item.ttb,71,046B827E,ja/mixed,EB-IM アンカ 05,
Item.ttb,72,046A055A,latin,EB-IM ANKAA 05,
Item.ttb,73,0459BD77,latin,TB-C ALTAIR,
Item.ttb,74,04592198,latin,TB-C ALTAIR,
Item.ttb,75,0469B2BC,latin,EB-IM ANKAA 05,
Item.ttb,76,046A5537,latin,EB-IM ANKAA 05,
Item.ttb,77,046A081B,latin,EB-IM ANKAA 05,
Item.ttb,78,046B3F4C,latin,EB-IM ANKAA 05,
Item.ttb,79,046DFACA,latin,EB-IM ANKAA 05,
Item.ttb,80,046CBF31,latin,EB-IM ANKAA 05,
Item.ttb,81,046BD7DD,empty,,
Item.ttb,82,046D5EEB,latin,EB-IM ANKAA 05,
Item.ttb,83,04B132FE,latin,PIXEL STICKER No.238,
Item.ttb,84,04B0E060,latin,PIXELSTICKER Nr. 238,
Item.ttb,85,04B135BF,latin,PIXEL STICKER N°238,
Item.ttb,86,04BC29FE,latin,PIXEL STICKER No.063,
Item.ttb,87,04B3ECD5,latin,PIXELSTICKERNR. 238,
Item.ttb,88,04B2B022,ja/mixed,ピクセルシール No.238,
Item.ttb,89,04B26CF0,latin,STICKER PIXEL N. 201,
Item.ttb,90,04B30581,empty,,
Item.ttb,91,04B5286E,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.238,
Item.ttb,92,04B48C8F,latin,SELO DE PIXEL No.238,
Item.ttb,93,04BBD760,latin,PIXELSTICKER Nr. 063,
Item.ttb,94,04BDA722,ja/mixed,ピクセルシール No.063,
Item.ttb,95,04BC79DB,latin,AUTOCOLLANT PIXEL N°063,
Item.ttb,96,04BC2CBF,latin,PIXEL STICKER N°063,
Item.ttb,97,04BD63F0,latin,STICKER PIXEL N. 063,
Item.ttb,98,04BEE3D5,latin,PIXELSTICKERNR. 063,
Item.ttb,99,04BDFC81,empty,,
Item.ttb,100,04BF406D,empty,,
Item.ttb,101,05EB76D0,latin,PIXELSTICKERNR. 022,
Item.ttb,102,058FB45A,empty,,
Item.ttb,103,0523B9A9,empty,,
Item.ttb,104,04C46D9B,empty,,
Item.ttb,105,04C01F6E,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.063,
Item.ttb,106,051E8C7B,empty,,
Item.ttb,107,0530684C,empty,,
Item.ttb,108,052B3B1E,empty,,
Item.ttb,109,058A872C,empty,,
Item.ttb,110,05E90CD6,latin,AUTOCOLLANT PIXEL N°022,
Item.ttb,111,05E8BCF9,latin,PIXEL STICKER No.022,
Item.ttb,112,05E86A5B,latin,PIXELSTICKER Nr. 022,
Item.ttb,113,05E8BFBA,latin,PIXEL STICKER N°022,
Item.ttb,114,05EA3A1D,ja/mixed,ピクセルシール No.022,
Item.ttb,115,05E9F6EB,latin,STICKER PIXEL N. 022,
Item.ttb,116,05EA8F7C,empty,,
Item.ttb,117,06F120C0,latin,AUTOCOLLANT PIXEL N°185,
Item.ttb,118,064B5DC4,empty,,
Item.ttb,119,05ECB269,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.022,
Item.ttb,120,05EC168A,latin,SELO DE PIXEL No.022,
Item.ttb,121,06463096,empty,,
Item.ttb,122,06F0D0E3,latin,PIXEL STICKER No.185,
Item.ttb,123,06F07E45,latin,PIXELSTICKER Nr. 185,
Item.ttb,124,06F0D3A4,latin,PIXEL STICKER N°185,
Item.ttb,125,06F38ABA,latin,PIXELSTICKERNR. 185,
Item.ttb,126,06F24E07,ja/mixed,ピクセルシール No.185,
Item.ttb,127,06F20AD5,latin,STICKER PIXEL N. 185,
Item.ttb,128,06F2A366,empty,,
Item.ttb,129,06F4C653,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.185,
Item.ttb,130,06F42A74,latin,SELO DE PIXEL No.185,
Item.ttb,131,0771FCF1,latin,P-AA RIGEL AE,
Item.ttb,132,0AE19B45,ja/mixed,ピクセルシール No.228,
Item.ttb,133,094CB0B0,latin,PIXELSTICKERNR. 103,
Item.ttb,134,08201DB5,latin,PIXELSTICKERNR. 144,
Item.ttb,135,077644FF,latin,P-AA RIGEL AE,
Item.ttb,136,0773CCB3,ja/mixed,P-AA リゲル AE,
Item.ttb,137,07729F6C,latin,P-AA RIGEL AE,
Item.ttb,138,07725250,latin,P-AA RIGEL AE,
Item.ttb,139,07738981,latin,P-AA RIGEL AE,
Item.ttb,140,07750966,latin,P-AA RIGEL AE,
Item.ttb,141,07742212,empty,,
Item.ttb,142,0775A920,latin,P-AA RIGEL AE,
Item.ttb,143,081DB3BB,latin,AUTOCOLLANT PIXEL N°144,
Item.ttb,144,081D63DE,latin,PIXEL STICKER No.144,
Item.ttb,145,081D1140,latin,PIXELSTICKER Nr. 144,
Item.ttb,146,081D669F,latin,PIXEL STICKER N°144,
Item.ttb,147,081EE102,ja/mixed,ピクセルシール No.144,
Item.ttb,148,081E9DD0,latin,STICKER PIXEL N. 144,
Item.ttb,149,081F3661,empty,,
Item.ttb,150,09218EA3,empty,,
Item.ttb,151,08B593F2,empty,,
Item.ttb,152,0821594E,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.144,
Item.ttb,153,0820BD6F,latin,SELO DE PIXEL No.144,
Item.ttb,154,08B066C4,empty,,
Item.ttb,155,091C6175,empty,,
Item.ttb,156,091B9B4E,empty,,
Item.ttb,157,0920C87C,empty,,
Item.ttb,158,094A46B6,latin,AUTOCOLLANT PIXEL N°103,
Item.ttb,159,0949F6D9,latin,PIXEL STICKER No.103,
Item.ttb,160,0949A43B,latin,PIXELSTICKER Nr. 103,
Item.ttb,161,0949F99A,latin,PIXEL STICKER N°103,
Item.ttb,162,094B73FD,ja/mixed,ピクセルシール No.103,
Item.ttb,163,094B30CB,latin,STICKER PIXEL N. 103,
Item.ttb,164,094BC95C,empty,,
Item.ttb,165,0A5951BC,empty,,
Item.ttb,166,09BED203,latin,AUTOCOLLANT PIXEL N°094,
Item.ttb,167,0980DAB1,empty,,
Item.ttb,168,094DEC49,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.103,
Item.ttb,169,094D506A,latin,SELO DE PIXEL No.103,
Item.ttb,170,097BAD83,empty,,
Item.ttb,171,09BE8226,latin,PIXEL STICKER No.094,
Item.ttb,172,09BE2F88,latin,PIXELSTICKER Nr. 094,
Item.ttb,173,09BE84E7,latin,PIXEL STICKER N°094,
Item.ttb,174,09C13BFD,latin,PIXELSTICKERNR. 094,
Item.ttb,175,09BFFF4A,ja/mixed,ピクセルシール No.094,
Item.ttb,176,09BFBC18,latin,STICKER PIXEL N. 094,
Item.ttb,177,09C054A9,empty,,
Item.ttb,178,09C27796,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.094,
Item.ttb,179,09C1DBB7,latin,SELO DE PIXEL No.094,
Item.ttb,180,0A54248E,empty,,
Item.ttb,181,0A95E3CD,latin,SB60 REGULUS,
Item.ttb,182,0A9379D3,latin,SB60 REGULUS,
Item.ttb,183,0A9329F6,latin,SB60 REGULUS,
Item.ttb,184,0A92D758,latin,SB60 REGULUS,
Item.ttb,185,0A932CB7,latin,SB60 REGULUS,
Item.ttb,186,0A94A71A,ja/mixed,SB60 レグルス,
Item.ttb,187,0A9463E8,latin,SB60 REGULUS,
Item.ttb,188,0A94FC79,empty,,
Item.ttb,189,0AE01E21,latin,PIXEL STICKER No.228,
Item.ttb,190,0A971F66,latin,SB60 REGULUS,
Item.ttb,191,0A968387,latin,SB60 REGULUS,
Item.ttb,192,0ADFCB83,latin,PIXELSTICKER Nr. 228,
Item.ttb,193,0AE06DFE,latin,AUTOCOLLANT PIXEL N°228,
Item.ttb,194,0AE020E2,latin,PIXEL STICKER N°228,
Item.ttb,195,0AE15813,latin,STICKER PIXEL N. 201,
Item.ttb,196,0CA5F422,empty,,
Item.ttb,197,0B852C0A,empty,,
Item.ttb,198,0AEB64FE,latin,AUTOCOLLANT PIXEL N°053,
Item.ttb,199,0AE41391,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.228,
Item.ttb,200,0AE2D7F8,latin,PIXELSTICKERNR. 228,
Item.ttb,201,0AE1F0A4,empty,,
Item.ttb,202,0AE377B2,latin,SELO DE PIXEL No.228,
Item.ttb,203,0AEB1521,latin,PIXEL STICKER No.053,
Item.ttb,204,0AEAC283,latin,PIXELSTICKER Nr. 053,
Item.ttb,205,0AEB17E2,latin,PIXEL STICKER N°053,
Item.ttb,206,0AEDCEF8,latin,PIXELSTICKERNR. 053,
Item.ttb,207,0AEC9245,ja/mixed,ピクセルシール No.053,
Item.ttb,208,0AEC4F13,latin,STICKER PIXEL N. 053,
Item.ttb,209,0AECE7A4,empty,,
Item.ttb,210,0AEF0A91,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.053,
Item.ttb,211,0AEE6EB2,latin,SELO DE PIXEL No.053,
Item.ttb,212,0B7FFEDC,empty,,
Item.ttb,213,0C192540,ja/mixed,ピクセルシール No.012,
Item.ttb,214,0C17A81C,latin,PIXEL STICKER No.012,
Item.ttb,215,0BD38146,empty,,
Item.ttb,216,0BCE5418,empty,,
Item.ttb,217,0C17557E,latin,PIXELSTICKER Nr. 012,
Item.ttb,218,0C17F7F9,latin,AUTOCOLLANT PIXEL N°012,
Item.ttb,219,0C17AADD,latin,PIXEL STICKER N°012,
Item.ttb,220,0C18E20E,latin,STICKER PIXEL N. 012,
Item.ttb,221,0C1B9D8C,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.012,
Item.ttb,222,0C1A61F3,latin,PIXELSTICKERNR. 012,
Item.ttb,223,0C197A9F,empty,,
Item.ttb,224,0C1B01AD,latin,SELO DE PIXEL No.012,
Item.ttb,225,0C46A814,empty,,
Item.ttb,226,0C417AE6,empty,,
Item.ttb,227,0CA0C6F4,empty,,
Item.ttb,228,0D1FBC06,latin,PIXEL STICKER No.175,
Item.ttb,229,0CCF00D8,latin,P-IT BENETNASCH,
Item.ttb,230,0CCC96DE,latin,P-IT BENETNASCH,
Item.ttb,231,0CCC4701,latin,P-IT BENETNASCH,
Item.ttb,232,0CCBF463,latin,P-IT BENETNASCH,
Item.ttb,233,0CCC49C2,latin,P-IT BENETNASCH,
Item.ttb,234,0CCDC425,ja/mixed,P-IT ベネトナシュ,
Item.ttb,235,0CCD80F3,latin,P-IT BENETNASCH,
Item.ttb,236,0CCE1984,empty,,
Item.ttb,237,0D0D87CC,empty,,
Item.ttb,238,0CD03C71,latin,P-IT BENETNASCH,
Item.ttb,239,0CCFA092,latin,P-IT BENETNASCH,
Item.ttb,240,0D0CC1A5,empty,,
Item.ttb,241,0D12B4FA,empty,,
Item.ttb,242,0D11EED3,empty,,
Item.ttb,243,0D1F6968,latin,PIXELSTICKER Nr. 175,
Item.ttb,244,0D23B176,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.175,
Item.ttb,245,0D21392A,ja/mixed,ピクセルシール No.175,
Item.ttb,246,0D200BE3,latin,AUTOCOLLANT PIXEL N°175,
Item.ttb,247,0D1FBEC7,latin,PIXEL STICKER N°175,
Item.ttb,248,0D20F5F8,latin,STICKER PIXEL N. 175,
Item.ttb,249,0D2275DD,latin,PIXELSTICKERNR. 175,
Item.ttb,250,0D218E89,empty,,
Item.ttb,251,0D231597,latin,SELO DE PIXEL No.175,
Item.ttb,252,0DAEA95C,latin,FT-R DENEB,
Item.ttb,253,0DAE597F,latin,FT-R DENEB,
Item.ttb,254,0DAE06E1,latin,FT-R DENEB,
Item.ttb,255,0DAE5C40,latin,FT-R DENEB,
Item.ttb,256,0DAFD6A3,ja/mixed,FT-R デネブ,
Item.ttb,257,0DAF9371,latin,FT-R DENEB,
Item.ttb,258,16AA59D2,latin,P-ST BETELGEUSE,
Item.ttb,259,111D59D5,latin,SELO DE PIXEL No.043,
Item.ttb,260,0FEF3FCC,empty,,
Item.ttb,261,0E64314D,latin,SB198 REGULUS VD,
Item.ttb,262,0E4D88F3,latin,STICKER PIXEL N. 134,
Item.ttb,263,0E4BFC63,latin,PIXELSTICKER Nr. 134,
Item.ttb,264,0DB1B310,latin,FT-R DENEB,
Item.ttb,265,0DB11356,latin,FT-R DENEB,
Item.ttb,266,0DB24EEF,latin,FT-R DENEB,
Item.ttb,267,0E4C51C2,latin,PIXEL STICKER N°134,
Item.ttb,268,0E4C4F01,latin,PIXEL STICKER No.134,
Item.ttb,269,0E4C9EDE,latin,AUTOCOLLANT PIXEL N°134,
Item.ttb,270,0E4FA892,latin,SELO DE PIXEL No.134,
Item.ttb,271,0E4E2184,empty,,
Item.ttb,272,0E4DCC25,ja/mixed,ピクセルシール No.134,
Item.ttb,273,0E4F08D8,latin,PIXELSTICKERNR. 134,
Item.ttb,274,0E63DBEE,latin,SB198 REGULUS VD,
Item.ttb,275,0E504471,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.134,
Item.ttb,276,0E642E8C,latin,SB198 REGULUS VD,
Item.ttb,277,0EA27072,empty,,
Item.ttb,278,0E66010F,empty,,
Item.ttb,279,0E65687E,latin,SB198 REGULUS VD,
Item.ttb,280,0E647E69,latin,SB198 REGULUS VD,
Item.ttb,281,0E65ABB0,ja/mixed,SB198 レグルス VD,
Item.ttb,282,0E67881D,latin,SB198 REGULUS VD,
Item.ttb,283,0E66E863,latin,SB198 REGULUS VD,
Item.ttb,284,0E6823FC,latin,SB198 REGULUS VD,
Item.ttb,285,0FED700A,latin,PIXEL STICKER N°084,
Item.ttb,286,0FED1AAB,latin,PIXELSTICKER Nr. 084,
Item.ttb,287,0EA79DA0,empty,,
Item.ttb,288,0FED6D49,latin,PIXEL STICKER No.084,
Item.ttb,289,0FEEA73B,latin,STICKER PIXEL N. 084,
Item.ttb,290,0FEDBD26,latin,AUTOCOLLANT PIXEL N°084,
Item.ttb,291,0FEEEA6D,ja/mixed,ピクセルシール No.084,
Item.ttb,292,110F0C05,latin,PIXEL STICKER N°218,
Item.ttb,293,109E9BEE,empty,,
Item.ttb,294,1032A13D,empty,,
Item.ttb,295,0FF0C6DA,latin,SELO DE PIXEL No.084,
Item.ttb,296,0FF02720,latin,PIXELSTICKERNR. 084,
Item.ttb,297,0FF162B9,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.084,
Item.ttb,298,1091ED4B,empty,,
Item.ttb,299,1037CE6B,empty,,
Item.ttb,300,10971A79,empty,,
Item.ttb,301,10FDE7FC,empty,,
Item.ttb,302,10E70F39,empty,,
Item.ttb,303,10A3C91C,empty,,
Item.ttb,304,10EC3C67,empty,,
Item.ttb,305,110EB6A6,latin,PIXELSTICKER Nr. 218,
Item.ttb,306,1103152A,empty,,
Item.ttb,307,110F0944,latin,PIXEL STICKER No.218,
Item.ttb,308,1119ADA6,latin,PIXELSTICKER Nr. 043,
Item.ttb,309,1110DBC7,empty,,
Item.ttb,310,11104336,latin,STICKER PIXEL N. 201,
Item.ttb,311,110F5921,latin,AUTOCOLLANT PIXEL N°218,
Item.ttb,312,11108668,ja/mixed,ピクセルシール No.218,
Item.ttb,313,111262D5,latin,SELO DE PIXEL No.218,
Item.ttb,314,1111C31B,latin,PIXELSTICKERNR. 218,
Item.ttb,315,1112FEB4,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.218,
Item.ttb,316,111B3A36,latin,STICKER PIXEL N. 043,
Item.ttb,317,111A0305,latin,PIXEL STICKER N°043,
Item.ttb,318,111A0044,latin,PIXEL STICKER No.043,
Item.ttb,319,111A5021,latin,AUTOCOLLANT PIXEL N°043,
Item.ttb,320,111BD2C7,empty,,
Item.ttb,321,111B7D68,ja/mixed,ピクセルシール No.043,
Item.ttb,322,111CBA1B,latin,PIXELSTICKERNR. 043,
Item.ttb,323,147D0CA7,empty,,
Item.ttb,324,134EA9EA,latin,PIXEL STICKER N°165,
Item.ttb,325,124865C2,empty,,
Item.ttb,326,12469600,latin,PIXEL STICKER N°002,
Item.ttb,327,124640A1,latin,PIXELSTICKER Nr. 002,
Item.ttb,328,111DF5B4,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.043,
Item.ttb,329,1246933F,latin,PIXEL STICKER No.002,
Item.ttb,330,1247CD31,latin,STICKER PIXEL N. 002,
Item.ttb,331,1246E31C,latin,AUTOCOLLANT PIXEL N°002,
Item.ttb,332,12481063,ja/mixed,ピクセルシール No.002,
Item.ttb,333,129396C9,empty,,
Item.ttb,334,1249ECD0,latin,SELO DE PIXEL No.002,
Item.ttb,335,12494D16,latin,PIXELSTICKERNR. 002,
Item.ttb,336,124A88AF,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.002,
Item.ttb,337,134E548B,latin,PIXELSTICKER Nr. 165,
Item.ttb,338,1298C3F7,empty,,
Item.ttb,339,134EA729,latin,PIXEL STICKER No.165,
Item.ttb,340,1423C794,empty,,
Item.ttb,341,135079AC,empty,,
Item.ttb,342,134FE11B,latin,STICKER PIXEL N. 165,
Item.ttb,343,134EF706,latin,AUTOCOLLANT PIXEL N°165,
Item.ttb,344,1350244D,ja/mixed,ピクセルシール No.165,
Item.ttb,345,135200BA,latin,SELO DE PIXEL No.165,
Item.ttb,346,13516100,latin,PIXELSTICKERNR. 165,
Item.ttb,347,13529C99,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.165,
Item.ttb,348,147B3CE5,latin,PIXEL STICKER N°124,
Item.ttb,349,147AE786,latin,PIXELSTICKER Nr. 124,
Item.ttb,350,1428F4C2,empty,,
Item.ttb,351,147B3A24,latin,PIXEL STICKER No.124,
Item.ttb,352,147C7416,latin,STICKER PIXEL N. 124,
Item.ttb,353,147B8A01,latin,AUTOCOLLANT PIXEL N°124,
Item.ttb,354,147CB748,ja/mixed,ピクセルシール No.124,
Item.ttb,355,161C05CE,latin,PIXELSTICKER Nr. 074,
Item.ttb,356,14EF0E53,empty,,
Item.ttb,357,148313A2,empty,,
Item.ttb,358,147E93B5,latin,SELO DE PIXEL No.124,
Item.ttb,359,147DF3FB,latin,PIXELSTICKERNR. 124,
Item.ttb,360,147F2F94,latin,ПИКСЕЛЬНЫЙ СТИКЕР No.124,
Item.ttb,361,148FC245,empty,,
Item.ttb,362,148840D0,empty,,
Item.ttb,363,1494EF73,empty,,
Item.ttb,364,15FBFBC2,empty,,
Item.ttb,365,158B9C75,empty,,
Item.ttb,366,14F43B81,empty,,
Item.ttb,367,1590C9A3,empty,,
Item.ttb,368,16063E83,empty,,
Item.ttb,369,160128F0,empty,,
Item.ttb,370,160B6BB1,empty,,
Item.ttb,371,161FB1FD,latin,SELO DE PIXEL No.074,
Item.ttb,372,161D925E,latin,STICKER PIXEL N. 074,
Item.ttb,373,161C5B2D,latin,PIXEL STICKER N°074,
Item.ttb,374,161C586C,latin,PIXEL STICKER No.074,
Item.ttb,375,161CA849,latin,AUTOCOLLANT PIXEL N°074,
Item.ttb,376,161E2AEF,empty,,
Item.ttb,377,161DD590,ja/mixed,ピクセルシール No.074,
Item.ttb,378,161F1243,latin,PIXELSTICKERNR. 074,
Item.ttb,379,16A9B757,latin,P-ST BETELGEUSE,
