index,key,F,G,I,S,U,TR
41,MID_曲名_STRM_BGM_EVT_BRAVE1,"« La diplomatie n'a jamais été
mon fort... »","""Verhandeln ist nicht
meine Stärke...""","""Le negoziazioni non sono
il mio forte.""","""Nunca se me ha dado
demasiado bien negociar...""","""Negotiation's not my
strong suit...""","""Müzakere benim güçlü
yanım değil..."""
42,MID_曲名_STRM_BGM_EVT_BUKIMI1,"« Il y a quelque chose qui ne
tourne vraiment pas rond. »","""Irgendetwas ist hier faul.""","""C'è qualcosa che non va.""","""Esto no me gusta nada.""","""Something is very wrong.""","""Bir şeyler çok yanlış."""
43,MID_曲名_STRM_BGM_EVT_CHANCE1,"« Ces histoires de destin, ça ne
rime strictement à rien ! »","""Hör nicht auf dieses dumme
Gelaber über Schicksal!""","""Non vi vorrete bere queste
fesserie sul ""destino""?""","""¡Yo no me tomaría muy en
serio esa bobada del destino!""","""Don't you put any stock
in this destiny hogwash!""","""Bu kader
saçmaligina hiç önem verme!"""
44,MID_曲名_STRM_BGM_EVT_HEIWA1,"« Bien. Je vais prendre un grand
lit double, deux gigots et... »","""Ich will ein Doppelbett und
zwei Keulen vom...""","""Ma... Frederick, è già
praticamente buio!""","""¡Si la noche está
al caer, Frederick!""","""But, Frederick,
it's nearly dark!""","""Ama Frederick,
hava neredeyse karanlık!"""
45,MID_曲名_STRM_BGM_EVT_HEION1,"« Grima est de nouveau plongé
dans un profond sommeil. »","""Grima schläft nun wieder.""","""Grima è ritornato al
suo sonno.""","""Grima ha vuelto a su sueño
eterno.""","""Grima has returned
to slumber.""","""Grima uykuya
döndü."""
46,MID_曲名_STRM_BGM_EVT_HOUSHIN1,« ... »,"""...""","""...""","""(...)""","""...""","""..."""
47,MID_曲名_STRM_BGM_EVT_HUON1,"« Je te protégerai si tes beaux
principes te mettent en péril. »","""Bist du hierfür bereit? Das ist
eine Menge Verantwortung.""","""Verrò con te. Qualcuno dovrà
pur salvarti dai tuoi princìpi.""","""Alguien tendrá que salvarte
de tus propios principios.""","""Someone has to save you
from your good intentions.""","""Birinin seni iyi
niyetinden kurtarmasi gerekiyor."""
48,MID_曲名_STRM_BGM_EVT_ITAZURA1,"« BERK ! Et ils me rentrent
dans la bouche ! »","""Igitt! Jetsch pfliegen schie mir
auch noch innen Mund! Pfui!""","""Bleah! Sono dappertutto!
Ptuh!""","""¡Puaj! ¡Y je te beten
en da boca!""","""Agh! Won goph in mah
mouph! Blech! Ptooey!""","""Ağzıma böcek kaçtı! Iyy! Pü!"""
49,MID_曲名_STRM_BGM_EVT_KETSUI1,"« Sèche ces larmes, mon ange.
Ce n'est qu'un au revoir... »","""Weine nicht, meine Liebe.
Wir werden uns wiedersehen.""","""Non piangere, mio tesoro.
Non è un addio.""","""Enjuga tus lágrimas, pequeña.
Esto no es un adiós.""","""Dry your tears, love.
This is not goodbye.""","""Gözyaşlarını kurula
aşkım. Bu bir veda değil."""
50,MID_曲名_STRM_BGM_EVT_KIKI1,"« Je dis ça sérieusement.
Allez ! »","""Geh! Ich meine das ernst!""","""Mi hai sentito?! Scappa!""","""¡Vamos, vete!""","""I mean it. Go!""","""Ciddiyim. Git!"""
51,MID_曲名_STRM_BGM_EVT_KYOAKU1,"« Grâce à l'énergie de ce lieu,
je vais reprendre des forces ! »","""Doch die Lebenskraft hier wird
genügen, um mich zu erneuern!""","""La sua forza vitale rigenererà
il mio potere!""","""¡Recuperaré mi poder con la
energía vital de este lugar!""","""The life force here
shall renew me!""","""Buradaki yaşam gücü
beni yenileyecek!"""
52,MID_曲名_STRM_BGM_EVT_KYOUDAN1,"« Vous devrez courir plus vite
pour échapper à votre destin. »","""Du musst weiter weglaufen, um
deinem Schicksal zu entgehen!""","""Puoi correre quanto vuoi, non
riuscirai a sfuggire al destino.""","""Corred cuanto queráis.
No lograréis burlar el destino.""","""Run all you like―you
can't escape fate.""","""Istediğin kadar koş;
kaderden kaçamazsın."""
53,MID_曲名_STRM_BGM_EVT_LEGEND1,"« Vous possédez un pouvoir
similaire au mien... »","""Deine Macht...
ähnelt der meinen...""","""Il tuo potere... è simile al mio.""","""Tu poder se asimila al mío.""","""You have power...
like mine.""","""Senin de... benimki gibi
bir gücün var."""
54,MID_曲名_STRM_BGM_EVT_LOVE1,"« Non, c'est un peu nouveau
pour moi, c'est tout... »","""Das ist es nicht.
Es kam nur so plötzlich.""","""Ah ah! Già, mi ci vorrà
un po' per abituarmici.""","""¡Uf! Me va a llevar algo de
tiempo acostumbrarme...""","""Ha ha! Yes, it will take
some getting used to!""","""Ha ha! Evet, alışmak
biraz zaman alacak!"""
55,MID_曲名_STRM_BGM_EVT_NAKAMA1,"« Nous y voilà. C'est la caserne
des Veilleurs. »","""Da wären wir!
Das Hauptquartier der Hirten.""","""Eccoci qua! La guarnigione
dei Pastori.""","""¡Hemos llegado! Este es el
cuartel de los Custodios.""","""Here we are!
The Shepherds' garrison.""","""İşte
buradayız! Çobanların garnizonu."""
56,MID_曲名_STRM_BGM_EVT_SAD1,"« Et si je n'étais pas digne de
perpétuer son œuvre ? »","""Aber kann ich das?
Bin ich ihrer Ideale würdig?""","""E se non ci riuscissi?""","""¿Y si no puedo? ¿Y si no soy
digno de continuar su labor?""","""And what if I can't? What if
I'm not worthy of her ideals?""","""Peki ya yapamazsam? Ya onun
ideallerine layık değilsem?"""
57,MID_曲名_STRM_BGM_EVT_SERIOUS1,"« Le chaos de cette nuit n'a
pas touché la ville, on dirait. »","""Es scheint, als wurden sie
vom Chaos verschont.""","""Sembra che non ci siano stati
disordini.""","""Parece que esos monstruos no
han llegado hasta aquí.""","""It appears the capital
was spared the chaos.""","""Görünüşe göre
başkent kaostan kurtulmuş."""
58,MID_曲名_STRM_BGM_EVT_SERIOUS2,« Un lien invisible nous unit. »,"""Diese Bande sind die wahre
Stärke dieser Armee.""","""Sono questi legami la vera
forza del nostro esercito.""","""Esos vínculos son la verdadera
fuerza de este ejército.""","""Such bonds are the true
strength of this army.""","""Bu tür bağlar bu
ordunun gerçek gücüdür."""
59,MID_曲名_STRM_BGM_EVT_TAIJI1,"« Tu n'es pas fait pour la paix !
Personne ne l'est ! »","""Dabei verstehst du nichts von
Frieden! Kein Mensch tut das!""","""Cosa ne vuoi sapere tu della
pace? Nessuno sa cosa sia!""","""¡No sabes nada sobre la paz!
¡Nadie lo sabe!""","""You don't know the first thing
about peace. No man does!""","""Barisla ilgili ilk şeyi
bilmiyorsun. Hiç kimse bilmiyor!"""
60,MID_曲名_STRM_BGM_EVT_TAIJI2,"« L'Armée des Ombres a déjà
progressé jusqu'ici ! »","""Verdammt, sind die Untoten
schon so weit vorgestoßen?""","""Per gli dei, i risorti sono
arrivati fin qui?""","""¡Cielos! ¡Los resurrectos ya
han llegado hasta aquí!""","""Gods, have the Risen
spread this far?""","""Tanrılar, Dirilenler bu
kadar uzağa mı yayıldı?"""
61,MID_曲名_STRM_BGM_EVT_TENNEN1,"« Pt'être que je me suis pas
bien rappelé... »","""Der Vaike erinnert sich hie und
da nicht gut, aber vergisst nie.""","""Io non dimentico mai nulla!""","""Vaike nunca olvida nada.""","""The Vaike never forgets! I just
don't always remember, is all.""","""Vaike asla unutmaz! Sadece her
zaman hatırlamıyorum, hepsi bu."""
62,MID_曲名_STRM_BGM_EVT_YASASHISA1,"« Chhh... Tout doux...
Je ne te veux aucun mal. »","""Schhh... Ruhig, Mädchen.
Ich tue dir nichts.""","""Shhh... Buona, buona.
Non ti farò del male.""","""Chsst... Calma, no te haré
daño.""","""Shhh... Easy now, girl.
I won't hurt you.""","""Şşşt... Şimdi sakin ol kızım.
Sana zarar vermeyeceğim."""
63,MID_曲名_STRM_BGM_EVT_MARTH1,"« Vous pouvez
m'appeler Marth. »","""Ihr könnt mich Marth nennen.""","""Potete chiamarmi Marth.""","""Podéis llamarme Marth.""","""You may call me Marth.""","""Bana Mert diyebilirsin."""
64,MID_曲名_STRM_BGM_EVT_MYUNIT1,"Id
(Sérénité)","Es
(Gelassenheit)","Es
(serenità)","Identidad
(Serenidad)","Id
(Serenity)","Kimlik
(Huzur)"
65,MID_曲名_STRM_BGM_EVT_MYUNIT2,"Id
(Tristesse)","Es
(Trauer)","Es
(rimpianto)","Identidad
(Aflicción)","Id
(Sorrow)","Kimlik
(Üzüntü)"
66,MID_曲名_STRM_BGM_EVT_MYUNIT3,"Id
(Dilemme)","Es
(Dilemma)","Es
(dilemma)","Identidad
(Dilema)","Id
(Dilemma)","Kimlik
(Ikilem)"
67,MID_曲名_STRM_BGM_EVT_MYUNIT4,"Id
(Noirceur)","Es
(Dunkelheit)","Es
(oscurità)","Identidad
(Oscuridad)","Id
(Darkness)","Kimlik
(Karanlık)"
68,MID_曲名_STRM_BGM_SYS_BASE1,"« Il serait sage de nous
préparer au combat. »","""Wir bereiten uns zur Sicherheit
besser auf einen Kampf vor.""","""Non dobbiamo farci
cogliere impreparati.""","""Será mejor que nos
preparemos para el combate.""","""We'd best prepare for
combat, just to be safe.""","""Güvende olmak için
savaşa hazırlansak iyi olur."""
69,MID_曲名_STRM_BGM_SYS_MYROOM1,"« Bien, bien... Si on prenait
un peu de repos ? »","""Wie auch immer, ich schlage
vor, wir rasten!""","""Bene, vogliamo riposarci
un po'?""","""Bueno, deberíamos descansar
un poco.""","""Well, shall we get
some rest?""","""Peki, biraz
dinlenelim mi?"""
70,MID_曲名_STRM_BGM_SYS_GMAP1,"« Juste une petite promenade
de santé ! »","""Ach, ist doch nur ein kleiner,
gesunder Spaziergang.""","""Prendila come una bella
camminata salutare!""","""¡No es para tanto! Un paseíto
de nada... Es hasta saludable.""","""Oh, it's not so bad, Lissa.
Just a healthy little walk!""","""Ah, o kadar da kötü değil Lissa.
Sadece sağlıklı, küçük bir yürüyüs!"""
71,MID_曲名_STRM_BGM_SYS_DEAD1,« Une belle descente ! »,"""Lebt wohl... meine Freunde...""","""Cala il sipario!""","""Adiós... amigos míos...""","""Farewell...my friends...""","""Elveda...arkadaşlarım..."""
72,MID_曲名_STRM_BGM_SYS_GAMEOVER1,"« Rappelez-moi de mourir avec
au moins autant de classe. »","""Ich muss mich bemühen, mit
halb so viel Anmut zu sterben.""","""Non ho mai visto nessuno
cadere con altrettanta grazia...""","""Nunca había visto a nadie caer
de un modo tan elegante.""","""I've never seen one
fall so gracefully.""","""Hiç bu kadar zarif bir
şekilde düşen birini görmemiştim."""
73,MID_曲名_STRM_BGM_SYS_CC2,"« L'acharnement dans l'effort
rend plus fort ! »","""Sehen wir doch mal, zu was ich
jetzt fähig bin.""","""La mia forza è costruita
sulla costanza.""","""¡Veamos de qué
soy capaz ahora!""","""Let's see what I'm
capable of now.""","""Şimdi neler
yapabileceğimi görelim."""
74,MID_曲名_STRM_BGM_SYS_SHOP1T,"« Je ne vends que des produits
de grande qualité ! »","""Nur die besten Waren.""","""Con me ho solo il meglio.""","""Solo tengo lo mejor.""","""I carry only the finest.""","""Ben sadece en iyiyi taşıyorum."""
75,MID_曲名_STRM_BGM_SYS_SHOP2T,« Le magasin est ouvert ! »,"""Wir haben geöffnet!""","""Siamo aperti!""","""¡Estamos abiertos!""","""Open for business!""","""Ise açık!"""
76,MID_曲名_STRM_BGM_SYS_MENU1,"Id
(Commencement)","Es
(Anfänge)","Es
(inizio)","Identidad
(Inicios)","Id
(Beginnings)","Kimlik
(Başlangiçlar)"
77,MID_背景名_緑街道1,Plaine,Ebene,Piana,Llano,Plain,Ova
78,MID_背景名_緑街道2,Forêt,Wald,Bosco,Bosque,Woods,Orman
79,MID_背景名_緑街道6,Bastion,Festung,Forte,Fuerte,Fort,Kale
80,MID_背景名_緑街道3,Collines,Hügel,Altura,Colina,Hills,Tepeler
81,MID_背景名_緑街道5,Eau,Wasser,Acqua,Agua,Water,Su
82,MID_背景名_緑街道4,Pont,Brücke,Ponte,Puente,Bridge,Köprü
83,MID_背景名_緑街道7,Mer,Meer,Mare,Mar,Sea,Deniz
84,MID_背景名_賢者の部屋1,Intérieur 1,Drinnen 1,Interno 1,Interiores 1,Indoors 1,İç mekan 1
85,MID_背景名_夜の物置1,Intérieur 2,Drinnen 2,Interno 2,Interiores 2,Indoors 2,İç mekan 2
86,MID_背景名_スリラーハウス1,Intérieur 3,Drinnen 3,Interno 3,Interiores 3,Indoors 3,İç mekan 3
87,MID_背景名_遺跡1,Ruines 1,Ruinen 1,Rovine 1,Ruinas 1,Ruins 1,Harabeler 1
88,MID_背景名_遺跡2,Ruines 2,Ruinen 2,Rovine 2,Ruinas 2,Ruins 2,Harabeler 2
89,MID_背景名_神龍の聖地1,Sanctuaire,Zuflucht,Santuario,Santuario,Sanctuary,Kutsal alan
90,MID_背景名_ミラの大樹1,Arbre de Mila,Der Milabaum,Albero di Mila,Árbol de Mila,Mila Tree,Mila Ağacı
91,MID_背景名_氷の遺跡1,Vestiges du temps,Die Ruinen der Zeit,Rovine del tempo,Ruinas del Tiempo,Ruins of Time,Zaman Harabeleri
92,MID_背景名_始まり山1,Pic de la Genèse,Berg des Ursprungs,Monte Genesi,Monte Primigenio,Origin Peak,Menşe Zirvesi
93,MID_背景名_虹山1,Mont Prismatique,Prismenberg,Monte Prism,Montaña del Prisma,Mount Prism,Prizma Dağı
94,MID_背景名_飛竜谷1,Vallée wyverne,Wyverntal,Valle della Viverna,Valle del Wyvern,Wyvern Valley,Wyvern Vadisi
95,MID_背景名_北国1,Plaine enneigée,Schneefeld,Campo innevato,Campo nevado,Snowfield,Kar alanı
96,MID_背景名_フェリア港1,Port 1,Hafen,Porto 1,Puerto,Port,Liman
97,MID_背景名_港町キール1,Port 2,Strand,Porto 2,Muelle,Harbour,Liman
98,MID_背景名_シュヴァイン要塞1,Babirussa - Ext.,Feste Steiger (auß.),Forte Steiger 1,Fuertefilón: exterior,Fort Steiger (Exterior),Fort Steiger (Dis)
99,MID_背景名_シュヴァイン要塞2,Fort Babirussa,Feste Steiger,Forte Steiger 2,Fuertefilón,Fort Steiger,Steiger Kalesi
100,MID_背景名_ヴァルキャッスル1,Chât. Valm (ext.),Vor Schloss Valm,Castello di Valm 1,Castillo Valm: prox.,Valm Castle Approach,Valm Kalesi Önü
101,MID_背景名_ヴァルキャッスル3,Château de Valm,Schloss Valm,Castello di Valm 2,Castillo de Valm,Valm Castle,Valm Kalesi
102,MID_背景名_イーリス城1,Cour d'Ylisstol,Ylisstol Innenhof,Corte di Ylisstol,Cast. Ylisstol: patio,Ylisstol Courtyard,Ylisstol Avlusu
103,MID_背景名_イーリス城2,Ylisstol,Ylisstol,Ylisstol,Ylisstol,Ylisstol,Ylisstol
104,MID_背景名_闇の祭壇1,Devant l'autel,Vor der Tafel,Accesso all'altare,Altar Dragón: ext.,Table Approach,Tablo Yaklaşımı
105,MID_背景名_闇の祭壇2,Autel du Dragon,Die Tafel des Drachen,Altare del Drago,Altar del Dragón,Dragon's Table,Ejderha Masası
106,MID_背景名_崖の道1,Falaises,Klippen,Dirupo,Precipicio,Cliffs,Kayaliklar
107,MID_背景名_ペレジア3,Château de Plegia,Schloss Plegia,Castello di Plegia,Castillo de Plegia,Plegia Castle,Plegia Kalesi
108,MID_背景名_ペレジア1,Désert,Wüste,Deserto,Arena,Desert,Çöl
109,MID_背景名_ペレジア2,Oasis,Oase,Oasi,Oasis,Oasis,Vaha
110,MID_背景名_ギム骨城1,Chât. Plegia (ext.),Burghof Plegia,Corte plegiana,Cast. Plegia: patio,Plegia Courtyard,Plegia Avlusu
111,MID_背景名_荒野1,Terre abandonnée 1,Ödland 1,Landa 1,Yermo 1,Wasteland 1,Çorak arazi 1
112,MID_背景名_荒野2,Terre abandonnée 2,Ödland 2,Landa 2,Yermo 2,Wasteland 2,Çorak arazi 2
113,MID_背景名_荒野3,Vallée de la lune,Mondlichttal,Chiaro di luna,Valle de la Luna,Moonlit Valley,Mehtapli Vadi
114,MID_背景名_闘技場1,Arène de Ferox,Feroxer Arena,Arena Ferox,Coliseo de Ferox,Arena Ferox,Arena Ferox
115,MID_背景名_ドーマの臓物1,Fournaise du Démon,Dämonenschlot,Fornace del Demone,Chimenea Diablo,Demon's Ingle,Şeytanın Pençesi
116,MID_背景名_万里1,Castelong,Die Mauerfestung,Fortelungo,Fuerteluengo,Longfort,Longfort
117,MID_背景名_船上1,Navire de guerre,Kriegsschiff,Nave da guerra,Buque de guerra,Warship,Savaş gemisi
118,MID_背景名_森夜2,Forêt de la nuit,Nächtlicher Wald,Foresta di notte,Bosque nocturno,Night Forest,Gece Ormani
119,MID_背景名_森夜1,Village abandonné,Verlassenes Dorf,Villaggio in rovina,Aldea abandonada,Abandoned Village,Terkedilmis Köy
120,MID_背景名_山火事夜1,Cataclysme,Kataklysmus,Cataclisma,Cataclismo,Cataclysm,Felaket
121,MID_背景名_山道1,Route de montagne,Gebirgspass,Passo montano,Paso montañoso,Mountain Pass,Dağ geçidi
122,MID_背景名_サンセット1,Plaine du couchant,Ebene im Abendrot,Piana di sera,Llano crepuscular,Sunset Plain,Gün Batimi Ovasi
123,MID_背景名_サンセット3,Plage du couchant,Strand im Abendrot,Spiaggia di sera,Playa crepuscular,Sunset Beach,Gün Batimi Plaji
124,MID_背景名_サンセット4,Ruines 3,Ruinen 3,Rovine 3,Ruinas 3,Ruins 3,Harabeler 3
125,MID_背景名_嵐の夜1,Plaine orageuse,Stürmische Ebene,Piana tempestosa,Llano tormentoso,Stormy Plain,Fırtınalı Ova
126,MID_背景名_嵐の夜3,Plage orageuse,Stürmischer Strand,Mare in burrasca,Playa tormentosa,Stormy Beach,Fırtınalı Plaj
