ID,English,French,German,Italian,Spanish,Original Turkish,Revised Turkish,Status,Reason
0x000A,[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],KORUNDU,
0x000B,[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],KORUNDU,
0x000C,Options,Options,Optionen,Opzioni,Opciones,Seçenekler,Seçenekler,KORUNDU,
0x000D,Up to Area 1,Vers la zone 1,Im Bereich 1,Fino ad area 1,Hacia la zona 1,1. Bölgeye kadar,1. Bölgeye kadar,KORUNDU,
0x000E,Up to Area 2,Vers la zone 2,Im Bereich 2,Fino ad area 2,Hacia la zona 2,2. Bölgeye kadar,2. Bölgeye kadar,KORUNDU,
0x000F,Up to Area 3,Vers la zone 3,Im Bereich 3,Fino ad area 3,Hacia la zona 3,3. Bölgeye kadar,3. Bölgeye kadar,KORUNDU,
0x0010,Up to Area 4,Vers la zone 4,Im Bereich 4,Fino ad area 4,Hacia la zona 4,4. Bölgeye kadar,4. Bölgeye kadar,KORUNDU,
0x0011,Yes,Oui,Ja,Sì,Sí,Evet,Evet,KORUNDU,
0x0012,No,Non,Nein,No,No,Hayır,Hayır,KORUNDU,
0x0013,Which file would you like to load?,Quel fichier voulez-vous charger ?,Welche Speicherdatei möchtest du laden?,Quale file vuoi caricare?,¿Qué archivo quieres?,Hangi dosyayı yüklemek istersin?,Hangi dosyayı yüklemek istersin?,KORUNDU,
0x0014,Welcome to your mansion...,Bienvenue dans votre manoir...,Willkommen in deiner Villa...,Benvenuto nel tuo palazzo...,"Pasa, la mansión es tuya...",Konağına hoş geldin...,Konağına hoş geldin...,KORUNDU,
0x0015,Welcome to  our mansion...,Bienvenue dans notre manoir...,Willkommen in unserer Villa...,Benvenuto nel nostro palazzo...,"Pasa, la mansión es nuestra...",Konağımıza hoş geldin...,Konağımıza hoş geldin...,KORUNDU,
0x0016,New Game,Nouvelle partie,Neues Spiel,Nuovo gioco,Partida nueva,Yeni Oyun,Yeni Oyun,KORUNDU,
0x0017,No Data,Pas de données,Keine Daten,Dati non presenti,No hay datos.,Veri Yok,Veri Yok,KORUNDU,
0x0019,Start Game,Démarrer la partie,Spiel beginnen,Avvia il gioco,Comenzar,Oyuna Başla,Oyuna Başla,KORUNDU,
0x001A,Delete File,Effacer le fichier,Datei löschen,Cancella il file,Borrar archivo,Dosyayı Sil,Dosyayı Sil,KORUNDU,
0x001B,Are you sure you want to delete?,Voulez-vous vraiment effacer ce fichier ?,Wirklich löschen?,Vuoi davvero cancellare questo file?,¿Seguro que quieres borrarlo?,Silmek istediğine emin misin?,Silmek istediğine emin misin?,KORUNDU,
0x001C,Change settings with left/right.,Changer les paramètres : gauche / droite ,Einstellungen ändern: links/rechts,Usa sin./destra per cambiare le impostazioni.,Cambiar ajustes: izquierda/derecha,Ayarları sol/sağ ile değiştir.,Ayarları sol/sağ ile değiştir.,KORUNDU,
0x001D,0,0,0,0,0,0,0,KORUNDU,
0x001E,1,1,1,1,1,1,1,KORUNDU,
0x001F,2,2,2,2,2,2,2,KORUNDU,
0x0020,3,3,3,3,3,3,3,KORUNDU,
0x0021,Move Mode,Déplacements,Steuerung,Spostamento,Tipo de movimiento,Hareket Biçimi,Hareket Biçimi,KORUNDU,
0x0022,Standard,Standards,Standard,Normale,Estándar,Standart,Standart,KORUNDU,
0x0023,Sidestep,Latéraux,Seitwärts,Laterale,Paso lateral,Yan Adım,Yan Adım,KORUNDU,
0x0024,C Stick,Stick C,C-Stick,Stick C,Palanca C,C Stick,C Stick,KORUNDU,
0x0025,Standard,Normal,Standard,Normale,Estándar,Standart,Standart,KORUNDU,
0x0026,Inverted,Inversé,Invers,Inverso,Invertido,Ters,Ters,KORUNDU,
0x0028,Circle Pad Pro,Pad circulaire Pro,Schiebepad Pro,Pad scorrevole pro,Botón deslizante Pro,Circle Pad Pro,Circle Pad Pro,KORUNDU,
0x0029,Enabled,Activé,Aktiviert,Attivato,Activado,Açık,Açık,KORUNDU,
0x002A,Disabled,Désactivé,Deaktiviert,Disattivato,Desactivado,Kapalı,Kapalı,KORUNDU,
0x002B,Circle Pad Pro Adjustment,Régler le pad circulaire Pro,Schiebepad Pro einstellen,Imp. pad scorrevole pro,Ajustes del botón deslizante Pro,Circle Pad Pro Ayarı,Circle Pad Pro Ayarı,KORUNDU,
0x002C,OK!,OK !,OK!,OK!,¡Ya está!,Tamam!,Tamam!,KORUNDU,
0x002E,Turns in the direction you tilt the<br>C Stick toward.<br>Tilt it up and Luigi will look up.<br>Tilt it down and Luigi will look down.,Stick C - Directions standard<br>Déplacez le stick C vers le haut<br>pour que Luigi regarde en haut.<br>Déplacez-le vers le bas<br>pour qu'il regarde en bas.,"Du drehst dich in die Richtung,<br>in die du den C-Stick neigst.<br>Neige den C-Stick nach oben, um<br>nach oben zu gucken, und nach<br>unten, um nach unten zu gucken.","Luigi si muove nella direzione<br>in cui inclini lo stick C.<br>Se lo inclini in alto, Luigi guarda<br>in su. Se lo inclini in basso, Luigi<br>guarda in giù.","Sigue la dirección de la palanca C.<br>Si la mueves hacia arriba o hacia<br>abajo, Luigi mirará en esa dirección.",C Stick'i hangi yöne itersen Luigi o<br>yöne döner.<br>Yukarı itersen yukarı bakar.<br>Aşağı itersen aşağı bakar.,C Stick'i hangi yöne itersen Luigi o<br>yöne döner.<br>Yukarı itersen yukarı bakar.<br>Aşağı itersen aşağı bakar.,KORUNDU,
0x002F,"Turns in the direction you tilt the<br>C Stick, but inverts up/down.<br>Tilt it up and Luigi will look down.<br>Tilt it down and Luigi will look up.",Stick C - Directions inversées<br>Déplacez le stick C vers le bas<br>pour que Luigi regarde en haut.<br>Déplacez-le vers le haut<br>pour qu'il regarde en bas.,"Du drehst dich in die Richtung,<br>in die du den C-Stick neigst.<br>Neige den C-Stick nach oben, um<br>nach unten zu gucken, und nach<br>unten, um nach oben zu gucken.","Luigi si muove nella direzione in<br>cui inclini lo stick C. Su/Giù sono<br>invertiti. Se lo inclini in alto, Luigi<br>guarda in giù. Se lo inclini in basso,<br>Luigi guarda in su.","Sigue la dirección de la palanca C,<br>pero invierte las direcciones<br>arriba/abajo. Si la mueves hacia<br>arriba o hacia abajo, Luigi mirará<br>en la dirección contraria.","C Stick'i hangi yöne itersen Luigi o<br>yöne döner, ama yukarı/aşağı ters<br>çalışır.<br>Yukarı itersen aşağı bakar.<br>Aşağı itersen yukarı bakar.","C Stick'i hangi yöne itersen Luigi o<br>yöne döner, ama yukarı/aşağı ters<br>çalışır.<br>Yukarı itersen aşağı bakar.<br>Aşağı itersen yukarı bakar.",KORUNDU,
0x0031,"You can adjust motion control<br>sensitivity. There are four levels--<br>3 is the maximum, and 0 disables<br>motion controls.","Vous pouvez ajuster la sensibilité<br>des commandes par mouvements<br>selon quatre niveaux, de la plus<br>faible (0, qui désactive la fonction)<br>à la plus forte (3).",Du kannst die Empfindlichkeit der<br>Bewegungssteuerung vierstufig<br>anpassen.<br>Stufe 3: maximale Empfindlichkeit<br>Stufe 0: Bewegungsst. deaktiviert,"Regola la sensibilità dei comandi<br>di movimento in base a quattro<br>livelli, dove 3 è il massimo mentre<br>0 disabilita i comandi di movimento.","Puedes ajustar la sensibilidad<br>de los controles por movimiento.<br>Hay cuatro niveles: 0-3, donde<br>0 los desactiva y 3 es el máximo.","Hareket kontrolü hassasiyetini<br>ayarlayabilirsin. Dört seviye vardır--<br>3 en yüksek düzeydir, 0 ise<br>hareket kontrolünü kapatır.","Hareket kontrolü hassasiyetini<br>ayarlayabilirsin. Dört seviye vardır:<br>3 en yüksek düzeydir, 0 ise<br>hareket kontrolünü kapatır.",DÜZELTİLDİ,Noktalama ve anlatım doğallaştırıldı.
0x0032,You can use the Circle Pad (R) on the<br>Nintendo 3DS Circle Pad Pro to<br>change the direction of the<br>Poltergust 3000.,Vous pouvez utiliser le pad<br>circulaire droit sur le pad circulaire<br>Pro Nintendo 3DS pour changer<br>la direction de l'Ectoblast 3000.,Mit dem Schiebepad (R) auf dem<br>Nintendo 3DS-Schiebepad Pro<br>kannst du die Ausrichtung des<br>Schreckweg 08/16 ändern.,Puoi cambiare la direzione del<br>Poltergust 3000 utilizzando il<br>pad scorrevole destro del pad<br>scorrevole pro per Nintendo 3DS.,Puedes usar el botón deslizante<br>derecho del botón deslizante Pro<br>para controlar la dirección<br>de la Succionaentes 3000.,Nintendo 3DS Circle Pad Pro üzerindeki<br>Circle Pad (R) ile Poltergust 3000'in<br>yönünü değiştirebilirsin.,Nintendo 3DS Circle Pad Pro üzerindeki<br>Circle Pad (R) ile Poltergust 3000'in<br>yönünü değiştirebilirsin.,KORUNDU,
0x0033,You can adjust the sensitivity of<br>the Nintendo 3DS Circle Pad Pro.,Vous pouvez ajuster la sensibilité<br>du pad circulaire Pro Nintendo 3DS.,Du kannst die Empfindlichkeit des<br>Nintendo 3DS-Schiebepad Pro<br>kalibrieren.,Regola la sensibilità del pad<br>scorrevole pro per Nintendo 3DS.,Puedes ajustar la sensibilidad<br>del botón deslizante Pro<br>de Nintendo 3DS.,Nintendo 3DS Circle Pad Pro'nun<br>hassasiyetini ayarlayabilirsin.,Nintendo 3DS Circle Pad Pro'nun<br>hassasiyetini ayarlayabilirsin.,KORUNDU,
0x0034,Confirm settings and return<br>to the previous screen.,Confirmez les paramètres et<br>retournez à l'écran précédent.,Bestätige die Einstellungen und<br>kehre zum vorherigen Bildschirm<br>zurück.,Conferma le impostazioni e torna<br>allo schermo precedente.,Confirma los ajustes y regresa<br>a la pantalla anterior.,Ayarları onayla ve önceki ekrana dön.,Ayarları onayla ve önceki ekrana dön.,KORUNDU,
0x0035,"This software supports the<br>Nintendo 3DS Circle Pad Pro.<br>If you are using one, please press the<br>ZR Button on your Circle Pad Pro now.",Ce logiciel est compatible avec le pad<br>circulaire Pro Nintendo 3DS. Appuyez<br>sur le bouton ZR si vous avez un<br>pad circulaire Pro Nintendo 3DS.,"Diese Software unterstützt das<br>Nintendo 3DS-Schiebepad Pro. Wenn<br>du eines verwendest, drücke jetzt den<br>ZR-Knopf auf deinem Schiebepad Pro.",Questo software è compatibile con il<br>pad scorrevole pro per Nintendo 3DS.<br>Premi il pulsante ZR se hai un pad<br>scorrevole pro per Nintendo 3DS.,"Este programa es compatible con el<br>botón deslizante Pro de Nintendo 3DS.<br>Si quieres utilizarlo, pulsa el botón ZR.",Bu yazılım Nintendo 3DS Circle Pad<br>Pro'yu destekler.<br>Kullanıyorsan lütfen şimdi Circle Pad<br>Pro'ndaki ZR düğmesine bas.,Bu yazılım Nintendo 3DS Circle Pad<br>Pro'yu destekler.<br>Kullanıyorsan lütfen şimdi Circle Pad<br>Pro'ndaki ZR düğmesine bas.,KORUNDU,
0x0036,Connection failed.<br>Please check and make sure that the<br>Nintendo 3DS Circle Pad Pro is<br>connected and sufficiently charged.,La connexion a échoué.<br>Assurez-vous que le pad circulaire Pro<br>Nintendo 3DS est bien connecté et que<br>sa pile a suffisamment d'énergie.,"Verbindung fehlgeschlagen. Stelle<br>sicher, dass das Nintendo 3DS-<br>Schiebepad Pro angeschlossen und<br>die Batterie ausreichend geladen ist.",Impossibile effettuare il collegamento.<br>Verifica che il pad scorrevole pro per<br>Nintendo 3DS sia collegato e carico.,No se ha podido establecer la conexión.<br>Comprueba que el botón deslizante Pro<br>esté acoplado correctamente y que el<br>nivel de carga de la pila sea suficiente.,Bağlantı kurulamadı.<br>Lütfen Nintendo 3DS Circle Pad Pro'nun<br>bağlı olduğundan ve şarjının yeterli<br>olduğundan emin ol.,Bağlantı kurulamadı.<br>Lütfen Nintendo 3DS Circle Pad Pro'nun<br>bağlı olduğundan ve şarjının yeterli<br>olduğundan emin ol.,KORUNDU,
0x0037,The battery is running low for<br>the Nintendo 3DS Circle Pad Pro.<br>Please replace the battery.,La pile du pad circulaire Pro<br>Nintendo 3DS est presque vide.<br>Veuillez remplacer la pile.,Die Batterie des Nintendo 3DS-<br>Schiebepad Pro verfügt nur noch<br>über wenig Ladung. Bitte ersetze sie.,La batteria del pad scorrevole pro<br>per Nintendo 3DS è scarica.<br>Sostituisci la batteria.,La pila del botón deslizante Pro<br>de Nintendo 3DS está a punto de<br>agotarse. Cámbiala.,Nintendo 3DS Circle Pad Pro'nun<br>pili azaldı.<br>Lütfen pili değiştir.,Nintendo 3DS Circle Pad Pro'nun<br>pili azaldı.<br>Lütfen pili değiştir.,KORUNDU,
0x0038,The Nintendo 3DS Circle Pad Pro<br>has been deactivated.<br>This setting can be changed in<br>Options or from the pause menu.,"Le pad circulaire Pro Nintendo 3DS<br>a été désactivé. Vous pouvez modifier<br>ce paramètre dans les options,<br>ou dans le menu de pause.",Das Nintendo 3DS-Schiebepad Pro<br>wurde deaktiviert. Diese Einstellung<br>kann in den Optionen des Pausenmenüs<br>geändert werden.,"Il pad scorrevole pro per Nintendo 3DS<br>è stato disattivato. Per cambiare questa<br>impostazione, vai in Opzioni o accedi<br>al menu di pausa.",El botón deslizante Pro está<br>desactivado. Puedes cambiar este<br>ajuste en el menú de opciones o en<br>el menú de pausa.,Nintendo 3DS Circle Pad Pro<br>devre dışı bırakıldı.<br>Bu ayar Seçenekler'den ya da<br>duraklatma menüsünden<br>değiştirilebilir.,Nintendo 3DS Circle Pad Pro<br>devre dışı bırakıldı.<br>Bu ayar Seçeneklerden ya da<br>duraklatma menüsünden<br>değiştirilebilir.,DÜZELTİLDİ,Gereksiz kesme işareti kaldırıldı.
0x0039,Spray Element,Élément à vaporiser,Spritz-Element,Spruzza elemento,Rociar elemento,Element Püskürt,Elementi Püskürt,DÜZELTİLDİ,Belirtme durumu eklendi.
0x003A,Shoot Element,Élément à tirer,Schieß-Element,Spara elemento,Disparar elemento,Element Ateşle,Elementi Ateşle,DÜZELTİLDİ,Belirtme durumu eklendi.
0x003B,Motion Controls,Gyroscope,Bewegungsst.,Comandi mov.,Controles mov.,Hareket Kontrolleri,Hareket Kontrolleri,KORUNDU,
0x003C,Sensitivity,Sensibilité,Empfindlichkeit,Sensibilità,Sensibilidad,Hassasiyet,Hassasiyet,KORUNDU,
0x003F,Options,Options,Optionen,Opzioni,Opciones,Seçenekler,Seçenekler,KORUNDU,
0x0040,Change Settings,Changer les paramètres,Einstellungen ändern,Cambia le impostazioni,Cambiar ajustes,Ayarları Değiştir,Ayarları Değiştir,KORUNDU,
0x0041,Cancel changes and return<br>to the previous screen?,Annuler les changements et<br>retourner à l'écran précédent ?,Änderungen nicht speichern und zum<br>vorherigen Bildschirm zurückkehren?,Vuoi annullare i cambiamenti fatti<br>e tornare allo schermo precedente?,¿Quieres descartar los cambios<br>y volver a la pantalla anterior?,Değişiklikleri iptal edip<br>önceki ekrana dönmek istiyor musun?,Değişiklikleri iptal edip<br>önceki ekrana dönmek istiyor musun?,KORUNDU,
0x0042,Flashlight Setting,Lampe de poche,Taschenlampe,Tipo di torcia,Ajustes de la linterna,El Feneri Ayarı,El Feneri Ayarı,KORUNDU,
0x0043,Original,Originale,Original,Originale,Original,Orijinal,Orijinal,KORUNDU,
0x0044,Strobulb,Spectroflash,Stroboblitz,Strobobulbo,Estrobombilla,Strobulb,Flaşampul,DÜZELTİLDİ,v6 manuel kontrol: EN/FR/DE/IT/ES karşılaştırmasıyla oyun terimi Türkçede daha doğal ve yaratıcı biçimde yerelleştirildi.
0x0045,A regular flashlight. Shining its<br>light on ghosts will surprise them.<br>Use the A Button to turn it off.,Lampe de poche normale dont la<br>lumière surprend les fantômes.<br>Utilisez le bouton A pour l'éteindre.,"Normale Taschenlampe. Überrasche<br>Geister, indem du sie anleuchtest.<br>Mit [0008:00000001] schaltest du die Lampe aus.","Una normale torcia, la cui luce<br>sorprende i fantasmi.<br>Usa il pulsante [0008:00000001] per spegnerla.",Una linterna normal. Su luz<br>sorprende a los fantasmas.<br>Pulsa el botón A para apagarla.,Sıradan bir el feneri. Işığını<br>hayaletlere tutunca afallarlar.<br>A Düğmesi ile kapatabilirsin.,Sıradan bir el feneri. Işığını<br>hayaletlere tutunca afallarlar.<br>A Düğmesi ile kapatabilirsin.,KORUNDU,
0x0046,"Use the A Button to emit a powerful,<br>ghost-scaring light. Charge it up<br>to increase the area it affects.",Utilisez le bouton A pour créer un<br>rayon puissant. Chargez-le pour<br>augmenter son rayon d'action.,"Drücke [0008:00000001], um Geister mit grellem<br>Licht zu erschrecken. Größerer<br>Wirkungsbereich, wenn aufgeladen.",Usa il pulsante [0008:00000001] per spaventare gli<br>spettri con un forte raggio. Caricalo<br>per aumentarne il raggio d'azione.,"Pulsa el botón A para emitir una<br>potente luz. Si la cargas, aumenta<br>el área iluminada.",A Düğmesi ile hayaletleri ürküten<br>güçlü bir ışık yay.<br>Şarj ederek etki alanını<br>büyütebilirsin.,A Düğmesi ile hayaletleri ürküten<br>güçlü bir ışık yay.<br>Şarj ederek etki alanını<br>büyütebilirsin.,KORUNDU,
0x0047,Up/Down Sensitivity,Sensibilité haut/bas,Empfindl. ob./unten,Sensibilità su/giù,Sens. arriba/abajo,Yukarı/Aşağı Hassasiyeti,Yukarı/Aşağı Hassasiyeti,KORUNDU,
0x0048,[0008:00000005] Page 1,[0008:00000005] Page 1,[0008:00000005] Seite1,[0008:00000005] Pagina 1,[0008:00000005] Página 1,[0008:00000005] Sayfa 1,[0008:00000005] Sayfa 1,KORUNDU,
0x0049,Page 2 [0008:00000006],Page 2 [0008:00000006],Seite 2 [0008:00000006],Pagina 2 [0008:00000006],Página 2 [0008:00000006],Sayfa 2 [0008:00000006],Sayfa 2 [0008:00000006],KORUNDU,
0x004A,"You can adjust the Circle Pad (R)'s<br>up/down sensitivity between 0 and 3,<br>with 0 being the least sensitive and<br>3 being the maximum.","Vous pouvez ajuster la sensibilité<br>du pad circulaire droit pour regarder<br>en haut et en bas, de la plus faible<br>(0) à la plus forte (3).","Stelle ein, wie empfindlich das<br>Schiebepad (R) bei Bewegungen<br>nach oben/unten reagiert.<br>Stufe 0: kaum empfindlich<br>Stufe 3: maximale Empfindlichkeit","Regola la sensibilità del pad<br>scorrevole destro per guardare<br>in alto e in basso, da quella<br>minima (0) a quella massima (3).","Puedes ajustar la sensibilidad de<br>las direcciones arriba/abajo del<br>botón deslizante derecho. Hay<br>cuatro niveles: 0-3, de menos a más.","Circle Pad (R)'in yukarı/aşağı<br>hassasiyetini 0 ile 3 arasında<br>ayarlayabilirsin.<br>0 en düşük, 3 ise en yüksek<br>hassasiyettir.","Circle Pad (R)'in yukarı/aşağı<br>hassasiyetini 0 ile 3 arasında<br>ayarlayabilirsin.<br>0 en düşük, 3 ise en yüksek<br>hassasiyettir.",KORUNDU,
0x004B,,,,,,,,KORUNDU,
0x004D,Deleting data...,Effacement des données...,Daten werden gelöscht...,Cancellazione dei dati in corso...,Borrando los datos...,Veriler siliniyor...,Veriler siliniyor...,KORUNDU,
0x004E,Finished deleting data.,Les données ont été effacées.,Löschvorgang abgeschlossen.,Dati cancellati.,Se han borrado los datos.,Veri silme tamamlandı.,Veri silme tamamlandı.,KORUNDU,
0x004F,Failed to load data.,Le chargement des données a échoué.,Die Daten konnten nicht<br>geladen werden.,Impossibile caricare i dati.,No se han podido cargar los datos.,Veri yüklenemedi.,Veri yüklenemedi.,KORUNDU,
0x0050,[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],KORUNDU,
0x0051,[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007],KORUNDU,
0x0052,[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008],KORUNDU,
0x0053,Strobulb,Spectroflash,Stroboblitz,Strobobulbo,Estrobombilla,Strobulb,Flaşampul,DÜZELTİLDİ,v6 manuel kontrol: EN/FR/DE/IT/ES karşılaştırmasıyla oyun terimi Türkçede daha doğal ve yaratıcı biçimde yerelleştirildi.
0x0054,Mansion,Manoir,Villa,Palazzo,Mansión,Konak,Konak,KORUNDU,
0x0055,Hidden Mansion,Le manoir caché,Versteckte Villa,Palazzo nascosto,Mansión oculta,Gizli Konak,Gizli Konak,KORUNDU,
0x005E,[0011:011A],[0011:011A],[0011:011A],[0011:011A],[0011:011A],[0011:011A],[0011:011A],KORUNDU,
0x005F,[0011:011B],[0011:011B],[0011:011B],[0011:011B],[0011:011B],[0011:011B],[0011:011B],KORUNDU,
0x0060,Copy Data,Copier les données,Daten kopieren,Copia i dati,Copiar datos,Veriyi Kopyala,Veriyi Kopyala,KORUNDU,
0x0061,Where do you want to copy to?,Où désirez-vous les copier ?,Daten wohin kopieren?,Dove vuoi copiarli?,¿Dónde quieres copiarlos?,Nereye kopyalamak istiyorsun?,Nereye kopyalamak istiyorsun?,KORUNDU,
0x0062,Copying data...,Copie des données...,Kopiervorgang läuft...,Copia dei dati in corso...,Copiando datos...,Veri kopyalanıyor...,Veri kopyalanıyor...,KORUNDU,
0x0063,Finished copying data.,Copie des données terminée.,Kopiervorgang abgeschlossen.,Dati copiati.,Se han copiado los datos.,Veri kopyalama tamamlandı.,Veri kopyalama tamamlandı.,KORUNDU,
0x0065,Save,Sauvegarder,Speichern,Salva,Guardar,Kaydet,Kaydet,KORUNDU,
0x0066,Never mind,Annuler,Abbrechen,Non importa...,Luego,Boş ver,Vazgeç,DÜZELTİLDİ,Kaydet/Vazgeç menüsünde diğer Avrupa dillerinin “iptal” işlevi esas alınarak daha doğal UI karşılığı seçildi.
0x0067,Saving... Don't power down.,Sauvegarde... N'éteignez pas la console.,Speichern... Nicht ausschalten.,Salvataggio... Non spegnere la console.,Guardando... No apagues la consola.,Kaydediliyor... Gücü kapatma.,Kaydediliyor... Konsolu kapatma.,DÜZELTİLDİ,Power down ifadesi konsol bağlamına uygunlaştırıldı.
0x0068,Saving complete.,Sauvegarde terminée.,Speichern abgeschlossen.,Salvataggio completato.,Se han guardado los datos.,Kayıt tamamlandı.,Kayıt tamamlandı.,KORUNDU,
0x0069,[0008:00000002] To Title Screen,[0008:00000002] Vers l'écran titre,[0008:00000002] Titelbildschirm,[0008:00000002] Schermo del titolo,[0008:00000002] Pantalla del título,[0008:00000002] Başlık Ekranına,[0008:00000002] Başlık Ekranına,KORUNDU,
0x006A,Go to the mansion.,Aller au manoir.,Begib dich zur Villa.,Vai al palazzo.,Ve a la mansión.,Konağa git.,Konağa git.,KORUNDU,
0x006B,Go to the hidden mansion for<br>a greater challenge.,Aller au manoir caché pour<br>un plus grand défi.,Suche die versteckte Villa auf.<br>Dort wird es schwieriger.,Vai al palazzo nascosto per<br>una sfida più impegnativa.,Ve a la mansión oculta para<br>enfrentarte a un desafío mayor.,Daha zorlu bir meydan okuma için<br>gizli konağa git.,Daha zorlu bir meydan okuma için<br>gizli konağa git.,KORUNDU,
0x006C,Practice your ghost catching.,S'entraîner à attraper<br>des fantômes.,Übe das Einfangen von Geistern.,Allenati a catturare fantasmi.,Practica la caza de fantasmas.,Hayalet avı alıştırması yap.,Hayalet avı alıştırması yap.,KORUNDU,
0x006D,View the portraits of<br>captured ghosts.,Voir les portraits des<br>fantômes capturés.,Sieh dir die Gemälde<br>eingefangener Geister an.,Dai un'occhiata ai ritratti<br>dei fantasmi catturati.,Echa un vistazo a los retratos de<br>los fantasmas que has atrapado.,Yakalanan hayaletlerin<br>portrelerine bak.,Yakalanan hayaletlerin<br>portrelerine bak.,KORUNDU,
0x006E,Save exploration progress.,Sauvegarder la progression<br>de l'exploration.,Speichere den Fortschritt<br>deiner Erkundungen.,Salva i progressi ottenuti nel corso<br>della tua esplorazione.,Guarda el progreso<br>de tu exploración.,Keşif ilerlemesini kaydet.,Keşif ilerlemesini kaydet.,KORUNDU,
0x006F,Play with others<br>via Local Play.<br><br>The gallery and training room can<br>also be played via Download Play.,Jouez avec d'autres joueurs<br>grâce au mode multijoueur local.<br>Vous pouvez accéder à la galerie<br>et à la salle d'entraînement<br>grâce au mode téléchargement.,Spiele mit anderen ein lokales<br>Spiel.<br>Die Galerie und der Trainingsraum<br>stehen auch im Download-Spiel<br>zur Verfügung.,Gioca insieme ad altri utenti tramite<br>la modalità wireless.<br>La galleria e la sala addestramento<br>sono accessibili anche tramite la<br>modalità download.,Juega con otras personas mediante<br>el juego local.<br>También se puede acceder a la<br>galería y a la sala de prácticas<br>a través del modo descarga.,Yerel Oyun ile başkalarıyla oyna.<br>Galeri ve eğitim odası<br>İndirme Oyunu ile de oynanabilir.,Yerel Oyun ile başkalarıyla oyna.<br>Galeri ve eğitim odası<br>İndirme Oyunu ile de oynanabilir.,KORUNDU,
