ID,CriticalControlsMatch,ExactSameAsEnglish,TurkishSpecialChars,English,Turkish,EnglishCriticalControls,TurkishCriticalControls
0x0048,YES,NO,,[0008:00000005] Page 1,[0008:00000005] Sayfa 1,"[(8, 5)]","[(8, 5)]"
0x0049,YES,NO,,Page 2 [0008:00000006],Sayfa 2 [0008:00000006],"[(8, 6)]","[(8, 6)]"
0x004A,YES,NO,üğış,"You can adjust the Circle Pad (R)'s<br>up/down sensitivity between 0 and 3,<br>with 0 being the least sensitive and<br>3 being the maximum.","Circle Pad (R)'in yukarı/aşağı<br>hassasiyetini 0 ile 3 arasında<br>ayarlayabilirsin.<br>0 en düşük, 3 ise en yüksek<br>hassasiyettir.",[],[]
0x004B,YES,YES,,,,[],[]
0x004D,YES,NO,,Deleting data...,Veriler siliniyor...,[],[]
0x004E,YES,NO,ı,Finished deleting data.,Veri silme tamamlandı.,[],[]
0x004F,YES,NO,ü,Failed to load data.,Veri yüklenemedi.,[],[]
0x0050,YES,YES,,[0011:0006],[0011:0006],"[(17, 6)]","[(17, 6)]"
0x0051,YES,YES,,[0011:0007],[0011:0007],"[(17, 7)]","[(17, 7)]"
0x0052,YES,YES,,[0011:0008],[0011:0008],"[(17, 8)]","[(17, 8)]"
0x0053,YES,NO,ş,Strobulb,Flaşampul,[],[]
0x0054,YES,NO,,Mansion,Konak,[],[]
0x0055,YES,NO,,Hidden Mansion,Gizli Konak,[],[]
0x005E,YES,YES,,[0011:011A],[0011:011A],"[(17, 282)]","[(17, 282)]"
0x005F,YES,YES,,[0011:011B],[0011:011B],"[(17, 283)]","[(17, 283)]"
0x0060,YES,NO,,Copy Data,Veriyi Kopyala,[],[]
0x0061,YES,NO,,Where do you want to copy to?,Nereye kopyalamak istiyorsun?,[],[]
0x0062,YES,NO,ı,Copying data...,Veri kopyalanıyor...,[],[]
0x0063,YES,NO,ı,Finished copying data.,Veri kopyalama tamamlandı.,[],[]
0x0065,YES,NO,,Save,Kaydet,[],[]
0x0066,YES,NO,ç,Never mind,Vazgeç,[],[]
0x0067,YES,NO,,Saving... Don't power down.,Kaydediliyor... Konsolu kapatma.,[],[]
0x0068,YES,NO,ı,Saving complete.,Kayıt tamamlandı.,[],[]
0x0069,YES,NO,ış,[0008:00000002] To Title Screen,[0008:00000002] Başlık Ekranına,"[(8, 2)]","[(8, 2)]"
0x006A,YES,NO,ğ,Go to the mansion.,Konağa git.,[],[]
0x006B,YES,NO,çğ,Go to the hidden mansion for<br>a greater challenge.,Daha zorlu bir meydan okuma için<br>gizli konağa git.,[],[]
0x006C,YES,NO,ış,Practice your ghost catching.,Hayalet avı alıştırması yap.,[],[]
0x006D,YES,NO,,View the portraits of<br>captured ghosts.,Yakalanan hayaletlerin<br>portrelerine bak.,[],[]
0x006E,YES,NO,ş,Save exploration progress.,Keşif ilerlemesini kaydet.,[],[]
0x006F,YES,NO,ğİış,Play with others<br>via Local Play.<br><br>The gallery and training room can<br>also be played via Download Play.,Yerel Oyun ile başkalarıyla oyna.<br>Galeri ve eğitim odası<br>İndirme Oyunu ile de oynanabilir.,[],[]
0x0070,YES,NO,öış,Returning to the title screen. Is this OK?<br><color=0002>*Exploration progress will not be saved.</color><br><color=0002>*amiibo exchanges will be reset.</color>,Başlık ekranına dönmek istiyor musun?<br><color=0002>*Keşif ilerlemesi kaydedilmeyecek.</color><br><color=0002>*amiibo takasları sıfırlanacak.</color>,"[(21, 2), (21, 4294967295), (21, 2), (21, 4294967295)]","[(21, 2), (21, 4294967295), (21, 2), (21, 4294967295)]"
0x0071,YES,NO,İ,Cancel,İptal,[],[]
0x0072,YES,NO,ğış,Go to the mansion with a friend.,Bir arkadaşınla konağa git.,[],[]
0x0073,YES,NO,ğış,Go to the hidden mansion with<br>a friend.,Bir arkadaşınla<br>gizli konağa git.,[],[]
0x0074,YES,NO,ış,Practice your ghost catching with<br>a friend.,Bir arkadaşınla hayalet avı<br>alıştırması yap.,[],[]
0x0075,YES,NO,ış,View the portraits of captured<br>ghosts with a friend.,Bir arkadaşınla yakalanan<br>hayaletlerin portrelerine bak.,[],[]
0x0076,YES,NO,Ööü,Return to the previous menu.,Önceki menüye dön.,[],[]
0x0077,YES,NO,ş,Create a room.,Oda oluştur.,[],[]
0x0078,YES,NO,,Search for a room.,Oda ara.,[],[]
0x0079,YES,NO,çış,Create a room to play<br>with someone nearby.,Yakındaki biriyle oynamak için<br>bir oda oluştur.,[],[]
0x007A,YES,NO,ış,Search for someone nearby<br>who has created a room.,Yakında oda oluşturmuş<br>birini ara.,[],[]
0x007B,YES,NO,ı,People wishing to join.,Katılmak isteyenler.,[],[]
0x007C,YES,NO,İ,People seeking a second player.,İkinci oyuncu arayanlar.,[],[]
0x007D,YES,NO,ş,[0008:00000001] Start,[0008:00000001] Başlat,"[(8, 1)]","[(8, 1)]"
0x007E,YES,NO,ı,Searching...,Aranıyor...,[],[]
0x007F,YES,NO,ış,Searching for people<br>wishing to join...,Katılmak isteyen kişiler<br>aranıyor...,[],[]
0x0080,YES,NO,ış,Searching for people<br>looking for a player...,Oyuncu arayan kişiler<br>aranıyor...,[],[]
0x0082,YES,NO,ı,Preparing data...,Veriler hazırlanıyor...,[],[]
0x0083,YES,NO,ı,Preparing...,Hazırlanıyor...,[],[]
0x0084,YES,NO,ö,Data is being sent.,Veri gönderiliyor.,[],[]
0x0085,YES,NO,ğı,Connection interrupted.,Bağlantı kesildi.,[],[]
0x0086,YES,NO,ğı,End connection?,Bağlantı sonlandırılsın mı?,[],[]
0x0088,YES,NO,ğı,Connection ended.,Bağlantı sona erdi.,[],[]
0x0089,YES,YES,,[0011:008C],[0011:008C],"[(17, 140)]","[(17, 140)]"
0x008A,YES,NO,İı,What are you two gonna do?,İkiniz ne yapacaksınız?,[],[]
0x008B,YES,NO,ğış,This will end the connection.,Bu işlem bağlantıyı sonlandıracak.,[],[]
0x008C,YES,NO,ğı,End connection,Bağlantıyı sonlandır,[],[]
0x008D,YES,YES,,G,G,[],[]
0x008E,YES,NO,ış,Save failed.,Kayıt başarısız oldu.,[],[]
0x008F,YES,NO,,Player 1 is saving.,1. Oyuncu kaydediyor.,[],[]
0x009A,YES,NO,ç,Player 1 is selecting the mode to play.,1. Oyuncu oynanacak modu seçiyor.,[],[]
0x009B,YES,NO,öüğış,An error has occurred and<br>the connection was lost.<br>Returning to the lab.,Bir hata oluştu ve bağlantı kesildi.<br>Laboratuvara dönülüyor.,[],[]
0x009C,YES,NO,çüğış,Cannot connect because wireless <br>communication is disabled. Please<br>enable wireless communication.,Kablosuz iletişim kapalı olduğu için<br>bağlanılamıyor.<br>Lütfen kablosuz iletişimi aç.,[],[]
0x009D,YES,NO,üğİı,Download Play cannot be used unless all<br>players have the latest system update.<br>Please update the other player's system<br>from System Settings.,Tüm oyuncular en güncel sistem<br>sürümüne sahip değilse İndirme Oyunu<br>kullanılamaz.<br>Lütfen diğer oyuncunun sistemini<br>Sistem Ayarları'ndan güncelle.,[],[]
0x009E,YES,NO,çüğı,Press the HOME Button<br>and quit the game.,HOME Düğmesine basıp<br>oyundan çık.,[],[]
0x009F,YES,NO,üğış,"This will overwrite the mansion data,<br>and you will start exploring the mansion<br>from the beginning. Is this OK?",Bu işlem konak verisinin üzerine<br>yazacak ve konağı en baştan keşfetmeye<br>başlayacaksın. Devam etmek istiyor musun?,[],[]
0x00A0,YES,NO,üğış,This will overwrite hidden mansion data<br>and you will start exploring the hidden<br>mansion from the beginning. Is this OK?,Bu işlem gizli konak verisinin üzerine<br>yazacak ve gizli konağı en baştan<br>keşfetmeye başlayacaksın.<br>Devam etmek istiyor musun?,[],[]
0x00A1,YES,NO,ğış,An error has occurred and<br>the connection was lost.,Bir hata oluştu ve<br>bağlantı kesildi.,[],[]
0x00A2,YES,NO,ş,Ending,Bitiş,[],[]
0x00A3,YES,NO,ı,Clear,Tamamlandı,[],[]
0x00C8,YES,YES,,G,G,[],[]
0x00C9,YES,YES,,[0008:00000001][0011:010E],[0008:00000001][0011:010E],"[(8, 1), (17, 270)]","[(8, 1), (17, 270)]"
0x00CA,YES,YES,,[0011:010E],[0011:010E],"[(17, 270)]","[(17, 270)]"
0x00CD,YES,NO,,[0008:00000001] Try Again,[0008:00000001] Tekrar Dene,"[(8, 1)]","[(8, 1)]"
0x00CE,YES,YES,,???,???,[],[]
0x00CF,YES,NO,ü,High Score,En Yüksek Skor,[],[]
0x00D0,YES,NO,,Rank,Derece,[],[]
0x00D1,YES,NO,ış,Achievement List ,Başarım Listesi,[],[]
0x00D2,YES,NO,,Beginner,Acemi,[],[]
0x00D3,YES,NO,,Easy,Kolay,[],[]
0x00D4,YES,YES,,Normal,Normal,[],[]
0x00D5,YES,NO,,Hard,Zor,[],[]
0x00D6,YES,NO,,Master,Usta,[],[]
0x00D9,YES,NO,ü,High Score,En Yüksek Skor,[],[]
0x00DA,YES,NO,,Vs. [000E:00000000],VS [000E:00000000],"[(14, 0)]","[(14, 0)]"
0x00DB,YES,NO,ış,Battle Details,Savaş Ayrıntıları,[],[]
0x00DC,YES,NO,,Damage Done,Verilen Hasar,[],[]
0x00DD,YES,NO,üış,Number of Falls,Düşme Sayısı,[],[]
0x00DE,YES,NO,ı,Damage Received,Alınan Hasar,[],[]
0x00DF,YES,NO,ı,You got a new portrait!,Yeni bir portre kazandın!,[],[]
0x00E0,YES,NO,,Retry,Tekrar Dene,[],[]
0x00E1,YES,NO,,Try again?,Tekrar denemek ister misin?,[],[]
0x00E2,YES,NO,,Yes,Evet,[],[]
0x00E3,YES,NO,ı,No,Hayır,[],[]
0x00E6,YES,YES,,H,H,[],[]
0x00E7,YES,YES,,G,G,[],[]
0x00E8,YES,YES,,F,F,[],[]
0x00E9,YES,YES,,E,E,[],[]
0x00EA,YES,YES,,D,D,[],[]
0x00EB,YES,YES,,C,C,[],[]
0x00EC,YES,YES,,B,B,[],[]
0x00ED,YES,YES,,A,A,[],[]
0x00EE,YES,YES,,S,S,[],[]
0x00EF,YES,NO,çğş,This can be changed in Options.,Bu ayar Seçeneklerden değiştirilebilir.,[],[]
0x00F0,YES,NO,,Move,Hareket Et,[],[]
0x00F1,YES,NO,ı,Sidestep,Yan Adım,[],[]
0x00F2,YES,NO,ğış,Turn off light,Işığı Kapat,[],[]
0x00F3,YES,NO,çİ,Inspect / Open,İncele / Aç,[],[]
0x00F5,YES,NO,,Search,Ara,[],[]
0x00F7,YES,NO,ş,Activate Poltergust 3000,Poltergust 3000'i Etkinleştir,[],[]
0x00F8,YES,NO,ğış,Move light up/down,Işığı yukarı/aşağı oynat,[],[]
0x00F9,YES,NO,öğş,Change direction,Yön değiştir,[],[]
0x00FA,YES,YES,,[0011:0022],[0011:0022],"[(17, 34)]","[(17, 34)]"
0x00FB,YES,YES,,[0011:0023],[0011:0023],"[(17, 35)]","[(17, 35)]"
0x00FC,YES,NO,,The mansion,Konak,[],[]
0x00FD,YES,NO,,The hidden mansion,Gizli Konak,[],[]
0x0100,YES,NO,ü,New High Score!,Yeni En Yüksek Skor!,[],[]
0x0101,YES,NO,,Most Recent Score,Son Skor,[],[]
0x0102,YES,NO,ü,High Score,En Yüksek Skor,[],[]
0x0103,YES,NO,çü,Small Ghost List,Küçük Hayalet Listesi,[],[]
0x0104,YES,NO,,List of Boos,Boo Listesi,[],[]
0x0105,YES,NO,,Mansion Mode,Konak Modu,[],[]
0x0106,YES,NO,,Hidden Mansion Mode,Gizli Konak Modu,[],[]
0x0107,YES,NO,ı,Number Defeated,Yenilen Sayısı,[],[]
0x010E,YES,NO,öış,Portrait Battle,Portre Rövanşı,[],[]
0x010F,YES,NO,çöğış,"If you select Portrait Battle, you can<br>fight ghosts you've already captured.<br>However, amiibo can't be used.",Portre Rövanşı'nı seçersen daha önce<br>yakaladığın hayaletlerle yeniden<br>kapışabilirsin.<br>Ancak amiibo kullanılamaz.,[],[]
0x0110,YES,YES,,???,???,[],[]
0x0111,YES,NO,çı,It's just a regular old frame.,"Bu sadece sıradan, eski bir çerçeve.",[],[]
0x0113,YES,NO,,Mansion Mode,Konak Modu,[],[]
0x0114,YES,NO,,Hidden Mansion Mode,Gizli Konak Modu,[],[]
0x0117,YES,NO,ğ,Value,Değer,[],[]
0x0118,YES,YES,,???,???,[],[]
0x0119,YES,NO,ş,Use Strobulb,Flaşampul Kullan,[],[]
0x011A,YES,NO,öüğ,Luigi will walk facing the direction<br>that you slide the Circle Pad toward.,"Luigi, Circle Pad'i ittiğin yöne doğru<br>yürür.",[],[]
0x011B,YES,NO,öüı,The Circle Pad will control<br>sidesteps and Luigi will walk<br>facing one direction.,Circle Pad yan adımları kontrol eder<br>ve Luigi tek bir yöne dönük yürür.,[],[]
0x011C,YES,YES,,[0011:0043],[0011:0043],"[(17, 67)]","[(17, 67)]"
0x011D,YES,YES,,G,G,[],[]
0x011E,YES,NO,üğş,Lowest value,En düşük değer,[],[]
0x011F,YES,YES,,(R),(R),[],[]
0x0130,YES,YES,,[0011:025C],[0011:025C],"[(17, 604)]","[(17, 604)]"
0x0131,YES,NO,ı,Fortune-Teller's Room,Falcı Odası,[],[]
0x0132,YES,NO,ı,Mirror Room,Ayna Odası,[],[]
0x0133,YES,NO,,Hidden Room,Gizli Oda,[],[]
0x0134,YES,NO,ı,Butler's Room,Kâhya Odası,[],[]
0x0135,YES,NO,Çış,Laundry Room,Çamaşır Odası,[],[]
0x0136,YES,NO,,Kitchen,Mutfak,[],[]
0x0137,YES,NO,ı,Dining Room,Yemek Odası,[],[]
0x0138,YES,YES,,[0011:0264],[0011:0264],"[(17, 612)]","[(17, 612)]"
0x0139,YES,NO,ı,Storage Room,Depo Odası,[],[]
0x013A,YES,NO,öı,Projection Room,Gösterim Odası,[],[]
0x013B,YES,NO,,Billiards Room,Bilardo Salonu,[],[]
0x013C,YES,NO,,Boneyard,Kemik Avlusu,[],[]
0x013D,YES,NO,ı,Graveyard,Mezarlık,[],[]
0x013E,YES,YES,,[0011:026A],[0011:026A],"[(17, 618)]","[(17, 618)]"
0x013F,YES,YES,,[0011:026B],[0011:026B],"[(17, 619)]","[(17, 619)]"
0x0140,YES,NO,üı,Conservatory,Müzik Odası,[],[]
0x0141,YES,YES,,[0011:026D],[0011:026D],"[(17, 621)]","[(17, 621)]"
0x0142,YES,NO,,Courtyard,Avlu,[],[]
0x0143,YES,NO,Çı,Nursery,Çocuk Odası,[],[]
0x0144,YES,NO,İı,The Twins' Room,İkizlerin Odası,[],[]
0x0145,YES,NO,ı,Sitting Room,Oturma Odası,[],[]
0x0146,YES,NO,ı,Guest Room,Misafir Odası,[],[]
0x0147,YES,NO,ü,Sealed Room,Mühürlü Oda,[],[]
0x0148,YES,NO,,Parlor,Salon,[],[]
0x0149,YES,NO,Çış,Study,Çalışma Odası,[],[]
0x014A,YES,NO,ı,Master Bedroom,Ebeveyn Yatak Odası,[],[]
0x014B,YES,YES,,[0011:0277],[0011:0277],"[(17, 631)]","[(17, 631)]"
0x014C,YES,NO,Ö,Anteroom,Ön Oda,[],[]
0x014D,YES,NO,,Astral Hall,Astral Salon,[],[]
0x014E,YES,NO,,Observatory,Rasathane,[],[]
0x014F,YES,YES,,[0011:027B],[0011:027B],"[(17, 635)]","[(17, 635)]"
0x0150,YES,NO,ı,Nana's Room,Nana'nın Odası,[],[]
0x0153,YES,NO,,Armory,Cephanelik,[],[]
0x0154,YES,NO,ı,Telephone Room,Telefon Odası,[],[]
0x0155,YES,NO,ı,Safari Room,Av Trofeleri Odası,[],[]
0x0156,YES,YES,,[0011:0282],[0011:0282],"[(17, 642)]","[(17, 642)]"
0x0157,YES,NO,ı,Clockwork Room,Saat Odası,[],[]
0x0158,YES,NO,ö,Ceramics Studio,Seramik Atölyesi,[],[]
0x0159,YES,YES,,[0011:0285],[0011:0285],"[(17, 645)]","[(17, 645)]"
0x015A,YES,NO,Çı,Roof,Çatı,[],[]
0x015B,YES,NO,,Cellar,Mahzen,[],[]
0x015C,YES,NO,ğ,Cold Storage,Soğuk Oda,[],[]
0x015D,YES,NO,ı,Pipe Room,Boru Odası,[],[]
0x015E,YES,NO,ıŞ,Breaker Room,Şalter Odası,[],[]
0x015F,YES,NO,,Secret Altar,Gizli Sunak,[],[]
0x0160,YES,NO,,Bottom of the Well,Kuyunun Dibi,[],[]
0x0161,YES,NO,,Hallway,Koridor,[],[]
0x0163,YES,NO,,The Gallery,Galeri,[],[]
0x0196,YES,YES,,???,???,[],[]
0x0197,YES,NO,,Balcony,Balkon,[],[]
0x019F,YES,NO,,Ghosts,Hayaletler,[],[]
0x01A0,YES,NO,ş,Items,Eşyalar,[],[]
0x01A1,YES,NO,ı,Reply,Yanıtla,[],[]
0x01A2,YES,NO,ö,Return to the Lab?,Laboratuvara dönmek ister misin?,[],[]
0x01A3,YES,NO,,Yes,Evet,[],[]
0x01A4,YES,NO,ı,No,Hayır,[],[]
0x01A8,YES,NO,ş,Got something!,Bir şey buldun!,[],[]
0x01A9,YES,NO,,Close,Kapat,[],[]
0x01F4,YES,NO,ç,Options,Seçenekler,[],[]
0x01F5,YES,YES,,amiibo,amiibo,[],[]
0x01F6,YES,NO,Çı,Quit the Game,Oyundan Çık,[],[]
0x01F7,YES,NO,ö,[0008:00000002] Return to Game,[0008:00000002] Oyuna Dön,"[(8, 2)]","[(8, 2)]"
0x01F8,YES,NO,çöış,Quit the game and return to the title.,Oyundan çıkıp başlık ekranına dön.,[],[]
0x01F9,YES,NO,ç,Open Options.,Seçenekleri aç.,[],[]
0x01FA,YES,NO,,Scan amiibo.,amiibo tara.,[],[]
0x01FC,YES,YES,,[0011:01F6],[0011:01F6],"[(17, 502)]","[(17, 502)]"
0x01FD,YES,NO,ğı,End connection.,Bağlantıyı sonlandır.,[],[]
0x01FE,YES,YES,,[0011:01FD],[0011:01FD],"[(17, 509)]","[(17, 509)]"
0x01FF,YES,NO,ğı,End connection?,Bağlantı sonlandırılsın mı?,[],[]
0x0200,YES,NO,öğı,End the connection and return to<br>the Lab?,Bağlantıyı sonlandırıp<br>laboratuvara dönmek ister misin?,[],[]
0x0201,YES,NO,ğış,This will end the connection.,Bu işlem bağlantıyı sonlandıracak.,[],[]
0x0202,YES,NO,ğıŞ,Now you've caught:,Şimdiye kadar yakaladığın:,[],[]
0x0203,YES,NO,ğı,You've caught<br>a total of...,Toplamda<br>yakaladığın...,[],[]
0x0204,YES,YES,,,,[],[]
0x0205,YES,NO,,ghosts!,hayalet!,[],[]
0x0206,YES,NO,,Ghosts caught:,Yakalanan hayaletler:,[],[]
0x0207,YES,NO,ğ,You've found:,Bulduğun:,[],[]
0x0208,YES,NO,İ,Highest Record,En İyi Derece,[],[]
0x0209,YES,NO,ç,New results,Yeni sonuçlar,[],[]
0x020A,YES,NO,ü,Play time,Oyun süresi,[],[]
0x020B,YES,NO,,Treasures acquired,Toplanan Hazineler,[],[]
0x020C,YES,NO,,Ghosts defeated,Alt edilen hayaletler,[],[]
0x020D,YES,NO,,Total,Toplam,[],[]
0x020E,YES,NO,ç,Total Results,Toplam Sonuçlar,[],[]
0x020F,YES,NO,ö,This area's record,Bu bölgenin rekoru,[],[]
0x0210,YES,NO,öü,Area's highest score,Bölgenin en yüksek skoru,[],[]
0x0212,YES,NO,çöı,Area Results,Bölge Sonuçları,[],[]
0x0213,YES,NO,ö,(Area 1),(Bölge 1),[],[]
0x0214,YES,NO,ö,(Area 2),(Bölge 2),[],[]
0x0215,YES,NO,ö,(Area 3),(Bölge 3),[],[]
0x0216,YES,NO,ö,(Area 4),(Bölge 4),[],[]
0x022E,YES,YES,,G,G,[],[]
0x022F,YES,YES,,G,G,[],[]
0x0230,YES,NO,Ş,Total so far,Şu ana kadarki toplam,[],[]
0x0231,YES,NO,Çğı,Quit Training,Eğitimden Çık,[],[]
0x0232,YES,NO,öğı,Quit training and<br>return to the Lab.,Eğitimi bırakıp<br>laboratuvara dön.,[],[]
0x0233,YES,NO,Çöış,Quit Portrait Battle,Portre Rövanşı'ndan Çık,[],[]
0x0234,YES,NO,çöış,Quit Portrait Battle and<br>return to the gallery.,Portre Rövanşı'ndan çıkıp<br>galeriye dön.,[],[]
0x0235,YES,NO,ğı,Quit Training,Eğitimi Bırak,[],[]
0x0236,YES,NO,öğı,Quit training and return to the Lab.<br>Is this OK?,Eğitimi bırakıp laboratuvara dönmek<br>istiyor musun?,[],[]
