index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
10,HeaderDeGoLv4,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧Aventures de DaDiDou - Niv. 4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 4⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv4,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 4⟦MSBT:0E000000020002006400⟧
11,HeaderDeGoLv5,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧Aventures de DaDiDou - Niv. 5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 5⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv5,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 5⟦MSBT:0E000000020002006400⟧
12,HeaderDeGoLv6,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧Aventures de DaDiDou - Niv. 6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 6⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv6,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 6⟦MSBT:0E000000020002006400⟧
13,HeaderStage1,Stage 1,Étape 1,Level 1,Livello 1,Etapa 1,STAGE 1,Bölüm 1
14,HeaderStage2,Stage 2,Étape 2,Level 2,Livello 2,Etapa 2,STAGE 2,Bölüm 2
15,HeaderStage3,Stage 3,Étape 3,Level 3,Livello 3,Etapa 3,STAGE 3,Bölüm 3
16,HeaderStage4,Stage 4,Étape 4,Level 4,Livello 4,Etapa 4,STAGE 4,Bölüm 4
17,HeaderStage5,Stage 5,Étape 5,Level 5,Livello 5,Etapa 5,STAGE 5,Bölüm 5
18,HeaderStage6,Stage 6,Étape 6,Level 6,Livello 6,Etapa 6,STAGE 6,Bölüm 6
19,HeaderStage7,Stage 7,Étape 7,Level 7,Livello 7,Etapa 7,STAGE 7,Bölüm 7
20,HeaderStage8,Stage 8,Étape 8,Level 8,Livello 8,Etapa 8,STAGE 8,Bölüm 8
21,HeaderRightDir,⟦MSBT:0E000000020002004A00⟧While facing right⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005100⟧Tourné à droite⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004000⟧Nach rechts blickend⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004C00⟧Rivolto a destra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004D00⟧Hacia la derecha⟦MSBT:0E000000020002006400⟧,오른쪽 방향,⟦MSBT:0E000000020002004A00⟧Sağa bakarken⟦MSBT:0E000000020002006400⟧
22,DialogExitStage,"⟦MSBT:0E000000020002005D00⟧The Sun Stones and keychains
you've found ⟦MSBT:0E00000003000400FF4B32FF⟧will not be
saved⟦MSBT:0E00000003000400000000FF⟧. Do you really want
to exit the stage?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧Les gemmes solaires et porte-clés
que vous avez trouvés ⟦MSBT:0E00000003000400FF4B32FF⟧ne seront
pas sauvegardés⟦MSBT:0E00000003000400000000FF⟧. Voulez-vous
vraiment quitter cette étape ?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005D00⟧Deine Sonnensteine und
Glücksbringer ⟦MSBT:0E00000003000400FF4B32FF⟧werden nicht
gespeichert⟦MSBT:0E00000003000400000000FF⟧. Möchtest du den
Level wirklich verlassen?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005600⟧Le Pietre del Sole e i portachiavi
che hai trovato ⟦MSBT:0E00000003000400FF4B32FF⟧non verranno⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4B32FF⟧salvati⟦MSBT:0E00000003000400000000FF⟧. Vuoi uscire comunque
da questo livello?⟦MSBT:0E000000020002006400⟧","¿Seguro que quieres salir de
esta etapa? ⟦MSBT:0E00000003000400FF4B32FF⟧No se guardarán⟦MSBT:0E00000003000400000000FF⟧
las Piedras Solares ni los
llaveros encontrados.","획득한 선스톤 및 키홀더는
⟦MSBT:0E00000003000400FF4B32FF⟧저장되지 않습니다.⟦MSBT:0E00000003000400000000FF⟧
스테이지에서 나가시겠습니까?","⟦MSBT:0E000000020002005D00⟧Bulduğun Güneş Taşları ve
anahtarlıklar ⟦MSBT:0E00000003000400FF4B32FF⟧kaydedilmeyecek⟦MSBT:0E00000003000400000000FF⟧.
Bölümden çıkmak
istediğine emin misin?⟦MSBT:0E000000020002006400⟧"
23,DialogExitWMap,"⟦MSBT:0E00000003000400FF4B32FF⟧End the game ⟦MSBT:0E00000003000400000000FF⟧and
return to the menu?","⟦MSBT:0E00000003000400FF4B32FF⟧Quitter la partie⟦MSBT:0E00000003000400000000FF⟧ et revenir à
l'écran de choix du mode ?","⟦MSBT:0E00000003000400FF4B32FF⟧Spiel beenden ⟦MSBT:0E00000003000400000000FF⟧und zum
Menü zurückkehren?","⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00000003000400FF4B32FF⟧Vuoi uscire dal gioco ⟦MSBT:0E00000003000400000000FF⟧e tornare
allo schermo di selezione
modalità?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧¿⟦MSBT:0E00000003000400FF4B32FF⟧Quieres salir ⟦MSBT:0E00000003000400000000FF⟧y volver
al menú?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧게임을 그만두고⟦MSBT:0E00000003000400000000FF⟧
모드 선택 화면으로
돌아가시겠습니까?","⟦MSBT:0E00000003000400FF4B32FF⟧Oyunu bitirip⟦MSBT:0E00000003000400000000FF⟧
menüye dönmek ister misin?"
24,DialogExitArena,"⟦MSBT:0E00000003000400FF4B32FF⟧End the game ⟦MSBT:0E00000003000400000000FF⟧and return
to the title screen?","⟦MSBT:0E00000003000400FF4B32FF⟧Quitter la partie⟦MSBT:0E00000003000400000000FF⟧ et revenir à
l'écran principal ?","⟦MSBT:0E00000003000400FF4B32FF⟧Spiel beenden ⟦MSBT:0E00000003000400000000FF⟧und zum
Titelbildschirm zurückkehren?","⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00000003000400FF4B32FF⟧Vuoi uscire dal gioco⟦MSBT:0E00000003000400000000FF⟧ e tornare
allo schermo del titolo?⟦MSBT:0E000000020002006400⟧","¿⟦MSBT:0E00000003000400FF4B32FF⟧Quieres salir⟦MSBT:0E00000003000400000000FF⟧ y volver
a la pantalla de título?","⟦MSBT:0E00000003000400FF4B32FF⟧게임을 그만두고⟦MSBT:0E00000003000400000000FF⟧
타이틀 화면으로 돌아가시겠습니까?","⟦MSBT:0E00000003000400FF4B32FF⟧Oyunu bitirip⟦MSBT:0E00000003000400000000FF⟧ başlık
ekranına dönülsün mü?"
25,DialogExitDeGo,"⟦MSBT:0E00000003000400FF4B32FF⟧End the game ⟦MSBT:0E00000003000400000000FF⟧and return
to the title screen?","⟦MSBT:0E00000003000400FF4B32FF⟧Quitter la partie⟦MSBT:0E00000003000400000000FF⟧ et revenir à
l'écran principal ?","⟦MSBT:0E00000003000400FF4B32FF⟧Spiel beenden ⟦MSBT:0E00000003000400000000FF⟧und zum
Titelbildschirm zurückkehren?","⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00000003000400FF4B32FF⟧Vuoi uscire dal gioco⟦MSBT:0E00000003000400000000FF⟧ e tornare
allo schermo del titolo?⟦MSBT:0E000000020002006400⟧","¿⟦MSBT:0E00000003000400FF4B32FF⟧Quieres salir⟦MSBT:0E00000003000400000000FF⟧ y volver
a la pantalla de título?","⟦MSBT:0E00000003000400FF4B32FF⟧게임을 그만두고⟦MSBT:0E00000003000400000000FF⟧
타이틀 화면으로 돌아가시겠습니까?","⟦MSBT:0E00000003000400FF4B32FF⟧Oyunu bitirip⟦MSBT:0E00000003000400000000FF⟧ başlık
ekranına dönülsün mü?"
26,DialogExitAbilityRoom,Return to the world map?,⟦MSBT:0E000000020002006200⟧Revenir à la carte du monde ?⟦MSBT:0E000000020002006400⟧,Zur Weltkarte zurückkehren?,⟦MSBT:0E000000020002005000⟧Vuoi tornare alla Mappa dei Mondi?⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002006400⟧¿Quieres volver al
mapa del mundo?⟦MSBT:0E000000020002006400⟧",월드 맵으로 돌아가시겠습니까?,"Dünya haritasına
dönmek ister misin?"
27,DialogExitFight,"⟦MSBT:0E00000003000400FF4B32FF⟧End the game ⟦MSBT:0E00000003000400000000FF⟧and return to 
the ability-selection screen?","⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧Quitter la partie⟦MSBT:0E00000003000400000000FF⟧ et revenir
à l'écran de sélection
des pouvoirs ?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006300⟧⟦MSBT:0E00000003000400FF4B32FF⟧Spiel beenden ⟦MSBT:0E00000003000400000000FF⟧und zur Power-
Auswahl zurückkehren?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧⟦MSBT:0E00000003000400FF4B32FF⟧Vuoi uscire dal gioco⟦MSBT:0E00000003000400000000FF⟧ e tornare
allo schermo di selezione abilità?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005100⟧¿⟦MSBT:0E00000003000400FF4B32FF⟧Quieres salir ⟦MSBT:0E00000003000400000000FF⟧y volver a la pantalla
de selección de habilidad?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧게임을 그만두고⟦MSBT:0E00000003000400000000FF⟧
능력 선택 화면으로
돌아가시겠습니까?","⟦MSBT:0E000000020002005700⟧⟦MSBT:0E00000003000400FF4B32FF⟧Oyunu bitirip⟦MSBT:0E00000003000400000000FF⟧ yetenek seçme
ekranına dönmek ister misin?⟦MSBT:0E000000020002006400⟧"
28,CloseButtonTitle,Resume,⟦MSBT:0E000000020002005100⟧Reprendre⟦MSBT:0E000000020002006400⟧,Zurück,⟦MSBT:0E000000020002005A00⟧Continua⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005B00⟧Volver⟦MSBT:0E000000020002006400⟧,닫기,Devam
29,ExitStageButtonTitle,⟦MSBT:0E000000020002006400⟧Quit⟦MSBT:0E000000020002006400⟧,Quitter,⟦MSBT:0E000000020002005000⟧Verlassen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Esci⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005B00⟧Salir⟦MSBT:0E000000020002006400⟧,"스테이지에서
나가기",⟦MSBT:0E000000020002006400⟧Çık⟦MSBT:0E000000020002006400⟧
30,ExitLvMapButtonTitle,⟦MSBT:0E000000020002006400⟧Map⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002006400⟧Carte du
monde⟦MSBT:0E000000020002006400⟧","Welt-
karte",⟦MSBT:0E000000020002006400⟧Mappa⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Mapa⟦MSBT:0E000000020002006400⟧,월드 맵,⟦MSBT:0E000000020002006400⟧Harita⟦MSBT:0E000000020002006400⟧
31,ExitWMapButtonTitle,⟦MSBT:0E000000020002006400⟧Quit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Quitter⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Menü⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Esci⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005B00⟧Salir⟦MSBT:0E000000020002006400⟧,모드 선택,⟦MSBT:0E000000020002006400⟧Çık⟦MSBT:0E000000020002006400⟧
32,ExitArenaButtonTitle,Quit,Quitter,Titel,Esci,Salir,타이틀,Çık
33,ExitDeGoButtonTitle,Quit,Quitter,Titel,Esci,Salir,타이틀,Çık
34,ExitFightButtonTitle,"⟦MSBT:0E000000020002006400⟧Ability
Select⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Choix du
pouvoir⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Power
wählen⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Seleziona
abilità⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005800⟧Elegir⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005800⟧habilidad⟦MSBT:0E000000020002006400⟧",능력 선택,"⟦MSBT:0E000000020002006400⟧Yetenek
Seç⟦MSBT:0E000000020002006400⟧"
35,PageAbilityTitle,Controls,Commandes,Steuerung,Comandi,Controles,조작 설명,Kontroller
36,PageCommandTitle,Controls,Commandes,Steuerung,Comandi,Controles,조작 설명,Kontroller
37,PageSpecialTitle,Special,Spécial,Extras,⟦MSBT:0E000000020002005F00⟧Informazioni extra⟦MSBT:0E000000020002006400⟧,Información,스페셜 페이지,Özel
38,PageWMapTitle,,,,,,,
39,PageWMapHeader,Dreamstalk,Tige des rêves,Traumranke,Pianta dei Sogni,Planta de ensueño,월드 트리,Rüya Sarmaşığı
40,PageWMapLv1Name,Lv 1,⟦MSBT:0E000000020002005A00⟧N i v .  1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧N i v .  1⟦MSBT:0E000000020002006400⟧,Lv 1,Sv. 1
41,PageWMapLv2Name,Lv 2,⟦MSBT:0E000000020002005A00⟧N i v .  2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧N i v .  2⟦MSBT:0E000000020002006400⟧,Lv 2,Sv. 2
42,PageWMapLv3Name,Lv 3,⟦MSBT:0E000000020002005A00⟧N i v .  3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧N i v .  3⟦MSBT:0E000000020002006400⟧,Lv 3,Sv. 3
43,PageWMapLv4Name,Lv 4,⟦MSBT:0E000000020002005A00⟧N i v .  4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧N i v .  4⟦MSBT:0E000000020002006400⟧,Lv 4,Sv. 4
44,PageWMapLv5Name,Lv 5,⟦MSBT:0E000000020002005A00⟧N i v .  5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 5⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧N i v .  5⟦MSBT:0E000000020002006400⟧,Lv 5,Sv. 5
45,PageWMapLv6Name,Lv 6,⟦MSBT:0E000000020002005A00⟧N i v .  6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧W e l t  6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧M o n d o 6⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧N i v .  6⟦MSBT:0E000000020002006400⟧,Lv 6,Sv. 6
46,#Abl,,,,,,,
47,AblNormalTitle0,About Kirby,Kirby,Über Kirby,Chi è Kirby?,Kirby,커비에 대해서,⟦MSBT:0E000000020002005000⟧Kirby Hakkında⟦MSBT:0E000000020002006400⟧
48,AblNormalTitle1,About Kirby 1,Kirby 1,Über Kirby 1,Chi è Kirby? 1,Kirby 1,커비에 대해서 1,⟦MSBT:0E000000020002005000⟧Kirby Hakkında 1⟦MSBT:0E000000020002006400⟧
49,AblNormalTitle2,About Kirby 2,Kirby 2,Über Kirby 2,Chi è Kirby? 2,Kirby 2,커비에 대해서 2,⟦MSBT:0E000000020002005000⟧Kirby Hakkında 2⟦MSBT:0E000000020002006400⟧
50,AblNormalTitle3,About Kirby 3,Kirby 3,Über Kirby 3,Chi è Kirby? 3,Kirby 3,커비에 대해서 3,⟦MSBT:0E000000020002005000⟧Kirby Hakkında 3⟦MSBT:0E000000020002006400⟧
51,AblNormalInfo,"⟦MSBT:0E000000020002005500⟧Inhale enemies to ⟦MSBT:0E00000003000400FF6400FF⟧acquire
their abilities⟦MSBT:0E00000003000400000000FF⟧, and then
perform a variety of
moves! Now go and
climb the ⟦MSBT:0E00000003000400FF6400FF⟧Dreamstalk⟦MSBT:0E00000003000400000000FF⟧,
and rescue ⟦MSBT:0E00000003000400FF6400FF⟧King Dedede⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Aspirez les ennemis pour
⟦MSBT:0E00000003000400FF6400FF⟧absorber leurs pouvoirs⟦MSBT:0E00000003000400000000FF⟧ et
vous en servir à votre
tour ! Grimpez tout en
haut de la ⟦MSBT:0E00000003000400FF6400FF⟧Tige des rêves
⟦MSBT:0E00000003000400000000FF⟧et sauvez le ⟦MSBT:0E00000003000400FF6400FF⟧Roi DaDiDou ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Sauge Gegner ein, um ⟦MSBT:0E00000003000400FF6400FF⟧ihre
Power ⟦MSBT:0E00000003000400000000FF⟧und damit neue
Manöver zu ⟦MSBT:0E00000003000400FF6400FF⟧nutzen⟦MSBT:0E00000003000400000000FF⟧! Nun
klettere die ⟦MSBT:0E00000003000400FF6400FF⟧Traumranke⟦MSBT:0E00000003000400000000FF⟧
hinauf und rette ⟦MSBT:0E00000003000400FF6400FF⟧König
Dedede⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Risucchia i nemici per
⟦MSBT:0E00000003000400FF6400FF⟧acquisire le loro abilità
⟦MSBT:0E00000003000400000000FF⟧ed eseguire nuove mosse!
E ora, sali sulla ⟦MSBT:0E00000003000400FF6400FF⟧Pianta dei
Sogni ⟦MSBT:0E00000003000400000000FF⟧e prova a salvare
⟦MSBT:0E00000003000400FF6400FF⟧King Dedede⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Absorbe a un enemigo
para ⟦MSBT:0E00000003000400FF6400FF⟧adquirir su habilidad
⟦MSBT:0E00000003000400000000FF⟧y usar nuevos movimientos.
¡Sube por la ⟦MSBT:0E00000003000400FF6400FF⟧Planta de
ensueño ⟦MSBT:0E00000003000400000000FF⟧y salva al ⟦MSBT:0E00000003000400FF6400FF⟧Rey
Dedede⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","적을 삼켜서 ⟦MSBT:0E00000003000400FF6400FF⟧능력을 카피⟦MSBT:0E00000003000400000000FF⟧!
여러 기술을 사용할 수 있다. 
모험의 무대는 ⟦MSBT:0E00000003000400FF6400FF⟧플로랄드⟦MSBT:0E00000003000400000000FF⟧.
월드 트리를 올라
⟦MSBT:0E00000003000400FF6400FF⟧디디디 대왕⟦MSBT:0E00000003000400000000FF⟧을 구하자!","⟦MSBT:0E000000020002005500⟧Düşmanları içine çekip
⟦MSBT:0E00000003000400FF6400FF⟧yeteneklerini al⟦MSBT:0E00000003000400000000FF⟧, sonra
çeşit çeşit hareket yap!
⟦MSBT:0E00000003000400FF6400FF⟧Rüya Sarmaşığı⟦MSBT:0E00000003000400000000FF⟧'na tırman
ve ⟦MSBT:0E00000003000400FF6400FF⟧Kral Dedede⟦MSBT:0E00000003000400000000FF⟧'yi kurtar!⟦MSBT:0E000000020002006400⟧"
