index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
24,LevelVeryHardBattleLo,⟦MSBT:0E000000020002006200⟧Very Hard⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Très difficile⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004200⟧Sehr schwierig⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧Molto difficile⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005D00⟧Muy difícil⟦MSBT:0E000000020002006400⟧,진짜 어렵게,⟦MSBT:0E000000020002006200⟧Çok Zor⟦MSBT:0E000000020002006400⟧
25,BattleClearTime,Clear Time,Temps écoulé,Benötigte Zeit,Tempo impiegato,Tiempo,클리어 타임,Bitirme Süresi
26,ResultClearTime,Total Clear Time,Temps total,⟦MSBT:0E000000020002005900⟧Benötigte Zeit gesamt⟦MSBT:0E000000020002006400⟧,Tempo totale,Tiempo total,토털 클리어 타임,Toplam Süre
27,ResultClearTimeShort,Total,Total,Gesamt,Totale,Total,토털,Toplam
28,ShadowKirbyName,Shadow Kirby,Kirby Ombre,Shadow-Kirby,Kirby Ombra,Kirby oscuro,섀도우 커비,Gölge Kirby
29,RemindBattleText,⟦MSBT:0E000000020002005000⟧To go:⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Reste ⟦MSBT:0E000000020002006400⟧,Noch,⟦MSBT:0E000000020002004B00⟧Ancora⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧Faltan:⟦MSBT:0E000000020002006400⟧,앞으로,⟦MSBT:0E000000020002005000⟧Kalan:⟦MSBT:0E000000020002006400⟧
30,GameOverContinueText,Continue,Continuer,Fortsetzen,Continua,Continuar,이어서,Devam
31,GameOverExitText,Quit,Quitter,Beenden,Esci,Salir,그만두기,Çık
32,GameOverDialog,Do you want to quit?,Voulez-vous quitter ?,Beenden?,Vuoi uscire dal gioco?,¿Seguro que quieres salir?,게임을 그만두시겠습니까?,Çıkmak istiyor musun?
33,AbilityWhip,Whip,Fouet,Peitsche,Frusta,Látigo,채찍,Kırbaç
34,AbilityCutter,Cutter,⟦MSBT:0E000000020002005A00⟧Trancheur⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005C00⟧Bumerang⟦MSBT:0E000000020002006400⟧,Lama,Cuchillo,커터,Kesici
35,AbilitySword,Sword,Épée,Schwert,Spada,Espada,스워드,Kılıç
36,AbilityNinja,Ninja,Ninja,Ninja,Ninja,Ninja,닌자,Ninja
37,AbilityParasol,Parasol,Parasol,Schirm,Parasole,Sombrilla,파라솔,Şemsiye
38,AbilityHammer,Hammer,Marteau,Hammer,Martello,Martillo,해머,Çekiç
39,AbilityBeam,Beam,Rayon,Beam,Raggio,Rayo,빔,Işın
40,AbilityFighter,Fighter,Combat,Kämpfer,Lottatore,Luchador,파이터,Dövüşçü
41,AbilityBomb,Bomb,Bombe,Bomben,Granata,Bomba,밤,Bomba
42,AbilitySniper,Archer,Archer,⟦MSBT:0E000000020002004700⟧Bogenschütze⟦MSBT:0E000000020002006400⟧,Arciere,Arquero,스나이퍼,Okçu
