index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
10,PauseBgUpText01,Backbeat,⟦MSBT:0E000000020002005300⟧Contretemps⟦MSBT:0E000000020002006400⟧,Taktvoll,⟦MSBT:0E000000020002005D00⟧Tieniltempo⟦MSBT:0E000000020002006400⟧,Compás,반박자 박수,Ters Vuruş
11,PauseBgLoText00,High Jump,Super-saut,Supersprung,Super salto,Supersalto,하이 점프,⟦MSBT:0E000000020002004600⟧Yüksek Zıplama⟦MSBT:0E000000020002006400⟧
12,PauseBgLoText01,Backbeat,Contretemps,Taktvoll,Tieniltempo,Compás,반박자 박수,Ters Vuruş
13,PauseBgLoText02,⟦MSBT:0E000000020002006400⟧Press ⟦MSBT:0E00010000000000⟧ when you ⟦MSBT:0E00000003000400FFDE00FF⟧hit a drum⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Appuyez sur ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00010000000000⟧ ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002004E00⟧en ⟦MSBT:0E00000003000400FFDE00FF⟧touchant un tam-tam⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002004B00⟧Drücke ⟦MSBT:0E00010000000000⟧, wenn du ⟦MSBT:0E00000003000400FFDE00FF⟧eine Trommel berührst⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002004400⟧Premi ⟦MSBT:0E00010000000000⟧ quando ⟦MSBT:0E00000003000400FFDE00FF⟧atterri su un tamburo⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Pulsa ⟦MSBT:0E00010000000000⟧ al⟦MSBT:0E00000003000400FFDE00FF⟧ tocar un tambor⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FFDE00FF⟧착지⟦MSBT:0E00000003000400000000FF⟧할 때 ⟦MSBT:0E000000020002007800⟧⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Davula indiğinde⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00010000000000⟧'ya bas.⟦MSBT:0E000000020002006400⟧
14,PauseBgLoText03,⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Consecutive ⟦MSBT:0E00000003000400000000FF⟧high jumps go higher!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧⟦MSBT:0E00000003000400FFDE00FF⟧Enchaînez⟦MSBT:0E00000003000400000000FF⟧ les super-sauts pour aller plus haut !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004000⟧Supersprünge ⟦MSBT:0E00000003000400FFDE00FF⟧in Folge ⟦MSBT:0E00000003000400000000FF⟧lassen dich höher springen!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧Con più Super salti ⟦MSBT:0E00000003000400FFDE00FF⟧in sequenza ⟦MSBT:0E00000003000400000000FF⟧voli più in alto!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧¡Llega más alto con supersaltos ⟦MSBT:0E00000003000400FFDE00FF⟧seguidos⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FFDE00FF⟧연속⟦MSBT:0E00000003000400000000FF⟧으로 누르면 ⟦MSBT:0E00000003000400FFDE00FF⟧더 높이 ⟦MSBT:0E00000003000400000000FF⟧점프!,"⟦MSBT:0E000000020002004B00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Art arda yüksek zıpla⟦MSBT:0E00000003000400000000FF⟧, daha yükseğe çık!⟦MSBT:0E000000020002006400⟧"
15,PauseBgLoText04,⟦MSBT:0E000000020002006400⟧Press ⟦MSBT:0E00010000000000⟧ at the ⟦MSBT:0E00000003000400FFDE00FF⟧peak ⟦MSBT:0E00000003000400000000FF⟧of a jump!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Appuyez sur ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005500⟧ au ⟦MSBT:0E00000003000400FFDE00FF⟧pic ⟦MSBT:0E00000003000400000000FF⟧de votre saut !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Drücke ⟦MSBT:0E00010000000000⟧ am ⟦MSBT:0E00000003000400FFDE00FF⟧höchsten Punkt ⟦MSBT:0E00000003000400000000FF⟧eines Sprungs!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧Premi ⟦MSBT:0E00010000000000⟧ al ⟦MSBT:0E00000003000400FFDE00FF⟧culmine ⟦MSBT:0E00000003000400000000FF⟧del salto!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006000⟧Pulsa ⟦MSBT:0E00010000000000⟧ en lo ⟦MSBT:0E00000003000400FFDE00FF⟧más alto ⟦MSBT:0E00000003000400000000FF⟧del salto.⟦MSBT:0E000000020002006400⟧,점프 중 ⟦MSBT:0E00000003000400FFDE00FF⟧꼭대기⟦MSBT:0E00000003000400000000FF⟧에서 ⟦MSBT:0E000000020002007800⟧⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Zıplamanın zirvesinde⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00010000000000⟧'ya bas!⟦MSBT:0E000000020002006400⟧
16,TitleStartBtn,Start,Commencer,Start,Inizia,Comenzar,시작,Başla
17,TitleButtonLv1,Level 1,Niveau 1,Level 1,Livello 1,Nivel 1,레벨1,Seviye 1
18,TitleButtonLv2,Level 2,Niveau 2,Level 2,Livello 2,Nivel 2,레벨2,Seviye 2
19,TitleButtonLv3,Level 3,Niveau 3,Level 3,Livello 3,Nivel 3,레벨3,Seviye 3
20,TitleButtonExtra,Extra,Extra,Extra,Extra,Nivel +,엑스트라,Ekstra
21,TitleHeaderLv1,Level 1,Niveau 1,Level 1,Livello 1,Nivel 1,레벨1,Seviye 1
22,TitleHeaderLv2,Level 2,Niveau 2,Level 2,Livello 2,Nivel 2,레벨2,Seviye 2
23,TitleHeaderLv3,Level 3,Niveau 3,Level 3,Livello 3,Nivel 3,레벨3,Seviye 3
24,TitleHeaderExtra,Extra,Extra,Extra,Extra,Nivel +,엑스트라,Ekstra
25,TitleButtonExit,Quit,⟦MSBT:0E000000020002006300⟧Quitter⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Beenden⟦MSBT:0E000000020002006400⟧,Esci,Salir,마치기,Çık
26,TitleButtonToTitle,Back,Retour,Zurück,⟦MSBT:0E000000020002005000⟧Indietro⟦MSBT:0E000000020002006400⟧,Atrás,뒤로,Geri
27,TitleButtonBack,Back,Retour,Zurück,⟦MSBT:0E000000020002005000⟧Indietro⟦MSBT:0E000000020002006400⟧,Atrás,뒤로,Geri
28,TitleButtonRanking,Ranking,⟦MSBT:0E000000020002005500⟧Classement⟦MSBT:0E000000020002006400⟧,Rangliste,Podio,⟦MSBT:0E000000020002004F00⟧Clasificación⟦MSBT:0E000000020002006400⟧,랭킹,Sıralama
29,TitleButtonTutorial,Tutorial,Tutoriel,Tutorial,Tutorial,Tutorial,플레이 방법,Öğretici
30,TitleButtonTutorialStart,Begin,⟦MSBT:0E000000020002004100⟧Commencer⟦MSBT:0E000000020002006400⟧,Start,Inizia,Iniciar,시작하기,Başla
31,TitleBarHiscoreText,Best,Record,Rekord,Record,Récord,하이 스코어,En İyi
32,TitleInfoLv1,Green Greens,Vertes Prairies,Frühlingswiese,Verde aiuola,Prados verdes,그린 그린,Yeşil Çayırlar
33,TitleInfoLv1RankingHeader,Green Greens,Vertes Prairies,Frühlingswiese,Verde aiuola,Prados verdes,그린 그린,Yeşil Çayırlar
34,TitleInfoLv1ExpUL,"⟦MSBT:0E000000020002005A00⟧A good stage for beginners.
Match the rhythm, and
press ⟦MSBT:0E00010000000000⟧  to ⟦MSBT:0E00000003000400FFDE00FF⟧jump⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Idéal pour les débutants.
Suivez le rythme et
appuyez sur ⟦MSBT:0E00010000000000⟧  pour ⟦MSBT:0E00000003000400FFDE00FF⟧sauter⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005800⟧Gut für Anfänger geeignet.
Bleibe im Rhythmus und
drücke ⟦MSBT:0E00010000000000⟧, um zu⟦MSBT:0E00000003000400FFDE00FF⟧ springen⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Il livello ideale per
cominciare. Segui il ritmo
e premi ⟦MSBT:0E00010000000000⟧  per ⟦MSBT:0E00000003000400FFDE00FF⟧saltare⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Ideal para principiantes.
¡Sigue el ritmo y
pulsa ⟦MSBT:0E00010000000000⟧  para ⟦MSBT:0E00000003000400FFDE00FF⟧saltar⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","처음엔 이 곡으로 시작하자!
리듬을 타고 ⟦MSBT:0E00010000000000⟧를 눌러 ⟦MSBT:0E00000003000400FFDE00FF⟧점프⟦MSBT:0E00000003000400000000FF⟧!
⟦MSBT:0E00000003000400FFDE00FF⟧골 드럼⟦MSBT:0E00000003000400000000FF⟧을 향해 GO!","⟦MSBT:0E000000020002005A00⟧Yeni başlayanlar için ideal.
Ritme uy ve
⟦MSBT:0E00010000000000⟧ basarak ⟦MSBT:0E00000003000400FFDE00FF⟧zıpla⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
35,TitleInfoLv2,Gourmet Go Go,Rallye Exquis,Formel Mampf,⟦MSBT:0E000000020002004F00⟧Gara dei Buongustai⟦MSBT:0E000000020002006400⟧,Carrera gourmet,대결! 음식 레이스,Gurme Koşusu
36,TitleInfoLv2RankingHeader,Gourmet Go Go,Rallye Exquis,Formel Mampf,⟦MSBT:0E000000020002005800⟧Gara dei Buongustai⟦MSBT:0E000000020002006400⟧,Carrera gourmet,대결! 음식 레이스,Gurme Koşusu
37,TitleInfoLv2ExpL,Clear ⟦MSBT:0E00000003000400FFDE00FF⟧level 1 ⟦MSBT:0E00000003000400000000FF⟧to unlock!,"Terminez le ⟦MSBT:0E00000003000400FFDE00FF⟧niveau 1⟦MSBT:0E00000003000400000000FF⟧
pour y avoir accès !","⟦MSBT:0E000000020002005800⟧Zum Freischalten
⟦MSBT:0E00000003000400FFDE00FF⟧Level 1 ⟦MSBT:0E00000003000400000000FF⟧beenden!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Devi prima completare
il ⟦MSBT:0E00000003000400FFDE00FF⟧livello 1⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧¡Supera el ⟦MSBT:0E00000003000400FFDE00FF⟧nivel 1⟦MSBT:0E00000003000400000000FF⟧
para poder entrar!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FFDE00FF⟧레벨1⟦MSBT:0E00000003000400000000FF⟧을 클리어하면
플레이할 수 있게 된다!","Açmak için ⟦MSBT:0E00000003000400FFDE00FF⟧Seviye 1⟦MSBT:0E00000003000400000000FF⟧'i
tamamla!"
38,TitleInfoLv2ExpUL,"⟦MSBT:0E000000020002005A00⟧The ⟦MSBT:0E00000003000400FFDE00FF⟧tempo ⟦MSBT:0E00000003000400000000FF⟧increases in
this ⟦MSBT:0E00000003000400FFDE00FF⟧gourmet⟦MSBT:0E00000003000400000000FF⟧ track!
Watch for ⟦MSBT:0E00000003000400FFDE00FF⟧moving drums⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Le ⟦MSBT:0E00000003000400FFDE00FF⟧tempo⟦MSBT:0E00000003000400000000FF⟧ s'accélère sur cette
piste ⟦MSBT:0E00000003000400FFDE00FF⟧exquise⟦MSBT:0E00000003000400000000FF⟧ ! Attention aux
⟦MSBT:0E00000003000400FFDE00FF⟧tam-tams mobiles ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005600⟧Dieser Level ist ein noch⟦MSBT:0E00000003000400FFDE00FF⟧
rasanterer Leckerbissen⟦MSBT:0E00000003000400000000FF⟧! Pass
bei ⟦MSBT:0E00000003000400FFDE00FF⟧beweglichen Trommeln ⟦MSBT:0E00000003000400000000FF⟧auf!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Ritmo⟦MSBT:0E00000003000400000000FF⟧ in aumento per
questo livello da ⟦MSBT:0E00000003000400FFDE00FF⟧golosi⟦MSBT:0E00000003000400000000FF⟧.
Attenzione ai ⟦MSBT:0E00000003000400FFDE00FF⟧tamburi mobili⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧El ⟦MSBT:0E00000003000400FFDE00FF⟧ritmo ⟦MSBT:0E00000003000400000000FF⟧se acelera en
⟦MSBT:0E00000003000400FFDE00FF⟧Carrera gourmet⟦MSBT:0E00000003000400000000FF⟧... ¡y
hay ⟦MSBT:0E00000003000400FFDE00FF⟧tambores móviles⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","배가 고프기 때문일까?
⟦MSBT:0E00000003000400FFDE00FF⟧템포⟦MSBT:0E00000003000400000000FF⟧가 ⟦MSBT:0E00000003000400FFDE00FF⟧빨라⟦MSBT:0E00000003000400000000FF⟧졌다!
⟦MSBT:0E00000003000400FFDE00FF⟧움직이는 드럼⟦MSBT:0E00000003000400000000FF⟧을 조심하라!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Gurme⟦MSBT:0E00000003000400000000FF⟧ pistte ⟦MSBT:0E00000003000400FFDE00FF⟧tempo⟦MSBT:0E00000003000400000000FF⟧ hızlanır!
⟦MSBT:0E00000003000400FFDE00FF⟧Hareketli davullara⟦MSBT:0E00000003000400000000FF⟧
dikkat et!⟦MSBT:0E000000020002006400⟧"
39,TitleInfoLv3,Dedede's Theme,⟦MSBT:0E000000020002005900⟧Thème de DaDiDou⟦MSBT:0E000000020002006400⟧,Dededes Melodie,Tema di Dedede,⟦MSBT:0E000000020002005700⟧Melodía de Dedede⟦MSBT:0E000000020002006400⟧,디디디 대왕의 테마,Dedede Teması
40,TitleInfoLv3RankingHeader,Dedede's Theme,⟦MSBT:0E000000020002005900⟧Thème de DaDiDou⟦MSBT:0E000000020002006400⟧,Dededes Melodie,Tema di Dedede,⟦MSBT:0E000000020002005700⟧Melodía de Dedede⟦MSBT:0E000000020002006400⟧,디디디 대왕의 테마,Dedede Teması
41,TitleInfoLv3ExpL,Clear ⟦MSBT:0E00000003000400FFDE00FF⟧level 1 ⟦MSBT:0E00000003000400000000FF⟧to unlock!,"Terminez le ⟦MSBT:0E00000003000400FFDE00FF⟧niveau 1⟦MSBT:0E00000003000400000000FF⟧
pour y avoir accès !","⟦MSBT:0E000000020002005800⟧Zum Freischalten
⟦MSBT:0E00000003000400FFDE00FF⟧Level 1 ⟦MSBT:0E00000003000400000000FF⟧beenden!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Devi prima completare
il ⟦MSBT:0E00000003000400FFDE00FF⟧livello 1⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧¡Supera el ⟦MSBT:0E00000003000400FFDE00FF⟧nivel 1⟦MSBT:0E00000003000400000000FF⟧
para poder entrar!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FFDE00FF⟧레벨1⟦MSBT:0E00000003000400000000FF⟧을 클리어하면
플레이할 수 있게 된다!","Açmak için ⟦MSBT:0E00000003000400FFDE00FF⟧Seviye 1⟦MSBT:0E00000003000400000000FF⟧'i
tamamla!"
42,TitleInfoLv3ExpUL,"⟦MSBT:0E000000020002005A00⟧The king's own theme song.
In this stage, drums can
⟦MSBT:0E00000003000400FFDE00FF⟧break ⟦MSBT:0E00000003000400000000FF⟧due to the ⟦MSBT:0E00000003000400FFDE00FF⟧fast pace⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧L'hymne du Roi en personne !
Attention, certains ⟦MSBT:0E00000003000400FFDE00FF⟧tam-tams⟦MSBT:0E00000003000400000000FF⟧
cassent sur votre ⟦MSBT:0E00000003000400FFDE00FF⟧passage⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005800⟧Die Melodie des Königs. In
diesem Level ⟦MSBT:0E00000003000400FFDE00FF⟧zerbrechen ⟦MSBT:0E00000003000400000000FF⟧bei
dem ⟦MSBT:0E00000003000400FFDE00FF⟧hohen Tempo ⟦MSBT:0E00000003000400000000FF⟧Trommeln!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧La canzone di King Dedede.
Un ritmo così ⟦MSBT:0E00000003000400FFDE00FF⟧incalzante
⟦MSBT:0E00000003000400000000FF⟧che i tamburi possono
persino ⟦MSBT:0E00000003000400FFDE00FF⟧frantumarsi⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005C00⟧En esta melodía exclusiva
del Rey Dedede, ¡algunos
tambores se ⟦MSBT:0E00000003000400FFDE00FF⟧rompen⟦MSBT:0E00000003000400000000FF⟧
por el ⟦MSBT:0E00000003000400FFDE00FF⟧rápido ritmo⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","대왕의 테마 곡!
⟦MSBT:0E00000003000400FFDE00FF⟧빠른 템포⟦MSBT:0E00000003000400000000FF⟧에 ⟦MSBT:0E00000003000400FFDE00FF⟧부서지는
드럼⟦MSBT:0E00000003000400000000FF⟧까지! 어려운 스테이지다!","⟦MSBT:0E000000020002005A00⟧Kralın kendi tema şarkısı.
⟦MSBT:0E00000003000400FFDE00FF⟧Hızlı tempo⟦MSBT:0E00000003000400000000FF⟧ yüzünden
davullar ⟦MSBT:0E00000003000400FFDE00FF⟧kırılabilir⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
43,TitleInfoExtra,Distant Traveller,⟦MSBT:0E000000020002005F00⟧Voyageur lointain⟦MSBT:0E000000020002006400⟧,Weltenbummler,⟦MSBT:0E000000020002006100⟧Un lungo viaggio⟦MSBT:0E000000020002006400⟧,Viajero lejano,이공을 건너는 여행자,Uzak Gezgin
44,TitleInfoExtraRankingHeader,Distant Traveller,⟦MSBT:0E000000020002005F00⟧Voyageur lointain⟦MSBT:0E000000020002006400⟧,Weltenbummler,⟦MSBT:0E000000020002006100⟧Un lungo viaggio⟦MSBT:0E000000020002006400⟧,Viajero lejano,이공을 건너는 여행자,Uzak Gezgin
45,TitleInfoExtraExpL,"⟦MSBT:0E000000020002005A00⟧Becomes playable once
you've earned ⟦MSBT:0E00000003000400FFDE00FF⟧gold medals
⟦MSBT:0E00000003000400000000FF⟧on ⟦MSBT:0E00000003000400FFDE00FF⟧all other levels⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Obtenez une ⟦MSBT:0E00000003000400FFDE00FF⟧médaille d'or⟦MSBT:0E00000003000400000000FF⟧
dans tous ⟦MSBT:0E00000003000400FFDE00FF⟧les autres
niveaux ⟦MSBT:0E00000003000400000000FF⟧pour y accéder !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Wird freigeschaltet, wenn
du in ⟦MSBT:0E00000003000400FFDE00FF⟧allen anderen Leveln⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FFDE00FF⟧Goldmedaillen ⟦MSBT:0E00000003000400000000FF⟧gewonnen hast!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Un livello da campioni: puoi
giocarlo se ottieni tutte le⟦MSBT:0E00000003000400FFDE00FF⟧
⟦MSBT:0E000000020002005A00⟧medaglie d'oro ⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005A00⟧in
⟦MSBT:0E00000003000400FFDE00FF⟧tutti i livelli⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Para entrar, ¡consigue
una ⟦MSBT:0E00000003000400FFDE00FF⟧medalla de oro⟦MSBT:0E00000003000400000000FF⟧
en ⟦MSBT:0E00000003000400FFDE00FF⟧todos los niveles⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FFDE00FF⟧모든 레벨⟦MSBT:0E00000003000400000000FF⟧에서
⟦MSBT:0E00000003000400FFDE00FF⟧골드 메달⟦MSBT:0E00000003000400000000FF⟧을 획득하면
플레이할 수 있게 된다!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Diğer tüm seviyelerde⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FFDE00FF⟧altın madalya⟦MSBT:0E00000003000400000000FF⟧ kazandığında
oynanabilir!⟦MSBT:0E000000020002006400⟧"
