index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
10,BossNameMisterfrosty,Mr. Frosty,Frigor Efik,Dr. Eisbert,Dadopagos,Sr. Mórsez,미스터 프로스티,Bay Ayaz
11,BossNameMisterfrostyEx,Mr. Frosty DX,Frigor Efik DX,Dr. Eisbert DX,Dadopagos DX,Sr. Mórsez DX,미스터 프로스티 DX,Bay Ayaz DX
12,BossNameGigantedge,Gigant Edge,Gigalame,Schwert-Koloss,Mega cavaliere,Filo Gigante,기간트에지,Kılıç Devi
13,BossNameGigantedgeEx,Gigant Edge DX,Gigalame DX,Schwert-Koloss DX,Mega cavaliere DX,Filo Gigante DX,기간트에지 DX,Kılıç Devi DX
14,BossNameGrandwheelie,Grand Wheelie,Grand Roulli,Mega-Wheelie,Gran Ruotaccio,Gran Wheelie,그랜드 타이어맨,Büyük Teker
15,BossNameGrandwheelieEx,Grand Wheelie DX,Grand Roulli DX,Mega-Wheelie DX,Gran Ruotaccio DX,Gran Wheelie DX,그랜드 타이어맨 DX,Büyük Teker DX
16,BossNamePaincia,Paintra,Paintra,Farbhex,Artis,Acuarela,페인트라,Boyatra
17,BossNamePainciaEx,Paintra DX,Paintra DX,Farbhex DX,Artis DX,Acuarela DX,페인트라 DX,Boyatra DX
18,BossNameKracko,Kracko,Kracko,Kracko,Kracko,Kracko,크랙코,Kracko
19,BossNameKrackoEx,Kracko DX,Kracko DX,Kracko DX,Kracko DX,Kracko DX,크랙코 DX,Kracko DX
20,BossNameTogurogaraga,Coily Rattler,Krotal,Klapperschlängler,Sonaglius,Cascabel Enroscada,코일샤샤,Kıvrak Çıngırak
21,BossNameTogurogaragaEx,Coily Rattler DX,Krotal DX,Klapperschlängler DX,Sonaglius DX,⟦MSBT:0E000000020002005C00⟧Cascabel Enroscada DX⟦MSBT:0E000000020002006400⟧,코일샤샤 DX,Kıvrak Çıngırak DX
22,BossNameFlamegalboros,Flame Galboros,Flam Galboros,Feuer-Galboros,Galboros di fuoco,Galboamo Flamígero,플레임 칼보로스,Alev Galboros
23,BossNameFlamegalborosEx,Flame Galboros DX,Flam Galboros DX,Feuer-Galboros DX,Galboros di fuoco DX,⟦MSBT:0E000000020002005C00⟧Galboamo Flamígero DX⟦MSBT:0E000000020002006400⟧,플레임 칼보로스 DX,Alev Galboros DX
24,BossNameHelmehorn,Hornhead,Têtacorne,Hornramm,Capocorno,Cornucasco,혼헤드,Boynuzkafa
25,BossNameHelmehornEx,Hornhead DX,Têtacorne DX,Hornramm DX,Capocorno DX,Cornucasco DX,혼헤드 DX,Boynuzkafa DX
26,BossNameBonkers,Bonkers,Bonkers,Bonkers,Bonkers,Bonkers,본커스,Bonkers
27,BossNameBonkersEx,Bonkers DX,Bonkers DX,Bonkers DX,Bonkers DX,Bonkers DX,본커스 DX,Bonkers DX
28,BossNameMaskeddedede,Masked Dedede,⟦MSBT:0E000000020002006400⟧DaDiDou Masqué⟦MSBT:0E000000020002006400⟧,Dedede Inkognito,Dedede Mascherato,Dedede enmascarado,마스크 디디디,Maskeli Dedede
29,BossNameSectniavine,Sectonia Vine,Plante Sectonia,Sectonia-Ranke,⟦MSBT:0E000000020002005A00⟧Queen Sectonia tralcio⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005C00⟧Enredadera de Sectonia⟦MSBT:0E000000020002006400⟧,세크토니아 바인,Sectonia Sarmaşığı
30,BossNameQueensectnia,Queen Sectonia,Reine Sectonia,Königin Sectonia,Queen Sectonia,Reina Sectonia,퀸 세크토니아,Kraliçe Sectonia
31,BossNameQueensectniaEx,Queen Sectonia DX,Reine Sectonia DX,Königin Sectonia DX,Queen Sectonia DX,Reina Sectonia DX,퀸 세크토니아 DX,Kraliçe Sectonia DX
32,BossNameVolgerom,Pyribbit,Cramaud,Pyrosch,Vulkan,Pirobúho,개굴로스,Pirovrak
33,BossNameVolgeromEx,Pyribbit DX,Cramaud DX,Pyrosch DX,Vulkan DX,Pirobúho DX,개굴로스 DX,Pirovrak DX
34,BossNameSectniaflower,Sectonia's Flower,Fleur de Sectonia,Blumen-Sectonia,⟦MSBT:0E000000020002005F00⟧Queen Sectonia fiorita⟦MSBT:0E000000020002006400⟧,Sectonia Florida,퀸 세크토니아,Sectonia'nın Çiçeği
35,BossNameMaskeddedede2,⟦MSBT:0E000000020002005300⟧Masked Dedede's Revenge⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧DaDiDou Masqué Ultra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004D00⟧Rache des Dedede Inkognito⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧La vendetta di Dedede Mascherato⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Dedede enmascarado vengador⟦MSBT:0E000000020002006400⟧,마스크 디디디 리벤지,⟦MSBT:0E000000020002005300⟧Maskeli Dedede'nin İntikamı⟦MSBT:0E000000020002006400⟧
36,BossNameBlocky,Blocky,Blocky,Blocky,Blocky,Blocky,블라키,Blocky
37,BossNameBlockyEx,Blocky DX,Blocky DX,Blocky DX,Blocky DX,Blocky DX,블라키 DX,Blocky DX
38,BossNameBlackdedede,Shadow Dedede,DaDiDou Ombre,Shadow-Dedede,Dedede Ombra,Dedede oscuro,블랙 디디디,Gölge Dedede
39,BossNameDarkmetaknight,⟦MSBT:0E000000020002004E00⟧Dark Meta Knight's Revenge⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Dark Meta Knight Ultra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Meta-Knights Dunkle Rache⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧La vendetta di Meta Knight Nero⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005100⟧Dark Meta Knight vengador⟦MSBT:0E000000020002006400⟧,다크 메타 나이트 리벤지,⟦MSBT:0E000000020002004E00⟧Karanlık Meta Knight'ın İntikamı⟦MSBT:0E000000020002006400⟧
40,BossNameSectniasoul,Soul of Sectonia,Sectonia Fleurie,Sectonias Blüte,⟦MSBT:0E000000020002005D00⟧Queen Sectonia boccio⟦MSBT:0E000000020002006400⟧,Brote de Sectonia,세크토니아 소울,Sectonia'nın Ruhu
