index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
10,Stage5,STAGE 5,ÉTAPE 5,LEVEL 5,LIVELLO 5,ETAPA 5,STAGE 5,AŞAMA 5
11,Stage6,STAGE 6,ÉTAPE 6,LEVEL 6,LIVELLO 6,ETAPA 6,STAGE 6,AŞAMA 6
12,Stage7,STAGE 7,ÉTAPE 7,LEVEL 7,LIVELLO 7,ETAPA 7,STAGE 7,AŞAMA 7
13,Stage8,STAGE 8,ÉTAPE 8,LEVEL 8,LIVELLO 8,ETAPA 8,STAGE 8,AŞAMA 8
14,Ex,EX,EX,⟦MSBT:0E000000020002006400⟧+⟦MSBT:0E000000020002006400⟧,X,+,EX,EX
15,Boss,⟦MSBT:0E000000020002006200⟧BOSS⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006200⟧BOSS⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006200⟧BOSS⟦MSBT:0E000000020002006400⟧,BOSS,JEFE,⟦MSBT:0E000000020002006200⟧BOSS⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004000⟧PATRON⟦MSBT:0E000000020002006400⟧
16,BossUnlocked,"⟦MSBT:0E000000020002005500⟧The ⟦MSBT:0E00000003000400FF4600FF⟧Sun Stones⟦MSBT:0E00000003000400000000FF⟧ you've found
have opened the ⟦MSBT:0E00000003000400FF4600FF⟧boss stage⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005E00⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧gemmes solaires ⟦MSBT:0E00000003000400000000FF⟧de
ce niveau vous ouvrent
la⟦MSBT:0E00000003000400FF4600FF⟧ porte du boss⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Deine ⟦MSBT:0E00000003000400FF4600FF⟧Sonnensteine ⟦MSBT:0E00000003000400000000FF⟧haben
den ⟦MSBT:0E00000003000400FF4600FF⟧Boss-Level⟦MSBT:0E00000003000400000000FF⟧ geöffnet!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Le ⟦MSBT:0E00000003000400FF4600FF⟧Pietre del ⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E00000003000400FF4600FF⟧Sole ⟦MSBT:0E00000003000400000000FF⟧trovate
hanno sbloccato il ⟦MSBT:0E00000003000400FF4600FF⟧livello boss⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧¡Las ⟦MSBT:0E00000003000400FF4600FF⟧Piedras Solares⟦MSBT:0E00000003000400000000FF⟧ que has
reunido han desbloqueado
la ⟦MSBT:0E00000003000400FF4600FF⟧etapa del jefe⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","지금까지 모은 ⟦MSBT:0E00000003000400FF4600FF⟧선스톤⟦MSBT:0E00000003000400000000FF⟧의 힘으로⟦MSBT:0E00000003000400FF4600FF⟧
보스에게 가는 길⟦MSBT:0E00000003000400000000FF⟧이 열렸다!","⟦MSBT:0E000000020002005500⟧Bulduğun ⟦MSBT:0E00000003000400FF4600FF⟧Güneş Taşları⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4600FF⟧patron aşamasını⟦MSBT:0E00000003000400000000FF⟧ açtı!⟦MSBT:0E000000020002006400⟧"
17,Lv6BossUnlocked,"⟦MSBT:0E000000020002005400⟧The ⟦MSBT:0E00000003000400FF4600FF⟧Sun Stones⟦MSBT:0E00000003000400000000FF⟧ you've found
have opened the ⟦MSBT:0E00000003000400FF4600FF⟧final boss stage⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005E00⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧gemmes solaires⟦MSBT:0E00000003000400000000FF⟧ de
ce niveau vous ouvrent
la⟦MSBT:0E00000003000400FF4600FF⟧ porte du dernier boss⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Deine ⟦MSBT:0E00000003000400FF4600FF⟧Sonnensteine
⟦MSBT:0E00000003000400000000FF⟧haben den ⟦MSBT:0E00000003000400FF4600FF⟧Endboss-
Level⟦MSBT:0E00000003000400000000FF⟧ geöffnet!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Le ⟦MSBT:0E00000003000400FF4600FF⟧Pietre del ⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E00000003000400FF4600FF⟧Sole ⟦MSBT:0E00000003000400000000FF⟧trovate hanno
sbloccato il ⟦MSBT:0E00000003000400FF4600FF⟧livello boss finale⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧¡Las ⟦MSBT:0E00000003000400FF4600FF⟧Piedras Solares ⟦MSBT:0E00000003000400000000FF⟧que has
reunido han desbloqueado
la ⟦MSBT:0E00000003000400FF4600FF⟧etapa del jefe final⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","지금까지 모은 ⟦MSBT:0E00000003000400FF4600FF⟧선스톤⟦MSBT:0E00000003000400000000FF⟧의 힘으로
마지막 ⟦MSBT:0E00000003000400FF4600FF⟧보스에게 가는 길⟦MSBT:0E00000003000400000000FF⟧이…
드디어 열렸다!","⟦MSBT:0E000000020002005400⟧Bulduğun ⟦MSBT:0E00000003000400FF4600FF⟧Güneş Taşları⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4600FF⟧son patron aşamasını⟦MSBT:0E00000003000400000000FF⟧ açtı!⟦MSBT:0E000000020002006400⟧"
18,SunStoneNotEnough,"⟦MSBT:0E000000020002005500⟧Find more ⟦MSBT:0E00000003000400FF4600FF⟧Sun Stones ⟦MSBT:0E00000003000400000000FF⟧in
⟦MSBT:0E00000003000400FF4600FF⟧this level⟦MSBT:0E00000003000400000000FF⟧ to open this stage.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧⟦MSBT:0E00000003000400FF4600FF⟧Trouvez d'autres gemmes solaires⟦MSBT:0E00000003000400000000FF⟧
dans ⟦MSBT:0E00000003000400FF4600FF⟧ce niveau ⟦MSBT:0E00000003000400000000FF⟧pour progresser.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧Finde in ⟦MSBT:0E00000003000400FF4600FF⟧dieser Welt⟦MSBT:0E00000003000400000000FF⟧ mehr ⟦MSBT:0E00000003000400FF4600FF⟧Sonnen-
steine⟦MSBT:0E00000003000400000000FF⟧, um diesen Level zu öffnen.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005200⟧⟦MSBT:0E00000003000400FF4600FF⟧Trova più Pietre del Sole⟦MSBT:0E00000003000400000000FF⟧ in ⟦MSBT:0E00000003000400FF4600FF⟧questo
Mondo ⟦MSBT:0E00000003000400000000FF⟧per sbloccare questo livello.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧Reúne más ⟦MSBT:0E00000003000400FF4600FF⟧Piedras Solares⟦MSBT:0E00000003000400000000FF⟧
en ⟦MSBT:0E00000003000400FF4600FF⟧este nivel ⟦MSBT:0E00000003000400000000FF⟧para
desbloquear esta etapa.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4600FF⟧선스톤이 부족하다!⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4600FF⟧이 레벨⟦MSBT:0E00000003000400000000FF⟧에서 조금 더
선스톤을 모으자!","⟦MSBT:0E000000020002005500⟧Bu aşamayı açmak için
⟦MSBT:0E00000003000400FF4600FF⟧bu bölümde⟦MSBT:0E00000003000400000000FF⟧ daha çok
⟦MSBT:0E00000003000400FF4600FF⟧Güneş Taşı⟦MSBT:0E00000003000400000000FF⟧ bul.⟦MSBT:0E000000020002006400⟧"
19,ExUnlocked,"⟦MSBT:0E000000020002005500⟧By finding ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ Sun Stones⟦MSBT:0E00000003000400000000FF⟧, you've
unlocked an ⟦MSBT:0E00000003000400FF4600FF⟧extra stage⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Grâce à vos ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ gemmes solaires⟦MSBT:0E00000003000400000000FF⟧,
vous avez débloqué
une ⟦MSBT:0E00000003000400FF4600FF⟧étape EX⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Du hast ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ Sonnensteine
⟦MSBT:0E00000003000400000000FF⟧gefunden, und einen
⟦MSBT:0E00000003000400FF4600FF⟧+ Level ⟦MSBT:0E00000003000400000000FF⟧geöffnet!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Hai trovato ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002005300⟧ Pietre del Sole⟦MSBT:0E000000020002005900⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005300⟧
e hai sbloccato un ⟦MSBT:0E00000003000400FF4600FF⟧livello X⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧¡Tus ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ Piedras Solares⟦MSBT:0E00000003000400000000FF⟧ han
desbloqueado ⟦MSBT:0E00000003000400FF4600FF⟧una etapa +⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","선스톤 ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧개⟦MSBT:0E00000003000400000000FF⟧가 모여
⟦MSBT:0E00000003000400FF4600FF⟧엑스트라 스테이지⟦MSBT:0E00000003000400000000FF⟧가 열렸다!","⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ Güneş Taşı⟦MSBT:0E00000003000400000000FF⟧ bularak,
⟦MSBT:0E00000003000400FF4600FF⟧ek aşama⟦MSBT:0E00000003000400000000FF⟧ açtın!⟦MSBT:0E000000020002006400⟧"
20,Lv2Unlocked,"⟦MSBT:0E000000020002005A00⟧The Dreamstalk has grown!
You can now proceed to
the ⟦MSBT:0E00000003000400FF4600FF⟧second floating island⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧La Tige des rêves a poussé,
vous pouvez maintenant
accéder au ⟦MSBT:0E00000003000400FF4600FF⟧niveau 2⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die Traumranke ist
gewachsen! Du kannst
nun ⟦MSBT:0E00000003000400FF4600FF⟧Welt 2⟦MSBT:0E00000003000400000000FF⟧ erkunden!","⟦MSBT:0E000000020002005700⟧La Pianta dei Sogni è cresciuta!
Ora puoi procedere alla prossima
isola fluttuante: il ⟦MSBT:0E00000003000400FF4600FF⟧Mondo 2⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡La Planta de ensueño
ha crecido! ¡Ya puedes
acceder al ⟦MSBT:0E00000003000400FF4600FF⟧nivel 2⟦MSBT:0E00000003000400000000FF⟧!","월드 트리가 성장해서
⟦MSBT:0E00000003000400FF4600FF⟧레벨2 ⟦MSBT:0E00000003000400000000FF⟧대륙으로
갈 수 있게 되었다!","⟦MSBT:0E000000020002005A00⟧Rüya Sarmaşığı büyüdü!
Artık ⟦MSBT:0E00000003000400FF4600FF⟧ikinci yüzen adaya⟦MSBT:0E00000003000400000000FF⟧
gidebilirsin.⟦MSBT:0E000000020002006400⟧"
21,Lv3Unlocked,"⟦MSBT:0E000000020002005A00⟧The Dreamstalk has grown!
You can now proceed to 
the ⟦MSBT:0E00000003000400FF4600FF⟧third floating island⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧La Tige des rêves a poussé,
vous pouvez maintenant
accéder au ⟦MSBT:0E00000003000400FF4600FF⟧niveau 3⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die Traumranke ist
gewachsen! Du kannst
nun ⟦MSBT:0E00000003000400FF4600FF⟧Welt 3⟦MSBT:0E00000003000400000000FF⟧ erkunden!","⟦MSBT:0E000000020002005700⟧La Pianta dei Sogni è cresciuta!
Ora puoi procedere alla prossima
isola fluttuante: il ⟦MSBT:0E00000003000400FF4600FF⟧Mondo 3⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡La Planta de ensueño
ha crecido! ¡Ya puedes
acceder al ⟦MSBT:0E00000003000400FF4600FF⟧nivel 3⟦MSBT:0E00000003000400000000FF⟧!","월드 트리가 성장해서
⟦MSBT:0E00000003000400FF4600FF⟧레벨3 ⟦MSBT:0E00000003000400000000FF⟧대륙으로
갈 수 있게 되었다!","⟦MSBT:0E000000020002005A00⟧Rüya Sarmaşığı büyüdü!
Artık ⟦MSBT:0E00000003000400FF4600FF⟧üçüncü yüzen adaya⟦MSBT:0E00000003000400000000FF⟧
gidebilirsin.⟦MSBT:0E000000020002006400⟧"
22,Lv4Unlocked,"⟦MSBT:0E000000020002005A00⟧The Dreamstalk has grown!
You can now proceed to 
the ⟦MSBT:0E00000003000400FF4600FF⟧fourth floating island⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧La Tige des rêves a poussé,
vous pouvez maintenant
accéder au ⟦MSBT:0E00000003000400FF4600FF⟧niveau 4⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die Traumranke ist
gewachsen! Du kannst
nun ⟦MSBT:0E00000003000400FF4600FF⟧Welt 4⟦MSBT:0E00000003000400000000FF⟧ erkunden!","⟦MSBT:0E000000020002005700⟧La Pianta dei Sogni è cresciuta!
Ora puoi procedere alla prossima
isola fluttuante: il ⟦MSBT:0E00000003000400FF4600FF⟧Mondo 4⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡La Planta de ensueño
ha crecido! ¡Ya puedes
acceder al ⟦MSBT:0E00000003000400FF4600FF⟧nivel 4⟦MSBT:0E00000003000400000000FF⟧!","월드 트리가 성장해서
⟦MSBT:0E00000003000400FF4600FF⟧레벨4 ⟦MSBT:0E00000003000400000000FF⟧대륙으로
갈 수 있게 되었다!","⟦MSBT:0E000000020002005A00⟧Rüya Sarmaşığı büyüdü!
Artık ⟦MSBT:0E00000003000400FF4600FF⟧dördüncü yüzen adaya⟦MSBT:0E00000003000400000000FF⟧
gidebilirsin.⟦MSBT:0E000000020002006400⟧"
23,Lv5Unlocked,"⟦MSBT:0E000000020002005A00⟧The Dreamstalk has grown!
You can now proceed to 
the ⟦MSBT:0E00000003000400FF4600FF⟧fifth floating island⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧La Tige des rêves a poussé,
vous pouvez maintenant
accéder au ⟦MSBT:0E00000003000400FF4600FF⟧niveau 5⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die Traumranke ist
gewachsen! Du kannst
nun ⟦MSBT:0E00000003000400FF4600FF⟧Welt 5⟦MSBT:0E00000003000400000000FF⟧ erkunden!","⟦MSBT:0E000000020002005700⟧La Pianta dei Sogni è cresciuta!
Ora puoi procedere alla prossima
isola fluttuante: il ⟦MSBT:0E00000003000400FF4600FF⟧Mondo 5⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡La Planta de ensueño
ha crecido! ¡Ya puedes
acceder al ⟦MSBT:0E00000003000400FF4600FF⟧nivel 5⟦MSBT:0E00000003000400000000FF⟧!","월드 트리가 성장해서
⟦MSBT:0E00000003000400FF4600FF⟧레벨5 ⟦MSBT:0E00000003000400000000FF⟧대륙으로
갈 수 있게 되었다!","⟦MSBT:0E000000020002005A00⟧Rüya Sarmaşığı büyüdü!
Artık ⟦MSBT:0E00000003000400FF4600FF⟧beşinci yüzen adaya⟦MSBT:0E00000003000400000000FF⟧
gidebilirsin.⟦MSBT:0E000000020002006400⟧"
24,Lv6Unlocked,"⟦MSBT:0E000000020002005A00⟧The Dreamstalk has grown!
You can now proceed to 
the ⟦MSBT:0E00000003000400FF4600FF⟧sixth floating island⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧La Tige des rêves a poussé,
vous pouvez maintenant
accéder au ⟦MSBT:0E00000003000400FF4600FF⟧niveau 6⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die Traumranke ist
gewachsen! Du kannst
nun ⟦MSBT:0E00000003000400FF4600FF⟧Welt 6⟦MSBT:0E00000003000400000000FF⟧ erkunden!","⟦MSBT:0E000000020002005700⟧La Pianta dei Sogni è cresciuta!
Ora puoi procedere alla prossima
isola fluttuante: il ⟦MSBT:0E00000003000400FF4600FF⟧Mondo 6⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡La Planta de ensueño
ha crecido! ¡Ya puedes
acceder al ⟦MSBT:0E00000003000400FF4600FF⟧nivel 6⟦MSBT:0E00000003000400000000FF⟧!","월드 트리가 성장해서
드디어 ⟦MSBT:0E00000003000400FF4600FF⟧레벨6 ⟦MSBT:0E00000003000400000000FF⟧대륙으로
갈 수 있게 되었다!","⟦MSBT:0E000000020002005A00⟧Rüya Sarmaşığı büyüdü!
Artık ⟦MSBT:0E00000003000400FF4600FF⟧altıncı yüzen adaya⟦MSBT:0E00000003000400000000FF⟧
gidebilirsin.⟦MSBT:0E000000020002006400⟧"
25,AbilityRoomUnlocked,"⟦MSBT:0E000000020002005A00⟧You've unlocked the ⟦MSBT:0E00000003000400FF4600FF⟧Copy
Ability Testing Room⟦MSBT:0E00000003000400000000FF⟧! Try
descending the Dreamstalk.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧Vous avez maintenant accès à la
⟦MSBT:0E00000003000400FF4600FF⟧salle de test des pouvoirs ⟦MSBT:0E00000003000400000000FF⟧! Rendez-
vous en bas de la Tige des rêves.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005E00⟧Du hast den ⟦MSBT:0E00000003000400FF4600FF⟧Spezial-Power-
Testraum⟦MSBT:0E00000003000400000000FF⟧ freigeschaltet!
Klettere die Traumranke hinab.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Hai sbloccato la ⟦MSBT:0E00000003000400FF4600FF⟧stanza delle
abilità⟦MSBT:0E00000003000400000000FF⟧! Prova a scendere
dalla Pianta dei Sogni.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧¡En la base de la Planta de
ensueño está la ⟦MSBT:0E00000003000400FF4600FF⟧sala de
prueba de habilidades⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","클리어를 기념하여
⟦MSBT:0E00000003000400FF4600FF⟧실력 시험의 방⟦MSBT:0E00000003000400000000FF⟧이 오픈!
월드 트리를 거꾸로 내려가자!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF4600FF⟧Kopya Yeteneği
Deneme Odası'nı⟦MSBT:0E00000003000400000000FF⟧ açtın!
Rüya Sarmaşığı'ndan inmeyi dene.⟦MSBT:0E000000020002006400⟧"
26,Lv1Name,Lv1,Niv. 1,⟦MSBT:0E000000020002006400⟧Welt 1⟦MSBT:0E000000020002006400⟧,Mondo 1,Niv. 1,Lv1,Sv. 1
27,Lv2Name,Lv2,Niv. 2,⟦MSBT:0E000000020002006400⟧Welt 2⟦MSBT:0E000000020002006400⟧,Mondo 2,Niv. 2,Lv2,Sv. 2
28,Lv3Name,Lv3,Niv. 3,⟦MSBT:0E000000020002006400⟧Welt 3⟦MSBT:0E000000020002006400⟧,Mondo 3,Niv. 3,Lv3,Sv. 3
29,Lv4Name,Lv4,Niv. 4,⟦MSBT:0E000000020002006400⟧Welt 4⟦MSBT:0E000000020002006400⟧,Mondo 4,Niv. 4,Lv4,Sv. 4
30,Lv5Name,Lv5,Niv. 5,⟦MSBT:0E000000020002006400⟧Welt 5⟦MSBT:0E000000020002006400⟧,Mondo 5,Niv. 5,Lv5,Sv. 5
31,Lv6Name,Lv6,Niv. 6,⟦MSBT:0E000000020002006400⟧Welt 6⟦MSBT:0E000000020002006400⟧,Mondo 6,Niv. 6,Lv6,Sv. 6
