index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
10,LeadProgramming,LEAD PROGRAMMING,LEAD PROGRAMMING,LEAD PROGRAMMING,LEAD PROGRAMMING,LEAD PROGRAMMING,,BAŞ PROGRAMLAMA
11,LeadProgramming_00,YOSHIHIRO NAGATA,YOSHIHIRO NAGATA,YOSHIHIRO NAGATA,YOSHIHIRO NAGATA,YOSHIHIRO NAGATA,,YOSHIHIRO NAGATA
12,LeadActionProgramming,⟦MSBT:0E000000020002005200⟧LEAD ACTION PROGRAMMING⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧LEAD ACTION PROGRAMMING⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧LEAD ACTION PROGRAMMING⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧LEAD ACTION PROGRAMMING⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧LEAD ACTION PROGRAMMING⟦MSBT:0E000000020002006400⟧,,⟦MSBT:0E000000020002004D00⟧BAŞ AKSİYON PROGRAMLAMA⟦MSBT:0E000000020002006400⟧
13,LeadActionProgramming_00,KATSUYOSHI SUMITOMO,KATSUYOSHI SUMITOMO,KATSUYOSHI SUMITOMO,KATSUYOSHI SUMITOMO,KATSUYOSHI SUMITOMO,,KATSUYOSHI SUMITOMO
14,Programming,PROGRAMMING,PROGRAMMING,PROGRAMMING,PROGRAMMING,PROGRAMMING,,PROGRAMLAMA
15,Programming_00,SHO TAJIMA,SHO TAJIMA,SHO TAJIMA,SHO TAJIMA,SHO TAJIMA,,SHO TAJIMA
16,Programming_01,TOMOHIRO KAMOCHI,TOMOHIRO KAMOCHI,TOMOHIRO KAMOCHI,TOMOHIRO KAMOCHI,TOMOHIRO KAMOCHI,,TOMOHIRO KAMOCHI
17,Programming_02,TAKASHI NOZUE,TAKASHI NOZUE,TAKASHI NOZUE,TAKASHI NOZUE,TAKASHI NOZUE,,TAKASHI NOZUE
18,Programming_03,SHINICHI KAWAJI,SHINICHI KAWAJI,SHINICHI KAWAJI,SHINICHI KAWAJI,SHINICHI KAWAJI,,SHINICHI KAWAJI
19,Programming_04,YUKI NISHIMURA,YUKI NISHIMURA,YUKI NISHIMURA,YUKI NISHIMURA,YUKI NISHIMURA,,YUKI NISHIMURA
20,Programming_05,MASASHI SATO,MASASHI SATO,MASASHI SATO,MASASHI SATO,MASASHI SATO,,MASASHI SATO
21,Programming_06,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,,YUTAKA WATANABE
22,Programming_07,SHINYA WATANABE,SHINYA WATANABE,SHINYA WATANABE,SHINYA WATANABE,SHINYA WATANABE,,SHINYA WATANABE
23,Programming_08,HIROSHI OHNISHI,HIROSHI OHNISHI,HIROSHI OHNISHI,HIROSHI OHNISHI,HIROSHI OHNISHI,,HIROSHI OHNISHI
24,Programming_09,KEITA TANIFUJI,KEITA TANIFUJI,KEITA TANIFUJI,KEITA TANIFUJI,KEITA TANIFUJI,,KEITA TANIFUJI
25,DesignDirector,DESIGN DIRECTOR,DESIGN DIRECTOR,DESIGN DIRECTOR,DESIGN DIRECTOR,DESIGN DIRECTOR,,TASARIM ŞEFİ
26,DesignDirector_00,TADASHI KAMITAKE,TADASHI KAMITAKE,TADASHI KAMITAKE,TADASHI KAMITAKE,TADASHI KAMITAKE,,TADASHI KAMITAKE
27,LeadDesign,LEAD DESIGN,LEAD DESIGN,LEAD DESIGN,LEAD DESIGN,LEAD DESIGN,,BAŞ TASARIM
28,LeadDesign_00,KENICHIRO KITA,KENICHIRO KITA,KENICHIRO KITA,KENICHIRO KITA,KENICHIRO KITA,,KENICHIRO KITA
29,LeadDesign_01,MONAMI MATSUURA,MONAMI MATSUURA,MONAMI MATSUURA,MONAMI MATSUURA,MONAMI MATSUURA,,MONAMI MATSUURA
30,LeadDesign_02,TSUYOSHI FUJITA,TSUYOSHI FUJITA,TSUYOSHI FUJITA,TSUYOSHI FUJITA,TSUYOSHI FUJITA,,TSUYOSHI FUJITA
31,Design,DESIGN,DESIGN,DESIGN,DESIGN,DESIGN,,⟦MSBT:0E000000020002005500⟧TASARIM⟦MSBT:0E000000020002006400⟧
32,Design_00,AKIHIRO KANNO,AKIHIRO KANNO,AKIHIRO KANNO,AKIHIRO KANNO,AKIHIRO KANNO,,AKIHIRO KANNO
33,Design_01,RIKI FUHRMANN,RIKI FUHRMANN,RIKI FUHRMANN,RIKI FUHRMANN,RIKI FUHRMANN,,RIKI FUHRMANN
34,Design_02,RYUSEI MATSUO,RYUSEI MATSUO,RYUSEI MATSUO,RYUSEI MATSUO,RYUSEI MATSUO,,RYUSEI MATSUO
35,Design_03,TETSUYA MOCHIDUKI,TETSUYA MOCHIDUKI,TETSUYA MOCHIDUKI,TETSUYA MOCHIDUKI,TETSUYA MOCHIDUKI,,TETSUYA MOCHIDUKI
36,Design_04,AKIKO HAYASHI,AKIKO HAYASHI,AKIKO HAYASHI,AKIKO HAYASHI,AKIKO HAYASHI,,AKIKO HAYASHI
37,Design_05,KENICHI SAKUMA,KENICHI SAKUMA,KENICHI SAKUMA,KENICHI SAKUMA,KENICHI SAKUMA,,KENICHI SAKUMA
38,Design_06,HITOMU ITO,HITOMU ITO,HITOMU ITO,HITOMU ITO,HITOMU ITO,,HITOMU ITO
39,Design_07,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,,YASUHIRO MUKAE
40,Design_08,TSUYOSHI WAKAYAMA,TSUYOSHI WAKAYAMA,TSUYOSHI WAKAYAMA,TSUYOSHI WAKAYAMA,TSUYOSHI WAKAYAMA,,TSUYOSHI WAKAYAMA
41,Design_09,HITOSHI KIKKAWA,HITOSHI KIKKAWA,HITOSHI KIKKAWA,HITOSHI KIKKAWA,HITOSHI KIKKAWA,,HITOSHI KIKKAWA
42,MotifDesign,MOTIF DESIGN,MOTIF DESIGN,MOTIF DESIGN,MOTIF DESIGN,MOTIF DESIGN,,⟦MSBT:0E000000020002005C00⟧MOTİF TASARIM⟦MSBT:0E000000020002006400⟧
43,MotifDesign_00,TADASHI HASHIKURA,TADASHI HASHIKURA,TADASHI HASHIKURA,TADASHI HASHIKURA,TADASHI HASHIKURA,,TADASHI HASHIKURA
44,MotifDesign_01,DAISUKE MORISHITA,DAISUKE MORISHITA,DAISUKE MORISHITA,DAISUKE MORISHITA,DAISUKE MORISHITA,,DAISUKE MORISHITA
45,MotifDesign_02,YUSUKE OTA,YUSUKE OTA,YUSUKE OTA,YUSUKE OTA,YUSUKE OTA,,YUSUKE OTA
46,MotifDesign_03,TOMOMI MINAMI,TOMOMI MINAMI,TOMOMI MINAMI,TOMOMI MINAMI,TOMOMI MINAMI,,TOMOMI MINAMI
47,UIDesign,UI DESIGN,UI DESIGN,UI DESIGN,UI DESIGN,UI DESIGN,,⟦MSBT:0E000000020002005000⟧ARAYÜZ TAS.⟦MSBT:0E000000020002006400⟧
48,UIDesign_00,YUKARI KEMMOCHI,YUKARI KEMMOCHI,YUKARI KEMMOCHI,YUKARI KEMMOCHI,YUKARI KEMMOCHI,,YUKARI KEMMOCHI
49,UIDesign_01,YUMI TODO,YUMI TODO,YUMI TODO,YUMI TODO,YUMI TODO,,YUMI TODO
50,UIDesign_02,SHIGEYUKI KAWATA,SHIGEYUKI KAWATA,SHIGEYUKI KAWATA,SHIGEYUKI KAWATA,SHIGEYUKI KAWATA,,SHIGEYUKI KAWATA
51,UIDesign_03,YUKI HONDA,YUKI HONDA,YUKI HONDA,YUKI HONDA,YUKI HONDA,,YUKI HONDA
52,Movie,MOVIE,MOVIE,MOVIE,MOVIE,MOVIE,,VİDEO
53,Movie_00,KUNIO WATANABE,KUNIO WATANABE,KUNIO WATANABE,KUNIO WATANABE,KUNIO WATANABE,,KUNIO WATANABE
54,Modeling,MODELING,MODELING,MODELING,MODELING,MODELING,,⟦MSBT:0E000000020002005800⟧MODELLEME⟦MSBT:0E000000020002006400⟧
55,Modeling_00,MINORU YOSHIKOSHI,MINORU YOSHIKOSHI,MINORU YOSHIKOSHI,MINORU YOSHIKOSHI,MINORU YOSHIKOSHI,,MINORU YOSHIKOSHI
56,Modeling_01,EMI IMAMURA,EMI IMAMURA,EMI IMAMURA,EMI IMAMURA,EMI IMAMURA,,EMI IMAMURA
57,Modeling_02,KUMI HABUTA,KUMI HABUTA,KUMI HABUTA,KUMI HABUTA,KUMI HABUTA,,KUMI HABUTA
58,DesignAdviser,DESIGN ADVISER,DESIGN ADVISER,DESIGN ADVISER,DESIGN ADVISER,DESIGN ADVISER,,⟦MSBT:0E000000020002005300⟧TASARIM DANIŞMANI⟦MSBT:0E000000020002006400⟧
59,DesignAdviser_00,ASHURA BENIMARU ITOH,ASHURA BENIMARU ITOH,ASHURA BENIMARU ITOH,ASHURA BENIMARU ITOH,ASHURA BENIMARU ITOH,,ASHURA BENIMARU ITOH
60,Sound,SOUND,SOUND,SOUND,SOUND,SOUND,,SES
61,Sound_00,HIROKAZU ANDO,HIROKAZU ANDO,HIROKAZU ANDO,HIROKAZU ANDO,HIROKAZU ANDO,,HIROKAZU ANDO
62,Sound_01,JUN ISHIKAWA,JUN ISHIKAWA,JUN ISHIKAWA,JUN ISHIKAWA,JUN ISHIKAWA,,JUN ISHIKAWA
63,VoiceActor,VOICE,VOICE,VOICE,VOICE,VOICE,,SES
64,VoiceActor_00,MAKIKO OHMOTO,MAKIKO OHMOTO,MAKIKO OHMOTO,MAKIKO OHMOTO,MAKIKO OHMOTO,,MAKIKO OHMOTO
65,TeamSupport,TEAM SUPPORT,TEAM SUPPORT,TEAM SUPPORT,TEAM SUPPORT,TEAM SUPPORT,,TAKIM DESTEĞİ
66,TeamSupport_00,SATOSHI MITSUHARA,SATOSHI MITSUHARA,SATOSHI MITSUHARA,SATOSHI MITSUHARA,SATOSHI MITSUHARA,,SATOSHI MITSUHARA
67,TeamSupport_01,YOSHIMI TAKAHASHI,YOSHIMI TAKAHASHI,YOSHIMI TAKAHASHI,YOSHIMI TAKAHASHI,YOSHIMI TAKAHASHI,,YOSHIMI TAKAHASHI
68,TeamSupport_02,SEIJI OTOGURO,SEIJI OTOGURO,SEIJI OTOGURO,SEIJI OTOGURO,SEIJI OTOGURO,,SEIJI OTOGURO
69,TeamSupport_03,KOJI AKAIKE,KOJI AKAIKE,KOJI AKAIKE,KOJI AKAIKE,KOJI AKAIKE,,KOJI AKAIKE
70,PublicRelations,PUBLIC RELATIONS,PUBLIC RELATIONS,PUBLIC RELATIONS,PUBLIC RELATIONS,PUBLIC RELATIONS,,HALKLA İLİŞKİLER
71,PublicRelations_00,SATOSHI ISHIDA,SATOSHI ISHIDA,SATOSHI ISHIDA,SATOSHI ISHIDA,SATOSHI ISHIDA,,SATOSHI ISHIDA
72,PublicRelations_01,TOMOHIRO MINEMURA,TOMOHIRO MINEMURA,TOMOHIRO MINEMURA,TOMOHIRO MINEMURA,TOMOHIRO MINEMURA,,TOMOHIRO MINEMURA
73,Artwork,ARTWORK,ARTWORK,ARTWORK,ARTWORK,ARTWORK,,ÇİZİM
74,Artwork_00,MASAYO NAKAGAMI,MASAYO NAKAGAMI,MASAYO NAKAGAMI,MASAYO NAKAGAMI,MASAYO NAKAGAMI,,MASAYO NAKAGAMI
75,Artwork_01,RIEKO KAWAHARA,RIEKO KAWAHARA,RIEKO KAWAHARA,RIEKO KAWAHARA,RIEKO KAWAHARA,,RIEKO KAWAHARA
76,Artwork_02,YUMIKO SANO,YUMIKO SANO,YUMIKO SANO,YUMIKO SANO,YUMIKO SANO,,YUMIKO SANO
77,Artwork_03,YUKI YADA,YUKI YADA,YUKI YADA,YUKI YADA,YUKI YADA,,YUKI YADA
78,Artwork_04,YASUKO SUGIYAMA,YASUKO SUGIYAMA,YASUKO SUGIYAMA,YASUKO SUGIYAMA,YASUKO SUGIYAMA,,YASUKO SUGIYAMA
79,Artwork_05,SACHIKO NAKAMICHI,SACHIKO NAKAMICHI,SACHIKO NAKAMICHI,SACHIKO NAKAMICHI,SACHIKO NAKAMICHI,,SACHIKO NAKAMICHI
80,ManualEditing,MANUAL EDITING,MANUAL EDITING,MANUAL EDITING,MANUAL EDITING,MANUAL EDITING,,⟦MSBT:0E000000020002005A00⟧KILAVUZ DÜZENİ⟦MSBT:0E000000020002006400⟧
81,ManualEditing_00,KIYOMI ITANI,KIYOMI ITANI,KIYOMI ITANI,KIYOMI ITANI,KIYOMI ITANI,,KIYOMI ITANI
82,ManualEditing_01,YASUO INOUE,YASUO INOUE,YASUO INOUE,YASUO INOUE,YASUO INOUE,,YASUO INOUE
83,Testing,TESTING,TESTING,TESTING,TESTING,TESTING,,TEST
84,Testing_00,MASARU KOBAYASHI,MASARU KOBAYASHI,MASARU KOBAYASHI,MASARU KOBAYASHI,MASARU KOBAYASHI,,MASARU KOBAYASHI
85,Testing_01,AKIMITSU USHIKOSHI,AKIMITSU USHIKOSHI,AKIMITSU USHIKOSHI,AKIMITSU USHIKOSHI,AKIMITSU USHIKOSHI,,AKIMITSU USHIKOSHI
86,Testing_02,DAI SUZUKI,DAI SUZUKI,DAI SUZUKI,DAI SUZUKI,DAI SUZUKI,,DAI SUZUKI
87,Testing_03,DAISUKE FUJITA,DAISUKE FUJITA,DAISUKE FUJITA,DAISUKE FUJITA,DAISUKE FUJITA,,DAISUKE FUJITA
88,Testing_04,SYUNTA SANO,SYUNTA SANO,SYUNTA SANO,SYUNTA SANO,SYUNTA SANO,,SYUNTA SANO
89,Testing_05,HAL DEBUG TEAM,HAL DEBUG TEAM,HAL DEBUG TEAM,HAL DEBUG TEAM,HAL DEBUG TEAM,,HAL DEBUG TEAM
90,Testing_06,MARIO CLUB,MARIO CLUB,MARIO CLUB,MARIO CLUB,MARIO CLUB,,MARIO CLUB
91,Testing_07,NOA PRODUCT TESTING,NOA PRODUCT TESTING,NOA PRODUCT TESTING,NOA PRODUCT TESTING,NOA PRODUCT TESTING,,NOA PRODUCT TESTING
92,TechnicalSupport,TECHNICAL SUPPORT,TECHNICAL SUPPORT,TECHNICAL SUPPORT,TECHNICAL SUPPORT,TECHNICAL SUPPORT,,TEKNİK DESTEK
93,TechnicalSupport_00,TOMOKAZU TSURUOKA,TOMOKAZU TSURUOKA,TOMOKAZU TSURUOKA,TOMOKAZU TSURUOKA,TOMOKAZU TSURUOKA,,TOMOKAZU TSURUOKA
94,TechnicalSupport_01,TAKAYUKI SUGANO,TAKAYUKI SUGANO,TAKAYUKI SUGANO,TAKAYUKI SUGANO,TAKAYUKI SUGANO,,TAKAYUKI SUGANO
95,TechnicalSupport_02,RYOICHIRO ATONO,RYOICHIRO ATONO,RYOICHIRO ATONO,RYOICHIRO ATONO,RYOICHIRO ATONO,,RYOICHIRO ATONO
96,TechnicalSupport_03,TAKUYA ABE,TAKUYA ABE,TAKUYA ABE,TAKUYA ABE,TAKUYA ABE,,TAKUYA ABE
97,TechnicalSupport_04,MUNEMASA KIMURA,MUNEMASA KIMURA,MUNEMASA KIMURA,MUNEMASA KIMURA,MUNEMASA KIMURA,,MUNEMASA KIMURA
98,TechnicalSupport_05,YUTA OGAWA,YUTA OGAWA,YUTA OGAWA,YUTA OGAWA,YUTA OGAWA,,YUTA OGAWA
99,TechnicalSupport_06,SHINGO OKAMOTO,SHINGO OKAMOTO,SHINGO OKAMOTO,SHINGO OKAMOTO,SHINGO OKAMOTO,,SHINGO OKAMOTO
100,SpecialThanks,SPECIAL THANKS,SPECIAL THANKS,SPECIAL THANKS,SPECIAL THANKS,SPECIAL THANKS,,⟦MSBT:0E000000020002005F00⟧ÖZEL TEŞEKKÜR⟦MSBT:0E000000020002006400⟧
101,SpecialThanks_00,SHIGEFUMI KAWASE,SHIGEFUMI KAWASE,SHIGEFUMI KAWASE,SHIGEFUMI KAWASE,SHIGEFUMI KAWASE,,SHIGEFUMI KAWASE
102,SpecialThanks_01,MASANOBU YAMAMOTO,MASANOBU YAMAMOTO,MASANOBU YAMAMOTO,MASANOBU YAMAMOTO,MASANOBU YAMAMOTO,,MASANOBU YAMAMOTO
103,SpecialThanks_02,KAZUYA KONISHI,KAZUYA KONISHI,KAZUYA KONISHI,KAZUYA KONISHI,KAZUYA KONISHI,,KAZUYA KONISHI
104,SpecialThanks_03,JUNICHI AOYAGI,JUNICHI AOYAGI,JUNICHI AOYAGI,JUNICHI AOYAGI,JUNICHI AOYAGI,,JUNICHI AOYAGI
105,SpecialThanks_04,TAKAAKI KAZUNO,TAKAAKI KAZUNO,TAKAAKI KAZUNO,TAKAAKI KAZUNO,TAKAAKI KAZUNO,,TAKAAKI KAZUNO
106,SpecialThanks_05,YOUSUKE FUKUNAGA,YOUSUKE FUKUNAGA,YOUSUKE FUKUNAGA,YOUSUKE FUKUNAGA,YOUSUKE FUKUNAGA,,YOUSUKE FUKUNAGA
107,SpecialThanks_06,SHIGENOBU KASAI,SHIGENOBU KASAI,SHIGENOBU KASAI,SHIGENOBU KASAI,SHIGENOBU KASAI,,SHIGENOBU KASAI
108,SpecialThanks_07,YOSHIYA TANIGUCHI,YOSHIYA TANIGUCHI,YOSHIYA TANIGUCHI,YOSHIYA TANIGUCHI,YOSHIYA TANIGUCHI,,YOSHIYA TANIGUCHI
109,SpecialThanks_08,KOUJIRO OKI,KOUJIRO OKI,KOUJIRO OKI,KOUJIRO OKI,KOUJIRO OKI,,KOUJIRO OKI
110,SpecialThanks_09,MASA MATSUBAYASHI,MASA MATSUBAYASHI,MASA MATSUBAYASHI,MASA MATSUBAYASHI,MASA MATSUBAYASHI,,MASA MATSUBAYASHI
111,SpecialThanks_10,SOUTA SUGISAKI,SOUTA SUGISAKI,SOUTA SUGISAKI,SOUTA SUGISAKI,SOUTA SUGISAKI,,SOUTA SUGISAKI
112,SpecialThanks_11,SHUN YASAKA,SHUN YASAKA,SHUN YASAKA,SHUN YASAKA,SHUN YASAKA,,SHUN YASAKA
113,SpecialThanks_12,KAZUYA SUETSUGU,KAZUYA SUETSUGU,KAZUYA SUETSUGU,KAZUYA SUETSUGU,KAZUYA SUETSUGU,,KAZUYA SUETSUGU
114,SpecialThanks_13,SHINYA WAKAYAMA,SHINYA WAKAYAMA,SHINYA WAKAYAMA,SHINYA WAKAYAMA,SHINYA WAKAYAMA,,SHINYA WAKAYAMA
115,SpecialThanks_14,ETSUKO SATO,ETSUKO SATO,ETSUKO SATO,ETSUKO SATO,ETSUKO SATO,,ETSUKO SATO
116,SpecialThanks_15,HIROSHI FUJIE,HIROSHI FUJIE,HIROSHI FUJIE,HIROSHI FUJIE,HIROSHI FUJIE,,HIROSHI FUJIE
117,SpecialThanks_16,TETSUYA NOTOYA,TETSUYA NOTOYA,TETSUYA NOTOYA,TETSUYA NOTOYA,TETSUYA NOTOYA,,TETSUYA NOTOYA
118,SpecialThanks_17,KENSUKE TANABE,KENSUKE TANABE,KENSUKE TANABE,KENSUKE TANABE,KENSUKE TANABE,,KENSUKE TANABE
119,SpecialThanks_18,KAZUHIRO YOSHIKAWA,KAZUHIRO YOSHIKAWA,KAZUHIRO YOSHIKAWA,KAZUHIRO YOSHIKAWA,KAZUHIRO YOSHIKAWA,,KAZUHIRO YOSHIKAWA
120,ManagingDirector,MANAGING DIRECTOR,MANAGING DIRECTOR,MANAGING DIRECTOR,MANAGING DIRECTOR,MANAGING DIRECTOR,,GENEL MÜDÜR
121,ManagingDirector_00,YURIE HATTORI,YURIE HATTORI,YURIE HATTORI,YURIE HATTORI,YURIE HATTORI,,YURIE HATTORI
122,ManagingDirector_01,KENTA NAKANISHI,KENTA NAKANISHI,KENTA NAKANISHI,KENTA NAKANISHI,KENTA NAKANISHI,,KENTA NAKANISHI
123,ProjectManagement,⟦MSBT:0E000000020002006000⟧PROJECT MANAGEMENT⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006000⟧PROJECT MANAGEMENT⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006000⟧PROJECT MANAGEMENT⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006000⟧PROJECT MANAGEMENT⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006000⟧PROJECT MANAGEMENT⟦MSBT:0E000000020002006400⟧,,⟦MSBT:0E000000020002006000⟧PROJE YÖNETİMİ⟦MSBT:0E000000020002006400⟧
124,ProjectManagement_00,TETSUYA ABE,TETSUYA ABE,TETSUYA ABE,TETSUYA ABE,TETSUYA ABE,,TETSUYA ABE
125,Producer,PRODUCER,PRODUCER,PRODUCER,PRODUCER,PRODUCER,,YAPIMCI
126,Producer_00,HIROAKI SUGA,HIROAKI SUGA,HIROAKI SUGA,HIROAKI SUGA,HIROAKI SUGA,,HIROAKI SUGA
127,Producer_01,HITOSHI YAMAGAMI,HITOSHI YAMAGAMI,HITOSHI YAMAGAMI,HITOSHI YAMAGAMI,HITOSHI YAMAGAMI,,HITOSHI YAMAGAMI
128,GeneralProducer,GENERAL PRODUCER,GENERAL PRODUCER,GENERAL PRODUCER,GENERAL PRODUCER,GENERAL PRODUCER,,GENEL YAPIMCI
129,GeneralProducer_00,MASAYOSHI TANIMURA,MASAYOSHI TANIMURA,MASAYOSHI TANIMURA,MASAYOSHI TANIMURA,MASAYOSHI TANIMURA,,MASAYOSHI TANIMURA
130,GeneralProducer_01,SHINYA TAKAHASHI,SHINYA TAKAHASHI,SHINYA TAKAHASHI,SHINYA TAKAHASHI,SHINYA TAKAHASHI,,SHINYA TAKAHASHI
131,ExecutiveProducer,EXECUTIVE PRODUCER,EXECUTIVE PRODUCER,EXECUTIVE PRODUCER,EXECUTIVE PRODUCER,EXECUTIVE PRODUCER,,YÜRÜTÜCÜ YAPIMCI
132,ExecutiveProducer_00,SATORU IWATA,SATORU IWATA,SATORU IWATA,SATORU IWATA,SATORU IWATA,,SATORU IWATA
133,Copyright_00,"HAL Laboratory, Inc. and Nintendo are 
the authors of this software for the purpose 
of copyright. All rights reserved. 
©2014 HAL Laboratory, Inc. / Nintendo
","HAL Laboratory, Inc. et Nintendo sont
les auteurs de ce logiciel au regard
du droit d'auteur. Tous droits réservés. 
©2014 HAL Laboratory, Inc. / Nintendo","HAL Laboratory, Inc. and Nintendo are 
the authors of this software for the purpose 
of copyright. All rights reserved. 
©2014 HAL Laboratory, Inc. / Nintendo
","HAL Laboratory, Inc. and Nintendo are 
the authors of this software for the purpose 
of copyright. All rights reserved. 
©2014 HAL Laboratory, Inc. / Nintendo
","HAL Laboratory, Inc. and Nintendo are 
the authors of this software for the purpose 
of copyright. All rights reserved. 
©2014 HAL Laboratory, Inc. / Nintendo
",,"HAL Laboratory, Inc. ve Nintendo, telif hakkı
bakımından bu yazılımın yazarlarıdır. Tüm
hakları saklıdır.
©2014 HAL Laboratory, Inc. /
Nintendo"
134,NOALocalizationManagement,,,,,,,
135,NOALocalizationManagement_00,,,,,,,
136,NOALocalizationManagement_01,,,,,,,
137,NOALocalizationManagement_02,,,,,,,
138,NOALocalizationManagement_03,,,,,,,
139,NOALocalizationManagement_04,,,,,,,
140,NOALocalization,,,,,,,
141,NOALocalization_00,,,,,,,
142,NOALocalization_01,,,,,,,
143,NOALocalization_02,,,,,,,
144,NOALocalization_03,,,,,,,
145,NOALocalization_04,,,,,,,
146,NOALocalization_05,,,,,,,
147,NOALocalization_06,,,,,,,
148,NOALocalization_07,,,,,,,
149,NOAProductTesting,,,,,,,
150,NOAProductTesting_00,,,,,,,
151,NOAProductTesting_01,,,,,,,
152,NOAProductTesting_02,,,,,,,
153,NOAProductTesting_03,,,,,,,
154,NOAProductTesting_04,,,,,,,
155,NOAProductTesting_05,,,,,,,
156,NOAProductTesting_06,,,,,,,
157,NOAProductTesting_07,,,,,,,
158,NOAProductTesting_08,,,,,,,
159,NOAProductTesting_09,,,,,,,
160,NOAProductTesting_10,,,,,,,
161,NOAProductTesting_11,,,,,,,
162,NOAProductTesting_12,,,,,,,
163,NOELocalisationProducer,⟦MSBT:0E000000020002005700⟧LOCALISATION PRODUCER⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧LOCALISATION PRODUCER⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧LOCALISATION PRODUCER⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧LOCALISATION PRODUCER⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧LOCALISATION PRODUCER⟦MSBT:0E000000020002006400⟧,,⟦MSBT:0E000000020002005700⟧YERELLEŞTİRME YAPIMCISI⟦MSBT:0E000000020002006400⟧
164,NOELocalisationProducer_00,CHRISTIAN MASSI,CHRISTIAN MASSI,CHRISTIAN MASSI,CHRISTIAN MASSI,CHRISTIAN MASSI,,CHRISTIAN MASSI
165,NOELocalisationProducer_01,FLAVIA MADONIA,FLAVIA MADONIA,FLAVIA MADONIA,FLAVIA MADONIA,FLAVIA MADONIA,,FLAVIA MADONIA
166,NOELocalisationQualitySpecialist,"LOCALISATION
QUALITY SPECIALIST","LOCALISATION
QUALITY SPECIALIST","LOCALISATION
QUALITY SPECIALIST","LOCALISATION
QUALITY SPECIALIST","LOCALISATION
QUALITY SPECIALIST",,"YERELLEŞTİRME
KALİTE UZMANI"
