package_csv_name,decoded_csv_name,method
πâ₧πâ╝πé»τö╖_πâ┤πéºπéñπé»_Φª¬σ¡É.csv,マーク男_ヴェイク_親子.csv,cp437_to_utf8
πâ┤πéúπé¬πâ╝πâ½_πâƒπâ¬πé¿πâ½.csv,ヴィオール_ミリエル.csv,cp437_to_utf8
πéªπâ╝πâë_πâùπâ¼πéñπâñπâ╝τö╖_Φª¬σ¡É.csv,ウード_プレイヤー男_親子.csv,cp437_to_utf8
πéñπâ│πâÉπâ╝πé╣_πâùπâ¼πéñπâñπâ╝σÑ│.csv,インバース_プレイヤー女.csv,cp437_to_utf8
µºÿσ¡É_πâüπé¡1.csv,様子_チキ1.csv,cp437_to_utf8
πâÄπâÄ_πâùπâ¼πéñπâñπâ╝σÑ│.csv,ノノ_プレイヤー女.csv,cp437_to_utf8
X016.csv,X016.csv,exact
πéªπâ╝πâë_πâ¬πâÆπâê_Φª¬σ¡É.csv,ウード_リヒト_親子.csv,cp437_to_utf8
πé╜πâ╝πâ½_πâƒπâ¬πé¿πâ½.csv,ソール_ミリエル.csv,cp437_to_utf8
πé╖πâ│πé╖πéó_πâòπâ¼πâçπâ¬πé»_Φª¬σ¡É.csv,シンシア_フレデリク_親子.csv,cp437_to_utf8
πâÄπâÄ_πâ¬πâÖπâ⌐.csv,ノノ_リベラ.csv,cp437_to_utf8
πâ¡πâ⌐πâ│_πâëπâï_Φª¬σ¡É.csv,ロラン_ドニ_親子.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝σÑ│_πâ│πâ│.csv,プレイヤー女_ンン.csv,cp437_to_utf8
µºÿσ¡É_πâ¬πâÖπâ⌐4.csv,様子_リベラ4.csv,cp437_to_utf8
πé╗πâ¼πâè_πâ₧πâ╝πé»τö╖.csv,セレナ_マーク男.csv,cp437_to_utf8
πéóπé║πâ╝πâ½_πâÿπâ│πâ¬πâ╝_Φª¬σ¡É.csv,アズール_ヘンリー_親子.csv,cp437_to_utf8
πâ┤πéºπéñπé»_πé»πâ¡πâá.csv,ヴェイク_クロム.csv,cp437_to_utf8
010.csv,010.csv,exact
µºÿσ¡É_πâëπâï3.csv,様子_ドニ3.csv,cp437_to_utf8
πéªπâ╝πâë_πâùπâ¼πéñπâñπâ╝τö╖.csv,ウード_プレイヤー男.csv,cp437_to_utf8
πâ₧πâ¬πéóπâÖπâ½_πâ¡πâ│πé»πâ╝.csv,マリアベル_ロンクー.csv,cp437_to_utf8
πâÄπâ»πâ╝πâ½_πé░πâ¼πé┤_Φª¬σ¡É.csv,ノワール_グレゴ_親子.csv,cp437_to_utf8
πâ│πâ│_πâùπâ¼πéñπâñπâ╝τö╖_Φª¬σ¡É.csv,ンン_プレイヤー男_親子.csv,cp437_to_utf8
πéªπâ╝πâë_πé░πâ¼πé┤_Φª¬σ¡É.csv,ウード_グレゴ_親子.csv,cp437_to_utf8
πâ┤πéíπâ½πâÅπâ½πâê_πâùπâ¼πéñπâñπâ╝τö╖.csv,ヴァルハルト_プレイヤー男.csv,cp437_to_utf8
µºÿσ¡É_πâåπéúπéóπâó3.csv,様子_ティアモ3.csv,cp437_to_utf8
πé╣πâƒπéó_πâÿπâ│πâ¬πâ╝.csv,スミア_ヘンリー.csv,cp437_to_utf8
µºÿσ¡É_πé╣πâƒπéó3.csv,様子_スミア3.csv,cp437_to_utf8
πâ₧πâ╝πé»τö╖_πé░πâ¼πé┤_Φª¬σ¡É.csv,マーク男_グレゴ_親子.csv,cp437_to_utf8
X014.csv,X014.csv,exact
πé╗πâ¼πâè_πâ┤πéúπé¬πâ╝πâ½_Φª¬σ¡É.csv,セレナ_ヴィオール_親子.csv,cp437_to_utf8
ΘàìΣ┐í.csv,配信.csv,cp437_to_utf8
πé╗πâ¼πâè_πâùπâ¼πéñπâñπâ╝τö╖_Φª¬σ¡É.csv,セレナ_プレイヤー男_親子.csv,cp437_to_utf8
πé╜πâ╝πâ½_πâëπâï.csv,ソール_ドニ.csv,cp437_to_utf8
µºÿσ¡É_πâƒπâ¬πé¿πâ½2.csv,様子_ミリエル2.csv,cp437_to_utf8
πé╕πéºπâ¡πâ╝πâá_πâçπé╕πéºπâ½.csv,ジェローム_デジェル.csv,cp437_to_utf8
πâ│πâ│_πâÄπâÄ_Φª¬σ¡É.csv,ンン_ノノ_親子.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πé¿πâíπâ¬πâè_Φª¬σ¡É.csv,マーク女_エメリナ_親子.csv,cp437_to_utf8
µºÿσ¡É_πâ¡πâ⌐πâ│1.csv,様子_ロラン1.csv,cp437_to_utf8
πâåπéúπéóπâó_πâÿπâ│πâ¬πâ╝.csv,ティアモ_ヘンリー.csv,cp437_to_utf8
µºÿσ¡É_πé╗πâ¼πâè3.csv,様子_セレナ3.csv,cp437_to_utf8
πé½πâ⌐πâá_πâùπâ¼πéñπâñπâ╝τö╖.csv,カラム_プレイヤー男.csv,cp437_to_utf8
µºÿσ¡É_πé╡πâ╝πâ¬πâú2.csv,様子_サーリャ2.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝τö╖_πâ¬πâÆπâê.csv,プレイヤー男_リヒト.csv,cp437_to_utf8
πé░πâ¼πé┤_πé╡πâ╝πâ¬πâú.csv,グレゴ_サーリャ.csv,cp437_to_utf8
µºÿσ¡É_πé░πâ¼πé┤2.csv,様子_グレゴ2.csv,cp437_to_utf8
µºÿσ¡É_πâëπâï2.csv,様子_ドニ2.csv,cp437_to_utf8
πé╖πâúπâ│πâûπâ¼πâ╝_πâûπâ¼πâçπéú.csv,シャンブレー_ブレディ.csv,cp437_to_utf8
πéªπâ╝πâë_πâ₧πâ╝πé»σÑ│.csv,ウード_マーク女.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝σÑ│_πâƒπâ¬πé¿πâ½.csv,プレイヤー女_ミリエル.csv,cp437_to_utf8
µºÿσ¡É_πâùπâ¼πéñπâñπâ╝µÅ┤Φ╗ì1.csv,様子_プレイヤー援軍1.csv,cp437_to_utf8
µºÿσ¡É_πâ│πâ│1.csv,様子_ンン1.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝τö╖_πâÿπâ│πâ¬πâ╝.csv,プレイヤー男_ヘンリー.csv,cp437_to_utf8
πâ₧πâ½πé╣_πé╣πâƒπéó_Φª¬σ¡É.csv,マルス_スミア_親子.csv,cp437_to_utf8
µºÿσ¡É_πéñπâ│πâÉπâ╝πé╣2.csv,様子_インバース2.csv,cp437_to_utf8
πé░πâ¼πé┤_πâåπéúπéóπâó.csv,グレゴ_ティアモ.csv,cp437_to_utf8
µºÿσ¡É_πâçπé╕πéºπâ½2.csv,様子_デジェル2.csv,cp437_to_utf8
πéªπâ╝πâë_πâ¡πâ│πé»πâ╝_Φª¬σ¡É.csv,ウード_ロンクー_親子.csv,cp437_to_utf8
πé╖πâúπâ│πâûπâ¼πâ╝_πâÖπâ½πâÖπââπâê_Φª¬σ¡É.csv,シャンブレー_ベルベット_親子.csv,cp437_to_utf8
πâûπâ¼πâçπéú_πâ┤πéºπéñπé»_Φª¬σ¡É.csv,ブレディ_ヴェイク_親子.csv,cp437_to_utf8
τï¼πéèΦ¿Ç.csv,独り言.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πé╕πéºπâ¡πâ╝πâá_σàäσ╝ƒ.csv,マーク女_ジェローム_兄弟.csv,cp437_to_utf8
πâçπé╕πéºπâ½_πé╜πâ»πâ¼_Φª¬σ¡É.csv,デジェル_ソワレ_親子.csv,cp437_to_utf8
πâ₧πâ╝πé»τö╖_πâ¬πâÖπâ⌐_Φª¬σ¡É.csv,マーク男_リベラ_親子.csv,cp437_to_utf8
πé¼πéñπéó_πâÖπâ½πâÖπââπâê.csv,ガイア_ベルベット.csv,cp437_to_utf8
πéóπé║πâ╝πâ½_πâ₧πâ╝πé»σÑ│.csv,アズール_マーク女.csv,cp437_to_utf8
πéªπâ╝πâë_πâçπé╕πéºπâ½.csv,ウード_デジェル.csv,cp437_to_utf8
πâÄπâÄ_πâùπâ¼πéñπâñπâ╝τö╖.csv,ノノ_プレイヤー男.csv,cp437_to_utf8
πé╖πâúπâ│πâûπâ¼πâ╝_πé╖πâ│πé╖πéó.csv,シャンブレー_シンシア.csv,cp437_to_utf8
πé░πâ¼πé┤_πé╜πâ»πâ¼.csv,グレゴ_ソワレ.csv,cp437_to_utf8
πé░πâ¼πé┤_πâ¬πâÆπâê.csv,グレゴ_リヒト.csv,cp437_to_utf8
X006.csv,X006.csv,exact
µºÿσ¡É_πâ¡πâ│πé»πâ╝2.csv,様子_ロンクー2.csv,cp437_to_utf8
πé╡πâ╝πâ¬πâú_πâ¬πâÆπâê.csv,サーリャ_リヒト.csv,cp437_to_utf8
E009.csv,E009.csv,exact
πéóπé║πâ╝πâ½_πâ┤πéºπéñπé»_Φª¬σ¡É.csv,アズール_ヴェイク_親子.csv,cp437_to_utf8
πâ┤πéúπé¬πâ╝πâ½_πâåπéúπéóπâó.csv,ヴィオール_ティアモ.csv,cp437_to_utf8
µºÿσ¡É_πâ¬πé║2.csv,様子_リズ2.csv,cp437_to_utf8
πâÄπâ»πâ╝πâ½_πâûπâ¼πâçπéú.csv,ノワール_ブレディ.csv,cp437_to_utf8
πé»πâ¡πâá_πâùπâ¼πéñπâñπâ╝σÑ│.csv,クロム_プレイヤー女.csv,cp437_to_utf8
X002.csv,X002.csv,exact
πâùπâ¼πéñπâñπâ╝σÑ│_πâ¡πâ⌐πâ│.csv,プレイヤー女_ロラン.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝τö╖_πâ¼πâ│πâÅ.csv,プレイヤー男_レンハ.csv,cp437_to_utf8
πâ₧πâ╝πé»τö╖_πâæπâ¬πé╣_Φª¬σ¡É.csv,マーク男_パリス_親子.csv,cp437_to_utf8
µºÿσ¡É_πâüπé¡4.csv,様子_チキ4.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πé╡πéñπâ¬_Φª¬σ¡É.csv,マーク女_サイリ_親子.csv,cp437_to_utf8
πéóπé║πâ╝πâ½_πâûπâ¼πâçπéú.csv,アズール_ブレディ.csv,cp437_to_utf8
πâûπâ¼πâçπéú_πâ│πâ│.csv,ブレディ_ンン.csv,cp437_to_utf8
X013.csv,X013.csv,exact
πé╖πâ│πé╖πéó_πâ₧πâ╝πé»τö╖.csv,シンシア_マーク男.csv,cp437_to_utf8
µºÿσ¡É_πé░πâ¼πé┤3.csv,様子_グレゴ3.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πé╖πâúπâ│πâûπâ¼πâ╝_σàäσ╝ƒ.csv,マーク女_シャンブレー_兄弟.csv,cp437_to_utf8
πé╕πéºπâ¡πâ╝πâá_πâùπâ¼πéñπâñπâ╝τö╖_Φª¬σ¡É.csv,ジェローム_プレイヤー男_親子.csv,cp437_to_utf8
µºÿσ¡É_πâûπâ¼πâçπéú2.csv,様子_ブレディ2.csv,cp437_to_utf8
πé╖πâ│πé╖πéó_πé╗πâ¼πâè.csv,シンシア_セレナ.csv,cp437_to_utf8
µºÿσ¡É_πé╡πâ╝πâ¬πâú4.csv,様子_サーリャ4.csv,cp437_to_utf8
πé╡πâ╝πâ¬πâú_πâ¡πâ│πé»πâ╝.csv,サーリャ_ロンクー.csv,cp437_to_utf8
µºÿσ¡É_πâ¼πâ│πâÅ3.csv,様子_レンハ3.csv,cp437_to_utf8
µºÿσ¡É_πé╖πâ│πé╖πéó2.csv,様子_シンシア2.csv,cp437_to_utf8
E005.csv,E005.csv,exact
µºÿσ¡É_τ╡îΘ¿ô.csv,様子_経験.csv,cp437_to_utf8
µºÿσ¡É_πé»πâ¡πâá4.csv,様子_クロム4.csv,cp437_to_utf8
πé╗πâ½πé╕πâÑ_πâùπâ¼πéñπâñπâ╝τö╖.csv,セルジュ_プレイヤー男.csv,cp437_to_utf8
πâ¡πâ⌐πâ│_πé½πâ⌐πâá_Φª¬σ¡É.csv,ロラン_カラム_親子.csv,cp437_to_utf8
πâ₧πâ¬πéóπâÖπâ½_πâ¬πâÖπâ⌐.csv,マリアベル_リベラ.csv,cp437_to_utf8
µºÿσ¡É_πâüπé¡3.csv,様子_チキ3.csv,cp437_to_utf8
πâƒπâ¬πé¿πâ½_πâ¬πâÖπâ⌐.csv,ミリエル_リベラ.csv,cp437_to_utf8
πéªπâ╝πâë_πâûπâ¼πâçπéú.csv,ウード_ブレディ.csv,cp437_to_utf8
πâÿπâ│πâ¬πâ╝_πâ¬πâÆπâê.csv,ヘンリー_リヒト.csv,cp437_to_utf8
πâ¡πâ⌐πâ│_πâ┤πéúπé¬πâ╝πâ½_Φª¬σ¡É.csv,ロラン_ヴィオール_親子.csv,cp437_to_utf8
µºÿσ¡É_πâòπâ⌐πâ┤πéúπéó1.csv,様子_フラヴィア1.csv,cp437_to_utf8
πé¬πâ¬πâ┤πéúπé¿_πâùπâ¼πéñπâñπâ╝σÑ│.csv,オリヴィエ_プレイヤー女.csv,cp437_to_utf8
πé½πâ⌐πâá_πâÖπâ½πâÖπââπâê.csv,カラム_ベルベット.csv,cp437_to_utf8
µºÿσ¡É_πé½πâ⌐πâá1.csv,様子_カラム1.csv,cp437_to_utf8
µºÿσ¡É_πâ₧πâ¬πéóπâÖπâ½1.csv,様子_マリアベル1.csv,cp437_to_utf8
µºÿσ¡É_πé¿πâíπâ¬πâè3.csv,様子_エメリナ3.csv,cp437_to_utf8
πâÖπâ½πâÖπââπâê_πâ¡πâ│πé»πâ╝.csv,ベルベット_ロンクー.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πâ│πâ│.csv,マーク女_ンン.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πâåπéúπéóπâó_Φª¬σ¡É.csv,マーク女_ティアモ_親子.csv,cp437_to_utf8
πé¼πéñπéó_πé╣πâƒπéó.csv,ガイア_スミア.csv,cp437_to_utf8
002.csv,002.csv,exact
πé╕πéºπâ¡πâ╝πâá_πé╜πâ╝πâ½_Φª¬σ¡É.csv,ジェローム_ソール_親子.csv,cp437_to_utf8
πâ¼πâÖπâ½πéóπââπâù.csv,レベルアップ.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πâÄπâÄ_Φª¬σ¡É.csv,マーク女_ノノ_親子.csv,cp437_to_utf8
πâ₧πâ╝πé»σÑ│_πâüπé¡_Φª¬σ¡É.csv,マーク女_チキ_親子.csv,cp437_to_utf8
πâ₧πâ╝πé»τö╖_πâûπâ¼πâçπéú_Φª¬σ¡É.csv,マーク男_ブレディ_親子.csv,cp437_to_utf8
πé¬πâ¬πâ┤πéúπé¿_πé░πâ¼πé┤.csv,オリヴィエ_グレゴ.csv,cp437_to_utf8
πâûπâ¼πâçπéú_πâ¬πâÆπâê_Φª¬σ¡É.csv,ブレディ_リヒト_親子.csv,cp437_to_utf8
πâÄπâ»πâ╝πâ½_πâ₧πâ╝πé»τö╖.csv,ノワール_マーク男.csv,cp437_to_utf8
πâÖπâ½πâÖπââπâê_πâ¬πâÖπâ⌐.csv,ベルベット_リベラ.csv,cp437_to_utf8
πé»πâ¡πâá_πâ₧πâ¬πéóπâÖπâ½.csv,クロム_マリアベル.csv,cp437_to_utf8
πâëπâï_πâùπâ¼πéñπâñπâ╝σÑ│.csv,ドニ_プレイヤー女.csv,cp437_to_utf8
πé»πâ¡πâá_πâòπâ¼πâçπâ¬πé».csv,クロム_フレデリク.csv,cp437_to_utf8
πâ₧πâ╝πé»τö╖_πâÉπé╕πâ╝πâ¬πé¬_Φª¬σ¡É.csv,マーク男_バジーリオ_親子.csv,cp437_to_utf8
πâ│πâ│_πâ┤πéºπéñπé»_Φª¬σ¡É.csv,ンン_ヴェイク_親子.csv,cp437_to_utf8
πâ┤πéºπéñπé»_πâ₧πâ¬πéóπâÖπâ½.csv,ヴェイク_マリアベル.csv,cp437_to_utf8
πâçπé╕πéºπâ½_πâùπâ¼πéñπâñπâ╝σÑ│.csv,デジェル_プレイヤー女.csv,cp437_to_utf8
πâ₧πâ½πé╣_πâ₧πâ¬πéóπâÖπâ½_Φª¬σ¡É.csv,マルス_マリアベル_親子.csv,cp437_to_utf8
µºÿσ¡É_πé░πâ¼πé┤4.csv,様子_グレゴ4.csv,cp437_to_utf8
µºÿσ¡É_πâ┤πéúπé¬πâ╝πâ½2.csv,様子_ヴィオール2.csv,cp437_to_utf8
πé¼πéñπéó_πâ₧πâ¬πéóπâÖπâ½.csv,ガイア_マリアベル.csv,cp437_to_utf8
E015.csv,E015.csv,exact
πâ₧πâ½πé╣_πâ¡πâ⌐πâ│.csv,マルス_ロラン.csv,cp437_to_utf8
πâÄπâÄ_πâ¬πâÆπâê.csv,ノノ_リヒト.csv,cp437_to_utf8
πâÖπâ½πâÖπââπâê_πâ¬πâÆπâê.csv,ベルベット_リヒト.csv,cp437_to_utf8
πâùπâ¼πéñπâñπâ╝τö╖_πâòπâ¼πâçπâ¬πé».csv,プレイヤー男_フレデリク.csv,cp437_to_utf8
019.csv,019.csv,exact
πâçπé╕πéºπâ½_πâ¡πâ│πé»πâ╝_Φª¬σ¡É.csv,デジェル_ロンクー_親子.csv,cp437_to_utf8
πé╕πéºπâ¡πâ╝πâá_πâ│πâ│.csv,ジェローム_ンン.csv,cp437_to_utf8
X010.csv,X010.csv,exact
πâæπâ¬πé╣_πâùπâ¼πéñπâñπâ╝σÑ│.csv,パリス_プレイヤー女.csv,cp437_to_utf8
πâ₧πâ¬πéóπâÖπâ½_πâ¬πâÆπâê.csv,マリアベル_リヒト.csv,cp437_to_utf8
µºÿσ¡É_πâÖπâ½πâÖπââπâê3.csv,様子_ベルベット3.csv,cp437_to_utf8
πéóπé║πâ╝πâ½_πé╕πéºπâ¡πâ╝πâá.csv,アズール_ジェローム.csv,cp437_to_utf8
µºÿσ¡É_πâåπéúπéóπâó4.csv,様子_ティアモ4.csv,cp437_to_utf8
µºÿσ¡É_πéóπâ│πâè1.csv,様子_アンナ1.csv,cp437_to_utf8
