row,scope,id,english,ukenglish,french,nafrench,german,italian,spanish,naspanish,dutch,portuguese,russian,japanese,turkish_current,turkish_final,status,reason,creative_flag,font_missing,notes
11,tweaker,22CB0A21,Set the size of the debug cam crosshair,uke Target Size,fre Target Size,naf Target Size,ger Target Size,ita Target Size,spa Target Size,nas Target Size,dut Target Size,por Target Size,rus Target Size,jap Target Size,Hata ayıklama kamerası nişangâhının boyutunu ayarla,Hata ayıklama kamerası nişangâhının boyutunu ayarla,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
12,tweaker,75909933,"The speed at which the camera target moves towards the selected target, when you change targets",uke Target Jump Speed,fre Target Jump Speed,naf Target Jump Speed,ger Target Jump Speed,ita Target Jump Speed,spa Target Jump Speed,nas Target Jump Speed,dut Target Jump Speed,por Target Jump Speed,rus Target Jump Speed,jap Target Jump Speed,Hedef değiştirildiğinde kamera hedefinin seçilen hedefe yaklaşma hızı,Hedef değiştirildiğinde kamera hedefinin seçilen hedefe yaklaşma hızı,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
13,tweaker,146B429C,Disables position update so that the remote-link with 3ds max works properly.,uke Enable Remote Camera Control,fre Enable Remote Camera Control,naf Enable Remote Camera Control,ger Enable Remote Camera Control,ita Enable Remote Camera Control,spa Enable Remote Camera Control,nas Enable Remote Camera Control,dut Enable Remote Camera Control,por Enable Remote Camera Control,rus Enable Remote Camera Control,jap Enable Remote Camera Control,3ds Max ile uzak bağlantının düzgün çalışması için konum güncellemesini kapatır,3ds Max ile uzak bağlantının düzgün çalışması için konum güncellemesini kapatır,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
14,tweaker,9AE3A993,Enable this to only allow the user to move the target down when they are above the ground height.,uke Lock To Ground Height,fre Lock To Ground Height,naf Lock To Ground Height,ger Lock To Ground Height,ita Lock To Ground Height,spa Lock To Ground Height,nas Lock To Ground Height,dut Lock To Ground Height,por Lock To Ground Height,rus Lock To Ground Height,jap Lock To Ground Height,Kullanıcının hedefi yalnızca zemin yüksekliğinin üzerindeyken aşağı taşımasına izin ver,Kullanıcının hedefi yalnızca zemin yüksekliğinin üzerindeyken aşağı taşımasına izin ver,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
15,tweaker,51CBFB2A,Enable this to avoid accidental presses of the Target Switching button.,uke Disable Target Switching,fre Disable Target Switching,naf Disable Target Switching,ger Disable Target Switching,ita Disable Target Switching,spa Disable Target Switching,nas Disable Target Switching,dut Disable Target Switching,por Disable Target Switching,rus Disable Target Switching,jap Disable Target Switching,Hedef Değiştirme düğmesine yanlışlıkla basılmasını önlemek için bunu aç,Hedef Değiştirme düğmesine yanlışlıkla basılmasını önlemek için bunu aç,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
16,tweaker,0A9B7332,Size of the rendered revolution pointer,uke Revolution Pointer Size,fre Revolution Pointer Size,naf Revolution Pointer Size,ger Revolution Pointer Size,ita Revolution Pointer Size,spa Revolution Pointer Size,nas Revolution Pointer Size,dut Revolution Pointer Size,por Revolution Pointer Size,rus Revolution Pointer Size,jap Revolution Pointer Size,Çizilen dönüş işaretçisinin boyutu,Çizilen dönüş işaretçisinin boyutu,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
17,tweaker,2B78B2B7,How much space there is between the text and the edge of the black rectangle that is drawn behind it.,uke Text Rectangle Margin,fre Text Rectangle Margin,naf Text Rectangle Margin,ger Text Rectangle Margin,ita Text Rectangle Margin,spa Text Rectangle Margin,nas Text Rectangle Margin,dut Text Rectangle Margin,por Text Rectangle Margin,rus Text Rectangle Margin,jap Text Rectangle Margin,Metin ile arkasındaki siyah dikdörtgenin kenarı arasındaki boşluk miktarı,Metin ile arkasındaki siyah dikdörtgenin kenarı arasındaki boşluk miktarı,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
18,tweaker,B8E0565F,"Screen Print Demo showing various sizes of text, at the top and bottom of the screen.",uke Test Screen Prints,fre Test Screen Prints,naf Test Screen Prints,ger Test Screen Prints,ita Test Screen Prints,spa Test Screen Prints,nas Test Screen Prints,dut Test Screen Prints,por Test Screen Prints,rus Test Screen Prints,jap Test Screen Prints,Ekranın üst ve alt kısmında farklı boyutlarda metin gösteren ekran yazdırma demosu,Ekranın üst ve alt kısmında farklı boyutlarda metin gösteren ekran yazdırma demosu,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
19,tweaker,A20BB3FC,Prints the normalized device coordinates above the world origin,uke Show Normalize Device Coordinates,fre Show Normalize Device Coordinates,naf Show Normalize Device Coordinates,ger Show Normalize Device Coordinates,ita Show Normalize Device Coordinates,spa Show Normalize Device Coordinates,nas Show Normalize Device Coordinates,dut Show Normalize Device Coordinates,por Show Normalize Device Coordinates,rus Show Normalize Device Coordinates,jap Show Normalize Device Coordinates,Dünya orijininin üstünde normalize cihaz koordinatlarını yazdırır,Dünya orijininin üstünde normalize cihaz koordinatlarını yazdırır,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
20,tweaker,5FF86276,"Screen Print Demo showing a bunch of screen prints around the origin of 3D space, with different justifications and 2D offsets.",uke Test 3DScreen Prints,fre Test 3DScreen Prints,naf Test 3DScreen Prints,ger Test 3DScreen Prints,ita Test 3DScreen Prints,spa Test 3DScreen Prints,nas Test 3DScreen Prints,dut Test 3DScreen Prints,por Test 3DScreen Prints,rus Test 3DScreen Prints,jap Test 3DScreen Prints,3B uzayın merkezinde farklı hizalama ve 2B ofsetlerle ekran yazdırma demosu,3B uzayın merkezinde farklı hizalama ve 2B ofsetlerle ekran yazdırma demosu,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
21,tweaker,8A3FCBFA,3D screen-print demo showing coordinate labels over a grid of points,uke Grid Of Prints,fre Grid Of Prints,naf Grid Of Prints,ger Grid Of Prints,ita Grid Of Prints,spa Grid Of Prints,nas Grid Of Prints,dut Grid Of Prints,por Grid Of Prints,rus Grid Of Prints,jap Grid Of Prints,Nokta ızgarası üzerinde koordinat etiketleri gösteren 3B ekran yazdırma demosu,Nokta ızgarası üzerinde koordinat etiketleri gösteren 3B ekran yazdırma demosu,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
22,tweaker,C00EE3EE,Overrides the rendering of wireframes as defined by ShapeRenderStyle,uke Force Wireframe Rendering,fre Force Wireframe Rendering,naf Force Wireframe Rendering,ger Force Wireframe Rendering,ita Force Wireframe Rendering,spa Force Wireframe Rendering,nas Force Wireframe Rendering,dut Force Wireframe Rendering,por Force Wireframe Rendering,rus Force Wireframe Rendering,jap Force Wireframe Rendering,ShapeRenderStyle tarafından tanımlanan tel kafes çizimini geçersiz kılar,ShapeRenderStyle tarafından tanımlanan tel kafes çizimini geçersiz kılar,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
23,tweaker,0030F656,Overrides the rendering of wireframes as defined by ShapeRenderStyle,uke Wire,fre Wire,naf Wire,ger Wire,ita Wire,spa Wire,nas Wire,dut Wire,por Wire,rus Wire,jap Wire,ShapeRenderStyle tarafından tanımlanan tel kafes çizimini geçersiz kılar,ShapeRenderStyle tarafından tanımlanan tel kafes çizimini geçersiz kılar,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
24,tweaker,ACD956BF,"If set to false, the profiler will filter out any nodes that are less than one percent of the parent.  If true, then you see every node regardless of how insignificant the time is. ",uke Show Insignificant Nodes,fre Show Insignificant Nodes,naf Show Insignificant Nodes,ger Show Insignificant Nodes,ita Show Insignificant Nodes,spa Show Insignificant Nodes,nas Show Insignificant Nodes,dut Show Insignificant Nodes,por Show Insignificant Nodes,rus Show Insignificant Nodes,jap Show Insignificant Nodes,"False olursa profiler, ebeveynin yüzde birinden küçük düğümleri gizler; true olursa hepsini gösterir","False olursa profiler, ebeveynin yüzde birinden küçük düğümleri gizler; true olursa hepsini gösterir",KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
25,tweaker,D795C358,Tweak this and then exit the tweaker to view the in-game profiler.,uke Display Profiler,fre Display Profiler,naf Display Profiler,ger Display Profiler,ita Display Profiler,spa Display Profiler,nas Display Profiler,dut Display Profiler,por Display Profiler,rus Display Profiler,jap Display Profiler,Bunu ayarla ve oyun içi profiler'ı görmek için tweaker'dan çık,Bunu ayarla ve oyun içi profiler'ı görmek için tweaker'dan çık,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
26,tweaker,67F858A7,Manual mode -- profile reports timings between successive presses of a button on the controller.,uke Manual Profiler Start And Stop,fre Manual Profiler Start And Stop,naf Manual Profiler Start And Stop,ger Manual Profiler Start And Stop,ita Manual Profiler Start And Stop,spa Manual Profiler Start And Stop,nas Manual Profiler Start And Stop,dut Manual Profiler Start And Stop,por Manual Profiler Start And Stop,rus Manual Profiler Start And Stop,jap Manual Profiler Start And Stop,"Elle mod - profil, kumandadaki ardışık tuş basışları arasındaki süreleri raporlar","Elle mod - profil, kumandadaki ardışık tuş basışları arasındaki süreleri raporlar",KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
27,tweaker,D932CFB9,Dumps out the profiler data to profile.txt,uke Write Profiler Info,fre Write Profiler Info,naf Write Profiler Info,ger Write Profiler Info,ita Write Profiler Info,spa Write Profiler Info,nas Write Profiler Info,dut Write Profiler Info,por Write Profiler Info,rus Write Profiler Info,jap Write Profiler Info,Profiler verisini profile.txt dosyasına döker,Profiler verisini profile.txt dosyasına döker,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
28,tweaker,EDCE5E8C,Turn this to true then exit the tweaker to display a profiler that shows how many particles are active from each effect,uke Display Particle Profiler,fre Display Particle Profiler,naf Display Particle Profiler,ger Display Particle Profiler,ita Display Particle Profiler,spa Display Particle Profiler,nas Display Particle Profiler,dut Display Particle Profiler,por Display Particle Profiler,rus Display Particle Profiler,jap Display Particle Profiler,True yapıp tweaker'dan çıkarsan her efektten kaç parçacığın etkin olduğunu gösteren profiler açılır,True yapıp tweaker'dan çıkarsan her efektten kaç parçacığın etkin olduğunu gösteren profiler açılır,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
29,tweaker,9CF971B6,The size of screen-print font used if RL::Font::Size_Default is passed in to the screen print function.,uke Default Font Size,fre Default Font Size,naf Default Font Size,ger Default Font Size,ita Default Font Size,spa Default Font Size,nas Default Font Size,dut Default Font Size,por Default Font Size,rus Default Font Size,jap Default Font Size,The size of screen-print font used if RL::Font::Size_Default is passed in to the screen print function.,Ekran yazdırma işlevine RL::Font::Size_Default verildiğinde kullanılan ekran yazısı fontunun boyutu.,DEĞİŞTİ,Tamamen İngilizce kalmış geliştirici açıklaması Türkçeleştirildi; API sembolü aynen korundu.,,,2. tam manuel tur: EVET
30,tweaker,5C41D891,Prints the current system date and time to the debug window using the DC_MISC print channel.,uke Print System Date and Time,fre Print System Date and Time,naf Print System Date and Time,ger Print System Date and Time,ita Print System Date and Time,spa Print System Date and Time,nas Print System Date and Time,dut Print System Date and Time,por Print System Date and Time,rus Print System Date and Time,jap Print System Date and Time,Geçerli sistem tarih ve saatini DC_MISC kanalıyla hata ayıklama penceresine yazdırır,Geçerli sistem tarih ve saatini DC_MISC kanalıyla hata ayıklama penceresine yazdırır,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
31,tweaker,D7285A80,Prints the current system date and time to the debug window using the DC_MISC print channel.,uke Print System Time,fre Print System Time,naf Print System Time,ger Print System Time,ita Print System Time,spa Print System Time,nas Print System Time,dut Print System Time,por Print System Time,rus Print System Time,jap Print System Time,Geçerli sistem tarih ve saatini DC_MISC kanalıyla hata ayıklama penceresine yazdırır,Geçerli sistem tarih ve saatini DC_MISC kanalıyla hata ayıklama penceresine yazdırır,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
32,tweaker,E7C4146C,Toggles whether or not EmissionManager errors are shows on the screen.,uke Print Errors To Screen,fre Print Errors To Screen,naf Print Errors To Screen,ger Print Errors To Screen,ita Print Errors To Screen,spa Print Errors To Screen,nas Print Errors To Screen,dut Print Errors To Screen,por Print Errors To Screen,rus Print Errors To Screen,jap Print Errors To Screen,EmissionManager hatalarının ekranda gösterilip gösterilmeyeceğini aç/kapat,EmissionManager hatalarının ekranda gösterilip gösterilmeyeceğini aç/kapat,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
33,tweaker,C9439535,Enable this to turn on debug-prints over each effect that show the name of the effect.,uke Print Names Of Effects,fre Print Names Of Effects,naf Print Names Of Effects,ger Print Names Of Effects,ita Print Names Of Effects,spa Print Names Of Effects,nas Print Names Of Effects,dut Print Names Of Effects,por Print Names Of Effects,rus Print Names Of Effects,jap Print Names Of Effects,Her efekt üzerinde efekt adını gösteren debug yazılarını aç,Her efekt üzerinde efekt adını gösteren debug yazılarını aç,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
34,tweaker,74F9113D,Enable this to turn on debug-prints over each effect that show the hex addresses of the EmissionController,uke Print Addresses Of Emission Controllers,fre Print Addresses Of Emission Controllers,naf Print Addresses Of Emission Controllers,ger Print Addresses Of Emission Controllers,ita Print Addresses Of Emission Controllers,spa Print Addresses Of Emission Controllers,nas Print Addresses Of Emission Controllers,dut Print Addresses Of Emission Controllers,por Print Addresses Of Emission Controllers,rus Print Addresses Of Emission Controllers,jap Print Addresses Of Emission Controllers,Her efekt üzerinde EmissionController'ın hex adreslerini gösteren debug yazılarını aç,Her efekt üzerinde EmissionController'ın hex adreslerini gösteren debug yazılarını aç,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
35,tweaker,56AC2844,"Tweak this to immediately kill all effects that are currently playing, including all the particles that have already been emitted.",uke Kill All Effects,fre Kill All Effects,naf Kill All Effects,ger Kill All Effects,ita Kill All Effects,spa Kill All Effects,nas Kill All Effects,dut Kill All Effects,por Kill All Effects,rus Kill All Effects,jap Kill All Effects,"Bunu ayarlamak, oynayan tüm efektleri ve çıkmış tüm parçacıkları anında yok eder","Bunu ayarlamak, oynayan tüm efektleri ve çıkmış tüm parçacıkları anında yok eder",KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
36,tweaker,0C6219F3,Displays the number of particles that have been updated in the last EmissionManager::Update. (toggle and exit tweaker to graph),uke twk Num Particles Updated,fre twk Num Particles Updated,naf twk Num Particles Updated,ger twk Num Particles Updated,ita twk Num Particles Updated,spa twk Num Particles Updated,nas twk Num Particles Updated,dut twk Num Particles Updated,por twk Num Particles Updated,rus twk Num Particles Updated,jap twk Num Particles Updated,Displays the number of particles that have been updated in the last EmissionManager::Update. (toggle and exit tweaker to graph),Son EmissionManager::Update çağrısında güncellenen parçacık sayısını gösterir. (grafik için açıp tweaker'dan çık),DEĞİŞTİ,Tamamen İngilizce kalmış profiler açıklaması Türkçeleştirildi; fonksiyon adı korundu.,,,2. tam manuel tur: EVET
37,tweaker,9CA11B55,Displays the number of particles that have been rendered in the last EmissionManager::Render. (toggle and exit tweaker to graph),uke twk Num Particles Rendered,fre twk Num Particles Rendered,naf twk Num Particles Rendered,ger twk Num Particles Rendered,ita twk Num Particles Rendered,spa twk Num Particles Rendered,nas twk Num Particles Rendered,dut twk Num Particles Rendered,por twk Num Particles Rendered,rus twk Num Particles Rendered,jap twk Num Particles Rendered,Displays the number of particles that have been rendered in the last EmissionManager::Render. (toggle and exit tweaker to graph),Son EmissionManager::Render çağrısında çizilen parçacık sayısını gösterir. (grafik için açıp tweaker'dan çık),DEĞİŞTİ,Tamamen İngilizce kalmış profiler açıklaması Türkçeleştirildi; fonksiyon adı korundu.,,,2. tam manuel tur: EVET
38,tweaker,710CF958,Displays the number of particle systems that were updated in the last EmissionManager::Update. (toggle and exit tweaker to graph),uke twk Num Particle Systems Updated,fre twk Num Particle Systems Updated,naf twk Num Particle Systems Updated,ger twk Num Particle Systems Updated,ita twk Num Particle Systems Updated,spa twk Num Particle Systems Updated,nas twk Num Particle Systems Updated,dut twk Num Particle Systems Updated,por twk Num Particle Systems Updated,rus twk Num Particle Systems Updated,jap twk Num Particle Systems Updated,Displays the number of particle systems that were updated in the last EmissionManager::Update. (toggle and exit tweaker to graph),Son EmissionManager::Update çağrısında güncellenen parçacık sistemi sayısını gösterir. (grafik için açıp tweaker'dan çık),DEĞİŞTİ,Tamamen İngilizce kalmış profiler açıklaması Türkçeleştirildi; fonksiyon adı korundu.,,,2. tam manuel tur: EVET
