row,scope,id,english,ukenglish,french,nafrench,german,italian,spanish,naspanish,dutch,portuguese,russian,japanese,turkish_current,turkish_final,status,reason,creative_flag,font_missing,notes
14,fe,E02095F6,You have unlocked{p}Endless Hunter Mode!,"You have unlocked{p}the ""Endless"" option{p}in Hunter mode!",Vous avez maintenant accès{p}au mode chasse infini !,Vous avez maintenant accès{p}au mode chasse infini!,Du hast den endlosen{p}Jäger-Modus freigeschaltet!,Hai sbloccato i piani infiniti{p}nella modalità Cacciatore!,"¡Has desbloqueado la opción{p}""Sin límite"" del modo Caza!","¡Desbloqueaste la opción{p}""Sin límite"" del modo Caza!",Je kunt de jachtstand nu met een{p}oneindig aantal etages spelen!,Desbloqueou o Modo{p}de Caça Interminável!,Разблокирована бесконечная{p}Башня кошмаров в режиме{p}Охота!,{p}ハンタータワーのフロア{rb}数{/rb}{rt}すう{/rt}で{p}エンドレスが{rb}選{/rb}{rt}えら{/rt}べるようになったぞ！,Sonsuz Av Modu'nun{p}kilidini açtın!,Sonsuz Av Modu'nun{p}kilidini açtın!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
15,fe,90EACA9E,You have unlocked{p}Endless Rush Mode!,"You have unlocked{p}the ""Endless"" option{p}in Rush mode!",Vous avez maintenant accès{p}au mode sprint infini !,Vous avez maintenant accès{p}au mode sprint infini!,Du hast den endlosen{p}Tempo-Modus freigeschaltet!,Hai sbloccato i piani infiniti{p}nella modalità Tempo!,"¡Has desbloqueado la opción{p}""Sin límite"" del modo Tiempo!","¡Desbloqueaste la opción{p}""Sin límite"" del modo Tiempo!",Je kunt de tijdnoodstand nu met een{p}oneindig aantal etages spelen!,Desbloqueou o Modo{p}de Tempo Interminável!,Разблокирована бесконечная{p}Башня кошмаров в режиме{p}Спринт!,{p}クライマータワーのフロア{rb}数{/rb}{rt}すう{/rt}で{p}エンドレスが{rb}選{/rb}{rt}えら{/rt}べるようになったぞ！,Sonsuz Acele Modu'nun{p}kilidini açtın!,Sonsuz Zamana Karşı Modu'nun{p}kilidini açtın!,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
16,fe,74B1AB16,You have unlocked{p}Endless Polterpup Mode!,"You have unlocked{p}the ""Endless"" option{p}in Polterpup mode!",Vous avez maintenant accès{p}au mode traque infini !,Vous avez maintenant accès{p}au mode traque infini!,Du hast den endlosen{p}Pinscher-Modus freigeschaltet!,Hai sbloccato i piani infiniti{p}nella modalità Poltercuccioli!,"¡Has desbloqueado la opción{p}""Sin límite"" del modo Ectochucho!","¡Desbloqueaste la opción ""Sin{p}límite"" del modo Espectrochucho!",Je kunt de polterpupstand nu met een{p}oneindig aantal etages spelen!,Desbloqueou o Modo{p}de Fantacães Interminável!,Разблокирована бесконечная{p}Башня кошмаров в режиме{p}Следопыт!,{p}チェイサータワーのフロア{rb}数{/rb}{rt}すう{/rt}で{p}エンドレスが{rb}選{/rb}{rt}えら{/rt}べるようになったぞ！,Sonsuz Polterpup Modu'nun{p}kilidini açtın!,Sonsuz Polterpup Modu'nun{p}kilidini açtın!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",YARATICI_ADAY,,Polterpup diğer dillerde Ectochien/Polterpinscher/Ectochucho vb. yeniden adlandırılıyor. Franchise tanınırlığı için şimdilik korundu; Türkçe aday: “Polterpati”. | 2. tam manuel tur: EVET
17,fe,D6AA1337,You have unlocked{p}Endless Surprise Mode!,"You have unlocked{p}the ""Endless"" option{p}in Surprise mode!",Vous avez maintenant accès{p}au mode hasard infini !,Vous avez maintenant accès{p}au mode hasard infini!,Du hast den endlosen{p}Zufalls-Modus freigeschaltet!,Hai sbloccato i piani infiniti{p}nella modalità Sorpresa!,"¡Has desbloqueado la opción{p}""Sin límite"" del modo Sorpresa!","¡Desbloqueaste la opción ""Sin{p}límite"" del modo Sorpresa!",Je kunt de verrassingsstand nu met{p}een oneindig aantal etages spelen!,Desbloqueou o Modo{p}de Surpresa Interminável!,Разблокирована бесконечная{p}Башня кошмаров в режиме{p}Сюрприз!,{p}ランダムタワーのフロア{rb}数{/rb}{rt}すう{/rt}で{p}エンドレスが{rb}選{/rb}{rt}えら{/rt}べるようになったぞ！,Sonsuz Sürpriz Modu'nun{p}kilidini açtın!,Sonsuz Sürpriz Modu'nun{p}kilidini açtın!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
18,fe,37DD3A02,Press ڠ to return to the HOME Menu.,Press ڠ to return to the HOME Menu.,Appuyez sur ڠ pour retourner au menu HOME.,Appuyez sur ڠ pour retourner au menu HOME.,"Drücke ڠ, um zum HOME-Menü zurückzukehren.",Premi ڠ per tornare al menu HOME.,Pulsa ڠ para volver al menú HOME.,Oprime ڠ para ir al menú HOME.,Druk op ڠ om terug te gaan naar het HOME-menu.,"Para regressar ao Menu HOME, prima ڠ.",ڠ — вернуться в меню HOME,{vs:-10}{ts:0.85}ڠを{rb}押{/rb}{rt}お{/rt}すとＨＯＭＥメニューにもどります{/ts}{/vs},HOME Menüsü'ne dönmek için ڠ tuşuna bas.,HOME Menüsü'ne dönmek için ڠ tuşuna bas.,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
19,fe,F880D235,Team Treasure Total,Team Treasure Total,Ensemble du butin,Ensemble du butin,Reichtümer aller Spieler,Bottino totale del team,Botín del equipo,Botín del equipo,Totaalbedrag,Total da Equipa,Собранные средства,{ts:1.15}　チームマネー{/ts},Takımın Toplam Hazinesi,Takımın Toplam Hazinesi,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
20,fe,8AC75F78,Number captured: {0},Number captured: {0},Nombre de captures : {0},Nombre de captures : {0},Bisher gefangen: {0},Totale catturati: {0},Capturados: {0},Capturados: {0},Aantal gevangen: {0},Capturados: {0},Особей поймано: {0},{vs:11}{ts:0.8}{p}つかまえた{rb}数{/rb}{rt}かず{/rt}  {0}{/ts}{/vs},Yakalanan sayı: {0},Yakalanan: {0},DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
21,fe,4273EA70,Total weight: {0},Total mass: {0},Masse totale : {0},Masse totale : {0},Gesamtgewicht: {0},Spettromassa totale: {0},Masa total: {0},Masa total: {0},Totaalgewicht: {0},Massa total: {0},Общий вес: {0},{vs:11}{ts:0.8}トータルウエイト {0}{/ts}{/vs},Toplam ağırlık: {0},Toplam ağırlık: {0},KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
22,fe,5D6E30C5,Heaviest weight: {0},Heaviest mass: {0},Plus grosse prise : {0},Plus grosse prise : {0},Schwerstes Exemplar: {0},Spettromassa massima: {0},Espécimen más pesado: {0},Espécimen más pesado: {0},Hoogste gewicht: {0},Maior massa: {0},Рекордный вес: {0},{vs:11}{ts:0.8}{p}ベストウエイト {0}{/ts}{/vs},En yüksek ağırlık: {0},En ağır olan: {0},DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
23,fe,BD459248,???,???,???,???,???,???,(?),(?),???,???,???,？？？,???,???,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
24,fe,BD8492AC,Weight: {0},Spectral mass: {0},Masse spectrale : {0},Masse spectrale : {0},Masse in Wunzen: {0},Spettromassa: {0},Masa espectral: {0},Masa espectral: {0},Gewicht: {0},Massa Espectral: {0},Вес: {0},{vs:11}{ts:0.8}ウエイト {0}{/ts}{/vs},Ağırlık: {0},Ağırlık: {0},KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
25,fe,31834C50,View Statue,View Statue,Voir la statue,Voir la statue,Statue betrachten,Guarda statua,Ver estatua,Ver estatua,Beeldje bekijken,Ver Estátua,Показать статую,{ts:0.9}クリスタルイージ{/ts},Heykeli Görüntüle,Heykeli Görüntüle,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
26,fe,3CD0C78B,Ѡ Super Poltergust,Ѡ Super Poltergust,Ѡ Super Ectoblast,Ѡ Super Ectoblast,Ѡ Super-Schreckweg,Ѡ Super Poltergust,Ѡ Supersuccionaentes,Ѡ Súper Succionaentes,Ѡ Superspookzuiger,Ѡ Supersugospectro,Ѡ Суперполтергаст,{vs:-10}{ts:0.95}{p}Ѡ リミッター{rb}解除{/rb}{rt}かいじょ{/rt}！{/ts}{/vs},Ѡ Süper Poltergust,Ѡ Süper Poltergust,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
27,fe,E89E08B7,ʤ Dark-Light Level 3,ʤ Dark-Light level 3,ʤ Révéloscope niv. 3,ʤ Révéloscope niv. 3,ʤ Düsterlampe Stufe 3,ʤ Arcobaluce livello 3,ʤ Desoscurizador nivel 3,ʤ Desoscurizador nivel 3,ʤ Uv-lamp (niveau 3),ʤ Luz Negra Nível 3,ʤ Спектрон (ур. 3),{vs:-10}{ts:0.95}{p}ʤ ダークライト　レベル３！{/ts}{/vs},ʤ Karanlık-Işık Seviye 3,ʤ Karanlık-Işık Seviyesi 3,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
28,fe,FC5C33D6,ʣ Dark-Light Level 2,ʣ Dark-Light level 2,ʣ Révéloscope niv. 2,ʣ Révéloscope niv. 2,ʣ Düsterlampe Stufe 2,ʣ Arcobaluce livello 2,ʣ Desoscurizador nivel 2,ʣ Desoscurizador nivel 2,ʣ Uv-lamp (niveau 2),ʣ Luz Negra Nível 2,ʣ Спектрон (ур. 2),{vs:-10}{ts:0.95}{p}ʣ ダークライト　レベル２！{/ts}{/vs},ʣ Karanlık-Işık Seviye 2,ʣ Karanlık-Işık Seviyesi 2,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
29,fe,C978237B,Җ Power Gauge Level 3,Җ A-Pull level 3,Җ Aspir'A niv. 3,Җ Aspir'A niv. 3,Җ A-Ruck Stufe 3,Җ Potenza livello 3,Җ Potencia nivel 3,Җ Potencia nivel 3,Җ Trekkracht (niveau 3),Җ Sucção A Nível 3,Җ Компрессор (ур. 3),{vs:-10}{ts:0.95}{p}Җ プルシステム　レベル３！{/ts}{/vs},Җ Güç Göstergesi Seviye 3,Җ Güç Göstergesi Seviyesi 3,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
30,fe,DD364E9A,қ Power Gauge Level 2,қ A-Pull level 2,қ Aspir'A niv. 2,қ Aspir'A niv. 2,қ A-Ruck Stufe 2,қ Potenza livello 2,қ Potencia nivel 2,қ Potencia nivel 2,қ Trekkracht (niveau 2),қ Sucção A Nível 2,қ Компрессор (ур. 2),{vs:-10}{ts:0.95}{p}қ プルシステム　レベル２！{/ts}{/vs},қ Güç Göstergesi Seviye 2,қ Güç Göstergesi Seviyesi 2,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
31,fe,66666E75,You have unlocked:,You have unlocked:,Tu as déverrouillé :,Tu as déverrouillé :,Freigespielte Extras:,Hai sbloccato:,Mejoras desbloqueadas:,Mejoras desbloqueadas:,Vrijgespeeld:,Desbloqueou:,Получено:,{vs:-10}{ts:0.9}{p}キミが{rb}手{/rb}{rt}て{/rt}に{rb}入{/rb}{rt}い{/rt}れたパワーアップ{/ts}{/vs},Kilidini açtıkların:,Kilidi açılanlar:,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
32,fe,CBA310B6,View the treasure and upgrades{p}you've acquired!,View the treasure and upgrades{p}you've acquired!,Jette un œil au butin et aux{p}améliorations que tu as{p}accumulés !,Jette un œil au butin et{p}aux améliorations que{p}tu as accumulés!,"Hier siehst du die Reichtümer{p}und Extras, die du verdient hast!",Dai un'occhiata ai tesori e ai{p}potenziamenti che hai acquisito!,Aquí puedes ver tu botín y las{p}mejoras que has conseguido.,Aquí puedes ver tu botín y las{p}mejoras que has conseguido.,Bekijk je fortuin en de upgrades{p}die je hebt vrijgespeeld!,Aqui pode ver o tesouro e os{p}melhoramentos que conquistou.,Просмотр полученных{p}улучшений и количества{p}собранных средств.,{ts:0.85}{p}{p}キミがこれまでにあつめたお{rb}金{/rb}{rt}かね{/rt}と{p}わしがつくったパワーアップを{p}{rb}見{/rb}{rt}み{/rt}ることができるぞい！{p}{rb}言{/rb}{rt}い{/rt}わば{rb}２人{/rb}{rt}ふたり{/rt}の{rb}戦{/rb}{rt}たたか{/rt}いの{rb}勲章{/rb}{rt}くんしょう{/rt}じゃな！{/ts},Topladığın hazineleri ve{p}geliştirmeleri görüntüle!,Topladığın hazineleri ve{p}geliştirmeleri görüntüle!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
33,fe,D9712852,Unlockables,Unlockables,Améliorations,Améliorations,Freispielbare Extras,Extra,Mejoras,Mejoras,Upgrades en extra's,Melhoramentos,Улучшения,オバチューン,Açılabilir İçerikler,Açılabilir İçerikler,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
34,fe,A80BBF3C,Congratulations!,Congratulations!,Félicitations !,Félicitations!,Du bist extrastark!,Congratulazioni!,¡Enhorabuena!,¡Felicidades!,Gefeliciteerd!,Parabéns!,Поздравляем!,{vs:-8}{ts:1.2}{p}{p}{p}　あとはキミのウデ{rb}次第{/rb}{rt}しだい{/rt}じゃ！{/ts}{/vs},Tebrikler!,Tebrikler!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
35,fe,ED595B48,You have unlocked all upgrades!,You've unlocked all upgrades!,Tu as obtenu toutes les améliorations !,Tu as obtenu toutes les améliorations!,Du hast alle Extras freigespielt!,Hai sbloccato tutti i potenziamenti!,¡Has desbloqueado todas las mejoras!,¡Has desbloqueado todas las mejoras!,Je hebt alle upgrades vrijgespeeld!,Desbloqueou todos os melhoramentos!,Получены все улучшения!,{vs:8}{ts:0.85} オバキュームはこれ{rb}以上強化{/rb}{rt}いじょうきょうか{/rt}できんぞい！{/ts}{/vs},Tüm geliştirmelerin kilidini açtın!,Tüm geliştirmelerin kilidini açtın!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
36,fe,B5826A49,to unlock your next upgrade{p}for the Poltergust 5000!,to unlock your next upgrade{p}for the Poltergust 5000!,pour déverrouiller la prochaine{p}amélioration de l'Ectoblast 5000 !,pour déverrouiller la prochaine{p}amélioration de l'Ectoblast 5000!,um das nächste Extra für den{p}Schreckweg 09/15 freizuschalten!,per sbloccare il prossimo potenziamento{p}per il Poltergust 5000!,para desbloquear la siguiente{p}mejora de la Succionaentes 5000.,para desbloquear la siguiente{p}mejora de la Succionaentes 5000.,om je volgende upgrade voor de{p}Spookzuiger 5000 vrij te spelen!,para desbloquear o próximo melhoramento{p}para o Sugospectro 5000!,(для улучшения{p}полтергаста),{vs:6}{ts:0.9}{p}お{rb}金{/rb}{rt}かね{/rt}をあつめて{p}オバキュームをパワーアップじゃ！{/ts}{/vs},bir sonraki Poltergust 5000 geliştirmesinin{p}kilidini açmak için!,Poltergust 5000'in bir sonraki geliştirmesinin{p}kilidini açmak için!,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
