Index,Label,English,French,German,Spanish,Italian,Dutch,Portuguese,Russian,Turkish,TR_Notes,Ref_MaxLines,Ref_MaxLinePx,Ref_MaxUtf16Bytes
23,cmn_r_b_d,[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],[[CHR:E001]],,1,51,4
24,cmn_l_pad_d,[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],[[CHR:E006]],,1,51,4
25,cmn_all_ce00_d,StreetPass Hits,Rencontres StreetPass,Begegnungen,Encuentros,Incontri,Ontmoetingen,Encontros,Встреч,StreetPass Sayısı,,1,514,44
26,cmn_all_ce01_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
27,cmn_all_ce01_one_d,1,1,1,1,1,1,1,1,1,,1,31,4
28,cmn_all_square_mii00_d,Plaza Population,Population de la place,In der Lobby,Mii en la plaza,Mii in piazza,Parkbewoners,Residentes,Обитателей,Meydan Nüfusu,,1,507,46
29,cmn_all_square_mii01_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
30,cmn_all_square_mii01_3000over_d,3000+,3000 +,3000+,+3000,3000+,3000+,+ de 3000,3000+,3000+,,1,243,20
31,cmn_all_coin00_d,Play Coins,Pièces de jeu,[[CHR:E075]] Spielmünzen,Monedas,Monete di gioco,Speelmunten,Moedas de Jogo,Игровых монеток,Oyun Jetonları,,1,401,32
32,cmn_all_coin01_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
33,cmn_legend_hero00_d,Heroes Met,Héros intervenus,Helden getroffen,Héroes vistos,Eroi incontrati,Ontmoete helden,Heróis Encontrados,Героев,Karşılaşılanlar,,1,447,38
34,cmn_legend_hero01_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
35,cmn_panel_piece00_d,Pieces Collected,Pièces de puzzle,Gesammelte Teile,Cromos,Pezzi raccolti,Stukjes verzameld,Peças Reunidas,Элементов,Toplanan Parçalar,,1,409,36
36,cmn_panel_piece_numerator_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
37,cmn_panel_piece_denominator_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
38,cmn_panel_travel_00_d,Travellers Met,Voyageurs rencontrés,Begegnungen,Viajeros vistos,Incontri,Ontmoete reizigers,Viajantes Encontrados,Путников,Karşılaşılan Gezginler,,1,508,44
39,cmn_panel_travel_01_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
40,cmn_legend_hero10_2_d,Rooms Cleared,Pièces terminées,Räume entgruselt,Salas superadas,Sale completate,Ruimtes voltooid,Salas Completadas,Помещений,Geçilen Odalar,,1,430,36
41,cmn_legend_clear00_2_d,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
42,cmn_legend_clear00_2_all_d,All!,Toutes !,Alle!,¡Todas!,tutte!,Allemaal!,Todas!,Все!,Hepsi!,,1,207,20
43,cmn_putback_d,"Put the stylus back
in the stylus holder.","Replacez le stylet
dans le porte-stylet.","Verliere deinen
Touchpen nicht!","Introduce el lápiz en
el hueco para el lápiz.","Riponi lo stilo 
nell'alloggiamento stilo.","Plaats de stylus terug
in de stylushouder.","Volte a colocar o stylus
no orifício para o stylus.","Вставь стилус
в держатель стилуса.","Dokunmatik kalemi
yuvasına geri koy.",,2,551,104
44,cmn_legend_roomstate_d,Rooms Cleared,Pièces terminées,Räume entgruselt,Salas superadas,Sale completate,Ruimtes voltooid,Salas Completadas,Пройдено,Geçilen Odalar,,1,430,36
45,dlg_xx_u,,,,,,,,,,,1,0,2
46,dlg_first_01_u,"Welcome to
StreetPass Mii Plaza!","Bienvenue sur la
place Mii StreetPass !","Willkommen in der
StreetPass Mii-Lobby!",¡Esta es la Plaza Mii de StreetPass!,"Ti diamo il benvenuto nella
Piazza Mii StreetPass!","Welkom in het
StreetPass Mii-park!",Chegou à Praça Mii StreetPass!,"Добро пожаловать на
Площадь StreetPass Mii!","StreetPass Mii Meydanı’na
hoş geldin!",,2,803,102
47,dlg_first_02_u,"Here, you can enjoy collecting
Mii characters.","Ici vous pouvez vous amuser
à collectionner les Mii.","Hier sammelst du Mii-Charaktere
von anderen Nutzern.","Aquí podrás traer a todos los Mii
que vayas conociendo.","Qui puoi divertirti
collezionando Mii.","Hier kun je Mii-personages
verzamelen.","Aqui poderá divertir-se a reunir
personagens Mii.","Здесь ты можешь собирать
образы Mii.","Burada Mii karakterleri
toplayıp eğlenebilirsin.",,2,745,112
48,dlg_first_03_u,"By collecting Mii characters,",Collectionner les Mii vous permet...,"Indem du Mii-Charaktere
sammelst...","Reúne a todos los Mii
que puedas para...",Collezionando i Mii...,"Door Mii-personages
te verzamelen,","Ao reunir personagens Mii,","Собирая образы Mii,","Mii karakterlerini topladıkça,",,2,803,82
49,dlg_first_04_u,"you can fill up your plaza,",... de peupler votre place...,...füllt sich langsam deine Lobby.,llenar tu plaza...,Potrai riempire la tua piazza...,"kun je je park vullen,","poderá encher a sua praça,","ты можешь увеличивать число
обитателей твоей площади,","meydanını doldurabilir,",,2,755,108
50,dlg_first_05_u,"get puzzle pieces from
other users,","... de recevoir des pièces de
puzzle d'autres utilisateurs...","Erhalte Puzzleteile von
anderen Nutzern...","intercambiar cromos
con otros usuarios...","Ottenere pezzi di puzzle
da altri utenti...","puzzelstukjes ontvangen
van andere gebruikers,","obter peças de puzzles de outros
utilizadores,","получать элементы пазлов от
других пользователей,","diğer kullanıcılardan
yapboz parçaları alabilir,",,2,758,124
51,dlg_first_06_u,"fight evil monsters and
receive special hats!","... de combattre de vils monstres
et de gagner des couvre-chefs !","...bekämpfe böse Monster und
erhalte tolle Kopfbedeckungen!","luchar contra terribles monstruos
y conseguir sombreros especiales.","Combattere i mostri e
ottenere copricapi speciali!","tegen monsters vechten en
speciale hoofddeksels winnen!","enfrentar monstros maléficos
e receber chapéus especiais!","сражаться со злыми чудовищами
и получать головные уборы!","kötü canavarlarla savaşıp
özel şapkalar kazanabilirsin!",,2,785,136
52,dlg_first_07_u,"So how do you collect
Mii characters, anyway?","Mais vous vous demandez sans
doute comment on fait pour
collectionner des Mii ?","Aber wie sammelt man denn
eigentlich Mii-Charaktere?","¿Y cómo puedo reunir muchos
Mii?, te preguntarás.",Come si collezionano i Mii?,"Maar hoe verzamel je die
Mii-personages eigenlijk?","Quer saber como pode reunir
personagens Mii?",Как можно собирать образы Mii?,"Peki Mii karakterleri
nasıl toplanıyor?",,3,773,160
53,dlg_first_08_u,"Well, that's easy.
You just need to use StreetPass!","Eh bien, c'est très simple :
il suffit d'utiliser StreetPass !","Na, ganz einfach! Du musst 
nur StreetPass aktivieren!","Pues es muy fácil:
¡a través de StreetPass!","Beh, è facile.
Devi solo usare StreetPass!","Nou, dat is best simpel.
Je hoeft alleen maar
StreetPass te gebruiken!","É muito fácil. 
Basta utilizar o StreetPass!","Это очень легко. Тебе нужно
просто использовать StreetPass!","Çok kolay. Tek yapman
gereken StreetPass kullanmak!",,3,768,142
54,dlg_first_09_u,So...,Alors...,Also...,Entonces...,Quindi...,Dus...,Por isso...,Итак...,Şimdi...,,1,258,24
55,dlg_first_10_u,Next...,À présent...,Als Nächstes...,Ahora...,Ora...,Vervolgens...,Seguinte...,Теперь...,Sırada...,,1,340,32
56,dlg_first_11_u,Finally...,Et pour finir...,Zu guter Letzt...,Finalmente...,Alla fine...,En ten slotte...,E por fim...,И наконец...,Son olarak...,,1,369,36
57,dlg_first_12_u,,,,,,,,,,,1,0,2
58,dlg_first_13_u,,,,,,,,,,,1,0,2
59,dlg_first_14_u,,,,,,,,,,,1,0,2
60,dlg_first_2nd_nup_01_u,,,,,,,,,,,1,0,2
61,dlg_first_2nd_nup_02_u,,,,,,,,,,,1,0,2
62,dlg_first_2nd_nup_03_u,"What's new, you ask?","Profitez dès maintenant
de nos dernières créations !","Du möchtest wissen, was es für
Neuerungen gibt?","¿Quieres saber qué nuevos
contenidos hay?",Cosa dici? Cosa c'è di nuovo?,Wat is er dan allemaal veranderd?,E o que tem de novo?,"Ты спросишь, что новенького?","Neler yeni, diye mi soruyorsun?",,2,775,106
63,dlg_first_2nd_nup_04_u,"Well, there are new puzzle
panels for starters!","Réalisez de tout
nouveaux puzzles !","Nun, es stehen neue Puzzles
zur Verfügung!","¡Para empezar, tenemos nuevos
paneles de cromos!","Tanto per cominciare ci sono
nuovi puzzle!","Om te beginnen zijn er
tal van nieuwe puzzels!","Para começar, há novos
painéis de puzzle!","Начнем с того, что теперь есть
новые пазлы для начинающих!","İlk olarak yepyeni
yapboz panelleri var!",,2,731,118
64,dlg_first_2nd_nup_05_u,"Then, there's a sequel to
StreetPass Quest!","Repartez à l'aventure dans
la suite de Mii en péril !","Dann gibt es eine Fortsetzung
zu „Rette die Krone!“.","¡Y también hay una secuela
de Rescate Mii!","E poi prosegue l'avventura
di ""Libera Mii""!","Er is een opvolger
van Mii in misère!","Além disso, há uma sequela
de O Resgate Mii!","Кроме того, мы предлагаем
продолжение игры Спаси Mii!","Bir de Mii’yi Kurtar!’ın
devam oyunu var!",,2,697,108
65,dlg_first_2nd_nup_06_u,That's not all.,Et découvrez...,Aber das ist noch nicht alles!,Y eso no es todo.,E non finisce qui.,Maar dat is nog niet alles.,E não é tudo.,Но это еще не все.,Dahası da var.,,1,663,62
66,dlg_first_2nd_nup_06_u_00,"Aside from the new
SpotPass features,",Recevez du contenu via SpotPass !,"Neben den neuen 
SpotPass-Funktionen...","Además de las nuevas
funciones de SpotPass...","Oltre alle nuove
funzioni SpotPass,","Behalve de nieuwe
SpotPass-functies,","Além das novas
funções SpotPass,","Кроме новых функций SpotPass,","Yeni SpotPass özelliklerinin
yanı sıra,",,2,802,92
67,dlg_first_2nd_nup_07_u,"there are some other
new features as well!","Et découvrez un ensemble
de nouvelles fonctions !","...warten noch weitere
Funktionen auf dich!","¡te encontrarás alguna
que otra sorpresa más!","ti aspettano anche
altre sorprese!","zijn er ook nog een aantal
andere vernieuwingen!","também há algumas funções
novinhas em folha!","мы подготовили еще другие,
совершенно новые функции!",başka yeni özellikler de var!,,2,683,106
68,dlg_first_2nd_nup_08_u,"Anyway, we don't want
to keep you...",Bien ! Ne perdez pas de temps !,"Aber genug davon. Wir wollen dich
ja nicht zu lange aufhalten.",Pero no te entretenemos más...,"Ma bando alle ciance!
Sappiamo che non vedi
l'ora di cominciare!","Maar we willen je niet
langer ophouden...","Bem, mas não queremos
que perca o seu tempo...","Во всяком случае, мы не хотим
тебя задерживать...","Neyse, seni daha fazla
tutmayalım...",,3,796,130
69,dlg_first_2nd_nup_09_u,"Get out there and collect as many
Mii characters as you can!","Collectionnez le
plus de Mii possible !","Zieh los und sammele so viele
Mii-Charaktere wie möglich!","¡sal a coleccionar tantos 
personajes Mii como puedas!","Forza, datti da fare e raccogli
il maggior numero di Mii possibile!","Dus ga eropuit en verzamel zo
veel mogelijk Mii-personages!","Comece já a colecionar o máximo
de personagens Mii que conseguir!","Иди и собери как можно больше
образов Mii!","Haydi çık ve olabildiğince çok
Mii karakteri topla!",,2,804,136
70,dlg_first_2nd_01_u,"StreetPass Mii Plaza
can now use SpotPass!","Vous pouvez maintenant
utiliser SpotPass.","Die StreetPass Mii-Lobby
kann jetzt SpotPass verwenden!","¡Ahora se puede usar SpotPass
en la Plaza Mii de StreetPass!","Ora puoi usare SpotPass
nella Piazza Mii StreetPass!","StreetPass Mii-park kan nu
gebruikmaken van SpotPass!","Agora a Praça Mii StreetPass
pode utilizar o SpotPass!","Теперь можно использовать
функцию SpotPass!","StreetPass Mii Meydanı artık
SpotPass kullanabiliyor!",,2,728,122
71,dlg_first_2nd_01_u_00,"StreetPass Mii Plaza
can use SpotPass.","Vous pouvez maintenant
utiliser SpotPass.","Die StreetPass Mii-Lobby
kann SpotPass verwenden.","La Plaza Mii de StreetPass
también puede usar SpotPass.","Anche la Piazza Mii StreetPass
può usare SpotPass.","StreetPass Mii-park kan
gebruikmaken van SpotPass.","A Praça Mii StreetPass
pode usar o SpotPass.","Площадь StreetPass Mii может
использовать функцию SpotPass.","StreetPass Mii Meydanı
SpotPass kullanabilir.",,2,793,120
72,dlg_first_2nd_02_u,"Here's a quick overview of what
you can do with SpotPass.","Saviez-vous que SpotPass vous
ouvrait de nouvelles possibilités ?","Über SpotPass stehen dir folgende
Funktionen zur Verfügung.","Fíjate en todas las cosas que
se pueden hacer con SpotPass.","Ecco una breve carrellata di tutto
quello che puoi fare con SpotPass!","Ik zal je in het kort vertellen wat je
allemaal kunt doen met SpotPass.","Aqui está um resumo sobre
o que pode fazer com o SpotPass.","Вот краткий обзор
функции SpotPass.","SpotPass ile neler yapabileceğine
kısaca bakalım.",,2,799,144
73,dlg_first_2nd_03_u,"By connecting to a wireless
internet access point,","En vous connectant à Internet
via un point d'accès sans fil,","Wenn du dich mit einem drahtlosen
Access Point verbindest,","Si te conectas a un punto de
acceso inalámbrico a internet...","Collegandoti a un
access point wireless,","Je kunt verbinding maken met
een draadloos Access Point...","Ao ligar-se à Internet a partir de
um ponto de acesso sem fios,","Подключившись к беспроводной
точке доступа к Интернету,","Kablosuz bir internet
erişim noktasına bağlanarak,",,2,805,128
74,dlg_first_2nd_04_u,"you can meet new Mii characters,","vous pouvez rencontrer de
nouveaux Mii,","kannst du neue Mii-
Charaktere treffen","podrás cruzarte con más
personajes Mii...","potrai incontrare nuovi Mii,","om nieuwe Mii-personages
te verzamelen...","pode encontrar novas
personagens Mii","ты можешь встретить новые
образы Mii","yeni Mii karakterleriyle tanışabilir,",,2,766,84
75,dlg_first_2nd_04_u_00,"you can meet new Mii characters,","vous pouvez rencontrer de
nouveaux Mii,","kannst du neue Mii-
Charaktere treffen","podrás cruzarte con
más personajes Mii...","potrai incontrare nuovi Mii,","om nieuwe Mii-personages
te verzamelen...","pode encontrar novas
personagens Mii,","ты можешь встретить новые
образы Mii","yeni Mii karakterleriyle tanışabilir,",,2,766,84
76,dlg_first_2nd_05_u,"and pick up new panels for
Puzzle Swap!","et obtenir de nouveaux
puzzles pour Puzzle troc !","und neue Puzzles für
„Puzzle-Tausch“ erhalten.","¡y conseguir nuevos paneles para
En busca del cromo!","e raccogliere nuovi puzzle di
Pazzi per i pezzi!","en nieuwe puzzels voor
Puzzelruil te krijgen!","e obter novos painéis
para o Troca-Puzzle!","и получить новые элементы
пазлов для игры Собери пазл!","Yapboz Takası için yeni
paneller alabilirsin!",,2,768,110
77,dlg_first_2nd_06_u,,,,,,,,,,,1,0,2
78,dlg_first_2nd_06_u_00,,,,,,,,,,,1,0,2
79,dlg_first_legend2_01_u,"In order to play
StreetPass Quest II,","Pour jouer à Mii en péril II,","Um „Rette die Krone II“ zu spielen,","Para poder jugar
a Rescate Mii II...",Per giocare a Libera Mii II...,Om Mii in misère II te spelen...,"Para jogar
O Resgate Mii II,","Для того, чтобы играть в игру
Спаси Mii II,","Mii’yi Kurtar! II’yi
oynayabilmek için,",,2,780,88
80,dlg_first_legend2_02_u,"you need to be able to receive
data through SpotPass.","vous devez pouvoir recevoir
des données via SpotPass.","musst du Daten per SpotPass
empfangen können.","necesitas poder recibir datos
a través de SpotPass.","Devi essere in grado di ricevere
dati tramite SpotPass.","moet je gegevens kunnen
ontvangen via SpotPass.","terá de poder receber dados
através do SpotPass.","необходимо получать данные
через SpotPass.","SpotPass üzerinden veri
alabiliyor olman gerekir.",,2,718,112
81,dlg_first_legend2_03_u,,,,,,,,,,,1,0,2
82,dlg_first_legend2_04_u,"No SD Card inserted.
An SD Card is required to play
StreetPass Quest II.","Aucune carte SD détectée.

Une carte SD est nécessaire
pour jouer à Mii en péril II.","Es ist keine SD Card eingesteckt.
Eine SD Card wird benötigt, um
„Rette die Krone II“ zu spielen.","No se encuentra ninguna
tarjeta SD.
Necesitas una tarjeta SD para
jugar a Rescate Mii II.","Non è inserita alcuna scheda SD.
Per giocare a Libera Mii II è
necessaria una scheda SD.","Er is geen SD-kaart ingevoerd.
Om Mii in misère II te kunnen
spelen heb je een SD-kaart nodig.","Não foi detetado um Cartão SD.
É necessário um Cartão SD para
jogar O Resgate Mii II.","Не вставлена карта SD.
Для игры Спаси Mii II необходима
карта SD.","SD Kart takılı değil.
Mii’yi Kurtar! II için
bir SD Kart gerekiyor.",,4,787,196
83,dlg_first_legend2_05_u,"Ready to download data
for StreetPass Quest II.","Les données de Mii en péril II
sont prêtes à être téléchargées.","Die Daten für „Rette die Krone II“
können heruntergeladen werden.","Se van a descargar los datos
de Rescate Mii II.","Sono disponibili i dati
per il download
di Libera Mii II.","Klaar om gegevens te downloaden
voor Mii in misère II.","Serão descarregados dados
para O Resgate Mii II.","Все готово к загрузке данных для
игры Спаси Mii II.","Mii’yi Kurtar! II verileri
indirilmeye hazır.",,3,797,132
84,dlg_first_legend2_06_u,Start downloading data?,Télécharger les données ?,Download starten?,¿Quieres comenzar la descarga?,Vuoi cominciare a scaricare i dati?,Wil je beginnen met downloaden?,Deseja começar o download?,Начать загрузку данных?,Veri indirilsin mi?,,1,786,72
85,dlg_first_legend2_07_u,"Downloading data...
Please don't remove
the SD Card.","Téléchargement...

Ne retirez pas la carte SD.","Daten werden heruntergeladen...
Entferne nicht die SD Card.","Descargando datos...
No extraigas la tarjeta SD.","Download dei dati in corso...
Non estrarre la scheda SD.","Bezig met downloaden...
Verwijder de SD-kaart niet.","A descarregar dados...
Não remova o Cartão SD.","Идет загрузка данных...
Не извлекай карту SD.","Veriler indiriliyor...
SD Kartı çıkarma.",,3,752,120
86,dlg_first_legend2_08_u,"Download complete.
StreetPass Quest II will now start.","Téléchargement terminé.

Mii en péril II va démarrer.","Download abgeschlossen.
„Rette die Krone II“ wird
nun gestartet.","Se ha completado la descarga.
Se va a iniciar Rescate Mii II.","Download completato.
Libera Mii II verrà ora avviato.","Download voltooid. Mii in misère II
wordt nu opgestart.","O download foi concluído.
O Resgate Mii II irá agora iniciar.","Загрузка завершена.
Игра Спаси Mii II будет сейчас
запущена.","İndirme tamamlandı.
Mii’yi Kurtar! II başlatılıyor.",,3,784,130
87,dlg_first_legend2_09_u,"Not enough free space on the
SD Card. Free up some SD Card
space in the System Settings.","Espace libre insuffisant sur
la carte SD.

Accédez aux paramètres
de la console pour libérer
de l'espace sur la carte SD.","Es ist nicht genug freier Speicher-
platz auf der SD Card vorhanden.
Schaffe in den Systemein-
stellungen etwas Platz auf
der SD Card.","No queda espacio suficiente
en la tarjeta SD. Accede a
la configuración de la consola y
libera espacio en la tarjeta SD.","Non c'è abbastanza spazio libero
nella scheda SD. Per creare
spazio nella scheda SD, accedi
alle Impostazioni della console.","Er is niet genoeg vrije ruimte
op de SD-kaart. Maak ruimte
vrij op de SD-kaart in de
systeeminstellingen.","Não existe espaço livre suficiente
no Cartão SD. Liberte algum
espaço no Cartão SD a partir
das Definições da Consola.","На карте SD недостаточно
свободного места. Освободи
место на карте SD в системных
настройках.","SD Kartta yeterli boş alan yok.
Sistem Ayarlarından SD Kartta
yer aç.",,6,778,270
88,dlg_first_legend2_10_u,"Come back again if you
change your mind.","Revenez télécharger les
données quand vous voulez !","Schau hier wieder vorbei, wenn
du es dir anders überlegt hast.","Vuelve por aquí si cambias
de idea.","Torna da queste parti,
se cambi idea.","Kom gerust nog eens langs
als je van gedachte verandert.",Volte cá se mudar de ideias.,"Если передумаешь, возвращайся.","Fikrini değiştirirsen
yine gel.",,2,784,126
