AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,Area09,<0E:0009:0000:0C00>Noordoost-Booninkrijk,<0E:0009:0000:0C00>NE Beanbean,<0E:0009:0000:0C00>Nord-est de Végésia,<0E:0009:0000:0C00>Bohnenland NO,<0E:0009:0000:0C00>Fagiolandia Nord Est,<0E:0009:0000:0C00>Noreste del castillo,<0E:0009:0000:0C00>Kuzeydoğu Fasulya Krallığı
,Area74,<0E:0009:0000:0C00>Grollendal - ondergrondse entree,<0E:0009:0000:0C00>Teehee Valley Underground Entrance,<0E:0009:0000:0C00>Vallée Hihi - Entrée souterraine,<0E:0009:0000:0C00>Gröhltal – Höhleneingang,<0E:0009:0000:0C00>Val Sorriso - Entrata sotterranea,<0E:0009:0000:0C00>Valle Jejé: Acceso subterráneo,<0E:0009:0000:0C00>Kıkır Vadisi Yeraltı Girişi
,Area20,<0E:0009:0000:0C00>Booninklijke luchthaven,<0E:0009:0000:0C00>Beanbean Airport,<0E:0009:0000:0C00>Aéroport de Végésia,<0E:0009:0000:0C00>Int. Flughafen Bohnenland,<0E:0009:0000:0C00>Aeroporto di Fagiolandia,<0E:0009:0000:0C00>Aeropuerto del Reino Judía,<0E:0009:0000:0C00>Fasulya Havalimanı
,Area21,<0E:0009:0000:0C00>Grollendal,<0E:0009:0000:0C00>Teehee Valley,<0E:0009:0000:0C00>Vallée Hihi,<0E:0009:0000:0C00>Gröhltal,<0E:0009:0000:0C00>Val Sorriso,<0E:0009:0000:0C00>Valle Jejé,<0E:0009:0000:0C00>Kıkır Vadisi
,Area79,<0E:0009:0000:0C00>Yoshi-bioscoop,<0E:0009:0000:0C00>Yoshi Theater,<0E:0009:0000:0C00>Cinéma Yoshi,<0E:0009:0000:0C00>Yoshi-Theater,<0E:0009:0000:0C00>Teatro Yoshi,<0E:0009:0000:0C00>Cine de Yoshis,<0E:0009:0000:0C00>Yoshi Tiyatrosu
,Area22,<0E:0009:0000:0C00>Klein Zwamdorp,<0E:0009:0000:0C00>Little Fungitown,<0E:0009:0000:0C00>LittleToad,<0E:0009:0000:0C00>Little Toad Town,<0E:0009:0000:0C00>Toadopoli,<0E:0009:0000:0C00>Lili-Champiñón,<0E:0009:0000:0C00>Minik Mantarkent
,Area23,<0E:0009:0000:0C00>Schuddebuikruïne,<0E:0009:0000:0C00>Guffawha Ruins,<0E:0009:0000:0C00>Ruines Marra,<0E:0009:0000:0C00>Gröhlruine,<0E:0009:0000:0C00>Rovine Sghignazzo,<0E:0009:0000:0C00>Ruinas Risotada,<0E:0009:0000:0C00>Kahkaha Harabeleri
,Area24,<0E:0009:0000:0C00>Giebeltempel,<0E:0009:0000:0C00>Joke's End,<0E:0009:0000:0C00>Joke End,<0E:0009:0000:0C00>Witztempel,<0E:0009:0000:0C00>Tempio delle Battute,<0E:0009:0000:0C00>Santuario de Chistes,<0E:0009:0000:0C00>Şakanın Sonu
,Area100,<0E:0009:0000:0C00>Booninkrijk,<0E:0009:0000:0C00>Beanbean Kingdom,<0E:0009:0000:0C00>Royaume de Végésia,<0E:0009:0000:0C00>Königreich Bohnenland,<0E:0009:0000:0C00>Regno di Fagiolandia,<0E:0009:0000:0C00>Reino Judía,<0E:0009:0000:0C00>Fasulya Krallığı
,Area25,<0E:0009:0000:0C00>Bowsers kasteel,<0E:0009:0000:0C00>Bowser's Castle,<0E:0009:0000:0C00>Château de Bowser,<0E:0009:0000:0C00>Bowsers Festung,<0E:0009:0000:0C00>Castello di Bowser,<0E:0009:0000:0C00>Castillo de Bowser,<0E:0009:0000:0C00>Bowser'ın Şatosu
,Area101,<0E:0009:0000:0C00>Peach' kasteel,<0E:0009:0000:0C00>Peach's Castle,<0E:0009:0000:0C00>Château de Peach,<0E:0009:0000:0C00>Pilz-Palast,<0E:0009:0000:0C00>Castello di Peach,<0E:0009:0000:0C00>Castillo de Peach,<0E:0009:0000:0C00>Peach'in Şatosu
,Area26,<0E:0009:0000:0C00>Bwaha-lagune,<0E:0009:0000:0C00>Gwarhar Lagoon,<0E:0009:0000:0C00>Canton Héhé,<0E:0009:0000:0C00>Lachlagune,<0E:0009:0000:0C00>Laguna Sorniona,<0E:0009:0000:0C00>Laguna Burlona,<0E:0009:0000:0C00>Gürkahkaha Lagünü
,Area102,<0E:0009:0000:0C00>Booninklijke velden,<0E:0009:0000:0C00>Beanbean Fields,<0E:0009:0000:0C00>Végésia,<0E:0009:0000:0C00>Bohnenlandfluren,<0E:0009:0000:0C00>Sobborghi di Fagiolandia,<0E:0009:0000:0C00>Alrededores del Reino Judía,<0E:0009:0000:0C00>Fasulya Ovaları
,Area92,<0E:0009:0000:0C00>Surfeiland,<0E:0009:0000:0C00>Surfing Game Island,<0E:0009:0000:0C00>Île du surf,<0E:0009:0000:0C00>Surfer-Insel,<0E:0009:0000:0C00>Isola Gioco Surf,<0E:0009:0000:0C00>Isla de juego de surf,<0E:0009:0000:0C00>Sörf Oyunu Adası
,Area15_font_mori,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森,<0E:0009:0000:0000>森
,Area60,<0E:0009:0000:0C00>Bowsers kasteel - Roys kamer,<0E:0009:0000:0C00>Bowser's Castle: Roy's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Roy,<0E:0009:0000:0C00>Bowsers Festung – Roys Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Roy,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Roy,<0E:0009:0000:0C00>Bowser'ın Şatosu: Roy'un Odası
,Area61,<0E:0009:0000:0C00>Bowsers kasteel - Wendy's kamer,<0E:0009:0000:0C00>Bowser's Castle: Wendy's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Wendy,<0E:0009:0000:0C00>Bowsers Festung – Wendys Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Wendy,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Wendy,<0E:0009:0000:0C00>Bowser'ın Şatosu: Wendy'nin Odası
,Area62,<0E:0009:0000:0C00>Bowsers kasteel - Larry's kamer,<0E:0009:0000:0C00>Bowser's Castle: Larry's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Larry,<0E:0009:0000:0C00>Bowsers Festung – Larrys Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Larry,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Larry,<0E:0009:0000:0C00>Bowser'ın Şatosu: Larry'nin Odası
,Area65,<0E:0009:0000:0C00>Hoho-oase,<0E:0009:0000:0C00>Oho Oasis,<0E:0009:0000:0C00>Île Kusu,<0E:0009:0000:0C00>Isla Hihihi,<0E:0009:0000:0C00>Risola,<0E:0009:0000:0C00>Isla Buajajá,<0E:0009:0000:0C00>Oho Vahası
,Area66,<0E:0009:0000:0C00>Zeebodem bij de Hoho-oase,"<0E:0009:0000:0C00>Seabed, Beneath Oho Oasis",<0E:0009:0000:0C00>Fonds marins - Île Kusu,<0E:0009:0000:0C00>Meeresboden - Isla Hihihi,<0E:0009:0000:0C00>Risola - Fondale marino,<0E:0009:0000:0C00>Fondo del mar: Isla Buajajá,<0E:0009:0000:0C00>Oho Vahası Altındaki Deniz Tabanı
,Area10,<0E:0009:0000:0C00>Oost-Booninkrijk,<0E:0009:0000:0C00>East Beanbean,<0E:0009:0000:0C00>Est de Végésia,<0E:0009:0000:0C00>Bohnenland Ost,<0E:0009:0000:0C00>Fagiolandia Est,<0E:0009:0000:0C00>Este del castillo,<0E:0009:0000:0C00>Doğu Fasulya Krallığı
,Area11,<0E:0009:0000:0C00>Zuidoost-Booninkrijk,<0E:0009:0000:0C00>SE Beanbean,<0E:0009:0000:0C00>Sud-est de Végésia,<0E:0009:0000:0C00>Bohnenland SO,<0E:0009:0000:0C00>Fagiolandia Sud Est,<0E:0009:0000:0C00>Sureste del castillo,<0E:0009:0000:0C00>Güneydoğu Fasulya Krallığı
,Area69,<0E:0009:0000:0C00>Relaxruimte,<0E:0009:0000:0C00>Relaxation Room,<0E:0009:0000:0C00>Centre de relaxation,<0E:0009:0000:0C00>Entspannungsraum,<0E:0009:0000:0C00>Sala Relax,<0E:0009:0000:0C00>Sala de relajación,<0E:0009:0000:0C00>Dinlenme Odası
,Area12,<0E:0009:0000:0C00>Kasteeldorp,<0E:0009:0000:0C00>Beanbean Castle Town,<0E:0009:0000:0C00>Ville du château de Végésia,<0E:0009:0000:0C00>Bohnenburg,<0E:0009:0000:0C00>Borgo del Castello,<0E:0009:0000:0C00>Villa Judía,<0E:0009:0000:0C00>Fasulya Kale Şehri
,Area13,<0E:0009:0000:0C00>Booninklijk kasteel,<0E:0009:0000:0C00>Beanbean Castle,<0E:0009:0000:0C00>Château de Végésia,<0E:0009:0000:0C00>Schloss Bohnia,<0E:0009:0000:0C00>Castello di Fagiolandia,<0E:0009:0000:0C00>Castillo del Reino Judía,<0E:0009:0000:0C00>Fasulya Kalesi
,Area14,<0E:0009:0000:0C00>Château de Grinnikhik,<0E:0009:0000:0C00>Chateau de Chucklehuck,<0E:0009:0000:0C00>Château de Sodagnoble,<0E:0009:0000:0C00>Grinsewald-Chateau,<0E:0009:0000:0C00>Cantina Ghigno,<0E:0009:0000:0C00>Bodegas Jijí,<0E:0009:0000:0C00>Kıkır Şatosu
,Area15,<0E:0009:0000:0C00>Grinnikhik-woud,<0E:0009:0000:0C00>Chucklehuck Woods,<0E:0009:0000:0C00>Bois du rire,<0E:0009:0000:0C00>Grinsewald,<0E:0009:0000:0C00>Bosco Ghigno,<0E:0009:0000:0C00>Bosque Jijí,<0E:0009:0000:0C00>Kıkır Ormanı
,Area16,<0E:0009:0000:0C00>Woehoeniversiteit,<0E:0009:0000:0C00>Woohoo Hooniversity,<0E:0009:0000:0C00>Hahadémie,<0E:0009:0000:0C00>Lachhochschule,<0E:0009:0000:0C00>Accademia Crepapelle,<0E:0009:0000:0C00>Academia Jajá,<0E:0009:0000:0C00>Hahademi
,Area17,<0E:0009:0000:0C00>Hoho-oase,<0E:0009:0000:0C00>Oho Oasis,<0E:0009:0000:0C00>Île Kusu,<0E:0009:0000:0C00>Isla Hihihi,<0E:0009:0000:0C00>Risola,<0E:0009:0000:0C00>Isla Buajajá,<0E:0009:0000:0C00>Oho Vahası
,Area80,<0E:0009:0000:0C00>Koopa-kruiser,<0E:0009:0000:0C00>Koopa Cruiser,<0E:0009:0000:0C00>Tortue-jet,<0E:0009:0000:0C00>Koopa-Jet,<0E:0009:0000:0C00>Tartaplano,<0E:0009:0000:0C00>Turbokoopa,<0E:0009:0000:0C00>Koopa Kruvazörü
,Area82,<0E:0009:0000:0C00>Ss Grinnikprik,<0E:0009:0000:0C00>S.S. Chuckola,<0E:0009:0000:0C00>Millésime,<0E:0009:0000:0C00>MS Kichererbse,<0E:0009:0000:0C00>Nave Ridolina,<0E:0009:0000:0C00>Barco Jijichata,<0E:0009:0000:0C00>S.S. Kıkırola
,Area86,<0E:0009:0000:0C00>Hiha-berg,<0E:0009:0000:0C00>Hoohoo Mountain,<0E:0009:0000:0C00>Mont Uf,<0E:0009:0000:0C00>Lachberg,<0E:0009:0000:0C00>Montagna Tiritera,<0E:0009:0000:0C00>Montaña Juajuá,<0E:0009:0000:0C00>Huhu Dağı
,Area87,<0E:0009:0000:0C00>Grollendal - ondergronds,<0E:0009:0000:0C00>Teehee Valley Underground,<0E:0009:0000:0C00>Vallée Hihi - Souterrain,<0E:0009:0000:0C00>Gröhltal-Höhle,<0E:0009:0000:0C00>Val Sorriso - Sotterranei,<0E:0009:0000:0C00>Valle Jejé: Cavernas subterráneas,<0E:0009:0000:0C00>Kıkır Vadisi Yeraltı
,Area31,<0E:0009:0000:0C00>Hiha-dorp,<0E:0009:0000:0C00>Hoohoo Village,<0E:0009:0000:0C00>Village Uf,<0E:0009:0000:0C00>Lachdorf,<0E:0009:0000:0C00>Villaggio Tiritera,<0E:0009:0000:0C00>Pueblo Juajuá,<0E:0009:0000:0C00>Huhu Köyü
,Area33,<0E:0009:0000:0C00>Grinnikhik-woud - ondergronds,<0E:0009:0000:0C00>Chucklehuck Woods Underground,<0E:0009:0000:0C00>Bois du rire - Souterrain,<0E:0009:0000:0C00>Grinsewald – Unter Tage,<0E:0009:0000:0C00>Bosco Ghigno - Sotterranei,<0E:0009:0000:0C00>Bosque Jijí: Cavernas subterráneas,<0E:0009:0000:0C00>Kıkır Ormanı Yeraltı
,Area38,<0E:0009:0000:0C00>Grinnikhik-woud - Wulkengebied,<0E:0009:0000:0C00>Chucklehuck Woods Winkle Area,<0E:0009:0000:0C00>Bois du rire - Tribu escargot,<0E:0009:0000:0C00>Grinsewald – Kriechen-Gebiet,<0E:0009:0000:0C00>Bosco Ghigno - Tribù delle Lumache,<0E:0009:0000:0C00>Bosque Jijí: Tribu caracol,<0E:0009:0000:0C00>Kıkır Ormanı Salyangoz Bölgesi
,Area39,<0E:0009:0000:0C00>Booninklijk riool,<0E:0009:0000:0C00>Beanbean Castle Sewer,<0E:0009:0000:0C00>Canalisations du château,<0E:0009:0000:0C00>Schloss Bohnia – Abwassersystem,<0E:0009:0000:0C00>Acquedotto del Castello di Fagiolandia,<0E:0009:0000:0C00>Alcantarillas del Castillo Judía,<0E:0009:0000:0C00>Fasulya Kalesi Kanalizasyonu
,Area50,<0E:0009:0000:0C00>Koopa-kruiser,<0E:0009:0000:0C00>Koopa Cruiser,<0E:0009:0000:0C00>Tortue-jet,<0E:0009:0000:0C00>Koopa-Jet,<0E:0009:0000:0C00>Tartaplano,<0E:0009:0000:0C00>Turbokoopa,<0E:0009:0000:0C00>Koopa Kruvazörü
,Area52,<0E:0009:0000:0C00>Woehoeniversiteit - entree,<0E:0009:0000:0C00>Woohoo Hooniversity Entrance,<0E:0009:0000:0C00>Entrée de l'Hahadémie,<0E:0009:0000:0C00>Lachhochschule – Eingang,<0E:0009:0000:0C00>Accademia Crepapelle - Entrata,<0E:0009:0000:0C00>Academia Jajá: Entrada,<0E:0009:0000:0C00>Hahademi Girişi
,Area56,<0E:0009:0000:0C00>Bowsers kasteel - Iggy's kamer,<0E:0009:0000:0C00>Bowser's Castle: Iggy's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers d'Iggy,<0E:0009:0000:0C00>Bowsers Festung – Iggys Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Iggy,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Iggy,<0E:0009:0000:0C00>Bowser'ın Şatosu: Iggy'nin Odası
