AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,ThunderHand_09_0,"<0E:0009:0000:0B00>Verander het actiepictogram naar Bliksem en
houd <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF> ingedrukt om een <0E:0000:0003:2C64FFFF>stroomstoot<0E:0000:0003:E6E6E6FF> te creëren.","<0E:0009:0000:0B00>Change the Action Icon to Thunder, and then
press and hold <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>to shoot a blast of <0E:0000:0003:2C64FFFF>thunder<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Sélectionnez l'icône d'action <0E:0000:0003:2C64FFFF>Tonnerre<0E:0000:0003:E6E6E6FF>, puis
appuyez sur <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>pour concentrer le pouvoir du
Tonnerre dans les mains de Luigi.","<0E:0009:0000:0B00>Drücke und halte <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF>, nachdem du zum
Aktionssymbol <0E:0000:0003:2C64FFFF>Donnerhand<0E:0000:0003:E6E6E6FF> gewechselt
bist, um einen <0E:0000:0003:2C64FFFF>Donnerschlag <0E:0000:0003:E6E6E6FF>zu entfesseln.","<0E:0009:0000:0B00>Cambia l'Icona Azione in Tuono, poi tieni
premuto e rilascia <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>per scatenare un <0E:0000:0003:2C64FFFF>tuono<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Cambia el icono de acción a <0E:0000:0003:2C64FFFF>Mano Rayo<0E:0000:0003:E6E6E6FF>
y mantén pulsado <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>para generar un <0E:0000:0003:2C64FFFF>rayo<0E:0000:0003:E6E6E6FF>.
A continuación, suelta el botón para lanzarlo.","<0E:0009:0000:0B00>Eylem Simgesini Yıldırım'a getir, ardından
<0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>Düğmesini basılı tutarak
<0E:0000:0003:2C64FFFF>yıldırım<0E:0000:0003:E6E6E6FF> patlaması gönder."
,menu_bgm_title_74,<0E:0009:0000:0C00>We mogen niet verliezen! DX,<0E:0009:0000:0C00>We Can't Lose! DX,"<0E:0009:0000:0C00>La défaite, connais pas ! - DX",<0E:0009:0000:0C00>Wir? Verlieren? Pah! -DX-,<0E:0009:0000:0C00>Non perderemo mai! DX,<0E:0009:0000:0C00>No podemos perder (deluxe),<0E:0009:0000:0C00>Kaybetmek Yok! DX
,menu_scenario_next_21,"<0E:0009:0000:0600>De landingsbaan is vrij, dus het is
tijd om prinses Peach te begroeten.","<0E:0009:0000:0600>You've cleared the runway, so now it's
time to go welcome Princess Peach.","<0E:0009:0000:0600>Maintenant que vous avez exercé vos talents
de jardinier sur le tarmac, la Princesse Peach
peut enfin atterrir.","<0E:0009:0000:0600>Jetzt, wo du die Landebahn gejätet hast,
kannst du Peach endlich willkommen heißen.","<0E:0009:0000:0600>Sgombrata la pista di rullaggio, puoi finalmente
dare il benvenuto alla Principessa Peach.","<0E:0009:0000:0600>Ahora que la pista de aterrizaje está limpia,
toca esperar la llegada de la princesa Peach.","<0E:0009:0000:0600>Pisti temizledin, şimdi Prenses Peach'i
karşılama zamanı."
,BtlGuide_06,<0E:0009:0000:0C00>Countersprong,<0E:0009:0000:0C00>Jump Guard,<0E:0009:0000:0C00>Saut défensif,<0E:0009:0000:0C00>Sprung-Verteidigung,<0E:0009:0000:0C00>Salto difensivo,<0E:0009:0000:0C00>Salto defensa,<0E:0009:0000:0C00>Zıplama Savunması
,BtlGuide_06_1,"<0E:0009:0000:0B00>Druk op de knop van een broer om die broer te
laten springen.",<0E:0009:0000:0B00>Press either character button to jump.,"<0E:0009:0000:0B00>Appuyez sur le bouton correspondant au
personnage pour qu'il saute. Un saut effectué
au bon moment permet d'éviter l'ennemi.","<0E:0009:0000:0B00>Drücke zum Springen den Knopf des
attackierten Charakters. Beim richtigen
Timing erleidet der Held keinen Schaden.","<0E:0009:0000:0B00>Premi il pulsante di uno dei due fratelli
per saltare.","<0E:0009:0000:0B00>Toca el botón del personaje
que quieras que salte.",<0E:0009:0000:0B00>Zıplamak için ilgili karakter düğmesine bas.
,BtlGuide_15_2,"<0E:0009:0000:0B00>Druk op <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF> bij het kiezen van een aanval
om de makkelijke aanvalsstand te activeren.","<0E:0009:0000:0B00>Press the <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF> Button when selecting an attack
to enable Easy Attack Mode.","<0E:0009:0000:0B00>Pour l'activer, il suffit d'appuyer
sur <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF> lorsque vous sélectionnez
une attaque.","<0E:0009:0000:0B00>Drücke <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF>, bevor du eine Attacke auswählst,
um den Leichter-Angriff-Modus zu aktivieren.","<0E:0009:0000:0B00>Premi <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF> quando selezioni un attacco
per attivare la modalità Attacco facile.","<0E:0009:0000:0B00>Para activar el modo de ataque fácil, pulsa <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF>
cuando vayas a seleccionar un ataque tándem.","<0E:0009:0000:0B00>Bir saldırı seçerken <0E:0000:0003:2C64FFFF><0E:0000:0003:E6E6E6FF> Düğmesine basarak
Kolay Saldırı Modu'nu etkinleştir."
,menu_bgm_title_75,<0E:0009:0000:0C00>Het fantastische duo DX,<0E:0009:0000:0C00>The Marvelous Duo DX,<0E:0009:0000:0C00>Duo d'élite - DX,<0E:0009:0000:0C00>Die zauberhaften Zwei -DX-,<0E:0009:0000:0C00>Il mirabolante duo DX,<0E:0009:0000:0C00>El dúo maravilla (deluxe),<0E:0009:0000:0C00>Muhteşem İkili DX
,menu_scenario_next_22,"<0E:0009:0000:0600>Ga naar het Booninklijk kasteel en
Kasteeldorp om rond te kijken.","<0E:0009:0000:0600>Head to Beanbean Castle and Beanbean
Castle Town to look around a bit.","<0E:0009:0000:0600>Rendez-vous au Château de Végésia
et dans la Ville du Château.","<0E:0009:0000:0600>Sieh dich ein wenig in Schloss Bohnia und in
Bohnenburg um.","<0E:0009:0000:0600>Parti per il Castello di Fagiolandia e per
il Borgo del Castello per fare un giro.","<0E:0009:0000:0600>Mario y Luigi se dirigen al Castillo Judía
y a Villa Judía a investigar un poco.","<0E:0009:0000:0600>Biraz etrafa bakmak için Fasulya Kalesi'ne
ve Fasulya Kale Şehri'ne git."
,menu_stamp_l_pnl_01_00,"<0E:0009:0000:0300>Houd een Mario-amiibo tegen het <0E:0000:0003:4ED4FFFF>onderste
scherm <0E:0000:0003:E6E6E6FF>aan om een stempel te zetten.",<0E:0009:0000:0300>Touch a Mario amiibo to the <0E:0000:0003:4ED4FFFF>bottom screen<0E:0000:0003:E6E6E6FF> to stamp.,<0E:0009:0000:0300>Touchez l'<0E:0000:0003:4ED4FFFF>écran tactile<0E:0000:0003:E6E6E6FF> avec un amiibo Mario.,"<0E:0009:0000:0300>Berühre zum Stempeln mit einem
Mario-amiibo den <0E:0000:0003:4ED4FFFF>Touchscreen<0E:0000:0003:E6E6E6FF>.",<0E:0009:0000:0300>Tocca lo <0E:0000:0003:4ED4FFFF>schermo inferiore<0E:0000:0003:E6E6E6FF> con un amiibo di Mario.,"<0E:0009:0000:0300>Acerca un amiibo de Mario a la <0E:0000:0003:4ED4FFFF>pantalla táctil<0E:0000:0003:E6E6E6FF>
para poner un sello.",<0E:0009:0000:0300>Damga basmak için Mario amiibo'yu <0E:0000:0003:4ED4FFFF>alt ekrana<0E:0000:0003:E6E6E6FF> dokundur.
,BrosAtk_03_A_0,"<0E:0009:0000:0B00>Druk op <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>als Luigi zijn hamer boven zijn
hoofd houdt. Mario wordt dan kleine Mario!","<0E:0009:0000:0B00>Press <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>when Luigi swings his Hammer over
his head. Mario will become Mini Mario!","<0E:0009:0000:0B00>Appuyez sur <0E:0000:0003:FF4343FF><0E:0000:0003:00BB27FF><0E:0000:0003:FF4343FF> <0E:0000:0003:E6E6E6FF>lorsque Luigi tient
son marteau au-dessus de la tête
pour transformer Mario en Petit Mario !","<0E:0009:0000:0B00>Drücke <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF>, wenn Luigi den Hammer über seinen
Kopf schwingt, um Mario klein zu machen.","<0E:0009:0000:0B00>Premi <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>quando Luigi avrà sollevato il Martello
sopra la testa. Mario diventerà Piccolo Mario!","<0E:0009:0000:0B00>Pulsa <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>cuando Luigi tenga el martillo
por encima de la cabeza. Mario, por su parte,
se transformará en Peque Mario.","<0E:0009:0000:0B00>Luigi Çekicini başının üstünde savururken <0E:0000:0003:00BB27FF>
<0E:0000:0003:E6E6E6FF>tuşuna bas. Mario, Mini Mario'ya dönüşür!"
,BtlGuide_06_2,"<0E:0009:0000:0B00>Je kunt aanvallen van vijanden vermijden
door te springen. Als je op de vijand landt,
breng je ook nog schade toe.","<0E:0009:0000:0B00>You can avoid enemy attacks by jumping at
the right moment. Time your jumps to land
on enemies and deal damage as well.","<0E:0009:0000:0B00>Vous pouvez même lui infliger des dégâts en
retombant sur lui juste au moment où il passe !
Tout est une question d'anticipation !","<0E:0009:0000:0B00>Du kannst einigen Gegnern sogar Schaden
zufügen, wenn du nach dem Sprung auf
ihnen landest. Das Timing ist wichtig!","<0E:0009:0000:0B00>Se salti con il giusto tempismo, puoi schivare
l'attacco nemico. Puoi anche atterrare sul
nemico e infliggergli dei danni!","<0E:0009:0000:0B00>Si saltas a tiempo, podrás evitar el ataque.
Además, si lo haces en el momento justo,
caerás sobre el enemigo y podrás infligirle daño.","<0E:0009:0000:0B00>Doğru anda zıplayarak düşman saldırılarından
kaçabilirsin. Zamanlamayı iyi yaparsan düşmanın
üstüne inip ona hasar da verebilirsin."
,BtlGuide_07,<0E:0009:0000:0C00>De basis 4: win om sterker te worden,"<0E:0009:0000:0C00>Basics #4: Win Battles, Get Stronger",<0E:0009:0000:0C00>Bases ④ : devenir plus fort,<0E:0009:0000:0C00>Grundlagen ④: Stärker werden,<0E:0009:0000:0C00>Le basi #4: scontri e crescita,<0E:0009:0000:0C00>Fundamentos 4: Combate y experiencia,"<0E:0009:0000:0C00>Temeller #4: Savaş Kazan, Güçlen"
,BtlGuide_15_3,"<0E:0009:0000:0B00>De hoeveelheid schade blijft hetzelfde,
dus probeer het eens uit bij een aanval
die je lastig vindt.","<0E:0009:0000:0B00>The amount of damage the attack deals
will not be affected, so give it a try for
attacks you're having trouble with.","<0E:0009:0000:0B00>En outre, vous infligerez tout autant de dégâts,
alors n'hésitez pas à activer ce mode si une
attaque vous donne du fil à retordre.","<0E:0009:0000:0B00>Der Schaden, den du anrichtest, bleibt gleich.
Scheue dich also nicht, den Modus zu wählen,
wenn dir eine neu erlernte Attacke schwerfällt.","<0E:0009:0000:0B00>L'ammontare di danni inflitti non cambierà,
perciò vale la pena provare questa modalità
con gli attacchi che ti mettono in difficoltà.","<0E:0009:0000:0B00>El daño causado por el ataque no varía,
así que no dudes en usarlo con aquellos
ataques que te cueste realizar.","<0E:0009:0000:0B00>Saldırının verdiği hasar değişmez, zorlandığın
saldırılarda bu modu gönül rahatlığıyla dene."
,FldGuide_02_0,"<0E:0009:0000:0B00>Voorwerpen die je hebt verzameld, gebruik je
vanuit het menu.","<0E:0009:0000:0B00>You can go to the menu screen to use items
you have acquired.","<0E:0009:0000:0B00>Sélectionnez Objets dans le menu si vous
souhaitez utiliser l'un de vos objets.","<0E:0009:0000:0B00>Über das Menü kannst du auf deine gesammelten
Items zugreifen.","<0E:0009:0000:0B00>Vai allo schermo del menu per usare
gli strumenti che hai raccolto.","<0E:0009:0000:0B00>Cuando quieras usar un objeto,
selecciónalo en el menú.","<0E:0009:0000:0B00>Topladığın eşyaları kullanmak için
menü ekranına gidebilirsin."
,menu_bgm_title_76,<0E:0009:0000:0C00>Tijd om dit te beëindigen! DX,<0E:0009:0000:0C00>Time to Settle This! DX,<0E:0009:0000:0C00>Finissons-en ! - DX,<0E:0009:0000:0C00>Ein für alle Male! -DX-,<0E:0009:0000:0C00>È giunta la resa dei conti! DX,<0E:0009:0000:0C00>Esto lo resolvemos aquí y ahora (deluxe),<0E:0009:0000:0C00>Bu İşi Bitirme Zamanı! DX
,menu_scenario_next_23,"<0E:0009:0000:0600>Ga voor vertrek naar het huis van de
hamermakers, ten oosten van Kasteeldorp.","<0E:0009:0000:0600>Head to the Hammer craftsmen's house first.
It's by the east exit of Beanbean Castle Town.","<0E:0009:0000:0600>Rendez-vous chez les artisans avant de partir.
Vous les trouverez près de la sortie droite
de la Ville du Château de Végésia.","<0E:0009:0000:0600>Noch schnell zu den Hammermachern nahe des
östlichen Ausgangs von Bohnenburg!","<0E:0009:0000:0600>Prima di partire, vai dai Fratelli Fabbro. Abitano
presso l'uscita est del Borgo del Castello.","<0E:0009:0000:0600>Antes de partir, conviene pasarse por
la casa de los herreros. Está cerca de
la salida oriental de Villa Judía.","<0E:0009:0000:0600>Önce çekiç ustalarının evine uğra.
Fasulya Kale Şehri'nin doğu çıkışının yanında."
,menu_stamp_l_pnl_01_01,"<0E:0009:0000:0300>Houd een Luigi-amiibo tegen het <0E:0000:0003:4ED4FFFF>onderste
scherm <0E:0000:0003:E6E6E6FF>aan om een stempel te zetten.",<0E:0009:0000:0300>Touch a Luigi amiibo to the <0E:0000:0003:4ED4FFFF>bottom screen<0E:0000:0003:E6E6E6FF> to stamp.,<0E:0009:0000:0300>Touchez l'<0E:0000:0003:4ED4FFFF>écran tactile<0E:0000:0003:E6E6E6FF> avec un amiibo Luigi.,"<0E:0009:0000:0300>Berühre zum Stempeln mit einem
Luigi-amiibo den <0E:0000:0003:4ED4FFFF>Touchscreen<0E:0000:0003:E6E6E6FF>.",<0E:0009:0000:0300>Tocca lo <0E:0000:0003:4ED4FFFF>schermo inferiore<0E:0000:0003:E6E6E6FF> con un amiibo di Luigi.,"<0E:0009:0000:0300>Acerca un amiibo de Luigi a la <0E:0000:0003:4ED4FFFF>pantalla táctil<0E:0000:0003:E6E6E6FF>
para poner un sello.",<0E:0009:0000:0300>Damga basmak için Luigi amiibo'yu <0E:0000:0003:4ED4FFFF>alt ekrana<0E:0000:0003:E6E6E6FF> dokundur.
,BrosAtk_02_A,<0E:0009:0000:0C00>Helikopterhamer [super],<0E:0009:0000:0C00>Super Chopper Bros.,<0E:0009:0000:0C00>Hélico DX,<0E:0009:0000:0C00>Hackebrüder+,<0E:0009:0000:0C00>Super Doppio Martello,<0E:0009:0000:0C00>Superataque hélice,<0E:0009:0000:0C00>Süper Pervane Kardeşler
,BrosAtk_03_A_1,"<0E:0009:0000:0B00>Kleine Mario maakt even bezwaar.
Druk dan op <0E:0000:0003:FF4343FF><0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mini Mario will ask Luigi for help.
During that time, press the <0E:0000:0003:FF4343FF> <0E:0000:0003:E6E6E6FF>Button.","<0E:0009:0000:0B00>Petit Mario fera un signe pendant un court
instant. Appuyez sur <0E:0000:0003:FF4343FF><0E:0000:0003:E6E6E6FF> à ce moment-là.","<0E:0009:0000:0B00>Drücke <0E:0000:0003:FF4343FF> <0E:0000:0003:E6E6E6FF>sobald Klein-Mario vom Boden
abprallt, um ihm Schwung zu verleihen.","<0E:0009:0000:0B00>Piccolo Mario chiederà più tempo.
Premi <0E:0000:0003:FF4343FF><0E:0000:0003:E6E6E6FF> mentre lo fa.","<0E:0009:0000:0B00>Peque Mario le pedirá ayuda a Luigi.
Aprovecha ese momento para pulsar <0E:0000:0003:FF4343FF><0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mini Mario, Luigi'den yardım isteyecek.
O sırada <0E:0000:0003:FF4343FF> <0E:0000:0003:E6E6E6FF>Düğmesine bas."
