AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
b_sys,Hint_panyo_g_0_0,"<0E:0009:0000:0B00>Hij steelt voorwerpen van Mario en
Luigi en geneest zichzelf en Bowser.","<0E:0009:0000:0B00>He steals items from Mario and Luigi
and heals himself and Bowser.","<0E:0009:0000:0B00>Ce gredin vole des objets à Mario et Luigi
et s'en sert pour soigner son acolyte et
lui-même.","<0E:0009:0000:0B00>Der Gauner stiehlt Items von Mario und
Luigi und heilt damit sich selbst und
BowsAzubi.","<0E:0009:0000:0B00>Ruba strumenti a Mario e Luigi per curare
se stesso e Bowser.","<0E:0009:0000:0B00>Panyo les roba objetos a Mario y Luigi
para curar a Bowser y a sí mismo.","<0E:0009:0000:0B00>Mario ve Luigi'den eşya çalıp hem kendini
hem de Bowser'ı iyileştirir."
b_sys,Hint_tanubo_0_1,"<0E:0009:0000:0B00>Als ze zich als Mario verkleden, vallen ze
Luigi aan. Als ze zich als Luigi verkleden,
vallen ze Mario aan.","<0E:0009:0000:0B00>With their copy ability, if they copy Mario,
they will attack Luigi. If they copy Luigi,
they will attack Mario.","<0E:0009:0000:0B00>Et ne vous laissez pas surprendre : quand
il se métamorphose en Mario, c'est qu'il a
Luigi en ligne de mire, et vice-versa.","<0E:0009:0000:0B00>Seine Kopierfähigkeit ist hingegen recht
leicht zu durchschauen: Als Mario greift er
Luigi und als Luigi greift er Mario an.","<0E:0009:0000:0B00>È in grado di copiare sia Mario che Luigi.
Se copia Mario, attaccherà Luigi.
Se copia Luigi, attaccherà Mario.","<0E:0009:0000:0B00>Si usan su habilidad especial
para copiar a Mario, atacarán a Luigi,
y si copian a Luigi, atacarán a Mario.","<0E:0009:0000:0B00>Mario'yu kopyalarsa Luigi'ye, Luigi'yi
kopyalarsa Mario'ya saldırır."
b_sys,mon_name_176,<0E:0009:0000:0000>Rechterarm,<0E:0009:0000:0000>Right Arm,<0E:0009:0000:0000>Bras droit,<0E:0009:0000:0000>Rechter Arm,<0E:0009:0000:0000>Braccio Destro,<0E:0009:0000:0000>Brazo derecho,<0E:0009:0000:0000>Sağ Kol
b_sys,mon_name_94,<0E:0009:0000:0000>Dragohoho,<0E:0009:0000:0000>Dragohoho,<0E:0009:0000:0000>Rigodraco,<0E:0009:0000:0000>Maxi-Rex,<0E:0009:0000:0000>DragooH,<0E:0009:0000:0000>Dragón Jojó,<0E:0009:0000:0000>Huhudragon
b_sys,BMDat_I_0032,<0E:0009:0000:0600>Voorwerpen zijn geblokkeerd.<0E:0002:0001:>,<0E:0009:0000:0600>Items are prohibited!<0E:0002:0001:>,<0E:0009:0000:0600>Objets interdits !<0E:0002:0001:>,<0E:0009:0000:0600>Item-Einsatz verboten!<0E:0002:0001:>,<0E:0009:0000:0600>Gli Strumenti sono proibiti!<0E:0002:0001:>,<0E:0009:0000:0600>¡Están prohibidos los objetos!<0E:0002:0001:>,<0E:0009:0000:0600>Eşya kullanmak yasak!<0E:0002:0001:>
b_sys,BtlGuide_04,<0E:0009:0000:0C00>Kijk en leer,<0E:0009:0000:0C00>Watch and Learn,<0E:0009:0000:0C00>Démo et essai,<0E:0009:0000:0C00>Demo und Üben,<0E:0009:0000:0C00>Guarda e impara,<0E:0009:0000:0C00>Observar y aprender,<0E:0009:0000:0C00>İzle ve Öğren
b_sys,BtlGuide_15_0,"<0E:0009:0000:0B00>Als je duoaanvallen te lastig vindt,
probeer dan de makkelijke aanvalsstand.","<0E:0009:0000:0B00>If you find that Bros. Attacks are too difficult
to perform, try utilizing Easy Attack Mode.","<0E:0009:0000:0B00>Si vous rencontrez des difficultés lors de
l'exécution d'attaques frères, le mode
d'attaque facile peut vous aider.","<0E:0009:0000:0B00>Benötigst du ein wenig Hilfe beim Ausführen
von Paar-Attacken, dann versuch's mal mit
dem <0E:0000:0003:2C64FFFF>Leichter-Angriff-Modus<0E:0000:0003:E6E6E6FF>!","<0E:0009:0000:0B00>Se eseguire Attacchi Fratelli ti riesce
troppo difficile, prova a usare la
modalità Attacco facile.","<0E:0009:0000:0B00>Si te cuesta llevar a cabo los ataques tándem,
prueba a usar el modo de ataque fácil.","<0E:0009:0000:0B00>Kardeş Saldırılarını yapmakta zorlanıyorsan
Kolay Saldırı Modu'nu kullanmayı dene."
b_sys,Hint_genjin_0_1,"<0E:0009:0000:0B00>Als je ze raakt met vuurvingers en ze
de aandoening BRANDEND krijgen, vliegen
ze in brand en beginnen ze rond te rennen.","<0E:0009:0000:0B00>They will catch fire and start running
when attacked with Firebrand and
inflicted with the BURN status.","<0E:0009:0000:0B00>Touché par une attaque de Feu ou victime
du statut Brûlé, le Primitos s'enflamme et
se met à cavaler.","<0E:0009:0000:0B00>Greife sie mit der Feuerhand an, damit sie
sich entzünden und die Beine in die Hand
nehmen, sobald sie mit dem Statuseffekt
FEUER infiziert sind.","<0E:0009:0000:0B00>Attaccalo con Mastro Fuoco: se subisce
l'alterazione di stato SCOTTATO, prende
fuoco e corre all'impazzata.","<0E:0009:0000:0B00>Cuando el ataque Mano del Fuego
les inflija el estado QUEMADURA,
se prenderán. ¡Mira cómo corren
los pobres!","<0E:0009:0000:0B00>Ateş Eli ile saldırıp YANIK durumuna sokarsan
tutuşup koşturmaya başlarlar."
b_sys,Hint_gerane_2_0,"<0E:0009:0000:0B00>Als het lichaam van de Grinnikprikker
krimpt, vertelt Bubbels hem flauwe grappen
om hem weer op te peppen.","<0E:0009:0000:0B00>When Chuckolator's body shrinks,
Bubbles will tell it corny jokes
to help it recover.","<0E:0009:0000:0B00>Quand le Soda Hilaro rétrécit, Baramkar lui
lance une blague vaseuse pour l'aider à
reprendre du poil de la bête.","<0E:0009:0000:0B00>Wenn du die Cuvée Extrem auf Schlückchen-
format reduziert hast, kommt Invino Veritas
persönlich herbei und versucht, sie durch
schlechte Witze wieder aufzupäppeln.","<0E:0009:0000:0B00>Quando il corpo di Nettare Ridolino
rimpicciolisce, Frizzo racconterà delle
barzellette per farlo tornare in salute.","<0E:0009:0000:0B00>Cuando el cuerpo del Refrestruo se encoja,
Riseñor saldrá a contarle chistes malos
para que recupere energías.","<0E:0009:0000:0B00>Kıkırola Canavarı küçüldüğünde Bubbles,
onu toparlamak için bayat şakalar patlatır."
b_sys,Hint_karon_0_0,"<0E:0009:0000:0B00>Dry Bones gooien hun hoofd in de
richting waarin ze kijken. Spring op
het hoofd om ze schade toe te brengen.","<0E:0009:0000:0B00>Dry Bones throw their heads in whatever
direction they're looking. Jump on their
heads to damage them.","<0E:0009:0000:0B00>Il lance son crâne dans la direction où il
regarde. Infligez-lui des dégâts en sautant
sur ce projectile original.","<0E:0009:0000:0B00>Knochentrocken werfen ihre Köpfe stets in
Blickrichtung. Du fügst ihnen Schaden zu,
indem du auf die Köpfe springst.","<0E:0009:0000:0B00>I Tartossi scagliano la loro testa nella
direzione in cui stanno guardando.
Salta loro sopra per danneggiarli.","<0E:0009:0000:0B00>Donde pone el ojo, pone la cabeza.
¡Salta sobre ella para infligirle daño
a Huesitos!","<0E:0009:0000:0B00>Dry Bones kafalarını baktıkları yöne fırlatır.
Kafalarının üstüne zıplayarak hasar ver."
b_sys,Hint_mpackun_0_3,"<0E:0009:0000:0B00>Val rode Piranha Plants aan met bliksem-
hand en blauwe met vuurvingers. Doe dit
ook bij Mom Piranha, afhankelijk van haar
kleur.","<0E:0009:0000:0B00>Attack red Piranha Plants with thunder
and blue ones with fire. Depending on
her color, these work on Mom Piranha too.","<0E:0009:0000:0B00>Les Plantes Piranha bleues ont horreur du
feu. Quant aux rouges, ce sont les coups
de tonnerre qui les mettent sur les nerfs.","<0E:0009:0000:0B00>Greife rote Piranha-Pflanzen mit Donner und
blaue mit Feuer an. Je nach Farbgebung
funktioniert diese Strategie auch bei
Mama Piranha.","<0E:0009:0000:0B00>Attacca le Piante Piranha rosse con il
tuono e quelle blu con il fuoco. Vale anche
per Uovo Piranha, se ha lo stesso colore.","<0E:0009:0000:0B00>Ataca a las Plantas Piraña rojas
con la Mano del Rayo y a las azules,
con la Mano del Fuego.","<0E:0009:0000:0B00>Kırmızı Piranha Bitkilerine yıldırımla, mavilere
ateşle saldır. Rengine göre aynı yöntem
Piranha Ana'da da işe yarar."
b_sys,Hint_panyo_g_0_1,"<0E:0009:0000:0B00>Popple heeft minder HP dan Bowser,
dus het is een goed idee om Popple
eerst te verslaan.","<0E:0009:0000:0B00>Popple has lower HP than Bowser,
so trying to defeat him first is
a good strategy.","<0E:0009:0000:0B00>Il peut donc être judicieux de le mettre hors
d'état de nuire en premier, surtout que ses
PV sont moins élevés que ceux de Bowser.","<0E:0009:0000:0B00>Claude verfügt über weniger KP als Bowser,
deshalb ist es durchaus ratsam, ihn zuerst
zu besiegen.","<0E:0009:0000:0B00>Champo ha meno PV di Bowser, perciò
cercare di eliminarlo per primo è una
buona strategia.","<0E:0009:0000:0B00>Panyo tiene menos VIDA que Bowser,
por lo que derrotarlo a él primero
puede ser una buena estrategia.","<0E:0009:0000:0B00>Popple'ın HP'si Bowser'dan daha düşük,
önce onu yenmeye çalışmak iyi bir taktik."
b_sys,Target_MonAll,<0E:0009:0000:0000>IEDEREEN,<0E:0009:0000:0000>ALL,<0E:0009:0000:0000>Tous,<0E:0009:0000:0000>Alle,<0E:0009:0000:0000>TUTTI,<0E:0009:0000:0000>TODOS,<0E:0009:0000:0000>TÜMÜ
b_sys,mon_name_177,<0E:0009:0000:0000>Linkerarm,<0E:0009:0000:0000>Left Arm,<0E:0009:0000:0000>Bras gauche,<0E:0009:0000:0000>Linker Arm,<0E:0009:0000:0000>Braccio Sinistro,<0E:0009:0000:0000>Brazo izquierdo,<0E:0009:0000:0000>Sol Kol
b_sys,BMDat_I_0033,"<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Vaarwel, slappelingen!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:>Tijd voor een lange,
fijne pauze...<0E:0002:0001:>","<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Farewell, you two losers!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:>It's time you took a nice,
relaxing break...<0E:0002:0001:>","<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Adieu, imbéciles !<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:>Il est temps pour vous
de prendre un petit congé...<0E:0002:0001:>",<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Auf Nimmerwiedersehen!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:>Und ruht sanft!<0E:0002:0001:>,"<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Addio, pazzerelloni!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:>È ora che vi facciate
un bel viaggetto...<0E:0002:0001:>","<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Adiós, pareja.<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:>Descansad...<0E:0002:0001:>","<0E:0009:0000:0600><0E:0001:0004:><0E:0001:0001:>Elveda, iki ezik!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:>Artık şöyle güzel, rahatlatıcı
bir mola verme vaktiniz geldi...<0E:0002:0001:>"
b_sys,BtlGuide_05,<0E:0009:0000:0C00>De basis 3: de HP van Mario en Luigi,<0E:0009:0000:0C00>Basics #3: Watch Mario & Luigi's HP,<0E:0009:0000:0C00>Bases ③ : surveillez les PV !,<0E:0009:0000:0C00>Grundlagen ③: Achte auf die KP!,<0E:0009:0000:0C00>Le basi #3: i PV di Mario e Luigi,<0E:0009:0000:0C00>Fundamentos 3: Atención a la VIDA,<0E:0009:0000:0C00>Temeller #3: Mario ve Luigi'nin HP'sine Dikkat
b_sys,BtlGuide_06_0,"<0E:0009:0000:0B00>Mario en Luigi kunnen tijdens vijandelijke
aanvallen ook acties uitvoeren. Als ze hurken,
kun je een <0E:0000:0003:2C64FFFF>countersprong<0E:0000:0003:E6E6E6FF> uitvoeren.","<0E:0009:0000:0B00>Mario and Luigi can also perform actions during
enemy attacks. They can do a <0E:0000:0003:2C64FFFF>jump guard <0E:0000:0003:E6E6E6FF>when
either of them crouches down.","<0E:0009:0000:0B00>Si Mario et Luigi s'accroupissent quand
l'ennemi attaque, cela signifie qu'ils sont
prêts à réaliser un <0E:0000:0003:2C64FFFF>saut défensif<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario und Luigi signalisieren ihre Bereitschaft,
zu einer <0E:0000:0001:0500><0E:0000:0003:2C64FFFF>Sprung-Verteidigung<0E:0000:0003:E6E6E6FF><0E:0000:0001:FFFF>, indem sie kurz vor
einem gegnerischen Angriff in die Knie gehen.","<0E:0009:0000:0B00>Mario e Luigi possono eseguire azioni anche
durante gli attacchi nemici. Se uno dei due
si accuccia, possono usare il <0E:0000:0003:2C64FFFF>salto difensivo<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario y Luigi pueden realizar acciones cuando
los enemigos les atacan. Si se agachan, están
preparados para que hagas un <0E:0000:0003:2C64FFFF>salto defensa<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario ve Luigi düşman saldırıları sırasında da
eylem yapabilir. İkisinden biri çömeldiğinde
<0E:0000:0003:2C64FFFF>Zıplama Savunması <0E:0000:0003:E6E6E6FF>yapabilirsin."
b_sys,BtlGuide_15_1,"<0E:0009:0000:0B00>Deze stand verbruikt meer DP,
maar maakt de timing van de
duoaanvallen makkelijker.","<0E:0009:0000:0B00>Although this mode requires more BP,
it makes it easier to successfully
time Bros. Attacks.","<0E:0009:0000:0B00>Lorsqu'il est activé, vous utilisez plus de PF,
mais l'action est ralentie et les attaques
sont plus faciles à exécuter parfaitement.","<0E:0009:0000:0B00>Er bewirkt, dass du deine Attacken leichter zum
erfolgreichen Abschluss bringen kannst. Jedoch
musst du erhöhte BP-Kosten in Kauf nehmen.","<0E:0009:0000:0B00>Questa modalità richiede sì più PF, ma
ti permette di eseguire con più facilità
gli Attacchi Fratelli.","<0E:0009:0000:0B00>En este modo, los ataques tándem son más
fáciles de ejecutar, pero también cuestan
más puntos TÁN.","<0E:0009:0000:0B00>Bu mod daha fazla BP harcasa da Kardeş
Saldırılarında doğru zamanlamayı tutturmayı
kolaylaştırır."
b_sys,Hint_gerane_2_1,"<0E:0009:0000:0B00>Als de Grinnikprikker zo voldoende HP
terugkrijgt, wordt zijn lichaam weer groot.
Versla hem dus snel met duoaanvallen.","<0E:0009:0000:0B00>If Chuckolator recovers too much health,
its body will return to normal, so try to
defeat it quickly with Bros. Attacks.","<0E:0009:0000:0B00>Si cette thérapie s'avère trop efficace, le
Soda Hilaro retrouve sa taille initiale. Alors
achevez-le vite à coups d'attaques frères !","<0E:0009:0000:0B00>Hat die Cuvée Extrem genug gelacht, dann
nimmt sie wieder ihre vollen Ausmaße an.
Verhindere dies, indem du ihr geschwind mit
Paar-Attacken den Garaus machst!","<0E:0009:0000:0B00>Se Nettare Ridolino dovesse recuperare
troppi PV, il suo corpo tornerebbe normale.
Sconfiggilo in fretta con Attacchi Fratelli!","<0E:0009:0000:0B00>Si el Refrestruo se cura lo suficiente,
su cuerpo recuperará su tamaño original.
Para evitar que eso ocurra, intenta
derrotarlo deprisa con ataques tándem.","<0E:0009:0000:0B00>Kıkırola Canavarı çok fazla iyileşirse eski
boyuna döner. Kardeş Saldırılarıyla
çabucak işini bitirmeye çalış."
b_sys,Hint_mpackun_0_4,"<0E:0009:0000:0B00>Mom Piranha kan van kleur veranderen, en
dus van zwakke plek. Let dus goed op
welke handaanval je gebruikt.","<0E:0009:0000:0B00>Mom Piranha can change her color and
weakness, so be careful when using
Hand Attacks.","<0E:0009:0000:0B00>Maman Piranha peut changer de couleur,
et donc de point faible. Pensez à
adapter vos techniques de Main.","<0E:0009:0000:0B00>Mama Piranha kann allerdings ihre Farbe
und damit auch ihre Schwachstelle ändern,
setze also deine Hand-Attacken mit
Bedacht ein!","<0E:0009:0000:0B00>Ma Uovo Piranha può cambiare colore e, di
conseguenza, punto debole, perciò non
distrarti quando usi le azioni Mano.","<0E:0009:0000:0B00>La Piraña Madre también es vulnerable
a los ataques mano, pero irá cambiando
de color. Presta atención para saber
cuál de los dos usar.","<0E:0009:0000:0B00>Piranha Ana rengini ve zayıf noktasını
değiştirebilir, El Saldırılarını kullanırken
dikkat et."
b_sys,mon_name_178,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy,<0E:0009:0000:0000>Lemmy
b_sys,mon_name_96,<0E:0009:0000:0000>Wiggler,<0E:0009:0000:0000>Wiggler,<0E:0009:0000:0000>Wiggler,<0E:0009:0000:0000>Wiggler,<0E:0009:0000:0000>Torcibruco,<0E:0009:0000:0000>Floruga,<0E:0009:0000:0000>Wiggler
b_sys,BMDat_I_001E,<0E:0009:0000:0900><0E:0001:0001:>Au! HEETHEID!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Oververhitting!<0E:0002:0001:><0E:0000:0001:FFFF>,<0E:0009:0000:0900><0E:0001:0001:>Ouch! HOTNESS!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>It is the overheat!<0E:0002:0001:><0E:0000:0001:FFFF>,<0E:0009:0000:0900><0E:0001:0001:>Ouch ! Ouch !<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Je vais surchauffer !<0E:0002:0001:><0E:0000:0001:FFFF>,<0E:0009:0000:0900><0E:0001:0001:>AU-UTSCH!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Überhit-itzt!<0E:0002:0001:><0E:0000:0001:FFFF>,<0E:0009:0000:0900><0E:0001:0001:>Ah! Bollente!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Mi surriscalderò!<0E:0002:0001:><0E:0000:0001:FFFF>,"<0E:0009:0000:0900><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Ay, ¡quema!<0E:0000:0001:FFFF><0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>¡Se ha recalentado!<0E:0000:0001:FFFF>",<0E:0009:0000:0900><0E:0001:0001:>Ah! SICAKLIK!<0E:0002:0001:><0E:0000:0004:><0E:0001:0004:><0E:0001:0001:><0E:0000:0001:0700>Aşırı ısınma var!<0E:0002:0001:><0E:0000:0001:FFFF>
b_sys,BMDat_I_0034,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>...in mijn buik!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>...in my belly!!!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>Dans mon ventre !!!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>In meinem Magen!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>... nella mia pancia!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>¡dentro de mi tripa!<0E:0002:0001:>,<0E:0009:0000:0A00><0E:0005:0000:><0E:0001:0001:>...karnımda!!!<0E:0002:0001:>
b_sys,BtlGuide_06,<0E:0009:0000:0C00>Countersprong,<0E:0009:0000:0C00>Jump Guard,<0E:0009:0000:0C00>Saut défensif,<0E:0009:0000:0C00>Sprung-Verteidigung,<0E:0009:0000:0C00>Salto difensivo,<0E:0009:0000:0C00>Salto defensa,<0E:0009:0000:0C00>Zıplama Savunması
b_sys,BtlGuide_06_1,"<0E:0009:0000:0B00>Druk op de knop van een broer om die broer te
laten springen.",<0E:0009:0000:0B00>Press either character button to jump.,"<0E:0009:0000:0B00>Appuyez sur le bouton correspondant au
personnage pour qu'il saute. Un saut effectué
au bon moment permet d'éviter l'ennemi.","<0E:0009:0000:0B00>Drücke zum Springen den Knopf des
attackierten Charakters. Beim richtigen
Timing erleidet der Held keinen Schaden.","<0E:0009:0000:0B00>Premi il pulsante di uno dei due fratelli
per saltare.","<0E:0009:0000:0B00>Toca el botón del personaje
que quieras que salte.",<0E:0009:0000:0B00>Zıplamak için ilgili karakter düğmesine bas.
