AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,E_SuperNut,<0E:0009:0000:0500>Herstel <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> HP voor beiden.,<0E:0009:0000:0500>Recover <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> HP each.,<0E:0009:0000:0500>Rend <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> PV chacun.,<0E:0009:0000:0500><0E:0000:0003:2C64FFFF>40 <0E:0000:0003:373737FF>KP für beide,<0E:0009:0000:0500>Ripristina <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> cuori a testa,<0E:0009:0000:0500> + <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> VIDA cada uno,<0E:0009:0000:0500>İkisine de <0E:0000:0003:2C64FFFF>40<0E:0000:0003:373737FF> HP yeniler.
,E_UltraSyrup,<0E:0009:0000:0500>Herstel <0E:0000:0003:2C64FFFF>60<0E:0000:0003:373737FF> duopunten.,<0E:0009:0000:0500>Recover <0E:0000:0003:2C64FFFF>60 <0E:0000:0003:373737FF>Bros. Points.,<0E:0009:0000:0500>Rend <0E:0000:0003:2C64FFFF>60 <0E:0000:0003:373737FF>PF.,<0E:0009:0000:0500><0E:0000:0003:2C64FFFF>60 <0E:0000:0003:373737FF>Brüderpunkte,<0E:0009:0000:0500>Ripristina <0E:0000:0003:2C64FFFF>60<0E:0000:0003:373737FF> Punti Fratelli,<0E:0009:0000:0500> + <0E:0000:0003:2C64FFFF>60 <0E:0000:0003:373737FF>puntos TÁNDEM,<0E:0009:0000:0500><0E:0000:0003:2C64FFFF>60 <0E:0000:0003:373737FF>Kardeş Puanı yeniler.
,E_Wear11,"<0E:0009:0000:0500>Deze broek zorgt ervoor dat
paddenstoelen aandoeningen genezen.",<0E:0009:0000:0500>These cause Mushrooms to cure status ailments.,"<0E:0009:0000:0500>Donne aux champignons le pouvoir
de lever les altérations de statut.",<0E:0009:0000:0500>Hose lässt Pilze Statuseffekte auskurieren.,<0E:0009:0000:0500>Fanno sì che i Funghi curino le alterazioni di stato.,"<0E:0009:0000:0500>Con él puesto, los champiñones
curan estados alterados.",<0E:0009:0000:0500>Mantarların durum bozukluklarını iyileştirmesini sağlar.
,Es_JH_CRIT,<0E:0009:0000:0500>Kritieke eigenschapswissel,<0E:0009:0000:0500>Critical Stat Change,<0E:0009:0000:0500>Altérations critiques,<0E:0009:0000:0500>Kritischer Modifikator,<0E:0009:0000:0500>Alterazione Critica,<0E:0009:0000:0500>Crítico a estados alterados.,<0E:0009:0000:0500>Kritik Durum Değişimi
,N_Wear36,<0E:0009:0000:0C00>Roderiks broek,<0E:0009:0000:0C00>Harhall's Pants,<0E:0009:0000:0C00>Pant. Quiahare,<0E:0009:0000:0C00>Auer-Hose,<0E:0009:0000:0C00>PantaVersaccio,<0E:0009:0000:0C00>Pantalón Cosquillas,<0E:0009:0000:0C00>Harhall'ın Pantolonu
,Ns_Wear44,<0E:0009:0000:0C00>Vleermuizenbroeken,<0E:0009:0000:0C00>Bat Wear,<0E:0009:0000:0C00>Vêtements chauve-souris,<0E:0009:0000:0C00>Fledermaus-Outfits,<0E:0009:0000:0C00>Tute Pipistrello,<0E:0009:0000:0C00>Pantalones Murciélago,<0E:0009:0000:0C00>Yarasa Giysisi
,E_Badge44,"<0E:0009:0000:0500>Popples badge. Hogere SNELH betekent
meer te gekke treffers.",<0E:0009:0000:0500>Popple's badge. Higher SPEED ups lucky attack rate.,"<0E:0009:0000:0500>Augmente la fréquence des coups
chanceux en fonction de la VIT.",<0E:0009:0000:0500>Claudes Orden. Hohe GES. steigert tolle Treffer.,<0E:0009:0000:0500>Aumenta VEL e la probabilità di colpi fortunati.,"<0E:0009:0000:0500>La llevaba Panyo. Cuanto mayor sea
tu VELOCIDAD, más posibilidades
tendrás de asestar golpes SUERTE.","<0E:0009:0000:0500>Popple'ın rozeti. HIZ yükseldikçe şanslı saldırı
oranı artar."
,E_EvItem12,<0E:0009:0000:0500>Een bitter medicijn tegen de bonengriep.,<0E:0009:0000:0500>Bitter medicine for Bean Fever.,<0E:0009:0000:0500>Herbe médicinale pour la fèvrite.,"<0E:0009:0000:0500>Kraut, das Grünfieber heilt... Bitter!",<0E:0009:0000:0500>Medicina contro la Febbre Fagiolina,<0E:0009:0000:0500>Antídoto contra la judiitis.,<0E:0009:0000:0500>Fasulya Ateşi için acı bir ilaç.
,E_Wear12,<0E:0009:0000:0500>Versterkt je noodafweer.,<0E:0009:0000:0500>Strengthens your Emergency Guard.,<0E:0009:0000:0500>Augmente l'efficacité de la parade d'urgence.,<0E:0009:0000:0500>Stärkt den Spezialabwehrreflex.,<0E:0009:0000:0500>Potenzia la tua Difesa d'emergenza.,"<0E:0009:0000:0500>Fabricado con caparazón de Koopa.
Refuerza el bloqueo resignado.",<0E:0009:0000:0500>Acil Savunmanı güçlendirir.
,Ew_GRAVITY_RANDOM,<0E:0009:0000:0500>WILLEKEURIG GEWICHT,<0E:0009:0000:0500>RANDOM G,<0E:0009:0000:0500>Gravité aléatoire,<0E:0009:0000:0500>Zufallskraft,<0E:0009:0000:0500>Gravità casuale,<0E:0009:0000:0500>GRAVEDAD ALEATORIA.,<0E:0009:0000:0500>RASTGELE G
,F_Badge20,<0E:0009:0000:0C00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>ohpah-badges<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Oh-Pah Badges <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Badges O-pah <0E:0000:0003:E6E6E6FF>(max),<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Komplettos <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Archeotessere<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0C00>¡<0E:0000:0003:4ED4FFFF>Medallas Risotada <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Oho-Pah Rozetleri <0E:0000:0003:E6E6E6FF>dolu!
,F_Wear50,<0E:0009:0000:0D00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>wraakbroeken<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Revenge Jeans <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Jeans du survivant<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Vergeltungsjeans<0E:0000:0003:E6E6E6FF> voll!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Jeans Rivalsa<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0D00>¡<0E:0000:0003:4ED4FFFF>Pantalones venganza <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>İntikam Kotları <0E:0000:0003:E6E6E6FF>dolu!
,N_Wear37,<0E:0009:0000:0C00>Wollen broek,<0E:0009:0000:0C00>Wool Trousers,<0E:0009:0000:0C00>Pantalon en laine,<0E:0009:0000:0C00>Woll-Hose,<0E:0009:0000:0C00>Pantaloni di Lana,<0E:0009:0000:0C00>Pantalón de lana,<0E:0009:0000:0C00>Yün Pantolon
,Ns_Wear45,<0E:0009:0000:0C00>Sluipbroeken,<0E:0009:0000:0C00>Stealth Suits,<0E:0009:0000:0C00>Costumes furtifs,<0E:0009:0000:0C00>Tarnanzüge,<0E:0009:0000:0C00>Tute Furtive,<0E:0009:0000:0C00>Ropas de camuflaje,<0E:0009:0000:0C00>Gizlenme Takımları
,E_Badge45,"<0E:0009:0000:0500>Badge van Groentje. Maakt je
sterker tijdens gevechten.",<0E:0009:0000:0500>Dropped by Rookie. Powers you up in battle.,<0E:0009:0000:0500>Augmente l'ATT.,<0E:0009:0000:0500>Macht im Kampf stark.,<0E:0009:0000:0500>Cade a Recluta. Ti potenzia negli scontri.,"<0E:0009:0000:0500>Se le cayó a Bowser novato.
Te potencia en combate.",<0E:0009:0000:0500>Çaylak'tan düştü. Savaşta seni güçlendirir.
,E_EvItem13,<0E:0009:0000:0500>Een boon die rood is van de passie.,<0E:0009:0000:0500>A bean that burns red with passion.,<0E:0009:0000:0500>D'une couleur rouge flamboyante.,<0E:0009:0000:0500>Rotes Kleinod von feurigem Glanz,<0E:0009:0000:0500>Stimola la sensazione di bruciore,<0E:0009:0000:0500>Judía perla de color rojo fuego.,<0E:0009:0000:0500>Tutkuyla kıpkırmızı yanan bir fasulye.
,E_Wear13,"<0E:0009:0000:0500>Munten die je verdient in een gevecht,
kunnen in paddenstoelen veranderen.",<0E:0009:0000:0500>Coins earned in battle may turn into Mushrooms.,"<0E:0009:0000:0500>Les pièces gagnées au combat peuvent
se transformer en champignons.",<0E:0009:0000:0500>Im Kampf verdiente Münzen könnten Pilze werden...,<0E:0009:0000:0500>Monete vinte in battaglia possono diventare Funghi!,"<0E:0009:0000:0500>A veces convierte en champiñones
las monedas ganadas en combate.",<0E:0009:0000:0500>Savaşta kazanılan paralar Mantara dönüşebilir.
,Es_PS_CHANGE,<0E:0009:0000:0500>AANV/SNELH-wissel,<0E:0009:0000:0500>POW/SPEED Swap,<0E:0009:0000:0500>ATT. contre VIT.,<0E:0009:0000:0500>ANGR.-GES.-Tauscher,<0E:0009:0000:0500>Scambio Attacco/Difesa,<0E:0009:0000:0500>Intercambia ATQ. y VELC.,<0E:0009:0000:0500>GÜÇ/HIZ Takası
,F_Badge21,<0E:0009:0000:0C00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>schitterende badges<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Brilliant Badges <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Badges brillants <0E:0000:0003:E6E6E6FF>(max),<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Strahleglanz <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Brillotessere<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0C00>¡<0E:0000:0003:4ED4FFFF>Medallas Brillante <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Işıltılı Rozetler <0E:0000:0003:E6E6E6FF>dolu!
,F_Wear51,<0E:0009:0000:0D00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>waaghalzenbroeken<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Daredevil Pants <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Pantalons grand V<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Waghals-Hosen <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Pantaloni Temerari<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0D00>¡<0E:0000:0003:4ED4FFFF>Pantalones temerarios <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Gözü Kara Pantolonlar <0E:0000:0003:E6E6E6FF>dolu!
,N_Badge20,<0E:0009:0000:0C00>Ohpah-badge,<0E:0009:0000:0C00>Oh-Pah Badge,<0E:0009:0000:0C00>Badge O-pah,<0E:0009:0000:0C00>Kompletto,<0E:0009:0000:0C00>Archeotessera,<0E:0009:0000:0C00>Medalla Risotada,<0E:0009:0000:0C00>Oho-Pah Rozeti
,N_Wear38,<0E:0009:0000:0C00>Willekeurige broek,<0E:0009:0000:0C00>Random Slacks,<0E:0009:0000:0C00>Aléatoire,<0E:0009:0000:0C00>Zufalls-Chinos,<0E:0009:0000:0C00>Casuale,<0E:0009:0000:0C00>Pantalón sorpresa,<0E:0009:0000:0C00>Sürpriz Pantolon
,Ns_Wear46,<0E:0009:0000:0C00>Stenen broeken,<0E:0009:0000:0C00>Stone Slacks,<0E:0009:0000:0C00>Pantalons de pierre,<0E:0009:0000:0C00>Steinhosen,<0E:0009:0000:0C00>Pantaloni Pietrosi,<0E:0009:0000:0C00>Pantalones roca,<0E:0009:0000:0C00>Taş Pantolon
,E_Badge46,<0E:0009:0000:0500>Een legendarische badge. Herstelt vanzelf DP.,<0E:0009:0000:0500>A legendary badge. Auto-restores BP.,<0E:0009:0000:0500>Régénère les PF.,<0E:0009:0000:0500>Stellt BP automatisch wieder her.,<0E:0009:0000:0500>Tessera epica! Fa recuperare PF automaticamente.,<0E:0009:0000:0500>Una medalla legendaria. Regenera TÁN.,<0E:0009:0000:0500>Efsanevi bir rozet. BP'yi otomatik yeniler.
,E_EvItem14,<0E:0009:0000:0500>Een verfrissend groene boon.,<0E:0009:0000:0500>A refreshingly green bean.,<0E:0009:0000:0500>D'un vert très frais.,<0E:0009:0000:0500>Grünes Kleinod von klarer Schönheit,<0E:0009:0000:0500>Stimola la sensazione di frescura,<0E:0009:0000:0500>Judía perla de color verde relajante.,<0E:0009:0000:0500>İç açıcı yeşil bir fasulye.
,E_Wear14,<0E:0009:0000:0500>Draag ze en je bent meteen na Mario aan de beurt.,<0E:0009:0000:0500>Wear these to move right after Mario.,"<0E:0009:0000:0500>Permet de jouer immédiatement
après Mario au cours des combats.",<0E:0009:0000:0500>Ermöglicht Aktion direkt nach Mario.,<0E:0009:0000:0500>Indossali per muoverti subito dopo Mario.,<0E:0009:0000:0500>Podrás actuar justo después de Mario.,<0E:0009:0000:0500>Bunu giyince Mario'dan hemen sonra sıra sana gelir.
,F_Badge22,<0E:0009:0000:0C00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>sergeantsbadges<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Sarge Badges <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Badges généraux<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Attackos <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Generaltessere<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0C00>¡<0E:0000:0003:4ED4FFFF>Medallas General <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Çavuş Rozetleri <0E:0000:0003:E6E6E6FF>dolu!
,F_Wear52,<0E:0009:0000:0D00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>reddingspakken<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Rescue Suits <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Costumes d'urgence<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Rettungsanzüge <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Tute Soccorso<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0D00>¡<0E:0000:0003:4ED4FFFF>Trajes de rescate <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Kurtarma Tulumları <0E:0000:0003:E6E6E6FF>dolu!
,N_Badge21,<0E:0009:0000:0C00>Schitterende badge,<0E:0009:0000:0C00>Brilliant Badge,<0E:0009:0000:0C00>Badge brillant,<0E:0009:0000:0C00>Strahleglanz,<0E:0009:0000:0C00>Brillotessera,<0E:0009:0000:0C00>Medalla Brillante,<0E:0009:0000:0C00>Işıltılı Rozet
,N_Wear39,<0E:0009:0000:0C00>IJzeren broek,<0E:0009:0000:0C00>Iron Pants,<0E:0009:0000:0C00>Pantalon de fer,<0E:0009:0000:0C00>Eisen-Hose,<0E:0009:0000:0C00>PantaFerro,<0E:0009:0000:0C00>Pantalón de metal,<0E:0009:0000:0C00>Demir Pantolon
,Ns_Wear47,<0E:0009:0000:0C00>Defensieve broeken,<0E:0009:0000:0C00>Defense Pants,<0E:0009:0000:0C00>Pantalons défensifs,<0E:0009:0000:0C00>Abwehrhosen,<0E:0009:0000:0C00>Pantaloni Difensivi,<0E:0009:0000:0C00>Pantalones defensa,<0E:0009:0000:0C00>Savunma Pantolonu
,E_Badge47,<0E:0009:0000:0500>Bewijs van Groentjes trouw aan Popple.,<0E:0009:0000:0500>Proof of Rookie's allegiance to Popple.,"<0E:0009:0000:0500>Symbole de l'allégeance du bleu
vis-à-vis de Pargne.",<0E:0009:0000:0500>BowsAzubis Treuebeweis für Claude.,<0E:0009:0000:0500>La prova della fedeltà di Recluta verso Champo.,"<0E:0009:0000:0500>Prueba de la sumisión de Bowser novato
a Panyo.",<0E:0009:0000:0500>Çaylak'ın Popple'a bağlılığının kanıtı.
,E_EvItem15,<0E:0009:0000:0500>Een sappige boon die in de grond groeit.,<0E:0009:0000:0500>A juicy bean grown in the ground.,<0E:0009:0000:0500>Un pois très bon qui pousse dans le sol.,<0E:0009:0000:0500>Saftige Bohne aus der Erde,<0E:0009:0000:0500>Un succoso fagiolo,<0E:0009:0000:0500>Jugosa judía con pinta de fruta.,<0E:0009:0000:0500>Toprakta yetişen sulu bir fasulye.
,E_Wear15,"<0E:0009:0000:0500>Munten die je verdient in een gevecht,
kunnen in paddenstoelen veranderen.",<0E:0009:0000:0500>Coins earned in battle may turn into Mushrooms.,"<0E:0009:0000:0500>Les pièces gagnées au combat peuvent
se transformer en champignons.",<0E:0009:0000:0500>Im Kampf verdiente Münzen könnten Pilze werden...,<0E:0009:0000:0500>Monete vinte in battaglia possono diventare Funghi!,"<0E:0009:0000:0500>A veces convierte en champiñones
las monedas ganadas en combate.",<0E:0009:0000:0500>Savaşta kazanılan paralar Mantara dönüşebilir.
,F_Badge23,<0E:0009:0000:0C00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>generaalsbadges<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>General Badges <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Badges président<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Brüderchen <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Presidentessere<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0C00>¡<0E:0000:0003:4ED4FFFF>Medallas Presi <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>General Rozetleri <0E:0000:0003:E6E6E6FF>dolu!
,F_SuperKinoko,<0E:0009:0000:0C00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>superpaddenstoelen<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Super Mushrooms <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Super champis <0E:0000:0003:E6E6E6FF>(max),<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Superpilze<0E:0000:0003:E6E6E6FF> voll!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Super Funghi<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0C00>¡<0E:0000:0003:4ED4FFFF>Superchampiñones <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0C00><0E:0000:0003:4ED4FFFF>Süper Mantarlar <0E:0000:0003:E6E6E6FF>dolu!
,F_Wear53,<0E:0009:0000:0D00>Je hebt al genoeg <0E:0000:0003:4ED4FFFF>ruimtepakken<0E:0000:0003:E6E6E6FF>!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Space Suits <0E:0000:0003:E6E6E6FF>full!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Costumes spatiaux<0E:0000:0003:E6E6E6FF> (max),<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Raumanzüge <0E:0000:0003:E6E6E6FF>voll!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Tute Spaziali<0E:0000:0003:E6E6E6FF> (pieno),<0E:0009:0000:0D00>¡<0E:0000:0003:4ED4FFFF>Trajes espaciales <0E:0000:0003:E6E6E6FF>al máximo!,<0E:0009:0000:0D00><0E:0000:0003:4ED4FFFF>Uzay Tulumları <0E:0000:0003:E6E6E6FF>dolu!
,N_Badge22,<0E:0009:0000:0C00>Sergeantsbadge,<0E:0009:0000:0C00>Sarge Badge,<0E:0009:0000:0C00>Badge général,<0E:0009:0000:0C00>Attacko,<0E:0009:0000:0C00>Generaltessera,<0E:0009:0000:0C00>Medalla General,<0E:0009:0000:0C00>Çavuş Rozeti
,Ns_Wear48,<0E:0009:0000:0C00>Gezondheidsbroeken,<0E:0009:0000:0C00>Wellness Wear,<0E:0009:0000:0C00>Blouses de médecin,<0E:0009:0000:0C00>Wohlfühl-Outfits,<0E:0009:0000:0C00>Tute Benessere,<0E:0009:0000:0C00>Ropas curativas,<0E:0009:0000:0C00>Şifa Giysileri
